rmse;hl;T;RS
0.0264794925229342;10;13;15
0.0262022731748059;25;13;15
0.0271139984758511;40;13;15
0.0270521206652813;55;13;15
0.026515714813768;70;13;15
0.026541546459639;85;13;15
0.0266553941538933;100;13;15
0.0257924326319775;10;26;15
0.0255402524219533;25;26;15
0.0276399921274104;40;26;15
0.0271126507022154;55;26;15
0.0264468013600991;70;26;15
0.029056075985746;85;26;15
0.0479629033943459;100;26;15
0.0262613414366974;10;39;15
0.0272979861699203;25;39;15
0.0277072217938788;40;39;15
0.0393419486133254;55;39;15
0.0409151971496579;70;39;15
0.0277793740633791;85;39;15
0.0278634730127196;100;39;15
0.0267168681242505;10;52;15
0.0271484959143045;25;52;15
0.0277298602570585;40;52;15
0.0276200494157127;55;52;15
0.0402961809888069;70;52;15
0.0274888928525005;85;52;15
0.0272474435873413;100;52;15
0.0259028152918756;10;65;15
0.0269858617814044;25;65;15
0.0278115111961937;40;65;15
0.0397719027917592;55;65;15
0.0405384863541334;70;65;15
0.0276142897518059;85;65;15
0.0272306810501249;100;65;15
0.0267604833850572;10;78;15
0.0279347933453075;25;78;15
0.0291626320065043;40;78;15
0.0270070256068625;55;78;15
0.0266044690899778;70;78;15
0.0278097548514864;85;78;15
0.0274479002606626;100;78;15
0.0266644679493881;10;91;15
0.0279249573861462;25;91;15
0.0394403770707283;40;91;15
0.039008325595181;55;91;15
0.0406706967001658;70;91;15
0.0390069377061395;85;91;15
0.0281132908906354;100;91;15
0.0347950323452296;10;104;15
0.0271719288737847;25;104;15
0.0398651258867604;40;104;15
0.0392678768150991;55;104;15
0.0401160478550624;70;104;15
0.0383308912496792;85;104;15
0.0464856356047164;100;104;15
0.0554092476300215;10;117;15
0.0267852316603196;25;117;15
0.038797085125234;40;117;15
0.0389224974184062;55;117;15
0.0406199318857318;70;117;15
0.0374918163694948;85;117;15
0.0411424343978858;100;117;15
0.0588947985293893;10;130;15
0.0262896070111537;25;130;15
0.0402739612665995;40;130;15
0.0392577227809137;55;130;15
0.0420485749059445;70;130;15
0.0390267552677607;85;130;15
0.0466491546033791;100;130;15
0.04509026666717101;10;143;15
0.04991125136911509;25;143;15
0.040842485817699045;40;143;15
0.04639531485503766;55;143;15
0.043238384799808405;70;143;15
0.03943479093229742;85;143;15
0.048071870165438124;100;143;15
