rmse;hl;T;RS;preds
0.3925630395738698;10;13;15;3.2634075849459068 -2.9166341161802776 -8.287299417166594 -11.745754352194478 -12.5936137306589 -10.687497256145916 -6.549746503160089 -0.7131545661924635 4.7709630203124425 8.814069223718173 10.796917037751909 10.317753476466782 7.8610490636677595 3.7018185356532847 -0.843374957105797 -4.957989672753144 -7.72288676074655 -8.580893906939872 -7.63079838401084 -5.297907199120607 -1.9374756849394335 1.6111609780379985 4.427938932394558 5.987532831449405 6.192857434405581 5.124577956175406 3.8740398156527096 1.7935281988296674 -0.44067081024347093 -2.249646851241599 -3.2055824175755583 -3.626240159412767 -3.713042343013774 -3.417957457548049 -2.3911167488415117 -1.1985999049348453 -0.17539056937159175 0.8060660520270031 1.7140643390000194 2.572660720341942 3.5072717051083893 3.6992339010589017 3.29744399176069 2.405134667546525 0.8967596107037054 -1.2880251849545565 -3.5401441349062965 -5.291211764742776 -6.084899202123793 -5.503771036853766 -3.9619515006724657 -1.0691731737663792 2.1423750223315343 5.161472076537253 7.326775092785791 8.070400619630362 7.326122011008818 4.696876315832017 1.0470800548527255 -3.3622697359681455 -7.198758249884023 -9.726118572434023 -10.04764865444826 -7.959745444227173 -4.003459116861637 0.8536781366633108 5.5126693021233875 8.918709232202856 10.515018019518212 9.781314104875532 6.981305602077566 2.4318490968652857 -2.826455369022114 -7.388334274253649 -10.55284471690693 -11.357690698760008 -9.457855040158671 -5.462734578012529 -0.002508322921207744 5.426434430431118 9.357629417464247 11.300925399075542 10.702742491665017 7.734583508353781 2.9919197979377112 -2.348530663098374 -6.857154172520076 -9.744051013405528 -10.464914832616827 -8.880418440786991 -5.404370298078113 -0.6919653702465619 3.727880652431558 7.020351276891939 8.663682721385882 8.542553359578223 6.597911214115688 3.2279203981177287 -0.6881314955982268 -4.218611485168361 -6.611933888432029 -7.3577594316277715 -6.471929001720509 -4.298132076188883 -1.209690371977857 1.7824969629961105 4.111320040727893 5.131451084181601 5.021458343606139 4.276524345498162 2.80921459386482 0.7976772396788718 -0.8679918708352021 -2.256003821565403 -2.905800189505488 -3.151245090647571 -2.9804803599351892 -2.3327978538597964 -1.4904541894667127 -0.5538849209149524 0.20542976099759222 0.9672034996481115 1.5439176898044793 2.1911500002261928 2.8177242724958806 2.920687730058403 2.6002988103717755 1.9522797633335722 0.8510246554033927 -0.8231923071023806 -2.713084911034767 -4.379771144493015 -5.22628358986971 -4.875360981709228 -3.575464397416921 -1.1754331942914702 1.683892191674785 4.415250761169245 6.430741125504364 7.084055596515107 6.380084979782156 4.111043500211023 0.8286148734626585 -3.1140736605323687 -6.555745778517706 -8.740182013893058 -8.933829606985324 -7.034715492208253 -3.648184937897458 0.6631177780547446
0.4138418833806265;25;13;15;3.1970899766692376 -3.0906654096322566 -8.405199524204246 -11.729719617634979 -12.709562284730495 -10.622568312036362 -6.277615249831 -0.8022017664790978 4.790978553689183 8.751424911973299 10.824628012938831 10.35755531074731 7.835271179771219 3.6349422693783504 -1.0859929141602735 -4.763701690285931 -7.776948701012398 -8.743118189561736 -7.750751583230757 -5.115882000101714 -1.9049592894218232 1.469648291658528 4.152967657957594 5.99199901848958 6.23719084082763 5.322261733111937 3.8888956952967644 1.8179901114070582 -0.28520398169115546 -1.9136957005072572 -3.2279591223473765 -4.085485111118441 -3.9381578622926554 -3.3008369716893875 -2.542254987530161 -1.4421895038262353 -0.23962075828778998 0.8801864106037098 1.7935305065391267 2.66393101407434 3.28903739081881 3.4991227983894615 3.369904145690573 2.569974931149594 0.8770867721816661 -1.3090551489477686 -3.68068594868534 -5.400556423578426 -6.109730155905545 -5.557957593430414 -3.9854851371198645 -1.0996605157419257 2.239721707379314 5.020196411150161 7.226819734503428 8.110266300539264 7.381160881612423 4.711942581655109 0.9968676624286239 -3.3057700852768215 -7.421583752142821 -9.66975199965485 -10.00351755722214 -8.135565981746574 -4.07463195353149 0.884407595822959 5.652914959855157 8.832476283601803 10.426249667457906 9.68435876889022 7.058510791273953 2.481319849161914 -2.7789907854820783 -7.615524424336415 -10.603148167700112 -11.334241293707873 -9.463007386144737 -5.331079753361137 0.09891021931289412 5.566633549355459 9.299413600171713 11.174326765849411 10.50133714860717 7.721114177476504 3.029427576706602 -2.3540287808850864 -6.833367841886887 -9.67424741768151 -10.493496583506381 -8.786198509747402 -5.111442736338564 -0.6634141003527827 3.8304544917137076 6.9745063207740685 8.774528160606543 8.618357769132833 6.5845695764951575 3.3286576852885417 -0.7694834944610818 -3.9867020692413866 -6.5701666549286895 -7.367374887708066 -6.485356024591033 -4.013413806232444 -1.173147215762941 1.8760103503229197 3.999118052963423 5.18799688906211 5.246454246611382 4.448239852507763 3.0293352683282313 0.9120770322396144 -0.7517266797948824 -2.2164839124571496 -3.02207047673753 -3.407263147295546 -2.9751201277886685 -2.2727095226501848 -1.5403753297261422 -0.6437816467462807 0.11790862974546154 1.0362644936990495 1.6958130495048909 2.21148957447284 2.529829248159635 2.747267018067523 2.6264022736111943 2.0824436153651535 0.9040715881254044 -0.7549225689322899 -2.7268325132110074 -4.374894185169089 -5.143130664160296 -4.832925281699186 -3.5579181131615996 -1.0618127344460353 1.7707145677335607 4.286274802581824 6.293289719309527 7.061106195179146 6.3847673222750165 4.096660316387876 0.9153077293280325 -2.939567363550023 -6.724525494476872 -8.672509972472918 -8.875936869017087 -7.196472079046371 -3.676323993189075 0.7544879763758171
0.3910408540452728;40;13;15;3.3046825070979358 -3.0456054593487805 -8.44840676841017 -11.872602218042209 -12.666731197166433 -10.642996925406313 -6.3268971545702115 -0.8290986971542623 4.794307039965938 8.899396780974707 10.773501479105175 10.448214446091246 7.897143178083725 3.5981369958306857 -1.0309446204097092 -4.874991748195745 -7.870796321592558 -8.738346615636452 -7.780504112052648 -5.3344851632865335 -1.9102570211038223 1.5354494537891248 4.175596672296959 6.062222617335187 6.3217599309085495 5.198426966581527 3.7680705665194867 2.065174448554066 -0.216163180097986 -2.081564063539133 -3.3124228270296556 -3.890520585161417 -3.8356886391726595 -3.474821726333938 -2.3950263932837594 -1.2174011985177666 -0.2625427555739215 0.7702335260937013 1.7666810762169989 2.6569619238164646 3.2933816538758873 3.8631320422752236 3.5697633234107093 2.4369656733547322 0.7486736062386239 -1.3740042855150905 -3.5859975526255186 -5.2907448381955176 -6.198553892992874 -5.670558430313094 -3.8408486775235886 -1.1239597348024377 2.055446683946754 4.978200329792111 7.143159112712974 8.079446840710704 7.4803831575232245 4.84707127827919 0.9247385686515853 -3.258074346172615 -7.222035345963199 -9.658173452061202 -9.914138431391613 -7.97940712882016 -4.024525427278833 0.865629090870948 5.613635437148911 8.826608547683364 10.356532226220367 9.75265235339139 6.961599301768368 2.5767640200696467 -2.710800278670089 -7.491552733711421 -10.577778748377865 -11.346249075260944 -9.515269313032352 -5.285214412476375 0.10386121764863775 5.5174858763831285 9.32014375424434 11.086676114403879 10.57372153274314 7.679508483635313 2.958952629839057 -2.3312078420423585 -6.823190073935017 -9.802299138630493 -10.49805430968844 -8.724288049610575 -5.151073800119105 -0.6971306009437744 3.7603974325674114 7.068701636246092 8.75823419335112 8.601802261472026 6.592693483028277 3.2406547235322276 -0.7523459151664533 -4.123879627247057 -6.670091243751596 -7.390386597199427 -6.485052176178895 -4.244818218406082 -1.1600019257555703 1.828793076313269 4.019181279002322 5.156832042051146 5.296394233164729 4.337136719064149 2.886031318635563 1.0845243716114867 -0.8476863353030795 -2.2870040519682724 -3.0658752253842847 -3.223843322526767 -2.9019259299416156 -2.4005802807157375 -1.5603224010555914 -0.7365514708544009 0.14852621307361558 1.0601616905408446 1.6453449821036141 2.163797489241944 2.6619250376268693 2.9713531066184475 2.8101322929931234 1.996800094221822 0.7439932829915405 -0.9305539704305908 -2.6770665664127136 -4.387261969397807 -5.301452994704777 -5.059513119613082 -3.5534038488410227 -1.1282282280656022 1.6884320331085354 4.2333244090388575 6.264209503176771 7.0618708162466515 6.53121533379682 4.234572110619837 0.8246221514798769 -2.902160547069975 -6.506011562724478 -8.605623321505417 -8.773933033971378 -7.132595450450246 -3.656896541106205 0.754303648082758
0.4003721712178408;55;13;15;3.2598833279833572 -2.993897575040511 -8.343270602391744 -11.826592645316243 -12.593296805226494 -10.579370298668275 -6.25989665660272 -0.7665863575440891 4.826571510534245 8.797682178847893 10.82017797986487 10.392084028913406 7.853521315411618 3.6112736319275838 -0.9507058509745504 -4.934461036342907 -8.037262943437048 -8.652859057190742 -7.691454219438311 -5.235954430977027 -1.924720782448923 1.5441821148466874 4.489759007244231 5.818876962564554 6.289021995282849 5.502888460198512 3.942923019920723 1.92391012940515 -0.07323293510587804 -2.0628837323937015 -3.41581513393336 -3.8047764863474858 -3.8344970918551895 -3.413079344369394 -2.261838288005804 -1.0913943966133788 -0.15215861785871188 0.7831305450250787 1.6665066778451263 2.753836682279823 3.433398079134703 3.8330133568857954 3.572569498113183 2.5321567654584314 0.8794227510818128 -1.327735383938639 -3.569202812417433 -5.356844560237407 -6.122162555999123 -5.662462985529973 -3.9882259267209914 -1.0297968234174044 1.8991055219730575 5.098684686805903 7.301287211044633 8.007501690608482 7.497241744359683 4.860015605254482 0.9819413014915004 -3.227375271854181 -7.181159657547624 -9.723945479359877 -9.998046747330696 -7.990428749197637 -4.013496114536492 0.8190780718131008 5.655865751017078 8.853867211816269 10.430865855612934 9.656434715196559 6.879975618193964 2.507669083458745 -2.710953549040009 -7.522848350925077 -10.575509500742914 -11.280488586509566 -9.507144637262748 -5.361817674122135 -0.02443348587549518 5.488500276338202 9.192228188153454 11.229731793020555 10.488697823898745 7.581937758460863 2.9542400948141045 -2.306889392069686 -6.78226515438431 -9.800531433184691 -10.481877266378953 -8.737717380190556 -5.162214267533734 -0.7445891748237602 3.756674712591365 6.9995026604004025 8.719278519205657 8.578845937007687 6.646006186956348 3.2630910441317433 -0.7542447273559095 -4.210595271743341 -6.765719646797827 -7.432075368581152 -6.488104506557024 -4.195726315079017 -1.3128443117253303 1.8349227372553352 4.138045239357464 4.999168177939044 5.25681740055648 4.577632737270826 2.8294891676283638 0.8109067130042253 -0.7945448826477984 -2.24288699330803 -3.1494729620919726 -3.3029423719527284 -2.989708697753691 -2.452783553321264 -1.4288470969692186 -0.5454582717471452 0.2215206978978806 0.9008407948824255 1.5643903419632774 2.2508394823175935 2.672446846597292 2.9188640626582147 2.737859640456806 2.112088258769823 0.7519675730280504 -0.9003581690833989 -2.726234431842813 -4.413229085470007 -5.196693369946455 -5.059857737559 -3.5945441546079273 -1.047258107040976 1.4228977518870147 4.302572231401436 6.304312878159976 6.9407122234525085 6.416695251880513 4.124567831497079 0.8349309780981214 -2.932870583008341 -6.545678011383395 -8.679786180397999 -8.871595298287712 -7.183408905033927 -3.6644212124164004 0.6895555226247947
0.3993566637548601;70;13;15;3.2160530022234295 -3.017536404577428 -8.359847648674172 -11.830988831836153 -12.60368842092159 -10.584743415525944 -6.384001809758108 -0.8362357694298609 4.857448278481043 8.866717307321975 10.804770173041806 10.359891481956579 7.901316286022573 3.6224579458219393 -0.9251226800636365 -4.804044682434657 -7.860950094566337 -8.729544242522307 -7.686448028384667 -5.184648665042035 -1.882199697188888 1.587895420506118 4.2817624613524625 5.964004579657411 6.266376057740783 5.398316529142877 3.9194778456692627 1.8900373776528534 0.008029856363191982 -2.0390918247959857 -3.3944642060161874 -3.8460041004555996 -3.809290750668062 -3.243517314903536 -2.3513106837603086 -1.27261228193977 -0.2175160988071236 0.740455852854161 1.7409997314995052 2.6658456436890483 3.2926539561597306 3.734392623907377 3.5652859824414813 2.541957992150197 0.9472691207206881 -1.226122224873472 -3.554093853969345 -5.297868737296286 -6.150128533081294 -5.660632587310528 -3.909208416362591 -1.1045583406055453 2.154077032381253 5.0867119055129635 7.302513374003992 8.113737095566007 7.362463050336926 4.883542703191746 1.0096870846294332 -3.2917057499772966 -7.187478935283594 -9.643497189136728 -10.032585465571113 -7.96241546407155 -4.067273052684119 0.8557945947011444 5.63389981852901 8.904311432886466 10.375694676333664 9.617610580490275 6.946830730465522 2.4119262564851587 -2.8031250033162523 -7.474124142638522 -10.54126693854977 -11.242287533357286 -9.483445230352524 -5.3023660784141615 3.917197406527219e-05 5.438448365876081 9.313282164785443 11.160906666107266 10.513048774112969 7.597497874108239 2.9461804195276016 -2.345594102811452 -6.831697829474861 -9.791659828786768 -10.498582005918127 -8.770373776748697 -5.251834933620998 -0.7988440492158589 3.7773329430525124 7.031239819357265 8.738117889994657 8.564071981049436 6.646310804604972 3.238005473072985 -0.6982929172747604 -4.0447075003548845 -6.68720444786506 -7.437733102938797 -6.502602306616649 -4.215820310577373 -1.2974291971556453 1.8415197093629034 4.0327633030248595 5.087194216789951 5.217675571181304 4.416236153108354 2.878551455350702 0.8750313722899423 -0.8910603115174366 -2.308520558039147 -3.140361163601164 -3.2520543014298644 -2.958954046099113 -2.3088795991691855 -1.620081210585331 -0.6032534609134476 0.14238667225042695 0.971536801085257 1.6118861757355745 2.1287335747904206 2.5908110475482276 2.8695304267652912 2.6837396228362334 1.9740414635344947 0.8199994248147146 -0.7869717494389585 -2.662719921322671 -4.3622160140181 -5.244442570986467 -5.023901701092347 -3.5095942924662284 -1.1238733880068368 1.6991476896735371 4.320991983687091 6.304557879980902 6.984954090732673 6.287285443914747 4.171128562165568 0.7724106095821213 -3.0023910997053562 -6.558040410956708 -8.657198320210657 -8.879211508739793 -7.088168197176853 -3.7522976347706978 0.7434166440904053
0.4041333449527875;85;13;15;3.2560440686796173 -3.044408911994149 -8.31509116218459 -11.851528984496635 -12.84361943492899 -10.595381956133181 -6.305340455892921 -0.7498248868140414 4.824294570534431 8.806066087313424 10.778868442070952 10.400007933960055 7.808380210678824 3.661689775866027 -0.9543416472276314 -4.913456649462868 -7.758987798290894 -8.797641671719438 -7.678480276858291 -5.190245629717253 -1.8441080679268014 1.5251477426083797 4.4261404574893 6.065479564618704 6.2306157919599245 5.3384953153031764 3.8454884496043693 1.889020639326923 -0.16966632009651106 -1.9082623908945262 -3.166866552904739 -3.8679504174132635 -3.828522432065138 -3.3725621201564926 -2.451049117353501 -1.2665227174495588 -0.22043631281870904 0.7937050466948218 1.6852718173131858 2.6692193226093806 3.3714418494269336 3.6980565846164306 3.5049086106220964 2.55861234669951 0.7775154071378692 -1.2777193391276969 -3.5523703796215127 -5.334687857100707 -6.1678113568129564 -5.646125941031309 -3.8821855232127747 -1.0358979264549122 2.1809695399466205 5.090690781238989 7.289397122673984 8.014864822256527 7.316238091394761 4.76112987030649 1.0372493087107932 -3.382779888405657 -7.231830803381317 -9.678046676687956 -9.872826585888237 -7.930158301249865 -4.1161507236497155 0.7963811242765285 5.636326375025433 8.917786917655635 10.403562575763818 9.67014635556706 6.955900797876942 2.532312535846932 -2.724195570535547 -7.441474669208761 -10.61147284495619 -11.415154972005306 -9.517987794775374 -5.351526443788518 0.022710247924121508 5.496478412557145 9.378214955077429 11.104590862936197 10.571903826925722 7.681872347358093 2.9278970144091647 -2.368943891738596 -6.838385571487827 -9.794162924313591 -10.612624391976365 -8.771901480410733 -5.146183379156668 -0.6748469257095332 3.7855726196768384 6.977580959010304 8.690639075579622 8.592956811114641 6.5755325862526535 3.2974109145917736 -0.6711444462685354 -4.216060696979381 -6.606174614858176 -7.381568070119068 -6.505872330920435 -4.1815885176950385 -1.2209751673882512 1.8027374980451303 4.044951085915755 5.180859143704586 5.177391425623789 4.432527428036075 2.902834520444999 0.8817514222353385 -0.8739882615559954 -2.1411783527639856 -2.974524161820812 -3.191027309397695 -2.9157908406820354 -2.318767364965674 -1.5682014019223456 -0.7531774598082772 0.1421894111689397 0.962658850486321 1.5533156442682374 2.192953475168613 2.5745268880580054 2.8312686039305834 2.6675085406635746 2.0555205306494506 0.7299166399082326 -0.8717266101313493 -2.697708835216768 -4.438781583076025 -5.317539652727109 -5.036219100331204 -3.6228124416292635 -1.135516839929026 1.744951299330263 4.3742581488077334 6.347323967061863 6.990615671272751 6.307424824365803 4.109358487687513 0.8435199842418445 -3.020805467335607 -6.5581896428350746 -8.653005212123162 -8.807026356853806 -7.1305338966666305 -3.7039168905753312 0.6718466890844359
0.4040419870296418;100;13;15;3.197983252539097 -3.027878789137393 -8.272710077965085 -11.816863342235957 -12.63275479079759 -10.670284820525701 -6.357166225692736 -0.7931734301470661 4.9121421465204875 8.846011768816911 10.79086391584024 10.311480352919999 7.759869080899009 3.6740929449731206 -1.036357641410111 -4.799726573418119 -7.770099419337282 -8.63463122940845 -7.669953290406286 -5.182052107282112 -1.9196268984358262 1.5866206994935534 4.432007424171252 5.9203219473028765 6.051485229839443 5.350140786471143 3.7615039792531317 1.865224500928532 -0.2710970018439143 -2.1008120912115444 -3.365632453268546 -3.911547279899562 -3.885780549932075 -3.3607785710392135 -2.4274399034213108 -1.2096256599584365 -0.18867351665207183 0.7496375557106734 1.6893718477858233 2.6402277609816847 3.424171856716539 3.742907302575599 3.46238137147017 2.476700968679184 0.8649489896623888 -1.265901943605015 -3.628773639780803 -5.401421430007409 -6.107218983395615 -5.569364601287589 -3.925018918486298 -1.0156853723830859 2.1395336550598074 5.201583143885323 7.288077112863281 7.974372213611192 7.266108488047511 4.781335789713621 1.0640320077677239 -3.3697020988999697 -7.321376853529396 -9.722633161914038 -9.993452867033774 -7.952292311910216 -4.104927947931039 0.843531907407384 5.647352995440072 8.890983641522693 10.527781960537439 9.773527123923467 6.962957773403391 2.504929832330591 -2.663682236167187 -7.405422862799548 -10.550452391434154 -11.41279880064739 -9.516277782066053 -5.391153661386627 0.04776112521541043 5.454457331013285 9.354499394200989 11.31584166378378 10.643996670433337 7.753556726291418 2.9887411204666874 -2.339027707854219 -6.818153113421915 -9.823054677507173 -10.502642805329957 -8.80358633128652 -5.205357665111286 -0.6898367005795063 3.7202586727058304 6.967637038950306 8.71336539833452 8.579072092534695 6.632539163788531 3.3064529048714393 -0.7602103966945262 -4.145192862576394 -6.650531098374818 -7.39461662863827 -6.429270607747648 -4.176228477857639 -1.1354184738133246 1.7579423574221056 3.998707665297916 5.114720190601888 5.094396578012335 4.4663630641279015 2.8117340356669787 0.8646362950306575 -0.8880936548529833 -2.242267373318216 -3.1116565271829044 -3.263557848466086 -2.9835565366443975 -2.3263722291795785 -1.5130569536109784 -0.6933625921695894 0.16879284206657333 0.9205356527988886 1.6092668293447414 2.1672832843801726 2.692166800854125 2.8940700322278103 2.7375644459551407 2.0305924607612873 0.929559758330245 -0.78750483032405 -2.742623784422553 -4.415451025061041 -5.232375558223941 -4.939687613649912 -3.6094288806202233 -1.1272585093199043 1.7338369859561722 4.478895849582957 6.3691229752323775 7.030165195985732 6.3582144326184045 4.211003858530549 0.9160941774808399 -3.084170938286504 -6.637727926294784 -8.733975813920592 -8.87242145827413 -7.091518222075228 -3.6991187779912647 0.7522895946521795
0.4390301582910865;10;52;15;3.496183545774837 -3.0890723208688735 -8.69249935180912 -12.243851900356432 -13.148796318478347 -10.881961778386763 -6.43000253626448 -0.5651040427603184 4.798842842908135 9.020913837971522 11.110823986185688 10.503896398397501 7.8306372991770035 3.7295629726273667 -1.12719812425572 -4.963869331837123 -7.7827618211403005 -8.618275723234111 -7.743788454555651 -5.319852362223542 -1.9794413814562708 1.4784033567287578 4.165172748669433 5.576799009523547 5.932325882673516 5.160807840831226 3.3080706092023884 1.496946186852241 -0.4539337934332643 -1.9524354115091556 -3.0780091617211296 -3.5921306751317736 -3.7693558384753834 -3.2478988859302045 -2.664720705423859 -1.6961077371753954 -0.6603404236621557 0.6711386549759635 1.950042631321931 3.089659755139175 3.9191032275003743 4.302439153489285 3.794810380642299 2.5946945379499367 0.8035943028870026 -1.2594841074442225 -3.9674765417362026 -5.787168527763014 -6.81687233467202 -6.404216960003076 -4.44265738111287 -1.282617933227803 2.223674857345154 5.2668543982313345 7.637455094159024 8.326210213190516 7.417831923393207 4.8590086746937535 1.035681604751462 -3.3926630387832266 -7.525820680708618 -9.835671694357492 -10.075485015182469 -8.13879523651658 -4.141238602417934 1.1427977854859426 5.851999516433465 9.295973574604426 10.926121844194041 10.192099465645981 7.333801298852784 2.623801677359718 -2.7518309682376785 -7.778681021579824 -10.854073109571477 -11.564160694844468 -9.637674068934501 -5.591327841447955 -0.3105084966848624 5.127128744364387 9.246130127230126 11.190270730503512 10.750483615721922 7.934673457019844 3.288513925389799 -1.9086004703303092 -6.601483810763965 -9.67087277721557 -10.485486523973252 -8.941875820633314 -5.39041865592385 -0.677382184936944 3.7890453377947977 7.241455227894122 9.016929192971848 8.76672579492475 6.706627406741929 3.446105481272177 -0.7708610527764251 -4.062667249221659 -6.479239056050992 -7.264805663844835 -6.519600894493636 -4.412459848983584 -1.3502276664925423 1.5640667818661755 3.8595093230424116 5.018733323352984 5.090881551887622 4.354751080748519 2.603452679966112 0.7859802296663152 -0.8447677559190278 -2.1697868346214424 -2.8088848538174704 -3.0093555745443137 -2.808824084135043 -2.158387903747375 -1.5217508643805375 -0.7960629708537553 0.15400259992958648 0.9507757813986107 1.5410440146003226 2.1905088416147587 2.661560227223183 2.9230446706528053 2.852344145185616 1.9472454951481732 0.7015774869755849 -0.7954141198774571 -2.7649306809832286 -4.295075515010079 -5.211321170972285 -5.035761404621782 -3.672558965206275 -1.1705801774531848 1.649340973341463 4.175627826374659 6.341048151187376 6.9910633669078495 6.313069866321422 4.151646878910404 0.8783333199079154 -2.931914614364838 -6.506410796460932 -8.60556255182299 -8.787464673004054 -7.0288839104046765 -3.604499228596978 1.0122788346613159
0.4656736153934771;25;52;15;3.5736933526198476 -2.8170766454705167 -8.759617542959035 -12.447277258427627 -13.14985171093772 -11.069360863499812 -6.614566984925057 -0.6731541727438778 5.018951786515128 9.11626993130156 10.802410155501459 10.70425404136084 7.968850634111643 3.670328686226807 -0.9299273311578381 -4.899575777065356 -7.726152938867905 -8.772233021336381 -7.414693700933925 -5.198750308311151 -1.8346943441150716 1.4519412369775442 4.020441288367084 6.0218523172911915 5.823809306915502 5.315454759443575 3.4474016447518006 1.6305929493852265 -0.47483106413256826 -1.8518475485258303 -2.7903677931162827 -3.4008292533230993 -3.445781895116719 -3.0580745904845847 -2.256431709360976 -1.6188719708286734 -0.45665756367712934 0.859679912039509 1.9573078776270798 3.144147852418501 3.820677495971264 4.132427505297112 4.27835397448112 2.8666121358449215 0.8007694741997337 -1.3324850346240613 -3.7893513717034772 -5.904296321368297 -6.9848628139961155 -6.361282794749831 -4.499268186476482 -1.4176570138012152 2.239877285458693 5.252550445766288 7.622128826403521 8.380819080598211 7.562396074759759 4.6949447630146075 0.6919675117052562 -3.6822259601311598 -7.970413215820895 -10.265423349937201 -10.292424319847154 -8.152659185711391 -4.126851572412354 1.1282894084246293 6.013372254264858 9.557944752420832 11.11055244570598 10.38514013115046 7.483655489536471 2.675534754162918 -2.9376952342511897 -7.857149297086918 -10.95078921300951 -11.671887649349168 -9.830264731094422 -5.798636305302617 -0.4381096373619237 5.278382945453364 9.25848560367506 11.247957313093387 10.612243357510259 7.8573074973977945 3.2586737036084563 -1.999690378106641 -6.757528816690389 -9.899402168021199 -10.65685318223626 -9.196451558869246 -5.757349844603292 -0.8848218997671023 3.679576447266591 7.210664999052047 8.707227660409346 8.829280875237199 6.702639684796309 3.211331428669762 -0.5603660267767533 -3.9375932427116203 -6.394006884118776 -7.301625168267499 -6.221540217680182 -4.481599593619819 -1.5064640199949637 1.421422067842372 3.603005108935017 5.255024310306626 5.025412603764599 4.473733118904326 2.778347825992345 0.9447407365443747 -0.9219460218383897 -2.029505215083932 -2.7291354149422378 -2.935122522822346 -2.671927682065161 -2.009684875465621 -1.2711575595893825 -0.6506199668014645 0.016755666408297402 0.8995909779011089 1.5602615612769597 2.2313493374610798 2.68575463781242 2.878206837404784 3.0129989930660543 2.0747229810600416 0.6690943609360125 -0.8535433980652692 -2.5837768345943317 -4.262356425678296 -5.293878707641207 -4.889880320390473 -3.588452186253696 -1.2731634398822926 1.5975098188862438 4.047736106614851 6.137525484700648 6.923813636318756 6.373688009161058 3.98927644135612 0.7701188617799438 -2.919069711205416 -6.788472123593262 -8.78905083863906 -8.828098821162893 -6.9981567589544875 -3.5373102676903123 1.0832656122560154
0.4901979987253593;40;52;15;3.692822314944561 -2.87216436259101 -8.61872341886921 -12.39140222776328 -13.224036877688407 -11.18302478520673 -6.5877198623123885 -0.7916168320395076 4.994300064834713 9.360687901734266 11.179296802788194 10.726053434149597 8.18977304530303 3.793339600480257 -0.8695477477835546 -4.948969221095099 -7.708435114876111 -8.54468056086851 -7.582349562386425 -5.003448856773074 -1.6845739976070822 2.009012108062039 4.505135275371352 5.802661842048988 6.051213689359736 5.379161386776201 3.505768617013918 1.4032864522838893 -0.2747672214297627 -1.8395597648917006 -2.8283490369425675 -3.237359576829715 -3.2470581104505434 -3.2070476207730736 -2.3432937010988026 -1.540447157183062 -0.6964533843720393 0.6579417299694417 1.9233516637160064 3.0486754120698922 3.988146817575807 4.094143759222541 4.074711691720752 2.8934319505623223 1.0438832041697101 -1.2195916955674184 -3.797197583864998 -5.842865480180755 -6.936017066344705 -6.532748684519588 -4.576574530270833 -1.297851988759496 2.2675019138500145 5.735342495557874 7.982213041117307 8.887273613948672 7.701000181829501 4.919160660222616 1.0014532734333161 -3.7009857149438146 -7.833423736136156 -10.124852305171673 -10.2323284885818 -8.247773738784693 -4.200500581332005 1.09132432599691 5.74312832265521 9.52420911707224 11.168676723856631 10.453829872442137 7.464443808288042 2.6729922352661664 -2.844201462454784 -7.963459317983626 -11.032202125786634 -11.581785441221404 -9.782218989388893 -5.742739351398406 -0.33194733390924874 5.1821956920997465 9.116683780531256 11.271643642983342 10.71533950836669 7.8896277376113675 3.17647251574187 -1.9776550220256737 -6.684217502588278 -9.827066245783872 -10.640839217061895 -9.360375854126104 -5.751874034674685 -1.095613274123169 3.4868057837688475 7.1671439063596605 8.88773207889458 8.727364733150942 6.75852702324444 3.3647667998159934 -0.5069668798985204 -3.8913913608640485 -6.305001991838895 -7.174099605075229 -6.4550588763367545 -4.379153447594416 -1.5539432190282416 1.732620630762015 3.9237571082432368 4.931663060836458 5.118621758061028 4.482824340319123 2.7448985389258245 0.7114901087260408 -0.8698264037007615 -2.1794082522845066 -2.7755182596732406 -2.997732603543575 -2.75090307672593 -2.3176919723576535 -1.2535789674016313 -0.617963666397886 -0.06503768188864306 0.7430750550131529 1.4239235287416605 2.12280333840746 2.6350882997067675 2.8581266881631833 2.778511865673075 1.952865921536227 0.7220858605537213 -0.8391098292522609 -2.8538446110485896 -4.457062488175881 -5.309523054683846 -5.060018892602906 -3.7086226947810275 -1.3021036549745197 1.5286556532955926 4.308055349076663 6.334557333714935 7.1339898137948055 6.2542582753701526 4.030443285781806 0.805878021783353 -3.0491437548772073 -6.596406080717083 -8.64598746765752 -8.773011488660643 -7.022906942905165 -3.551330371891868 1.0639268146782055
