rmse;hl;T;RS;preds
0.4207134058077584;10;13;15;3.2775726902251536 -2.7467068916924893 -8.0074173370003 -11.583693147707736 -12.80641146608068 -10.841046089673895 -6.19048460225029 -0.42407732153114597 4.91152329576716 9.01942613460678 10.664368360303293 10.347286003653556 7.867391418498322 3.655222420106421 -0.8749552879739906 -4.975527880025358 -7.913955103899839 -8.828496516426373 -7.657657814407292 -5.183880197792098 -1.9226299976788237 1.4295741476618065 4.051673828188854 5.831964752144564 6.190051259703107 5.154249715166222 3.7339506975459265 1.8985860950356 -0.1110973030635068 -2.053364046255967 -3.451079626798718 -3.9170461669227605 -3.634213295594547 -2.9844078891257464 -2.017498395076468 -1.120490189784985 -0.249163713829239 0.745506755778579 1.9224124259660833 2.9246367978705803 3.5136459832531384 3.6260214338452963 3.3155660495260992 2.4226492207967816 0.7192550222064021 -1.5162823621985524 -3.6568503869170197 -5.298498741978666 -6.067889844935995 -5.620214209986131 -3.9411978848870013 -1.3135623939854066 1.874138990260573 4.912954075631908 7.194859496965502 8.256625849865127 7.591260904676316 4.932410374083019 0.8494959901957475 -3.517199348989255 -7.1529840635229025 -9.474816704684311 -9.923172344688172 -8.025865935654197 -3.9042568410994827 1.1344796467400013 5.5676397106797015 8.666885052878863 10.196218727030779 9.731636812582298 7.105605756682262 2.7434054509056764 -2.7095850773306616 -7.750734660028056 -10.899628832770453 -11.446669821617593 -9.40033307417689 -5.237379056949883 0.12197596766742609 5.361275869230367 9.046170179530266 11.019021765422927 10.617171086442289 7.674559216081664 2.910117843807579 -2.435335346717962 -6.809003045415907 -9.605519983801997 -10.31316139704816 -8.647269784880388 -5.056039247640394 -0.6869731216042337 3.5305799552652664 6.742680751624115 8.775324320369991 8.824148529399782 6.714633620092625 3.1934853344938565 -1.0066562668145678 -4.656114736821759 -6.802907615497487 -7.342901628892501 -6.4508819222154745 -4.230993884890321 -1.2691189867457993 1.8418179808105142 4.028442117062376 5.035593448662415 5.119624073202838 4.521073470751804 3.007885878140797 0.8235873360965157 -1.111143966474939 -2.3650994400885725 -3.046152194181506 -3.135365934167451 -2.829995203023514 -2.281988053149426 -1.542147169818058 -0.6397666169053929 0.40129342825268405 1.2362311722181638 1.7256248095362359 2.108224576207639 2.4483671042473802 2.6253930353410064 2.6209799256183945 2.1179761871460303 0.7925217205923003 -1.0430296140751059 -2.8951879952479103 -4.393948942174287 -5.090851044833491 -4.8356106862732915 -3.4744413388914013 -1.1428003556007276 1.6104270302753896 4.243744486483951 6.301773628518292 7.178058602865525 6.464764070680634 4.213811187087751 0.8232950262316747 -3.0560868834036663 -6.5179047280410725 -8.5736738532783 -8.795725503631758 -7.109692972539957 -3.7328063360594546 0.7427621199950196
0.4239759969824755;25;13;15;3.1241011649640598 -3.118323692119859 -8.298244883131915 -11.640358953480126 -12.652651092518935 -10.737066086094563 -6.307242777723847 -0.4935534148210704 5.316272842446886 9.330183059628654 11.023361797679328 10.415640357837153 7.764105266229744 3.6543151056706846 -0.9986310148608324 -4.984471408034762 -7.783981060971282 -8.745174358689948 -7.765600924364677 -5.282409776246875 -1.953540419721903 1.7150737695793288 4.4574503055779555 6.005517965120231 6.186937005787822 5.342963810052811 3.8645343603899733 1.8044282798422893 -0.0807680391859204 -1.8654789959926208 -3.2395369007045374 -3.894767924421205 -3.8451521710468852 -3.161789399785222 -1.862014354857769 -0.7820555590542256 -0.07698185719974365 0.6843538012717574 1.6756811691095785 2.7259751290506835 3.450727438700853 3.741441907068962 3.47886534013774 2.5200528293445563 0.7267587318223424 -1.5033509199344075 -3.629719800659104 -5.3215039129598924 -6.071575641560694 -5.465323443407587 -3.723855884921673 -1.2397712686248892 1.6596525884419708 4.556191808684742 6.844289199115803 7.926014161892175 7.435047435959366 4.930033817958213 0.885540681167461 -3.5540807769490756 -7.28793275880916 -9.57008202810895 -10.015846879626537 -7.979490206360693 -4.0411659355713905 0.8385672551240064 5.346434605079554 8.663059639831879 10.08199787810769 9.559713996339607 6.987005644441965 2.524819018614437 -2.7911420296398677 -7.5792580009474895 -10.6843195402205 -11.45663758800867 -9.436716421511752 -5.438752476693544 -0.12400066819589717 5.251781593898108 9.199666704977169 10.966002909832671 10.488091665547442 7.719717244017159 2.9114695846233465 -2.4834428196515264 -6.903479132205476 -9.681513625532267 -10.387240409163722 -8.704761750639198 -5.288125203341002 -0.8213658512199287 3.69070729922514 7.109225014350885 8.796312937902059 8.63443173475314 6.746562318934608 3.3388696842640577 -0.8631300077773228 -4.459063656895312 -6.713245410639957 -7.392042763354697 -6.456671196012298 -4.216703394063787 -1.2362273961319359 1.9432223883241782 4.176689757344167 5.167564044891484 5.167892508871187 4.49988754406097 2.968062312929528 0.830606426726009 -0.9711023487211926 -2.2613119379399684 -3.05852786308421 -3.219798292462909 -2.905787497103462 -2.2089161639037145 -1.2488021049755018 -0.3901280307484503 0.3447405079346753 1.0450341742625213 1.64430862824728 2.1968658119385633 2.5566915631929104 2.7017711030053664 2.635451379328359 2.067367926395103 0.74981198008397 -0.9979587021716982 -2.8345669677714507 -4.381397695043558 -5.070380508075031 -4.713754011367719 -3.307850485354354 -1.1218688538777777 1.3899675071397086 3.919397075838188 5.976909290953652 6.868029375559806 6.338335823336247 4.2054199708756 0.7455234866721586 -3.1618924774744026 -6.580630578853508 -8.597897879472265 -8.914895620108494 -7.092166688433283 -3.6788386272631937 0.6772037481304504
0.4165613402952349;40;13;15;3.1840743030098295 -3.1637355680958734 -8.491136316758027 -12.074795259262155 -12.937733211333452 -10.681402595463982 -6.303465441957264 -0.7960941249314555 4.746363606713103 8.696996045903427 10.718861842238024 10.32682200540523 7.6249465396532905 3.51952487310063 -1.2884858614553634 -5.355479934710492 -8.161401558379595 -9.067192905873062 -7.725246778286897 -5.254924571968718 -1.9264371413592556 1.504295664552653 4.017825884313244 5.706961515391277 5.991143627516677 5.335017981766299 3.9499461490417698 1.9126204301121545 -0.3359738301815123 -2.1033103790103267 -3.4195490078384596 -4.106269880981605 -3.879566657594746 -3.1807760793613715 -2.1852836805678097 -1.2385672212145147 -0.34425793021292916 0.5766242986711954 1.6631185757406737 2.667338154781832 3.382460777476708 3.7414692149642303 3.386171189668972 2.35585833977184 0.5948563572541633 -1.5579051715515662 -3.6988283912176394 -5.3270785697770044 -6.033096509418571 -5.5611137707342095 -3.8646488544135336 -1.1702826752420603 2.034016716980602 5.091452325360549 7.321035050124099 8.221099431976143 7.4126795774071415 5.049264704117379 0.9457522825240217 -3.4963368862409614 -7.1538548392255334 -9.48646140661579 -9.774101236747665 -7.932033699803765 -4.032505486588991 1.0274936592808481 5.6588611578952115 8.991179770825307 10.376896992961944 9.662935532743324 6.938662977452677 2.665930452011677 -2.5566022095475684 -7.333880023379725 -10.441183887010661 -11.311546509648919 -9.553222672036005 -5.217976989671064 0.16159544482339103 5.477515963930317 9.25786175288457 11.109452437530395 10.629060405576451 7.618989572302426 3.029504692664366 -2.4121782515306673 -6.921518497048594 -9.636850985894029 -10.448009322354697 -8.710613332591423 -5.0866356288878904 -0.6883808724516692 3.6687444436830177 6.829908323002114 8.63695867661104 8.633600959347802 6.673192542859529 3.4103406000724004 -0.8315297729150432 -4.65451857111243 -6.775362026155146 -7.493265823366686 -6.470256681599024 -4.1693653499257675 -1.2452595786463998 1.814376430702962 3.898571536441243 5.018180626937489 5.018974478991478 4.285058255078544 3.000764479058609 0.9609304722558881 -1.1905597490241853 -2.6284388973052053 -3.2649597819625926 -3.2839076150961777 -2.889181989071037 -2.243651614375535 -1.548762026673936 -0.740610491406856 0.14683475819453098 0.9904456916217168 1.6216642291781866 2.0816657249682575 2.431064283340012 2.6147039174347864 2.4818808148696387 1.9075775080162833 0.6944570975162856 -1.0100937923632731 -2.8683452957450384 -4.381644235337456 -5.11766585951373 -4.849785022390375 -3.455868893163191 -1.1032094844266016 1.6845764275294588 4.370394658554671 6.367972582066931 7.120328173795923 6.273676111996942 4.10191189388069 0.7320002611635521 -3.288555341947149 -6.595049916791519 -8.554515249347435 -8.83324424402058 -7.066089571543524 -3.661636576335547 0.820228080360304
0.4052452165293032;55;13;15;3.218118402189477 -3.105609366854007 -8.247469890372555 -11.916820238991294 -12.86158726077887 -10.717708249913715 -6.309076252889238 -0.5526639022245963 5.485576408453307 9.61500056109184 11.206337772995441 10.236863644500428 7.4673699838823975 3.540037717865844 -1.1080764436762034 -5.176715913775792 -7.802574276084626 -8.89061159346859 -7.864864739045746 -5.276911273841919 -2.170635110156846 1.280157460229773 4.2650854143268 5.942430573159176 6.1689187949480795 5.305960073491649 3.6761798835607875 1.6675357239548394 -0.2351192344465197 -2.008526597626189 -3.3751340623488497 -4.008703771226073 -3.8618992185928125 -3.1279591483488 -2.0666535681045417 -1.0689388451017023 -0.195382785267338 0.7113427999388907 1.7716180359868652 2.7245297336926937 3.3518836271413717 3.519157562678363 3.1827892934592588 2.259945511534754 0.6499519590486427 -1.4373085060107562 -3.5452157110612874 -5.178827083312781 -5.91500370864107 -5.488491692523935 -3.882762450577592 -1.3295192433506553 1.7697364835410732 4.785053509652506 7.025600546675294 8.016856375519877 7.35869379155345 4.847853207167639 0.9416062901713204 -3.351536963891321 -7.028859294837111 -9.309190089082996 -9.698768369159232 -7.93484141297921 -4.1560725588221255 0.779170611747531 5.260030501360271 8.693732944728017 10.218489661785714 9.594076559424634 6.949142286107224 2.652874970364096 -2.564629192283398 -7.500615108757977 -10.581101080762728 -11.378732393609637 -9.461781992421864 -5.180167862508617 -0.21909142301539844 5.1411226945254045 9.251458628371582 11.1096278234493 10.467809207109912 7.656819084231764 2.9627449657171248 -2.4703621455090152 -7.016914590675926 -9.657360369095054 -10.387564257724506 -8.720979563482466 -5.0875137123371434 -0.9349682340079325 3.5385419375179934 7.057263858929461 8.829843187108775 8.616963912619433 6.706035094647383 3.2504521040415613 -0.8852467106167298 -4.479986889326033 -6.766690423243693 -7.34704858279081 -6.487185268955748 -4.205952544929532 -1.4034055617263677 1.4165757818233427 3.867805923166733 5.153252015443331 5.19321577400425 4.395462921792485 2.823867972003824 0.7832537190174673 -1.084727808603789 -2.4560972317956553 -3.1918019305395235 -3.267537108810355 -2.8948551081584104 -2.2767758990265414 -1.519144883473656 -0.6530281096994939 0.2868992607337484 1.149141486480356 1.7139895307517148 2.1010597152639683 2.3415645796902393 2.430279854432982 2.3625216585263624 1.8819227019575713 0.7119724200030283 -0.979340871490789 -2.791805111491165 -4.276461530511601 -5.000969992195574 -4.759182810546435 -3.4646470353280137 -1.2446643819150294 1.4441121403278467 4.074777461440342 6.088710506508695 6.940409144276858 6.26335565067684 4.086444086611684 0.782414097392536 -2.958101347453912 -6.311002036432999 -8.397020232644104 -8.696342457295293 -7.060574915172354 -3.7550684245947954 0.6000477419919144
0.4226505428217075;70;13;15;2.9932901927382747 -3.162652483122989 -8.220842000158516 -11.73509196525616 -12.620883933339101 -10.661007828499434 -6.182999931237389 -0.5877464706609155 4.875498412634972 8.899089855616623 10.776937658490029 10.339691331823095 7.649024410914834 3.6184175311769997 -1.093885857438344 -5.254397260357274 -8.089764872108429 -8.858225198917184 -7.777409473667766 -5.381261280171221 -1.8394349562717782 1.5438610547681664 4.17862900252644 5.7507660717289095 6.138091258136412 5.185591101950821 3.726866414124209 2.0075847897614802 0.0637952888572047 -1.851913702863663 -3.4096766267716996 -4.155862941879575 -3.937018623056262 -3.072061809826346 -1.9247352056330433 -1.0480916709285768 -0.2703825734571484 0.5481227406853514 1.7051175417355486 2.863196148917836 3.5964927528409554 3.8499065593641433 3.4972243227409683 2.5305429073099144 0.8126783607870196 -1.395744447094393 -3.598643800462322 -5.282392083807687 -5.985446539885308 -5.501634867130968 -3.8626261470724828 -1.263046922385654 1.8870477400483683 4.885923105498984 7.220848920895808 8.218621721253372 7.496605585785411 4.867302582490372 0.8215801096397543 -3.599770347296689 -7.310792928712695 -9.44531802390294 -9.708978445043533 -7.9118427805081195 -4.036213975690039 1.0487277594066449 5.735722498382167 8.953325643328403 10.283129372976372 9.513491345106901 6.995577246610183 2.856253597318742 -2.553944882105218 -7.873544034322063 -10.839164537228102 -11.616516468583429 -9.421904772965666 -5.345376782697805 0.12285554151237103 5.440466073179969 9.249896309067655 11.163322068674637 10.570269968628558 7.691106262141121 3.169320731818469 -2.3317936156267702 -7.038328595984985 -9.707549972888245 -10.356956337929713 -8.614535695437121 -5.2185800710764205 -0.6881745247641862 3.6510027733601444 6.953261547492023 8.742341767541609 8.701762235173307 6.665104021204785 3.4280099621655493 -0.7461380324891741 -4.709544749314009 -6.968690386105546 -7.560572477455775 -6.412206634769314 -4.35281786724522 -1.2881794168700844 1.8345746577452284 4.033432923386291 5.092270792982103 5.069444084865728 4.311688068383798 2.9322710853800906 1.172358485959031 -0.7301173364955522 -2.2902581146149656 -3.1506650863368075 -3.2603574400643205 -2.853214029438844 -2.1572365490363206 -1.4843704904047104 -0.6768502098293018 0.18651370694635253 1.0334172609991135 1.7211541993862638 2.22092368305146 2.5595823539088904 2.7283505313207597 2.697280492706747 2.20417394317783 0.8984491424915738 -0.9220149646584853 -2.88073384935889 -4.4160179523515355 -5.082942909134815 -4.798230023833781 -3.4635570272267513 -1.1768222430768294 1.5734818518417566 4.22231701953638 6.317638746432535 7.141389099557713 6.4074917219386975 4.18940062104583 0.7820939027050622 -2.9704558623532393 -6.39861191834475 -8.482610099542507 -8.660242188987436 -7.007982216595575 -3.6403014177663464 0.8360096399612089
0.461885227576752;85;13;15;2.952159694736572 -3.4891633713868186 -8.584449317980122 -11.770076840658703 -12.577765151329116 -10.506562065228286 -6.165467493238824 -0.102812493892204 5.481444839284725 9.47171180381978 11.262303573565188 10.577333867283386 7.819883373096802 3.5725387286537256 -1.2848173726516094 -5.279747833385606 -7.910900465812251 -8.786746975362222 -7.868587843640037 -5.350151818187279 -1.5368335726335265 2.3034627580447076 4.93170998426213 6.304158646244448 6.5054436037921715 5.555248080119904 3.9360175839820988 1.8153195146353172 -0.2688778988124235 -2.0616229537924533 -3.3855726014696175 -4.072782324399885 -4.0422020971186035 -3.3813610317064486 -2.24796453104579 -1.1313395973440639 -0.1950071093982809 0.7234273128314831 1.8445493472646828 2.941373460723941 3.6990842845622924 3.8810114059291663 3.4383642698910535 2.42347768849266 0.7637526125410221 -1.328400581190274 -3.448139604947607 -5.124007060489563 -5.901235144770575 -5.496250980962489 -3.892055211951832 -1.3485978466869324 1.7794154016314976 4.805905203089989 7.006405019393081 8.017730228168455 7.438521307932055 5.072273336662794 1.1927511375232411 -3.1909050007963535 -6.996105974481682 -9.341689561397905 -9.751861840688674 -7.978504045185098 -4.195269003987838 0.6875116612803672 5.308640862646835 8.62060393967319 10.080657098911855 9.512899033012356 7.010637358541383 2.777054354840424 -2.470876187791068 -7.377209576186991 -10.528149148746788 -11.322318128168307 -9.465372788340488 -5.3570687926732 0.03024291809184354 5.3502796336569425 9.237490063014615 11.092066923700736 10.540633594516118 7.71272257664611 3.084350100291636 -2.4019666371733943 -6.958608003477993 -9.658176529007148 -10.309314445379556 -8.75107132559487 -5.172646652762611 -0.38720469171363875 4.157203843288328 7.378069320173487 9.032314691936806 8.83846940506753 6.88185640140327 3.484992308752104 -0.7889022926334797 -4.590931944671686 -6.841340978068668 -7.4263384028654045 -6.534874084931576 -4.441683912339301 -1.1908643666728091 2.1642778774277156 4.439441710194293 5.388502994667329 5.356595449828723 4.604679861369965 3.1131366603957003 1.0124053740633325 -1.0052351024059003 -2.457033392599633 -3.237499193252001 -3.3604370300392414 -3.0239849140431168 -2.426511242673076 -1.6599309298371387 -0.7431441640840136 0.22976931689636118 1.1400221879338046 1.8587388758023733 2.3936788131724622 2.7136804222881756 2.7506258891854913 2.571779559946744 2.026587815612966 0.8388421610133421 -0.8602421016981672 -2.7115672074470534 -4.227036163167671 -4.982919473423403 -4.752395837026721 -3.460241617970266 -1.2369923056631233 1.4702939695343198 4.121713964132448 6.1179722624522475 6.964021627464115 6.38131652739692 4.3415086746347376 1.0611318900593463 -2.7444391825305128 -6.200783524948772 -8.371019270166501 -8.694289365113029 -7.109385277945388 -3.8766516359294436 0.4584215932306963
0.4325354593428911;100;13;15;3.0208590514843303 -3.143846189502906 -8.201851859018179 -11.785444647184473 -12.658544982477913 -10.576459507803648 -6.477255195152506 -0.7591124077647173 4.939196193748004 8.951323320754243 10.840364283741597 10.244437546945754 7.698252469099996 3.5125732829728205 -1.2190357298968557 -5.060379279896796 -7.761953974182544 -8.960906731307434 -7.746116164163569 -5.216528901985373 -1.7799268216820519 1.6191672875432557 4.156063450197205 5.8456998542279 6.166699163066505 5.349626936498212 3.7787971847044197 1.7915045299430086 -0.08474071294277445 -1.7673353819449062 -3.232046845036231 -4.215081458932163 -4.012134950573765 -2.9623819561917375 -1.8737582882959973 -1.124932722803203 -0.4386261796625571 0.4911328940430541 1.7645689451344013 2.904982421024215 3.606763983025926 3.8391776334697507 3.539763100440191 2.507921585335414 0.7702043912617781 -1.4351898364180242 -3.710557709162626 -5.434117057626356 -6.122449865826802 -5.533185486239873 -3.7582134479695384 -1.181208717986099 1.8368010204460599 5.009102097924718 7.209422682126473 8.051885866638633 7.4190903942849955 4.947520101767593 1.0348064059390336 -3.5083108213886307 -7.393616621205919 -9.525474004261248 -9.773882773585521 -7.788106476247972 -3.941044806826203 1.0771338359136116 5.6822671010858645 8.96352341142892 10.12974900223892 9.58351648093901 7.0459076206803894 2.9331910922178532 -2.4129340263785783 -7.474203373996624 -10.836161437985105 -11.655665990323469 -9.497752259763516 -5.222563177603122 0.071424870802896 5.467237041380482 9.25287633121606 11.06986906641201 10.521572683619027 7.767806832202414 3.148553077467127 -2.333278049736446 -6.917040771461123 -9.667394289823962 -10.390823512717482 -8.638261256387882 -5.1823605711131675 -0.7713224023591577 3.7127305398314463 6.962282383768311 8.777448951545495 8.626905524969972 6.7787210194860315 3.489318879369993 -0.8693576502168472 -4.668514828982906 -6.883885140423295 -7.593278874385532 -6.446011886019927 -4.173829229256484 -1.2388201077094265 1.7395166435536806 4.024587473028907 5.1088828395246635 5.1198663826960615 4.4158961505813545 2.93822151422082 0.9936295614390239 -0.8501636614076066 -2.2925269776316717 -3.1883813281935196 -3.2543916264938626 -2.6924397575938883 -2.1690952910201475 -1.6392957764705836 -0.940012502267655 0.07366628169249305 1.1284726790175197 1.832583104481878 2.165545771466463 2.4088620029414907 2.580737318831146 2.607977136670134 2.1842924492588485 0.9546517717445774 -0.9295708862009415 -2.9814084437560595 -4.565924066498056 -5.242307555118399 -4.847169618336535 -3.3738928992780055 -1.0478677269564667 1.6398103255837968 4.357576870981396 6.302743251109429 6.913838946799302 6.221416492818785 4.072625906987815 0.8136831759474104 -3.015920431028574 -6.593949908615933 -8.58659625701373 -8.674439986817355 -6.80152606676787 -3.553393464148456 0.725733483817781
0.4609695257616787;10;52;15;3.2005921180828025 -2.7911935684844584 -8.35559146319479 -11.709087156596127 -12.46431584660191 -10.84535304476138 -6.344472669812017 -0.7747105044636102 4.8857915660598055 8.762699611154808 10.780545377611356 10.381551642941293 7.629450419281301 3.286598141920361 -1.1805077512378455 -4.985451799936708 -7.833804508196936 -8.72547190456318 -7.544585435558434 -5.184499817781911 -1.9927684035835587 1.5345728126582843 4.2256443519584055 6.019863840973787 6.071795765408727 5.142225010410449 3.3444658797027893 1.4193000328400118 -0.3819616238994562 -1.6264818350797399 -3.1256206694300728 -3.496154192575436 -3.6671735405648236 -3.2658913273476515 -2.180736339078317 -1.328113079053473 -0.09865971062364592 0.598602779329448 1.5886147527754848 2.356671999665355 3.075698112910587 3.325294967988141 3.4869100153127577 2.7417079382892613 0.7590528179953762 -1.606212069044236 -3.9945698200245268 -5.256993048880711 -6.054207435551979 -5.154970367541084 -3.971990421438536 -1.327077686742747 1.5076329970490017 4.497461756801033 6.690039591148691 8.24136958262989 7.6941985928165435 5.139951147356581 1.0007611529046567 -3.5870187140612457 -7.506161303825091 -9.651913405534687 -9.686842126673723 -7.558116305354624 -3.4562092803084337 1.2967225833466611 5.443242632277715 8.6141385070048 10.105964979315189 9.467374079272837 6.890918776449825 2.7294443856044537 -2.4828431998103593 -7.735330699387424 -11.102390339753866 -11.798428589838817 -9.96336572034029 -5.224045111694217 0.8319783599995454 5.92410774467081 9.474072590596613 10.873929148590202 10.198427204983302 7.265649253865116 3.1603525882414996 -1.9292156235482174 -6.653316503692157 -9.79478446739462 -10.66690171845841 -9.039908856936105 -5.537903982847595 -0.5721609221322074 3.8876572245536223 7.142298337084666 8.819575418487993 8.606878453045933 6.5963496640482475 3.147457107783095 -0.6250107380045731 -4.187540100390497 -6.903162206773069 -7.713682076950006 -6.706653053951308 -4.276299221612966 -1.2617033547075545 1.8811315422312846 3.832362198200038 4.988213096517643 5.245685779361445 4.611341833960636 3.1208476792447315 1.3235343210809543 -0.6178393385507678 -2.308256132996939 -3.388156082209271 -3.357502008225292 -2.78570314306261 -1.960590472119975 -1.1827704603626603 -0.8062618928090021 -0.021703754048860387 0.7803241299362036 1.6893755016591339 2.39192418474693 2.755778812098921 2.675621293267641 2.468996680649409 1.782574271262996 0.7633751578125901 -0.8163961988993893 -2.595140188280902 -4.148203269566013 -5.100127267623273 -4.836538385475918 -3.367003232687353 -0.9394232671190544 1.8351777391505846 4.37066158361546 6.267822606953502 7.022602062851215 6.241748567009689 4.233648257599643 1.0327267750979876 -2.797082458406274 -6.565515081895286 -8.797705518347811 -8.856481339802462 -6.938631701162059 -3.2104966848690752 1.1857125275179048
0.5449517886587887;25;52;15;2.6193266440999485 -3.851135292438288 -9.094480800992452 -12.00599705562589 -12.307598527986352 -10.187509693936818 -6.020022181477073 -0.750552344143796 4.5961551826274185 8.843470211465768 10.994085426242535 10.610015648645577 7.906894789022116 3.5324595846198426 -1.4102757089411773 -5.6435416910551695 -8.134264433611545 -8.493831721406455 -7.115420707417867 -4.536389616220067 -1.4010564096513909 1.4481516895817392 3.8139293688941134 5.373259419834116 5.770929298511043 4.914183700155456 3.233171206374056 1.207604517148715 -0.6516054548951339 -2.1061761695404977 -2.94621087446502 -3.0237091427627343 -2.722079977888761 -2.393634459861576 -1.9319787210074508 -1.2078918970725985 -0.3293645983674415 0.5278079262381112 1.398606705964171 2.1916880811484463 2.8506545172431865 3.220830345422363 3.150101358205176 2.504302712285034 1.191604398231105 -0.7554993039879859 -3.106934376701872 -5.168754316141308 -6.179511059153215 -5.820433775000158 -4.153254460954113 -1.4875332062186408 1.6099944309063372 4.561107229832989 6.76540322819658 7.75109132335243 7.1536114980904975 4.763665658383985 1.107993007575783 -3.115948289849783 -6.923576973886264 -9.340408782648009 -9.7533618518372 -7.932858321317211 -4.143891314441365 0.6748428651990557 5.367542454267016 8.846097154066905 10.328204323371333 9.441832350977629 6.468351789653314 2.0705725655975433 -2.9548363231872874 -7.549695473537746 -10.599105829963957 -11.339485948072308 -9.547995710110756 -5.569566525865275 -0.2338915810914681 5.171365611607389 9.333450006986496 11.316810901756675 10.668265312343514 7.523712710330491 2.625295149998109 -2.86915260943754 -7.5454315956935 -10.37019566709755 -10.713725143387013 -8.683815441113886 -4.860394332011128 -0.2571548309138893 4.0449387781319714 7.247739120751716 8.814884614393783 8.501573824236981 6.36258369586129 2.9217835074333136 -1.1274751455453935 -4.84857501339723 -7.2697210849930824 -7.8083158572192914 -6.712264634119767 -4.1973078652951035 -1.0296221105804255 2.0021743649342203 4.22867706680613 5.301781965515639 5.167566352600944 4.01028928983751 2.1796110683115963 0.17991610983413886 -1.4756769642533945 -2.554612579375434 -3.044314680524562 -2.896934354381213 -2.3245408694145255 -1.7193209866261991 -1.2431644669210644 -0.6336214750790375 0.05436671517549082 0.7663120065631944 1.3176668736261976 1.7508478816169428 2.047877781538589 2.1989004424451535 2.157778598353923 1.781798880884681 0.8163862248834224 -0.5345945852357873 -2.265069658176148 -3.963641513233138 -4.948891912828213 -4.9540988746048145 -3.7709446964380913 -1.5861924010213806 1.1266631463377692 3.83528798917615 5.9428074990375235 6.837356839900154 6.225498830852235 4.0832313704261365 0.8479395363200303 -2.8470347527434035 -6.187820351679562 -8.294226391726838 -8.646962090285818 -7.064771869442281 -3.8472844945872513 0.37080522088609036
0.4228656542348575;40;52;15;3.1249665560112865 -3.0348611487246595 -8.457389142862139 -11.943843516759353 -12.75677263561177 -10.795740368333007 -6.4094489219654855 -0.7742908378829858 4.762989499512419 8.876007376368513 10.844471237342612 10.425351968478251 7.822210313468234 3.6323360961623474 -1.092667867616653 -5.257821131958345 -8.092087966297427 -8.969184485137838 -7.8717624826195065 -5.297753351823323 -1.9819144767601224 1.3507601003540648 3.912319715544848 5.614565828679241 6.553392421700411 5.60305035847748 3.763938997350906 1.7805954104016715 -0.17874766163018535 -1.827527944698428 -3.1842599514083836 -3.784937492744379 -3.7870648162475833 -3.268180190513005 -2.1997128262710213 -1.2597498786502819 -0.2679950557124113 0.9574769850500896 1.893970483807937 2.6225720528361696 3.3804346085714685 3.8401018711081885 3.686356882276171 2.5911695117509006 0.8248952304325573 -1.5712352706248 -3.9474990855655396 -5.546537893171213 -6.264910155402986 -5.6791788789982 -3.7524368665747403 -1.019266937463874 1.8858390772190752 4.742459346926261 6.991604909394291 8.079085299562085 7.457219139207552 5.107373597538301 1.0893318111879515 -3.5294636709105487 -7.458471718612776 -9.801069898725189 -9.931217789099676 -7.778311788066341 -3.585455625520833 1.3737166171275246 5.83224206189792 8.943280184052197 10.124162806874512 9.27073031006595 6.614712108215665 2.5241117056651703 -2.4463398515836157 -7.286083514295798 -10.740635343391569 -11.713760268251148 -9.854561834754596 -5.428339322376829 0.3538134119056392 5.847138326457512 9.648216961812096 11.112754000530124 10.160397691567493 7.120404328208079 2.6400044900915005 -2.3200727592831347 -6.708283835302526 -9.653152645514316 -10.466340997062657 -8.961200579645247 -5.409978032064141 -0.7359288219959214 3.8295702543725634 7.216278886929966 8.857410315072736 8.588942165891996 6.561240172334903 3.2354469925191403 -0.759600824856316 -4.514467914829968 -7.030087765505929 -7.807438927624768 -6.868711181492103 -4.459632891895265 -1.2750257614159242 1.7462849630886 3.9706128411042685 4.986787316690057 5.098183529234998 4.346341402860693 2.8810128197981353 1.068401655628853 -0.7715001440648019 -2.2142700498492225 -3.2125709310547164 -3.435982206897926 -3.047550858422946 -2.259569617298219 -1.3702049303540837 -0.652355604701238 0.02729886976849908 0.8851852939107333 1.6477944233855084 2.149878539638353 2.5270709584284416 2.707467683805576 2.6307824984740114 1.9718033699772455 0.8069327411608005 -0.9421273256779549 -2.862831793228598 -4.421468762094333 -5.2620450095052975 -5.050785747056364 -3.5722578351232643 -1.078836226354271 1.7086204523856 4.262865013208739 6.194617062868275 7.030186734607351 6.27004377730805 4.192386027849639 0.866024766888652 -2.9689856591185624 -6.412623560944955 -8.568103811880109 -8.856755187991629 -7.087975118818761 -3.5382633516969912 0.9145593583813032
