rmse;hl;T;RS;preds
10.21657157862968;10;13;15;3.6375085619771514 -1.9833848426248164 -8.198368378326602 -16.91695468482288 -19.21607115356241 -18.56916575780274 -10.487720429024385 -3.075462381606207 1.8026214144765709 6.165381454588046 5.396634132011518 3.52313591738124 5.340004543690713 2.3871108421197973 1.0890699162503177 -5.295059840471859 -8.805726871936862 -9.493858418704527 -5.809132684788253 -0.06945034331662675 3.6030362900294644 8.554169673192263 10.067890385686049 7.923795796966603 6.403021960899791 5.9570940513040895 3.964570635822601 -0.6251613217841047 -3.6706325766216974 -6.768397158015564 -8.012110938518491 -8.14144024141055 -6.376377799427345 -3.7658981111218037 -1.7762662327341403 1.516291912172498 2.174926822933891 1.4616291606053446 3.2235879846453037 3.014068807436902 2.128347674735595 3.449836669908342 3.306761605120437 3.928377012009312 2.498373779494587 2.0815855002423107 2.8672838066087607 1.9028733716388992 0.7934653998662854 1.8639169554640007 3.5786186337091155 3.5538592819102903 4.699090997360124 5.88628375266779 7.29579569523602 6.368322123938944 4.606942477214589 2.0353783199324984 1.3505276760839282 -2.6954949217883533 -6.840095447345419 -8.994620447126781 -9.923928456878567 -8.453656655796546 -3.087857715648727 2.049746406027178 4.151771391763247 5.698602813671852 7.387185665337687 5.059005247279752 4.069824325831523 3.9239579360656798 -0.2138175528696244 -4.341871422687674 -8.046533800325708 -9.493234876650117 -8.125835683948495 -3.7558949933873524 1.8317652203248243 5.883563411271939 9.230931320311573 7.139377804768232 6.517355634117302 5.803305337043395 2.5066317101900397 -2.175881878481842 -7.375912928974367 -12.685520360849651 -14.024421037178413 -12.608526835479626 -4.70298230269944 0.045767667027713996 3.851757194321447 7.313437899054447 6.473318672442169 4.785204869152083 5.636592391461887 4.426157036484395 0.16868078481248172 -3.949510368620979 -7.128858051109008 -8.997846024606893 -8.444528306323694 -4.7924619793420105 2.688700248758197 6.100181642606481 5.475751597504375 5.792722520055236 7.291970932812996 5.1789149592371615 1.272720449210422 0.9102269551622759 -0.8228349397524226 -5.216510939553168 -7.5936557629427535 -6.751713232555307 -4.062281707115111 -2.0351805881890126 1.1359824959071165 3.6872269938891047 3.682510065267697 3.752209331660846 3.9698449943386307 5.677887438299554 4.1550992691116635 1.3725626849614412 2.2501970826652693 3.1943998140582464 0.6673352295904271 -0.34444526378401935 1.0897832316585419 -0.018764760098742395 -0.21699754775536087 0.43570379666518283 2.8544665725991814 3.923422775530144 5.257593648764276 4.491156424234187 6.146457370787229 6.102685553668715 2.628304007123233 1.715973078066547 -0.7262823058888914 -3.382133725579784 -6.552879172203366 -7.167743135743084 -5.836314525305154 -4.742197252214978 -0.597257814849322 4.04403014475267
10.168128473506792;25;13;15;6.736774237356911 1.7629556844189092 -7.4522216715525 -17.729276879873506 -21.480649238194466 -17.931545292946993 -10.688203117866163 -2.2919957085912914 8.949029070981421 8.020771200694032 8.484196563274104 7.887306756186688 5.00334924750149 3.3351804389428197 1.0605540889303535 -7.451257129937086 -10.171113471311084 -11.18603881573896 -8.591125409434547 -2.5750243003489657 5.534145684574011 7.481332860461192 7.860069242272072 8.147715594411473 6.666327207640702 4.710436539896979 3.014404587616871 -0.23571450911874076 -5.761315151449533 -8.674275716674387 -10.629833735866761 -9.973137477201426 -6.233473930337414 -4.2984426928825785 -0.6456180768260799 1.0837319682753357 0.5150734452517516 2.793772304307074 1.796702462402622 -0.08532448180918195 1.1484063625659655 0.017212607360297408 -0.2835172542111927 0.09850820754907119 -1.264323330828768 -1.4802957507498156 -0.5695228504271532 -1.7137918075500944 -2.328718925600345 -0.10686695509628452 -1.1538223360955187 -0.5819215335725045 2.441935220519692 1.4104913180207095 1.9806028297349725 3.048151017641848 2.530172684475745 1.294676036506507 -0.7293747021629106 -2.9408051345528174 -8.12716419040147 -11.05013378865928 -11.987860312063056 -8.366614082138952 -2.218099711886635 2.269600653603907 5.3872242839214675 7.089498615920376 6.807405685203051 5.128117507285743 4.399701733807675 2.69629897162883 0.6738344898458717 -5.3787212990944715 -10.644018621687085 -11.432728336931813 -8.700631503152692 -4.323850987723519 1.162025815440745 6.68196656097633 8.138769575316136 6.925168839719809 7.416192897382171 5.678815792206453 4.226455167045571 -0.8080647873386201 -8.137680895229842 -14.091398918299504 -16.245809091698078 -12.512252220645934 -5.47858232461722 0.6640410172496909 8.078901883000729 7.99142088133613 7.598455074986756 6.554354086486309 5.517152075838964 3.6989472879843297 1.925399176313144 -5.504831635722393 -10.099405439136628 -10.19559167245145 -9.978361729659515 -4.922219271479004 2.3974125084494955 4.930003721516741 5.973446024130471 5.7720464640200735 4.452367376211169 4.795972104270174 2.6481192132462263 -0.970661642045623 -2.904739559554273 -6.318612473793153 -9.75055940864149 -8.185145946369278 -4.560116709070439 -3.6045423382354267 1.269151001509732 3.1172156073010453 2.2772018121856896 2.2264513346635937 2.3789484260972995 1.5821117866211147 2.448552003838125 -0.35084244164537226 -0.6499580791470198 0.14555910080331821 -1.435208649610283 -1.4886912121355609 -3.1718027606409493 -1.9558486061355853 -2.687729874642047 -3.9631764479663447 -0.5836787686827277 2.338002381871559 0.22559091486396038 1.69061158367556 3.968393658451946 2.9553295453014323 2.137055864035068 0.9866713146576547 -1.8165424563936212 -4.952098836073935 -7.573653702978679 -10.538903071296243 -7.225571093949705 -5.386630749116101 -1.6097827659388395 3.5988844463948646
10.018522618393652;40;13;15;3.1298360706455752 -5.542904932626037 -10.629270738632368 -15.361263189626658 -16.28317846807936 -11.623139708126939 -7.469944601797613 -0.6649355279776269 7.571169542766611 9.287870591907165 10.737609347994404 11.53561791249249 7.051573201479413 4.2690710652440265 -0.6051680477781073 -4.747828964352591 -8.553683657636231 -6.624294919039817 -5.663510214096148 -1.7464238997239312 4.759815712041607 5.658851311785836 7.697360953779955 9.82968061888267 7.590857743951066 5.320453090289395 2.3332958920122233 -3.3223683331326788 -5.624002979242606 -6.698547921407321 -8.81077784094456 -6.8964905114783495 -3.4787048012563084 -1.0852086139681296 1.5214500524707972 2.656292763948267 2.250304601914607 4.872153145992297 3.8061123153285568 2.1182702678110674 2.2957010383701935 1.7031539302839211 0.6364531088882055 1.4537738181671191 0.7816535056338824 0.12978874100369123 0.8898989448525169 -1.7466163209047838 -1.8059401537162616 1.5697305449073915 0.6844915960241071 -0.346998324017674 3.2859515849720236 3.1586738467857636 5.094035992998268 5.974285996518497 5.1864228648777715 2.820867503098781 -0.42830149230894965 -5.6620536588284285 -7.677921625889309 -6.441854586562544 -7.5739960943746265 -6.466427432479024 -2.025009058426473 2.636589948496911 5.821859888666878 7.500792104797545 7.901275907590866 7.989038059913926 7.640050062254612 3.3154090756205274 -2.9572816766065864 -5.654447280865609 -7.339270090433264 -7.943873446774099 -6.37561994530095 -2.4974002737498155 1.8371813720256591 6.417568723805262 7.9222933111457685 9.055613007236996 11.69468307302163 6.9459962578050085 -0.028411220129081823 -3.336883779751935 -7.750108449284113 -11.979212841562966 -11.958390990817538 -7.185770877840688 -2.4107432383713983 1.2748620482390889 5.781778173940665 8.420915395761291 10.022415658514927 9.175431206046909 7.507428373805179 4.1312018111012145 -2.173186590114962 -5.769817175198091 -7.413480641835011 -7.4769441397253384 -6.432485449644572 -2.528325454345582 2.711446311312152 4.427035632292086 5.638580627677786 7.78244939117775 8.491532229340532 5.808720966806127 2.4715256314052403 1.3632296487623008 -5.100665385628958 -8.852923994849792 -6.291436200616023 -1.1157745271692667 -3.6187028669442496 -5.185947288083813 0.048303764273002356 5.290318123982446 4.559792676689714 1.7042014600578035 3.1410271195037716 5.308497576088824 0.40230036696394084 -1.0196655406937771 3.079431464106784 -0.3982258529664408 -5.032685383348998 -1.9699654660230752 1.6521256077113535 -1.9435755795886704 -3.7219484870893367 -1.40114000979603 2.535201036165621 4.223706640992126 0.18177655979000415 3.2178877246367543 8.56201823043514 2.236116584465662 1.1108424772514145 5.001714885319817 -2.1370813478205455 -7.697854790023711 -5.925583338953878 -3.9586167966934824 -4.666067708385741 -5.767017499210496 -1.4008073612446825 4.74944236621235
10.21549465515671;55;13;15;1.8767176614336336 -0.5303858871632585 -6.6647938362901575 -16.10633887941222 -18.291287303292442 -17.092263255052856 -13.491978755285938 -1.3098653010255694 8.636731930168736 9.574104927497022 11.361997638048223 8.908190546005017 4.521620907463862 3.3175688554931355 -0.7835503984897411 -6.885224303533238 -10.952711605915187 -10.382275013752082 -10.621580850572975 -3.571323065695064 4.477268695174168 6.96018044770786 7.945559224050887 7.063009909205027 4.42985653376256 2.8116843501250517 1.0955182875406633 -3.1260214818236576 -5.018891255188887 -6.58118979085894 -8.856622100293016 -7.822357209333875 -5.725736718680994 -4.038729772129231 0.3163377267374932 1.6766636577542615 3.008515386014826 3.8442903478116515 1.3735447984930083 1.9849488343441033 1.871848500865349 0.36598843718050716 0.6968830155308502 1.3198229273472393 -0.3024658691028776 -1.3961679404316565 -0.9078984981006142 -2.5113807338129037 -2.9555314441659193 -1.2515989148119417 -1.237004829518413 1.3526926753375723 2.2655785985777306 2.201172828431076 3.281062068817699 2.963831221091256 1.8539919544657182 1.3103667137556543 -0.30153899402060597 -3.490371161747497 -6.647052116273315 -8.627810698941406 -12.248783433299234 -10.248723579560806 -4.623692945591139 0.8414596092530668 6.287116906031772 7.3371958256118734 6.826734097054773 5.896682151526019 4.01926383377913 1.4022239054497088 -0.5912515251327075 -4.698292514859419 -9.283073367615579 -10.729487030024284 -10.371793800714752 -7.109846977624261 -0.815125739983199 7.171847922150591 7.757237693022491 7.535395905147334 5.752766418432616 2.6151602138401815 1.6070056244712956 -0.3926358088874302 -6.445639681689696 -12.507101039522347 -14.726213443910407 -13.599994889697737 -7.880206045064639 1.2277887986360718 7.472000607169208 8.689819994477393 8.320568271884746 6.866362421548345 3.8859316135913584 2.3753867204784793 -0.3860063250751429 -5.102528008741262 -7.781469274217 -9.485791343375617 -10.832156430503023 -7.114633497992813 0.8840244445070559 6.098734134265889 8.150006554727447 5.9260408218935785 4.099206657393112 3.0108919441797872 1.877240817392787 0.8281669766208113 -2.487197601680429 -7.044771734870083 -8.443776019537069 -6.464128817070863 -5.128949211461882 -3.937319286356326 0.4301402844397708 2.716210910280353 3.329698697020302 5.466812537583752 2.7394623828979396 2.229830013987426 1.2007794586624032 -0.5091189102051615 -0.6956520203216463 -0.3550296465864895 -1.0213393092022698 -2.8222992621146674 -2.4019160471843097 -1.9246775926930328 -2.5000706830670913 -5.320501887310166 -0.7565616750711638 2.178997592183068 1.530152500451131 1.6229788442138466 3.6448504913008235 0.741911659602782 2.1213639689303454 1.992052585913176 -2.210966035866291 -3.4810194227663116 -6.6558944436654075 -9.260616110812268 -7.07898721327081 -7.579483403636916 -4.593751096382514 2.8795801463909685
9.918101039747668;70;13;15;3.9498711190321494 -2.031325901314717 -7.949864600285709 -13.235982729747544 -15.75627847292942 -11.385688491367425 -5.859200467270868 0.6353626062104619 7.900210457942094 8.48760168746185 9.506275939308363 8.71476306848868 5.5664324277026465 2.3202745802041447 -1.3823249240691773 -5.747204032881181 -9.128146132371612 -9.663367908645007 -6.769336646602006 -2.8467849443678497 4.348183659314583 6.532661642984111 7.598533713661029 8.730649472526668 7.4413774547560445 4.208241614983093 1.363931481532246 -0.03150422533088853 -5.037845263440976 -6.931212617798283 -7.316952713041716 -5.7155714521756975 -3.196128555855069 -2.584051393829725 0.21095002912047744 1.7566075252444506 1.2147464353244823 2.6733229083505647 1.626477569301502 1.1879998911859655 0.59563267776606 -0.22924299857246985 -0.3069551892162829 0.6631020506013531 -0.23526224975198992 -0.9764326246672076 -1.4172256202102185 -1.5643061249946693 -2.3549014286282612 -0.7843024243073138 -2.2436116984308208 0.2730543131994023 2.788984044144844 2.722298796320494 2.241209656480382 3.5547458807689023 3.5997285942877193 1.1457608322982935 -1.5005654779713418 -2.4940264658482834 -6.191297851980908 -8.889823626937858 -9.27313497020597 -5.721593226056052 -1.4433077371428797 1.8503378658025647 5.601354958254355 6.915581880633277 7.259326836062777 6.557818363659128 5.393834456023923 2.0177877879863253 -0.38079681736848303 -4.7479423989004355 -8.850732550732236 -8.308576652773429 -6.337742549165516 -3.869145123101834 -0.07917483309345119 6.195516072936259 8.573366556641883 8.170921658414048 8.659022862696371 5.297480506598487 2.9419501839542987 -2.2905092288722995 -8.630250585596269 -10.01967626218638 -10.940824639585554 -8.728443148981242 -3.6105112223879514 1.1829407451479783 6.2485025332940864 8.048814587040575 8.241195404679871 7.278274581057622 6.517293697462343 2.683727918424772 -0.21687397890933863 -4.695830010886735 -8.627770335728062 -7.20392806058798 -6.758945902835963 -4.934018552207237 0.5846771969719454 4.616989437749741 6.073473721887629 6.739857847672853 5.184835825084156 3.8316667528385 2.4379336950589225 -2.901338262912619 -4.864940740116083 -2.735096453459275 -7.511545156405242 -7.404748269403405 -2.499728117691776 -1.805014409499881 -0.37322671410386316 3.393195598949258 2.8043053631960255 3.1695632154200917 3.0618031786377853 1.1972776889358105 0.7309404336758762 0.2082660494125085 -1.1510298802516894 -1.9198679330685562 -0.08644891046365807 -1.5537810691566394 -3.909078259447896 -1.8997968032954415 -1.2648239564597838 -3.017593016310035 -1.0199913170600943 1.9501964556141627 1.4511860490495765 3.093730480392423 3.96198843404483 1.7280105365493799 3.056853117663446 0.5518895672432422 -3.709680853902826 -1.5647318525078215 -6.707229491863512 -8.726731887918977 -4.8386246209336505 -4.10820390922037 -2.3249901997883797 3.4263699848127134
10.32217081516388;85;13;15;5.237690757039881 -1.215719410747323 -7.522226097756874 -13.134142166977291 -19.632931286293612 -16.656759493261827 -8.5605628018414 -2.955180005842843 3.697922897466373 8.35087826143576 9.5017357737247 7.28285163026727 4.649846833204956 1.2635252046706262 -1.7871811763355436 -4.701520180091949 -9.333171074549465 -10.408165927359462 -3.89123841506758 0.9442194790030903 6.268304169026386 8.740184933720315 7.494219164279812 7.590731782888736 5.044781738039765 3.2226631103257626 1.9700648994237209 -1.3517775396707175 -4.0226283295925676 -6.4711339223383595 -8.888908495462914 -9.221306516520617 -6.971045542028458 -6.521869089676084 -3.8869734848438715 -1.5798734508720043 -1.2948936805037854 -0.5322733893251665 1.1021193257263058 -0.8108399322353474 -1.5902895956257543 0.18359847173022914 -1.1811190029952074 -0.8784923313656288 -0.13057342725566587 -1.5658206153918865 -2.2706233871259554 -0.7753582319953394 -2.2716505613137983 -0.40997668044072516 0.527987150820809 0.9623865785743502 2.433800293237316 3.207713759163065 2.001321684694628 2.9552564739669314 1.7455525282519204 0.4189859452281929 -0.763229695313432 -2.9785419553590207 -7.393332439201934 -10.519405551498963 -11.200261977020212 -9.14447374808649 -3.5659658929999334 2.106546842087221 4.5540583167250634 6.658597652285438 6.813059318741014 4.372533115722732 3.613411027693664 2.7213540883530163 -1.0706675053921142 -6.1778290652386945 -7.83990616021113 -9.424852634071666 -8.546972925459155 -1.9712108103382138 2.583839752120638 5.952844083306017 8.803496025684396 6.5140834301665995 5.558916519011115 4.898865242215978 1.965691406074468 -2.6742015869560256 -6.4629902960875905 -11.27994174382999 -15.89568744447779 -11.32136901498723 -3.9092313612916123 0.36814734715627606 5.213220210991703 7.363230794135845 8.568131169504255 6.036503106217479 3.9496397264728964 2.4916602636476237 -1.0770786450977377 -5.358641644332332 -6.909463109063427 -8.805172921629595 -9.069311181583817 -3.3001866596480602 1.5509719154854091 5.399496440571543 5.129558404410356 4.722317938886842 4.7821765842751205 4.1382782479095335 -0.0127491624859474 -1.0728466839642385 -2.675684935046396 -6.845213920347846 -9.541452214576179 -6.492625245691311 -5.3586774840821105 -5.766221369623171 -2.304198621452959 0.6094657773045711 2.8141887831253896 1.2331344886929239 1.6361292487128771 2.2730318746968328 0.7675665701976642 -2.5690084417671186 -0.14246035009045832 -0.47599819697669127 -3.9628761595774193 -4.101902376516497 -1.1703506370112258 -4.744002114177153 -5.422360891893413 -1.899465546579037 -1.2357135546501596 1.5055900932967226 2.0211713387324575 1.6430619785633436 4.192907421458689 3.376073245481995 -0.8510966702056281 -0.24996959561399518 -0.6035342075345385 -6.6440213956852014 -9.865653719655281 -6.572144255565187 -7.977253824209099 -7.9289362741671505 -1.7696647596000785 2.0242208490922993
10.16376251765139;100;13;15;1.102753132563418 -1.610069483937072 -5.4781762567726355 -9.639884173571328 -12.925607712990974 -13.964009833317814 -10.767567634061379 -3.797214049377783 3.542123329671958 10.852248528981878 11.737758972668708 10.738324055237573 5.896117762456682 2.34451129798192 -1.8038722349498832 -3.7526220935191787 -6.157071238900638 -8.459553164532043 -5.429102244439234 -1.1198900961056677 4.650233763319076 10.231043365442414 12.066671839029446 9.430111251646817 4.878707644697037 0.6778168775761763 -0.5255664846941817 -2.108844496416944 -4.427949106771119 -4.940613414125321 -6.713901252662189 -7.995669192338295 -7.575766508421965 -6.014184071830021 -3.379839981593924 -1.4226988371437113 0.5437156685824659 1.1337158927026425 1.5241470806313557 0.6361272455322046 -0.1886851893061083 -0.14076335533635648 -0.8309845682913826 -0.3890540956413061 -0.6528305655000645 -0.9878481069099426 -1.8796305068081078 -1.9282624375677784 -1.430229795050563 -1.284632986315218 -1.0471842052668545 1.158989179554125 1.7113485324894728 2.987749556625848 3.374170607115083 3.1888102049276554 1.0486639909720976 0.013193422993690508 -1.2938103979698081 -2.658151294353513 -5.579936789033674 -8.381002175860935 -9.473709520153978 -9.5024161158508 -5.093144257556391 0.10018528166555313 5.458511286025702 9.039802458203393 10.030386001315307 6.947903071676749 3.2351600483191127 0.02812972570379891 -1.7605701621245895 -3.5414838643134763 -6.309642097586316 -8.644695744550909 -8.14256275629198 -3.488786905623768 1.1856459503388261 7.332051603663002 10.766504537325986 10.307469718073222 7.029053312103676 4.1809606062265114 -0.2085547639815576 -2.473239063017691 -4.9085799849562886 -9.175062800543554 -11.437338094262621 -10.144090995895144 -6.785200781280909 -0.8426760688012268 5.609173939004697 11.334462271455834 11.071671307726316 8.671296063222655 3.5367031764456622 0.8438128541827348 -0.8466815957874567 -3.660412680594893 -5.946385008092634 -8.712933236295303 -7.5170832676429455 -3.3233621032818923 0.26771888792525417 5.191588660268256 7.402847288032402 8.075210736732224 6.14024421960223 3.3322506263880656 -0.3845813905575314 -2.320705435916735 -4.273074065337509 -4.183481650064566 -6.210357639688654 -5.632669935431896 -6.80402047746101 -4.09695788288193 -0.8838877795216884 2.461212482437263 3.086935542201301 3.5760496543633016 3.467161187401058 2.603396076944256 1.8627613845026778 -0.07834242880792727 -0.44176619053601823 -2.3036679843809873 0.024657445480058438 -2.0948582950347165 -1.058659884370869 -3.357667355036434 -1.6670788692179144 -1.384248874908652 -0.28614773526354487 1.7326829264526153 2.8312046612195227 2.9643194071974697 3.8424920970654557 2.9865685846768177 -0.9080176739675979 -1.2653070971643297 -2.7321255817737056 -3.5229362718647077 -5.74307097901831 -5.97783212679198 -8.606060494289078 -6.057001786095195 -1.2285075902024698 2.375826540320428
10.164762325132203;10;52;15;1.9230031324589825 -1.745147239122578 -10.419421696542503 -10.774620757634406 -14.919781496755977 -14.826415816952895 -6.027127440881299 0.3476629293948112 6.2043848451922665 10.057189262727746 10.151980877429803 9.139331879051 6.697098590475281 5.669097304717819 -1.1999325229077493 -4.66378788274931 -4.18967253189048 -10.088151061788533 -11.096922408016482 -4.292496426047875 -1.1187714957600148 1.6868094385703578 6.532678345003426 7.029319152577766 3.855978977661926 1.4177055464883728 0.49162563691753547 -1.1505072462306394 0.0315137983880346 2.234085723304638 -3.2986552932521604 -3.0160752203048284 -2.332277499590544 -4.234464564022122 -2.0955949236782336 1.8631225656703543 1.559493424923169 1.6417393874088755 5.95599589353416 5.533589298555596 4.6355084975821805 4.414072429592872 2.8700292010335837 0.16976189260436084 -0.5662812233503526 -1.2668780438664173 -5.4356696176171955 -8.008816465208703 -8.36141001128754 -9.214234603175864 -6.267852949343928 -0.3133110469777692 1.1762721159779226 5.332026197839411 4.595498462355525 1.7344540364174255 2.533933596470764 2.8152782419269258 -0.08248931403054308 -5.690692750530521 -9.631904783843819 -10.073610562140306 -13.97744104051657 -8.887646101169725 1.8810427885186214 7.707719685342312 8.868315866726554 8.696823011992475 7.968106254208011 7.502808177712302 3.926376597237663 0.7525650252246084 -2.6123192135608058 -7.400243595610786 -12.933364409127623 -14.803929331615787 -11.32658074093083 -7.707844685326204 0.22755453299930695 6.668749000441307 7.737947556631697 7.749333462381896 6.409775839960098 3.025814154561099 1.0178322372968711 0.3871145778403219 -5.1721040977419666 -10.587498292409293 -12.565410572619204 -11.510283467701292 -5.608255758698904 2.896486939421454 6.487557839825264 8.893332707989813 10.068630145958188 9.668061441233352 5.826838482257546 3.050408573919193 2.3989445707628665 -2.6736065775179463 -7.311660260671429 -7.900217151955843 -8.257225598473482 -6.860070366528107 -2.7811745410781357 3.051506383730387 6.01857488031829 6.323252420736197 5.0176482637871285 3.6165343053054784 3.607569148479677 0.5947114570132438 -0.5539445203548012 1.6672973045061759 -1.9334788609543105 -6.040661643865827 -3.161372349579035 -2.148740401178284 -2.6179088226913967 2.061629892769455 5.519476788152303 4.840158688201665 3.3327969216031446 5.191773078398187 3.849023630493638 3.7011307290509667 2.976362954958178 -0.35878159864406417 0.20320638143641767 -2.706042594944205 -6.608820498144919 -5.936322737373111 -4.725122569094508 -7.780897230055478 -4.330858876660901 4.211285558003163 5.105806045192701 4.008904406299302 3.4322553588686655 4.458059633168797 3.692653062413908 0.2242032554259128 -1.6918980699192834 -2.106720556294115 -9.410417913879098 -13.588771132718382 -8.930470774609613 -4.298726975169661 -2.5993949822399927 5.78514919817231
10.31293592291979;25;52;15;1.6294540083268427 -1.0527487613684738 -11.083065299325206 -12.839482358560733 -14.229996450076175 -19.274781535122816 -8.532724015231459 1.8837342493394083 6.588832621691239 11.871128772399935 14.53662491232749 9.070273900607784 4.999932640675464 6.1566769188552986 -1.0128410260101193 -1.8078539267627165 2.5555298293825355 -5.5024891775135325 -6.3489948387611985 0.05722464334968362 2.7692224236671517 6.379446364719882 7.652941933413003 7.106419153320923 4.059252295564171 2.9328207906052377 1.4935458496185432 -2.7736631558501683 -2.233236960766621 -3.858057765946882 -7.564803024576928 -7.250258070331501 -2.8502234725942253 -0.6824862186485604 -0.3388366039126478 1.0875443781632415 1.5486851306742635 -0.14843775923200817 2.391042079915951 2.517629467970544 3.08329102240338 6.299608624644087 8.088712231595593 6.157429205641923 4.9225838494362675 3.872532418596289 -3.5570978166613973 -6.176968911243996 -4.443462847003153 -6.338751629499101 -3.064935933933234 2.588230295447941 1.6243275322734938 4.962512462318765 4.455585646557835 2.702587281900745 3.4152728848131613 3.85959322504984 -2.019109766021092 -9.035972559197102 -11.16069210959424 -12.194208193354115 -12.101908659117278 -7.669336092044176 -1.974545994820081 4.361303791403606 7.944883488186121 9.606291110551034 11.826684699004012 12.575967905821887 7.84734647905924 4.501521419053786 -0.44690658493879587 -5.222865361984869 -8.979949810911393 -12.670076560323498 -9.830483442483743 -3.205083273918799 2.186695309314013 7.498954882672948 10.26953177711777 9.829308998952921 8.211586204022591 4.904027905977841 0.7540053134214336 -1.7239652510856802 -6.090070392502991 -12.71335427603729 -14.990000961459025 -12.272947079742508 -5.466453874924996 -0.347459021383766 6.424497974068371 10.231170718339687 10.23802411359841 9.7268073145848 3.380741111921666 2.9660731192254937 3.6645299935168865 -2.0712739998864147 -4.720943932637258 -4.788812240163053 -6.745991399105143 -6.4018734319109525 1.094342100024249 4.566550383296113 4.979827584925617 7.7045713547015255 6.20246063338374 1.59768885534305 3.721368009120387 1.000184814097408 -3.576939815607041 -2.6552277450560013 -4.447514478521866 -5.578958677027567 -2.977727731917438 -2.5883267628155053 -2.473550138127424 3.0139271882314644 5.287477736822772 2.341950321687028 3.25094171677765 5.041879762183868 0.9460570490864226 4.300778109118954 6.01601459994087 5.4622194822722605 -1.5981141437158688 -3.929386523099403 -3.8070289214362107 -5.6457333502469975 -6.620539052446465 -4.171694199933348 -1.6353088448118216 2.797672225817013 1.71067331856281 1.279775138597758 7.269506716834973 4.861829906220985 1.5999147473754447 0.598039160382293 3.4315479587589484 -7.979717372057991 -11.964132309956902 -8.625030508643011 -8.101459782676432 -6.942400882986593 0.3917760505382242 3.50584341209221
10.24186320322714;40;52;15;2.356999537006877 -0.6579099801344074 -6.305088709570697 -11.08011530516378 -12.649629113177703 -13.886285594602775 -10.898651344898934 -3.20453941441487 6.040160152529886 8.645007780739078 8.06620904423917 6.125874915651976 2.467541851839993 3.1284724203602923 2.1265944846456746 -1.2522814358720546 -1.911870623466157 -6.763775570087744 -10.412796562214414 -1.458460905135025 5.964121425930672 8.896696077129274 13.400645419660425 11.125031475766303 4.909702069081212 3.3448126326649947 3.050235638427541 0.9498347500904405 0.3185210373196044 -3.768737106446536 -8.438988803251046 -5.013728939385759 -4.761195799185239 -6.486226284541438 -3.3996123887924234 -2.839600640351458 -5.289688401468565 -3.729250401158401 -0.6169950782155141 1.6386128041890717 3.0529434533089064 1.850371965758665 0.4169636090561937 1.2901510941175325 1.111333707996566 1.6099829333934756 -2.9174631926639436 -6.113569437761042 -3.446728437319934 -2.966064503054871 -1.7337749037630719 2.010164360045456 4.3163102911639815 4.993629020219178 5.329073767966834 5.487555749654908 3.1815879734090706 3.846650551916034 0.01545263207503042 -9.728746571416732 -11.439107116475018 -11.750556629807487 -12.730848249434302 -8.326049052728827 -2.5229931607000555 3.0463889546041667 5.3080925521204465 8.143785052532792 8.309240823202146 9.578340281228193 6.794007882042924 0.9627276651250387 -2.4836595572556375 -5.94950411019962 -9.306129809361796 -10.960157226942105 -8.209450168141782 -3.4589793684871304 2.520406526640318 8.702423059885138 11.410208712717044 11.059814265847951 9.81652917050743 4.78752088249703 0.3429152064252925 -2.2974503097324233 -5.286449601556492 -9.762815907148457 -11.989761558595024 -11.797885977039993 -6.774464166531562 -0.9909331090608279 4.073106968544296 7.257858450198042 9.848111993113708 8.886376316945316 3.0772817750375117 1.9774792041644225 3.5250284649448163 -0.23298625166165154 -5.9221809984360165 -7.981613747167659 -7.4939078240091135 -5.664233272348972 -1.3475243530543395 6.141610305598663 8.438984892907182 6.882548070099053 4.129267508489352 2.4939303464394547 2.343717256147009 1.24084307953436 -1.513604535674942 -3.636045130332487 -5.057964237540252 -7.907525677240886 -7.542507916544466 -4.627499962118641 -2.773729963927426 -0.13654800923248797 1.1099768429066295 0.6992721002102973 1.3940011185865637 3.891073747787815 4.213602963183052 2.3110171380403393 -0.2201350916753396 -0.037332969102602385 -0.6980826860700118 -3.0907478609076096 -6.781101827374139 -4.358070293670339 -4.191007649559434 -4.722182665736418 -1.4377704958020145 3.2880243751607017 3.0420940999291863 2.0523331312685134 5.523885425333863 5.688239558645932 1.29611406297155 -0.7678398875926578 -1.9049288466885619 -4.7763553174243105 -10.002399415040458 -13.2640964037587 -8.903501884838974 -4.458386101260672 -1.247655150501302 2.8108584700658223
