rmse;hl;T;RS;preds
10.556888173060155;10;13;15;3.068697633027323 -0.8265407002878306 -5.078852896362938 -12.477233653483168 -16.25534455289172 -14.98522140026519 -10.176766408931577 -2.694988467848514 5.97562772540343 9.918612608475215 9.956681381915296 9.06058046614812 6.9760835537651635 3.8327287228999145 0.8634198939920841 -4.318853256402387 -9.961069572329219 -8.2159333353057 -2.0341897756890526 2.530289772590314 8.821298986438727 11.358337808065933 11.25534271821056 10.2164075251006 9.172805509427175 7.940442838800874 5.637779278709425 2.249290998117457 -1.1913930066054161 -4.904843604052137 -7.342943142847515 -8.177927890355523 -10.386482530784395 -10.11306629910096 -5.646471718684193 -3.6065914672300763 -3.7748907566877272 -0.5568074378426137 0.2233337935350348 -0.9975277969995433 -0.9476896672825027 0.07424565383516882 0.3814589435396282 1.0066898156719917 -0.6237660072538712 -1.653859046951108 0.3369851196718005 -0.6038946057950595 -1.7344414187213417 0.9105653450327628 3.860851791796936 5.069965599496167 5.760450043234765 5.783503005393624 5.509228707467905 5.488514028013078 4.3767134919736606 2.148671248571474 0.4345976358443319 -3.07942702344099 -8.822005077511271 -12.121360944278916 -14.156950168604144 -11.662404067782951 -4.328420033882247 2.0736588262632627 8.72414125233378 10.50247136090995 10.018071045740736 8.193348990766086 6.674545992978386 4.605499144378826 -0.2012198808222838 -5.496441654686736 -8.255413429377857 -10.385725372575472 -8.249709689781948 -2.5781540151973905 4.0159905859522205 10.447101383212448 10.773430308001739 9.885981734156953 8.683429384337177 6.009756214120227 2.4082260220794365 -3.0012448710297464 -6.680326714252657 -11.940447454733977 -15.546048763982679 -12.326898777633218 -5.010236825514083 1.2046892969963106 8.453914410421945 10.804831496147969 10.369332605779238 9.171853494326246 7.590677501325963 5.174097818499867 0.25837897954108324 -4.07077885944137 -5.208379143899414 -8.1647785297327 -9.723792334937563 -4.337660426068002 3.4508962042586067 8.442580698482104 9.405288571358092 9.452546239091038 8.324633821752887 5.878161003941164 2.7457635676430763 1.8035748214124412 0.1970914416045749 -6.007517182453644 -9.301382260371643 -6.780595199454932 -7.1295177808719306 -8.490200674056705 -5.537374128521782 2.084303927865116 4.130174984872108 2.7889027957800536 3.0095474316249686 3.8451884293085423 2.5434266066986515 1.0260178795649781 2.4848806356408737 1.714288609826931 -1.5678944494567721 -2.0641538942567634 -2.4577035753646745 -3.9138320716952895 -3.6926611482625993 -4.587831622370461 0.3341266386578684 3.176818155059834 2.5698827792722105 2.9424756016452345 4.428964367564177 2.92974170375286 1.5270328764060417 0.934472545887812 -0.639070972244474 -6.806420000902529 -9.193201193519116 -9.988858948798686 -11.409678854360312 -10.083598369690385 -3.320009868821975 4.98257785077274
10.113571325750694;25;13;15;4.541000121290999 0.2985171505721676 -3.252526751616621 -7.814354158412336 -9.877446041208799 -9.835077193712706 -8.088918653923646 -4.616066733980384 3.1722470211486926 7.310542186455793 8.080672297048068 8.398094174120423 6.378030868582977 2.011422926792552 -1.7401378511837986 -6.337446088322683 -8.65917013203935 -7.70865542918043 -3.6021414229589652 0.4519831331054829 5.3486454029748245 8.208121230932303 9.232888936158727 8.827311017474479 7.810908240254741 6.025637050818444 3.730705829752144 0.20417796921622922 -2.907346814361016 -5.512517696235692 -7.351944835340567 -7.738830410741986 -7.955188368942211 -6.691943664603373 -3.741459925236047 -2.749109099705417 -3.068998352172754 -0.4579259161609148 1.2380852455847344 0.19427802124691845 0.07959282271664751 0.7936597348201845 0.7441165871213498 1.6894518372094083 -0.41090755704845755 -1.493356642864082 -0.11120539160291365 -1.3088097682007656 -2.661164269046104 -0.31029920315106896 2.4870108390209458 3.1110080234558173 5.036963105248157 6.712590409306965 7.355146320870148 7.088763031153066 4.516558107859149 1.6572101547370484 -0.7492679380323888 -4.3092520310076905 -7.684710300823188 -9.324769262916792 -9.567257530334576 -8.071607010904149 -3.7662996555028236 0.35217695457845255 4.599416825678457 8.076292192482839 8.67725590044805 7.6141264405260705 6.245622826797275 3.6026792843666167 -1.9838719848548232 -6.276943023355853 -8.014037933996903 -8.76763304546781 -6.7918732379970574 -3.2572092323231923 2.066294279621769 7.631229308304134 9.391839270305077 9.175769421938028 8.609030935218144 6.630825673752757 2.0674418475321703 -2.4175802795695422 -5.373171357259753 -8.760765731859657 -9.957001934708664 -8.870712341337224 -4.859919695559657 -1.179209405453581 4.298476710040909 8.185022338220328 8.734045549787286 8.292295232772627 7.044334267941514 4.008407173265959 -1.4206195227287381 -5.597671549875803 -7.116456105850509 -8.125411174290917 -7.843202721273332 -3.6915887394391134 3.0122378485695482 6.421637057343289 6.948527309648629 7.996847645778405 8.421204201511937 5.732420923196387 1.1146884651573172 -0.4463761218461922 -2.2506557750767175 -6.535358058024968 -8.533351036873224 -6.571524889015607 -5.514401544830875 -5.972953745317199 -3.818969473411146 2.3472264199967356 4.090233149557653 1.8915996825809698 2.534504596756079 5.535400075816279 2.61723543974001 -1.0671096273193867 1.1192288917100315 1.3514107953551833 -3.1563078101806443 -4.05066023330083 -3.1427043634077076 -3.506893286395645 -3.634397893677593 -3.516710594165222 0.9020663659231408 4.835946299747051 3.201465812104493 4.73894166748582 7.348554590580686 4.788268993778826 0.8128948067410501 0.6196532696741117 -2.1576276152472844 -6.662784722550116 -8.338082161727463 -8.227964356551922 -8.215334846280264 -6.840423224474466 -2.8904906493265776 3.4291094639390294
10.119433028414312;40;13;15;5.339479125999778 -0.007031341434954479 -3.2785951241792213 -8.280188787278526 -10.469675984907465 -10.142231504411459 -7.951965575131981 -4.2428082665459295 3.124876266826636 7.100810754418603 7.971663784322002 8.568664242287376 6.398027361207279 1.6245829339855116 -2.14400450880578 -7.043789795317884 -9.74381875201314 -7.436791093458302 -2.4244228881074577 1.8368647295761549 6.1910475868521555 9.057460668123664 10.179976245470815 9.757058151150744 8.522117802210236 6.579029928188562 4.3718612074040575 0.6201625507786784 -2.1530561333774076 -4.94214965194352 -6.683818132206862 -7.021720860463638 -7.56383082786933 -6.6434041168880364 -3.9192261280164065 -3.1843407577651144 -3.6110905736829237 -1.2194818015669693 0.33161341969945357 -0.6152641574846797 -0.6571896620566269 0.1689639362336731 0.20943136321843162 1.1393763984256362 -0.8664118129892505 -1.9487340678457055 -0.5551549818066839 -1.5143349010612162 -2.7794182193595938 -0.5066344848321275 2.285268191597129 2.9286463296528162 4.5436550464445356 5.9294807419548965 7.125844993618646 7.4189069755207795 4.987326791597834 1.8567796258769316 -0.21538693375740128 -3.466181070440308 -7.532020440249894 -9.681045604254479 -10.040062468594687 -8.252109909140941 -3.5820245366121037 0.4482788513947017 4.441600141093079 8.31377263777615 9.083828981116454 7.655134769365505 6.3526368400502 3.74500832562514 -1.8980517902358105 -6.696046794014972 -8.87915590801818 -9.259014108793018 -6.62048825047105 -2.4309613807103543 2.7047195730332314 8.275149218111334 10.156989395471744 10.141800300740133 9.579835807874314 7.446216168934954 2.2501257511244472 -2.420773844845972 -5.454511235197646 -9.249692294263106 -10.632021700396962 -8.7939088014369 -4.62879402065678 -0.6709679145994203 4.395470555581332 8.695036591843294 9.188834576546807 8.723787726258287 7.325515546771256 4.182768251858572 -1.527715132305189 -5.907101858664896 -7.366646091924697 -8.40676782432346 -7.855766815302676 -3.184376249556158 2.911325639706193 6.089465905381276 6.407882944437786 7.984357319001034 8.990505056361659 6.1270482325088205 1.112638988203932 -0.16099151236267475 -1.5353961474168194 -6.199237574412545 -8.780257684317167 -6.222126995965616 -5.367805833554964 -6.136928603607333 -3.9162305512606013 1.7646789500575577 3.218633748166136 1.0555156464371416 1.6384661395819662 4.668018630219148 2.072340758572359 -1.4224434354316935 0.8269766967756004 1.25188833368229 -3.078790258954624 -3.958658203783033 -3.206468845604432 -3.6048955163521814 -3.5882408194257245 -3.4801227331043636 0.5558200221322408 4.13368936810287 2.535054719517251 3.787429366931593 7.180858661570772 4.825043012763294 0.9846526320523805 0.9438849166786965 -1.380059016782175 -6.384015493676379 -8.464598566199967 -8.225381110897946 -8.49898593621614 -7.0106961358811155 -2.476024994635226 3.282672073887871
10.108997398205211;55;13;15;4.501563174102072 -0.8535348170668114 -4.019812647503128 -8.337473233939953 -9.931854260960776 -9.16405686573276 -7.660415125977812 -4.348960733969214 2.5793940573337233 6.822961528442107 8.387589995806536 9.174574531639571 6.211735125525596 0.9911973009228363 -2.775710719030507 -6.92997736428648 -8.43519187752688 -6.7313583424332135 -2.1525035749050856 2.278057616696191 6.855787955569843 10.074827986958816 11.569646189093401 10.841051912783907 8.584366228195432 5.655679667909756 2.959863099669116 -0.5762381495626373 -3.1447033863444136 -5.331511997625788 -6.6964845261045065 -7.117848636710857 -7.566503150959652 -6.7757015077957785 -4.330147301046356 -3.3458353661870435 -3.3221355487384825 -0.961527464263946 0.5599174102247005 -0.3794700942040282 -0.5248387289984253 0.10466368457362524 0.07078920573390356 0.9384765070597312 -0.961227697813124 -1.9776593556079272 -0.7409245834673172 -1.6947341075947615 -2.623261993861066 -0.4186364164862493 1.9992181001578384 2.5523270431996092 4.214623874113651 5.688163007724073 6.887546149378921 6.919636991739347 4.16271399808414 1.237539733276811 -0.7670437580053325 -3.9307331234066356 -7.166816869588599 -8.8679231041117 -8.810219715132465 -7.483923496046391 -3.3964097765888654 0.6209438921197357 4.525049692845637 8.550527937064228 9.774263318797107 7.923757521505674 5.875035638576936 2.758544092006037 -2.81301189549959 -6.665455653805496 -8.17148160681759 -8.109712667970214 -6.161473612824955 -2.045755750084986 3.0054303838639407 8.499977883773905 11.213236231601197 11.226512945121296 10.002302947672892 6.925246086559138 1.2789409075288716 -3.2076052788352905 -5.7604984922968 -8.830192546562738 -9.389928711685016 -7.948029465913527 -4.5395259029255275 -0.43654063323267334 4.505185424540907 8.995833000522989 10.142874101398561 9.31128891073853 7.046774850513848 3.197216887982628 -2.4890871915947512 -6.117676046759998 -7.206999144389436 -7.8071576758401955 -7.1575667345582445 -2.880356177169392 2.871611543384266 6.090353896074832 6.648222218703768 8.339140221445014 9.0799367146987 5.45716225000732 0.17941113630458602 -1.1717169839767105 -2.411464382851176 -6.264450608826068 -8.129470460901814 -6.4934457323901364 -5.686004702484178 -5.935893356293233 -3.4859249450224787 1.6700703616504888 3.376043321030723 1.3437071629257311 1.7812652730924459 4.558792643283257 1.8567149055520877 -1.658230104589211 0.32881348274280625 0.7271453347350724 -3.1838946746659227 -3.961150284248253 -3.2108663481064497 -3.517195300684079 -3.552814792583432 -3.1537503134731093 0.6005894369460618 3.9893011070463613 2.4334003146706067 3.751359964386956 6.894098908289982 4.2495067373694875 0.40028733868812216 0.3478503051739959 -1.9139533304788034 -6.216799747721757 -7.814009679263975 -7.861071794187449 -7.692004907758801 -6.322688462423367 -1.9827679117863866 3.430661707859072
10.12749306522966;70;13;15;3.2521428703333526 -1.770270903717701 -5.704559254107661 -11.04874891289112 -13.33436458268475 -12.506265938556623 -9.160477066259684 -4.932808351724407 1.859661072167421 5.713098426643173 7.247192819030782 8.52650277819777 6.405624692242969 2.048877901022823 -1.4410319130319091 -5.962013922666192 -8.91867497346874 -6.329751328840992 -1.9674431131478478 1.6451187626501789 5.19576868856045 7.914548445606133 9.657192602164432 9.636173110857115 8.449510644662684 6.293607728287876 3.343991450048698 -0.4743009412535376 -4.038664355886916 -7.247771557206052 -9.182019887505522 -9.463300682533678 -9.091248588035963 -7.349169516464472 -4.510618882996931 -3.2356695427059754 -2.8578900474183233 -0.5293607137381463 0.9922031626381163 0.3460952883007129 0.3801948964424448 0.9890812768612447 0.9901464655409649 1.723406868496449 0.1930205853657137 -0.6120555429929303 0.3468042542247405 -0.3735138235556733 -1.13972609276312 0.6979749970332205 2.88589472754743 3.3227297794613206 4.688309843892605 5.984736589187083 7.070104787826339 7.003418496125781 4.048879993611122 0.7692663486216518 -2.1290528959112995 -5.641253033565879 -9.45675418687986 -11.38848190409778 -11.168883754150539 -8.32579434693428 -3.772990901990701 0.1222162020279213 3.7856182417121755 7.218196721665842 8.709922266557356 7.74174239460345 6.265217079123087 3.159316178611901 -2.114966830371921 -6.686857899722104 -8.758189445380395 -8.90784580169569 -5.978897576440752 -2.201170823476432 2.375618808955204 6.894014702275938 9.41454496964569 9.809921434116127 9.05495675706143 6.133383865168793 1.0400244365332452 -3.910093603038724 -7.363843632267216 -11.21168546231387 -12.417256702124746 -9.56605916044876 -5.040547858941305 -1.1122557944543077 3.581040774468456 7.417288271482215 8.724813508611188 8.68969612116748 7.2402113749573145 3.7882985678534196 -1.4597531368898016 -5.679145043968212 -7.360020261679135 -8.055148562704638 -7.026151767004285 -2.841301114692917 2.55752084926832 5.315690579073609 5.94450281649336 7.7811633356905325 8.743681223096818 5.703326701467974 0.8789142355246019 -1.219287379623386 -3.3157703395859737 -7.493184069838818 -9.790058292485373 -7.406092781958224 -5.977049219636612 -5.743118649365104 -3.2803731933187454 1.840114490188403 3.4009401165301574 1.905797964812618 2.5930095086830423 5.128405965077654 2.7719545956600173 -0.08059685345665105 1.1795535408351212 1.1943584021328117 -2.2234161734096864 -3.1166356428863717 -2.5583908289053876 -2.704623271261207 -2.620683793608756 -2.235041126811325 1.2216930835243776 4.3015697152427155 3.047756084476807 4.283958827710502 7.009407561884978 4.336890310588085 0.6070385041538788 -0.33602527130740567 -3.1383040772358046 -7.673093350472471 -9.589394665101022 -9.05187705708935 -8.304568168137944 -6.244484040653036 -2.115355500279719 2.9961826845447352
10.278326384996948;85;13;15;3.8294937505339344 -3.059494903182795 -8.196772639564596 -14.230443229092838 -16.09127365799053 -14.633359959366306 -11.147770313984577 -6.287145869404608 1.6020898374324246 5.976372357097868 7.415900612044167 8.161559480670793 6.324549610902958 2.070122869590886 -1.5248970145046004 -6.105491227752588 -9.375745913617106 -6.277011919185526 -1.4679747928870555 2.31328722083217 5.893892218383023 7.896362730242513 8.646279917876868 8.393908230529721 7.699587193771086 6.505184037541849 4.183631885440627 -0.3761834499657939 -4.639101950243721 -8.44074321119654 -10.550862413042907 -10.754809379057505 -10.621310834594059 -8.949662090719464 -5.768271194535292 -4.337790910593896 -3.813242768538682 -1.0050320490734284 0.7204876662651918 0.12784086800113595 0.26032372091501704 0.991852768191247 1.0215552217896973 1.765135645898189 0.09244285183706837 -0.7246107121224971 0.44474154638222374 -0.36129446964374323 -1.1811023009758927 0.7885112503768015 2.9054040779417263 3.319471493860047 4.637474464438993 5.843116687831955 6.785127279189902 6.866668625235778 4.571967056935052 0.9694149970771394 -2.3948620537144447 -6.717840145550528 -11.064928298184586 -13.072405936251073 -12.7326172716467 -9.720986395692726 -4.402318466298053 0.14370569859751064 4.05599053037554 7.402719935135129 8.136236435720104 7.325634548658872 6.240778545278594 3.623286096613371 -2.220680173870728 -7.100417991803746 -9.19842335822479 -9.555895285778405 -6.402407200611545 -2.043738285335287 2.6969757513698034 7.175711655952016 8.711011377400155 8.749477519716425 8.492198222360699 6.779903722649288 1.1196339156784083 -4.891153863512742 -8.942530328472166 -13.152205400865938 -14.29990414375202 -10.966975130409786 -5.888890394354831 -1.2156441646707237 3.8674650955280123 7.624628531087543 8.298090137557292 8.059717526065597 7.058538639451037 4.199968200123901 -1.5308683343682752 -5.924095467399943 -7.52872805469252 -8.492520166989006 -7.662571078304326 -2.944409639096131 2.781796608499831 5.582796927043514 6.1625198419454925 7.433615887197095 8.041637590157634 5.889210085635187 1.0373824728426144 -1.0338663456262593 -3.4927244066771648 -8.296003511816956 -10.803841636342618 -8.126418166872089 -6.947283439966204 -6.911784689748145 -3.9672186845991932 1.6787221816347755 3.4377398844610694 1.922965552915525 2.6050861125236433 5.053982114970912 2.7299803333702277 -0.169151307820944 1.4230226169392117 1.3509893303365434 -2.4010390171909295 -3.237759382872704 -2.7627306403326113 -3.0688501217513378 -2.8642872687745182 -2.406470653055504 1.2688618478003495 4.310390469193194 3.0584175401392386 4.252733010767074 6.821348391743313 4.523401760273272 0.6860825503534985 -0.21107816073299218 -3.521260154634749 -8.633346026509226 -10.60515441457715 -9.97048185613042 -9.598374088234987 -7.323877091882525 -2.368836480076338 3.159989130806782
10.20278801664413;100;13;15;2.0745857883352183 -4.018530071603268 -7.1361804947434795 -10.51101905005066 -10.985753071541598 -10.069618779524134 -8.572316152016516 -5.039616373405785 2.7887620464714553 7.540588145401734 9.151914066934602 9.784229552905572 6.605185290435092 1.3091982683211096 -2.7125320253653658 -7.161786082187573 -9.658513884281728 -7.492048332525431 -2.5550034506131625 2.0685452246831355 7.709061414227244 11.642587387027245 13.09965693775861 12.222082736916061 9.32535061916641 5.639158587137816 2.0672181100651033 -2.1838450881281406 -4.977199535392501 -6.597460341341163 -7.3822638718187115 -7.3433718280099205 -7.319526215851094 -6.319178950614904 -3.6910768921388706 -2.588250211893647 -2.402615270263737 -0.055035717741045154 1.394401880060428 0.5602543212705605 0.46697319544025984 1.017137711660376 0.9472881270933967 1.682786339667974 -0.07603172183370094 -0.9225389488956774 0.24407674463713885 -0.6744543306467994 -1.5593839007191876 0.6106009926798545 3.0604885905342387 3.693757831399816 5.3295024531292405 6.650849307158446 7.473454378767042 7.032296287520578 4.01263939536851 0.531998854074598 -2.1220279569958675 -5.304378523373152 -7.889776998049328 -9.177907015249321 -9.227795251024304 -8.042896935619972 -3.609485092076316 0.6759709564831867 5.167867269378081 9.318017040852393 10.484373331147733 8.586245205368318 6.1244712501120855 2.498098196175898 -3.1619196886703214 -7.072728131532695 -8.594353074667076 -8.868397023909747 -6.478242023391628 -2.402864060759776 3.111075179491811 9.403811138566226 12.077947093901685 11.971496773800627 10.057597766283479 6.3335387768815234 -0.16640260778813132 -5.090173733829557 -7.404954956892422 -9.834301245732053 -10.3034261724032 -8.786765208592588 -5.060996349963307 -0.7816952564902548 4.974417522502657 9.810486519102934 11.006159724717545 10.12627855745718 7.361908550940112 3.0805720728424713 -2.7505663508906086 -6.577927329752838 -7.551328670494944 -8.072948043871612 -7.540069421724547 -2.9657990105395173 3.330248471822738 6.914402996436661 7.650437326433297 9.231702396869924 9.437509550285675 5.57649469842217 0.05921009589569656 -1.9293491126994289 -3.5637177316084525 -6.8345420259233425 -8.452852871117035 -6.289756951757443 -5.277437818260104 -5.448172818867788 -2.9300285045488623 2.440157151380167 4.095152938121984 2.3219673994534182 2.7875949928718535 5.251419816916413 2.548907826683066 -0.8433250988330269 0.8405136834300145 1.0806521855054863 -2.608869550654887 -3.30620878148715 -2.4971577465110193 -2.7037377162788023 -2.7065123392374257 -2.354567388241971 1.456829591784204 4.800525840244529 3.3787963705477324 4.56328966198369 7.217237747390199 4.393628809993171 0.4265318653606803 -0.2108159738256279 -2.7581737727296343 -6.622793129136453 -8.041835661476028 -7.759066994893936 -7.774508011750204 -6.392539090866553 -2.073380194113722 3.9040115494993204
10.37808947883309;10;52;15;4.104906569442925 1.5660992475414275 -0.32232082951142665 -9.725929497492352 -13.88675603481347 -12.598839664277207 -8.446899993066353 -3.7090823648773887 7.050922518643619 9.067338520713257 8.829416863743052 8.261851627067095 5.928939318162118 1.3858626247271468 -1.5474590068873597 -8.499983185952711 -13.440677111126465 -10.789017202366043 -4.459320370466077 -0.4861424119784768 6.484401854092293 9.580005611737345 9.997681359745073 9.406560708495881 7.524265401109153 5.8223421594745846 4.408682548776584 2.1189522669330767 0.27137593423766143 -2.667226406139801 -4.7178272662414225 -5.097681987428903 -6.942979190405358 -6.434281612638354 -1.933300010164151 -2.1248332003232346 -3.9164567244388184 -0.3405350774913764 1.16716194734901 -1.12027354663243 -1.184770829926579 0.05354872027586356 -0.24283626755238663 1.1916547627562746 -2.218683238686436 -3.5628262613275403 -1.0812456249373412 -3.2476883853964473 -6.805918244405622 -3.5403404719079035 1.4455713868900137 1.6155567104015913 3.7131822798625964 5.176177219904524 5.840899494767954 5.32479387551749 3.7899555473529136 2.260586434596369 1.465532735682009 -1.8065282039796269 -7.815377157095351 -12.337274907132361 -13.30336145933218 -10.294217096503658 -3.6384704027204493 2.190199253782704 7.735820136921511 9.352373790499822 9.239889865921395 7.145323027726728 5.945559915132475 4.1644544876802065 -1.9551859187234082 -7.389691398991371 -10.886317599552637 -11.833528086257168 -8.596874383666098 -3.7848041010683633 2.850303072346935 9.384090925178086 10.064777546836307 9.153051892000402 7.4265474534396985 5.504773791774494 2.674191761313655 -1.2611446407882905 -3.8499284060042775 -11.028059286465265 -13.9546928902102 -10.910257160570108 -5.033098758327031 -0.7518205633176237 7.100341706042854 9.684938831750667 9.473034745367649 8.218636543925733 6.528439511684897 4.243520455280176 -1.7404720655494565 -6.048708537588066 -7.584090377297836 -9.823815857189892 -10.506416251894567 -4.971988853325108 5.1109902823961795 7.606222209885477 6.685618039948967 7.726171937097493 7.207561710867324 5.001626503800944 0.6614479417614286 1.762849209045779 1.1174741358058002 -5.741947072301938 -10.434388793600725 -4.798787521198647 -4.231815902125829 -8.037429112046883 -5.832240276468619 3.8292052927420235 4.3387713755133825 0.15913975627906515 1.47066147346714 5.01287287809812 1.3442194451743936 -2.8811615276632137 2.139808217634606 2.2001985439710623 -4.148925172102835 -4.239789028596095 -2.7789855326717268 -4.299907947118691 -5.461463798696049 -6.738109437823635 0.1973433637292355 4.686605889963788 1.4987574015827754 3.8329221879569744 5.7886006008719075 3.7480077299270382 0.7253305559489296 2.4427762367839247 0.565579394772321 -6.752758500597407 -10.01003223786719 -9.732592211363901 -10.484724504309842 -9.25815325888085 -3.348297174242256 6.3128776830719975
10.123889516164216;25;52;15;4.50003772300468 0.18404211911827095 -3.49019613850343 -8.513936331255046 -10.499174534686784 -10.555300278758267 -8.919689621142094 -5.433063058727924 3.2243500142765287 7.864714491393921 8.671232734732754 8.98034814086602 6.892528222556947 2.605711220392363 -1.2540849059992865 -6.60068661473875 -9.241039952340717 -8.277499762168887 -4.059962214182808 0.20536172483514545 5.571726271907877 8.598408450934112 9.623392586494152 9.143902665003406 8.101426643798767 6.143516423552932 3.794324865197338 0.23475249439607532 -2.9632432536256608 -5.664531472985484 -7.652572136074704 -8.277054374987166 -8.71148572795471 -7.53656756500827 -3.9339301682704226 -2.4485472152135954 -2.388316253978098 0.7295817418025772 2.7492393274541738 1.8117440226302854 1.6617035198707564 2.2798630005964693 1.941256003858597 2.581664836043026 0.04535603184335836 -1.4914747080419455 -0.29303148992195893 -1.5207041117391857 -3.0187040485531855 -0.6577887165150093 2.4793320856410976 3.330182359662951 5.309938821172172 6.9325914954701675 7.611356688989747 7.221420211393543 4.6127627829869615 1.6868985160067018 -0.8027149217769396 -4.432243961446099 -8.235279841011682 -9.964837269519585 -10.414688065901782 -8.727635188796903 -3.866387898079996 0.7717700857045182 5.423393202664521 8.86423918217887 9.314682900246734 8.17202607944122 6.7385787513603495 4.090046991634043 -1.6003275092337776 -6.6099673701378485 -8.611138604078164 -9.49522450470096 -7.652006355170425 -4.017692882885129 1.8298751084723983 8.045078902053895 9.862668498863776 9.609907793650098 9.006832672076541 6.9661945664960285 2.335072221358069 -2.2829327753607527 -5.58873492566633 -9.315936678369301 -10.668214976251516 -9.633114288409178 -5.681335096250828 -1.5356485914795834 4.58514773384409 8.797481210978756 9.269959068027294 8.803345011593095 7.505064342154704 4.426344934201683 -1.1146174773833168 -5.696625794933267 -7.501851026028108 -8.74702832097347 -8.665060377517602 -4.468564590197926 2.5806407934838047 6.501318911905481 7.356394796813908 8.512906638558281 8.93969472993702 6.196814654937963 1.6283927341828994 -0.0400057271413444 -1.9455951320907838 -6.709024958939821 -9.053829105596733 -7.0813345429019705 -6.207839810276991 -6.760344001036082 -4.0213179169938496 2.7738015606292143 4.948697108675775 2.999896448131065 3.8522161518938605 6.64466190491989 3.698278163335542 -0.07546672383657713 1.8060538534250716 1.5217146750893116 -3.230901812109153 -4.382687678304991 -3.7942807572356716 -4.286243955525739 -4.0704037599242655 -3.686908346484956 1.0437434195006106 5.3638139681410255 4.0345440936994965 5.542029733607934 7.893176820058269 5.275069180348294 1.4090223232281875 1.0125182114849698 -1.9053975471055755 -6.915356834129037 -8.904350208236657 -8.927170038042583 -8.976125744405842 -7.453799316460249 -2.6213591815147868 4.1018170438284765
10.22155668882734;40;52;15;6.136645630357424 0.7732531728258368 -2.8901720931040265 -8.71000968699779 -11.309169581712919 -11.702535540608373 -9.513474940389422 -5.3062818576575355 3.2654272389456347 8.216441620220817 9.142174701921824 9.763751485391037 7.436002188206657 2.253302614381562 -2.000032754355927 -7.435081224230978 -11.255621515955642 -9.028127481541581 -3.561105257420674 1.4755292422004818 6.870962436034551 10.247579756398729 11.44682928189906 11.01388510456798 9.735078293732844 7.547606473101187 5.017494466025941 0.9987830623305636 -2.1554921924861765 -5.183356039378913 -7.2132122955744356 -7.7064284932718286 -8.429662117298832 -7.47135592242969 -4.636506873992729 -3.615050692054142 -3.8329803798636095 -1.2208752893138402 0.444389455636518 -0.5180062112638459 -0.6183396777600164 0.12618199647601633 0.019655908360253688 0.7966683600285793 -1.3943234111736098 -2.6209666840608956 -1.2715036333196987 -2.2510837643216517 -3.5445650389182686 -1.2681447876438026 1.7091993653583042 2.469834377970278 4.222140130763919 5.760787563208412 7.032115348978004 7.443074101551411 4.685879004164871 1.470672782126051 -0.5230042035540305 -3.8737159090542397 -8.20312427832641 -10.790233666106118 -11.463476058572365 -9.301780325165307 -4.107417522477644 0.5447019576188615 5.2114905081164435 9.418970308846564 10.176126430018819 8.633189014321644 7.243099432463783 4.306216356199507 -1.9715838221029045 -7.220806147022769 -9.885199953675563 -10.672622917515604 -7.945546432375436 -3.4117338793099328 2.5640247199770125 9.236056752488714 11.355080914299602 11.172385876027782 10.671994769199863 8.23886825665538 2.7955785581041916 -2.220217040793486 -5.802025627611191 -10.12870565243659 -11.971852818385038 -10.316540737152451 -5.707302908738806 -1.0966333171173612 5.0159857169478625 9.866587906062918 10.449143900991121 9.882668471075437 8.519427385265658 5.0774909030735635 -1.343047515960578 -6.204109692630083 -8.016349771837021 -9.343267445225088 -9.23830290892555 -4.360395005983678 2.5562377514303556 6.434992409537657 7.1100915098177015 8.852066193768476 9.936247157201457 6.895882544769278 1.2710985265535515 -0.27692471926715456 -1.7489740892980161 -6.6788952120139085 -9.713252664832634 -6.896359678993719 -6.139374753519438 -6.94015376547132 -4.48660207514013 1.6848218982719305 3.431729245260258 1.2947805981065905 1.9044395339083708 4.879611293533699 2.049556420557475 -1.7052200180750232 0.42439487678526167 0.7005648539031775 -3.815455090180383 -4.711656913980916 -4.035147188986268 -4.475478182317928 -4.347541410286216 -4.143794520544658 0.07761469905150564 3.8823344161814948 2.3312928675500566 3.5734771954301308 7.005734509470727 4.438169615917625 0.3734116148689697 0.5295126889078854 -1.7669054468258263 -6.921662542337738 -9.20728029988378 -8.796954832209384 -9.184771545187587 -7.839553330053111 -2.9050518525195805 3.5743999819972574
