rmse;hl;T;RS;preds
10.168235032537682;10;13;15;6.278655245496557 1.6094342024672468 -2.1481575702959548 -7.68967149647707 -9.6358548114117 -9.560291396445479 -8.207767439695846 -4.983130492042832 2.5370765337511463 6.28940925818269 7.5352302767891315 8.48322854207133 6.827131465930964 2.3624014223995475 -1.583992934344182 -6.259968204392535 -9.180284269331754 -7.236638269497986 -3.053106728753729 0.5821011279668914 4.545664856102048 7.52990650813263 9.126236799990949 9.56702953456491 8.993554566721503 7.399122737725265 4.953506594320884 0.8830377205222406 -2.727281300255025 -5.750574709154092 -7.315250498906578 -7.643717978085597 -8.17644071471906 -7.6107815959973735 -5.43112806019859 -4.910612063972888 -4.897769602954969 -1.2510915039855794 1.4112783136912221 0.8494211660953707 1.0551293252508094 1.9015554779273633 1.7377298939348524 2.603696887271285 0.12529276617946528 -0.9739628135610737 0.6674608426940217 -0.5920874090055886 -1.4248045964225993 1.5263941981466294 4.257437760832731 4.743850321370609 6.278961449183989 7.643956247021794 8.52193547183272 8.24997927500436 5.645201238542313 2.1931074928958436 -0.6378188427339889 -4.283015246417002 -7.751451570003988 -9.398319388638143 -9.788264913161477 -8.418570584639053 -4.166780674626258 0.2592220400628885 4.316534724548521 7.637105635432957 8.95308974942726 8.299703970173557 7.144885295637193 4.4506289743675165 -1.4750616684574456 -6.193430143113394 -8.244902987806725 -9.022872608714753 -6.837460703798555 -2.8185188644304477 1.9965156786368765 6.90948633950095 8.997881781558903 9.650902900057574 9.334673129613794 7.7110580014528 3.1708611015043235 -1.7378825566382354 -5.226303542252509 -8.891214070045791 -10.146346464420073 -8.646180136517486 -5.148814871601554 -1.1749817068145947 3.8301934955514656 7.54896281625302 8.725823980779715 8.900637057770027 7.9476615907321015 4.88287549443348 -0.9411103765178428 -5.302536777784991 -7.065843419987758 -8.405867307115418 -8.173831024201167 -3.6495949914601233 2.893455870874605 5.881369879401966 6.537358389998848 8.35317270133909 9.177537052315483 6.951443203853954 1.9835068933432836 -0.0684483091474398 -2.4722971387200996 -6.778732924301363 -8.760306426328508 -6.7272371191673574 -6.648020833393557 -7.4450001359513855 -4.631528976319532 2.3802129081429024 4.54109511402585 2.928513061457036 3.94687832594623 6.6814564534697665 3.752631405607273 -0.37500095569729464 1.499241934122264 0.9834723560208214 -3.824138052471517 -4.788504992599413 -4.036568252462944 -4.408531269524317 -4.266408219837339 -3.2883950340120127 2.1039693377523823 5.901525737127228 4.5525224268655995 6.047834730404905 8.108335016537733 5.69198429055974 1.3095553609736414 0.4986444865550924 -2.63203351165044 -6.949168680396329 -8.444158078228888 -8.336974261112932 -8.804796430277548 -7.432263454389125 -2.8149421965859913 3.2426286346225863
10.232919750766625;25;13;15;4.776284251044454 0.04794258310532597 -3.9131806929420234 -10.938466871192322 -13.5733621280658 -12.419028508007028 -8.186020714630878 -2.188568106027423 5.514067421646814 9.094919121941292 9.697101381398994 9.53792835366178 6.071084637208181 2.0514160860205255 -0.7099068458478489 -5.157899378273707 -8.926300141203285 -7.5711929387996735 -4.1521580567164005 0.37898687070171216 6.512775801237767 10.150090765577378 11.458398909861717 10.551163314551534 8.519236703878484 6.361063704711844 4.176083964545409 0.7728090034996914 -2.405517072140266 -6.19043282656391 -9.10112852837797 -10.19917355967694 -10.044375765082663 -7.424872810842452 -3.525206006697803 -1.8146993189705174 -1.2198506378268315 1.0537300091951154 1.5765206116762132 -0.04707207314632701 -0.20220443006500086 0.18769881747194253 -0.013165408123551322 0.665616313435975 -1.0550996575766756 -1.5407962930158112 -0.3752070777533662 -1.5931433791967542 -2.406713702232404 -0.24874373698805693 1.5868323688092474 1.8032463483659225 3.5358872132104007 4.925407534576627 5.861085972861959 5.899454686732228 3.6762029652240535 1.3813091497218433 -0.669392966371872 -4.34647630859618 -8.940259549762864 -11.669832290873082 -11.79534866193913 -8.996967776757941 -2.9900259854726925 2.15037763821144 6.400438715245812 9.665387030390615 9.609483979909992 7.402012187066676 5.906515465397439 3.4547822074191172 -1.260769889229921 -5.495143768602504 -8.131250617793754 -9.685418053727524 -7.803580660037003 -3.474303123249462 2.932237263805437 9.217900961576365 11.217856427694077 10.421175673731494 9.285867741424369 6.67511873305738 2.040759153821658 -2.1074072528590566 -5.785711582287003 -11.031339841425623 -12.846558447410317 -10.189658280089969 -4.513999650073178 1.0976323108395245 6.404949652295675 10.4361017116589 10.504204195413834 8.9663191405593 6.80558586101524 3.8884348287361212 -0.6727185819885069 -4.360439892660586 -6.471853501003826 -8.708075036427193 -8.985588134264983 -4.341260407147751 3.1041135690662798 6.75098626395862 6.925614922819 8.311206790058957 8.448525225523127 5.125998090626478 1.1701670929700478 0.1543640226313211 -1.9854466721133197 -6.9577897060325045 -10.049232573115827 -8.277440609183817 -7.364690563829956 -6.5165975148299395 -2.4360363588708167 3.766575503982479 4.344447974327903 1.6762751618258311 2.319248971830613 4.635315032525121 1.6987084094763745 -0.9332258925355007 0.9291211145118208 0.5169904369165118 -3.3043197135109312 -3.883256937587656 -3.370441964100888 -3.803897292814739 -4.050368991839034 -3.73988610787439 0.43515263002780386 3.3304224511905973 1.416198972152393 3.2805898888133282 6.174786779214532 3.373908246228351 0.4475277824636521 0.5215473045194886 -2.285940704651676 -7.202605817392247 -9.560917026252302 -9.778372446304985 -9.499045787536627 -6.929994066305794 -1.8593076288897006 4.898769901522391
10.09351048745033;40;13;15;6.988260717680388 1.1085937939218302 -4.179593559151641 -10.880009107674049 -13.820444842630014 -12.799170643110209 -9.383246512124266 -4.902605881422728 1.2701913981295319 5.535759517190276 8.131133968819519 9.902405386482894 8.414785754672867 3.9297858969302384 -0.8754977114963466 -6.70984196605129 -10.240380920913207 -8.627254660881729 -4.6446118768238325 -0.365515731046119 4.413827814601662 8.193727569870546 10.72042297011977 11.419302266316326 10.418190883696496 8.159180138835946 5.120904322694287 0.47094444849102146 -3.846313810657628 -7.638772092616086 -9.86410878286869 -9.960202459159806 -8.907925832204906 -6.638921712454503 -3.5616769536234605 -1.897215297435142 -1.1346270184602092 0.9590176420951182 2.1864430392306167 1.3235454768916457 0.9185620457073742 0.9744108146252257 0.7880368086406485 1.353468536328542 -0.11521953056785263 -0.9007268945780765 -0.1627419948986829 -1.130653851636401 -1.8008610000509706 0.11385936406184063 2.11856916436505 3.0310422345652777 4.85139705944792 6.409551058616823 7.498727317659788 7.654501484466496 5.305440062678061 2.1308684617965117 -1.0335725814636287 -5.3678183600694505 -9.7056344562728 -11.79873638819009 -11.37102759799664 -8.730732717462274 -4.183787157834527 -0.1530962307858149 3.7619445211687936 7.592359533854429 9.693908512040036 9.380315572895533 7.97157540280313 4.712700011472832 -1.3438517355885087 -6.890777724955314 -9.937785565569843 -10.45307139403895 -7.759886089757818 -3.7652679578514165 1.1323600714889133 6.388884397467526 9.829554657820339 11.197474396790597 11.133964968347154 8.861403318482761 3.5029003771054983 -2.300068699218709 -7.058120823807209 -11.785722731474198 -13.01211999753533 -10.259013415293492 -5.696493918572429 -1.4189261815413614 3.1050589729512286 7.467417294702316 9.766249133196027 10.323518966799526 8.975171210795992 5.6021834480041015 -0.3944580687863909 -5.892571797778739 -8.741888970446901 -9.87791996100685 -8.73072993379239 -4.343341200387351 1.4568723907086973 5.24828505666632 6.97150859230793 8.998323689153267 9.943092201450522 7.349320795716739 2.3251463504629473 -0.591763633402002 -3.543666261503906 -8.238850593557629 -10.674675178138877 -8.336555318795128 -6.392567623482882 -5.4532429256059505 -2.5806434859720926 2.2939351477864194 4.299196636665111 3.3277163761029103 3.704199725100009 5.609640203710561 3.2548639076466754 -0.2344947397706776 0.5554305693172872 0.548845624223172 -3.1530439572395994 -4.215507772100148 -3.414482753322113 -3.277633018274958 -3.4775589731395855 -2.889347952838476 0.83799515810088 4.007226549275664 3.377285881675976 4.8407265568583595 7.38297675647043 5.278678556313908 1.4457105703843014 0.27200608750804867 -2.948738593727212 -7.882832437601847 -10.163560678993566 -9.790721501835655 -8.540505068479607 -6.39349110596748 -2.642443741105683 2.5429622557658345
10.163625799686193;55;13;15;4.308454774746388 -1.4108448399042863 -6.409518781252172 -12.978635232479615 -16.308948292046715 -15.812391690486418 -12.310395790715535 -6.982488513011314 0.5256001538937763 5.727002857722506 8.192810350643192 9.153111740902947 6.923692102845417 2.5523860222053134 -1.6172957169811175 -6.615199973605592 -9.872618461709433 -8.324328744739429 -4.235963918214336 0.06925662148242898 4.5817704463552005 7.787570647850064 9.345175916092739 9.144445480631127 7.58332026181792 5.36793205977826 2.8552211211175877 -0.9387963639356272 -4.4992719486251325 -7.914270509374064 -10.398340964497702 -11.052542359027928 -10.522321445704286 -8.284489557252012 -4.679305450527437 -2.2558883785444603 -0.9554969914151991 1.3160654079498932 2.58963570078151 1.8430383874446503 1.4466270936941854 1.5261104377976504 1.3914352708693714 1.9098262830960375 0.6603705745259585 -0.11273380034955961 0.5259971313163898 -0.23274181064980892 -0.91692263393212 0.6087120551881616 2.360882408538766 3.0487825627471783 4.408620612121626 5.5435186490380755 6.348521184124115 6.463819398957039 4.42950057197592 1.6502765549897425 -1.1998490998008606 -5.383183869880068 -10.022145377375043 -12.866330854608819 -13.07608316417015 -10.385312693514908 -5.240126203028949 -0.3584260718058432 4.002397577941355 7.612547403783378 8.909338113915418 7.854517908602411 6.153690736985357 3.2004313307832004 -2.0151200711573374 -6.971267539701847 -9.77016688339926 -10.394730544655879 -7.7971044520478 -3.585199312116804 1.4585335457130202 6.5852201140970035 9.30895201986944 9.756795790264011 9.140741807848134 6.763706939419037 1.7058205120551042 -3.635473434129701 -8.094492256952392 -12.86761969376592 -14.682266255589091 -12.191460711176877 -7.172311833943075 -2.0148169990985263 3.262990483919394 7.608964820640415 9.114581574179304 8.719235034160139 6.889208696218187 3.7409493869729773 -1.451203181825397 -6.237272247896524 -8.513607162291056 -9.472383101453417 -8.495201537006459 -4.098335103557906 1.8081419537981216 5.5001692538247235 6.711698939026053 7.972219822381682 8.35103832245419 5.744958224403081 1.2383988433953013 -1.1728295820341723 -3.513509373796607 -7.927504771928403 -10.788717261935854 -8.990644670612454 -7.0130163247308905 -5.709829437118862 -2.5602600632336703 2.526414382171243 4.580990670828454 3.538440534413107 3.5750089097847657 5.103946553709019 3.0203769513567527 0.07288939767301987 0.9076092615934614 1.130571998535737 -1.9596095181306046 -2.972960697238087 -2.3453395225707014 -2.3044825557813056 -2.411211938788412 -1.924084149069264 1.3489552505572138 4.216802791716725 3.569195215228372 4.592877985116824 6.724676408033431 4.811893304181735 1.4114549897392834 0.37066139251668817 -2.5149986347675424 -7.478516217293317 -10.309676903131656 -10.44471899254675 -9.491035777440374 -7.08997714197976 -2.765334067593261 2.707625376435221
10.07035932830623;70;13;15;3.9592517385883994 -1.2999718772825533 -5.901366106865303 -12.098140961926912 -15.732202512087547 -15.396604662496173 -11.630889445088876 -5.943391171130508 2.1271887981662827 7.258797242867012 9.273428912539885 9.614624722271504 6.8619969312500135 2.555723294439595 -1.3717268838863301 -6.17888685979528 -9.643957378531656 -8.828579409863945 -5.31551250699869 -0.9011026030229692 4.440180817410081 8.158246913506748 9.851789221032785 9.460065627369929 7.484057377361872 4.939314401367111 2.311593705665426 -1.2517367934609704 -4.302459876486455 -7.012968306425361 -8.984808706696974 -9.257808083815018 -8.386667639995913 -6.075700392635265 -2.60679502067253 -0.5905534329191712 0.15521482523499616 1.9050975238776156 2.7304191093359695 1.7136182673225682 1.2148071541238652 1.1947093185177844 1.0013618715106614 1.4998510358891404 0.30010923576745013 -0.38966902571700557 0.20010798287420734 -0.6847105448666445 -1.4938514401862746 -0.09377866123158003 1.5260883424179323 2.1590078847541117 3.661371224114029 4.899354124239663 5.711463020585293 5.7903762343002825 3.8118745119920643 1.4272379630430803 -0.9644143909045231 -4.594472414841659 -8.582766048767631 -11.176666895151104 -11.720086579238043 -9.541964409835156 -4.641138552723885 0.12716139157996056 4.537629792976824 8.12403213102349 9.116040217199437 7.788268653073916 5.883951733221001 2.8484060013197947 -1.884530113765768 -6.230738278757191 -8.88913814822849 -9.87098096789914 -7.881905475529892 -4.142303517362102 1.1268006477786459 6.890615841345435 9.766692432625334 10.028326781517322 9.099059134978877 6.358579975256282 1.4808077762213399 -3.22622594261856 -7.1970906714311 -11.772841299077879 -13.836340989512607 -11.601612197065474 -6.645493261137293 -1.4586231408955541 3.9715207636098535 8.416165759018728 9.67661078736997 8.854416307069524 6.63316395645679 3.435010496138089 -1.3102147385859153 -5.667181178757985 -7.7782736211881565 -8.8491813506884 -8.39460736242755 -4.375131406400116 1.7732695293043577 5.684452027807629 6.826267136431438 8.002224304162734 8.086043388092627 5.27760058015065 1.0475707046244682 -1.0886186095781765 -3.1326671457171558 -6.9729286947061695 -9.41515224043729 -7.377648547148134 -5.479357924639137 -4.600856761724633 -1.9046299501345794 3.0127865794957773 4.687121564810124 3.274037129902267 3.2083557430304666 4.677745816676174 2.524663105854369 -0.29494700276209235 0.6079317142284697 0.9026152708287376 -1.9348331163537291 -2.7126103160809025 -1.981332929960281 -2.014419630222335 -2.3876930598824253 -2.225540113532516 0.9260123641772228 3.7551603696984794 2.9606533139579336 4.098971785246501 6.282379795803694 4.315988081374706 1.230432850079117 0.5000736400723745 -1.9739074905400364 -6.266326802329065 -8.729626208682689 -8.879412701565144 -8.239614015023797 -6.560415958419041 -2.7625782344063663 2.9013350484862275
10.460983506683286;85;13;15;1.8736841571756349 -3.343326235743773 -8.821437208854576 -16.034280800749634 -21.133386419946845 -21.692345941171 -16.43906954902127 -7.891720695547055 -0.023079709390710496 4.519033486305054 6.497272151809069 6.959119173563917 5.0601448121392325 1.654141506646742 -1.9497410604268766 -6.7122449690801655 -10.027306997260698 -9.184619835178815 -5.15411880661012 -0.42066666871948605 3.6221211307661836 5.689834253531732 6.503680159886072 6.175404753929169 4.872509803696409 3.092372049488176 0.9582122046116126 -2.50023578948719 -6.099784704486796 -9.817194202449159 -13.129421062851055 -14.2891035045953 -12.195285473599899 -7.640863324617758 -2.938034687099022 -0.003127233546476163 1.5450256486507064 2.968162611433487 3.2825774291117558 2.1236309200935555 1.4131924346964126 1.0550422485771958 0.7604970055743762 1.022900691231039 0.09224669009980675 -0.35493404492385067 0.05684510735869805 -0.6785936042720714 -1.1078034884514145 0.17803578590681446 1.3057504321985536 1.7679029617233626 2.834828303493301 3.611930811231915 4.065941454299634 4.0726045161299185 2.440833583162405 0.2776010030093593 -2.319985857251268 -6.666267093577193 -11.585131479506877 -15.038154274977714 -15.559222481717004 -11.983151734451305 -5.17493648185072 0.1664481945744243 3.7432786227498807 6.011612226016552 6.526212575776294 5.572764580775262 4.150316924247941 1.6098183489114806 -2.7344454226647446 -7.2277527952226635 -10.461743221650543 -11.587423831657794 -8.816642337476367 -3.800458068670892 1.3159287471564396 5.108835721904607 6.705013259877947 6.783898288935343 6.239106255594729 4.311483407582087 0.09452173130362188 -4.7344405560783285 -9.566060552283702 -15.190043830458855 -18.13551592015562 -15.515652480665207 -8.253138475163727 -1.5468521668522657 3.0047814408218247 5.975453050118099 6.776931459128775 6.1855839387838945 4.566222954125802 2.075445768350548 -2.111945852628408 -6.608437047618157 -9.313499575384323 -10.648816276735179 -9.515400544032893 -4.473476723670071 1.543670001416345 4.530118407748857 5.265737970932516 5.865059661623871 5.801705770735294 3.673113439609604 0.09897020976042217 -2.19147251759447 -4.7249771223429775 -9.15582624979806 -12.365131091679086 -10.785852169705944 -7.494257174579776 -4.656709706147313 -0.8704039435641553 3.3026629991724024 4.418825197964059 3.2677376849508093 2.96421536753549 3.769797949833973 1.8695598022811568 -0.6047591962636374 -0.09150161926503451 0.10688148656541457 -2.4418218687696176 -3.2736579376781036 -2.3514990881104003 -1.924403749168022 -2.324939049854229 -1.8004980790896155 1.141364286682799 3.170553853940684 2.4385370555066594 3.2327535657028794 4.763026327296086 3.082680702780929 0.3253691262076073 -0.6069118429821633 -3.381680335347142 -8.187630371742312 -11.491170094348245 -12.07900183962742 -9.966828985322842 -6.5397284197456 -2.148543108575131 2.7915975622088296
10.14380064124468;100;13;15;4.744407751265231 -1.348840332992829 -6.184468813833686 -11.241264738519874 -13.43363442631551 -12.435695731447968 -9.183978895187618 -4.445786515440284 2.3799625518325525 7.44825659896121 10.195392905215584 11.035101540519712 8.408672815603751 3.653703257454988 -0.9959950387687008 -6.004137111294869 -8.87162120955492 -7.938713914640856 -4.47222998751999 0.3978380136525537 6.420896601153679 10.677690853703584 12.884353990445089 12.708001544007953 10.131637121987254 6.393889435922109 2.536874891663797 -1.8763113284280837 -5.140441940543947 -7.354292860889199 -8.58695547194569 -8.37711895637031 -7.353680453514333 -5.536420025668441 -2.9353924624393395 -1.2073053335692165 -0.22441050415596164 1.5550407709615401 2.5841617879305456 1.9507564951993024 1.5711195961803819 1.4180330626483684 1.1733415205160127 1.464243374586802 0.42752846267462163 -0.052435030655438954 0.41702732899967226 -0.38060285212074063 -0.8354352214902812 0.7304354585606639 2.250506070022588 3.0501531722071755 4.744184709715635 6.000909711223305 6.494949179289408 6.0911138379536425 3.5419159462654695 0.8163464704096992 -1.8266663158093672 -5.244732132813662 -8.281492936620001 -9.783607833442613 -9.787456952977138 -7.873658157575878 -3.70966345596604 0.7350220766355446 5.276508337679228 9.168751790156048 10.652428353572908 9.613791013140723 7.19311028865544 3.169905606816039 -2.044579127620152 -6.2321447279669675 -8.469166568482489 -8.926609824478074 -6.8458012746937404 -3.162685545847639 2.200091546659829 8.075183595950836 11.430917824832097 12.100198359133447 10.926810518706699 7.315739298132493 1.525180692055809 -3.5593852973900146 -7.334542723049785 -10.818024434410528 -11.85592410232299 -9.642661580199839 -5.328231442665429 -0.5128809095712301 4.783075361689483 9.508525840493522 11.548867485231202 11.027089442671045 8.251025934881405 4.205244298433609 -1.1303735708747793 -5.7231806138084025 -7.70677297242019 -8.326911294475938 -7.538577374665784 -3.762555271547751 2.0847437477070647 6.364742324465866 8.26455944194846 9.686968823014855 9.50042466520851 6.156706147389099 1.2324009046883442 -1.6004357244005862 -3.9379327376073987 -7.21215450101785 -8.827042128169538 -6.8782679124887425 -5.156892037733801 -4.233863639285536 -1.7390990203783092 2.7078746888693637 4.734634982213826 3.989002558451115 4.081811852235781 5.27490529178377 3.014107082897831 -0.06868470361351894 0.32457425797069905 0.4250195062107193 -2.305566621222438 -3.0511317149697876 -2.166739958618295 -1.9127285157290725 -2.252394002941002 -1.8579530255315464 1.2664375322989108 3.9876020245398456 3.4607851915277426 4.645024821045361 6.550767327838517 4.313341855189562 0.8523170526733925 -0.28207805338541675 -2.7907399267230524 -6.430874400698193 -8.181375465509028 -7.980022879827952 -7.041777897907957 -5.432898822204664 -2.046051862969083 3.425670935712654
10.442622824737024;10;52;15;5.83576849525104 0.7917403074442743 -3.0347059748914336 -9.358583892853972 -11.9963310195254 -12.172602739535847 -10.686530828182295 -6.691972893137174 2.9780599497122795 6.263369418236419 6.7778034437204875 7.558349351107777 5.621027849254438 1.4752634017263924 -1.5173188211993751 -6.303170761019413 -9.45396216598445 -5.759488020128272 -0.1905142561478365 2.9143055583188913 6.081711992914513 8.212554225225364 9.21599205995221 9.32299006710329 9.0235214689591 8.319435318241243 7.035502379311493 3.7194166565304747 0.38462823869424134 -3.440585225840814 -6.458173155350296 -8.088619409410928 -9.796208811097944 -9.983182349984165 -8.320503286398935 -8.381997337845092 -8.955782684880763 -5.520813728412706 -2.774414746719321 -3.1517269334249027 -1.922965809692663 0.2969333511442794 0.9568604719130279 2.4917695226906393 0.21192294349296892 -0.502015419605141 1.8497390288183921 0.6702288544366668 -0.49871276926506347 2.5485673490601646 5.207283339042864 5.094386735403873 6.492528778323747 7.782450087095222 8.792158138239724 8.980547173262853 7.284468246553422 4.776693798476395 2.3714158153864533 -2.0606631722200297 -7.227400660982116 -10.345227847160071 -11.627469706634226 -10.47039069215063 -5.376731323084894 0.10723777456336991 4.646592375149775 7.678525251498011 8.404047748088576 7.435499735792279 6.869900465973136 4.813616395841016 -0.915814124389803 -5.737572187117743 -7.833200995373824 -8.665885039721257 -5.598009417808186 -0.9087539546523794 3.97218919234117 8.056658272861153 9.293348854242328 9.465371998089644 9.325033280799435 7.9666323010035045 3.338125561681946 -1.5765307852773192 -5.2808798260738365 -10.073267474826885 -12.132594444102871 -10.368300295008133 -5.904748961693963 -0.9657442891924414 4.761061752274217 7.883021992315044 8.32183971310506 8.24598610055325 7.5314180408805935 5.039675791551823 -0.368494410055821 -4.471029181923024 -5.661856366225275 -7.132758668536418 -7.145473776657064 -1.577378238778163 4.976821917366475 6.7270112111501055 6.481900726699944 8.375110107791237 9.217523774306844 7.222320032684112 3.150292216759763 2.620880481476035 0.5315550327071884 -5.287974704695149 -8.728697854775788 -6.760791475970217 -7.54990899885321 -9.442554686792636 -7.113743419546843 0.9720154666885358 2.660527595741336 0.36743203098532157 2.4217388256017185 6.1671003707424985 3.3210317408310117 0.2316528997257109 3.779899539890633 3.5285438920517858 -1.6189941035701623 -2.3172559469901843 -1.618870404239614 -2.7959241639265304 -3.0284667268012555 -2.726549543033808 2.682649420323411 6.146208232332454 3.9284887067634777 5.875146985372366 8.288506658058118 5.9983376002488695 2.4914791511256817 2.6411894410450136 -0.7682433457467239 -6.596935619567699 -9.24542632016319 -9.783747712854371 -11.008403793401968 -10.135869426887574 -4.258898226444314 3.499448974405901
9.984278977131517;25;52;15;4.914634732118765 -1.540189626960085 -5.841401682021366 -10.910298219700923 -11.746779189772521 -10.325649600936103 -7.9676383325062385 -5.017127452357527 1.3558566641214655 5.64801622471428 7.755166642627491 9.54752923109774 7.156072168990561 2.1429264498447522 -2.06167103469804 -7.155050296981524 -9.894610845641822 -7.8050553091589805 -4.555784970769472 -1.399154818219069 3.3082811409193225 7.992343667903257 11.018121154216622 11.474118293706564 9.954425217472892 7.0157870373456515 3.3987128326628198 -1.504170504452759 -5.198771307288739 -7.973170180486701 -9.223479866783919 -9.00946645454497 -8.655102494418795 -6.878998625833753 -3.786279446107812 -2.310506069455338 -1.6518203567185301 1.2434906975544462 2.964023294313373 2.2176380618259337 2.0962648354260907 2.321820386887577 1.5109530073109925 1.4740227548541862 -1.2975411245445039 -2.8703669777843692 -2.2185899857452633 -3.4910169731609915 -4.282801947712007 -2.0451654380898385 0.6231084564249599 1.6416908471652425 3.8085316724180114 5.690845769576467 7.05489620740553 6.86372767800148 3.5527652996451895 -0.30619120231716973 -3.327194520797102 -6.8599819850092345 -9.880120452051536 -10.680477738015728 -9.75716992870268 -7.224745039911109 -3.341169935458522 0.08179688033837594 4.056402165559896 8.62222065905431 10.61385712771845 9.303493243223482 7.450292157565167 3.724544872377502 -2.78473833444937 -7.6672434682075625 -9.4762746719537 -9.708545479055829 -7.574916097271868 -4.547593674171909 -0.10270632550360781 6.210662020784639 10.270034925449622 11.427771581943727 11.012776508035977 7.814868010667223 1.4274978882186624 -4.144529409394496 -7.624908720667567 -11.005022330408249 -11.183602408671454 -8.605850327212707 -5.351780593981423 -2.2340877198754545 2.7163060769945724 7.978555455041653 9.996856697541418 10.25769491684608 8.580732147159583 4.425200845878639 -2.0129122729792 -6.6713813910747914 -8.268027629465145 -9.17519224119324 -8.588373751752481 -4.945535290442066 0.2908219561420567 3.8639510602559857 5.467301071648702 8.51081958206144 10.145474049071854 6.6337561822249835 1.0133455703688257 -1.4242602149805668 -4.124172083561253 -8.475815364004607 -9.99120836618226 -7.3797418669022194 -6.53675685214256 -6.266980964752217 -3.4328400123424436 2.013539733761299 3.945552951121876 2.773270749577875 3.918728812185294 6.581558196362296 3.4096853634349844 -0.3831241828671819 0.5555981984382199 -0.6864304179076198 -5.156671779854091 -5.887177741457623 -5.425706515137351 -5.635166539360681 -4.893454218714581 -3.8557160036554925 0.28529915508872383 4.068980177938669 3.255978071518448 5.1250105837345075 8.052048515530348 4.861184790724961 0.4483148651238486 -0.7923316591237151 -4.25205144240157 -8.654035652935079 -9.644195382306886 -8.686636602802071 -8.106112686890466 -6.205991453472852 -2.2664120425475476 2.8487457830252243
10.27653554851953;40;52;15;5.849667358990603 -0.1619722231855884 -5.504651393097291 -12.468694746108621 -15.281831169436714 -13.854362468352967 -9.854884396784776 -4.68875079040853 2.564332663458124 7.296771371530975 9.579976383203544 10.778223787545006 9.255365678651234 5.2991889839908675 0.8888024398865821 -5.198397599606577 -9.671797556976536 -8.35177572981295 -4.3125795603973724 -0.09761316649920404 4.61131283893522 8.467836239438064 10.656725643959039 10.922153438987834 9.777024023406302 7.54740952845677 4.5038165548745885 -0.1965360952704535 -4.692451679521639 -8.766332375713692 -11.210304762050537 -11.272714640889106 -10.041541989138967 -6.701388656525731 -1.8282660560968356 1.3391368989114292 2.899838130005164 5.237279469814261 6.314252120078088 5.2435754351783626 4.183620054843612 3.4242154243211407 2.107412389442322 1.581963034261595 -0.8250933659266072 -2.3410789418311895 -1.560464486572963 -1.8571208822150742 -1.928892068900062 0.4924640434912505 3.2880605628692168 4.551362332440712 6.07691990520619 7.2035365242125255 7.861682378970865 7.517406438510658 4.881079679398434 1.1967206939896085 -2.3491280972852104 -6.871542566044765 -11.374660983115017 -13.187194739494903 -11.789288612597847 -7.633127506005251 -1.9668315756698216 2.6442225973442763 6.515217079727572 9.746224107955396 10.964012874894838 9.946438172653199 8.304093121665918 5.1758905019062915 -1.0462544595250132 -7.171460030958035 -10.64754483551486 -11.26496977534947 -8.236927773584046 -3.633651522189476 1.7318838392160365 7.244716744667405 10.496064744667894 11.410815552752137 11.02981047998437 8.817953711153521 3.60602943107412 -2.410997422227841 -7.560502950520912 -12.785600252417169 -14.079452798984796 -10.842665480239209 -5.701657974169236 -0.757783880130377 4.555130029631078 8.918549973484843 10.657095872053844 10.761218348212942 9.473249783866322 6.248560294444215 0.2627571703332683 -5.5320816761514955 -8.805335070400442 -10.363710023366526 -9.296495527887206 -4.494933599108188 1.6499806160850135 5.81105994542763 7.724482249476841 9.623230437723308 10.427262167936693 8.023952935373448 3.267569968840193 0.19561861926596005 -3.204554376640506 -8.641911378747686 -11.673195660012542 -9.382332772484268 -7.079995597686923 -5.079301067214544 -1.0358429252245116 4.438519314447022 6.854606983620812 6.307650646944026 6.539155248910101 7.689239596888272 5.12305644747471 1.364904983085104 1.1945370789436034 0.027746623135772225 -4.1328748795003225 -5.464466334626569 -4.895257340883077 -4.307320512065714 -2.776491190474725 -1.0140493997095876 2.9484827612586884 6.2667968117832515 6.023487361749172 6.848465511935371 8.334147013587444 6.012140427377373 2.0160297264741045 0.13798360417829467 -3.628530961434634 -9.067238043436404 -11.433444436009925 -10.49005523214106 -8.581967831427892 -5.0696424286284545 0.03512317435364839 5.141432844225505
