rmse;hl;T;RS;preds
10.022068279791606;10;13;15;8.042751058111936 2.8786203022184873 0.36488810466847954 -5.556908183986315 -6.914450749581224 -5.4564514531080155 -3.9858765799671847 -3.8041572179903214 2.600268623827613 6.1948125003726355 5.81544422549769 6.435849083944998 3.5469182010501665 -1.5244312717368405 -3.3978475420848566 -6.7202772485355045 -8.410255066772837 -6.936425735576826 -4.687799471225075 -3.885180453478711 -0.3651968268648325 4.356114334819092 7.213070593571228 6.80590528713463 5.350059159318051 4.90110679239148 5.93440853357015 4.474860820722991 3.008828548876973 0.9001958267495991 -0.6911482164258668 -0.42784470947863446 -1.2633009410735416 -1.1162375732568248 1.2412037387639328 0.35173491649956345 -2.966872115280475 -1.456126275997718 0.6721784672329008 -0.7107908350159432 -1.3883974999249462 -0.43343745023784686 -0.092573593140101 1.8151606294563107 -0.9472413224515287 -3.393943445070089 -1.5768688271890703 -2.688826988535769 -5.300560720124842 -3.4612894665335694 -0.22360267445614787 -0.20064609686708307 1.0183351246596692 3.047557747997447 6.277327434961053 9.284136994672902 7.5936080097981895 4.497471179370016 3.4091703845061203 0.7225788982668633 -3.9279494535208834 -6.113519331703098 -6.966040503573875 -5.740149865431949 -2.127231679888546 -0.6271923569244968 0.9259788731489098 5.17159808294246 7.314390610072846 5.271763572358963 4.7108179026713275 4.001414246554213 -1.4275485990124797 -5.414863425014874 -6.406579921770288 -7.285482629065813 -6.037012948563078 -4.651000747170371 -1.5457764524207902 5.638641520456537 9.998603450394729 9.757500058745105 8.80425735939815 8.42685157179266 3.9742734651681273 -0.9455422399450125 -2.6494491943319147 -6.505700839062162 -7.5732479830928305 -5.139360136834596 -2.712101774388649 -2.6863679641504423 0.2898887308128582 5.717795173657908 7.120152388702282 6.417152565157342 5.283151565861576 3.0206139112557775 -2.2817257065065433 -5.274069577698343 -4.299172014392646 -4.384480361711415 -6.252414020240074 -4.077857731960839 1.706695280316702 4.395166439646313 2.378697547848846 3.81865935937985 8.210735792872494 6.698378382705256 0.7534226565184721 1.606940730167084 3.4658354646179688 -0.9721936173693101 -4.920303062721399 -0.7903531657524164 0.2207479381905386 -3.4558574827102593 -4.094904230423715 1.7944462979602196 3.6446848629426216 -0.7190611182465138 -1.7304981763488057 3.802015101215465 2.2026728785407608 -2.2345623355909754 1.7384110231600225 4.577534396706557 -0.5380161002994739 -2.2754478349967 -1.3577706939450584 -2.1064176582146716 -3.0181768910685713 -4.688033995412949 -0.6101963124782994 4.554071539157021 1.282224942076588 1.652049404748231 8.175990721276005 6.879513869923582 2.224031281656668 4.167129594440414 3.4397984083415833 -2.5449298712347277 -5.0293209703333295 -3.8977869984738125 -5.026870992875132 -6.449710102980137 -4.293295339305086 1.1576741565021587
9.949405898270022;25;13;15;5.88540759257125 1.8654288361707 -0.024532524102021492 -7.718811648758598 -10.676022474363581 -9.35848228890314 -6.294951279764257 -3.645690894445355 4.223260557892934 7.990397882653116 7.9322219657107755 7.947504313383557 4.0641028403400945 -1.5728572109249652 -4.753071310664934 -9.351422902072873 -13.30819530208879 -10.072646716442364 -5.023513886992914 -1.3537796072463608 3.3649020302717347 7.436617379251408 9.050338648720967 7.663508744299319 5.426230458195574 3.7881026670852096 3.2227253949394563 1.131805512253861 0.004460093675561813 -1.7361274527752686 -2.7113538370862207 -2.500232309899833 -3.178621707984836 -2.258086433877998 0.6010409134056574 0.594212049237803 -1.464287126205905 -0.01622257357557896 1.0757738910203891 -0.49988051878213663 -1.0324198811618752 -0.2549123494548844 -0.10099175883335217 1.4836777398735508 -1.0251694649856973 -2.700269959518626 -1.3072042865941578 -2.6312641748857653 -4.751242439549995 -3.0633516778095053 -0.11107595095322616 0.33935315284773654 1.9426015602896227 3.758154554619342 6.352602044176628 8.335027349188813 6.093738838655907 3.229401331242962 2.2314842098170344 -0.5829393128744828 -5.3086097015994955 -8.496839030816751 -9.324016280212696 -7.222413716381791 -2.8806121008195134 0.10252408630768875 3.226896028345785 7.200819662404031 8.34886914769572 5.907145270709091 4.554915339091139 2.5249922748183593 -3.2966858468079905 -8.034760964461388 -9.267088839214114 -9.348331636664746 -6.795728620788825 -4.05593215610571 0.3134375341701168 7.338982941678526 10.995066104305348 10.660734824511994 9.342829978296521 7.093766677772706 2.0697950924618382 -1.527020258709958 -3.656102515735541 -8.797912414650082 -10.94007722422123 -7.983161467624138 -4.027076982028736 -1.5319264768835967 3.0563064744896313 7.941903569573423 8.395618099757044 7.231522149408939 5.282847797885293 2.0555235649163213 -3.756476432434739 -7.507105202937466 -7.042345070647178 -6.897521861171021 -7.094875009143742 -3.3857462331740193 2.579009388951386 5.423977077423057 4.437679690017732 5.954764119609715 8.335810952261653 5.241095533268893 -0.28080047939238223 -0.07371979700389959 0.4365796088029877 -3.7352053669614973 -6.623331769259346 -2.59274966630523 -1.4673669089757542 -3.4468568340934143 -2.894293142390515 2.626033924331402 3.741514471959785 0.028453762276437283 -0.4955379937603628 3.5330447382983117 1.2718119289514596 -2.2807173220904295 1.0016766001871193 2.696197715636736 -1.510405229079373 -2.5865974078989815 -2.07918136215563 -2.6884411022978565 -3.0536571994736366 -4.094254243505392 -0.21381146359174932 4.060613510138304 1.8168861568267416 2.902720272213125 7.751290382311581 5.863121531465915 1.760617401714877 2.7171775396481808 0.9701626734105158 -4.565788436462658 -6.857612386018988 -5.972123515773773 -6.575151314959271 -6.4869020204062044 -3.2402632939349383 2.2884840262326445
10.435665765369972;40;13;15;5.604879084329717 -0.24867753783858637 -6.492384458246193 -16.125976278621263 -18.89442644927337 -17.92631199356178 -11.78986065675937 -4.75542316375966 5.53947780424017 8.538679942112992 8.17955103505988 7.652403989207581 4.28572367441807 0.9496238001069108 -1.9406120150365513 -7.641289226110278 -12.518869003964365 -9.824277250473457 -2.5592913461134286 4.058506619993525 8.075272673387179 8.713755379990037 8.332217234439145 7.015276929839087 6.518155243291984 6.007281531591793 4.93418653347882 1.3801454887199147 -1.6642169086166252 -5.749662361349037 -8.198967563269512 -9.551491520019145 -10.69572320206252 -9.199200002122915 -5.931454794660401 -4.889096383508435 -5.284717115011347 -3.236757261713833 -2.0538158662391823 -1.8320140936186335 -1.2765432936684855 -0.461829578227263 -0.06677358375242398 1.4728903231487884 -0.9697398993547033 -1.5285432740962004 -0.9373792149947273 -2.2087966871284506 -3.2813502614486447 -1.7262499481444116 1.5018018665409492 2.4383856934566217 3.713386879599199 4.598653404212289 6.625481027572113 7.861891850129768 6.134547439181038 3.94302398703067 1.2584131689048097 -3.266120803503693 -8.778050930015237 -12.949111629671325 -14.411996962711498 -11.14866665568779 -4.3281973402913865 1.556472447179656 6.404813948388744 8.94760591975233 7.921344079714727 5.795926524093737 5.613456615123927 4.030033852567106 -1.2104671476110116 -6.359842800305976 -10.047847001430195 -11.474669195182976 -7.83628669344218 -2.2561437802564783 4.62882560210396 10.752289031136922 11.098399410051837 9.59054249817239 9.520629237156772 8.204765516885029 3.230390925887347 -2.0042178280497875 -7.148887947771939 -13.692812186533324 -15.85501106827223 -12.658621758743624 -5.694380765170408 0.6269982871315632 6.931046558683574 10.132607230942437 8.452676373240255 7.073611515964916 6.249854005023619 4.106331460465695 -1.3038918064197964 -5.679923775618752 -7.896341587557404 -9.423336229901402 -8.989848541025129 -3.4888481463612546 4.323507121694859 8.193651018948689 6.50288611805116 6.7489590563643205 7.738784049432366 5.302297299377046 1.8377755115668994 0.8400122748918434 -1.4631854018589345 -6.240873620811216 -9.681957952059534 -7.51124452005758 -7.463061978005091 -7.17030132836809 -5.323634211849109 0.6221953257127493 2.4713262510496734 0.814559615312098 0.6883053977469559 3.214818032670241 1.223707764604191 -0.37944817280367793 1.5419448220046497 1.3569110660803783 -1.7257534110285404 -2.5786420273242365 -3.6671578606868067 -4.349730418692625 -4.181578663738919 -4.717750715319564 -0.12875956186120438 3.888981471909936 2.7570142914244484 4.138029457413494 6.7424863279624745 4.708879076595901 2.6778933463442347 2.453695181910789 -0.9957489449528635 -5.947440018979335 -9.361952829333202 -10.552137333850581 -11.143262160604603 -8.924143492959299 -3.3417913897605165 4.255127314827557
10.267805227030134;55;13;15;4.222238255127392 -1.4396525176138348 -4.492298159643851 -12.42773026006989 -17.31547878401663 -14.938175987361028 -7.870161172281902 -0.7653491989623807 7.818126296268497 9.516156575567841 8.623450345226342 8.741162697767685 5.211458147954022 0.48593168366107076 -2.1037676044834352 -7.048650778855879 -12.71056225514188 -11.746961520150037 -5.94986668320224 1.438289828406989 7.15412638374042 10.086499218872305 10.799548786622282 9.518695282503646 7.609337136487634 6.023932748930892 4.587868075239942 1.014518191308199 -1.3437850145009345 -3.8862991408140477 -5.859205338693168 -6.541653327471598 -6.88567525805473 -4.471406021233808 -0.12032412871569317 -0.030005876956895546 -1.6823067613485554 0.05942612933888089 0.73197117444076 -1.016091395550155 -1.161511006299335 -0.29781961959966297 -0.27847033022379764 0.9492463518683396 -1.583738054570268 -2.3694800297580505 -0.7370141797004645 -2.340633902608205 -4.083773726385535 -2.1895975419470477 0.3594083200138499 0.28040324519263077 1.8163960569474813 3.488382494775092 5.710173137551982 6.960387831114349 4.5984411493835005 2.1263951042901073 0.5733989409556095 -2.995568968132697 -7.954905130531335 -12.512321812393076 -14.16650093998216 -10.561239934376992 -2.2664939868298095 3.2817124036947583 5.9869913617945425 8.79398005017995 9.009742303024623 6.507795815812156 5.592412418746375 3.3596200166635195 -2.3914938131526844 -6.7414769824679235 -9.990252175576504 -11.640984423929556 -8.830689431637346 -3.1314106667224744 3.7992697067906414 9.635254499794815 11.40252717566731 10.48193344449287 10.056420969839277 7.630410213440252 1.1253931546926623 -3.204097158861771 -5.970369107828278 -12.41767007710278 -16.05883276914197 -12.128371616886184 -3.266649700781986 2.508598025005588 6.690109491309628 9.949239240475737 9.32290794884166 8.110588397310252 6.385346353042734 3.36205190026746 -2.2573498052344805 -5.771180825483375 -7.146736170950253 -8.582841207854546 -9.10927702605104 -3.6740752803529015 4.463189240850768 6.582634780690611 5.286601924684966 6.965076227119427 8.828882399124986 5.201013818542679 0.13530132076916235 0.4569938693843632 -0.25404293105884834 -5.160587359507137 -9.125389603267244 -6.504857387086779 -4.315502761736148 -4.265645494288643 -2.016705545136641 3.179862098079904 3.0662692290107394 -0.42610817791318656 0.20270719113518673 4.149821431008277 1.0162899971904804 -2.014429199087567 1.4679721003987674 2.099611850504972 -2.6094842197615344 -3.131174750699657 -2.4131728602435567 -2.9343872096518475 -3.5716487550716973 -4.6035304766498975 -0.49284074812559453 2.9592541718816077 0.40054782929664984 2.343338503063179 6.9775004417370114 4.039440221069799 0.6100682243606267 2.1099469208732997 -0.3472139279492939 -5.717593092430225 -9.086813505990488 -9.657435908118469 -9.739450478044922 -7.915795960471456 -1.9237337546223947 4.788400870139663
10.503490107254136;70;13;15;3.753379516889069 -0.8004286589038975 -5.0567756104990345 -14.984199793417119 -17.703996981806046 -17.829310840887906 -9.965226983303591 -2.960194787142026 8.228456635365195 9.286684052618366 9.259988658413999 7.825034669007463 5.132907507241652 2.0400209593638303 -0.3373763733307818 -6.270790416990869 -10.933586401965126 -8.575359399119115 -2.5088253248577828 3.581781230658066 8.79561545623783 10.261622675054877 9.496636090494 7.839333685293102 7.08830024603456 6.044437957226816 5.236525791192694 1.8100734727400982 -0.16483825055460138 -4.472994104903629 -7.491149903069805 -10.024058454504026 -11.467569445139365 -8.917649191115839 -4.356493692638796 -2.745336531092751 -2.721456471019088 -0.16177986724699872 0.6364444099198124 -0.13731941200215614 -0.02850001484895313 0.7303104543848569 0.7577598751695261 2.3329548924512187 -1.0142441696119064 -0.9015304182885358 -0.06771618222006592 -1.6141153741366452 -2.811562821344688 -0.5774447834684271 1.9758206588506178 2.4272217853798113 4.113011224315294 4.901597414208844 6.691815880949594 7.111235598140746 4.873795163266156 3.0217534761152574 1.0900495940707349 -3.385866626896578 -9.394313687672547 -14.214387021191818 -15.557310100505493 -11.384227760594879 -3.3030566233002707 2.4958472511145313 7.172066440236623 9.34435890898127 8.038691771501036 6.23398708667483 6.263158555242573 4.061598581319124 -1.0563102060182423 -5.492954760196095 -8.879221324260499 -10.918089711711144 -7.599099925321814 -2.216383579402069 4.9707079344211555 11.138139081340839 11.078162825899888 9.469654674208872 9.556512133819066 7.593490399745517 2.2355354933770113 -1.7159046129933804 -5.866208356208249 -12.737065576124131 -15.714950717970595 -12.753053584112948 -4.566078982006984 1.550295831661907 7.799406116286812 10.279573170313153 8.457723166743126 7.65592602753053 6.426896105674947 4.229864814696882 -0.8996443949512545 -4.273903946922199 -6.148965888110799 -8.357949213702078 -8.674817836384637 -2.8302440299479725 5.024025303536652 7.946765944946361 6.1936050835596905 7.640759202158008 8.389562921838063 5.258215451025006 1.5994919775115461 2.0643377076508207 -0.12741772423916678 -5.531862462147993 -9.784116549114234 -7.751268543709 -7.322373214226747 -6.280227753821041 -3.9631642694105946 3.3777942493888613 3.7653298117086043 1.2325537455630087 2.038855819537275 5.3041891510231505 1.2725699570572235 -0.20130415207859073 2.4383388930066676 1.838350687357043 -2.049432978004065 -2.379608064678625 -3.224669523193689 -3.354926832033911 -3.4625379424773293 -3.8983538232542987 1.6280146770165407 4.631583523043269 2.0400945526364347 4.657971669683996 7.325775123988103 3.968171312819822 1.995254154240527 2.7099634851598853 -1.0014285014166378 -6.438912247493303 -9.858872003896117 -11.053538912847028 -11.569700205495206 -8.479530171467143 -2.1909425764399697 5.603579806410542
10.14812022462343;85;13;15;5.106448724977574 -0.8866293464004189 -4.714127421004521 -12.606468311599112 -15.60742311762375 -13.884331458342977 -8.094911895187671 -2.748051479128199 5.3698155604147075 8.537455823280734 7.3514990174023405 7.630145068883634 5.0200199505297896 0.6406229593873787 -2.625118701674863 -8.276184478147869 -13.67797522604226 -11.76948280136072 -4.72596532515242 1.4556992478312205 5.8817053116231985 8.41315800370717 8.911707712905667 8.002408722292667 6.752474135512554 5.535013145702159 4.601527543369329 1.6846336525959065 -0.8184501377442589 -4.028157741861879 -6.02636332349766 -6.294764077964441 -6.747405503407105 -5.372930221855899 -2.0616565944105076 -1.0533254159832441 -2.2976326401099403 -0.6764702730770297 0.679476814724924 -0.4928073875818075 -1.011179436057377 -0.47465264054566564 -0.2678327749770254 1.138650817471978 -1.176429041175818 -2.734396534462376 -1.6748952402777395 -2.60395828707958 -4.425697465792281 -2.9059715074580863 0.6019904058057507 1.8412531851510436 2.8801944675388804 4.118710440447637 6.151317658407753 7.598131473362537 5.705937087903338 3.105050621941571 1.411802339547215 -2.2636859598325567 -7.731416106001285 -11.645940748161138 -12.870520277786873 -9.765247442793662 -3.2471720146326404 1.6482317754792895 4.8161470997259 7.519213736183984 8.001035677121518 6.199025584744722 5.402608583503815 3.663368855215792 -1.8855198823895207 -7.469266082262961 -10.488298736443149 -11.665398600662549 -8.379695938767046 -3.476749621120303 2.420777067656191 8.730229138373918 10.809643069545494 9.91188726203124 9.794967559489862 8.057960334450215 2.349710671390402 -2.844491722320093 -6.500299823566331 -12.098494488002402 -14.583213538209417 -11.150977797610437 -4.353463320009419 0.5802372435041703 4.939564583698093 8.517925595362293 8.082973000208643 7.3660123762691825 6.204885209854231 3.575064931141217 -2.0130768574611952 -6.665793869696614 -8.12234078640693 -9.174014052914096 -9.027453833429231 -4.20544584933936 3.4563657676253747 6.827841997669302 4.905221056482622 6.194615555728219 8.45505849874499 5.937402370532277 0.780352226951977 0.30518688886069345 -0.2452888764485234 -5.1190727507072324 -8.99639225300906 -6.025810069107867 -3.8587286303893484 -4.664819580400717 -3.8490811264828015 1.9734341838616882 4.045603614155591 0.5703591299455258 0.16520195861502554 3.770896455562638 1.7028390276280954 -1.800693283940354 0.6480111672229014 2.0399003916619036 -2.094725374797672 -3.49874687647499 -3.2593272571475143 -3.6041745458517718 -3.9389720903509917 -4.683003903929395 -0.5004026308650831 4.302754862696575 2.483891562934592 3.049929434740108 7.0949998435320945 5.291397839939382 1.6570963722304681 2.423270539956354 0.47784333935443923 -5.459217029139511 -8.911827145549786 -9.004908195107049 -9.024958273376651 -7.890253005599792 -3.458257006151778 3.4650977920982444
10.431455912061354;100;13;15;4.620639176928698 -1.7603546016878115 -6.959239998042982 -15.410765191204995 -17.6685733906749 -16.383343261578393 -9.150348683380372 -2.1724562247286876 6.849414743366412 7.878035047714718 7.6496850396466725 7.490876672664495 4.848425491844879 1.5252288843407062 -1.6211091707452305 -7.361631310625514 -12.404734363143685 -10.869071372775455 -3.9392048747451875 3.8150263222202074 8.721847508347917 9.515506588649515 9.386138314379057 8.534020774641714 7.713602275728378 6.293504036584632 4.797755044831998 1.0713669066428233 -1.656774593197698 -5.707130321205889 -7.777264540854571 -9.07549719198743 -10.332017245799761 -8.993914786810741 -5.5935040480980955 -4.381287144393721 -4.820802522448856 -2.848622514451182 -1.3831854260226106 -1.6677813979053313 -1.6349045167609162 -0.9046646566005251 -0.544306585313487 1.0265875750050342 -1.6471046459526977 -1.9192278629742008 -1.4345784963398958 -2.631277049358987 -3.9494578268518854 -2.2662972161647605 0.942541621979453 2.175527225732374 3.6816815755179504 4.207242625452843 6.459251396674519 7.589703912783421 5.715701505945087 3.3919766994980343 0.9595771597421545 -3.3937061372123285 -8.550303586477458 -12.4089126516422 -14.458339498969508 -11.366531971131149 -3.7992165519018464 2.1999459259289305 6.019597183083833 7.814597994688306 7.792605610755919 6.504646789253899 6.329952714151203 3.9016844014748315 -1.5447400573264511 -6.364909775415517 -9.84062991921731 -11.700898046798077 -8.62163860688722 -3.184092315227811 4.208586442090191 10.213593930763576 10.917758024238232 10.295327350031567 10.182199005874587 8.137860011180969 2.3965826268648054 -2.701219712887771 -7.301025945790383 -13.36844644493096 -16.079710293285114 -12.971638478221777 -4.838096419572829 1.742263622281904 6.683846234066685 8.759513345572035 7.942897339722636 7.847851715143505 6.721992950263565 4.106400008336632 -1.4684153086464757 -5.512665230739636 -7.7630239816365325 -9.69459581334085 -9.907799177643046 -4.724558180025172 3.6556671365593862 7.406486936408023 5.811408600080821 6.94894416421402 8.189300142917258 5.934675069961711 1.7220663574670914 0.8867869758996134 -1.4791930695163218 -6.269530110450095 -9.606894205837804 -7.690288775274236 -7.063548980084426 -6.9318278088430345 -5.812093465670486 0.6680858635730571 2.7050316920191713 0.7314093080722577 0.5735825326835433 3.4838614669218946 1.0605020690993636 -0.5298586426889602 1.4046294311794185 1.2479820619254238 -2.2313496325840814 -2.9742815485988765 -3.953991381219569 -4.336482585747593 -4.663118410141786 -5.33618473548776 -0.45398067302564826 3.598938379998901 1.7731091203271911 3.6248195507616847 6.362072089127958 4.487781920415183 2.347172834351435 2.4965699614086194 -0.9240646609621216 -5.974804189873753 -9.155025944705908 -10.39491913829064 -10.953057476898493 -9.16573054725157 -3.97595175294827 4.207019235944512
10.31020038210709;10;52;15;8.934335469489476 3.412099501143403 -1.2621954761701621 -9.108450972012442 -11.121208535934727 -8.019014439835157 -3.2713600181874147 -0.7140640828428524 5.666127476908457 6.998988981420078 4.44883072362132 4.11845086323079 1.6707448796596802 -2.285060195070939 -3.9891738369468586 -8.980480100024629 -13.433375545016137 -10.900814256400164 -5.400579370954871 -0.8412944986410543 3.703391068998198 6.063870756699254 5.8754622359869275 3.9192312645996723 3.1158877967655414 4.689389211890806 7.865201633623928 6.901702502582915 3.340730380777539 -2.2862634363790555 -5.275773879585895 -3.2923596758467957 -0.5552327505841171 2.4615388677313677 4.535013839201688 0.5360618812419056 -6.0346878882910024 -5.735404752152949 -1.0663632558312695 2.3734927810799604 3.6253648021005564 1.6241580763691985 -2.961502068112123 -3.1890691690248008 -4.074229566223496 -2.2703029171303584 1.4195708662808786 -0.803831521359862 -6.403217248548299 -7.542474512505837 -4.543087608544347 -1.404502596028335 4.140006210991114 6.463074071345129 6.97440221715417 7.605005050227931 5.433551857953839 3.6957422400696216 4.725677132521474 1.269616657287808 -4.533796066424442 -9.007194284000722 -10.920365361842745 -8.602457033621974 -1.8501222141841889 3.124505342814359 4.204658335922658 5.769203989107985 5.056002711349232 2.9015542624897304 3.7587297304094855 4.139502366741793 -3.146706932744684 -8.26809374162493 -10.186645653356113 -11.569675152466235 -8.314061178365833 -3.064590410908665 0.6165969306240814 6.899543766586514 10.552656753445241 7.84215841430967 7.104648739273584 8.587746299354208 4.295096290923398 -1.8959290679685563 -5.454879375540037 -10.679911261193975 -12.084368755167151 -6.937101471441593 -0.6839802664700542 0.9983723840327312 2.2582578947369374 4.435196308520905 4.2639644228386135 4.889677739758052 6.472692346717875 4.683872674094715 -2.8405465661745106 -8.022355539615532 -8.089194237242335 -7.42052611031585 -6.2977746169458815 -2.1111958275735656 3.5724681150965454 5.387947690133028 1.9855048724037827 1.7793511520872554 6.339635709848793 7.561590934689736 3.0300776929498645 1.5739928654405821 0.9464482416950548 -4.458037446607481 -7.7231938410762435 -1.628487983694889 1.5828101398037029 -1.1113205683623788 -4.290172757610743 -1.1705149605241691 0.8486060727569488 -1.0093780536825594 -0.40647517168318426 4.001613974868516 2.1705688137483774 -3.164275369311139 -0.5718314261541233 3.3079415331932607 0.28207531740228675 -2.4235098443849306 -3.449962017850971 -5.0324745203551515 -5.244002463344859 -5.49737035655237 -0.7028702503147704 4.005378192471525 0.9329283050186908 0.9009606400507095 5.93791178212137 6.934275615751048 3.9864513250008224 4.773229869262312 1.2619445151239386 -5.263283552808524 -8.289433354969109 -7.399360476339531 -7.08099563109338 -6.7298816055588215 -4.6085069824881515 -0.08625013903587858
9.984168767415431;25;52;15;4.953216396735295 -0.41377308422678793 -2.950949523533971 -10.609158723707807 -13.080454917725724 -11.118550131193835 -7.2995707823576055 -3.760838095186977 4.919831843795465 9.320044248446692 9.422221635273122 9.375684938040585 5.202488467664656 -1.3019175755430104 -5.522926185897256 -11.058308035278795 -15.746974056336292 -12.66334564653975 -6.877028483472111 -1.8981079855716292 4.154088796943136 9.074861388579503 10.868539956988243 9.261795956087322 6.583073904615088 4.196646238073991 2.8731836209522448 0.16350368076308572 -1.3581943337057965 -3.017596147938656 -3.7240644241612446 -3.072488726250752 -3.3957750998549137 -2.403734479537177 0.4020645379308072 0.29852280490162303 -1.853313865687572 -0.48031253734087187 0.5065763799151761 -1.15854952949963 -1.687292314113938 -0.8884075895193111 -0.7118630698600615 0.9580343976976601 -1.4211358934925453 -3.056003833187326 -1.7777880302648077 -3.3523324517003896 -5.666777894583286 -4.0890105053581065 -1.1594194263389277 -0.4696183735572823 1.5849791405828078 3.8362180531017054 6.720476546093302 8.939461597584089 7.142006285057853 4.082362670914423 1.9400950395368706 -1.9650281055425898 -7.2040317522912245 -10.38584019895826 -11.047367516710317 -8.591192913429275 -3.551273683342932 0.1952677898706713 3.986620432946382 8.371472547168029 9.499217944313035 6.900841652670747 5.2635594012881795 2.7058948036631225 -3.785248792332612 -9.203342102912913 -11.108489948226726 -11.556089451588822 -8.652401638712142 -5.037309406987968 0.38666527612282464 8.291689784572476 12.496140604508163 12.413838620666006 11.423005243181848 8.243421644670999 1.6021042777199568 -3.5086278606932044 -6.24001903415629 -11.305913383864063 -13.019982473127637 -9.400583208172733 -4.563530880185313 -1.2166513312312626 3.9749227561689784 9.260107660301614 9.650631492243711 8.330219951296119 6.198697807615675 2.3553061958195003 -4.378529571413148 -8.871051253145815 -9.022441835799931 -9.102798034391949 -8.875585155472233 -4.289221786386023 2.691488268128146 6.3203407020357 5.62316292405681 7.074191911136095 9.189002988574895 5.835717693275625 -0.31269385517028747 -0.8703478352180206 -0.7840770340362518 -5.061441737145027 -7.790694356218384 -3.4499167832153277 -2.063613166381456 -3.8762768853491316 -3.2002222903808035 2.3825711984742384 3.5344362252824526 -0.16504313300767695 -0.6153247023046947 3.318651007161222 0.8344906047044016 -2.8286721263593617 0.5542578613882301 2.2628535597389465 -2.0209777824938 -2.9877579904332756 -2.4591761367342375 -3.3650141557824065 -4.049774678318426 -5.20992547252095 -1.1696104417906674 3.3653526368344906 1.4612763304473255 3.0490671929929962 8.267970829393452 6.381035840224646 2.2189919692666167 3.021584020210962 0.8107925270495194 -5.261209718743638 -7.9710650301356 -7.302660655930791 -7.930100544096867 -7.684578076503614 -3.9983129731405196 2.206880917511179
10.199881801428187;40;52;15;7.367017281097939 1.0100164751648337 -3.162804547735255 -11.471179169063713 -14.884396877003233 -12.912147277258416 -7.567260309168577 -2.1816197180338492 6.538421751895204 8.90323143810355 7.188753845284237 6.828506598854526 3.6875084925063017 -1.214787838222119 -4.455258300185293 -10.010015535847877 -15.622797326402761 -12.48888748745987 -4.389609273475914 1.5580819303117246 5.747553300654073 7.4153598841688595 7.761253136832688 6.603426011067296 5.545122390851005 4.771728079358948 4.546045522958925 2.2331227475035353 0.1921653897830002 -2.352284778935654 -4.029973738503597 -4.2796932843670925 -5.198085480620637 -4.613383624169255 -1.9812410688540514 -1.7571048410755634 -3.6030562064751708 -2.056146841809764 -0.5865076297092817 -1.8705587006298086 -2.454651455314315 -1.6943390004503527 -1.3833696701731737 0.18033775041780586 -2.1155507051304574 -3.823156808836789 -2.5265780055748013 -3.8015861508920934 -6.27577527383878 -4.747304242579126 -0.7711418420152637 0.5470053574596377 1.9987107763211602 3.4843656591299514 5.893846287829908 8.126137977292064 6.767121110533912 4.209509924574789 2.5235030114294816 -0.9828990898118105 -6.224235625904074 -10.546652808258177 -12.324528482725501 -9.85060867984026 -3.310927797860972 1.8789597335472392 4.8727297136173835 7.483019764411958 7.641591519453847 5.400863918402919 4.495799933562357 3.0436059806358857 -2.369974305142139 -7.9630063058163465 -10.890459700342635 -11.843716318039021 -8.581649101225974 -3.3845614336788956 2.5782332669913646 8.87711504723542 10.259564847091834 9.416147667582411 9.717099961775709 8.817788082795321 3.2833902607183956 -2.200651321084003 -5.593487694037517 -11.3544919029578 -14.270760511883132 -10.765883513780498 -3.995497639009817 0.9427771030538509 5.173123186081117 8.320099919426468 7.535191305410732 6.393533126176732 5.261898594242592 2.752938476773603 -2.8050626042027202 -7.444532479410579 -8.473510485339204 -9.151844905943964 -9.349758267481192 -4.383425002865979 3.8624917213183796 7.051459071014097 4.868983241909897 5.314857913819033 7.673664963877488 5.528993459574219 0.4071797053252452 0.0593919913247937 0.18804521039335084 -4.166441414858933 -8.05614650835868 -4.815119312418356 -3.4297118633083294 -5.444147284254254 -5.335591117884623 0.759367618507916 2.9396432175364815 -0.5864474328480024 -1.45779317232118 2.4729338204086955 0.7298514098227595 -2.853783438419367 0.013640202010353777 1.8673419132996836 -2.144104546942299 -3.5187078773082496 -3.2139395196603204 -4.029241285364908 -4.931341009735879 -6.297171952415616 -1.871091947392298 3.538817025765155 1.7672006070153137 2.4378012967599814 7.1367702020027535 5.896357853984329 2.119281261917699 2.9252586034018555 1.2071890325537162 -4.444285421454393 -7.991328755068935 -8.150643749970321 -8.9440620428268 -8.69921879068567 -4.23200275596691 3.4138344233996984
