rmse;hl;T;RS;preds
10.119778352757349;10;13;15;3.678023485329336 -2.5378172467178945 -10.537808393113671 -18.56828055077907 -21.854146753280357 -19.31077299491065 -10.160122846684661 -0.7853251620212761 4.625049553903937 6.640960319889311 6.740917729981853 5.083477881080345 4.858065688617976 3.5124347944229366 0.2838274636160001 -7.27590958832871 -11.027216530407355 -11.847168068697354 -8.251189210326228 -1.2863735629009687 3.8966522222388624 8.367969994534281 9.057137066499447 8.448031124118408 6.1892103647275585 5.446857800007735 4.012911499099842 -0.9458691471772206 -3.8904116651115115 -7.756860936509477 -9.326391446542715 -8.573247985510772 -6.375474498549419 -2.3308169427973633 -0.7197579056147912 2.1395529899019556 3.635056844725275 2.578026753481715 3.9645939490578943 4.270796940573193 2.400395732670183 2.3990548736820894 3.605973757676405 3.4732922203244283 0.7888916562646263 0.6306668160822493 -0.08120647716163083 -0.47451763255620666 -0.532319841816385 1.841323124856923 3.3547945249165676 3.896389165434659 3.739021347618358 5.4109957808695865 7.686643824719808 6.230553429870755 3.073181081337063 1.817441846927685 1.540409976021393 -1.5894644114839964 -5.566374401391552 -8.003958265340593 -9.289397865596008 -7.418414000790036 -0.6083063746052414 3.5961975090376423 4.254610248146278 6.641377870372174 7.441456093430317 5.636695039288925 4.46702548591207 3.8554462528375404 -1.703406979082559 -6.630158023736683 -8.624874623129408 -9.031957811304377 -6.847834049627811 -4.975404764233662 1.0614777453943198 9.671209075956668 9.564651584565006 5.74656440192716 6.582135111946118 5.6871267866091015 2.134394153686185 -2.2801774641119614 -5.957198869681312 -10.24489812122031 -13.292816917804952 -11.820110797407843 -4.387032291079179 0.9809699237832139 4.602178922122595 6.06529112425846 7.5333380771842915 6.309044569639316 5.1444726117407455 3.6842679528005498 0.4763415494510759 -3.8949741000542595 -7.8100039782983774 -9.555223029500997 -7.986591644840856 -5.320698831954583 1.5315525124242966 5.0335531096381105 6.124251340191111 5.926731172025245 7.354301477059822 6.356482479997367 2.827187825574382 2.3474983497487 0.3609385990387004 -3.925849174592083 -7.330399926342314 -7.90877624093706 -5.995381077669235 -3.701291916743375 -0.5350318322025793 3.981517270128326 3.834961226148288 3.8853369521120147 4.080303451116438 5.848956827252264 3.8629468513447005 1.750955631500166 1.31659439221787 1.1291260560094565 -0.8884625669995547 -1.6465473900374437 0.20345317116972642 -0.4441808501825406 -0.00412544016957021 1.579706521860457 3.5318912550894033 5.062316422608855 4.912936693488456 4.768311124574187 6.758113154783618 5.630211872125007 2.483626592357342 2.383347146454892 -0.312961957376159 -2.819857287707391 -6.317889415540329 -6.891349769116836 -6.288539792099898 -5.249226715802945 -1.1026844065211996 2.3244438217755308
10.155631112860338;25;13;15;6.284574719508609 0.2117269339876542 -9.024309678293271 -18.80230506990922 -23.366975299575763 -18.29432567897274 -8.37620382489537 1.689563531963574 10.719308110330527 10.853056489166217 10.599568550194885 8.381734546201855 6.396978613577822 4.431714285452564 0.4148018284208551 -7.538511262505997 -12.215547806698293 -12.843053807024155 -8.448680845875764 -2.282263650711965 6.199379110820212 7.990388139808517 8.979895098592113 9.271930602223875 6.596366624237028 5.0568847867442805 2.4534380404050924 -1.26681523731462 -5.018279891690228 -8.934899593397848 -11.910662186956426 -9.936500901917569 -5.252108162093435 -3.474310778341648 0.08467041056762785 2.8100818261676976 1.9141538458921754 3.066066369067815 2.8645443274824443 1.2362240143073733 0.661192279080359 0.5164350077846203 -0.7079889407914075 -0.40834366659915367 -0.756179877348396 -2.2625989367421706 -2.126067757917566 -2.7250268756063014 -2.8039808004933695 -0.209241634525867 0.634236611741675 0.6923432848956076 1.4029947210390104 2.0653300859650914 2.3102822491905006 3.19955273497551 3.253558018511522 0.8050013628212632 -0.9332224999378275 -2.837350391207563 -7.383469200879242 -10.705331038673197 -10.556417226299924 -6.7635556601667695 -1.2558465340885483 4.341230747857445 5.767767267488201 6.545737932272433 6.60169039289353 5.477486171801934 3.635101731402183 1.9325323303953845 0.3243211614853054 -7.76645346293578 -11.826756809260075 -10.711601255090855 -8.363602151322567 -5.10651178830651 2.2480073783413896 7.763750088720208 9.079474625497667 7.887231597099773 6.29692447095675 5.7021151091502 3.3591019061060337 -2.1541675135792944 -8.649375093628858 -10.42593270040528 -15.168943612724853 -12.599919728192877 -4.045822910956864 1.5059408357023274 6.613292033059874 7.277636424736313 7.627536770200683 6.47647883367997 6.607815162559657 3.1659037333965343 2.1210570693254414 -4.041771627396887 -10.573848567124507 -11.516251655936344 -8.214613179862383 -4.885904210066949 0.7103322295941793 5.584594133913503 6.376728806993916 5.6848285191596775 5.841853597621295 4.1866379009585035 3.711494679994359 0.6742936213976529 -2.758093742220419 -4.261352727366077 -8.932159766312793 -10.265511196724308 -6.826637795282749 -4.828956587461696 -0.2510159945219863 2.7032734565275827 3.3005133101031303 3.656856459518074 3.1749774533478803 2.611616602075619 2.6754461525559226 -0.008535121227337825 -1.1420630706218933 -1.245567920025091 -2.8749024459250996 -2.9478711325990643 -3.7403600276724394 -1.6221774040638879 -1.3618444208434892 -2.4763338080131763 1.0036306494572336 3.3116017111342892 0.7392298546369113 2.537848306226971 3.6014189778258423 3.3918291649940895 1.8992441620253495 0.37432726828201435 -1.345436426660657 -4.449438342371656 -6.7135233694751975 -10.169280424691316 -7.102482778941503 -5.853461583842653 -3.777885637526061 3.0551811759383156
10.139786189795394;40;13;15;3.359249092651243 -6.672701546518109 -13.103248998585208 -16.193356400040845 -16.141563438146534 -11.535143727533477 -6.076095673759042 0.8803839262345953 8.898261195522537 10.795030194480233 12.438429560436742 11.567263367671195 8.212936979834655 3.5098289314511364 -2.281771985018394 -6.887502041417255 -9.570511640431018 -8.108326400367112 -6.450783207721095 -1.5274345035848316 4.774006165201701 5.988289247878774 8.58231327165469 10.607678076489552 7.669996086968066 5.714831609105789 2.124805280826607 -4.017730810387322 -5.542070527577783 -6.473859831073982 -8.867288427377748 -6.9593374264889825 -3.752489173282134 -1.0977529613392212 2.4082670812102513 4.303900690813298 2.808239036703329 4.0283187639587466 4.2849783468061595 3.7751488592718605 3.2904134598401487 2.3471987572772464 0.3919873049856476 -0.8940568735730778 -0.6999219959470228 -0.39146127417501053 0.720499844820942 -2.2106262541608612 -2.463278048290262 0.9545520266705838 1.9588390546919525 0.5932154954187036 1.4524293056123008 3.5906075519483154 5.168921932306046 5.544390981588523 5.415120831681536 3.214784280672876 -2.9246654165552246 -5.821736794072204 -5.405869735572743 -4.8827896314235275 -6.2627031600552865 -5.930096363756154 -1.5006575130569393 4.473224022830169 6.121398078558214 6.285892787199513 7.432823237197128 7.722045146491865 6.9334307719407215 4.1221893318873555 -2.572915670410508 -7.7621492133749355 -9.350193911818312 -9.23318374000565 -7.054490222358717 -2.5221885061237055 3.3856354994982905 5.176450367512063 7.590811813397951 9.5444261350926 11.868631820512416 5.02835773775509 -1.847366380997294 -2.8669881244811695 -6.405058646177725 -12.16172554945727 -11.312917793214087 -5.135928915741671 -0.41166393235022686 -0.15407008029740862 3.9040164209216206 8.462126932502386 10.20372025367881 7.274315506562611 7.239285804720302 5.354285118163359 -2.156544767661727 -7.298734985474408 -6.920005562838243 -6.157776899216676 -6.308853623091177 -4.411461777996543 1.3328000483958815 5.453661089208515 5.601683779259608 5.365943823562362 9.172790895160276 6.9903199374783735 3.0408404046043906 1.7592831539427622 -2.3736981595318047 -8.010743460687117 -7.420580391878622 -3.030084386963613 -4.353711414587986 -5.086805493267796 -1.5304587869363337 4.1816276431228845 6.017972911705496 3.3062476700677803 3.5948867484801883 6.206805246157929 1.5752319464984776 -0.7527349988750934 2.3109597248489457 -0.8997781850851385 -5.617173245177913 -2.5730106631453595 0.7549965608698133 -1.0169411107827808 -2.758342880675194 -0.820384614335489 3.2408331675462763 4.315613677775072 0.7298261828144199 3.8595062353659104 7.270213768985955 1.6368570044086335 1.2244919766048177 5.019666424454298 -2.8775479761927714 -7.090029335790118 -4.219583064812889 -4.153928818722475 -5.396077480832138 -5.8917638375944 -1.4280193871819076 4.829487489694634
10.217826919740832;55;13;15;2.386125422980241 -1.2046789410320091 -7.826080367806069 -17.63912633878847 -21.40006199500193 -18.32688765746133 -11.850533525589231 0.7997484037674806 11.32246465424824 12.555449475094004 11.724284618586722 8.268309741202042 4.747759985725149 2.3035979618773377 -0.1654577258412862 -7.7214241229463765 -12.487359252692592 -11.465320935789148 -10.88245804125604 -4.4476108630916595 4.423260975927006 7.939005769222355 8.64795499123062 7.256218868635334 4.651770349096011 3.097147435177184 0.808288789966653 -3.3690845770728477 -4.888420647643669 -7.748222512936516 -9.835241430235964 -8.193921465684113 -5.865672499755242 -4.009688092169911 0.8722102015531867 3.322486208346317 3.8649006396457626 4.086625513385718 2.4692247542652983 1.900490898175431 2.8394881668820506 1.4154887883727905 0.03836536686339463 1.08059538124188 -0.5371804773956446 -2.5504918176458293 -1.523505179561724 -2.8252567373889113 -3.4755923103653013 -1.7518623207838522 0.3719928131240752 2.051419565607883 2.1538744495260485 2.5043073458354366 3.439040554215187 3.1255046803033446 2.369853306683707 1.44873676750885 -0.3488525091306369 -2.621553342489318 -6.2159806528578745 -9.24817519417537 -10.585650631522626 -9.135030147999075 -3.1623132300004193 3.7181104194365857 6.773718408163146 6.633380386790407 6.030118063417034 5.086554880180309 3.2204942835260257 1.651596188494957 -1.8174267935204513 -7.014871640709744 -9.42974702164829 -10.581565595965284 -11.055439463461525 -7.183534199087486 0.1379859528997608 7.6206151750297595 10.435741922326166 9.285127285234758 5.321097161909211 2.336662740739041 0.8489122764443815 -1.8570784312493165 -4.4870805184017435 -11.5369169252507 -14.668417497907473 -13.11332031623186 -5.585218106724417 2.0632329386649126 6.803015141875748 8.296143656389681 6.487043556813871 6.143091913895355 5.247996598874408 2.670585690956031 -1.2870240717573955 -5.212920353359284 -9.358812153784601 -9.368418598560336 -9.818102374749387 -6.844465113148579 -1.6361446416950187 5.993586571671361 6.827575461277742 6.2637166810546665 5.456264168510429 3.0620989435631465 2.3485027326393535 0.8178121595942318 -0.811953922127752 -5.724055034111264 -7.267537005229838 -8.304726837321432 -6.775613822194377 -5.534910928631628 -1.2163915800350482 1.8229742168462502 4.359561562013861 6.296621050939203 4.2398331365577615 2.594156380675972 1.4113285937285336 -0.07110975852727094 -0.8840647165388016 -1.5649091374836706 -2.4610257113939524 -3.8225885922213596 -3.2887224631823244 -1.7606674165912228 -1.5132882411841733 -3.7059061975377454 0.7777767233798685 2.8169743667841884 2.5607307686053282 1.9465693337530272 3.1714630701171176 1.1020562582054565 1.5210251948544842 1.8457987440951096 -2.730414668670175 -2.9547273115276727 -5.582188082053776 -8.676769884892021 -6.8455911076173654 -8.086015286232804 -6.437470306492483 2.5122067050537304
9.861024048904907;70;13;15;4.1447509763113795 -3.530547869208562 -9.306905061424978 -14.26642216236619 -16.14986990908562 -11.589831010191496 -4.842552031183711 1.8423179388823439 9.550708878024743 10.904761765459124 10.72609539342946 8.817706660451162 6.326605351113586 2.303604747072684 -1.3744608826625588 -6.312013088411506 -10.568169880557573 -10.473957965109225 -6.373410407329134 -2.744297700287262 4.471989465235838 6.0284805696067405 8.277305866355324 9.027172947931735 6.998700175669431 4.398790081920091 1.5039301561479748 -1.4531658430742203 -5.00345093425009 -7.245075572921701 -7.562434121504153 -6.175527666160648 -3.2967356049071985 -1.096895069076306 1.466941098664832 2.2661744779126494 1.6570440044407424 2.3618481680097543 2.1690059570868954 2.0925963064754045 1.6546072494145019 0.6562229933858712 -0.9606465197347893 0.011340977674406179 -0.11205954330942001 -2.754748292955848 -3.2549582872618257 -2.179304052647639 -2.755874287424635 -0.8644786412432794 -0.2715834874316041 1.0160419026119127 1.5669554000106642 2.3854609957743853 1.9543286395801942 3.159442487632967 3.67479790784922 0.5451723108398697 -2.2381677100311284 -1.4655855342282404 -5.766795849495844 -8.726171674354468 -9.250285911866243 -5.380652122118977 -0.8437416924293665 3.8620846095975883 5.625608378051444 5.592529332881576 5.815666223171079 5.823287911318269 4.634658086432083 1.4437325989511065 -0.13584417569981225 -6.120362984117221 -10.436314397244193 -7.929895248442793 -4.801978650763926 -4.827593981052621 0.5122685498831203 4.608590409786954 8.262527362931863 9.397977958320634 8.22626310349522 3.0154348934333353 3.3600991558426045 -3.854380538027803 -9.2950118318381 -7.10428659702747 -9.018759736458552 -10.57778398042549 -4.056486106412975 1.8990771418322043 4.1627717592342695 8.673728990702802 6.9865863402441075 5.24999596976985 6.269038361958754 2.0209950976328157 -1.830341455976032 -2.3466353209025193 -8.474587069667521 -9.223930125387938 -6.498104203943943 -4.233441217380372 -0.5170852079852395 4.568794369182766 4.932853851521015 5.558268619845206 6.87837534894031 4.3831382020699765 3.069497242202005 0.14351780088022237 -4.089066178755822 -2.3339816274987277 -5.977441021173032 -8.769521069567823 -4.702055340627485 -1.8910178043932497 -2.1221793190459053 3.0322322534414368 3.541914554430526 3.491020021991843 3.772218002840899 1.9796158447811054 0.7457887898155316 0.6519691978417057 -1.86790394945564 -2.974154891619075 -0.6305024013877083 -2.776368361041016 -4.317379303197881 -1.5959802867690716 -1.390575199672444 -2.2773783100624696 0.4341178877374593 2.1182071133005342 1.9412885380003868 3.3372633199348343 3.1339266735426885 1.87078444305152 2.58582607456349 -0.036439933007379424 -2.3206132268517696 -1.0546720162904768 -6.554239690860028 -8.419669438326451 -4.439150246432651 -4.6764316593291335 -3.49414477423637 2.7061818696200906
10.322079697696362;85;13;15;4.119566418937505 -1.7896297619587986 -9.52584208977435 -16.25824652874762 -19.650018843887302 -15.613324497781544 -7.3424260761662365 1.5885455436445601 7.206274959462635 10.998396765323651 10.42021113211608 7.216999743614967 4.843452813552718 2.6258646424064747 -1.2691683952546042 -6.829557864992903 -10.503430765942099 -10.7763849084245 -5.292432752017181 0.26629199613975424 6.451158572399165 8.12651794823147 8.1017766902869 7.441232703921986 4.475917919362106 3.2623832959255643 1.8265026924058092 -1.6941041283037421 -4.656385756564358 -7.148155842591986 -8.845583457361066 -9.711760617773873 -7.075425507651989 -4.839547059542042 -2.6278990659526262 0.1551718088362929 0.7315200459399003 0.2720050436318415 1.9445200307790098 1.5854391420314284 -0.2850732821824864 -0.2631262198754265 -0.22336701940238216 -1.47357997317107 -2.193876564499553 -2.248727735722098 -2.6387350229210216 -2.727824289862115 -2.737880645283131 -0.8113668287509099 0.472360640545398 0.7567515777430962 0.8627525091369749 2.118009820697382 2.6711633024573245 2.9566458731986573 0.47570078343924915 0.038882085585937434 -1.2962932575285315 -3.751693043694809 -6.551651573783749 -8.921155223336942 -10.545425209838562 -7.155641826832246 -0.8461175546768562 2.939056559108059 5.409404913529879 5.9048334328689736 5.38573258482144 3.6872680530199196 3.079140570603723 2.1409020259203384 -1.3519467346059608 -7.8583695466458545 -10.143214139881131 -8.78001620095458 -7.716449704860537 -2.8173836490551643 1.179296138360373 6.644599968264933 8.752103216336163 5.798131886560724 5.421080320948197 4.8084203280405236 -1.0520698938750859 -4.158489513871545 -5.098359463087348 -11.205587833429128 -14.633739930305712 -9.455177933807054 -4.821454597119594 0.5497760658824846 4.699649123172217 5.96269757878411 8.17591556218909 5.938518622156463 3.1256821392585614 2.1463580188964135 0.04467751230870619 -6.13898364790049 -8.045213644882388 -7.714627792920312 -9.109885257921075 -3.9483628007105773 1.4632222896768345 4.54410739280097 6.591273204263572 4.194852162832623 4.549424898200229 4.656578790864913 0.9535252004414768 -0.6998172603675713 -1.3801750610205372 -4.580957349587595 -9.97571306776322 -7.722265487169345 -6.0022358647629 -7.049371749356289 -3.442580421231427 0.24111874742479117 3.62446637264493 2.8465011012211003 1.5893075732757849 2.4653192654155873 1.1151755203976401 -2.8553803950369496 -0.8614618390045952 -1.329854312537054 -5.114309195615238 -4.694441307572481 -1.713856701854306 -4.165833530947631 -4.352130638051615 -0.8954113029518643 -0.3355493507466259 2.6615624250213643 1.7310612647647967 1.7032473572044617 4.0076949017339425 2.6068869729603574 -1.5253771975598927 -0.17651020013298244 -0.9172666781320622 -7.283900808653234 -8.357101586221866 -5.974578016695536 -9.059133388564035 -7.619917600562413 -2.1766192030428306 1.051438005002934
10.18332125155731;100;13;15;1.5410905833084594 -2.192536575408299 -6.839134385317363 -10.978972747617377 -14.863913242148925 -15.989220144474015 -10.118851461041025 -0.7532141380541786 7.98924753107283 14.29525150469895 14.938961247429777 11.302144559999718 5.239769462527067 0.6597860908396344 -2.4373681709317814 -4.263376107414283 -7.580121559958225 -9.590927075373127 -7.0866332585295 -1.693372371082525 5.163276301819004 9.740862063837966 12.47047238449164 10.19611735530335 5.588549380862421 1.276948669787512 -0.8228598188020265 -3.3388271292909257 -4.889726188820087 -5.1833539516265 -7.58384054292559 -8.843417762189947 -7.45678062690789 -5.854482146814517 -2.724281547994391 0.42887406260048916 2.5921568358011626 2.237594191236893 3.1454963015053474 1.618955745311463 0.16669933379192955 -0.3399357185691004 -1.2014516237582147 -0.9855746315204382 -1.3090999657863553 -2.3020402334152936 -3.3937395412509574 -2.891810282831792 -1.9385218269110869 -1.2730653591152896 -0.6032083876733795 1.1804854613190607 1.1143052755996068 2.6427079329676917 3.4474068740568162 3.2955054879786614 0.6840551687798314 0.04642652689379803 -1.5585320977341472 -2.9158025595977244 -5.356841305833721 -7.773454392698447 -9.38456457981517 -7.964376567317609 -2.661061447239699 1.9073408138467962 6.211406652479077 8.89730778858667 8.57231084983771 5.668032898945254 1.76677174787354 0.3021911598729412 -1.1646004449241005 -3.339917979927405 -7.536540424226884 -10.620867535164752 -8.111433671877084 -4.119168784900348 1.7499359384251414 8.246285345065967 11.646964707922589 10.040995263167382 7.247890824254634 5.130601584700042 1.3094681973103437 -2.586409510181693 -5.624742391556009 -8.551492909436146 -9.269188422225444 -8.398572004262334 -7.022326308663789 -0.002660881850928696 4.9093081797923785 10.443950268901776 10.390428648008417 9.359996870481957 3.4645758539946656 0.343667667191285 -1.0597107197527407 -3.129415471331861 -5.846061545410116 -8.233130151942408 -8.527082908207984 -4.438132119171937 0.48878977322142514 5.2714058707786435 7.498184502032067 8.210062144760144 6.399882677186134 3.9395617976102653 1.8890668909436708 -1.8756366364395245 -3.422185863813462 -4.162272521246282 -5.247928829718713 -5.897511419991007 -7.651946506267881 -6.0449812036110435 -2.048138919465926 2.231032385398703 3.707103092790849 5.453220573449094 4.177242667135353 3.7644418210150494 2.4376871662946655 0.02424885493464033 -1.2588909120570382 -3.5149878504646774 -0.8219540822129499 -2.997654632794597 -1.958427502305367 -3.8556853832867493 -1.3384657693079973 -0.3911492856735964 0.34941307484579415 2.7182929213755282 3.6774660554347136 2.994354857306003 3.3269616536051356 2.6548941438100444 -1.165739226876425 -0.6368917501775075 -2.473549094251217 -3.1305372902958193 -5.476337990771832 -6.271282430643176 -8.479521820457489 -5.952381033026545 -1.6901638435804596 1.1263523029476719
10.01611621548213;10;52;15;0.8600075496605711 -5.011809598999532 -10.144685309415753 -13.76269204351031 -17.859381434828748 -12.996055438624655 -5.678415026540674 1.2548920004787008 7.074935846913062 10.488018546863124 11.014132155270339 9.821170940041924 7.087564661267249 4.1619366582685435 -0.5486791217762166 -4.055372638458674 -7.6870931222453915 -10.626259503733454 -10.162415198835578 -6.51512634529532 -1.6028215034720439 4.629477676774698 7.020483784360387 7.713832624411424 5.486577985607537 2.5153604290549203 -0.33847898932201254 0.5116229994386775 0.6177551112759223 -0.819828402296442 -3.079352560271546 -2.876076284720048 -3.2129039944628204 -3.506165008761785 0.48458799750824966 2.1046275017009948 1.8549450134428527 4.274659282539675 6.434053616868688 6.902017753197477 7.008738785194926 4.331384907471539 1.4647503504647448 0.022854932239349784 -0.8192681887319344 -3.260016215444238 -5.600180680319073 -8.100101351772185 -10.38782425966933 -8.740145697180946 -3.5783525280740607 0.7875375748445755 2.979655688474287 6.415278459406759 5.348807899704405 2.7822162467351084 2.5884075804237896 0.9406223685829106 -1.727189610710221 -4.147464093371551 -9.067166363936845 -11.5149516820997 -12.282326655422551 -7.835591471888214 1.6072211849080735 8.77035086835474 9.009593376685736 8.000326537218125 7.229152550418691 7.824248282264738 4.278731791582531 0.9136800976555518 -2.1181588298340395 -9.427449798075074 -13.633863801197684 -12.459478015116893 -9.423320223799557 -7.535367107370039 -0.7738928037798586 6.224302699142297 7.73823427462993 9.878406672480352 6.679136960537463 2.863347175452203 1.24185824914582 -0.13814157325239734 -5.349648998766408 -8.783376786424153 -11.975809805127632 -11.708212835340365 -5.817390441504337 3.0157891154262972 5.697129904343553 7.838019793107027 9.794060083107109 9.029193196351319 6.202693765736672 3.631461735067826 1.6076509139466866 -2.0124830658786905 -7.456400655968485 -8.6699895609678 -5.606510745639274 -5.287344203466025 -4.97135382863242 1.2064421391274953 6.317605050455477 7.70606896910006 5.314905584165826 4.094053388517112 5.053967848662747 2.0547316108338247 -0.18999716771913702 0.5431967751178248 0.20832180979990747 -6.993904343212786 -6.572254906443146 -2.56016663631313 -1.6514529122936108 -1.0348004408522973 4.1390618509823724 6.090886272940482 6.750257638366024 5.9744467534544 4.451792548379761 4.71147693651678 3.801915585017049 -1.4773785516992308 -1.0184401170162585 -2.677718579877306 -7.171290923012475 -6.910268981495353 -3.514695565126673 -5.75899879014585 -1.9249540459085615 5.828063297007278 6.28993189220374 5.14101946924747 4.363707490349953 3.9693039185045875 4.117310950412574 0.24918416994970716 -1.731487249055087 -2.7930300171421876 -7.733630515395401 -11.616488824852407 -7.932735983561203 -4.152785774275638 -3.1200818262049332 4.695923181030137
10.064021158560086;25;52;15;0.7706032060842845 -2.178546894438714 -8.200789475209735 -11.91057728502491 -14.431045615739702 -15.454138943529848 -8.034332279298983 2.564286906884377 7.568019820290881 12.920197915728977 15.007474322492861 8.340980923156966 5.7310189974501755 4.5342264085827555 -0.2951189813672215 -1.0291027905342656 -1.4528493746040838 -8.11833230177145 -8.236918726656917 -1.6368302943837532 2.7292137802754386 6.202752222804273 9.872869257160119 9.265027796824683 4.567551808537513 3.2342668382445217 1.1432015957970798 0.6657875961236327 -0.46569035437943385 -6.131261747637413 -8.787291322200993 -7.329334476693543 -4.897431039105114 -2.1894964599343214 0.0020068106093746006 0.8231041770160991 1.6892677670382128 1.5756394061780046 2.3455944935262134 3.361671233410583 4.835192273166747 4.93391338587128 4.941927919431097 3.157475824858683 1.0059291778757098 -1.7065586153313343 -5.0534150250294605 -5.959143263096509 -4.562069105536557 -4.550322366577419 -0.5954944469663818 1.4923071165193833 2.2331519760373357 4.530373461502139 5.881744283001599 3.767996915417891 2.653392179927313 2.169731103092134 -3.7797552198130795 -7.417076447409931 -8.444712028536152 -9.947670377334148 -8.769180070006815 -3.347579335370467 -0.47901099768991473 4.092748543258166 6.942233432036942 7.002376011753567 10.314164444148457 12.457515793008405 6.316500629428305 1.5283058834406698 -1.1757115502627653 -6.201247384070058 -10.109205348969422 -10.276439188778301 -7.132380785349428 -3.1454849016648385 2.9673302941376467 8.439577814592848 9.033451515359047 10.301029697792533 7.996159383399152 4.090604769487401 2.1660961521594446 1.2338870364486 -5.257441325635801 -10.749090329277227 -10.958717373693698 -9.086672234743784 -4.465857819192767 0.09806499510944905 4.280876609229503 9.350722378340102 11.761637292948691 8.481847145890526 4.374471245880686 4.099809669882113 0.7196881440801933 -3.6246456541915952 -4.0045915405678345 -4.482950248208758 -7.972442946729047 -7.896741044186009 -1.8385896438268843 3.5805915597406424 5.780473676640454 6.145014037951467 4.664266939130625 3.6582910933854436 3.8926527845305077 1.1791802681013785 0.5344998944772626 -1.712779073649784 -6.974435356031833 -6.780288995767499 -3.8919886141017903 -4.771928934347229 -2.0509198056817928 1.1356640266742497 4.071089503794598 4.633624648986998 5.2499806595854785 3.353233234069396 3.330162873973751 3.6281296822145803 4.236588421347181 1.7366750570275202 -3.7693522974912868 -7.313849617036573 -5.543072300777918 -4.65682696824125 -4.759286549602348 -1.614235767859204 -0.15663575403523308 3.346730929175014 3.286299195749007 3.2456729256013923 5.030702283716364 3.6210076628118824 0.6076876646702047 -0.06161448656760144 0.9181964280658174 -7.326160397106313 -9.603079882176853 -7.04458662082268 -6.729251104329699 -5.0930729260155685 -0.37028415756041294 2.4225758403404907
10.08101438462109;40;52;15;1.1615101405944095 -3.1643912395701337 -6.919510765516051 -12.511627286756582 -14.797937482186708 -13.361576347652925 -10.183817444752187 -1.5101887987457558 8.471697885487075 11.632079033208527 9.031154291785832 6.918551360483903 4.264311685656861 2.4580464059009555 1.0105068360131457 -2.170477905336757 -3.9999915260816286 -9.321369706068818 -10.206795943741604 -3.326946426218534 5.27625050025606 10.492669363324747 12.474916513464244 10.278549475712666 5.444016021013118 4.165898864392176 1.0141496160173886 0.32320664965479723 0.05708406802045311 -5.214024774386456 -9.370273218621715 -6.209887199477962 -6.425902070364767 -5.655255241049949 -2.534529906562189 -3.346854189365229 -4.494019163550718 -1.1326803633132287 1.2310194215178556 2.197880790832438 4.3860781054280675 2.9722845306168146 -0.8815079157487379 0.2938494581118643 0.2600456148954936 -1.7208437132675447 -4.619981269757224 -7.309511267519627 -6.282412238763886 -3.90345246260879 -0.7992968361262873 1.6518966508632504 3.6515921918053804 5.014746983848703 5.683105427500397 5.601383142911947 2.7441008468244426 2.0392230899828263 -2.354521631668224 -7.909938423114362 -10.782801267511157 -12.410829208358543 -10.967619549988335 -6.175930602376611 -0.6836577957117265 4.729413861384361 6.4267903262192885 6.895872801924678 8.55028784553658 10.30283281996103 6.254315531933009 1.039155148621735 -4.236261770892111 -7.343025261109145 -9.579723500000448 -10.986627143885727 -7.788717254682028 -2.2807270649350295 1.2290466694656963 6.75515759328242 11.910897672222738 11.775499968979737 8.179628977816684 3.9024596535380134 1.093984050485194 -1.7739380408334442 -6.027044626702198 -10.279965402606077 -10.31578079527364 -9.851962239322209 -6.868955144885958 -1.1642226487267935 4.269699826679471 7.116501605647118 10.374286146340935 9.455824706298984 3.2875675053407027 1.5949479843817909 2.162403614055994 -1.722524006002332 -6.1642148317449506 -9.107745311696402 -6.8296845219727045 -6.553572306004918 -4.384689832870318 5.929159228083092 8.61143533008196 4.833260754224771 3.8689275660942393 4.500992869734229 2.7903069832580476 0.6089273111610458 -1.8985359748165636 -1.7488895353252363 -3.7787343088824796 -9.347394235830716 -10.238482458051124 -4.042047210715577 -1.935017882442396 -1.6952346462360934 1.5896757136181756 2.1330759120159133 3.3770287401702794 3.5170553384745498 4.396056866051018 2.316433463720542 -0.3328514526892282 -3.267293772401802 -1.6177393643691593 -3.793491238864325 -7.707200961665125 -5.548768733240375 -3.625361057352234 -3.1772152587750595 -0.04727884762502807 5.005414034639246 3.1082441872180007 2.864257609484212 5.23052593871269 4.472463037075152 2.1528170029281983 -1.9616843960716974 -3.918284203718815 -3.96991988826458 -8.35214874157764 -13.020384713426129 -8.224670579159607 -4.968398267131223 -2.538712370565532 3.289744335191361
