rmse;hl;T;RS;preds
10.387511386872296;10;13;15;3.599824978857513 -0.11601887877348323 -7.708207954246295 -13.958606730069569 -15.142276055219341 -12.529117084648764 -5.28989682875126 1.2956391862869774 9.03990754174158 10.87919375755849 10.875837347593745 9.384026204853242 7.16665011455642 3.644880763710831 -0.9009835141456694 -8.319098229024103 -12.19955283953476 -9.399354217918173 -5.067170529769906 0.19027466900278678 8.273859683036761 10.371233156393739 11.063325169491357 10.40155636837671 8.67173449122966 6.586441449259378 4.879258811334416 1.577669049483454 -1.6072981665864374 -4.781691960554034 -8.414328967650636 -10.309759021393287 -9.953019199019622 -7.888070608409362 -1.927853064115205 0.5786234978775892 -0.6825946947844208 0.22970265625426856 2.8664861112071245 2.4059726413069202 0.8674450806468821 0.9022583521555738 1.0323028842289037 0.37693687181022334 -2.237478925713772 -2.4373993132386285 -1.4344458370719029 -2.837002084513108 -4.9404168174396395 -2.3121898417774824 1.9182881176106215 1.2902361700284157 1.2653169311905277 4.310256157121206 5.506829879943858 5.089575857923822 3.6607922207777923 2.0176738315003773 -0.3440075316944848 -3.4038696639239463 -7.622112524267329 -12.89634995065677 -12.9265889566257 -7.998946963628768 -1.5813630622196175 5.512032558960329 8.359001010162384 9.217580839539501 8.441856944311809 7.267686892647163 6.156042938038818 5.122723103005891 -1.474551908909617 -10.398347923672414 -11.825257803026599 -7.865152654239962 -6.509654346217402 -4.391682411623329 5.860957228129743 10.57618433131962 10.302383257274478 9.774626587717197 8.057617247136797 5.746444008204601 0.3488545140852811 -3.333176627381584 -3.716635157194907 -9.878238691208768 -14.505472597475066 -11.939410537701534 -3.6052041557507644 2.2006246194429506 6.361834781270198 9.843054760848766 10.38147845340825 8.332106583561188 6.10859180524881 4.857705899285242 0.28589607829984987 -5.846446387771821 -8.783862536819218 -9.4377215399535 -8.443290269142004 -5.07474559144651 2.436837277082672 8.07290168256199 8.690339148911086 8.500788627628129 8.835651588369664 7.3757037229764295 3.3931427092214292 2.7703344997865096 1.995221794078105 -4.2854359953414 -9.898663173078006 -7.1191451309601455 -6.845517340365394 -8.721065727866527 -6.449496456316405 3.459640407287227 5.497435689996915 2.710336670903944 2.9150133063873436 4.775281086009376 1.9655791893821986 -0.7329982574470049 2.1851660306705276 1.249669922762713 -3.733088038054647 -3.8254783895215065 -3.0702395209830637 -3.8427656754295008 -4.509516549722173 -4.046448888722423 2.7712038746877035 4.346443865635988 1.380516673701243 4.186463573631908 5.629552142362084 3.4854370240772306 1.6563500007423508 2.651748596839144 -0.1981865505436529 -6.393942756406443 -8.42146420948529 -9.980933840633949 -11.062292162802777 -9.743172244682174 -4.780192258403085 5.185052951335245
10.134613857879396;25;13;15;5.187606272537952 0.6982631068663959 -4.5119682669740495 -8.939025688086002 -10.987270867546805 -10.572277185474 -6.300025214048513 -1.3093297055416138 5.4871326318322735 8.59294967428815 9.346560095943428 8.718680387935404 6.9422786666725855 3.438641445545317 -1.1278086800441103 -6.857345849627427 -9.262597387853454 -8.369263439952718 -5.0083550646713135 -0.3003809873481329 5.508497298205424 8.046986411843108 9.27686744076626 9.25266830253194 7.90943693177842 6.054632452265913 3.868814131546395 0.22916662582189334 -3.0575880893110545 -6.0804054906596585 -8.81612109529026 -9.368954455013341 -7.979644300723489 -6.17533976844336 -2.7776058762846008 -0.6385059742473501 -0.8838711644920578 0.1874205374730512 2.924523714552017 3.3545603486874285 2.0147421051725765 1.1731090840805525 0.4557916284576119 -0.3832857227102395 -2.865841948405711 -3.3963429685116076 -2.447129979283012 -3.1762942120016113 -3.886057309492723 -1.2644644280961022 2.1717616162944227 2.309088924706352 2.414225004662601 5.402276978828675 7.294447703093844 6.3110112324136 3.8174415038048335 1.0154921278094766 -1.9151389998707662 -4.999545445400378 -8.320442741578919 -10.248026966171896 -9.954106918027481 -6.272043068439458 -1.6475990953161546 2.6345547378516905 6.2811751626606345 8.180768194717427 8.19597399146835 7.415385633115302 6.119011777548653 4.284647786007226 -1.7857025256881054 -7.778452471978316 -9.364785213441955 -8.010545124207756 -6.713581130625327 -4.45658993826689 2.9302845193805815 8.228749616620672 8.720631044607845 8.823399265367527 9.026121416632392 6.841650392137577 1.1785375013268216 -2.8113603093604995 -4.737700233514545 -8.838425250249852 -10.76195505965423 -9.503347949345056 -3.619801024714179 0.25814262856984604 3.110513226133625 7.9149096267738095 9.301928124830216 8.183254011925403 6.254110236278934 4.39143910566929 -0.31444843709515086 -5.731106417890611 -8.167079928810747 -8.8034964564409 -7.335080667255207 -4.294914391302387 0.9146273283238631 6.025888277025634 7.0580361870366595 7.567111647990655 8.782708274895068 7.671285622042641 3.26541540834862 1.132870787923265 -0.3903996520723317 -5.395958826903258 -8.993581442341924 -7.980407722189657 -6.919658300019996 -6.935707548746302 -4.629386246424974 1.908781710971409 4.794499542900611 3.1469229323217953 3.5020621445111515 5.679447337311783 2.307962234320094 -1.3037968136849452 -0.04546467776667283 -0.6214807012673524 -5.047897791315899 -5.509511680717815 -3.9948180755989573 -3.4540755860246417 -3.31540567883094 -2.359851141643865 2.4960706406228628 5.315576796567028 2.94068048252766 5.190674572669522 7.15526351288875 3.749331016998978 0.7823992681942122 1.3793518818334236 -2.1633334425956057 -6.971479098613163 -8.81019744577338 -8.945341139139305 -8.751740378172578 -7.138023284207848 -3.59697319185733 3.0485090671809028
10.23836620317169;40;13;15;6.503004424021305 0.10284620910728068 -6.279700944295163 -11.147816244537694 -13.122357500515957 -11.911317741214521 -6.295814217428841 -0.145915058398045 6.707142767340547 10.383473648798862 11.098092510446936 10.190637701133248 8.01988321000048 3.8352232390762846 -1.3441466306170307 -8.256987594698249 -11.427241723586995 -8.72328709643536 -4.3432747402688285 1.09124196166836 7.091287123821973 10.287875465747408 11.775612707610112 11.690770624997203 9.972537861502012 7.616880185960551 5.058358739948787 0.4452289930761242 -3.273634972401546 -6.299663336963365 -9.021039562094984 -9.313235822662648 -8.173186604622614 -6.702836860783794 -3.6016219205665365 -1.8670824188806072 -2.211736242527805 -1.14769243403804 1.4490760272761762 1.9684541984360773 0.8614660187013377 0.3461817560465391 -0.13765469199144242 -0.9215259540263153 -3.165084721330422 -3.5409072966883897 -2.638985727190107 -3.3516163526222797 -3.998785849062362 -1.5748087374942454 1.4580745881406068 1.5844977396719404 1.7799924400371856 4.597522190362467 7.102611092917213 6.384500813314937 3.599685795363226 0.5689318902012902 -2.3675598194749847 -5.262644004652272 -8.591568708863853 -11.508336986533681 -10.884332147006624 -6.6543035763257 -1.5713435904245874 2.561119786471862 6.081575593090111 8.405459068720653 8.780984487318314 7.9199731222959935 6.97989022233393 5.210243076048891 -2.110119069265883 -9.701429722910373 -11.18680850046237 -8.157915391629377 -6.702779795551136 -3.987553741073351 3.73034116899711 9.881559874543438 10.113540484059975 10.195946855522848 11.164489300479374 8.300016437118234 1.2979560695287626 -3.628443275833233 -5.289220396969022 -9.947696822198065 -12.734160816598347 -10.416174545620773 -3.626803694270525 0.4965925738905571 3.414290597302226 8.681347199262635 10.629483954539594 9.127616108419339 7.005287034536593 4.943672932490728 -0.4693075594166013 -6.580086761666711 -9.005700149189547 -9.064986054498831 -7.484374450567883 -4.203984770608076 1.0608526375256004 5.932270675097892 6.863145890995358 7.754244551977835 10.100030638186947 9.01699863449931 3.6167851835539317 1.2563193272126203 -0.40874255779481355 -5.838967362706276 -10.028364791817285 -7.805167351871882 -6.894923305332671 -7.421291619534432 -5.0318544578881 1.0768804867896595 3.273463693905802 1.5288281695029842 2.0947886204898025 4.563681115561374 1.5902634159228053 -1.6677723509782025 -0.23551112723771297 -0.8407624697341399 -5.114467516839991 -5.445209602274405 -4.048805613239447 -3.74539777424818 -3.535295070239977 -2.483028882047147 1.8119099989472234 4.152977068782513 2.053165448564353 4.2342511825193565 6.8980739888868365 3.40289877625352 0.5335484013144389 1.1748569677997531 -2.3569905728775185 -7.44203552752306 -9.048187998573258 -8.947378089578201 -9.203605855634589 -7.787412409423082 -3.700309281273704 2.987685532218476
10.137991847861294;55;13;15;4.928813354681846 -0.8589554052415269 -5.738491842056248 -9.374668633371321 -10.317301374948734 -9.169477366917793 -6.454733235288977 -1.0154379290444746 5.364571474308685 9.835107383324942 11.600032033648802 10.353821997175828 6.964112381421486 2.155605196277515 -2.451334364686705 -7.584587262372443 -9.13396191468042 -7.749254558546658 -4.27987805045576 0.9460895832282123 6.560251291139275 9.87703223547426 11.918501266515669 11.67893724431287 8.84376946567399 5.482338108412801 2.8332029882387575 -0.8327621154928034 -3.3678510633547236 -5.664719022744036 -7.792825951433398 -8.33647459236844 -7.771659621539609 -6.426320316765102 -3.500249362295825 -1.4402283023317661 -1.3300309885851156 -0.1795057768887878 2.353177558253739 2.727351853080606 1.439510989589995 0.6413873377400695 0.03948222741536887 -0.626601262022194 -2.760103551877932 -3.2765077197236425 -2.495478497652439 -3.199749762417697 -3.734273185508506 -1.3382182836572172 1.7159562020678647 1.8274484442494936 1.8582556668338517 4.51066925421584 6.981284840946692 6.168510995457104 3.390022563238236 0.7237888377806424 -1.8036425821843087 -4.531892732140058 -7.344502693901008 -9.274670860065434 -8.774546985546547 -6.247898907685384 -1.6266958222265677 2.516098797492116 6.119667331806748 8.627595925603696 8.908885767558985 7.552555838158055 5.713139833732723 3.772488018819817 -2.506449636589661 -8.1231870220522 -9.05196891819558 -7.74560655916138 -6.598947516977626 -3.7285207316895983 3.319078300488685 9.357502006346849 10.427841171272927 10.46139691991073 10.667953576443221 7.0560089794423595 -0.0840848788131828 -3.8272039168919374 -5.037959393906291 -8.356421674852271 -9.749037437131452 -8.441249143198277 -3.660121787091832 0.2904039707107742 3.297279729572093 8.545513851682514 11.16248923366646 9.186025853632085 5.974428659600142 3.6043119067546106 -1.2476187018237355 -6.202593984377291 -7.933845971928147 -8.22165725650828 -7.040869029690258 -3.9519582583267625 1.0991578489266007 5.90915299261419 7.109211870133803 7.759050558035587 9.8162132239754 8.029303148893863 2.291338331741748 0.17082081802683785 -0.8255451033552544 -5.2540052331205755 -8.274806561554424 -7.32230223064466 -6.808592655248359 -6.9077970826368045 -4.562937262582177 1.261358117664568 4.159474850213331 2.6383641900903427 2.819851115631746 5.03352875252661 1.8317686999121814 -1.7180896198743283 -0.4559605582318897 -0.708245951812578 -4.564434529021976 -5.021356890790192 -3.8189813040081604 -3.400762740372711 -3.185942759784365 -2.138510066389408 2.142564746738972 4.673263760201377 2.3117022687909703 4.39119205496693 6.976968760788833 3.3048502677851324 0.4689139352887329 1.1921235501629721 -1.7639150894510567 -6.236343198072154 -7.713903342832545 -8.128526796810544 -8.182883518669634 -6.88639622855514 -3.06360325197543 3.0922130323459522
10.072222636402165;70;13;15;3.093471599093048 -2.418687832225336 -7.461843426512602 -11.80443177677634 -13.429502068370113 -12.01008791610079 -6.9636806474282285 -1.825993015655751 3.8463165115297437 7.55171586577003 9.414853957003007 9.117814110834136 6.838998946571398 2.662532359997181 -1.7962978691907507 -7.086724423718258 -9.65798777067332 -7.3708348191852835 -3.6772371813843807 0.579411537424309 4.990828996272846 7.523641859054744 9.647235414983093 10.025337815977494 8.41797166485711 5.879589722510027 3.0356523398548196 -1.1969385119662548 -4.6004705275279845 -7.474128457635899 -9.796789902186596 -9.908855580364687 -8.359656299259516 -6.353271947540657 -3.2300016428598477 -1.2273574126015503 -0.9594413646536263 0.3218890169123131 2.7017626196970905 3.1686331217195147 2.1952519625840803 1.6052343405271177 1.0479193592776588 0.31065116760416256 -1.6552500119971452 -2.0634129161290495 -1.3450273141771354 -1.921367809198873 -2.372880108544129 -0.270532043121945 2.345031148333084 2.4933896185641475 2.674365740681515 4.974634300795009 7.017102321366669 6.072242643880655 3.2225416727269964 0.14927999754372995 -2.9416593732490077 -5.964231811647665 -8.894109086726974 -10.898878213994621 -9.964730794146455 -5.96482960475563 -1.631586382257099 1.8660562057712016 4.968296232423887 7.2553656738153505 7.978673065094328 7.252976589135904 5.807216045274141 3.575750757809319 -2.8302054065283078 -8.734139233484964 -10.125535052436717 -7.935383253622554 -6.287936431652161 -3.5486361561261814 2.7086344567688063 7.462156158618244 8.373772554411133 9.036368801399316 9.449354761567022 6.223116159853495 -0.37846788605547343 -4.563030167564614 -6.563926166144975 -10.053235490411538 -12.065004155606914 -9.530568761240357 -3.66477608314081 -0.2012759891684185 2.4680411726257496 6.893355668430487 9.322835573424634 8.309603396204764 5.995929725797694 3.7208892179000377 -1.1017806706948532 -6.008340452822355 -8.186990823586061 -8.302254938462884 -6.596184724616017 -3.42925499348833 0.9546907752164517 4.884250627357042 5.919173508285427 6.872762774533161 9.01928333155804 7.77089368156452 2.720818579858745 0.26785276504882205 -1.5724988134271747 -6.198751128100009 -9.597106126602029 -8.069693933775167 -6.924890207570267 -6.696698172768238 -4.118595696862619 1.2905265415933733 3.636691554865683 2.5973339398505586 3.165637544963709 5.221783127519013 2.583033183771241 -0.42443514881700733 0.4989891396828221 -0.1087961253167949 -3.714635090381994 -4.056497589051253 -2.89274194234668 -2.459014509901496 -2.1486057411475605 -1.1356680240077965 2.5869985215234954 4.715810066652689 2.949514806868831 4.805946689388296 6.930634575540483 3.5415551130565284 0.6745705095616014 0.6425648735965848 -2.9228849117045503 -7.4414648751964805 -9.12081464181001 -8.916812002397698 -8.55175248665299 -6.579146577162797 -2.784318696214093 2.5596301751242487
10.159620408085251;85;13;15;3.3020972182681234 -3.91700197577769 -10.324878524377752 -14.975743004304203 -16.0422490557976 -13.96527640311583 -8.52111959139523 -2.4476430444388293 4.07255232231956 7.896181095782468 8.998384929890754 8.485659381799067 6.634326834551563 2.8229180239283735 -1.7434928693136016 -7.45069761229005 -10.034120029306077 -7.660925929401847 -3.7541642466358858 0.9483416591554701 5.415898519455868 7.707978566641686 8.786728590127566 8.707545012474924 7.659024948030844 5.879769269217658 3.4201498744529992 -1.1661712176468202 -5.115203449566036 -8.483080742406422 -11.002667345684902 -11.05223754717544 -9.607514964222329 -7.6127767913879865 -4.17418036510006 -1.76180315390461 -1.2720564527610723 0.20516765085029814 2.7116253360816795 3.1044813614499347 2.0560863881713467 1.471690909386765 0.9531447075639681 0.20823960454859386 -1.8005662790018164 -2.2402728603822286 -1.5340857348181014 -2.094380721669942 -2.540980191625581 -0.3192774084294599 2.415945312651996 2.503162213636185 2.59819705149451 4.846640115571905 6.789716854914037 6.0440628577097115 3.387612601034646 0.2134721210266531 -3.1642252632531958 -6.554289101000499 -9.733507342838841 -11.952660806357716 -11.058990730318275 -6.834047924518622 -1.8978358818402967 2.1737314106973282 5.34150285400672 7.304822440758043 7.572276051546197 6.9415583920896475 5.841515381730177 3.9455091083211755 -2.9010144873090327 -9.689138428529834 -10.6817575302457 -8.509751083581815 -6.912193889221351 -3.7677638658627295 2.910666605860741 7.635079819673601 8.190996789712624 8.392686895367348 8.698459809885296 6.528527893203769 -0.39472556206447496 -5.152555428010534 -7.413200883011493 -11.36223537666249 -13.513581425434321 -10.772697241743348 -4.484076590636281 -0.2409466776380643 2.768969979604387 7.16265763602278 8.756279417082261 7.747881778536477 5.833151845558433 3.9563856024822814 -1.034187685518696 -6.299977195742984 -8.393942065324858 -8.677082351836695 -7.245947557513413 -3.8178838421557026 1.057402887629998 5.189122676708215 6.131065068153961 6.767414787706859 8.18050374607828 7.349866395014347 2.8498430708983142 0.4825868868191293 -1.5682989514870456 -6.754872001958165 -10.478516920464614 -8.704676871414161 -7.789491114910267 -7.687064589629062 -4.858940191718608 1.2753985136198838 3.9410016508586705 2.7740616597841643 3.1877562379171627 5.149408058448185 2.40122909384223 -0.4758390058550998 0.5502880001724113 -0.15404015584613678 -3.7762032570388593 -4.191209465626151 -3.188355505657841 -2.791690028050933 -2.375664996285457 -1.233777164285883 2.6812412313199556 4.737200829931018 2.877956918888839 4.707069691170162 6.774001646574021 3.548838237353864 0.7658258196325457 0.7095789859210315 -3.1881369875718093 -8.13071615317569 -9.78948972791121 -9.689885147976685 -9.592231224714602 -7.566521940731381 -3.2332985518807855 2.7733706137350262
10.179945984339192;100;13;15;1.841614540298088 -4.292025985837183 -8.293617210807394 -10.75671410517683 -11.1765694667051 -10.159007290977947 -7.086945029556704 -1.6422266124366522 5.593874889312602 10.122314611539867 11.779763159409768 10.492964432332634 6.7173115134332 1.6920333430697079 -3.0416289618973003 -7.893794529611941 -9.782952975101992 -8.146475204316406 -4.391233892812987 0.6109921852884866 6.8412210110577 10.621631221791887 12.518178918993666 12.12200841268832 8.876639039684957 4.97984602673861 1.6489732755451068 -2.434493161877903 -4.957924013268608 -6.540779951044943 -7.88729048492388 -7.892736735055355 -6.981494046944629 -5.545763065681234 -2.463818602186201 -0.42396792722462057 -0.29407641000532325 0.8235133764893047 3.1314356369536758 3.3601958883711345 2.12627540648502 1.3155506899900808 0.6570393045798681 -0.014312280116481335 -1.9471912188115272 -2.327111530220691 -1.4973781759521552 -2.056822577674531 -2.5314654339767113 -0.25207570285161873 2.6278245199854124 2.7349077770267454 2.8058325540870963 5.226471523524092 7.209386406477434 6.060544967103251 3.158653665179092 0.2489767865432186 -2.5458597909559373 -5.148297804920276 -7.325923089248553 -8.968822786460567 -8.757055099901951 -5.897002704319386 -1.2605499793089467 2.9089664794780177 6.600120403077965 8.976698053728327 9.171300239936453 7.571179981528682 5.389367013816026 2.93984816523182 -3.2276525734350083 -8.523214302984258 -9.214176842025733 -7.724829943051595 -6.472448510441906 -3.946956351500801 3.508146550963935 9.608243159058418 10.73233220580849 10.720514135308527 10.123016096351076 6.077721602133287 -1.2745132154146168 -5.227633788499164 -6.264417900704911 -8.791503014738137 -10.095673233737308 -8.754886621060948 -3.4484744942557723 0.5058969904836847 3.637127547161539 8.965745704562835 11.178917757414698 9.301360256173524 5.7647309795603165 3.079500011977721 -1.8237027512572481 -6.525562323697006 -7.999902458317052 -8.012416446288453 -6.713528240897498 -3.5873055063441117 1.4648858803923073 6.399927215904306 7.60710463323926 8.264238623994128 9.95778719477741 7.800811869579117 2.0545583273834365 -0.5155558858469123 -2.017080122715643 -5.785675742537223 -8.313162748910205 -6.91441456187271 -6.127627666601563 -6.129302739955315 -3.7415437832913554 2.0917655549938754 4.716320174159253 3.3140993589392806 3.4738270329012284 5.364728751657231 2.249331709289536 -1.1241418908871028 -0.07121588594166525 -0.35989397922731603 -3.8080978506723397 -4.097108549014496 -2.794479439255825 -2.290014953488211 -2.0896291711543307 -1.1310160766802846 2.9818763611256465 5.315249019437981 3.1528257043145334 4.975538297590408 7.036306163991004 3.3485500574453533 0.430735815815954 0.6415687112310631 -2.4255683682654445 -6.291419498596709 -7.47813555043644 -7.564622781951826 -7.753979142260252 -6.464201192487892 -2.8126729836909994 3.500342184480492
10.336662865025716;10;52;15;4.037525752105873 1.0988534720225305 -5.388257804164324 -11.83494219055913 -13.234905449501756 -10.94620756122713 -5.061219739471639 -0.11347964989957342 7.596524599920986 9.368738289840689 9.90727054552572 8.111666373473508 6.046385830229371 2.848250811723664 -1.4241072871162181 -9.283795729950931 -12.166908742784539 -9.746791015533653 -5.273354174537705 -0.8629439692393905 6.644351525727629 8.70071040698793 10.049514684852724 9.12031802189637 7.106134523075104 5.384833111489606 4.341482669982105 1.7406891090027752 -0.5982837711815896 -3.475304200532126 -7.277632679987991 -8.279970965109964 -7.6679045898054286 -6.167503041797495 -1.2033394738788585 0.47520268050906733 -1.288910704022464 -0.4355356414142328 2.9447275905828083 2.6694421245710904 0.5767243390980346 0.1675175587589729 -0.02744215505010425 -0.6409450779950568 -3.7446079079180974 -3.921638177972411 -2.4390441141823724 -4.129349361590017 -6.668764741382184 -3.265327805544989 1.6983922889649739 0.7178788456441382 0.3902716944391848 4.321567599701961 5.829749505040572 4.863816054684468 3.008463540163204 1.5821050014257683 -0.4397683854548873 -3.545526100946325 -7.948254943174273 -12.442636812308091 -12.07156804919752 -7.1294621074742155 -0.9682855188290815 4.775458892923329 7.7425127752443315 8.611967706947613 7.869963100963508 6.535173905056003 5.592971588434675 4.488800047675897 -2.21803673135547 -11.018422917238262 -11.722164588807754 -7.9988300494935665 -6.252288755095215 -4.404962604730782 5.0903232732881465 9.289570718289891 9.286860815656109 8.576143267352922 7.310025119774515 5.323911800122443 -0.02996224619354952 -2.7045261907739415 -2.1521396100675236 -8.741372599683093 -12.986446210179036 -11.042905293883454 -3.1802383242709866 1.2767572924828667 4.544698226734221 8.914938857725552 9.373215822851922 7.374756579297802 5.330130866605949 4.4138984502250125 -0.29391539210036927 -6.757033521624451 -9.41508891194739 -9.673880437968553 -8.45257450412846 -4.839996622228591 1.9803975340808981 7.437755900234681 7.185312533387976 7.093351215042258 7.868582400700174 6.215017768238369 1.804216631300475 2.1134176352827296 2.1064455860951266 -4.412593339805101 -10.172087059853627 -6.3220614407816 -5.567174010566235 -8.214081498914204 -6.349476413651434 3.95785120467713 5.350355620160884 1.842611442075923 2.487307821801882 5.098103282660088 1.112095215689687 -2.677151233158716 1.2707353446231449 0.7122984574200438 -5.503742524879593 -5.515372697662267 -3.57830381385106 -4.097359775221685 -5.109113475773481 -4.731739700371677 2.7710986171701486 4.787382394920213 0.6279162022763902 4.2046385022747215 5.676552668589336 2.616999175758457 0.5284969103686374 2.919887860316032 -0.19482509517723895 -7.10265536647442 -8.964091243572259 -9.707541966062013 -10.364867334121527 -8.83161082636953 -3.9027214013050444 5.361419316121807
10.18671289908966;25;52;15;5.238997690051242 0.4885718640631811 -5.353913581031381 -10.023574095943903 -11.970877142090082 -11.685880147764443 -7.4648136022807 -1.921346757695362 5.688086456802215 9.30534090411015 10.047859097188173 9.283045796077687 7.332057866920246 3.7401626522715166 -1.0110700030349933 -7.532360743893427 -10.090285440673433 -9.05426266218144 -5.764676084877843 -0.8525518336384051 5.582443400968024 8.602130913488836 9.868661740127802 9.83694599728448 8.356483180750722 6.251263237903281 3.981556937424198 0.20570489913824838 -3.2107981481942485 -6.34106416325669 -9.481259528801612 -10.27221357789173 -9.222790212569723 -7.369926646885056 -3.363323076326812 -0.5417102042172353 -0.2394480193633223 1.29597505345663 4.41232915632692 4.950688824479031 3.439013413433801 2.4690645192674996 1.492845060724805 0.21316826606068645 -2.7976408183492008 -3.7440038515528893 -3.0247035530744535 -3.8087805457118207 -4.509726716798547 -1.7116549929540437 2.1098754153531094 2.607314440267188 2.9596738101168847 6.159654749715582 7.947939957720677 6.821761766721347 4.117440391062262 1.0844929540303532 -2.081577927947895 -5.377894897097138 -9.184464645582683 -11.312187775786548 -11.067666037517224 -7.001866335003509 -1.63463189109148 3.0579965100690187 7.236564071489507 9.015020837045483 8.982821431559511 8.148469968950511 6.774472782702185 4.843045701831927 -1.532766971209726 -8.417276178142178 -10.138215364683791 -8.772570579927663 -7.787633015261528 -5.460592162063072 2.7270254677865013 8.86028985052846 9.372861600858961 9.405466030313306 9.4933297865872 7.176254471579737 1.3586137151639357 -2.8989389134504684 -4.8198574665226435 -9.582582328973114 -11.714843537008225 -10.632489356937768 -4.680108887248212 -0.2161077302784433 3.263880214406628 8.689859661773266 10.063382928223543 8.844400662820586 6.892347979931844 4.899123427597881 -0.014867187310269302 -5.931596065907103 -8.782100473781536 -9.37763532955206 -8.334743845616973 -5.302538169619933 0.36385144860508856 6.0566241680691695 7.602742622528286 8.2412482944077 9.449108406782134 8.231316856172807 3.706272167329952 1.495588193417846 -0.2051291972180874 -5.539560701217042 -9.721030238493427 -8.670408503285604 -8.00086908768488 -8.164583672840696 -5.509501241955744 1.9321290462206862 5.346558694436717 4.065918141064341 4.7512855036354535 6.774705915055116 3.4226454345055766 -0.3056527361736445 0.724201864799941 -0.35121871552321043 -5.201333675418574 -6.0082388488715255 -4.835145381535195 -4.462776644587975 -3.9815956436416333 -2.4955162511752644 2.7817920850362667 5.983379550117779 3.865963305624649 6.130307909945037 7.799789566813574 4.357545141140369 1.2186763682753774 1.542713636831221 -2.2960516895942007 -7.635620978305414 -9.690931111936258 -9.847426945160844 -9.78814103985156 -7.922105844184986 -3.696151174381862 3.678158493318795
10.18527892493778;40;52;15;6.492817584074394 0.6093951416812201 -5.093903851476465 -9.95067117347099 -12.000041651483109 -11.511825620817998 -7.059951086757091 -1.1817712516453127 6.129138072675549 10.180203114566503 11.213788094156047 10.324111888485191 7.981101121152174 3.626039494089116 -1.504203908491388 -8.108645826486502 -11.268808456121924 -9.315256766999706 -5.376643985442229 -0.03939138424601142 6.187970935710927 9.497766956385089 11.232126215445916 11.139267859479514 9.525952309895803 7.042183187037299 4.6203973456073735 0.4085664948664535 -2.5807527450151087 -5.3573079184983206 -8.243073420774316 -8.870143776763058 -8.045925568455669 -6.563409795381167 -3.1871063337966095 -1.1234364915401163 -1.4127838399590806 -0.41405667059639895 2.199868157151497 2.5613878886777335 1.14636949911675 0.4648246372368786 -0.0462726162035915 -0.7914682865107121 -3.1950933786163045 -3.7007156970770243 -2.7575639750452865 -3.4755251543293073 -4.253994443981826 -1.9031025852641406 1.2811838495393166 1.3168353536423556 1.2968035432063774 4.058279750897836 6.657720796271427 6.0640349932225135 3.3545794864178933 0.6110480326655695 -1.8741050960642571 -4.537523400401464 -7.774061928651013 -10.875986704689137 -10.70170322089459 -6.626443912191617 -1.6450353353513765 2.587074898465986 6.298814582809176 8.631906438421787 8.736924560366624 7.780795891265614 6.644943055578351 4.9360620310643455 -2.123081576047625 -9.150324326268873 -10.94697794186801 -8.402211652637956 -7.164038767042618 -4.630764163018421 3.1954635239133395 9.690167955631054 9.997791314705559 10.027637127303127 11.00240733771155 8.080938833439628 1.0964241981091079 -3.359474304751023 -4.599476409420035 -9.20254736516053 -11.89009782567543 -10.43330385826275 -4.1722634604249835 0.1023564789341771 3.2847351212319493 8.886889208121769 10.757449955105105 9.266083503628852 6.8636079801963925 4.799750936140083 -0.5492042784981005 -6.40360974600219 -8.784330889277495 -9.176585467971062 -7.939791890804114 -4.712748460534867 0.6690129996243805 5.8886450006483795 6.989772250428351 7.693925209223465 9.851376541972222 8.731368355274665 3.133205703042279 0.9716679429012364 -0.13382773307889934 -5.170814562667392 -9.376652694082392 -7.384038461370879 -6.762792934618073 -7.3511828057093425 -5.060015454287315 1.5520194452592915 4.134365799885108 2.2543849400290163 2.4923158179057183 4.896183524239791 1.6731447510599347 -1.8913447116254578 -0.26703694985359394 -0.5974855538418501 -4.924739536601817 -5.36859465600884 -4.06688067772511 -3.814963772445548 -3.651202908777881 -2.7561225559825706 1.7808908694928123 4.265139479489137 1.8030742827711093 3.866743429110131 6.778135396354363 3.1168572098032543 0.32710955056141106 1.4038953252367352 -1.6810455849109418 -6.650680629969393 -8.308934354353749 -8.428029494910838 -9.015575914026723 -7.724151423516942 -3.7406209967242288 3.0068343973625673
