rmse;hl;T;RS;preds
10.16129125303291;10;13;15;6.768660479980734 1.8718799911309314 -3.7298645483269453 -8.210987449836189 -9.897459931769887 -9.409825688110903 -6.134902091930505 -1.4386945002247165 4.5407033124894305 7.853628526073912 9.284688857227753 9.042854056315651 7.153010828033705 3.376391627725178 -1.2852747962032518 -6.716472667719152 -9.023798178951765 -7.673078040288099 -4.458072938398525 -0.16499224404257803 4.6501147614314595 7.4006544520799 9.343429163239428 9.96782858797279 8.792134477045696 6.7266430708077145 4.354873513967518 0.15353770762367228 -3.3162787072988595 -6.0036861567733775 -7.974337234086302 -8.29662009469665 -7.857888667673091 -7.0525096412350035 -4.153434717317754 -1.8868179424531206 -1.6785987390813653 0.28148313512893486 3.8496990183996687 4.453767214204967 2.8075559937051127 1.5001521941749052 0.2903884865470347 -0.9588641011110685 -3.579258612621873 -4.100135442056516 -3.149151690821846 -3.9025425505148847 -4.173995599011393 -0.5788126962482226 3.509267326051686 3.7404497182284846 3.8688047366605307 6.655570411284683 8.353312580750849 7.289228322058058 4.200958142727021 0.8287839074592412 -2.4096370775505473 -5.286710570608281 -7.768351229880391 -9.52133184864196 -9.33388926137999 -6.420213640953232 -1.6193615479950816 2.565003701879958 5.878145693756793 8.061963251745926 8.726046674370576 8.045376058814199 6.695937800132922 4.733084130128725 -1.7119571951160155 -7.5185439984154945 -8.531121317294737 -7.367511117341695 -6.655359283129871 -4.034924147436672 2.704131522769866 7.540995953039997 8.524886857829088 9.050273928396123 9.335252132950032 7.389301254450859 1.565297202655595 -2.5471249689190114 -4.561240963745546 -8.162137522928592 -10.058012267935492 -8.729033982914494 -3.5568810383690446 0.25078188772702414 2.8981209536443906 7.402764473853301 9.370875452395477 8.791828273358263 6.82602634898632 4.6471334509838185 -0.4945006852743423 -5.524202846498609 -7.565714676464513 -8.262667673100129 -7.5006853642634495 -4.267996999424632 1.1593679326379551 5.706355682262409 6.655915586350516 7.681106409399575 9.445166034306439 8.618338831398628 3.9181407619219284 1.4632149825433844 -0.6298765976015175 -5.4875833211928 -8.411955889073031 -7.066773165729599 -7.066867114588243 -7.741257770882362 -5.325159314987765 2.0399371013085217 4.972010343968952 3.5409768056377633 4.173317344637707 6.319751259937392 2.7725871846415546 -1.2903823954951879 -0.3760733645207808 -1.6182031933638727 -5.616187130120885 -5.879011149930296 -4.547002492279923 -4.044153404942884 -3.5763225368098754 -1.8473096637233717 3.6806321319710213 6.321225909059369 4.073158466437183 6.295125524293082 7.967360230678629 4.331588463331935 0.8714332096963261 0.9019618043230573 -2.8005478396067653 -6.817054315783574 -7.959635977502172 -8.191485058616607 -8.707342235329769 -7.494313543894962 -3.5375094796340933 2.9796751741634875
10.22042302846557;25;13;15;4.490271913127989 -0.617979801437599 -6.424172715448244 -12.037451391077735 -13.77632367494084 -11.699304395788484 -5.806659394094761 0.4355303392354269 6.954477404029425 10.68427980032316 11.511959502133482 9.598527455239669 6.499972311598249 2.9732414171400423 -0.5917278806419068 -6.0446847427682115 -9.137880625962087 -8.427941113391967 -5.802916749933367 -0.3613858088118695 6.277898783205104 9.582913850850485 11.342531434537158 10.628614753617768 8.055944261535458 5.731557637573069 3.731375998277139 0.19783763911332441 -3.0024362817408483 -6.660666349767059 -10.059775026890645 -10.678027412598794 -8.827806941470648 -5.815005532329718 -1.4876685614112828 0.7619039767222562 0.7370830362272086 1.7624676722920631 3.3642739647537616 2.7024030377501815 1.4270980836313212 0.8741088383946378 0.336179421219243 -0.33596864102316737 -2.259148751898148 -2.633452139415967 -2.1744853460960334 -3.1813535320189663 -3.6663853922935106 -1.107891956959971 1.6315951724070898 1.3892697496776238 1.6956964786599904 4.238234266167132 5.885919787830228 4.832030024176532 2.7063523694005927 0.6860301825637728 -1.7680210025325416 -4.874807805984868 -8.498729838586652 -11.303819368192503 -10.636453998772552 -6.886740707703502 -1.2089466549256034 3.843259346077716 7.10393055244306 8.517721691543162 8.078267902184251 6.773027362114008 5.500005017301464 3.933436332026667 -1.7327204148144753 -7.908830522499833 -9.28380408096059 -8.518102789156544 -7.843133129526189 -4.41629979625798 3.6387215461298683 9.451189200021734 9.627828364457098 9.505197963145104 9.627825580787214 6.215800675393738 0.5083013853475034 -2.704571251430217 -4.987487631331506 -10.0546349804466 -12.686192617127062 -10.130574190847401 -2.9184766224817253 1.6008603252397613 4.509444439466109 9.468457696158001 10.83469818626968 7.881827102016585 5.393178205848357 3.959610484044926 -0.16181772950692916 -4.832754209103334 -7.335304056763539 -8.805122815571654 -8.229988780476337 -4.904375947511331 1.289790086929224 6.74809263911238 7.144517851212274 7.322939260291992 9.045307861319941 7.05129065898601 2.5418854974581517 1.3051768222227207 -0.2635333750910598 -5.349047726071086 -9.453246762823813 -8.535461754564096 -8.27263808271342 -7.371446530642677 -3.676835289044625 3.2098283044000295 5.338105384911159 3.009351182898023 3.167400303918862 5.07454473645823 1.8554864372356317 -0.7569023266734327 0.4193775727852447 -0.6652780063632584 -4.493374048054695 -4.85328447042823 -3.877879583285854 -3.364919163047555 -3.248811248236613 -2.1572260708662645 2.2556591649192193 4.061345267359521 1.6371085785745583 4.137239243124676 6.185361245193034 2.616299256761558 0.6749101172876631 1.2256814735428734 -2.321849872198515 -6.998789683862281 -8.938873978077229 -9.550524194733846 -9.39587880606581 -7.18879603108903 -2.756697557793346 4.395295184378529
10.074262593214328;40;13;15;6.71569976856935 0.6376059831693266 -6.087228961467109 -11.973698391519289 -14.294407787562601 -12.61454373793768 -8.019023486762286 -2.8440350264794616 2.9724665130355956 7.473001336493136 10.281221798802989 10.813085077359226 8.870359080422698 4.596649161894548 -0.8251756581676047 -7.422641699429022 -10.910134679095133 -9.807136107234466 -6.31460886057997 -1.4847645847926554 3.8436848996115005 7.600363976610911 10.45046892785674 11.451178766095548 10.135981038843969 7.5540979912747614 4.449033583564245 -0.26165909536110904 -4.411037616297701 -7.983257504235196 -10.562959546448916 -10.39381958868577 -8.237490074900968 -5.700625580600358 -2.258849159426694 0.07587853719221443 0.8126565419967665 2.083010913203184 3.9059597704606115 3.964707035647003 2.80641016558839 1.6602779329305153 0.6406864618566475 -0.2336357166418712 -2.258542085842422 -3.02538903178382 -2.5302190457853655 -3.0547901531171378 -3.2152520200114525 -0.793663123225944 2.069400507255533 2.6087967444813516 3.0341609887135275 5.1730814310328315 7.036730673648581 6.614744412822766 4.296385478039237 1.4089703033971976 -2.083933956547449 -5.886913292818476 -9.321569434383122 -11.3191476464184 -10.389535520731595 -7.05416314114714 -2.4373829591780494 1.8607463554641288 5.395605218029997 8.063917388005724 9.24048835494683 8.787448864710505 7.2509758264055195 4.859466222529245 -1.5865559983914888 -8.558750632745774 -10.903112871808322 -9.78211509046638 -7.968586172102338 -4.819141019485797 1.237036932903697 6.642646527922605 9.043410094375329 10.415408605645688 11.112667805968734 8.505600896943125 2.019017822117092 -3.188857958072219 -6.485335510177997 -10.828126372425924 -12.745047749521525 -10.15319638009144 -4.347611697950831 -0.42475035593672683 2.5850750056324405 7.158855838876313 10.115635195649006 9.79390698126339 7.7111860502675444 5.402867116844454 0.20577466486476004 -5.974566882015992 -9.291155057211387 -10.004709861045633 -8.317264486486863 -4.974883522047555 0.028677238774452843 4.82779223473421 6.828313133797466 8.180060446648973 9.999752410140072 9.00030914169928 4.3125815653520165 1.2099666131615936 -1.374577013890605 -6.457345709476756 -10.289843951113141 -9.318784372662424 -7.818319496164591 -6.560937200605148 -3.7960717008484175 1.5757698907038993 4.66884503221648 4.328628726325908 4.630261279847537 6.20024900765951 3.4812110652319226 -0.3485359971656585 -0.39047985656091494 -1.1158988354276023 -4.733867468040599 -5.3693626009385715 -3.9092271857867837 -2.777469128501463 -2.5634424938305567 -1.4761606961242142 2.442448807613613 4.909857606636079 3.634119791849984 5.343387746478109 7.3122666699500165 4.4005375306908725 1.3245579498229043 0.8897521932557273 -2.6731467500486934 -7.46759100890921 -9.575392805575685 -9.627214996003797 -8.708108440465821 -6.817088415739675 -3.363697827885181 2.196732874963301
10.10114487649508;55;13;15;4.024237903906234 -1.9218213734108829 -8.27459639447805 -13.981644382044056 -16.50469735024777 -15.220239689544556 -10.365703826922196 -4.191000690384719 2.7066625746134862 7.615580212123905 9.84827275004961 9.363870347127982 6.721149498288182 2.5621446989279226 -2.0825372501822725 -7.707608073385916 -10.741532665537406 -9.55221944969427 -6.015601655719341 -1.1259122179447574 4.122410633643272 7.446406850322128 9.421297456871052 9.48334754637689 7.594450069938629 4.957836940786908 2.2955486324439485 -1.5497482274096555 -4.920445725803044 -8.09090480238713 -10.856804435506415 -11.31848582890306 -9.623177282834515 -6.916937262706673 -2.9532377001800594 0.0577595864110097 1.1970426428098324 2.400419915802315 3.95427732050256 3.899755666202741 2.8072814542626303 1.8458845159234643 1.0762283251292382 0.4160748354554833 -1.2793293122757041 -1.9377145626442187 -1.448651600416369 -1.8256019100368026 -2.0424388334367443 -0.05744868108873093 2.4330267809678126 2.8330206578612405 3.00622616549253 4.715029595208471 6.278635063889885 5.83293750297723 3.7392544799712897 1.1628096794826361 -1.9771974403862602 -5.576058788924085 -9.117319048350975 -11.686102841355304 -11.27063036806215 -7.774117602048728 -2.731639831378642 1.924988932963731 5.516567853121692 7.705753022568027 8.120742529136002 7.138819678956138 5.515676730799515 3.4399932652335856 -2.163903920942817 -8.730335348586085 -11.03495165310239 -9.898480146783019 -7.967124049494846 -4.6423059542822225 1.6207078915251762 6.9782248918247785 8.664230413135144 9.126501944547567 9.217040807581668 6.474813503170818 0.3531711596760858 -4.351765629337845 -7.063479388337282 -11.156456755863069 -13.602899649223517 -11.514715070159411 -5.585894886465391 -0.8197271463043478 2.7690910692444177 7.2014856554241975 9.452820430574786 8.303774391464 5.860519496040208 3.7007758111405336 -0.7676627765961768 -6.209850315851976 -9.053810315825004 -9.646158565493813 -8.108958989348647 -4.668249061699964 0.37737647417796244 5.032528371161418 6.600179556063037 7.210034305643344 8.395984848264494 7.171462383871415 2.843282656895067 0.21019500215880907 -1.7024307808494992 -6.1624012708143825 -10.098477085229732 -9.54411409890443 -8.225724198211363 -6.917867704365985 -3.903267348561388 1.6941270107825295 4.841891870664282 4.397293163439028 4.331827163024637 5.502181151234652 3.0201208537272635 -0.21946905516033136 -0.03634654958168082 -0.37930581418592685 -3.432083898009726 -4.090948635516061 -2.8988493140760205 -1.9836955697758136 -1.6822335160346866 -0.7087216548991478 2.7303235946630147 4.84850099889053 3.532623708228092 4.797205617988298 6.459007825559516 3.861044560936524 1.1631153612319654 0.8845874417414493 -2.2046251838252826 -6.91402276033629 -9.409860483984474 -9.907586226896786 -9.35527341344234 -7.32114561580713 -3.4778255095311463 2.2655239690562223
10.07594625474318;70;13;15;3.6886188288319812 -1.8133283615517843 -7.553424773918915 -13.252354884180598 -16.399346579751583 -15.393010944673666 -10.210790510027657 -3.505144097831185 4.13606523035036 9.191849986950551 10.984616903471707 9.891644414622046 6.777186164923322 2.522707577759628 -1.9130843035363452 -7.191622847858011 -10.4337339352601 -9.874728483482833 -6.877651329609049 -1.9149966847478572 4.1176188938936855 7.944401217378414 10.027091528005517 9.815450498426703 7.571891905101963 4.659797061211578 1.8447915775345707 -1.7888821726151063 -4.69491766308168 -7.328704671381891 -9.670324995606975 -9.78220208015031 -7.856665940675774 -5.204359872543123 -1.39680774955696 1.2073885868886511 1.8177503123468999 2.6033014321681405 3.8404895945413924 3.555116804781179 2.4343469364111305 1.4847049140613933 0.7578010212900249 0.23165561815333374 -1.2756178974108408 -1.8519611761024641 -1.3985038744142224 -1.8899144272422845 -2.278605908482086 -0.44334827191764886 1.9542766197492043 2.240801152924648 2.396906228489024 4.157854058422352 5.696699479387469 5.224606464700638 3.2948822938829885 1.112809922932854 -1.5742048551084051 -4.7279897490768334 -7.8352936192104385 -10.30135094650337 -10.334228175606523 -7.377469000440502 -2.4874931926264225 2.316133523290352 5.962507593314407 7.987663622907836 8.165066208809368 6.9566730236518115 5.1254403127731205 2.9166334022608518 -2.1185128778476336 -7.906308517583341 -10.135232662401208 -9.333358972266755 -7.993833362048641 -5.21032527710829 1.433281136385681 7.421946743036021 9.207053000031586 9.53249810963215 9.219266351655325 6.092445128076503 0.2460337515565068 -3.950015256746507 -6.356747359393019 -10.264671224336283 -12.977937923173233 -11.130742605293431 -5.032738273076827 -0.282382386794645 3.210972044764338 7.880756085028041 9.953851085558956 8.321368576976898 5.6318949485296805 3.4546217984419507 -0.713500998618775 -5.73669289539258 -8.407841624981891 -9.066440522014137 -7.9043870894447 -4.935792097883197 0.19770471887627974 5.294461268648653 6.815287646484559 7.259506382770407 8.260765995811653 6.742951200833395 2.4735980736351832 0.012763345996341754 -1.6842040063550636 -5.55574948139637 -9.01572831995297 -8.301804679858865 -6.939928984128045 -5.888180558533965 -3.3077603294897213 2.2551721966685805 5.251385369001577 4.395900980537416 4.126957410442913 5.217565171724627 2.681023931089499 -0.4655074150741295 -0.24295318168758823 -0.4402844952496426 -3.2481824868011686 -3.7584187380975225 -2.528605909086572 -1.752829820048519 -1.785207728365913 -1.1322642916549928 2.3003254099678996 4.421242815259835 2.9834366080966106 4.345643212585098 6.000365503760641 3.402522980818943 0.9440171409982697 0.8526770159854938 -1.8217447874513568 -5.8922127043634775 -8.050025218279913 -8.509629298024315 -8.221745638027151 -6.870065829170373 -3.5725454447336453 2.4357412070651567
10.351159585590231;85;13;15;1.5697982228814888 -3.9449218367730516 -10.398874733198294 -17.16342499201223 -21.535181331256357 -20.85278831995817 -13.910287788192676 -5.250451182593941 1.7357383521109644 5.805189185638578 7.375172042028251 6.83209474933726 4.679821390534738 1.3044896037196756 -2.7331203957991264 -7.894798042605754 -11.378439814984926 -10.985597186027999 -7.085885843165175 -1.437702730838233 3.355873544956032 5.654951042317161 6.720155032221497 6.488052637147457 4.997911000420936 2.903703951559003 0.5523334321054938 -3.0074632415957816 -6.450355914393631 -10.079529340234885 -13.546865766258264 -14.12407085174858 -10.657497151273898 -5.893411770166765 -1.0710436487854265 1.7269487404673332 2.7238658284868045 3.390227510933575 3.8598420155458792 3.1309425794251617 2.0085169494111943 0.9928212243424372 0.2178783659919055 -0.2714302985982038 -1.509571867907326 -2.0522399611251108 -1.6686245019219785 -1.9845191881032604 -1.9797041351183802 -0.0826557252959007 1.8774730798488797 2.040597005050813 2.120930064386904 3.2373539281478214 4.147474797294588 3.685760347818049 2.0684377054337983 0.09065686663630637 -2.723441575606365 -6.47233437997659 -10.275432892114601 -13.018728429844106 -12.668979794388513 -8.643687360134795 -2.4801978897733368 2.2594077243791206 4.824121965989845 5.963019092655914 5.9151392747035 4.99548120456941 3.5719684463520527 1.6487998181153507 -3.049421497783728 -8.970447057838904 -12.052597338926116 -11.769866947804953 -9.23026923763527 -4.596077896448267 1.3772302034423767 5.3594015034133715 6.425468778941028 6.564391304176861 6.415540820293491 4.162686857302754 -0.9213855526764526 -5.321132736498025 -8.514331612378822 -13.256865821230459 -16.480355548931808 -14.024260976159983 -5.845106398680567 -0.284884297094149 2.8965262587585903 5.882436024968209 7.035195479706589 5.842452782564203 3.8385302389005584 2.150184347133748 -1.5468925300656091 -6.646629694368151 -9.922954868336024 -10.96094361368483 -9.184178623501921 -5.0071215509531894 0.4610106180398201 4.393479535695548 5.308058800123082 5.372954148210893 5.855232611009693 4.734530246634375 1.343050912750165 -1.017285415951775 -3.004810056235924 -7.216428826127423 -11.346352452211857 -11.602940007600978 -9.563546898376867 -6.4312877756762274 -2.577844157943233 2.4409087422493205 4.709195719045406 4.068670842622614 3.6146066139095945 4.193433535067097 2.05334290751957 -0.8058535095731254 -0.9338226417672589 -1.1807595616212097 -3.768359919177016 -4.363388494987069 -2.8472247642097983 -1.4170054493201922 -1.3561859158832261 -0.5507888825805651 2.288056384946446 3.6726315167606334 2.470225657568594 3.3351362481833835 4.451060443199808 2.309028379886337 0.05657674418377473 -0.3078222588908528 -3.113077764813644 -7.578254413382356 -10.52009242204327 -11.27297769769331 -9.721230662725201 -6.970374677585991 -2.788419389914542 2.5430436781099925
10.128548662929877;100;13;15;4.360079672571346 -1.8651427229083413 -7.411653858472485 -11.90572256474416 -13.744026145091397 -12.24514239308867 -7.830032483126366 -2.0893334062289695 4.855152578082535 10.111921084103937 12.598672909245028 12.079054994516216 8.734577230735464 3.5882852753461267 -1.6487212622388485 -6.826113073509284 -9.565412653117793 -8.855553171056886 -5.802068426535684 -0.7735532830434807 5.512275782116597 9.959985598069682 12.53924573268904 12.567015623469306 10.026694855046799 6.095624775003504 2.0461920075418076 -2.3123991389570175 -5.316225126489443 -7.4539391958720085 -8.9107449938817 -8.500885790913166 -6.764321169385352 -4.673600319096587 -1.6697762453372087 0.6355348022898009 1.6282935659432196 2.805929982533098 4.152649291653466 3.9481403722806827 2.8684971387202127 1.660597707008641 0.6539663505002072 0.037124980960240125 -1.2948091265310058 -1.8389570882518036 -1.4688166790481276 -1.8532947279571075 -1.9701239612271952 -0.03373407539390214 2.3410866881049732 2.887716639487655 3.296794327135765 4.907227038594042 6.0424629434428745 5.246210526683963 2.9667251938962313 0.5681136217394049 -2.213481255587436 -5.1218539848818345 -7.461702851183372 -8.92144890050989 -8.612613949117613 -6.1594798092692855 -1.8635099265409796 2.84024984855454 6.754808242711758 9.18159703484385 9.725320138948337 8.472826663625746 5.961320358108133 2.7699148615512326 -2.4873059908266053 -7.594545145471251 -9.216016151902743 -8.25998769491762 -6.777751680666635 -3.95238520369549 2.1790781446303873 8.088332260656188 10.709510288250147 11.500394745593123 10.870748103125116 7.036022229662657 0.3642127602572908 -4.1808242891998795 -6.534097751484194 -9.501523949652416 -11.200976684263381 -9.21904269698603 -4.002972488570533 0.3350038861254581 4.032341862861131 8.844370042451843 11.375452506441007 10.070163252147765 6.93194429222173 4.057756073000579 -0.6269544401389489 -5.726174798729264 -8.086695197602399 -8.277274284908142 -6.929458209852787 -4.194276025964043 0.694037104526246 5.93518239379839 8.214794383565923 9.119768943011405 9.874877674982688 7.9454297834012 2.9979899822180602 -0.2866659545581355 -2.4409286586950265 -5.893893345057 -8.472159709527144 -7.6397449852411565 -6.259245842057182 -5.162129512623844 -2.8791604169740936 1.9462385989747262 5.100966287137585 4.963619667015823 4.902079685016551 5.820501457762631 3.270096149261513 -0.24483707377761318 -0.5935043404722785 -0.9187267999768234 -3.499348149170313 -3.936512022089458 -2.5941655104008707 -1.5666482352447944 -1.471264916712647 -0.6531338550330856 2.6839050294212528 4.865420144456134 3.78376222981585 5.010922221425679 6.328323571350566 3.4968041400557004 0.5880085104128777 0.018144658328762872 -2.582981420717389 -6.017163294525248 -7.552439354779359 -7.569045337482816 -6.943897105550185 -5.664436132291897 -2.687972575860211 2.96787867710514
10.187727444548928;10;52;15;6.3026755329407145 0.8772072369568481 -4.961531997399279 -9.76834357962409 -11.729770966770573 -10.927337063071612 -6.5722869186468325 -0.8369966863168203 5.598933513412486 8.156689450205668 8.92675066496827 8.247042503274894 6.304672120166271 2.7193869036406286 -1.5290048413591317 -7.183589872485201 -9.49388486356844 -7.085700033200301 -3.24453935883819 1.189518992036431 5.884584322202539 7.903271102981479 9.350640955995942 9.581128126618776 8.427450060818096 7.094390915744587 5.671138082702811 1.9103593558791592 -1.3952129676814755 -4.775016372209264 -7.944675143701195 -9.019259405203044 -8.993193816310331 -8.451605091090748 -5.577396690262924 -3.5921584868311855 -3.872413847465179 -1.7538437718044042 2.5144425139100934 3.194140584800136 1.8956497482853718 1.6478516305605164 1.4088603484367104 0.662005937088996 -2.0051872410875013 -2.364483342313125 -1.3064673099919049 -2.5671242452132 -3.633124016746126 -0.5051973282639238 3.3395567159619586 2.8456432089581853 2.8000091166861023 6.24832994576117 8.28585590840941 7.547093581924737 5.309517791101952 2.76169920784217 -0.2657889741005166 -3.8613104842083836 -7.5353058666325525 -10.362174133507061 -10.566752992585723 -7.160683748912815 -1.6217290592329139 2.751919653595418 5.904648318821571 7.687795568135038 7.931327015842506 7.321401978597585 6.617153679108885 5.321565862326224 -1.4141603647175853 -7.977683901206448 -8.793864262718728 -6.729710409860848 -6.350060288409971 -4.078681350288286 4.018998341263776 8.372844896421704 8.410908102522011 8.72741832770678 9.388904586328024 7.500941031136433 1.1986168951199094 -2.58810772279137 -4.107919278974551 -8.593985630242155 -11.382874897030401 -9.85103806092014 -3.3923550134415312 0.5190334331384443 2.9028643271297128 7.663183054922686 9.144167113642553 7.888006153245484 6.133478509944909 4.883522697681918 -0.003539347174093422 -5.423118050102337 -7.302410125641074 -7.821652244935308 -7.1210053183613 -3.8742670756916184 1.981521092838535 6.361084582235987 6.352105855019492 7.0328537174151995 9.215472209601046 8.431578939176138 4.026364627698949 2.9837167148788644 1.7885038586716095 -3.9517731442793598 -8.11977076318491 -6.633605598890187 -7.087826061075545 -8.607543494420714 -6.439253247054308 1.9862258429041924 4.342727318379772 1.8752045628713592 2.9256152611059676 5.94104271482537 2.5492289925961344 -0.6521426075847059 1.9287338388569075 1.0637590498553777 -3.8729938946776223 -4.255401241150338 -3.0633697716637625 -3.384630677467304 -3.50913622840609 -2.304051956845853 3.582559266391134 5.912118992877459 2.8596718613061705 5.939060741866714 8.165443396078889 4.890238997198766 2.5754055803255436 3.6372528123063983 -0.4728140700809681 -5.95379165774115 -7.968932043085642 -8.693301404426034 -9.786028234408274 -8.912065845242491 -4.319465315818516 3.565942844925606
10.019874245380194;25;52;15;4.903099900029678 -1.8099333281673735 -7.49958720649352 -11.307712330527728 -11.836194842007718 -10.16903894132873 -6.848690724035151 -2.982672225552006 2.893495886129213 7.786336786173204 10.5634149416362 10.325773043489516 7.573272605365296 2.8413114706572187 -2.3136876301553855 -8.18574582722966 -10.146058354586899 -8.540489758295237 -6.171624960980823 -2.5251285834611634 2.7330305396475407 6.9932413990234705 10.687622291938478 11.740203034828397 9.598049359936791 6.428117440837321 3.04254575036815 -1.866904264007919 -5.38881732181136 -7.998997069686712 -9.76195157764893 -9.423315352377259 -8.045894252169454 -6.185446577881056 -2.9164396720428263 -0.5142475610006086 0.12203865608302067 1.8209496189424688 4.616964384720769 5.049290587337212 3.647473404250674 2.467158749271966 0.9786424277999892 -0.8605614957759221 -3.86550408289127 -4.820705789920326 -4.479271280496001 -5.139553601891656 -5.166154003361171 -2.520847125197508 0.7603501669879027 1.5001421033715694 2.36825913373601 5.507103375510133 7.931166954824076 6.70621023792882 3.3449650385912397 -0.27597255193428033 -3.7702928299539353 -6.862236061699223 -9.30218882872104 -10.527677922481946 -9.202659407873433 -5.8956053020367385 -2.069203993367622 1.558599170972371 5.42764351862133 8.64329512784187 9.740692955892406 8.850647913961684 6.985957926767399 4.1843709497952934 -3.0836582016673337 -9.378897723845249 -9.896863530496866 -8.449160333013584 -7.759006450073921 -5.68433832809882 0.5955480368035962 6.887094498939958 8.723929693422463 10.123163630855021 11.238460456270946 7.420894515819207 -0.04429205682729961 -4.56763261776197 -6.610068974088679 -10.13471698755487 -11.251131456429924 -8.90497583804348 -4.4632505643860245 -1.4478273731611346 1.5144936614263018 7.376804664416245 10.882650379639124 9.74951718943024 7.153007348446347 4.414950677441827 -1.3234259488740125 -6.886181190056465 -8.794482933350835 -9.084633892469942 -8.093095550587215 -5.568584287322103 -1.2721655378247203 3.547112709983433 5.472370830428129 7.473185058705595 10.724787068583158 9.128222252536961 3.3065173380879624 0.4278047854056245 -2.1346160601779762 -7.218257697242362 -10.028442038656614 -8.166736145579854 -7.55989680640329 -7.2737988706378385 -4.6164564477643895 1.1805900229191444 4.0328293530498724 3.3209513623630604 4.459449728317995 6.788193491569059 3.294910478540582 -0.38010790256660126 -0.05894633898210771 -1.878791752275657 -6.106832260720049 -6.425350903727389 -5.542033643951797 -5.178955405248274 -4.3254380275171345 -2.653578072689957 1.9070586193121282 4.78434923862095 3.2732837992394352 5.873273575539255 8.063023829972398 3.805397260126654 0.40989987274172895 -0.13831833629014262 -4.298571437614794 -8.501482192186188 -9.266129864938474 -8.815983999548386 -8.351815397108822 -6.487076695691535 -3.0708975109523085 2.43650254077891
10.274929996693572;40;52;15;5.642590504148212 -0.6646253227647333 -7.611881841519717 -13.603559378986443 -15.524681313939645 -13.253128744408837 -7.990587602961853 -2.021118531802398 4.386330723470199 8.887665852019893 11.147563195739057 11.118848249032574 9.217166768643995 5.412955136510421 0.2393900884257389 -6.788891927549417 -10.752933185554507 -9.677982175545207 -6.194020977046645 -1.2820537421867004 4.187474393759172 8.055617180323882 10.66067567152692 11.296026053590833 9.821143799260536 7.336885446419612 4.330349730232775 -0.48038560867537283 -4.9331048125672385 -8.880216486244652 -11.79649553393206 -11.704069342715421 -9.218096249224871 -5.469268861096963 -0.5075458757506596 3.145443063818782 4.516368470348183 5.704885556603996 7.169686402484304 6.956788545952071 5.241428877737711 3.492207605156852 1.6136483307155403 -0.40739987202335765 -3.3602380741759266 -4.48065232871807 -3.7897193661691304 -3.4789807325337336 -2.694027579799826 0.32448757275066303 3.6926248777563146 4.761415278349707 5.228034554164942 6.927543310132355 8.21655018334636 7.219455636371673 4.398096948118539 0.8243690940101217 -3.1608935583586857 -7.225269065767101 -10.767667846177265 -12.459537864019438 -10.410466630520038 -5.401084607039135 0.016852905017247836 4.3404600192578275 7.722102907641994 9.881796486483726 10.348565036596582 9.392942299497307 7.684084240259859 5.205080412287027 -1.6211563191539204 -9.304899427272293 -11.88120956773022 -10.47102397704964 -8.216002231135374 -4.4798436726162585 2.2654679476997717 7.874494915537513 9.962130415716654 10.849386220421852 11.217157726552752 8.647245851327224 2.394480260183591 -3.0251966106029675 -6.667269910653535 -11.552911196496762 -13.631860950714888 -10.712860865714156 -4.543939759488124 0.3505168869451789 4.148987025960023 8.623174065990181 11.055217730949103 10.449713857400226 8.472877465601162 6.048924537165178 0.7496597437607222 -5.74297842199461 -9.485515760056927 -10.521793940260938 -8.870577333347764 -4.910999342045743 0.5306741751677155 5.506812134048336 7.722656857949259 9.068893896261919 10.634675498876522 9.497779482899574 5.028442639686605 1.8641017215526676 -1.151030489179477 -6.940541391502911 -11.367900840797468 -10.313828746766255 -8.569666098285282 -6.617543127731924 -2.513244574780783 3.596918479538052 6.8959639671134365 6.910774482740583 7.246670185009732 8.162624930319563 5.33471661478399 1.5711107232326211 0.8141676397963105 -1.0787820770884504 -5.344554882875482 -6.340792755442829 -5.176356153492454 -3.785527507279923 -1.9400935565203299 0.373562281001536 4.473630090674753 6.995244945423741 6.036868462889984 7.152880691466545 8.21653069765716 5.063853008385791 1.7157362921468902 0.560867946501001 -3.629743945587351 -8.875095925489813 -10.929686480455189 -10.394037410854327 -8.674053719000998 -5.22116488764341 -0.5384493959151281 4.867531210105741
