rmse;hl;T;RS;preds
10.264643910872609;10;13;15;7.149474871361328 1.1207466877152379 -4.061827273006262 -7.309727697853245 -7.8866279714910705 -7.37385788468121 -4.982019459799681 -2.616944629034719 3.320248485716908 7.960157484849245 9.108663492002194 6.504181220465506 2.854393675244048 -0.5176973978858952 -2.7217393614712275 -7.148043103961614 -8.255536606770303 -6.723265518157859 -5.874525265909406 -4.093833561393908 0.9581685357902798 4.845415648780909 7.991194012240443 8.003055229623634 4.661785993344948 3.087922701134536 4.742394114061625 3.8303051903056313 3.035753247888178 0.8680788874839943 -2.945105730546937 -3.732575146878197 -2.3439663034201863 -1.409815925922765 0.8452319168966811 0.7954244075483837 -3.1109183328997716 -3.9567054593581776 0.28045522152877883 2.6382354453581267 1.5895810688420602 0.2519313041682091 -0.3238523698866941 -0.018804601373982224 -2.167027720492735 -2.3282429180498814 -0.5478403672437657 -2.207000002196565 -5.3442173629018335 -3.609217511808548 0.6981212266919065 -0.07040270637628981 -1.997156875405209 1.609710133744672 7.864752766854851 9.35841157048202 5.934010468776488 2.437769458535663 0.3827028960198239 -1.1033430924079157 -3.449033315985337 -6.867861858538328 -7.527753074315035 -4.744202538408927 -0.846595823959102 1.181039933564429 2.395671322935957 4.411968323117979 5.20854677721226 4.942310326081652 6.038000024698542 8.03428104656706 0.43353757955596384 -6.286858455488904 -6.7468056225467254 -3.767191125783736 -5.044027794257231 -7.654706514959605 -1.0400767131413733 8.356006477282786 9.0516511490721 7.335201326138732 9.383211285494188 8.710884024502882 0.5857162887464865 -2.8027598132897316 -0.062395131991187146 -3.578595751230328 -7.7633489750956945 -7.243266883413433 -1.9661106051694117 -0.18455926859731958 -0.9296130369825297 4.227042173432729 9.10892237330157 7.152660781545571 3.250327569609106 2.9046417003517657 -0.44942023884563037 -5.437617142661015 -6.16225025672308 -5.2320431215981955 -4.634268803404583 -4.192423145696338 -1.177327122672709 3.3265820306244662 2.6229816303016746 1.7387763798325275 7.144386322810171 8.625758007561629 2.1788707612238984 1.680769918794482 4.133845601575208 -0.28945247335603663 -5.330404097011258 -2.0385023762595544 -0.6862381707061351 -3.811074637656416 -4.941270012259622 1.7095447144035052 5.165161194290394 0.8453909340389046 -1.2290179586780856 3.4139036671881064 1.2353938717536315 -2.4587951219186253 1.632146165065101 3.858912965721509 -1.8322435724048403 -3.5289166386555113 -2.1305543378559273 -2.125695094111611 -3.478908357116704 -4.694675831760355 0.4269709022954738 4.467599965784742 -0.2787757075092331 1.8543908891562202 8.556672888337026 5.018315648642237 1.6715371817009126 5.715736301818659 3.7179520982118333 -2.959890671207008 -4.956615688422304 -4.539126098338186 -5.586667702817423 -6.685150118247194 -5.538192179509458 0.954357343757949
10.089870978174453;25;13;15;4.794936579072674 0.3514454148314452 -4.461819758064747 -10.264470800104508 -12.539319234780049 -10.919553226153578 -6.14658097893618 -1.5123009082715704 5.526840638876325 9.906219710143848 10.986204291224055 8.3380782513836 4.211782095119034 -0.3883009389578422 -4.194340746288886 -10.40938726252184 -12.810682509922739 -9.589763501360885 -5.974171600892215 -1.7449134108521747 3.9988369161987425 7.503952961952817 10.09258919266486 9.59445703394923 6.130384460866895 3.421146080313363 2.682035099175499 0.22033665096491867 -0.8962392707635078 -2.584777061773067 -4.954567255345126 -5.244940212137623 -4.241609548701377 -2.9958309810606933 0.074216947239472 1.2591556258571504 -0.7613374087189079 -1.072225664610664 1.6877624975474923 2.508846293563524 1.2351600434832284 0.6615097044370187 0.4796796915821966 0.2654811652958449 -2.2700843990443267 -2.554923072145211 -1.2462151232735286 -2.2747856695226267 -4.085634261745424 -2.238253481859483 1.1339291044179545 0.6477576792839301 -0.13920075964392614 3.224448486598737 7.7089869510578 8.086764358593037 5.0934761273924964 1.9864189600025166 -0.28651709346151066 -2.660069416884164 -5.910060899753451 -9.573195098200884 -9.656428219619826 -5.836190999953973 -1.3734657206784022 1.8468328774576666 4.791573905850685 6.947669939323817 7.029598911401283 5.891432846038961 5.45560652649992 5.213384099556227 -2.259223215067592 -10.556571024061114 -10.939095980586501 -6.9532648506332135 -6.264064374629419 -6.090807369105244 1.4649760017048585 9.197143831155781 9.551074930614718 9.086767144680866 10.537567174912049 6.749231856013124 -0.8540019516695143 -3.6067097732002207 -2.8241991168116933 -6.900397392163003 -11.1192356099032 -9.503178841399496 -3.0934629829224254 0.04659981034418613 1.4933301152023972 7.1996449537122436 10.50885222820557 7.886177282130545 4.23928544950774 2.612871341276622 -2.175368987305392 -7.54907181013507 -8.54349055443208 -7.675654326767363 -6.282838836173877 -4.152202943393308 0.1139110359340949 4.83279100993155 4.66576455352916 4.6885551548012865 8.700108438375135 7.9175979559659755 1.5220937761318776 0.41219466060379617 1.0344779742858834 -3.557255789927414 -7.973065096948513 -4.458009261949888 -3.2087451916535064 -4.765585994553806 -3.963255434599353 2.6818555524678676 5.104226660491273 1.6918203923234478 0.9678657977960342 4.361371643357071 1.1190034144492855 -2.3152863265666466 0.6280280710099239 1.502124076330225 -2.976581207883244 -3.5703327751332075 -2.43472907790072 -2.4336378793055053 -3.0920554898364414 -3.349172638421325 1.4404574373511507 4.411604358280417 0.8035332379255806 3.4005942455468525 7.937142102233843 4.276039634844272 1.479956669153771 3.895305273972894 0.8800754608153804 -4.932587745885961 -6.8903427765356655 -6.484146883136781 -7.254045949128539 -7.133400304445084 -4.5868994409174695 2.0136881381620833
10.365147643069538;40;13;15;4.992320695372873 -1.9572540114691546 -10.9450509463896 -18.64642373181191 -20.54466529213917 -16.744475715031772 -7.92535508285913 -0.3766330126523429 7.617404907734016 9.134379034406777 9.43796120072464 7.269267321224799 6.187264579477418 3.1352478728622137 -0.8696714034357828 -8.614526330329124 -11.363138677540416 -8.923400253099803 -3.195516496438939 3.2914009667321196 7.982409445998479 8.460579907963378 8.899117869929878 7.939023863076612 7.25964278259481 6.489761810457309 5.1052284336914076 0.8166403215620139 -2.178150395459362 -6.90970598426096 -10.435315059755208 -11.768342888542502 -11.093494318552178 -8.69984302865755 -4.5385836306692005 -3.008139325419284 -3.793093869988134 -3.290866932870561 0.04092582122018332 1.8185201710496783 1.878818810259273 1.791453330894932 1.5350044370619975 1.1044453428849037 -1.7637717304519405 -1.907530708134901 -1.8239464963516192 -2.806922965583242 -3.986479592456186 -1.9047059791183338 1.7288400701753341 2.1188388323852325 2.2076309425660217 4.546673240518162 7.64456865439666 7.48416733232236 5.708767036300942 2.9220497279410544 -0.20659740910345395 -3.8388921987834763 -8.573524960664404 -13.171904040812464 -12.84088393634821 -7.4999810957823545 -0.7933316925301716 3.8095644139456253 6.396248596150284 7.369014564240967 6.739855064002967 6.386896161251626 6.995051480366681 6.47277237722709 -1.4503686027977747 -9.578702589069845 -11.722129792934183 -8.434795204568161 -5.681128408761811 -3.175209624622375 5.09079440941631 10.883493135697034 8.99582812910069 9.132424202229505 10.426238473336205 7.344753489351691 1.3632841912941247 -2.984565816991789 -6.142006713396417 -11.645585134333235 -15.20144295864101 -13.235431563110165 -4.3664317420896674 1.2637505949416883 4.422131849829597 8.1340582140345 8.626664092109444 6.951987411316619 6.613145890390872 5.33925782424386 0.13298874351673154 -5.389163192794665 -8.588810787924544 -9.403277800622142 -7.1844194061111555 -3.7263964436080337 2.1338308084930557 7.013747303236866 6.073936507006135 6.162544199056993 8.613727682232877 7.11123281447086 3.7563945793340747 3.324508892477052 0.9286732916189503 -4.5048107557803085 -9.541944924145955 -8.415777867826169 -8.407315511373483 -7.858540742343829 -6.4772218083785 0.9541271690542709 3.1325431896094695 1.8882371833383487 1.9831483218661252 4.216285029117975 1.4381217643376367 0.563146989230277 1.619849825282893 0.5632191906679387 -3.0162843435049953 -3.911989978148393 -4.476577383964064 -3.733700793388248 -3.6714676775874233 -3.338885238399791 2.3208358376448595 4.57493236128085 2.7843681975361627 5.587224353996803 6.945166028261583 4.212920964061042 3.5547744133852315 3.443027465409056 -0.9775800185982412 -5.7656079183720985 -9.520491876253935 -10.852141788447781 -10.965384263070078 -8.944109365214857 -4.343424014566453 4.161424463009565
10.34867555677942;55;13;15;4.097143958007769 -1.8956715785041243 -7.894910781236127 -15.45741114748055 -18.816533798530244 -13.950998960271807 -3.632753092733849 3.066728882500624 8.807508685824708 10.794826986578574 10.638645012133605 8.764630426739519 6.105108738304263 2.2675689225460434 -1.6478002154654001 -8.752704919787991 -13.755002155450917 -12.029772637697889 -6.314911584680045 0.9204317149840766 6.987344194370504 8.845723601933788 10.265553912851033 9.601457963711894 6.970740299419462 5.338541377207014 4.334141784534641 0.5404442040440772 -1.6407279541619102 -4.4193760994404725 -8.352431979988516 -9.375209361246629 -7.05443872446583 -3.0402524371387956 0.9140045691766099 1.653216110389097 -0.3697878379187517 -0.0005145418844876536 2.6785809128060154 2.4091735137167998 0.7845065062977269 0.4189970364128939 0.2922896025944777 0.013604579734784537 -2.491170768504237 -2.752437498991938 -1.6747363971148836 -3.3654758970247056 -5.2572019300256265 -2.9406871765414087 0.8867520930363576 0.11652346662703164 -0.32570007426820424 3.393380712996661 6.850065426202207 6.054390272985852 3.6894302686036777 1.8389669222780016 -0.3572928136984482 -3.2362106185400186 -7.450134615055656 -12.134716992390757 -12.977793172339176 -7.313855880293816 0.7606612420976355 4.445487188129796 6.222987415121279 7.559096766472102 7.261212772410374 6.398020402032565 6.311254107611132 5.822541887788888 -2.377783543047882 -10.68508610351159 -13.152977869259235 -9.150815644003707 -6.09831562270459 -3.9993944288911343 4.276767912478133 10.366474472724043 8.562797658003152 8.638420921871916 11.276138124092075 7.188488004810148 -0.8037708025604791 -3.5812482406727146 -3.8763287312007537 -9.797599254205878 -15.488474119735663 -12.763982272084412 -1.6036790477762235 3.2654780409210495 3.845804664229501 8.523294598654438 10.14333688651707 6.949189127163966 4.878974181088598 4.555361422190331 -0.5707928128228439 -6.3719246235276135 -9.175095508664711 -9.638807589243015 -8.0095012480006 -4.036776331786904 2.2675055940561424 6.3569042059850585 5.1365154913723226 5.479660913900179 9.391712613325275 7.390796085179508 1.4469578284724864 1.6350679745689338 1.5371224618863193 -4.315348616016224 -9.90591463313039 -7.568503913690036 -5.304714999470592 -5.19445766284203 -3.4131636417550024 3.690678744547438 4.936535254944923 1.332171634919173 1.8724814378056218 5.524465820505043 1.264302109537803 -1.825124510651396 1.3405426522037343 1.0560820362692083 -4.202489939879427 -5.031101127225268 -3.349113833394988 -3.145318577389165 -4.013128360189965 -3.94104975196197 1.4213224905564885 3.7404660722890637 -0.09959022454071777 3.680040950079035 7.696272538854626 2.7950844566994704 1.2577323006486913 4.14530527457738 -0.042894698039493834 -5.897820407348326 -8.810820291910318 -9.038575986457754 -9.19916938175417 -7.8352894437056095 -3.1232298088869834 4.345277507953858
10.416031411471286;70;13;15;5.7583208837308995 0.15752933800789443 -7.119286402206848 -14.40117266236075 -17.22080199569736 -13.962231068260817 -5.1618107824219255 1.2744843390314657 8.814788678493422 11.103828262246527 9.525570947121455 7.081054353321946 5.464310366315196 2.083590438477524 -2.192920199914429 -10.208867690054074 -14.258981412761571 -11.794769658602895 -5.311177637069102 0.646877256692877 6.409243463094447 8.727574909137854 9.074056212065049 7.527101264805263 5.97074516842382 5.122577308295624 4.738413118166263 1.0018191762790802 -1.168938272502942 -4.7031079158030344 -8.13507538021678 -9.001133538741968 -7.5000520793644405 -5.25451116512231 -1.2813477339119266 0.2311589723003577 -1.0659409209157904 -0.7366204208961564 2.4835317736018587 2.932492317558719 0.8758135752306093 -0.14080604552374504 -0.4435384748615613 -0.7642930572097895 -3.951614475095872 -4.202775266042717 -3.349809402907691 -4.316832312065331 -5.8972121754782885 -2.9925765230055132 1.6593761978668995 1.3708219343963226 0.3747232453232626 3.7877192165584472 7.656148025203918 6.59416613319234 4.413333713196941 2.5973744770432696 0.04228713909456594 -3.324536464014944 -7.902892954633522 -12.801834615190877 -12.84705254881504 -6.878625614069062 0.06380368945585743 3.773264314759206 6.481172101107348 7.3843101343457045 6.476647245708057 5.888875349331426 6.2578925477362 6.32476882490646 -2.075266652399423 -10.8962302480158 -12.754100243989992 -8.826076890636653 -6.75048076271339 -6.141130553299877 3.3385295417741156 11.512445948446015 8.90740276742735 7.862125678400171 10.304586531989052 7.425463909936669 0.5351264811706088 -2.6774788363083957 -3.682414111454409 -9.800468521940616 -14.935166840214531 -12.796787821688007 -1.8309945745229765 2.6188424871609284 3.7860479707507886 8.51195671120977 9.20610098493066 6.420334299836757 4.858420258569673 4.764932793209091 -0.6637084514961137 -6.782166581105439 -9.415995692412672 -10.270310243607344 -8.452770056937936 -5.0666872150859925 1.2255449867287875 7.107234768597448 6.0270511551204065 5.205993456009554 8.476356357040881 6.77991903283366 1.9306545710780767 2.106896018678515 1.4636102636671613 -4.476572164583028 -9.821534639718518 -7.301563889995805 -6.09054431230104 -6.983627033994587 -5.849065473175578 3.2068125460375523 6.3452336699890415 2.4830119232506944 1.4387687936067062 5.094162302019335 0.66152057814751 -2.5864392606535973 -0.04531817082836937 -0.2863232369508732 -5.399870926968947 -5.867136014197676 -4.913550923454771 -3.773989195603479 -4.578404376343625 -4.501883378936704 2.325035177646885 5.377245523298517 1.1375195166324714 4.328200389122237 7.522857560064433 3.0867201557438912 1.4995420485318218 4.043458448549883 -0.19829204728283872 -6.142024111333203 -8.825594619828948 -9.280352330302254 -9.772105013557212 -9.113282727016635 -4.829329251267652 4.631799605418151
10.176666579848368;85;13;15;4.780890876746638 -1.17594120302834 -7.120253031574675 -12.81063936303951 -14.806445769192507 -11.78872909495081 -5.120684495571083 0.7748272511565459 6.689385737139332 9.97819775829722 10.200271286690363 8.09379660464192 4.836580280563531 0.7009661373151456 -3.6503232690939833 -10.214081503750087 -13.879639582750542 -11.100511950334159 -5.794115133713354 -0.43149123003928624 4.9269980539575995 7.8677598262489346 9.341826465302706 8.978848438715072 6.379230630303736 4.02782431459529 3.163797191210491 0.4260811718082402 -1.8318740402275064 -4.034401513415622 -6.57438580574069 -6.839988971972289 -5.158380605205207 -3.1179822431936044 0.059650546412853944 1.6577087796053336 -0.2947124568267967 -1.2708758287707775 1.1868421454825444 2.511676067981759 1.0888547037722756 -0.006404765615318879 -0.140906388124158 -0.20136704562007196 -2.5476180264475254 -3.402968102839698 -2.241296381003346 -2.700724567606843 -4.51598023119689 -3.1154814637599912 0.791668888913768 1.2564570318822812 -0.12285154874000952 2.4491332689061442 7.090101976368113 7.7423666325753295 4.7893205250781685 1.8026678669677894 -0.6327024574839759 -3.279871088863103 -6.825529198750748 -10.711383432922293 -11.040453576631577 -6.474049120626214 -0.5114561490329864 3.205101284975286 5.239757979888789 6.688830394997124 6.85990500333087 5.939884012235425 5.50530408088773 5.42122959524582 -1.5241297654923398 -10.951213295599182 -12.803773441266301 -8.406808187536804 -5.509973074001379 -4.880836191081201 1.685619941632302 9.654001820557887 9.929555910713582 8.299350444098067 10.13480633015218 8.030437494372308 -0.060084925207643414 -4.950851751965118 -4.955298664607607 -8.267690109491497 -12.48263118939164 -10.873968544021967 -2.9548240440562026 2.1231051544438837 2.8179625695936306 6.647995349608079 9.921815916596245 7.80601037309076 4.251818227250869 2.9758730290582855 -1.2940646688159347 -7.367776957815784 -9.671954834325081 -9.063058363102947 -7.01072258074503 -4.087004523246686 0.6889608650153666 5.475203214536881 5.317473867594169 4.486804504326549 7.9952943579821545 8.253086546514332 2.1161708587791064 -0.10530303281117423 0.552828620881264 -3.623974441790393 -8.843426809117076 -6.4573255278700845 -3.716820967159781 -4.39917396320336 -4.194272546376686 2.159045812256305 5.878479038225612 2.3878546039173965 0.6960168592479615 3.9285047128653208 1.8521971833068793 -2.405477404844394 -0.5575280603842879 0.8904521122526262 -3.1798162503245595 -4.781546513802503 -3.4423719939487314 -2.720093690630644 -3.313422661996077 -3.7109035809001427 0.7503608806131961 4.634356406208215 1.4612961640952615 2.580143560450462 7.2683034755268565 4.707413822359788 1.1242614189047362 2.9261170176028743 0.9021142972389861 -5.149323587273176 -8.051901411782907 -7.798668178606122 -7.7637087644284275 -7.329228697237884 -4.460041688925223 2.5347751346731004
10.360742137086987;100;13;15;5.392673317722828 -1.879491671272556 -9.09959959769322 -16.148421008910084 -19.505629886913322 -15.146457127387745 -5.0043782442807805 2.2395652034953737 7.189382954678417 8.863935762161326 9.274585527377415 8.104867955695028 6.006843799502258 2.2987766456352143 -1.7886406892525173 -8.871360936420604 -13.656987746938633 -11.255686932197957 -4.475287152972018 1.6253399182150683 6.041699521976708 7.4992722210399245 9.225421741690194 9.209964022814614 7.263379859416432 5.5298706635469665 4.574950803093843 1.0810595581953293 -1.6899225341972384 -4.819221745912484 -8.200202816781314 -9.528781645173705 -8.43207695092472 -5.915135529955178 -2.0593023056046325 -0.32455837816146804 -1.9065924374040348 -1.983195901031321 1.427692571131297 2.8221462514525486 1.160269580711887 0.43531982420031684 0.35304463318081 0.1566135758577448 -2.4575588245306155 -3.26693224327539 -2.41038953831654 -3.340206437719316 -5.21466084295535 -3.14306589253412 1.3485423975172832 1.2955176616985276 0.005569212145666309 3.0038548267086047 7.303918443962646 7.1807494025277565 4.553508889881363 2.3012485444937623 0.0922681765517374 -2.983644422259605 -7.097701129995252 -12.02672451917299 -12.964313250917417 -7.247771557206052 0.6292462745436763 3.9336037001785478 4.808130478413669 6.061704365610668 6.633915547325943 6.35754862556361 6.391160047599128 6.151680927327844 -1.397363700626955 -10.067757200288039 -12.522543448213561 -8.417852397808527 -5.424360262788855 -5.125127580667479 1.7699593978514623 10.110382410574587 9.55343687451278 8.459968196505983 10.913124605713396 8.619440468755915 0.6589814362632841 -3.5712385117222842 -4.55597043277561 -9.702969788274665 -15.502850382860629 -13.671446128325229 -2.4709213098790666 3.7781176432050154 3.1591237574310482 6.167162307397456 9.218117391909981 7.553203041406492 5.104209262554487 4.3088243069237215 -0.26739989256236996 -6.142923236706301 -9.01743679734535 -9.608448885468999 -8.169064685439288 -4.752576165384006 1.2105452685390943 6.1468623947556065 5.14018471624048 4.828609241845679 8.735236960498387 8.277576578251711 2.6123327011537287 1.5365239728608826 1.3813507307907618 -3.9673790935763598 -9.360098209271818 -7.91323289642415 -5.757662976559425 -6.6435982778625675 -6.416794598416057 1.5183970625235983 5.696156663759747 1.7071500623842868 0.8120549213427082 4.537897025285856 1.8173298042147834 -1.5828712893595918 0.3552687854195262 0.8143121296613177 -3.930859084468966 -5.411901252297698 -4.262291520035046 -3.402531066667635 -4.245654569004111 -4.380064069437669 1.276843586249325 5.0244258040414636 1.0486271943357952 3.2588988371460736 7.42625795177158 4.132323630065173 1.6597793080622298 3.7323140950286375 0.612159760826192 -5.415064893122856 -8.4305278386333 -9.061924017624502 -9.618702533493167 -9.062823142997601 -4.812007865403557 4.148911518914372
10.300249911135932;10;52;15;7.664445449215875 1.280327523090712 -4.618197285319192 -8.78554735301757 -10.069392606345918 -8.951129780666726 -4.931267590442642 -1.4136342511091782 5.127479003005699 8.969739574931417 8.805553157729967 5.417568025469849 2.011404832938295 -1.151499711534594 -3.6992988091051764 -8.935820988130029 -10.515731803167238 -7.950198640671999 -5.858368845892499 -3.0250024496284365 2.388993646838773 5.382644799000669 7.826284536786166 7.278352523814423 3.918638342914007 2.831344540631282 4.804767457232945 3.4759805495165934 2.126067675119796 -0.6049038601080126 -4.7085774791698025 -5.088516406371327 -2.837775248823876 -0.7289970799449714 2.52264807681582 2.139301241756663 -3.2041500485896 -5.199690614268509 -0.47681329031511316 3.28433601256208 3.0919892948788847 1.5747451522272067 -0.45961403796725586 -1.5717099909732994 -4.124348846598998 -3.0908435495599322 0.14685298536208952 -1.0847295617787285 -5.018713100316199 -4.277787166412824 -0.10511611372783015 -0.15992448602588177 -1.1907129212564531 2.965621120827795 9.074881570186175 9.869417506501783 5.688089936389573 1.671573717368163 -0.2737348293048711 -1.7222136268100705 -4.603725681500636 -8.780057956002867 -9.468011347897843 -5.152467394450397 -0.017211298323124662 2.579776637963646 3.7886687959482246 4.340151379859244 3.839828472943526 3.7154575820354636 5.861209846171875 8.573315754666467 -0.003629077033066974 -7.586852473741974 -8.501214959877156 -5.019451120794659 -5.867857680615558 -7.943793416264883 -0.029552002844136754 9.711865966473024 9.682487114498791 7.439447675607747 9.3351213004654 8.656899618491014 0.1498795304453739 -3.5012288661368745 -1.1577151244513757 -5.443428401506258 -9.964892942917299 -8.874893413505625 -1.9001898226874363 0.7179169471256994 0.22037318663216918 5.524321069670983 9.226630550338083 5.964808296474981 2.298727583453478 2.6954005421732035 -1.2783849522669626 -6.697868705955197 -7.6362452162772945 -6.649613092568207 -5.404307748808101 -3.798391193780721 -0.1262800079104704 4.14931480308907 2.2907690712501116 1.2078327562147964 7.413268652167187 8.93826183586333 2.0846550182294563 1.497991022467354 3.8206183670619485 -1.5812257924983764 -6.921906113452741 -2.6992093812921545 -1.0718201187041836 -4.227470941392905 -5.022427211861264 2.395258295916659 5.525163825728895 0.5059310904397851 -1.472654489923741 3.2551833337660656 0.49036132885130024 -3.104522155419784 1.8150207500445517 3.7933467531912317 -2.4393868535370555 -4.3754584876116915 -3.2251058634482805 -3.0323603850539516 -3.5565097663980323 -4.257751006492649 1.40903189209342 5.17906458149352 -0.41441385023861455 1.8821061504149788 8.6840793712555 4.980930614117846 1.538147200363012 5.8797337774266145 3.103492810681757 -4.363522807059057 -6.5373497738282245 -5.716730850683113 -6.385617495695629 -6.750873956084753 -4.980369091516166 2.0227983937806795
10.157194752099675;25;52;15;4.7223322051950065 -0.5400008569280154 -6.098442975601863 -12.329990043041349 -14.802239643995136 -12.464517849445048 -6.345179123265304 -0.6947822974617166 6.792861705967465 10.627842981141942 11.333412827908905 8.567284237941514 4.384149718114712 -0.3157769435481262 -4.3095568428601805 -11.235694615078483 -14.174168558682467 -11.101054070044409 -6.894779946333554 -1.6688374526682386 4.7367070764850325 8.0933950602609 10.65147077113221 10.181535796524308 6.688641105444893 3.955280137578902 3.1532310762416462 0.2212392559253739 -1.407296704676159 -3.559073874321546 -6.274022953645699 -6.345939065144114 -4.898891421918927 -3.2224265811832438 0.13032459745669858 1.206760695350046 -1.2610047613765314 -1.7042540846246672 1.1728587277702025 2.0137365044263484 0.7682279527645822 0.36757921753053074 0.2979185745570469 0.09953860035521925 -2.6157563499522385 -2.9567155477435714 -1.6694094968297608 -2.8995208744359586 -4.795296799161913 -2.7229519976652083 0.8366669126169565 0.28218805603265973 -0.4029058109721782 3.3363920312605937 8.083618811622138 8.453610294486925 5.492684313460671 2.267525079745343 -0.4467068566244931 -3.3677473716514794 -7.1426490476404965 -11.117508342739093 -11.02285939111868 -6.526774611932251 -1.270962992434075 2.3493075611950713 5.017706024937257 6.9894764855029905 7.024481134316328 5.986079013989487 5.693909546244473 5.505022234311798 -2.673111084278282 -11.817349396881173 -12.313850325043756 -8.591927802279113 -7.4336065751090015 -6.386861796134561 2.0177540359889603 10.051575992403126 10.000984184064517 9.529938525172202 11.362702602446792 7.409047912702915 -1.2257892495693485 -4.416163048474843 -3.988171367829252 -8.818109331506157 -13.06909058541714 -10.649911650835222 -3.0711055902762685 0.6566097495206229 2.002774412416255 7.562575657911821 10.707810857784896 7.895226992929126 4.346206905736963 2.910304728775593 -2.2537484323197883 -8.126638772710532 -9.377081379244796 -9.034201449232295 -7.471616195564008 -4.703640292668685 0.2623613672713878 5.207999090162239 4.752649153920737 4.776142631839016 9.130398386470151 8.328787753139899 1.5703062426356387 0.6533396333223352 1.1383064253133002 -4.383491462984502 -9.055367083208612 -5.428004782586775 -4.012308221449876 -5.290470264747725 -4.323595933970237 2.7022602006891687 4.972334293551906 1.2395220541942025 0.6825619038654931 4.404087057753943 0.8716207594548786 -2.746892254600151 0.48274312029146715 1.2750448135650252 -3.6197049881031202 -4.129932192472346 -2.876276534972454 -3.0255508325959295 -3.8299423521420466 -4.050203015522095 1.1227025637687147 4.2528934197442405 0.5147407097107203 3.5754616040999365 8.477560990183939 4.44737660406475 1.5380466402883892 4.17035273620938 0.7202500104486956 -5.626314121165253 -7.672477463510249 -7.615730961054242 -8.469845783934613 -8.000047209151113 -4.967273316538643 2.2696190954169
10.3677449315834;40;52;15;5.164065472231615 -0.7611200214987673 -9.270948397510711 -17.165876013346637 -19.55340462132755 -16.896703486404032 -7.368970456279301 1.918873210224733 9.011881553331826 9.88954622344566 8.921573734898242 7.52728846660508 5.892935331859796 2.471774073942544 -1.4523637111987038 -9.473173663700972 -12.130939552355791 -10.391466691714836 -4.368864669569816 2.6464260460382176 6.504810329859687 7.527486107166968 8.487749221965792 7.811354323353933 6.889841285199724 6.263212836805345 5.386772285523769 1.6384285600385087 -0.7089408254078089 -5.5449248330868866 -8.961727211921787 -9.956858575709546 -9.683747851796074 -7.861385652967067 -3.5698317145537724 -1.8866724957015901 -2.8508202218259835 -2.5042282680208303 0.27881746674943314 1.5536237090103242 1.0655961849902906 0.20319194114888534 -0.13791635696070317 0.13957186182748432 -2.6657420141732238 -2.4720027656296812 -2.3828251171697157 -3.3700191942369893 -4.589290961308067 -2.417217706566923 1.312725352045726 1.3834044702386594 1.1858147103256498 3.983746293789342 7.7452087595286825 7.149463736681784 4.942643670550471 2.523739275411035 -0.6242285314033258 -4.276718237176695 -8.807330961708526 -13.399353531672471 -13.464193554321302 -8.633252773568053 -0.3505890841909268 5.3906666396939364 7.5123401593185894 7.583014058130487 6.777198691437808 6.4749735641892485 6.796833306976962 6.372437083947557 -1.9671682257466296 -9.876338140594271 -12.15087758791249 -9.787879374882301 -7.011913295538661 -3.4726729365726183 5.073706155905147 10.02280537229893 8.261285846162817 8.593571824507617 10.726396029777124 7.14163675288052 0.8957940617530691 -2.355902505910925 -5.1537565815662365 -10.53549446752114 -14.069240906008915 -13.072547903415245 -4.205603822605377 2.530110399862051 5.470936544519494 8.970338063956856 9.144157370797952 6.530226627751549 5.991407654068289 5.201221201949167 -0.07697747367738533 -5.383652918255818 -8.509117798682809 -9.629215758734183 -7.842131704284789 -4.129586669447777 2.750454225379937 7.873528286169686 6.0717506302283475 5.826938694373434 9.062788612284994 7.086856217281325 2.9400454578349726 3.450325899890763 1.1378484246274099 -4.18248405236926 -9.058407546641327 -7.471129053334002 -8.226321991319328 -7.675883979532938 -6.526350798192145 1.8754263865653802 4.82101260672746 2.3619447265589164 1.6284407524884288 4.217411719504232 0.9402974621134329 -0.46165194529267845 0.7510091277378407 0.12771238423797168 -3.451046257271472 -3.9722644342258553 -4.725416594226191 -3.6942474921387425 -4.098925937491156 -4.162084623528994 2.1642982493719845 4.811378673211607 1.6433946271146909 5.117003705266876 7.154101330711448 3.391721993703488 2.943507647255377 3.3812814918382377 -1.3259788351282993 -6.046143385788345 -9.928035761794995 -11.065851780669185 -11.517272566866946 -9.908898727247916 -4.7869450935871845 5.146831771968921
