rmse;hl;T;RS;preds
1.7625521179061592;10;13;15;0.19146773594743177 -1.1247233974229385 -1.7839218488437707 -0.014491694368296707 3.096181424850203 4.9904489582454925 4.621252590186606 2.988764298707235 1.196792275397568 0.39376121765142846 -0.0735459980217207 -1.1222492663529084 -2.0772853507772235 -2.4822375555379432 -0.9442749242705166 2.10926926174068 4.8252737514764075 5.086975714237838 4.008788033496046 1.1786174463416672 -0.6766003761575575 -0.5862384299252393 1.6935685150450348 1.2715181475881265 -1.600363189254829 -2.6726849927799217 -0.11332196073929555 4.09815927893973 4.8485587395057035 3.4805310968840057 2.0733440399153475 0.7663858747129811 0.10550396205976054 -0.3032784282367024 -1.139742061940715 -2.791380382503984 -4.700921332048414 -4.452869623660277 -1.7939516646888012 1.8577924094317453 3.930794196595222 2.6767404269836783 0.930251229766662 -0.0508051840386083 0.30613017595884756 0.7884981965026686 -1.7039846508797076 -4.522305543030614 -5.81316695458036 -4.661950472847771 -3.1883448281472675 -2.761179509211259 -2.40555386988413 -1.4265548825220145 -0.3217791476805199 -0.3452629310929322 -0.859383623300066 -1.8982524639973153 -2.4334336727577672 -2.213889585490578 -1.495305773108192 -0.9829008728262276 -0.49993341465481606 0.4090114201010614 2.2982247320504774 3.569364383562341 3.7674122855544985 2.289641653865041 1.195329363031221 0.7727289057788999 1.0548072549043084 0.5716591791741524 -0.8807568508506132 -1.78790891405844 -0.6772770929396356 3.027757323246762 4.697251846119474 3.802381702023358 2.4409882351891374 1.4899382425017702 0.8855175322219705 0.9139916058029854 0.1441550712704209 -0.8263876708209026 -0.9023145898707896 -0.6578991203031607 -0.7323539163897996 -2.1159369092852938 -2.2039714949347875 -1.466908080086845 0.6338039750609664 1.878497831265509 0.9636337277840669 -0.43708696597967944 -0.8817463535128218 -0.3896153997853985 -0.1593253353226642 -1.475043058988896 -1.1304324698436128 1.295184139820943 4.24462873688032 5.654828932044979 5.059780640616753 3.0528296163722892 0.9778976475362614 -0.15536073497848554 0.4746209729636385 2.5037103033646577 3.430111540618147 2.016029565598518 1.334127891411194 1.831661122311292 2.832189542956766 2.1932709538397037 0.3680109347344955 -0.48201176468934426 0.7665045641120731 2.618616019202761 3.708713675683842 3.727106713515108 2.923199825351442 0.22604004838891964 -1.2811345340333344 -1.687482106783126 0.11378376449357433 0.9527012734427246 0.04499030297781724 0.306311392580805 1.1941755672828245 1.0082582460581742 0.0460845668194137 -1.7954010981328539 -2.9235822514301995 -2.2246463645446837 -2.280175031423315 -1.8512286975548133 -0.2235693235910202 3.0454898938856045 3.9992629284080374 1.7241851382076385 -0.027860426472892198 -0.4420815806358515 0.5321517839832925 0.8996682290268925 -1.0359292745021582 -3.0443569895668703 -2.596749237547642 -0.26596630019018264 3.7238585927737757 4.594690426850144
1.7849278263449997;25;13;15;0.0978612914341479 -1.1126042737393818 -1.212995736285124 0.449157828533026 3.011357967788634 4.687596744314226 5.101978653346271 3.2448958721818193 1.2459531249698392 0.8128791706802987 0.6358633297388384 -0.9317059041139353 -2.521362823281758 -2.724838837047654 -1.079651528694462 1.776593135043521 3.942549614025536 5.0771714456925325 4.441346419007828 1.7466729228661253 -0.3297217336875446 -0.5432727551296077 0.7691251661377017 0.9545170340415771 -1.5109598939292457 -3.4071598554841356 -0.7788013840213164 3.1756914907433385 4.6181593272858565 3.9615507010180804 2.1683568134024305 0.3826828165347991 0.6361357537349877 0.3744062340657556 -0.8501603711885493 -2.9718083377413578 -4.81307375335919 -4.839283068463148 -1.7878353790490342 2.0239548723759904 3.911997090626732 2.88456054763924 1.1988915426620117 -0.09511007400744807 -0.008490513108705806 0.5032476578981862 -1.2754416363194134 -4.306738935966684 -5.006780543777746 -4.075304941577844 -2.736315690083885 -2.8603439405308055 -2.9400160530230797 -1.552158818985145 -0.4035108956615474 -0.0929963543429888 -1.0529848288273163 -1.9953988011177906 -1.7016310812813105 -1.5904364122824486 -1.0064289307542318 -0.2341949265221864 0.09257334173154501 0.4178881890267117 1.0441282043021 2.307500626841844 2.742509180895132 1.8101930930072745 0.6491150573096288 0.2824399216659013 0.6710968582017659 0.6404039293623958 -0.25224410206914316 -1.7269052587096463 -0.7731805236587684 2.504757166329519 3.9650848744436593 4.135285023444079 3.009695267840724 1.4664092859789464 0.8864794779763774 1.0361888195391202 0.22081773354960008 -0.8386605291015164 -1.12158535454701 -0.4553586560688454 -0.6934545703602183 -1.4852421101916222 -1.6537937869954427 -1.1411325625411808 0.889198625900558 2.0418437985134474 1.0543354177411044 -0.7028921373362153 -1.170153505952838 -0.5204257946334273 -0.42476973957984665 -1.3569876185422092 -1.442751904379924 0.05346312545095867 2.4093842060855706 4.303267739961274 4.1850893417901025 2.4497008607944033 0.7425782040302709 -0.045284208106479096 0.6053145504851162 1.4325048541371437 2.5321667045808867 1.8400396204094611 0.6325671341746564 1.857889008374855 2.7264402087990187 2.33918567924498 0.5794928292800232 -1.1330655024309129 -0.322415521299342 2.0206119498811876 2.910236696483554 3.014563854573444 2.7273307162652656 0.10466292411040651 -1.4495569629489324 -1.2881061321755798 0.11709226893471272 1.1200736943115925 0.5518835034470926 -0.17511961821485372 0.8491654029744151 0.8027108214672429 -0.46482396715989827 -2.049108113018291 -3.0253996341888807 -2.489582519827742 -2.216000834019283 -1.4915050165527912 0.18316331575970538 2.4229449005085084 3.4605346663629253 2.076477589817178 -0.43256463778412113 -0.7154696941435831 0.02523573486865578 0.5986068396882337 -0.7511943046754348 -3.254284614606056 -2.9080054097636334 -0.09853553618057809 2.989992378294054 3.849244320461541
1.7912371332193204;40;13;15;0.186166925106473 -1.540329866545425 -1.7456324240480088 0.47685031182822263 2.920636433862663 4.533210366481146 4.99091592802009 2.9126557137379807 1.1133153626732046 0.46399449015837807 -0.050807898543792585 -1.6429389113401947 -2.1682189530806255 -2.3270319587609736 -0.7125127181238089 2.092052784059908 4.653040681462393 5.582785590039701 4.4408698642218205 1.2181363734993789 -1.2911857663882327 -0.663872229835001 1.5335021193571152 1.3309896987694625 -1.6347113771717223 -2.710931285024342 0.05083307881936139 3.575117487129177 4.523227277566736 3.3705008570055726 2.463283271258815 0.23165263419083693 -0.26040624474376245 -0.11694483296186159 -1.3582347183860433 -3.3104929186999295 -4.867373142524577 -4.317387883642435 -1.696718463402429 2.0014327913485546 3.9921640293330123 2.765255611095867 0.9563469475088385 0.10793028039709632 0.5659881472675088 0.7087590638134307 -1.7354917815085582 -4.104685098268646 -4.9168150276266855 -4.2343861778118494 -3.0389546375112944 -2.6676558571060958 -2.536692251841321 -1.230043502788512 -0.5255144622140533 -0.14664077084885954 -0.6711763829434088 -1.9579452192700817 -2.324981065850986 -1.7221132023023977 -1.193557408029931 -0.4570732124261378 0.16895029765989744 0.6835182092763226 1.8580239473636015 3.50574566752264 3.9679448022229145 2.4064666184720567 0.9456422120713692 0.465697626873171 0.8224074957330777 0.762304981222563 -0.5383143463563763 -1.3878591431019796 -0.4005741380252147 2.8404892642424144 4.302208296668939 3.8656385838823577 2.7322729877731944 1.6006178669031845 0.8082779159064168 0.99688106216402 0.19300337833199202 -1.073033228082132 -0.6565689753214131 -0.4107864435015304 -0.892232655526221 -2.153817024140717 -1.8761615587174956 -1.3502869467380803 0.6901913990555513 2.054558166382103 0.685402562613073 -0.9139734083579941 -1.496078564653068 -0.17527412036165274 -0.2467224428305365 -1.342036797933314 -1.2247865733279115 0.6398515930799339 3.73924073889609 6.025776661407311 5.710721529825558 3.1349683716444297 0.5844398184107552 -0.4532623466790163 0.5689174914965797 2.641782392715867 3.2443141818019163 1.969862609316527 0.7401687717872538 1.6269457965233323 2.6230314146147844 1.7899052182330293 0.10638024177469668 -0.7427882496694639 0.39036482876485834 2.1402033884062175 3.7569703142188673 3.8537208203212985 3.0308883271299365 -0.41451793337291837 -1.9354752567421842 -1.461211887525252 -0.1342217411442536 0.7100670434562942 0.26845896567826116 0.27350270351790595 0.9356001154304706 0.5342154818694594 -0.8671986275634296 -2.285282644378055 -3.355531689185883 -2.4072977428974127 -2.279469185192501 -1.5369502514288214 0.28960267713529614 3.1687022202363075 4.000305597930407 1.6635904932675767 -0.9173827519865472 -0.9526251915147692 0.1692861100322809 0.6636066210827947 -0.7252551670805776 -2.836266691402208 -2.7650961844983915 -0.150062545039084 3.6091895069048396 4.170140318370847
1.736543674095098;55;13;15;-0.0002890662710906492 -1.616036929396111 -1.8737383480205776 0.25273385586645725 2.797790734198367 4.493124051577744 4.570979804407953 3.034071749044256 1.4124157185838384 0.4139298039633687 -0.12628138290355256 -1.3672037430465083 -2.299535107046299 -2.553901840295143 -0.8401222433414373 2.008398398858669 4.292103597922273 5.230153619354147 3.9756460593586938 1.4526158554977264 -0.9173116881128953 -0.6089430754668619 1.4312769243161283 1.2224142839039998 -1.6355267022047273 -2.896297917390366 -0.13050294392469275 3.4680831623793686 4.357872351833726 3.4574423020569944 2.2778934251932834 0.7009108115417411 0.11886880025347099 -0.2606777327036412 -1.14309104995055 -3.0792140816832774 -4.8925047429082 -4.387276994333469 -1.702334980556682 2.0985988975550613 4.1342204881144315 2.855232808979583 1.0679435879236787 -0.043494066820348606 0.1901576221418716 0.6854783441095279 -1.655728461642092 -4.881048857084426 -5.417779243313909 -4.302312457885219 -3.0681820330827603 -2.9392028247113204 -2.8158071850174147 -1.1918103150518782 -0.6069911028699347 -0.3805162286418914 -0.91391185461285 -2.233424587571782 -2.550317345559665 -1.7562184700863863 -1.2748509599913143 -0.3192712818633033 -0.0030614559383339134 0.5772297931097031 1.9829290765886716 3.285096907690527 3.4025390571728207 2.1865305940977082 0.9767441513194713 0.6070013627273527 0.9237619523938496 0.8618147724844512 -0.6189749880331381 -1.5107587584554532 -0.42764123676740423 2.6852231620809235 4.230156268247071 3.7786590983169055 2.702475583554481 1.6881884780941459 0.9210306734396041 0.9994672180548961 0.07360488496338809 -1.009725725381627 -0.7672243376626976 -0.47617628993070954 -0.7108694128474224 -1.650424655485068 -1.7336604452661655 -1.0439516295201499 1.091222585320844 2.0639182295549072 0.988025335333729 -0.7570786779688373 -1.563800114873367 -0.4564432974575817 0.07820474504322704 -1.1984163348683399 -1.1227420707285702 0.6146418149470044 3.4507217114010307 5.106066061649131 4.565640653521357 2.696825818391902 0.8090128167030656 -0.1482412056640597 0.5617678966971472 2.3645095789200017 3.12351308488387 1.9087599587717714 1.1911225165002521 1.884359515039716 2.3072009454694995 2.071176778976219 0.35004315690161636 -0.7451806086109081 0.4545425456652671 2.4388431395888928 3.3791944623538233 3.562131294327586 2.629447082095289 -0.12631721437198504 -1.5776573455867802 -1.5513731475811876 0.08913542091565542 0.8655050767599398 0.37058870374038866 0.380504173394622 1.3527792752531018 0.7506159100430977 -0.585991091701138 -2.0239531491693583 -2.5931473699789844 -2.1116259006381504 -2.041608141122107 -1.5563336905171157 0.10772807784195564 3.091831926391619 3.9523910244900518 1.629570442225649 -0.6680183463327437 -0.7187115996040796 0.32220199360522284 0.9809816998401106 -0.6857864863498632 -3.067883100539432 -2.5623186784389493 -0.13545495020983433 3.368264853562743 4.164844000503986
1.7731713344461928;70;13;15;0.028822050194679743 -1.3847423669701155 -1.4562128547778834 0.27904102420212645 2.886101937286501 4.8365702864855 4.9271911777916735 2.9891914307781624 1.1938916862027251 0.32659717063380445 -0.47877423987859336 -1.428252777433693 -2.478012512461877 -2.677736293792632 -0.9866770677898918 1.737262538383422 4.143488295552421 5.179187118374744 4.046546987816623 1.2928692097997896 -1.1200134875587837 -0.6577892670864618 1.3248506487275982 1.6192650573026006 -1.581753739837837 -2.876275727151123 -0.39058524568592795 3.2753321773172854 4.705850799480057 3.517522052165412 2.1386335432563355 0.44724614293717874 0.38197895470087817 -0.3305995485019642 -1.265650622047698 -3.0673553258487067 -4.959146930984327 -4.54290852505494 -2.0837498419095946 1.621948111668193 3.946690338954361 3.1740329842379205 1.0162644263694127 -0.08809272709248496 0.35937600013967635 0.7128264783815547 -1.4464442304937568 -4.693179937677358 -5.369108352567038 -4.084781522545593 -3.0273549765163814 -2.962720848330506 -2.592509068125445 -1.2649995152179792 -0.23056580157733383 -0.4125108095189369 -1.001161592570304 -2.08363377341206 -2.4056323471650436 -2.0061981136600253 -1.4811298407654188 -0.8366160012381681 -0.3686366553606661 0.18941542026231342 1.2720243560031812 2.5336730490301824 2.9660789729542345 2.189465105246992 1.3363978916913661 0.9701240535175021 1.1373922373872938 1.1373405681851654 -0.4819662733266008 -1.5747298734302502 -0.6887224202742779 2.50713335056421 4.086263081654341 3.7884561781036536 2.574602245874391 1.3923728606637438 0.7816851254631852 0.7711976253233599 0.22782061402400353 -1.0110557954804729 -0.856176313740125 -0.4580292424313155 -0.690615460027618 -1.6819515551999502 -1.7502133106726459 -0.7434287231271506 1.1394393112692978 2.0500350893575283 0.9552226556236864 -0.857064724485126 -1.324401425300794 -0.47979803890975103 -0.22725678231624669 -1.2188577195909376 -1.3402734553656064 0.3190143408069611 2.795059904541531 4.8774365816923355 4.68003027640139 2.9773305782223463 0.8365579678892947 0.07613073203735987 0.6910637848596024 2.6684940223239937 3.6439663245506937 2.2677863301937657 0.919532266577882 1.9627995042684834 2.5523227854482538 2.0082143366864496 0.16296043307881616 -1.0351375375831684 0.11749861164007391 2.511011985337311 3.4437941444049467 3.3354526637241926 2.607198173893019 -0.23191114778811342 -1.7970844657616152 -1.6286597903589681 0.19357181443830548 1.3199643896300925 0.4734812177592986 0.0912048099023466 0.9700258071505566 0.6000316740990991 -0.6803979127481878 -2.2339883060552923 -2.8481778652679237 -2.233964792824179 -2.215783673604541 -1.5570636490422565 -0.09766512541305761 2.4369246396489967 3.457394676531554 1.800391220714822 -0.5090010975381855 -0.5751328837567671 0.33827766772103235 0.8780693044108165 -0.813584416948006 -3.057702320764705 -2.5901640351778346 -0.37137617143409146 2.9181347458848315 4.0110992193721176
1.715079140639122;85;13;15;0.13288781547586734 -1.312674163841495 -1.6631677783879513 0.32715362547585625 2.823054128488867 4.351694512448815 4.568349617370915 3.0273658354370125 1.2264020979476853 0.2791908461675732 -0.26236911280287745 -1.2357933115076758 -2.481201325945114 -2.673097447802129 -0.818565477798982 1.891805271715116 4.061295624591104 5.066406279753443 4.11269914218445 1.5770045922331195 -0.8386868129999905 -0.5659733944359928 1.4052422361387844 1.4225689414507638 -1.7022825625255373 -2.492338809671134 -0.34364508600310184 3.1208493503068997 4.452019628743709 3.770879363900212 2.471466324983716 0.8878263967280913 0.20277597140990528 -0.1927288005525269 -1.0357902918367232 -3.153926549834443 -4.8571779852327355 -4.447425636711391 -1.8910756867045893 1.7087023494655265 4.003820002269954 3.082794758290666 0.9827130674088201 -0.09230742228758144 0.18043658594173426 0.5927581106560095 -1.6772646343865976 -4.78905820774154 -5.71022453110751 -4.700219529494287 -2.972585622260332 -2.475545570150404 -2.494492441922165 -1.4925313616026046 -0.35125101720509966 -0.4372898986431111 -1.0058007380924132 -2.1825254812038506 -2.353583488725404 -1.8934565136791817 -1.5680985431930357 -0.6339088102233619 0.16001966920724597 0.6978638262742012 1.742291224759838 2.992723507482496 3.2858064980664228 2.0594343911707895 1.1295039227632293 0.754486157931216 1.1265339171185704 1.1785281110400163 -0.37018695607322144 -1.557729358037794 -0.4179438261227328 2.5218331636868236 3.9921379700832427 3.758664464985464 2.554170595929006 1.5853365131664714 0.7665027669224339 0.7384377037501508 0.21280026464094012 -0.8915861914364036 -0.8359079085203049 -0.2882361381634599 -0.5222444756654435 -1.4702845501215802 -1.3973486039288097 -0.8119774298789127 1.103088679679775 2.1305650603709365 0.7963229355432447 -1.0182735337203934 -1.7373821254774393 -0.4200902696152067 -0.3979590773343072 -1.5213376157352736 -1.2830335644188053 0.5357585189405561 3.292263800440237 4.94714297810338 4.66300759567005 2.882336824992279 0.9485607731626047 0.09846873217185065 0.8279704716126616 2.6351279985449487 3.2869432205132467 1.8850659603337434 1.278304335665923 1.7963754004659247 2.402655228544624 2.237907153846466 0.8455848021498221 -0.4457814699227494 0.47146091451462935 2.515006838373751 3.465204963172115 3.4104559770653102 2.6556662817422625 0.04265339482503398 -1.6644171247188344 -1.677673345263723 0.04977801617677101 0.8896949497725967 0.3534396206710881 0.2090083068264816 0.8527612799109416 0.49656181290858115 -0.6124503659307539 -1.7965349750294155 -2.7058374505235028 -2.412646628561221 -2.0883455553487558 -1.5538685453952819 0.01931055975422469 2.665004479107789 3.705978652584515 1.6532581504999397 -0.7185156310505001 -0.658032936048383 0.39784510645791216 0.8123014490941824 -0.729820403178773 -2.952809946533272 -2.7673567495329574 -0.042014174756055817 3.2300343119916737 4.052928209162376
1.754519682025731;100;13;15;0.18712024060646645 -1.1696410822569479 -1.5752011864131428 0.18659755795305213 2.5550766790387933 4.474255657086897 4.7137841936109055 3.044281882916424 1.3901397027711764 0.48666753511551053 -0.16131891473181237 -1.3455965813112525 -2.5630159880189773 -2.485550075574682 -0.8741261196766117 1.9908740026863723 4.2671010956610695 5.396029430550932 4.221341053066565 1.261305617463106 -0.9905401269194531 -0.536111104183012 1.368578668903328 1.2777293847471671 -1.6233733570351234 -2.6912230039087537 -0.040194857219375685 3.293443355906796 4.526784215394413 3.5409400322280122 2.0497750959230507 1.0883710444265722 0.22057151856902327 -0.3407560287751108 -1.1967215101556286 -3.354085850121109 -4.811155552950901 -4.332219790203533 -1.862990554914668 1.8323629248654179 4.171879698410031 3.0859221677945623 0.8882433447243966 -0.31057312737877857 0.03944577637312373 0.5402908814449336 -1.2620375220437952 -4.256161227012572 -5.262726108124669 -4.587809810533491 -2.8717468092602205 -2.6148199793702696 -2.644214214046579 -1.2774112063982248 -0.3950022136388854 -0.397951102305283 -1.2307689683395546 -1.9438155645605193 -2.1288035889758756 -1.9249980904427844 -1.3847164574861497 -0.5627912829724521 0.04398293138320582 0.5492323491975968 1.7707518194185587 3.0478930359648846 3.3551911975320414 2.14524151002824 0.8759121526634088 0.614183831120603 0.9989248411983519 1.0870556513764467 -0.564516397818875 -1.672235648478575 -0.5459894693594851 2.663107545443564 4.216805545480319 3.838521688010581 2.7791442926279672 1.4800197026485697 0.9263328321727923 0.7705751237620657 0.17702572593442312 -1.0770758564098146 -0.9088367408374199 -0.4597573900352547 -0.8187020642115648 -1.7597376669316382 -1.749910633984236 -0.9349219749733676 1.0714925881637816 2.2485441202579555 0.8864147791493645 -1.1122275378612547 -1.5844174744148074 -0.4434044994175913 -0.08100728353884726 -1.243984153054347 -1.2955406564157346 0.40300423884897696 3.339025776258622 5.486329223974893 5.087522658951381 2.9216455558451004 0.935424065728726 0.20931186338898564 0.6730820788070191 2.6549599862140383 3.474877437810542 2.3213443786329626 1.5017471263238518 2.361602924210126 2.78237504053612 1.8803907212530457 0.2005028634893153 -0.5817712904281862 0.6153407719508682 2.899526045296856 3.6454912399595947 3.528951279676203 2.61055292788628 0.0946013953565335 -1.6968146130481288 -1.6891759580181163 -0.08772570259066365 0.6505447965505513 0.2844210237115645 0.331570743194617 1.1396552735576138 0.6487643806812707 -0.6659003583428912 -1.9429636966715162 -2.792743251313746 -2.2673058057140776 -2.1007639859901484 -1.5319799737156807 0.15855907821084966 2.665085652173162 3.6144918154038312 1.5498788601789495 -0.845688963366103 -0.8569082941036099 0.24366027595458403 1.0701699314721975 -0.8658213063536517 -2.989410612131355 -2.6845350621979027 -0.1988214793575534 3.1858920396040977 4.046657215447831
1.7676839557510544;10;26;15;-0.6641424073441012 -1.4919499707543082 -1.1854999329310725 0.5771264172639956 2.236154145119184 3.0446898449645334 3.4527297712912826 2.8018260240016892 1.8241376371839946 1.1880993439954322 0.84001778259355 -0.264516960349757 -2.388074103921208 -3.842788439962964 -3.2050524016285262 0.07031115117459726 3.209093158783562 4.340409060109164 3.7906918820148765 2.0441575304081745 0.8082742466442367 0.13974701438275805 -0.44797355454377 -0.7678350077255334 -2.2788241438778143 -3.0709631840494946 -1.0839389492275904 2.078224308380723 3.5699637463070304 3.5155601201425672 2.4115872610516806 1.279908926482164 0.12096911587853754 0.2921209703965654 -0.12245683230615727 -1.6738706417528797 -3.926125321661269 -4.60243474075447 -2.839292559691487 1.0689727785237542 3.1772996759388583 2.9808123336167807 1.4108681885386436 -0.07932180982847749 -0.3250670499633459 0.2750637873682968 -0.2527724009401801 -2.0364323847268793 -3.804354640932849 -4.302383446875969 -3.035081693838717 -0.7120138482331145 0.11779881719272978 -0.5385990885898445 -1.5042063547965623 -1.761722962419793 -1.3451976052113397 -1.2453661170040262 -2.0403956371788285 -3.161425323604201 -2.9784762108345704 -1.2625459020629972 0.8262217312107727 1.7791857308639378 1.5952382792497055 1.5777544696100951 1.6541589918066122 1.1743825936054868 0.47320965491651823 0.2018877104307075 0.24511618676962812 0.31821275678640615 -0.6398480352422123 -0.8954989728126507 -0.20048994528888925 1.5041453261316236 3.018299612770225 3.5350087073552845 2.9699621007014336 1.9615723232764843 1.1231325859604926 0.5419607327099497 0.23930907390998776 -0.7454510107687131 -1.3705604439952117 -1.9005363924971914 -0.849512634089404 0.42603230364276234 1.1319470523119821 0.8128593267113654 0.15616327465593027 -0.06983616802963068 -0.12489486981759898 -0.25407424018510955 -0.47309646851080256 -0.49291767304205675 -1.0581128848142025 -1.4546404636093455 -1.0968924930840689 0.23709675218480022 1.3314617605813712 2.2960604664274142 2.8547856082910172 2.314627831653687 1.0831942396707215 0.5252220453830614 0.409682071368107 0.2935337486602676 0.5026564199483248 0.3571095567973319 0.7086605179148786 1.6821067883549343 2.863550801693231 3.167454371563457 2.1681360586084093 0.6620823796200084 -0.5957795973956487 -0.5125227655191914 0.909581826608585 2.003722860246365 2.1147463469320886 0.9399631676942507 -0.14471098231154195 -0.07764151239868328 0.20802597420210447 0.44943931336027304 -0.4463655939969555 -1.08053522181666 -0.2511455699021535 0.9133503835162825 1.4312412800549499 0.7127358700705759 -0.8904936499015448 -2.451559827927605 -3.2135129713868875 -2.43983046974706 -0.9170498226058766 1.0235028322901845 2.0362401612182754 1.5842074287756145 0.38323316842036764 0.12398244128179234 0.15150035381255172 -0.3136839128785117 -0.9103117093509302 -2.037000146887078 -1.9623553728789904 -0.7654005645933701 1.5750546414745366 2.842410160435163
1.810346127867872;25;26;15;-0.45246798885846923 -1.4976572459853432 -0.869877563369432 1.2813556641417576 2.782927975881795 3.32347109993094 3.616879681371177 2.8019383483541422 1.8377326279758812 0.9718283883587213 0.6337114946774468 -0.38160562509488155 -2.6727098539032648 -4.0783994026050205 -2.9461094244949466 0.13083287888919176 3.227591931271937 4.235004786362152 4.088769861669484 2.338211602460508 0.35327701245018706 -0.4705108742416885 -0.04980999027587532 -0.6024423410100992 -2.1306271373964982 -2.864635030326114 -1.352321515175511 1.9262201054144648 3.8089525268760513 4.335062720464011 2.8220590844919373 0.5590390139957541 -0.4631298163933015 -0.2640023837704447 -0.23003280380421925 -1.7078403714849084 -4.102178018721896 -4.93599193967227 -2.844091056028276 0.993641927370884 2.986214086609144 3.368708759403637 1.3703551908617235 -0.12259592729594482 0.09645772376734688 0.6901515613518813 0.01296846472457644 -2.305062962845016 -4.309554533068171 -4.651474055377387 -2.755023236102019 -0.39607682071880257 0.2595177225743029 -0.28835445314804364 -1.4609481499456924 -1.4084245339096853 -1.0472142026614977 -1.1699996215899777 -1.6835498558524538 -2.9945146307068162 -2.7750921532718826 -1.3322338772802387 0.783924798168195 1.3437013708536591 1.2901376313139377 0.9931444053724191 1.1500815943668032 1.0696718852934213 0.4381958703284395 -0.271741681420255 -0.1831744911328805 -0.5524789713810024 -1.1517867520200462 -1.2637655947648327 -0.5237966484505397 0.902838471550524 2.735418069641877 3.604674666999445 3.4646891697456508 2.3755332406355354 1.1519884874569457 0.697335377637361 0.13359266950823487 -0.5443400236851647 -1.3374749315656924 -1.5138262616380411 -0.8152783430658979 0.5778036207849343 1.197978570325274 0.7682674573823711 0.05809117894326331 -0.2954530901329132 -0.10482200257467403 -0.6451988304200126 -0.6912676901008613 -0.5446480919424922 -0.9178956998627489 -0.9376039809783371 -0.19633474923932337 0.7931601064268751 1.5417351948603086 2.42307594558637 3.0745836983605535 2.8566645700588498 1.2986206659427897 -0.12390778212896802 -0.12278627963190172 0.39512865431819044 0.6311434604487662 0.2515844407678064 0.39831911522526353 1.2828738400895114 2.580661470743112 3.392975612039175 2.957517161512862 0.6694966854767215 -1.3361578910917309 -1.0068386151090785 0.5947746323141462 2.453708294158317 2.416411666872436 1.2180092972153038 -0.01644007258594526 0.14062598988215308 1.1043909682221142 0.6934070955004754 -0.12103718353623008 -1.284625874439178 -0.6569161324533943 0.5483848993997903 1.529841094296166 0.7306098196277061 -1.042459962119575 -3.031207252508107 -3.4573104323673203 -2.4472955462110817 -0.7393482040512405 0.8087491540064077 1.7009032952602112 1.583822979958619 0.917165742237502 0.19590067267916295 -0.1571566141669538 -0.3020637526892764 -0.9437303009269232 -1.7379576754594082 -1.970750794512929 -0.7262207820971647 1.3239785624551537 2.706301500764831
1.854173901223242;40;26;15;-0.8725895974179572 -2.290197808275592 -2.1443533230320497 0.553600493498688 2.8327301975065726 4.402117064030739 5.115897288039025 3.3365010243470867 1.5523312752075051 0.5310669553873021 -0.4179503409351751 -1.7531960464105827 -2.65042410331339 -2.2890097161582466 -0.6205124837695138 2.496398587083185 4.762494322998235 5.20504328571459 3.5680820887547386 0.41153422505715426 -1.3755584283819573 -0.6708844145099327 1.6460683435823291 2.3158295524591304 -0.630711946828199 -2.7400113110453894 -1.3925890467008708 2.544016474467261 4.0279152232949444 3.737861994911181 2.6708992611245193 0.46451050823354684 -0.1430525132475744 0.11719702075373778 -0.6489037368613201 -3.0364352771686764 -5.394175553655254 -5.104911890586332 -0.7445008965127646 3.2522649487659447 4.469402046934505 3.2192092397312764 1.6092985923923537 0.1808670690225101 0.0040929500875285345 0.9917713524880344 -0.5683867954727965 -3.955859524711003 -5.378964140548668 -5.907468490267711 -3.2644465238895712 -2.0741419163323775 -1.2549991283532913 -1.6256544399847375 -1.8751226333402076 -1.4402846625368446 -0.7864002762305605 -1.315556856022847 -2.197830198405874 -2.4101702510041423 -0.882763487965734 0.7781847242262437 1.440495458804842 1.1703810011079003 1.4246885768644524 1.7753863222007666 1.8405912078629065 1.2875174785857189 0.42743508503909616 0.336648927169014 0.11272681105771765 0.4057659202612864 -0.3039218034068274 -1.2285751988532472 -0.5764618680535394 2.4110590370635454 4.471572452955502 4.995763547540353 3.3630742703529917 1.6873912747233366 0.8525835079024594 0.45969044562108663 0.2979242829489478 -0.6372323380466409 -0.7563146477234525 -1.0271375725527656 -1.0026373099128305 -1.1513296667884645 -1.3243806078541394 -1.0033822450182983 0.1412512059486315 1.7237328454817613 1.881490751078068 0.5176614932194545 -0.8353829793798415 -0.9491840226530213 -0.7723842188827788 -0.6276620785689462 -0.14074080319119142 2.1138043200295167 3.991024910633336 5.214854743018451 4.413520831354974 2.1415983070978797 -0.004291838174377919 -0.6651338569617524 -0.22348888063393849 2.7726166003266157 4.737905174354058 2.7047828755196672 1.0301367085460547 1.5064825712574643 1.6153754896258605 1.469180402636862 0.5512834667562889 -0.30579657173216845 0.9304143996093253 3.1955821866073104 5.28156702149051 4.994723573802442 2.216748091394596 -1.4642283205689246 -3.2464326930721863 -2.526411278744206 0.44079808860171654 1.9172438919954429 1.3758899358873908 0.6192757186659993 1.0846918977034272 0.6492852661450458 -0.7455057501698086 -1.4378371897797968 -2.2638355822864953 -2.359234002717 -1.5420166787876617 0.23620871585430733 1.497437016271528 2.4788658040259053 2.8935980152717997 0.919106632164987 -0.2614150110324168 -0.3361401343939592 -0.004205236098636709 0.2115600353033311 -0.4937727608958301 -2.263047065332276 -2.7690547942104393 -1.0835288155753338 2.6645467948129946 4.549147544670381
