rmse;hl;T;RS;preds
1.5803932223108728;10;13;15;0.580584547102964 -1.8699142279998666 -1.8734236900679062 0.3059849031296751 2.2780987541095676 3.852147380792138 3.8593061861884714 2.566448696012735 1.25266487944341 0.004298971670652619 0.2158733465996999 0.11527202472212486 -0.29317032231801227 -1.7387978616157562 -1.0805107351078251 1.0763092061627666 3.108339113228102 4.0028519161176135 3.5006907721306515 1.476515033086235 -1.4336955662561524 0.5010139758253072 3.2148417693763 0.7227033084585441 -1.6085306673361897 -1.481666301872734 0.25764943161995324 1.1113500609197864 2.814046314485355 3.948120901907201 3.013584685751661 0.5383859353102335 -1.3051115898395438 -0.20157471772270344 -0.1531488063885316 -2.125461565075893 -2.1804443356016026 -2.139519182434082 -1.6795326877113272 0.789089022596571 3.5225652658247455 2.5430750466279024 1.2002281275732998 1.1010835402226868 1.5394723833386936 0.134025773490568 -2.109364736540371 -2.318495457740354 -2.3665806144306347 -2.391646317860818 -2.332565655426018 -2.065998550545343 -1.1583316673887736 -0.8231769166474864 -1.59414012059733 -0.5379334170357576 -0.7919283566779823 -2.207980425956734 -1.383915060672849 -0.4932636694890626 -1.4146195963619725 -1.320225205876594 0.08347741863389634 0.2927979679895247 2.088959970456567 3.728382418627367 3.4562971927251875 2.452295253804459 1.2997271356973525 0.2991489928051929 0.7436270139505747 0.6422232843405267 -1.2210462472741306 -1.2252716647647048 0.27331953994050606 1.9809994939793336 2.3497342838325395 3.254239461116264 3.045859815419683 1.8410174413390146 1.0034013410581095 1.0391287971402232 0.39153412527389336 -1.0006177929386284 0.1615049902819073 -0.7307497748709685 -2.2095758810589756 -1.88264177525921 -0.7701487396202605 -0.284547518753258 1.747047487140105 2.3889877511039543 0.02760234345230012 -1.7807677810268925 -0.6470461916033552 0.717641973137015 -0.3368377060641427 -0.7938178020520439 0.9706328828341139 0.7509133449283931 3.018026739476666 4.233684151508912 4.031077378465199 3.107538465243817 0.7568758210882013 -1.4234912732503116 1.254737638160675 3.9298758326895666 3.0475836198153274 1.597334101900674 0.3918690016100064 0.8933539529952017 1.476482384141122 0.91337224932356 2.2027884208717454 1.3737208777586232 0.7957423684068664 1.9018672872078497 3.106618304148523 3.4589339694575694 2.6500407786398132 -0.8835542514070026 -1.7051001065824667 -0.5762902364429913 0.5160774203182616 0.6835554260784353 1.2905349599900144 0.9588937149934548 -0.12130747336968264 -1.4359212358585562 -0.9342027995860622 -0.5818302981546748 -0.6492247598606307 -1.0504349162608315 -2.2111117293715155 -1.4325360794072315 0.9695201229158136 2.793875257037661 3.1970711582234266 1.1299491764963527 -1.1173925860015486 0.180383044667065 0.40275083510984316 -0.053684469047935945 0.09868242925239236 -1.9655263642316383 -2.1553626072304697 -0.2963866178261495 2.915877475697937 2.5752138894149486
1.7964184776210883;25;13;15;0.2854383079302799 -2.012314848597202 -2.657088981090537 0.13155862525111556 3.208729527413221 3.956838469783975 3.8174112994447738 2.80515741452964 1.3308393339029787 0.3440974545117745 0.3042834138387181 -0.25694206811048703 -0.7934046730837221 -1.5416224951934534 -1.0559483945424344 1.445868906060387 3.8813232569272786 4.004742559618101 3.5156949093655108 1.1334195496897386 -2.0436668218538645 -0.5993218956160552 3.2324021093413813 2.568422309768234 -1.8880960960485211 -3.777975191876376 0.10674007283777964 3.1967153146748557 3.208641465120898 3.1214166631696885 3.2433877305428847 1.381405211358633 -1.3521058524188014 -1.1610049120942518 0.31323285662040545 -1.7419369528523074 -4.598502489823797 -3.8281862741440826 -0.9737634365199849 1.7261517129703845 3.1637267007200522 2.677556650611503 0.5865443274783133 0.11982683337626746 1.8773268124497364 1.3414794453963368 -3.1492871047807274 -5.398725438758613 -4.560933438541767 -3.78495907081449 -4.031670375263355 -4.168280450843037 -2.128494472357925 -0.2968853566717659 -1.319060027927149 -1.9041845376990594 -1.34414669856979 -2.0878147853419646 -3.430325030870815 -2.536095584881091 -0.4227552023186033 -0.2665313478451971 -0.6097789932978166 0.5266882525970803 2.6677898235170154 3.715283901473322 3.6108141663387188 2.494767188188159 0.9218262293865774 0.5064795290498635 1.165754361030364 1.0822821659288038 -0.8419663096771078 -1.8797754075504145 0.06318005245186879 3.0543425505169286 3.525514154491143 2.7430049057039576 2.39929897689333 2.1934857180015936 1.2356410005856437 0.40807463500160396 0.2654088914910288 -0.527677379944887 -0.5208260437426679 0.11819869188746221 -1.0425109573755886 -2.9280201117127134 -2.164665609632228 0.152816608016046 1.6055081696773787 1.7414104520708038 0.11587286640412098 -1.9218563034217744 -1.736204516966323 0.596737125958753 0.648795531968351 -1.607555991488505 -0.9658570002337247 1.928387066821987 3.909238404530488 3.9181329955867272 3.88243332106112 3.274704958133188 0.4946922115034529 -1.6932549794359937 0.7135849672922184 4.012019679999018 3.831770844662356 1.5355187158981536 -0.4152131462317004 1.4342339003359026 3.1429736533608486 1.7540602708782498 0.6200164603289755 0.9407616440743878 1.9204536726911379 2.4761788557494278 3.2012364447439876 3.650138173303474 2.808598134093978 -1.018769632943727 -3.311371145370308 -1.0682738206199962 1.6868783268471348 1.3615110708811862 0.2940799819862462 0.5866935691012725 1.3518931109951497 0.05068063595235735 -1.8373317789035333 -2.2796809540383256 -1.0307195961524895 -0.37216835765049117 -1.8440188220195646 -2.2606801665773877 0.49852258424645024 3.3154610257088164 3.5006039079647544 0.7287086925209894 -1.9201852165888813 -0.41789440340765355 1.6564662837717987 0.6622569316637202 -1.383159492195349 -2.681779670949331 -2.485421426749672 -0.32944455462714156 2.9902937070902342 3.449500820572769
1.7907195754196068;40;13;15;0.37508018018047323 -1.5702139851642325 -2.5245684105349615 -0.6765499050818553 2.6232749338109023 3.731849796504687 3.4126707137640753 2.534411394440306 1.3126917622232732 0.44733233315696097 0.15009910751570138 -0.24625036229790223 -0.7459128136230979 -1.4770235619713463 -1.3689202089177923 0.6328541603366244 3.471621229715833 3.798300583884235 3.2650998781062333 1.2099387924915608 -1.469972288421761 -0.9999099997523718 2.274089972853424 2.6731029151538426 -0.8455039277161621 -3.370469629935697 -1.0758884382385838 2.7660287021723495 3.247911256864869 2.633394010074682 2.215270352213725 1.3109119454172058 -0.5560573257185463 -1.1265184903409395 -0.21000651372611145 -1.1970028452170722 -3.488407803758423 -3.736826737896179 -1.6030802404577638 1.3152644391918553 3.061229980277736 2.4625010444683326 0.46821204494428076 -0.20486276977133272 1.2625624520841527 1.5267014039964018 -1.7260677683377572 -4.110295025727555 -3.9336010314973233 -3.276325647873387 -3.2954231840432375 -3.47073843428856 -2.293448624801383 -0.6075380850249298 -0.8676585583452735 -1.5913102957445324 -1.319201706377043 -1.5064161492238195 -2.463997728123423 -2.27220105075978 -0.8555727575529446 -0.1690700251593556 -0.34953215508096325 0.2695119128788803 2.1151917504310154 3.541131432924592 3.4687052895261545 2.40054862275582 0.9265974683471714 0.39187038694368664 0.8453626994635719 0.9834365860044203 -0.3970601455416264 -1.7091091873702169 -0.7370096859160721 2.2126473539352443 3.44074730890321 2.7745216213442174 1.83229388283011 1.5988097443602989 1.2106522767783416 0.5188784526953804 0.08395624798804048 -0.5502617261050324 -0.6994711119750071 -0.3235128553399055 -0.8688677674408801 -2.2749130099254034 -2.1299515438579446 -0.26433716650293065 1.412820086252669 1.543157370928166 0.1606234874845821 -1.5369268879635112 -1.617830225124473 0.1367424783600827 0.7132226089312053 -0.9894383747876931 -1.2671946325965158 0.9732008421798928 3.6369255346073373 3.9240541363848327 3.6492434723947356 3.1253953414993747 0.8127412363754866 -1.2120716812789445 -0.07056085667056888 3.270793674414974 3.6809345154300024 1.7798771995776381 -0.5455930392782279 0.4206004851653926 2.543867008195597 2.0882349542029344 0.5352975772395402 0.04342642037897777 1.0302413199596392 2.081667873495323 2.877556300551882 3.3315162193510286 2.714725228135588 -0.36745170832518925 -2.839995560372039 -1.723506473570224 0.984643099315568 1.599664308033761 0.2854177151323302 -0.20014026085897788 0.8241261332085091 0.5498819209278321 -1.0552959398204862 -2.134573466312678 -1.606362657568045 -0.7954036721428761 -1.4689267733491291 -1.9710061452075054 -0.05951830574309738 2.8909750169933193 3.2869656853837372 1.093556685364816 -1.5765438368394635 -0.9123668705863107 1.2062204071279587 1.0939814211828913 -0.8621867898398814 -2.4517527262822174 -2.434509740054266 -0.7152431733661364 2.474827968203927 3.2983868255411513
1.6867280708137449;55;13;15;0.2973555660317532 -1.5170621015835053 -2.19114944545358 -0.2776621482722458 2.474518402288567 3.5910897105163775 3.2406206575616574 2.218163977298716 1.1214135740705529 0.47174374723410584 0.3263356046583924 -0.07411050277569832 -0.613060736461983 -1.3174176961284838 -1.1362293799079053 0.6560262249502544 3.084153733189543 3.9763529539501308 3.1866702227178916 1.1479010042711835 -1.1715306773968128 -0.5923764316064806 2.3710967282452513 2.27507019003583 -0.8997566648338299 -2.6460728076651665 -0.4715181241515848 2.588972873761416 2.9768621107897157 2.4015734701476004 2.168081394090216 1.0716723071277063 -0.6855591418604985 -0.7817754333426635 0.1550318501743973 -1.0752863048265344 -3.0150963459870783 -3.0356532001439978 -1.1571375846392973 1.2776847545377925 2.72363779108822 2.239405560708188 0.6703585127916419 0.026999760742840957 1.2100412323009977 1.2059881203670861 -1.6993258860373697 -3.48305277769668 -3.2855673960616074 -2.839096066957596 -2.9275657222655904 -3.005275303671807 -1.6784098934842075 -0.40831800353202474 -0.7497561785495291 -1.1272529418401784 -0.9972050795795019 -1.55550368843539 -2.3245040617675694 -1.8608748134118647 -0.7177930110497196 -0.5449311493106737 -0.6673733050180574 0.07993680527877665 1.7184887958802422 2.99415287230891 3.078724123757772 2.020594726813812 0.7106885715398672 0.2441260663234809 0.7088841182591616 0.8088719619650896 -0.46948632638151455 -1.5128983127209767 -0.47838967873724536 2.011946500503952 3.0164631844905214 2.3995444430448907 1.8888316716911786 1.6533848523695065 1.0981811538382047 0.5464139814287494 0.25843495325810745 -0.44112532598196885 -0.5588652847640664 -0.29844387578277576 -1.005136376989105 -2.15798740269859 -1.548245438545685 0.1677572258295932 1.4291126586930651 1.5154412620775035 0.3522361775589074 -1.2621413097454617 -1.2947418056210893 0.3782099859372217 0.646176053186247 -0.9190181196753602 -0.9930799302942172 0.9752843840349931 3.143968996889385 3.981486925686246 3.748582231109289 2.7796792560772494 0.6332969429339939 -1.115545674115616 0.25270573733689317 3.195847871142312 3.547988609993139 1.3919967987317314 -0.4758078660546639 0.5045465018270502 2.3435913398797905 1.8735465738093837 0.6985385212179351 0.28538852952141786 0.9384325611848254 1.6861919501707459 2.5636510708076403 3.162502814575725 2.442497874486105 -0.31839103335458047 -2.2440127303314052 -1.2462759442588949 1.1713043072850633 1.4201746355538771 0.3181504542122456 -0.04030424241793943 0.6269088323612907 0.3267369770111575 -0.756123396792676 -1.3934442094375459 -0.995558404572542 -0.699850169223085 -1.609784506641171 -1.8222412268001869 0.2010796677598865 2.6770848883312004 2.991989055983257 0.9728008177193571 -1.1969965550533348 -0.6143461014685527 1.1046579257664442 0.8667714215094942 -0.7117463665084733 -2.126774711638969 -2.1473676593544764 -0.49957802040365495 2.403958340798881 3.088759930234933
1.7271288489693042;70;13;15;0.1459607039568272 -1.4557202750509264 -2.2268596035854165 -0.578998264256279 2.1262681297093002 3.1232204425042793 2.929217415326854 1.984759664002048 1.1132395811767497 0.5629392524859772 0.2578440710020288 -0.24038646947809691 -0.8037660704171936 -1.3949562449873656 -1.269326249274466 0.46629159804894216 2.7482356261489858 3.4414122690697315 2.9431510265999354 0.9112386856901673 -1.1615435448057143 -0.7134162552149402 2.0365313059398336 2.008901012894445 -1.2686541003493876 -2.9598348613014815 -0.6042803792721881 2.2795002624965734 2.684659443597413 1.9812979772252517 1.8056709145775196 1.0785332283413347 -0.5391644544971909 -0.8183957182609749 -0.017972991104958536 -1.099633956112937 -3.212025197897198 -3.2300623921798928 -1.2290205274692723 1.159888558696567 2.4841276757580135 2.034499133755255 0.4232935738398041 -0.020750510250963815 1.1949669297873062 1.1881975903623778 -1.7888202389713415 -4.031677863553519 -3.5999351026063486 -2.679790481550291 -2.7629081061126084 -2.846445074924083 -1.6516952685600155 -0.3300541014464528 -0.5649535267571709 -1.0939799975078661 -0.9048373948268825 -1.2843070230440152 -2.134426396293866 -1.6971794425448958 -0.36867971302910635 -0.14006944989694295 -0.5325067654786008 0.08448415372384385 1.59843338289668 2.7332293921928805 2.83876545984677 1.8338825984712044 0.6492184705967872 0.26714029650118915 0.5900797739132202 0.6056835359829241 -0.5509269858031602 -1.633702704486695 -0.7462747226867013 1.7678625375418626 2.754086377019554 2.2121029552403555 1.622839817260866 1.5423120927345069 1.0488968223611368 0.43144996925172296 0.12957537968239308 -0.5261685269183867 -0.8212331062868375 -0.44422896016459584 -0.9189785066203952 -2.0238176111173987 -1.5555075823462752 0.13789554400018827 1.2962632024335075 1.3266081504289784 0.27061520011012385 -1.1546508732417926 -1.2474833561648624 0.23018678267060078 0.5709807400853367 -1.0108524884025332 -1.1878752185709438 0.8671489810995393 2.802422091898706 3.412843243969443 3.414923191445265 2.5909285156205235 0.46708355961663695 -1.0529843795299065 0.024927909980758518 2.681782742048192 3.0768433648003 0.9972935920691287 -0.7049252081156133 0.430904222664605 2.1905276936211964 1.7120373343727555 0.3216119537817876 0.02979638438912594 0.7104075360100299 1.4792210016197278 2.3592439630428115 2.911311415887824 2.2327685393704493 -0.475510543493721 -2.404123606462896 -1.376849110074543 0.9266762451596917 1.2261211373007497 -0.0019247615725983564 -0.2661029053234908 0.6355190930400211 0.5246013784528573 -0.663602651389114 -1.4731345933578193 -1.1508454739464906 -0.7808855998225314 -1.5199674084011512 -1.8168038295466453 0.016485312118789622 2.395081721639034 2.75788234106925 0.6917366077307954 -1.3258634390723214 -0.6189579521730161 1.0566379172005862 0.7325875519427957 -0.8969003314338534 -2.1267807022711 -2.108682703072277 -0.6104739440664428 2.1061780955611757 2.814840971837509
1.7138601136338616;85;13;15;0.1530097684608142 -1.4214671884191097 -2.0899586828157832 -0.3605569025985709 2.2565634799598815 3.166512344660885 2.8952056014041063 1.965629478887084 1.0595650898255098 0.48327818522169413 0.1887626285673078 -0.3089749764920782 -0.785927315823832 -1.1975659646373695 -0.9261301232581717 0.7268173001914853 2.780679691643097 3.4430303388082666 2.7291332974734304 0.764415031624842 -1.2037220879808066 -0.5343057897489377 2.258845761035922 1.929018179916969 -1.3515607048948965 -2.803562033410406 -0.17685991556958322 2.504966239390885 2.282108134428924 1.7229745812198025 2.004343789266725 1.1569218478995802 -0.61715256285604 -0.7867405441355912 0.04115094428662357 -1.153635311329815 -3.1707428532888766 -3.122124680104756 -1.0151491195325626 1.1488931278349495 2.2612685224354303 1.8331042655916072 0.37568557099874367 0.014461405134479174 1.3369508270370412 1.3171940218011933 -1.7409455032346561 -4.085067575229839 -3.776219936662045 -2.726796575628007 -2.8474335292256687 -2.977990071037154 -1.7075402408151543 -0.3763372759917817 -0.7368494365065725 -1.1801656494330828 -0.8286659831031562 -1.1499151287765739 -1.9779656123196858 -1.6913520551396377 -0.6671127125203665 -0.6056375195399754 -0.8219500351870938 -0.036782162580974484 1.566123507562299 2.831578198947815 2.929054769664502 1.8402040632614522 0.6339112073761082 0.34210504514796436 0.7205370209971369 0.6550299828268985 -0.5630067585219076 -1.4560526053683838 -0.3969003828709875 2.001661184198542 2.6783165622972978 1.8843115899826695 1.5167839125038243 1.5598408321150985 1.0264812248198265 0.4499900396603498 0.2149086676193833 -0.45125877976286255 -0.6456497752536603 -0.19158812803264197 -0.7869857107555451 -2.0781249378703586 -1.737163317638861 -0.015485802328955972 1.175807240809098 1.286572156835475 0.2663123349785332 -1.2013846930891627 -1.2131774022044912 0.40242636749705746 0.6929292677051406 -0.9757570440102211 -1.1355209876584356 0.9598552114504518 2.955041832316406 3.5999094186709817 3.435630110937061 2.541251198675673 0.4116153981225269 -0.9991920224914926 0.28349528384009826 2.8918259862875026 3.098146951252326 1.0188949129380571 -0.3604954611777792 0.9195543570338645 2.2067909119641516 1.1073480191247902 -0.004770639447433949 0.28659670897712697 1.1140156675692978 1.614200576899203 2.2513621136122945 2.802517342949586 2.118972588134581 -0.539841171279269 -2.33076382304687 -1.2188697008551992 0.9841756802435606 1.0911092874906698 0.04502368203122116 0.10781305121458627 0.8716614247520817 0.25468500475146627 -1.1361689494062857 -1.5692399083797608 -0.9295775074007554 -0.6256688454932181 -1.4985989733563085 -1.8329397469568205 0.03379499093100975 2.501836433634136 2.7397004730205956 0.647172669724111 -1.311163176652298 -0.531949262275926 1.1888820200833243 0.7461275038019802 -0.8813381668160079 -2.049731438291503 -2.0286668780614967 -0.5617152531174038 2.142654006245134 2.7412391668833975
1.7033799463697197;100;13;15;0.22376057542169067 -1.4867676246637365 -2.2157240668148392 -0.4033145526934597 2.2853877059889434 3.4091820691426906 3.1102099876425577 2.0759110257834053 1.061776531676603 0.42981643619399995 0.1602733163158101 -0.2541525489794947 -0.6945415705603561 -1.2238744995859936 -1.0034436489976393 0.6876381167584928 2.8710690450174137 3.6821410287411505 2.899875898213296 0.8290423454666691 -1.271404699092255 -0.5440856464683096 2.2904003674244096 2.03868748420952 -1.4127335956013862 -2.8851307800352988 -0.17360393212357927 2.4402332657748502 2.4493027832893097 1.9609099091286184 2.1953353256719854 1.1130371726936295 -0.7162719146688019 -0.8227959873268677 0.036622007674995946 -1.167484155158245 -3.263255286690357 -3.1317393451431204 -1.1277169162987106 1.1029953755843374 2.4866295135016485 2.0471330773875542 0.460277377804104 0.051232916072643006 1.3255916899221811 1.2816538478560693 -1.8341187033601665 -4.2670261369766385 -3.7976076914955095 -3.013914394267667 -3.041364668817524 -2.9300323650454567 -1.5800579416474043 -0.3586311764586671 -0.7450139941547695 -1.1131102575057314 -0.7958959523382264 -1.203720365674069 -1.9724406020712308 -1.5826417012854281 -0.6273758012359945 -0.6640589877916795 -0.857595494491917 -0.07520852012273925 1.5675194746145842 2.946846048498227 3.0776640814022227 1.9359831883638703 0.6732241316714211 0.3148521619268177 0.6731040194971982 0.6481543845645497 -0.568961596625749 -1.4782839909716714 -0.40305122696985923 1.9968005350533957 2.8109683276965383 2.0112503890503506 1.6750246630498753 1.6330162538272985 1.0284507200157362 0.4720172195908779 0.25109676587090657 -0.45089949160081644 -0.6378765556494093 -0.24649577228728647 -0.926947245480816 -2.184532642499283 -1.7079086646911998 0.04083209289146052 1.3140625686206089 1.4638210333668245 0.32619467503751476 -1.2495782053381095 -1.248739966137204 0.4089293484408691 0.7353783628038412 -0.9044814015125083 -1.027440548772782 0.9275147090093021 2.9641616711407646 3.8245269722897652 3.7482404655462256 2.6993266077749136 0.41088469076836975 -1.0616410676076506 0.25241009964123706 2.9825741785264555 3.2971024340123027 1.0839238986642556 -0.3446805293254638 0.8697955674920352 2.1523300752628396 1.1184619896196963 0.14143831959909267 0.4285761506942147 1.119137732924053 1.5882165095633645 2.3207138646011938 2.9425798198262614 2.233761486646133 -0.6018602013327865 -2.472019783609808 -1.2677659142530915 0.939387168414872 1.1940684098505843 0.19658736760788395 0.17950740145679278 0.7897973399631393 0.1263011154480274 -1.1574818962210163 -1.485051009026649 -0.8139212402395615 -0.6056596848788594 -1.604897049417239 -1.9126771573393206 0.05519448365930546 2.5977051186869105 2.96904104101132 0.7285471701021621 -1.3455347280345018 -0.5479514762652313 1.0816550965105098 0.7604326091500742 -0.7725437943461636 -2.0421155476635877 -2.163612456503629 -0.6826168428894447 2.190564086711391 2.989725196101019
1.6056502341628944;10;26;15;0.5969722957113386 -1.8734835963892142 -1.9459268130892244 0.27762944406485046 2.3818478161988326 3.890859744216336 3.877939148836577 2.6031598887736314 1.2065981164838073 0.010944220767208631 0.27561764002951683 0.16363497825674683 -0.3119438588932125 -1.686215088087457 -1.1536754485650915 1.0252612325863844 3.2549083151936706 4.034974883729513 3.512644479484496 1.5008426906379009 -1.4811302900628287 0.4615050080935129 3.312460617606094 0.9108445020959591 -1.6484646704176658 -1.4973422885010652 0.3649343707208097 1.18298199626348 2.8279850177957475 3.952614175536925 3.072585822544924 0.49081713366817914 -1.3383284468785315 -0.15922017164768015 -0.029584614643407406 -2.076104297652632 -2.2079239642489012 -2.093559651789621 -1.6915235369843826 0.7715381178770956 3.6019081930814307 2.6000753122894706 1.1337807848072272 1.1008865233084844 1.6507345967148304 0.17148285611392827 -2.0868414573865093 -2.296233519913199 -2.343263726285242 -2.3667243896017744 -2.3578766752419584 -2.009298116021923 -1.111071720274514 -0.8399788425848057 -1.521796647922298 -0.5894477238820737 -0.6692850654968062 -2.1858558233711785 -1.6033597034466665 -0.4467632222046389 -1.20913117949753 -1.688264633105215 -0.14211526949034442 0.19394944891125226 1.634548657526363 3.765533623318272 3.5285936389379926 2.42136562011302 1.2646799907765953 0.32625233487177396 0.7408237725278577 0.6754445594707107 -1.179900938375802 -1.3162409862121869 0.27112994517596484 2.0438419738606837 2.4327433281874855 3.2218202567454957 3.0720388778313796 1.8782537130061778 0.9784113442414795 1.0567168437789098 0.48926013093592746 -0.9962867156738467 0.040602118140175836 -0.5404011830591485 -2.190277209415332 -1.9599146395830898 -0.5632623713066396 -0.17992425494957706 1.5059236452796585 2.591053420300451 0.19499241796522854 -1.8743022162698912 -0.5626133237567158 0.8984155878483374 -0.3540662398920783 -0.9225290794014324 0.9776083000043426 0.8496704132630435 2.82668325343372 4.249734253113814 4.069873011676016 3.1259668478046554 0.7290524050394953 -1.4418124234960077 1.2100825676627005 3.9950281505547585 3.143663474650713 1.5611825839465996 0.32637476841594765 0.9312025421490367 1.55735531884402 0.9271232211995528 2.122269832059386 1.5009016983643895 0.7796257707853131 1.8289307419518661 3.1928801119847026 3.4770649171331116 2.6683223907134455 -0.9095137571511046 -1.7426266243763684 -0.49274428168332024 0.5781768371666847 0.664046558129902 1.325426648006977 0.9746443598747163 -0.13878485244011501 -1.2927030437411668 -0.9872203432412558 -0.6715872654246815 -0.511703621458203 -0.893754500736155 -2.194958588893964 -1.7209204674451508 0.880263073897124 2.9214670350076015 3.222867119710357 1.1454157905317117 -1.168943173613707 0.12453334542876046 0.5439256974903105 -0.10249098209003185 -0.0209584413480796 -1.8870666059168393 -2.2448485732794583 -0.4047394994286776 2.9840143264907053 2.6524217553802085
1.7143911731792825;25;26;15;0.7492149258364031 -1.7366433307699056 -2.8929880931380865 -0.5225934299870639 2.4210145690701537 3.289849276159909 3.2528214784908984 2.505473346400759 1.1384340083148439 -0.043105611768115545 0.02960036903373287 0.3408825068958667 0.001554850298776677 -1.4152250995045954 -1.6073160666716653 0.5072374937802159 2.9743062075911 3.3855544169555114 3.1262400206298206 1.5228509251943152 -1.4239092696072397 -0.8039856270847883 2.6424701172844856 2.3000130855073313 -1.1971337405291307 -3.095934834555224 -0.22253414235881397 2.189089492612389 2.35438675851114 2.87294770725364 3.091037868102678 1.1202396348216164 -1.4850162633602904 -1.192457303322007 0.5425983606173742 -0.9429601302836043 -3.6900000632507814 -3.7201086808086914 -1.308880446278848 0.9651466619287061 2.4956860013912237 2.519010078295173 1.2109418489589654 0.4486931426869282 1.1204409949441136 0.9570291307427361 -2.0225756033108757 -4.308179982525754 -3.9252884303525932 -3.7570421260216413 -4.161091991817655 -3.58830129500829 -1.4502713458305332 -0.30340599125963813 -1.4706059475353987 -1.503800489469699 -0.41093179121360446 -1.1257218111504417 -2.444742788094335 -1.6017028443650843 -0.07681886756204341 -0.7071803066983601 -1.4884487458054487 -0.3648063949420211 2.046061203533547 3.163433159745642 3.0150688648620725 2.310385865041851 1.1036517991000723 0.21446873057227597 0.46785110935839863 0.8363545110455517 -0.47363034615801136 -1.6292450751181495 -0.5337859526457855 2.0419471369177042 2.5725947850473525 2.3456161735400087 2.518680593527978 2.1067349248177356 0.9387812159748393 0.42873288060733733 0.5467694505628122 -0.20031485034414054 -0.4985841745331514 -0.6064341987304731 -1.7461962922973226 -2.8454338562204002 -1.759642266114955 0.29848435089100356 1.6284497447197752 1.7396068225020163 0.39985990580931124 -1.4030440476613864 -1.394051509769808 0.5362079661161712 0.8635081744220315 -0.7638013653460469 -0.5662278465357495 1.191666615663534 2.8598051589534337 3.3432066384227235 3.471231239564116 3.003836729148386 0.8698300885096891 -1.5273749747967171 0.09115699716965246 3.38828674427038 3.2488290217073112 1.5299430848081934 -0.291710330384829 0.5154592245238115 1.8321352808444467 1.207072874080175 1.0313126696333352 1.3344260751255057 1.2253595781911188 1.159965987616858 2.275435319064204 3.306460699995468 2.729162651570871 -0.5336422523575475 -2.883049634433051 -1.3869454219362258 1.1792863004190737 1.212956723193266 0.389964729421421 0.47343527709914535 0.6358437853015116 -0.7507524955557866 -1.6917167348706015 -0.8464469280964553 0.2399464022858057 -0.5969224227989556 -2.5861263491216597 -2.3949729158830637 0.4967997158870764 2.8012760839720796 2.890222893129294 1.0443783880764634 -1.0025861648910137 -0.4859342059599022 0.7463813568385238 0.5297439242812099 -0.4615255999915687 -1.8466187563643417 -2.516691478111946 -1.2415854290662638 2.1522084654305838 3.0723111520617254
1.7696964139571645;40;26;15;0.6749798361831622 -1.437692366248034 -2.5726896607838303 -0.8215106223202979 2.2291325251986462 3.1869733487037113 2.8985040434553375 2.1846976104314795 1.028184062003013 0.12472420322430339 -0.01263861400334176 0.126365823635403 -0.04759741582089477 -1.1114918133526879 -1.5257850610291965 0.1090370964850794 2.7781621284901186 3.3220959503253096 2.8287661962256068 1.3204770379746875 -1.1908115269098667 -0.862275975375729 2.2352161618933004 2.3186123508497007 -0.8587810405906069 -2.8986312686053215 -0.6730665771464867 2.3518608084731785 2.347972588688668 2.166346806556736 2.7886610108309924 1.5352325134481035 -1.2149256184260686 -1.6631291388107075 0.346176016653916 -0.17799564581796024 -2.888282451599325 -3.536719855640658 -1.5424074177683946 1.158427892817269 2.4578958957835657 2.084361710998751 0.9334273880395227 0.4092257349655416 1.0429739592562937 1.0057422554461302 -1.5038633911070727 -3.5551206812936944 -3.494690179674017 -3.1832542884941004 -3.5112554756421686 -3.261492243654256 -1.50588223413516 -0.05492021477180957 -0.9835466629699303 -1.692414943045449 -0.7123249866894092 -0.5206340065414242 -1.9005732348847961 -2.0340582972134342 -0.4833891233405729 -0.006524593571349184 -0.9349971574066094 -0.7915384414091674 1.4491378442483738 3.1357690196287145 2.795363030527351 1.9073526095184377 0.8845315490561386 0.30029530026342593 0.3209937954287883 0.5298066761527802 -0.2868400775075478 -1.254429194588945 -0.5507929828506839 1.7651251181896832 2.631263441757355 2.1362447786941696 2.052497089397493 2.0062765169579313 1.0567515894452686 0.22652568272674992 0.3407091904200318 0.10921778892672535 -0.38950491006403565 -0.7910416682397189 -1.5356080502999103 -2.287447958361741 -1.6792912652364549 -0.0018131673284363693 1.433247243223956 1.6143671164724398 0.33943985035441204 -1.2736338133081342 -1.3427769405330774 0.18296603675534723 0.7806253826392426 -0.5147164226811464 -0.6484989947779815 0.963472504896846 2.6719284517245945 3.1041759234287865 3.2413605006298143 2.842277467933465 0.9230833635392306 -1.4262638875662599 -0.32608961342662657 3.1871944030293387 3.149076310312518 1.3922015285848024 -0.654057103268959 0.3761011336613687 2.0143012682287753 1.2417213424326259 0.4209946687596008 1.0766714147579766 1.5173197745479263 1.0301265244714322 1.5382805470762664 3.076717861057159 2.7927951460644733 -0.13455653323710226 -2.726395802338455 -1.612422032202569 1.180875989537889 1.4672657966078508 0.0968335797713798 -0.046244506437050026 0.7447760920761681 -0.16450023992488594 -1.6902094918264865 -1.2535482721341076 0.2505680364231852 -0.16297818878697248 -2.3025669659677086 -2.540731136023922 0.157700358536347 2.9120898985332246 2.6446848539832506 0.762273755052581 -1.0771692353881537 -0.3208696761194339 0.9137591692763095 0.3727707166111393 -0.8553177812728764 -1.6778541125882704 -1.9433691127009696 -1.2576365041488862 1.4709829838450266 3.0798524593196124
