rmse;hl;T;RS;preds
1.7388249735520518;10;13;15;0.5546676497298926 -2.050340835345011 -2.965532851052714 -0.41052667471575754 2.6869382800599784 4.122482443517297 4.290928235898205 3.1516370060168386 1.3623746205028442 0.20094208914885708 0.14886417614338304 0.11035482962588097 -0.3759499441830732 -1.7975794417414244 -1.6447271150312455 0.8353265185719024 3.568501732535503 4.391391136732107 4.118771246912252 1.9644478266992793 -1.428550661616398 -0.7551410080061226 2.229953691097979 2.675024410409804 -1.0251125142438424 -3.6238206515067595 -0.7941200294430439 2.2290231961622586 3.5016163247948637 3.6465794382861585 3.1833418275060064 1.0569098918993256 -1.0435761666513506 -1.0564216544807694 -0.10535997070038464 -1.5387815876712139 -4.041591161603605 -3.7067759299383316 -1.3863626831956999 1.1417093115494699 3.1744038043668183 2.933042134410778 1.0726487052821287 0.3556022388703152 1.4720630948182138 1.1875571169046912 -2.584307593206742 -4.961837922937493 -4.072320708181874 -3.7444492182194384 -3.986010975288648 -3.6446578672474015 -1.8629366392254907 -0.44137247699881615 -1.028551736150148 -1.6504011422539544 -1.149246349582069 -1.4229461257264067 -2.392592837737488 -1.8748003373315691 -0.35557513036002936 -0.3519735248815277 -0.7766041699215338 0.268093630721908 2.448983931894147 3.5610718510352495 3.6523364357638797 2.668795351120174 1.2925554504419379 0.47597328328427013 0.7224143353411336 0.7769220487388695 -0.9054796654742083 -2.024339395175993 -0.3670629911828005 2.483295277423436 3.169115873384941 2.731925531109607 2.3629388351753 2.011054794911279 1.3375067576987816 0.6355377388825282 0.25559544979027354 -0.716033113095487 -0.6548563284781125 -0.4326048124608485 -1.7124777198173786 -3.2765595820580953 -2.1595815099086018 0.18622153346249054 1.6097068539720694 1.659243990125058 -0.03253357819270668 -1.562199417968011 -1.128454363114015 0.4941802371049724 0.6531659227564913 -1.3420958056598027 -0.9356916963192767 1.3637917045333905 3.6104906722036545 4.361734212836861 4.622695733466922 3.9809262025188015 1.2518663281803715 -1.3357184782249352 0.00013348858247457483 3.1698053951431984 4.244861173406996 2.1952480122086784 -0.33255163342324373 0.2928037901351268 1.9384014567892804 1.8999766437073617 1.2584359549066386 0.6861861372957846 1.235999465035772 1.8485210076144771 2.779563936408731 3.502080898316609 2.8787382522712934 -0.6990350688387849 -3.0345440346049757 -1.569894984003266 1.0078535788577372 1.8025890338778177 0.5993050478630811 -0.2904148000243623 0.5347118057414981 -0.1322724362506973 -1.734442821822451 -1.912528439896673 -0.7203018129032066 -0.3090433071398204 -2.26046779866835 -2.6063606077383343 0.37002528478848473 3.1923553326100427 3.4394263745183635 1.3155519895341348 -1.2721222270557244 -0.5221420358560065 0.8478408742102901 0.9842600732737036 -0.7306742929061202 -2.745248321654155 -2.593718277221052 -0.5235380029082914 2.617148014799103 3.3256510909633463
1.7292602842472409;25;13;15;0.32108646301956195 -1.0317979848189394 -2.2159046843735837 -1.7087620302382356 0.9131418346352281 3.4178666885427447 4.231610194665222 3.301415090083282 1.793396558638873 0.39763251390016957 -0.43346420608146585 -0.874970124860943 -1.0437223380753426 -1.4433933513153319 -1.037222876627908 0.648837017095857 2.7362669422148143 3.916971112484954 3.7548265665108524 2.1763860576473726 0.14890581103669226 -0.5937992441790019 -0.19856369496867393 0.05914652239673482 -0.4496749315103746 -1.1961503782648562 -0.5229189834019233 1.2411527565605092 2.883290533627506 3.717469583606253 3.3792286089569687 1.6241833662820064 -0.0655797864592301 -1.0692141252158307 -1.390526172526622 -1.8704306204895436 -2.335660116453195 -2.2967168141603533 -1.2114485057715356 0.6530321818941707 2.418111059442147 2.7040025956846274 1.6859240191486948 0.8686182585125253 0.5856371211250018 0.14817076047424027 -1.1927789253845305 -2.8413563324605553 -3.916130551014204 -4.267551814946119 -3.6385159716552753 -2.5796588626732233 -1.3376965849545328 -0.5074765939852435 -0.4528544595138089 -0.5124410308320565 -0.8668609056770544 -1.4686155600099329 -1.8805598808279458 -1.8551431263548963 -1.5134671232417982 -1.2518359248224133 -0.9560409750728629 -0.6398623753178755 0.2989229962080576 1.539950885080143 2.3735931744199683 2.1790656673994895 1.476992636232865 0.6160876540117786 -0.023511133942287633 -0.4674297798124538 -1.0583081794216673 -1.2685050084922318 -0.5030403062436641 1.5478162855363071 2.870151579706578 3.2842875732896526 2.919494020315315 1.9565810783508857 0.909399486743103 0.21405767960447447 -0.3075826038190717 -0.9060393402810305 -0.8876422587730762 -0.7166246880184058 -0.6469585786084419 -0.6617426349953951 -0.21052882196501757 0.6429760821506663 1.7867879928037556 2.2546021470002504 1.285799515056402 -0.27369848396433755 -1.1873529852149391 -1.1487932331442738 -0.8329091478414182 -0.592313305320402 0.0021409774906014853 0.623436811744069 1.9705862776779304 3.203793246537423 3.681134003479959 2.962237480100344 1.4430542075537198 0.03310685450643226 -0.529990100920442 0.24676683057037477 1.3471753384263234 1.4812678508530268 0.8898011337271154 0.5866245270659647 0.8651607651782207 1.2749304116498434 1.8998491930087786 1.7332796666112442 1.3823691040684825 1.5068748078962297 2.2078692257476997 2.9477524311396204 2.7706088399679705 0.7693096027244294 -1.0115837948199033 -1.8058680803576312 -0.9404463861586093 0.6887582152011534 2.0124997353812337 2.234298696582465 1.565869354994149 0.26795067926268623 -0.6338139710284408 -0.9155704360011699 -0.6773045000816341 -0.5090134906584061 -0.8614559327199209 -1.0751467979807878 -0.2684650490141251 1.4431967845984335 2.5562325715084357 1.809606011058454 0.4739633513214774 -0.32300645971759684 -0.7781858465698743 -0.7532925235792556 -0.5878612547280284 -1.0538323535080245 -1.4932532327743686 -0.8317641882754147 1.5568504583211948 2.9011854503970937
1.6208063077301158;40;13;15;0.20712960714880468 -1.8904192631888543 -2.7333404426361114 -0.49228315277505014 2.516000983775861 3.77918178097032 3.9005801439118093 2.878143082969096 1.4341603653264967 0.2959385194426578 -0.09334578604310716 -0.3671555464492217 -0.7347935264421757 -1.669751033802316 -1.3639349546243247 0.9800271674929657 3.4299938246967763 4.314514253192075 3.763815809554759 1.6960245244528689 -0.9764142163549724 -0.5985652787779322 1.866200111861552 1.3998827171029435 -1.5833551855722092 -2.7488933217741542 -0.13939064575398177 2.3281994589802637 2.7155049089074144 3.0730210419692283 3.119986699280061 1.149625033315533 -0.8561447880385366 -0.8444032988279266 -0.22632834666032156 -1.7247817293850727 -3.6031089395092586 -3.3628765037098787 -1.2653476458276816 1.2320460971268385 2.959632753249862 2.700782930445917 1.2077082555005503 0.5550637053966416 1.110110224717411 0.5877566816557886 -2.353811282512179 -4.595872901849972 -4.525928377811729 -4.384380823229822 -4.101411816872364 -3.116406022672672 -1.4752491367341964 -0.5267318335459381 -0.9288989934290381 -0.898369908378446 -0.7030667642628288 -1.5010316192988327 -2.204586882620426 -1.7290079705875652 -1.1232175022710529 -1.418027816747001 -1.3009713142081287 -0.3253142945838202 1.4284493459503798 2.858572586392517 3.1792897639327173 2.1993048682876717 0.9137247231415573 0.1400768735644615 0.1926406268357453 0.2055432128776611 -0.9487266378898329 -1.6356990826442919 -0.27951213035714556 2.2899453789140733 3.0695434800172854 2.8868360892541336 2.824701252793237 2.2075270108872265 1.124138787509766 0.5664923338442193 0.257169245013217 -0.6867556957457287 -0.6575815419173254 -0.356902804206023 -1.1546229419194827 -1.8031381492956151 -0.711331889647922 0.8094669066185819 1.8734505739294873 2.102132172385821 0.8527669710114659 -0.9535229626224747 -1.0980169347350244 0.2920002029969531 0.29751592776560515 -1.1048750103983906 -0.6914462858212616 0.9360494128402823 2.7826311400597126 3.9944290873416763 4.313826528623457 3.2284384075920225 0.6951114303416945 -1.2072389634561078 -0.13607250949962055 2.5240449050695233 2.945224983443626 1.1529570229066965 -0.020582894236015926 0.8622496174942473 1.9195739483627265 1.3519034448355753 1.107322184523726 1.1698694760068296 1.201312806403487 1.6792729198254486 2.7488086301122987 3.437676810404557 2.714310676392135 -0.2849415151402121 -2.156072347372169 -1.2741857002931865 0.6707481285288504 1.0461409069322534 0.7119504233153234 0.9041042172368653 1.0975276507556335 0.2328884267165241 -0.6464385168565848 -0.7691764600254279 -0.3815840588192106 -0.6357960091103745 -1.8434637899526438 -1.8024692952182086 0.4769119404562685 2.7979911208431427 3.06945212287729 1.1574682684328128 -0.8269893549355422 -0.48116573766666876 0.4160647903718924 0.15170248148479076 -0.7561758148238207 -2.1143050610928578 -2.5214017623906084 -0.7615442449249561 2.5262506558200926 3.1639875927493497
1.6491433592598468;55;13;15;0.22567591155899266 -1.7118130591824638 -2.796993005747352 -0.6459207015917768 2.7420053687329298 4.124722640402618 3.973844975808562 2.836763390588649 1.4512402565946863 0.3914356916996938 -0.11513463241845556 -0.4331964997081197 -0.660220415370953 -1.4164729481774458 -1.364658023922515 0.921789162350268 3.6045371819920424 4.596087442263052 3.780277168055441 1.51461455484345 -1.0087157048043702 -0.7325009115257097 1.9202724560691804 1.7059304839785947 -1.4518452346571036 -2.820109057950559 -0.11780510645657319 2.479066639968091 2.9503703373807904 3.0529814788968057 3.143131506517496 1.2701650135555769 -0.9164346595689428 -0.9843360785189695 -0.1879720327126739 -1.4800313085984291 -3.46168628960728 -3.43577860283111 -1.285173717747542 1.2650551541137882 3.036263122277711 2.671631615902512 0.9057115787204667 0.27528014279184654 1.0363332686563747 0.5655664442069497 -2.3536195822839923 -4.723275076312973 -4.663207607000423 -4.181245975963777 -4.01662610079322 -3.2345580620624688 -1.6195691558662475 -0.5444642918604284 -0.9058181361895998 -1.1598865359583288 -1.024200140970318 -1.71390648558058 -2.462265237311189 -1.9071205465063759 -0.9460920327615986 -1.0744409517499738 -1.1594427050003364 -0.22359150765062966 1.4676318242310442 2.824386445074762 3.035739541029477 1.9547617233727548 0.718732867248038 0.11250152584814788 0.14269094205692237 0.1593680756386665 -0.8379501150137025 -1.5819283667644504 -0.303112918303363 2.3779100239334396 3.293663511637604 2.888627587792856 2.8133304339457217 2.319349797665005 1.1418172926936279 0.4803783822973184 0.2591951457547835 -0.5910472975439051 -0.6693710310678835 -0.23461015221175407 -1.0107594089558003 -1.8231513535866621 -0.7896621754257936 0.909713620515463 1.952571548265726 2.044172207456895 0.7013993475920097 -1.1372518310468336 -1.3560626649412102 0.13345636390653326 0.3815921096310303 -1.0085185381243644 -0.7602210640530606 1.0462119708059052 2.764048798253113 3.9360566673905435 4.250782613736708 3.048031719098713 0.5440088923940273 -1.200624781403368 -0.24618937017452028 2.606767447442813 3.215524401907607 1.1218520134596275 -0.01839210602522989 1.1718368744814935 2.261834637171793 1.5680140012969834 1.1464035708871827 1.3838838354027612 1.4182242354978845 1.7335141998591659 2.869297315564723 3.6607266155947036 2.8460677408826367 -0.19955536923503003 -2.1583875769249286 -1.239642667066238 0.8764713781728212 1.3485298203511025 0.7935220154904784 0.8726721941583548 1.1799291701296126 0.249739513278767 -0.8290585192735284 -0.9531179210075295 -0.3854864689135812 -0.5092443920855986 -1.7791750217091098 -2.0153838494378227 0.2926912785754198 2.846695559129947 3.119879766496526 0.9473377856130971 -1.0319872887942734 -0.5783973289706559 0.4438049366339799 0.16448927984005302 -0.7318823038753006 -1.9335125758903233 -2.4943669381790237 -0.9691157543470891 2.5247473066868626 3.416897104732371
1.6249901487192564;70;13;15;0.0191382729182873 -1.9569841721104944 -2.834087898496228 -0.5733393259382495 2.94928872874957 4.218486816387834 3.743412914643602 2.392918654142397 1.2351624239612926 0.5310803594266948 0.14753382523365594 -0.44512639429924394 -0.9830911502792828 -1.7854397252599181 -1.4996185789449747 0.8013219682906133 3.6306179980367936 4.73408854262351 3.7589250574831548 1.2848482026740276 -1.2029212153478173 -0.5491087915100047 2.1626884772802457 1.4304783730530894 -2.0125577687301073 -3.1291468990885067 -0.26090764193238697 2.789530850616388 3.428990094283257 3.178197372163662 2.818896629790076 1.0252233418381569 -0.8219221787476855 -0.7936055839088095 -0.1292745835269929 -1.755356567888564 -3.8752465834425824 -3.711744560227636 -1.3492210635162036 1.6409816978400473 3.4557298798623988 2.628159695250375 0.84605132262701 0.6346476807136912 1.4897529822031246 0.6363538876274513 -2.6560984300677055 -4.893156823215639 -4.554788547633575 -4.114079907107809 -3.9219300819800536 -3.1366564559961 -1.638437999654504 -0.6239913187307844 -0.9205815997786034 -0.9142584126816181 -0.8385270877708024 -1.8582357901924338 -2.553563070048145 -1.6650172362925397 -0.549477290268952 -0.7556901992067159 -0.8773324557588315 0.03746674296761822 1.7849830153427386 3.091253530859388 3.196111758487675 2.0253253792417194 0.8226236077871971 0.2855621642495847 0.3342726680514214 0.17223846203287915 -1.0867011548202112 -1.819499763771319 -0.4915047450125513 2.2899151262218127 3.2668599258262687 2.9029404060798183 2.6485616915667127 2.1371297448256956 1.1737401731923576 0.5893837373425201 0.22875432892449393 -0.7632488792977818 -0.79990061503478 -0.4726341040346555 -1.2786978444141222 -2.061282575166156 -0.9839302131921063 0.8532108768523599 2.0587087758539435 2.0063338772605843 0.6085145589621478 -1.0079140084594627 -1.025599402870275 0.39261116604811375 0.31637318342483367 -1.2653418049613538 -0.822852973215012 1.1091907375682313 3.132690134245078 4.310880335741518 4.446635248584525 2.972007302510897 0.33643255302473885 -1.3008512020339058 -0.08077180489429239 2.810864689760675 3.0570200635478 0.7725435705973526 -0.39436679477705916 0.6884241625769585 2.254444892906816 2.136698718843883 1.5604475333841474 1.0686882234975401 1.0650492888925733 1.6983240285962853 2.9429662155986995 3.747850175862902 2.8003011085927882 -0.5105894013233208 -2.433528174979631 -1.3552290684802062 1.0520323941013112 1.448976846009858 0.5435366059334136 0.33028006150203115 0.7488450791852265 0.29691169763231 -0.39526842235419885 -0.6836830256429279 -0.5267543732993304 -0.776295951898403 -1.9750818717777108 -1.9984294619127738 0.4774234655573391 3.196434953091133 3.1846975075572113 0.7244963046552996 -1.0941665308158395 -0.27373586925297894 0.733452898754093 0.1536584603169553 -1.0330123608347588 -2.2827334806405863 -2.5668359145971964 -0.7869893051348237 2.9613298993325246 3.5496243520964597
1.7571531057971712;85;13;15;0.3722428295960613 -1.5785349731939458 -2.235118438806772 0.11180230675412836 3.0505888204237546 4.253564363766656 4.2503701587145 2.944855660972761 1.2760500607950942 0.11880056320935584 -0.28539187963137214 -0.8162810251187943 -1.3383241036702367 -1.8665870309144077 -0.952811050876628 1.794063016463427 4.444939600159895 5.282342808351451 3.9852104030871596 1.098876741111495 -1.6846437452795422 -0.7326567428440127 2.6908876042922234 1.831540411073856 -2.2896469696511628 -3.5467230131727066 0.6557285654162541 3.9028805466500454 3.4896931696648865 2.816362592398738 2.7336523308213168 1.1909087258160833 -0.832681279171742 -1.1379547568444839 -0.5222783227369827 -2.581064564502721 -5.134815928056975 -4.310593009148049 -0.707065960507563 2.2296068334976042 3.570023053565125 2.8045766227445568 0.7246987131384197 0.03024175980696452 1.292324811104901 1.0492337954184956 -2.9437581013835983 -5.951395998493397 -4.969661388968741 -3.8162286728793533 -4.165024841811541 -4.029576050270419 -2.166134512630706 -0.44395503851041396 -0.4090658965121072 -0.46022226308860653 -0.7373885933983466 -2.0331978926736447 -3.007149472933935 -2.2807071493223354 -0.7913487630193252 -0.5307030235854607 -0.5344162420288497 0.5265932261949051 2.5571635157415655 4.068731796255094 4.063234193148638 2.4978673403158593 1.147599301060495 0.8687823269500081 1.180952220331754 0.7973491308272548 -1.0032469316150434 -1.9276875847379176 -0.08325666293998156 3.2030695781760197 3.9979695509309927 3.0606833350957983 2.4440082626120887 1.9531709110104147 1.1592882973570586 0.6435547772145038 0.2453362301760834 -0.8327335474370834 -0.7623243749941926 -0.10978932241320002 -1.164845805884929 -2.7513743420711347 -1.9965783565843496 0.1398207553201434 1.71353813748733 1.9494180795120606 0.43740491967991674 -1.7570887591691915 -1.9003364551498252 0.2554199242688404 0.48468778096207676 -1.563571572257576 -0.9898688765891944 2.1704912756306425 4.712441393418782 5.382817690449615 4.999076367108698 3.413445302498591 0.7521987848178645 -0.9684496709370431 0.38665846210696897 3.4684908248958712 3.635015421552424 1.232922301958873 0.12072688841247281 1.4868786769067557 2.710259511413666 1.4881939201910779 0.3727694061603607 0.45088204478462934 1.5715149267142365 2.5811802594856417 3.382141853362188 3.933810779404698 2.903537372571655 -0.699026831719605 -2.844643991373951 -1.5961019028543713 0.7608593668064937 0.6674290936796695 -0.27474379310898994 0.5314141874021849 1.5779084288558574 0.24940132337425666 -1.6613093345351668 -2.2579223790759633 -1.6051438634610289 -1.1020533477818715 -1.989247320514255 -1.9762817953935146 0.5894881615488505 3.610535901476242 3.835431120894289 0.9585951568646348 -1.6466628380385175 -0.6211200087504809 1.2429829695593773 0.42393086477417125 -1.4777512740094378 -2.74191902784745 -2.1500074314029236 0.1277804084491071 3.39709986272964 3.9062143334308486
1.6041712448292118;100;13;15;0.30179265876452516 -1.7604879936060238 -2.9568308588194805 -0.7600173825606126 2.9882742649989336 4.395396772906382 3.7342882833135387 2.376974886257818 1.469836826152597 0.7199032870005975 -0.07635247812993343 -0.744383779654607 -1.0830178895374762 -1.8271327277008071 -1.4363447735502055 1.1572420471869727 4.058391665665687 4.771530592504368 3.441355657596095 1.2205774063268862 -0.7283510508828853 -0.3856989865884221 1.5516738033311475 1.1526824273064 -1.6672743567136306 -2.9632045918750696 -0.18608498359146466 3.1061714029915635 3.391335376961756 2.881177338143358 2.8088871820942902 1.259447473141928 -0.45909194312987267 -0.8210760019592067 -0.6611187106589699 -2.004560125069655 -3.742977918968108 -3.5978057324154475 -1.150418341875563 1.6984462374917542 3.080275098416442 2.167064184754402 0.6345784140296785 0.6397982015710679 1.447319687396669 0.7249432058122589 -2.137165612835685 -4.659190888156707 -5.146731894428395 -4.527383502356305 -3.585689079867645 -3.0010989344818038 -1.8606115251297148 -0.7780599684122254 -0.9073011171735851 -0.9556759209273908 -0.8729957622764271 -1.6571993115960124 -2.342665411901176 -1.7971337387108912 -0.9373053479666155 -1.0596634101754627 -1.0470672075255876 -0.071227248972584 1.7649951214724442 3.0747250772788406 3.0760400210315564 2.0156878000354546 1.1100261312188746 0.6279035019437123 0.4257215770424267 0.09215213477020921 -1.0800014564938036 -1.7171751242369602 -0.26788873148241454 2.708131938412404 3.696681491049084 2.9890015277396156 2.659128867113878 2.2857793435644957 1.3200654815473 0.6250643916111119 0.16861338076471485 -0.7897506870155265 -0.7938163792769128 -0.28201612098420253 -0.7210908540377376 -1.3483730895380857 -0.32357577569800455 1.3086972087184405 2.093763708596471 1.8199763943401217 0.5108395485561273 -0.9233101829483901 -0.9903893876384613 0.17128516525361112 0.2207206104261791 -1.0795193603730757 -0.7678282682643862 1.1196106933307817 3.3176464083101407 4.3101045488805765 4.131339892654325 2.827241280816706 0.7567100303439808 -0.6621561383782252 -0.19845676218513875 1.9732853569844726 2.7337376973291807 0.9772842068060651 -0.18522577717810135 1.1889324911590264 2.7104164659754932 1.9420094647558719 1.3259240202396385 1.4164811113136182 1.5447234719329666 2.1200465587098343 3.2893376761759368 3.907686531276998 2.852025724068347 -0.22982962777135732 -2.0057271002087393 -1.371229298072618 0.589832398247668 1.3912195142127572 0.9166885135053803 0.6587321934837472 1.1051767145089733 0.6809075666766116 -0.4503796919391151 -0.9712052868343202 -0.528828405025923 -0.5511524582199842 -1.708540826146805 -1.7797686933532744 0.6422533123840825 3.2243033737637217 3.006373462324183 0.5943212537861954 -0.8848098879016231 -0.1213706183764866 0.5363702373640149 0.033464794776248946 -0.8263595897327893 -2.0834944912150184 -2.498241529275437 -0.5447310996389549 3.1401062372914303 3.4987989305037375
1.7168929667562696;10;26;15;0.5799901640712339 -2.058909086715924 -2.9562048377618093 -0.5195911123703496 2.487167322501193 4.1414559736020395 4.110158515097768 2.845749338784884 1.0508088823714923 0.02042371280775866 0.19342777717701 0.12456508641869113 -0.2433849306253771 -1.5690161582696744 -1.5308751513849537 0.6864881400380797 3.4579826570751946 4.350493091174979 3.9267334466053434 1.700719382853795 -1.5958812978261536 -0.6481394819672304 2.2711509687300424 2.5530811994760163 -1.2298502300193912 -3.5199532744329107 -0.6337310756563306 2.036474694466197 3.148817814536073 3.265019004572467 3.0062527510867465 0.8428262658193815 -1.3193222678486758 -1.1450835341972618 -0.052932700877693875 -1.417572828236665 -3.7152601626936095 -3.7053753201461452 -1.5728564529971385 0.79592845241743 3.061180857094263 2.8438281430605286 0.8792232499250163 0.1308017463228369 1.332004062555014 1.1146715669047214 -2.5606637663128096 -4.842592892715428 -3.970156168291212 -3.8500197320080805 -4.185412460610765 -3.6777692891608864 -1.8835646321389634 -0.6505110234620199 -1.1125860023113827 -1.4611107956080442 -1.3183170397771236 -1.6476511425743001 -2.070741933066529 -1.5361831509844694 -0.6637527167239912 -0.9261683135380057 -1.15565130880764 -0.24949477633560352 1.9881617439891421 3.5989838660067694 3.556276050482919 2.4145962058051897 1.0235790630840491 0.3792556882171077 0.6410092078563138 0.6508037416244061 -0.8108753033326446 -1.7030334882631362 -0.26399502652535906 2.379126871085013 3.0449375576031428 2.537563665067545 2.4487068651580963 2.293195446610848 1.266764880523925 0.46359356710302274 0.3917154542202032 -0.26867475858015477 -0.3433364935654628 -0.7017432089764251 -1.992928713724449 -2.805220839447431 -1.4674436425993405 0.4564171642248049 2.006520335685656 1.8954376915076405 -0.008763732735684858 -1.5819053028307468 -0.9499297065875054 0.550988016267887 0.5170101242995799 -0.998121196998108 -0.40981393925799287 1.3193581376584531 3.1653669357974716 4.033307091744292 4.466159018230483 3.8244071596471487 1.0222476450929738 -1.5945112402578343 -0.009223101895766531 3.1395314361384776 4.213924051425393 1.9328619192579084 -0.6673652176646807 0.23319291931529856 1.9511853159906534 1.6925477113299425 0.9880655474519072 0.9546208966261452 1.4875437868390804 1.7379024876607971 2.396070775003833 3.4953896617580864 3.1861735993142464 -0.6179942841118715 -3.1173225893886882 -1.5533964835833731 0.9753986553428885 1.6925766161299738 0.590016984600199 -0.10438702651980004 0.48381195054455045 -0.430781039391521 -1.7552205805391943 -1.359113544119635 0.22840610471116443 -0.11760741559625604 -2.763235793690164 -2.7944937140223725 0.3675861614749693 3.2785105071942935 3.47582845066131 1.0661889317725608 -1.5032003778959937 -0.4787263897044484 0.7483093669069276 0.6073396462354901 -0.6925153890079085 -2.41306282772851 -2.599397396481072 -0.9814582537262238 2.151487492853639 3.4621296721677566
1.8157706945007457;25;26;15;-0.14501747802793516 -0.9288143008672886 -1.709392094972595 -1.5232990984607084 0.3274369449341934 3.0898529210672017 4.502572776106085 4.099769261324888 2.6632791770541124 1.0467115895256158 -0.16402208451685651 -1.023723810833016 -1.5584164835431995 -1.9500503149506734 -1.576415188014454 0.018724769535457247 2.540139037820586 4.200014103149228 4.327492658171897 2.9610675096451944 0.9437118057501132 -0.31589119872856425 -0.6816352029319077 -0.7750257132379635 -0.8623766179955269 -0.8877102524477611 -0.1619725769405495 1.2137431434262398 2.702365355923274 3.5705388469915893 3.3403404204797313 1.9530831482496982 0.39805324348300747 -0.8105452195022361 -1.6136641897748953 -2.3545716434953836 -2.772061492476899 -2.6617392092820884 -1.7218460201093628 0.2356670503853285 2.4036712397540114 3.218473889637218 2.5524812376681143 1.3428346761501322 0.355200679310296 -0.48744365804961554 -1.7031034288932634 -3.0073366801880232 -3.8088377304879506 -4.055568204959634 -3.6599923878442757 -2.815699952702273 -1.5040562894616851 -0.2853319733100639 0.10021803419550179 -0.12816534310506936 -0.8711749096402633 -1.8084880833200465 -2.4339464708681655 -2.3940554505722282 -1.655112325127437 -0.6850989864299496 0.13793512897406524 0.49712998692473886 0.9429508457036954 1.6011114949907643 2.1539583290759974 1.9759317187282637 1.2387793429931788 0.3046072449468399 -0.39829339204865793 -0.805538698464704 -1.11264815511974 -1.0320694353373674 -0.28493236070548716 1.4332631183991027 2.8863529447727827 3.482717677611756 3.086597312035706 2.0496416545923366 0.9493623197417087 0.08828319733286961 -0.6017916460363394 -1.2373233938367898 -1.324569163000457 -0.9977881178516342 -0.5583072573810802 -0.3474399642507241 -0.1374118463575439 0.23405527081053054 1.0245607779244879 1.634686442065372 1.2746940812122824 0.14624900312812306 -0.8964275207929282 -1.3030627936508024 -1.1638903749429643 -0.6004134636731927 0.4672347107535878 1.41258705066278 2.4545637564265985 3.237389610121898 3.5069554756814596 2.9214227043298338 1.5396079213906535 0.07888494388023118 -0.7491051466027119 -0.5757804710901091 0.418790715198671 1.5745514283755475 2.0864223386859506 1.9307524679188424 1.4712814670909449 0.9398390118433394 0.7556941689003964 0.5654640792804142 0.5014558972693078 0.6860893137039702 1.3687784564848908 2.3609313743482607 2.7386760749262247 1.584155160510273 0.057572558687262715 -1.1869634443606325 -1.6324365843858455 -1.1438717790829995 0.5649335339223283 2.2748238252894497 2.5699430317346437 1.4657895550850129 0.12437533314594729 -0.9457108039093733 -1.499994640876987 -1.6462643112360145 -1.631939811216397 -1.173708272176367 0.06593529393463757 1.8474003101086034 2.9790975151693324 2.4825855372817367 1.0185181770599299 -0.22727754360072505 -1.0837857388108445 -1.3681652395035053 -1.063210463460123 -0.7600068989543837 -0.7227465149928939 -0.5118353779236303 0.8738271880331775 2.22744571295641
1.6858468403417894;40;26;15;0.1739814177306167 -1.9503513442152471 -2.6738277058588764 -0.20665664584218227 2.8500649901719286 3.818427909717374 3.668195136672201 2.777736194545617 1.4652518958512715 0.17111460072441134 -0.32501498762598396 -0.3051561169952072 -0.4655592423710551 -1.545379370368496 -1.566217934001367 0.8151133020505875 3.514727422276383 4.306751592076955 3.658694892707535 1.7213681932139222 -0.9158317773278771 -0.8876262338321262 1.750510821340737 1.7712322681154506 -1.6027309866045367 -3.2968633320074874 -0.05478498561181895 2.866266355238133 2.4748366546205167 2.5410049836950965 3.585495059169402 1.8892264543486 -1.2434381069356224 -1.7219087719809334 0.22293779953997295 -0.645147011452081 -3.7976669987536047 -4.077227934491838 -1.1221030200460147 1.5617058656632268 2.4492860095193434 2.142391017494591 1.285592388950479 0.6616345798682293 0.7592159866472057 0.416489076892558 -2.184591350694165 -4.627135315156279 -4.245965470657517 -3.6262411664192187 -3.8656337155938574 -3.305012688426652 -1.1497675345774507 0.08201443138464772 -1.191211626253304 -1.979780174792112 -1.1165674513084294 -1.2468449794284215 -2.6538255842372713 -2.577715501609984 -0.8732610723969209 -0.29830680263133236 -0.7757007825962057 -0.014261204797063292 2.4665731766592596 3.743198450013318 3.297750320877251 2.1950453790768534 1.0813486007941167 0.10835449203486022 -0.0743716943366022 0.1612500888847408 -0.6457421058713766 -1.4147861359352094 -0.16400304553911574 2.46070954592961 3.0554645959150317 2.464101441842082 2.5580180794150276 2.3381819488314606 0.9769846003166223 -0.007972388951928545 0.11554860471931477 -0.2820420866303446 -0.7646062816557246 -0.8855469603024193 -1.3049487944113887 -1.8445025655641285 -0.9326985518580126 0.7329600194955296 1.7365577405132306 1.6238697566899578 0.355532672654696 -1.3032480539494482 -1.6994728062903781 -0.39980112183163363 0.1554316874276789 -0.9039831306850271 -0.5133499594921056 1.5079974523575461 3.2761169501264233 3.9433532573258856 4.279440000660926 3.6075477741693875 1.0273424530715338 -1.4172421453430435 -0.28288639134628246 2.978107563209714 3.4043059941198073 0.9598602286048614 -0.5843188816247203 1.0241614274100668 2.4804411905105086 1.2461349406550097 0.7313450199559614 1.836886750719009 1.9639678272997971 1.022054596972558 1.7360957130101409 3.5781541385562914 3.1603881214335448 -0.5193213092757576 -2.923977633150834 -1.388509276453977 1.2393374452590666 1.146219958012373 -0.12134674945159035 0.3199168669789204 1.4109932429843746 0.10874481915963416 -1.6263665763792892 -0.8815795144079784 0.6263487082570588 -0.43860049918753186 -2.9400654757381592 -2.556148327344202 0.6893530100888425 2.9294848970514953 2.546998012078772 0.60027807628693 -0.7980433693084216 -0.05584218241710594 0.6171192408647063 -0.1570209637906415 -1.070926397644623 -1.603658336458388 -1.7546432333675863 -0.6922810804086917 2.369825366341287 3.63453257660268
