rmse;hl;T;RS
0.0165595644721183;10;13;15
0.0113743374700161;25;13;15
0.0119360330815886;40;13;15
0.0115800820501667;55;13;15
0.0121925977916374;70;13;15
0.0119160904860698;85;13;15
0.0129748122384248;100;13;15
0.0195178987452773;10;26;15
0.0134523777524442;25;26;15
0.0123377833382791;40;26;15
0.0119224265760054;55;26;15
0.012270403756153;70;26;15
0.0128349986695505;85;26;15
0.0161134077832085;100;26;15
0.0162404833958804;10;39;15
0.0154694972242002;25;39;15
0.0157330627004145;40;39;15
0.0149028489712793;55;39;15
0.0148764816392197;70;39;15
0.022647941183149;85;39;15
0.0154102384834823;100;39;15
0.0178439720792341;10;52;15
0.018024262578769;25;52;15
0.028558303489229;40;52;15
0.0302265866456867;55;52;15
0.025459108728474;70;52;15
0.0287236515391514;85;52;15
0.0162081138234065;100;52;15
0.019752516989242;10;65;15
0.0186587210363128;25;65;15
0.0189864947455495;40;65;15
0.0170978370336103;55;65;15
0.0190780272258984;70;65;15
0.0198218046259545;85;65;15
0.0195658558103764;100;65;15
0.0220608980107871;10;78;15
0.0179093103567759;25;78;15
0.0204163369146387;40;78;15
0.0193425127079003;55;78;15
0.0341107128507914;70;78;15
0.0200381914370314;85;78;15
0.0188313288000749;100;78;15
0.0237177156076725;10;91;15
0.038984058060583;25;91;15
0.0209761624741974;40;91;15
0.0350348552805505;55;91;15
0.0352731468939567;70;91;15
0.0333393855845576;85;91;15
0.0346177083734452;100;91;15
0.0739392418082123;10;104;15
0.0405627562372571;25;104;15
0.0378364172552571;40;104;15
0.0401537348084896;55;104;15
0.0323162113186671;70;104;15
0.0381062232569598;85;104;15
0.0374645023476205;100;104;15
0.029029630177884;10;117;15
0.0906905399898736;25;117;15
0.0380531605833664;40;117;15
0.045165620932646;55;117;15
0.0407390693688208;70;117;15
0.0402942411498584;85;117;15
0.0397240033436924;100;117;15
0.0326044583500911;10;130;15
0.0977750038105802;25;130;15
0.0443312347141194;40;130;15
0.0435231570433675;55;130;15
0.0410811479805762;70;130;15
0.0466835145169318;85;130;15
0.0465985013846845;100;130;15
0.0850545299098516;10;143;15
0.08439562348405648;25;143;15
0.04717272836549352;40;143;15
0.047400387690230125;55;143;15
0.04622946365704416;70;143;15
0.04839360901357563;85;143;15
0.0493858466297312;100;143;15
