rmse;hl;T;RS
0.0090940455592887;10;13;15
0.0102762647817297;25;13;15
0.0101870337210519;40;13;15
0.010889633192127;55;13;15
0.0108767807913629;70;13;15
0.0100779549868477;85;13;15
0.0105192947979238;100;13;15
0.0090820000777216;10;26;15
0.0100423604109835;25;26;15
0.0102241991815021;40;26;15
0.0109583979985294;55;26;15
0.0109700994486269;70;26;15
0.0103040526427743;85;26;15
0.0106756172713434;100;26;15
0.0090632652284003;10;39;15
0.0095448881031337;25;39;15
0.0092087379054837;40;39;15
0.0105893871909965;55;39;15
0.0104554527382613;70;39;15
0.0103242671754359;85;39;15
0.0112428925929422;100;39;15
0.0092930522048178;10;52;15
0.0095795672032526;25;52;15
0.0098569698747644;40;52;15
0.0113946683228798;55;52;15
0.0119910085889334;70;52;15
0.0099578730259708;85;52;15
0.0121463929563936;100;52;15
0.0103854784125968;10;65;15
0.0099441120926122;25;65;15
0.016234061122523;40;65;15
0.0113696030237226;55;65;15
0.0249672532538977;70;65;15
0.0154997440432153;85;65;15
0.0124616502058093;100;65;15
0.0098755584598152;10;78;15
0.0113691234489077;25;78;15
0.0128866762592663;40;78;15
0.0134982013814221;55;78;15
0.0146444374636318;70;78;15
0.0122382908021722;85;78;15
0.0127031579005803;100;78;15
0.0099325889170761;10;91;15
0.0114207687614153;25;91;15
0.0130091764911024;40;91;15
0.0133092452639688;55;91;15
0.01340791281914;70;91;15
0.0118527766422168;85;91;15
0.012556069579353;100;91;15
0.0113216944876512;10;104;15
0.0117478575583956;25;104;15
0.0162316045088448;40;104;15
0.0269249513888367;55;104;15
0.0286049672891587;70;104;15
0.0122554578756694;85;104;15
0.0284317165331886;100;104;15
0.0364528828494814;10;117;15
0.0115859357704933;25;117;15
0.0252892266208854;40;117;15
0.0269634212310894;55;117;15
0.0282621485121466;70;117;15
0.0121736903407448;85;117;15
0.0282814127460692;100;117;15
0.0240254090362475;10;130;15
0.0114615193513549;25;130;15
0.0256422533808068;40;130;15
0.0269243282607828;55;130;15
0.0294571387031878;70;130;15
0.0243502604248405;85;130;15
0.0288228858521092;100;130;15
0.03530249234311768;10;143;15
0.030215127060913022;25;143;15
0.02587242765345967;40;143;15
0.0329914122108961;55;143;15
0.04119543923716841;70;143;15
0.026287316259075072;85;143;15
0.030341948353314385;100;143;15
