rmse;hl;T;RS
0.0120281780478975;10;13;15
0.0115683283034359;25;13;15
0.0147985009072803;40;13;15
0.012286346587573;55;13;15
0.0118107610919;70;13;15
0.0120287350038114;85;13;15
0.0126531355397094;100;13;15
0.0156555704627342;10;26;15
0.0154056215119475;25;26;15
0.0164934233646604;40;26;15
0.0156528587550991;55;26;15
0.0148055367664098;70;26;15
0.0170903071869759;85;26;15
0.0150962507047962;100;26;15
0.0205048415818377;10;39;15
0.0184767341931688;25;39;15
0.0177702071910034;40;39;15
0.0174632281916349;55;39;15
0.0164285625864701;70;39;15
0.0169797713500555;85;39;15
0.0143427897338994;100;39;15
0.0217542459283323;10;52;15
0.0244626891452515;25;52;15
0.0172439902467476;40;52;15
0.0186526215885567;55;52;15
0.0169914906520918;70;52;15
0.0244656194872807;85;52;15
0.0203275416221104;100;52;15
0.022432285428246;10;65;15
0.0238945351505882;25;65;15
0.0172448004014173;40;65;15
0.0174131989242683;55;65;15
0.0162021917992375;70;65;15
0.0171739663971676;85;65;15
0.0170409911826046;100;65;15
0.0224071519698092;10;78;15
0.0267095218161726;25;78;15
0.0166915220910367;40;78;15
0.0179148867375061;55;78;15
0.0195574037794268;70;78;15
0.0253375553687835;85;78;15
0.0191066626442413;100;78;15
0.0214746809210819;10;91;15
0.0274285354889844;25;91;15
0.0178999292076983;40;91;15
0.0182743576308471;55;91;15
0.0164464493075842;70;91;15
0.0197145740510888;85;91;15
0.0207455487742247;100;91;15
0.0199901238292768;10;104;15
0.0255233039381339;25;104;15
0.0175233269268968;40;104;15
0.0231379645880159;55;104;15
0.0233183266397214;70;104;15
0.0236868034664678;85;104;15
0.0260383432163437;100;104;15
0.0194511060608708;10;117;15
0.0351888830629144;25;117;15
0.017965129020033;40;117;15
0.0366134108564655;55;117;15
0.0178330825812712;70;117;15
0.0290796697661527;85;117;15
0.0277588522900671;100;117;15
0.0214614182679308;10;130;15
0.0352634895576954;25;130;15
0.0190608234753325;40;130;15
0.0188926579745914;55;130;15
0.0178142670595218;70;130;15
0.0293018139197716;85;130;15
0.0214789801633531;100;130;15
0.050362410404370506;10;143;15
0.1186625873164501;25;143;15
0.031078831185666244;40;143;15
0.03423726464947512;55;143;15
0.03801672491973809;70;143;15
0.03624946821644468;85;143;15
0.031074848018527133;100;143;15
