rmse;hl;T;RS
0.0124618163810258;10;13;15
0.0121256268741897;25;13;15
0.0116741033465221;40;13;15
0.0125014348229917;55;13;15
0.0118094171924858;70;13;15
0.0127323596610931;85;13;15
0.0129776414273021;100;13;15
0.0126331185109237;10;26;15
0.0142751069330163;25;26;15
0.0151209790506654;40;26;15
0.0178126672160136;55;26;15
0.0122909458006534;70;26;15
0.0142223941375622;85;26;15
0.0125617094080847;100;26;15
0.0132569859159231;10;39;15
0.0146057016049502;25;39;15
0.0122323651223706;40;39;15
0.0138418549811305;55;39;15
0.0136609701363648;70;39;15
0.0127217176706206;85;39;15
0.0150899052598413;100;39;15
0.0128222258204728;10;52;15
0.0102933902841768;25;52;15
0.0150487113387481;40;52;15
0.0116609477795923;55;52;15
0.013397656248126;70;52;15
0.0134484846328738;85;52;15
0.0160814628454809;100;52;15
0.0125436466044931;10;65;15
0.013050688509506;25;65;15
0.0115677907279249;40;65;15
0.0126118486190063;55;65;15
0.0127205219568722;70;65;15
0.0133735728469756;85;65;15
0.0147571110266919;100;65;15
0.0128601764255287;10;78;15
0.0101172784950667;25;78;15
0.0130683457860142;40;78;15
0.0121034756822613;55;78;15
0.0132698078218608;70;78;15
0.012928045936747;85;78;15
0.0138966668186834;100;78;15
0.0138652421649616;10;91;15
0.015429426336112;25;91;15
0.0133297924985381;40;91;15
0.0122548510235255;55;91;15
0.0122675949224225;70;91;15
0.014609632811745;85;91;15
0.0138938107156285;100;91;15
0.013051988909656;10;104;15
0.0123214919703136;25;104;15
0.0114340307701119;40;104;15
0.0123593830830486;55;104;15
0.0255880882885771;70;104;15
0.0167404513249771;85;104;15
0.0154196838230332;100;104;15
0.0133491568899229;10;117;15
0.0117747278688765;25;117;15
0.0254677894492115;40;117;15
0.0129843742596379;55;117;15
0.0162243320246138;70;117;15
0.0131446660265086;85;117;15
0.0165892377761341;100;117;15
0.0151013804724869;10;130;15
0.0106674146040182;25;130;15
0.0143919066257003;40;130;15
0.0127987030644499;55;130;15
0.0171423171933911;70;130;15
0.0176350180510086;85;130;15
0.0159634949518671;100;130;15
0.013980026686426906;10;143;15
0.012667251748330378;25;143;15
0.012758264131989818;40;143;15
0.021143869258105668;55;143;15
0.030729063372810592;70;143;15
0.017428697627776383;85;143;15
0.0286864570792418;100;143;15
