rmse;hl;T;RS
217.95615244574785;10;192;15
218.98756797784267;10;192;16
218.45219157850653;10;192;17
217.27042542662983;10;192;18
219.60530748064588;10;192;19
219.0605555355762;10;192;20
220.62566784576453;10;192;21
218.9180021102235;25;192;15
218.00558353892924;25;192;16
219.3313113211233;25;192;17
218.4051701360763;25;192;18
218.40639282998296;25;192;19
220.12897073356643;25;192;20
219.4625219920232;25;192;21
218.52335958309595;40;192;15
218.4817452776713;40;192;16
219.2129472629944;40;192;17
220.90663248409504;40;192;18
218.5282663615674;40;192;19
221.36625942768583;40;192;20
221.03221718673947;40;192;21
218.4115087705926;55;192;15
219.80875703924983;55;192;16
218.3615872673868;55;192;17
220.3851696454156;55;192;18
223.2837373474972;55;192;19
219.45041316673004;55;192;20
220.1224703965493;55;192;21
220.7123784911097;70;192;15
221.2319017270813;70;192;16
219.81668567707823;70;192;17
221.88111519148293;70;192;18
218.97911875652107;70;192;19
217.974102728814;70;192;20
222.798868283906;70;192;21
219.1279702222525;85;192;15
220.7751349481924;85;192;16
219.6916167933844;85;192;17
220.73240209666264;85;192;18
222.1753343622352;85;192;19
220.04121444254136;85;192;20
219.5873434597765;85;192;21
220.6710206279729;100;192;15
217.6258535187713;100;192;16
219.9155265902277;100;192;17
218.575613394612;100;192;18
220.4737929593772;100;192;19
223.4704065304387;100;192;20
224.02212618831788;100;192;21
219.69811450685404;10;12;15
220.01538313158244;10;12;16
218.0779390489328;10;12;17
220.0229987361841;10;12;18
218.1601417219626;10;12;19
219.44818830071503;10;12;20
218.8015232716504;10;12;21
221.0907238213132;25;12;15
220.39537364252487;25;12;16
219.66697150729817;25;12;17
218.5077762104816;25;12;18
216.60980462088168;25;12;19
220.6245557117709;25;12;20
219.60615752344384;25;12;21
218.49302119173777;40;12;15
220.3899675340849;40;12;16
218.75184115439208;40;12;17
219.43633415534407;40;12;18
219.3762213979829;40;12;19
220.6466294576985;40;12;20
219.22623713570832;40;12;21
219.4565883605109;55;12;15
220.1403450006389;55;12;16
219.71972900013927;55;12;17
221.12906061666857;55;12;18
219.2533212178688;55;12;19
220.11746968457268;55;12;20
220.45832270589665;55;12;21
219.3504231009896;70;12;15
220.36629394612936;70;12;16
220.9430314867174;70;12;17
220.3883594251559;70;12;18
219.655093273895;70;12;19
219.9805596386447;70;12;20
218.8223640021637;70;12;21
218.76781574990056;85;12;15
220.45673906842137;85;12;16
219.89788461966432;85;12;17
219.34337397851323;85;12;18
219.62086707101025;85;12;19
219.72031376220943;85;12;20
219.5144557672364;85;12;21
220.6007281120341;100;12;15
220.73675117107496;100;12;16
219.47497824046656;100;12;17
218.7668558913444;100;12;18
218.98820192735667;100;12;19
220.1662185617036;100;12;20
218.9214179440509;100;12;21
220.43185091906724;10;156;15
221.9258333714647;10;156;16
218.84144524358533;10;156;17
218.4125953313983;10;156;18
218.41124509682768;10;156;19
217.74137473564784;10;156;20
218.0667520785144;10;156;21
218.83705910651767;25;156;15
218.8177253736088;25;156;16
218.3573793188564;25;156;17
219.9607954577811;25;156;18
218.36154178020269;25;156;19
218.52417181260367;25;156;20
218.848643653795;25;156;21
219.0502982500417;40;156;15
219.6537655940184;40;156;16
219.6987699182877;40;156;17
218.83196210234283;40;156;18
219.0453140545628;40;156;19
218.85982024484008;40;156;20
219.6977970107471;40;156;21
218.61439184805732;55;156;15
218.8169780954593;55;156;16
219.3324456781431;55;156;17
217.6242873443344;55;156;18
218.80837677101263;55;156;19
218.65739462694347;55;156;20
219.1670431135264;55;156;21
218.36749776263653;70;156;15
220.58575920059025;70;156;16
218.2538550708418;70;156;17
223.4825484233564;70;156;18
220.2271056675714;70;156;19
218.76835912555444;70;156;20
219.48421480401296;70;156;21
220.18577235111889;85;156;15
218.6055700321739;85;156;16
218.8798000176053;85;156;17
220.3338652487862;85;156;18
222.00573346580936;85;156;19
220.44030591691708;85;156;20
219.62014062517653;85;156;21
220.7644124944642;100;156;15
219.7361056618635;100;156;16
219.9389442425363;100;156;17
219.2226919068252;100;156;18
222.543388365194;100;156;19
220.70402162653195;100;156;20
223.03758199395884;100;156;21
221.9292081096113;10;228;15
219.74139590108217;10;228;16
219.31370828744576;10;228;17
219.74787680145113;10;228;18
218.8327357197534;10;228;19
219.54858159007955;10;228;20
218.69893665404157;10;228;21
224.4619020931813;25;228;15
222.67722965200218;25;228;16
221.74241012800277;25;228;17
225.0599157922568;25;228;18
217.21293336540302;25;228;19
219.1828287826273;25;228;20
222.83104058692362;25;228;21
222.68577929270597;40;228;15
222.5178996610454;40;228;16
222.31684570199224;40;228;17
222.1996684662445;40;228;18
222.0415033162186;40;228;19
218.78178968360098;40;228;20
220.53061638792727;40;228;21
221.34535426734573;55;228;15
223.21353190738242;55;228;16
220.97288896177702;55;228;17
220.17323640619765;55;228;18
219.80862294646533;55;228;19
221.14666306964767;55;228;20
219.81961355576303;55;228;21
221.64891776713893;70;228;15
222.00719900579352;70;228;16
221.03226816452218;70;228;17
226.8094286786175;70;228;18
225.13540016927587;70;228;19
222.79760013889205;70;228;20
226.24162825504743;70;228;21
221.9664949121888;85;228;15
221.7771799150823;85;228;16
221.38182204448057;85;228;17
223.30387051073993;85;228;18
224.3217475896197;85;228;19
220.55388010434467;85;228;20
221.76639117914328;85;228;21
225.0890251706099;100;228;15
223.0069864704293;100;228;16
219.01977106589854;100;228;17
223.02966758491107;100;228;18
223.49929276135714;100;228;19
223.59935225236458;100;228;20
222.97982029372133;100;228;21
