rmse;hl;T;RS
218.1326544777196;10;192;15
217.29654315410016;10;192;16
218.8074841091306;10;192;17
222.6072470165292;10;192;18
219.41652056396785;10;192;19
217.31002247829784;10;192;20
218.52528062237127;10;192;21
218.89972868526965;25;192;15
217.97145318396755;25;192;16
218.47415836763287;25;192;17
217.8607828014001;25;192;18
218.2999623355128;25;192;19
217.28968775228057;25;192;20
219.2241126816812;25;192;21
218.76324018511065;40;192;15
218.6169092966398;40;192;16
217.77079817858305;40;192;17
218.07873224544045;40;192;18
219.14955085822763;40;192;19
216.9564926308104;40;192;20
217.25442207214817;40;192;21
217.0345543788009;55;192;15
217.99361130586053;55;192;16
218.3695301698681;55;192;17
218.1299875607048;55;192;18
217.53665399677803;55;192;19
218.6217184729471;55;192;20
218.31311011037585;55;192;21
216.26448032307664;70;192;15
218.3182831627556;70;192;16
217.65112756006164;70;192;17
217.5508708187322;70;192;18
216.79337238396013;70;192;19
217.7904251176496;70;192;20
217.1705784304133;70;192;21
215.89066374476275;85;192;15
217.50193324384472;85;192;16
217.2776924340644;85;192;17
217.34174029326968;85;192;18
217.92476895381952;85;192;19
217.5491736027055;85;192;20
217.43473735761816;85;192;21
217.4232983404068;100;192;15
217.52104757407287;100;192;16
219.09021009306244;100;192;17
217.72676366893387;100;192;18
219.09145544389128;100;192;19
217.96536248527048;100;192;20
217.00790393977604;100;192;21
221.05104139653392;10;12;15
217.552612590372;10;12;16
219.1424907944168;10;12;17
223.48718995041256;10;12;18
223.5314320755595;10;12;19
221.4203278131122;10;12;20
220.4186096510696;10;12;21
221.6567036165555;25;12;15
217.71408385204933;25;12;16
220.3437628414528;25;12;17
218.80101302372853;25;12;18
220.53570916495653;25;12;19
218.50770440327616;25;12;20
219.64712602324423;25;12;21
219.2738569774544;40;12;15
220.81659872561656;40;12;16
218.9052901987833;40;12;17
220.33650482925643;40;12;18
221.5096581987666;40;12;19
220.0202468929581;40;12;20
220.19532642557508;40;12;21
218.94975506974183;55;12;15
218.47344172339425;55;12;16
219.9324659491346;55;12;17
218.86042460199585;55;12;18
219.3992692343268;55;12;19
219.885979910454;55;12;20
219.40507634938064;55;12;21
218.4512563852452;70;12;15
219.74416122371505;70;12;16
221.3777407529056;70;12;17
219.05221776211624;70;12;18
218.23653436019416;70;12;19
219.7667504903051;70;12;20
218.39609590575168;70;12;21
219.33444759288253;85;12;15
219.24690170108687;85;12;16
221.63104862695388;85;12;17
219.13638470645105;85;12;18
220.97426023669144;85;12;19
219.643240010626;85;12;20
220.0843062397035;85;12;21
219.9559282496298;100;12;15
218.57992466571915;100;12;16
218.83872636087355;100;12;17
219.2169650852001;100;12;18
218.71185665125768;100;12;19
218.38476837519704;100;12;20
218.92617007002056;100;12;21
217.63386667079251;10;156;15
218.4607591179484;10;156;16
219.26404927387208;10;156;17
222.39193986379053;10;156;18
219.31507151250185;10;156;19
218.04486584205577;10;156;20
218.61142477655645;10;156;21
219.3150193123741;25;156;15
218.1197020755087;25;156;16
219.26579523919665;25;156;17
218.0941044001745;25;156;18
218.46164043075763;25;156;19
217.25185346086053;25;156;20
219.2284994230571;25;156;21
218.3112134894841;40;156;15
219.0281558172353;40;156;16
217.8415439212716;40;156;17
218.26569502528048;40;156;18
219.01234195796096;40;156;19
217.47511766047663;40;156;20
217.4371997566788;40;156;21
217.2551291993954;55;156;15
218.06173993455172;55;156;16
218.5202069365049;55;156;17
218.01871793982255;55;156;18
217.6241474887011;55;156;19
219.3388801218777;55;156;20
218.36474592957717;55;156;21
216.50195291071265;70;156;15
218.2077233698608;70;156;16
219.29687524695328;70;156;17
218.0082812442681;70;156;18
218.82770302626568;70;156;19
217.8608766771242;70;156;20
217.7386524693796;70;156;21
216.93056505348412;85;156;15
217.5745040511768;85;156;16
218.1756107960944;85;156;17
218.44326699841835;85;156;18
217.8366523730664;85;156;19
218.40475748359128;85;156;20
218.26168431665045;85;156;21
218.24860262113856;100;156;15
217.61289193740848;100;156;16
218.51503089951527;100;156;17
217.69144337930612;100;156;18
218.70015362095776;100;156;19
217.82455907751577;100;156;20
217.1536696652461;100;156;21
218.975358817291;10;228;15
218.64136120024943;10;228;16
221.55484435159278;10;228;17
224.48484978610568;10;228;18
221.15776841956023;10;228;19
219.46593587914103;10;228;20
220.22698159664844;10;228;21
220.91147920826123;25;228;15
219.311852006225;25;228;16
220.62144705654248;25;228;17
220.1892100011235;25;228;18
220.2510371098591;25;228;19
217.44590674100937;25;228;20
221.59776237964593;25;228;21
220.16548329617288;40;228;15
221.43816148394654;40;228;16
219.38618409643445;40;228;17
220.0899598041599;40;228;18
220.35390592729402;40;228;19
218.45973586615904;40;228;20
217.2590378429799;40;228;21
218.5936945762419;55;228;15
219.37872924753393;55;228;16
219.4876386208167;55;228;17
218.918930549337;55;228;18
218.3395365755131;55;228;19
219.73351502763114;55;228;20
219.45755606454642;55;228;21
217.47882100131784;70;228;15
219.5716931005277;70;228;16
219.31309043770253;70;228;17
219.0592560525077;70;228;18
218.07318367919925;70;228;19
218.7295047453731;70;228;20
218.7930641285802;70;228;21
218.39156844428928;85;228;15
218.8281803105205;85;228;16
218.61450515826664;85;228;17
219.09450303876304;85;228;18
219.59561795434354;85;228;19
218.60884570602784;85;228;20
218.41702829519912;85;228;21
218.35037620406018;100;228;15
218.95088244785467;100;228;16
220.2540495513383;100;228;17
218.0180277724689;100;228;18
220.59396818454502;100;228;19
218.58169373077834;100;228;20
217.91672061003305;100;228;21
