rmse;hl;T;RS
216.7017068419635;10;192;15
218.3294727223736;10;192;16
216.5756517462136;10;192;17
216.3464908422303;10;192;18
217.47218217941364;10;192;19
218.0586012483629;10;192;20
216.09764051756363;10;192;21
218.27981307822773;25;192;15
215.35205690323795;25;192;16
216.9993280506396;25;192;17
218.57282663710745;25;192;18
216.8528911949764;25;192;19
217.50604097310048;25;192;20
215.30072556073324;25;192;21
218.8880965061423;40;192;15
217.763237345953;40;192;16
219.65335232986948;40;192;17
217.7335199523013;40;192;18
219.67304869618613;40;192;19
217.79070441910469;40;192;20
217.9885574860224;40;192;21
216.79727414269635;55;192;15
218.58576682442128;55;192;16
219.82199946456333;55;192;17
219.6835468891499;55;192;18
218.1115184398344;55;192;19
218.99633463463823;55;192;20
216.25335221632835;55;192;21
218.1774823058533;70;192;15
216.4465201975829;70;192;16
218.0188489581525;70;192;17
216.5187471807425;70;192;18
218.6679489365248;70;192;19
218.7047492257357;70;192;20
218.70024463468195;70;192;21
217.5618108818129;85;192;15
219.2187289347584;85;192;16
219.34422023590813;85;192;17
219.0902714459685;85;192;18
217.28508529920933;85;192;19
218.0618141186412;85;192;20
217.8270842350396;85;192;21
218.64032951920257;100;192;15
219.2211036090844;100;192;16
219.10540806211563;100;192;17
219.10706194001853;100;192;18
217.68690405441228;100;192;19
219.5049828541028;100;192;20
220.40575387800587;100;192;21
218.9261031121122;10;12;15
221.2196970270896;10;12;16
217.95832781779552;10;12;17
220.3281997616313;10;12;18
219.9927347302625;10;12;19
221.11904353299053;10;12;20
219.55949689613632;10;12;21
219.6043480623988;25;12;15
218.22917495856004;25;12;16
219.07023020975805;25;12;17
219.3753525416534;25;12;18
219.8545485118437;25;12;19
222.77238054832736;25;12;20
218.02623860594312;25;12;21
220.30454997988792;40;12;15
219.4268160204372;40;12;16
221.88450915246528;40;12;17
221.7602452355632;40;12;18
220.53946117319967;40;12;19
220.85401767904293;40;12;20
219.7440783808005;40;12;21
219.6786002039613;55;12;15
218.88470872833912;55;12;16
221.39455022354136;55;12;17
221.1119318837551;55;12;18
219.41790711335483;55;12;19
221.6907057229524;55;12;20
218.40769182021097;55;12;21
219.6729443083891;70;12;15
220.06536246482173;70;12;16
219.3730763200261;70;12;17
219.41311439855025;70;12;18
220.35249127504304;70;12;19
221.32261480091424;70;12;20
220.4556523848131;70;12;21
219.8767113759913;85;12;15
221.44904121651047;85;12;16
220.8390769668117;85;12;17
220.96108534911656;85;12;18
219.2614636239205;85;12;19
219.88703920252905;85;12;20
219.61841963696045;85;12;21
220.64933903316984;100;12;15
221.32017923226488;100;12;16
221.18079608662225;100;12;17
221.0502824596826;100;12;18
220.80173456906235;100;12;19
220.6026937215073;100;12;20
220.22197782685885;100;12;21
216.8199886220227;10;156;15
218.53151654798165;10;156;16
216.449209159152;10;156;17
217.17692491602472;10;156;18
217.5723032984607;10;156;19
217.20398125327029;10;156;20
216.27791075151148;10;156;21
219.0580447792621;25;156;15
216.25814349884877;25;156;16
217.49008674171264;25;156;17
218.5241262528136;25;156;18
217.97046730633147;25;156;19
217.31301795985647;25;156;20
216.04197947061857;25;156;21
219.72322253591096;40;156;15
218.35170634788943;40;156;16
221.17556296846317;40;156;17
220.9207705515637;40;156;18
221.9011303573894;40;156;19
219.1229554195819;40;156;20
218.67370379278776;40;156;21
217.31010753313677;55;156;15
218.1221615510813;55;156;16
221.55577706330143;55;156;17
220.9828673216855;55;156;18
219.79782468055663;55;156;19
222.4727136591807;55;156;20
217.4467370172278;55;156;21
219.4024480143211;70;156;15
218.08203901639584;70;156;16
218.57799665946916;70;156;17
217.72424686958868;70;156;18
219.64715569704128;70;156;19
220.64398906210133;70;156;20
219.3538224808589;70;156;21
218.6232070643015;85;156;15
219.5341556996408;85;156;16
219.59205932294387;85;156;17
219.31840670789003;85;156;18
219.151447556983;85;156;19
218.5043660477741;85;156;20
218.11819915547605;85;156;21
221.0773194297824;100;156;15
219.23719617538885;100;156;16
220.48037822148493;100;156;17
222.0186875009968;100;156;18
218.03803733621328;100;156;19
219.84185914170843;100;156;20
220.9997627260564;100;156;21
218.76021824383707;10;228;15
220.45853576205093;10;228;16
217.63072844339735;10;228;17
217.98928525785936;10;228;18
219.11334741192712;10;228;19
220.0937303165482;10;228;20
217.52861340320482;10;228;21
218.76867770581936;25;228;15
216.2620611556457;25;228;16
218.63593344771644;25;228;17
219.79838815101886;25;228;18
217.6295444285313;25;228;19
218.49417250246378;25;228;20
216.08812708203595;25;228;21
220.16825879530407;40;228;15
218.88821815223255;40;228;16
221.7933791882967;40;228;17
219.81628139850716;40;228;18
221.58000604948913;40;228;19
218.8633363420407;40;228;20
219.11852305334813;40;228;21
217.98468301340074;55;228;15
217.95648276114122;55;228;16
221.96056838037052;55;228;17
219.65597474246783;55;228;18
219.75087749332874;55;228;19
222.7191143313815;55;228;20
217.73766867669937;55;228;21
219.53716059164094;70;228;15
218.07811184393722;70;228;16
218.4567777141367;70;228;17
217.87306782268607;70;228;18
220.23927230193624;70;228;19
221.40581518104872;70;228;20
219.63156297586553;70;228;21
219.0540187435117;85;228;15
219.19400639500094;85;228;16
219.13748040195043;85;228;17
219.71994615021887;85;228;18
218.81034662844928;85;228;19
218.5186399472788;85;228;20
218.62491671245883;85;228;21
221.38655474661985;100;228;15
219.5784640957952;100;228;16
219.99612116904416;100;228;17
221.827904878807;100;228;18
217.32541158786324;100;228;19
219.8347699707569;100;228;20
219.29037520600184;100;228;21
