rmse;hl;T;RS
219.1293432697449;10;192;15
227.36594746508143;10;192;16
309.44785347046417;10;192;17
236.18819718906943;10;192;18
218.04327506913964;10;192;19
219.7489818386673;10;192;20
249.22113365892105;10;192;21
220.8453536517684;25;192;15
220.16587873799705;25;192;16
219.97539201511137;25;192;17
217.4239793770561;25;192;18
218.21925030014285;25;192;19
216.43957070500687;25;192;20
220.42710073710185;25;192;21
216.5664545784361;40;192;15
217.85995696942103;40;192;16
218.47184423608067;40;192;17
216.0742218817704;40;192;18
216.90882178116456;40;192;19
217.77958722699137;40;192;20
217.4556698361965;40;192;21
219.4661777326695;55;192;15
217.47501801242788;55;192;16
219.7408493650701;55;192;17
217.67458362580723;55;192;18
217.84559833996207;55;192;19
216.5820364777593;55;192;20
216.2464601529368;55;192;21
218.86887480918884;70;192;15
216.1245301312802;70;192;16
219.910704157072;70;192;17
217.91102967300503;70;192;18
217.7716969548881;70;192;19
218.47649608518384;70;192;20
216.2424427584437;70;192;21
215.3258369437372;85;192;15
218.9091875879982;85;192;16
217.7884043193756;85;192;17
215.73219365994547;85;192;18
217.0545566683328;85;192;19
214.79751420423167;85;192;20
217.4566507669417;85;192;21
217.718431754456;100;192;15
218.14430139276456;100;192;16
217.51040268720183;100;192;17
216.76386488942475;100;192;18
215.40193836519364;100;192;19
217.58348971537865;100;192;20
216.7164542554961;100;192;21
220.7084075245569;10;12;15
241.23249920683668;10;12;16
235.3039441892067;10;12;17
222.4579218653226;10;12;18
219.25201712144977;10;12;19
220.23042123257497;10;12;20
220.1297475877101;10;12;21
219.23800272238745;25;12;15
222.2549581736035;25;12;16
218.05195606760745;25;12;17
221.6896772957428;25;12;18
218.70235853617635;25;12;19
219.03964159467;25;12;20
226.7123857834764;25;12;21
222.2063342629;40;12;15
223.17005863488447;40;12;16
220.43262489659244;40;12;17
218.78871079987567;40;12;18
219.42620238486649;40;12;19
221.71200257880625;40;12;20
216.40556869913843;40;12;21
220.26042242696207;55;12;15
222.50705330124083;55;12;16
219.4046854688239;55;12;17
219.16090751624503;55;12;18
220.56829192969863;55;12;19
219.87868515570668;55;12;20
220.406566507727;55;12;21
224.8187851558864;70;12;15
218.9404241112985;70;12;16
220.86349785270755;70;12;17
219.0763946568237;70;12;18
219.28286301272405;70;12;19
224.19756516741748;70;12;20
220.79682544965613;70;12;21
218.12752395066823;85;12;15
218.8043717552482;85;12;16
216.24001610717767;85;12;17
220.7535480280365;85;12;18
219.7233239907109;85;12;19
216.52092864469404;85;12;20
222.35679234516667;85;12;21
220.06566991284288;100;12;15
220.8968334158708;100;12;16
221.95944108269407;100;12;17
218.93786982042653;100;12;18
220.9123020264582;100;12;19
223.3639878794316;100;12;20
222.1302235935113;100;12;21
217.5289678554312;10;156;15
225.53101752039933;10;156;16
224.1410486188154;10;156;17
235.2882558345434;10;156;18
221.39815574285865;10;156;19
220.69050300547775;10;156;20
217.4562625246151;10;156;21
219.06770582334283;25;156;15
218.2398717246544;25;156;16
221.460238482936;25;156;17
218.5305668005161;25;156;18
221.42023265897333;25;156;19
218.2927580166712;25;156;20
221.08211426812343;25;156;21
217.8446045539117;40;156;15
219.5784091853527;40;156;16
221.1954008447057;40;156;17
216.150478058426;40;156;18
218.1063419316154;40;156;19
219.15785145737047;40;156;20
218.1515229552208;40;156;21
219.54929898220715;55;156;15
218.81215971332196;55;156;16
223.21131973846133;55;156;17
217.726235560361;55;156;18
219.3553838667723;55;156;19
217.02188233811157;55;156;20
217.2785400641573;55;156;21
221.782925778301;70;156;15
217.27578027932395;70;156;16
219.77272172663655;70;156;17
217.2868506904657;70;156;18
219.40734406435456;70;156;19
219.4110642086089;70;156;20
217.08358351745483;70;156;21
216.2667255969675;85;156;15
220.490603444058;85;156;16
218.66700709032247;85;156;17
217.7656388545533;85;156;18
218.94701493426615;85;156;19
215.95780578418007;85;156;20
215.89718350541156;85;156;21
217.12472629632333;100;156;15
218.4464428396056;100;156;16
217.86429646504584;100;156;17
218.0963155661687;100;156;18
218.7145961084582;100;156;19
219.08160326737732;100;156;20
217.36267228973597;100;156;21
240.66372137938893;10;228;15
227.47520776300624;10;228;16
303.60487704018664;10;228;17
229.0534091606818;10;228;18
219.93211815406073;10;228;19
220.75061453572624;10;228;20
218.274310312599;10;228;21
221.92741561361876;25;228;15
218.7238799492939;25;228;16
220.5190912663012;25;228;17
218.89013910886638;25;228;18
219.7786826276477;25;228;19
217.25179505367606;25;228;20
225.37842979569984;25;228;21
218.9069097241807;40;228;15
220.3853818407377;40;228;16
221.73685711453044;40;228;17
216.79638851105665;40;228;18
219.23112085585188;40;228;19
217.97825789444306;40;228;20
217.01176072785955;40;228;21
220.13481624653141;55;228;15
216.70656913618652;55;228;16
220.68507631437916;55;228;17
217.5949730279055;55;228;18
223.5560599320346;55;228;19
219.7384466582973;55;228;20
218.66013842233917;55;228;21
220.85543758119613;70;228;15
219.8937782440874;70;228;16
217.02767771356187;70;228;17
220.3723329344704;70;228;18
221.51964638498816;70;228;19
223.43577999080884;70;228;20
216.9687438802975;70;228;21
216.55525132148003;85;228;15
218.89022155774654;85;228;16
218.38929066765076;85;228;17
218.9704932649598;85;228;18
218.14442142721703;85;228;19
215.8963927638736;85;228;20
218.84346601610937;85;228;21
218.5269724457631;100;228;15
222.46695023218962;100;228;16
219.3054422712548;100;228;17
217.996724636679;100;228;18
218.20861801451673;100;228;19
219.26909067199833;100;228;20
218.31592402982406;100;228;21
