rmse;hl;T;RS
1.860744333876072;10;13;15
1.8547971382360533;25;13;15
1.893310239688836;40;13;15
1.847497172977533;55;13;15
1.860884616112584;70;13;15
1.8541613812173727;85;13;15
1.8602306565035769;100;13;15
1.909316105103833;10;26;15
1.901907030363693;25;26;15
1.93373626394998;40;26;15
1.9262404685796213;55;26;15
1.892380242946398;70;26;15
1.9033813129258528;85;26;15
1.8644469524583835;100;26;15
1.944272543879209;10;39;15
1.983891005585136;25;39;15
2.0009813485651144;40;39;15
1.978193961561888;55;39;15
1.9370685305279287;70;39;15
1.9996599225542675;85;39;15
1.9679652518053123;100;39;15
2.018541314255479;10;52;15
2.112900736098267;25;52;15
2.0476396641561228;40;52;15
1.9813187905732217;55;52;15
1.9952936498532785;70;52;15
2.0956423494142684;85;52;15
2.0819852144811564;100;52;15
2.0438902966638044;10;65;15
2.062002889733835;25;65;15
2.024819115073049;40;65;15
2.0976922612669853;55;65;15
2.065395807576308;70;65;15
2.055987161013141;85;65;15
2.1219110432282564;100;65;15
2.0326094740403096;10;78;15
2.0424124853271355;25;78;15
2.022191876053512;40;78;15
2.0161498253949945;55;78;15
2.0127956282203834;70;78;15
1.998261413934857;85;78;15
2.001071006508344;100;78;15
2.0650158328045727;10;91;15
2.0036785403547546;25;91;15
2.0067690040342865;40;91;15
2.07459050606979;55;91;15
2.028851970796949;70;91;15
1.979988669553988;85;91;15
2.057401236423756;100;91;15
2.016659644484122;10;104;15
1.9889877292433555;25;104;15
1.976976689438312;40;104;15
1.952942657144075;55;104;15
2.012429856074164;70;104;15
2.0032490481411487;85;104;15
1.9109326829843944;100;104;15
1.9274562825399264;10;117;15
2.0255516017645427;25;117;15
2.0536961942280607;40;117;15
1.96384107241066;55;117;15
2.0519565358383853;70;117;15
2.04292785093548;85;117;15
2.076727672921985;100;117;15
1.934661144979026;10;130;15
2.061034601544572;25;130;15
2.0607791417019974;40;130;15
2.114020547738056;55;130;15
2.123078270651687;70;130;15
2.2166323564038284;85;130;15
1.9639571305815229;100;130;15
1.783045137177297;10;143;15
1.7565425689898213;25;143;15
2.1392978880996685;40;143;15
1.9852913479501724;55;143;15
2.032932118522529;70;143;15
2.101569132432128;85;143;15
2.0421694775345234;100;143;15
