rmse;hl;T;RS
1.6974385167137616;10;13;15
1.796354034083824;25;13;15
1.785792018594701;40;13;15
1.7701202190296694;55;13;15
1.7947111095417994;70;13;15
1.7903511438774111;85;13;15
1.7748300272829942;100;13;15
1.7140177602358346;10;26;15
1.7800724901611835;25;26;15
1.8002095119360018;40;26;15
1.7871417141871877;55;26;15
1.8418621699070084;70;26;15
1.804278697199219;85;26;15
1.826101728151455;100;26;15
1.7135243726578946;10;39;15
1.7905870198097449;25;39;15
1.8180670598788404;40;39;15
1.809366479418674;55;39;15
1.8531052176629148;70;39;15
1.818922808892824;85;39;15
1.8132577030919503;100;39;15
1.7304380119431828;10;52;15
1.790303020916681;25;52;15
1.8486190844571544;40;52;15
1.847710379577304;55;52;15
1.8502126885528256;70;52;15
1.861843453223269;85;52;15
1.830642292177208;100;52;15
1.713049319784851;10;65;15
1.796462912421002;25;65;15
1.849866122121208;40;65;15
1.867187381699132;55;65;15
1.8824161311791328;70;65;15
1.830279567753478;85;65;15
1.9109566206287687;100;65;15
1.719055250439239;10;78;15
1.7997575040271765;25;78;15
1.8433217183771613;40;78;15
1.831761218044188;55;78;15
1.8814319858521336;70;78;15
1.8654940429869504;85;78;15
1.817246096231929;100;78;15
1.797721386170593;10;91;15
1.766367875346981;25;91;15
1.8111709900798747;40;91;15
1.82002810415662;55;91;15
1.8466979303748503;70;91;15
1.8943505865744417;85;91;15
1.7938855079349256;100;91;15
1.7376873468881917;10;104;15
1.783814854882694;25;104;15
1.7979660882099038;40;104;15
1.8324382164903568;55;104;15
1.799097873370328;70;104;15
1.7854176405044753;85;104;15
1.80326645938414;100;104;15
1.6958137023543494;10;117;15
1.7424383054046613;25;117;15
1.819469821334325;40;117;15
1.80283028125242;55;117;15
1.80962761213298;70;117;15
1.823892599556172;85;117;15
1.829043592107348;100;117;15
1.7671575407205242;10;130;15
1.7873732294061468;25;130;15
1.8124077503970235;40;130;15
1.8258774157315956;55;130;15
1.907714940256728;70;130;15
1.8272146855486464;85;130;15
1.9206259760623927;100;130;15
1.798372320525018;10;143;15
1.9299297765796288;25;143;15
1.9343077742634158;40;143;15
1.9177771979762828;55;143;15
2.004323958836341;70;143;15
1.9940571093265216;85;143;15
1.8474755965132428;100;143;15
