rmse;hl;T;RS
1.8015791916419308;10;13;15
1.8251331587346933;25;13;15
1.834994478414248;40;13;15
1.790836760976429;55;13;15
1.7721314159304038;70;13;15
1.794693438419391;85;13;15
1.8120762985024697;100;13;15
1.8479122602581144;10;26;15
1.811772514742976;25;26;15
1.806079531041637;40;26;15
1.8468337456995112;55;26;15
1.7310122689213414;70;26;15
1.8687738399951188;85;26;15
1.8471232476268813;100;26;15
1.7537810239940892;10;39;15
1.8587116720323968;25;39;15
2.029555709891468;40;39;15
1.8026072920743177;55;39;15
1.900363281520628;70;39;15
2.0648346280543346;85;39;15
1.86564096987254;100;39;15
1.8358347940712243;10;52;15
1.879231534737388;25;52;15
1.847324483187566;40;52;15
1.8970397832879933;55;52;15
1.8098343933660472;70;52;15
1.924734420174037;85;52;15
1.7932431117016796;100;52;15
1.8359867204223503;10;65;15
1.8523163024260647;25;65;15
1.861694767284052;40;65;15
2.048215446791636;55;65;15
1.8644863788347568;70;65;15
2.034930558978896;85;65;15
1.8858095931670296;100;65;15
1.8531828641683268;10;78;15
1.86746396113917;25;78;15
1.9505995325993968;40;78;15
1.8596112883363287;55;78;15
2.0297699647313;70;78;15
1.9724616149503809;85;78;15
1.8770067385705709;100;78;15
1.961429457985;10;91;15
1.9993857762655007;25;91;15
1.8738979320883828;40;91;15
2.0392114049945897;55;91;15
1.9320930298164547;70;91;15
1.983060047709393;85;91;15
2.1264775179354776;100;91;15
1.946351136757358;10;104;15
1.9347170049341136;25;104;15
1.908130649436184;40;104;15
2.082396042251152;55;104;15
1.9081832505018563;70;104;15
2.206468653241753;85;104;15
1.893663235504512;100;104;15
2.3761988107633365;10;117;15
2.0206334508534414;25;117;15
2.088759499875513;40;117;15
1.93657450665562;55;117;15
2.060785571397348;70;117;15
2.1235246593395893;85;117;15
1.8184826379680448;100;117;15
2.3761988190000007;10;130;15
2.161668718240255;25;130;15
1.963307538531264;40;130;15
1.9354761265873668;55;130;15
1.8692050224653156;70;130;15
2.474357492389148;85;130;15
1.874163509187212;100;130;15
2.376248353763858;10;143;15
2.016073575008526;25;143;15
1.9825864374304834;40;143;15
1.9455677078039468;55;143;15
1.839933287871936;70;143;15
2.0531654599114035;85;143;15
2.0237098480148497;100;143;15
