rmse;hl;T;RS
1.7212461325822257;10;13;15
1.8061904061199725;25;13;15
1.7925502929791564;40;13;15
1.7914034605525229;55;13;15
1.8185191923975657;70;13;15
1.8405610907747376;85;13;15
1.8321392477560765;100;13;15
1.748027871643382;10;26;15
1.819340894118348;25;26;15
1.8309301780660567;40;26;15
1.798517769102573;55;26;15
1.860028472475841;70;26;15
1.877428053308324;85;26;15
1.9156858829678305;100;26;15
1.794815747471085;10;39;15
1.8429763117986613;25;39;15
1.844368638612472;40;39;15
1.80988031613536;55;39;15
1.8585208849381325;70;39;15
1.8478098704183528;85;39;15
1.9009567424969511;100;39;15
1.7610463756147938;10;52;15
1.7919523589789796;25;52;15
1.870388664728948;40;52;15
1.823675631381512;55;52;15
1.8287355604973896;70;52;15
1.9111817725818323;85;52;15
1.8818676916464432;100;52;15
1.778411614464188;10;65;15
1.8233473849298576;25;65;15
1.853721256030124;40;65;15
1.8294182579481684;55;65;15
1.928000694532759;70;65;15
1.941369285638648;85;65;15
1.8195494766581093;100;65;15
1.7848503162917693;10;78;15
1.85414560547329;25;78;15
1.8414891350372384;40;78;15
1.8420558413616388;55;78;15
1.84677900023872;70;78;15
1.8622820817373733;85;78;15
1.918101670272328;100;78;15
1.7713241639538353;10;91;15
1.857114172943064;25;91;15
1.8441491451145504;40;91;15
1.8313458026657885;55;91;15
1.848564670474072;70;91;15
1.98947266205268;85;91;15
1.8636576196053627;100;91;15
1.770075940202373;10;104;15
1.853146007316368;25;104;15
1.8115589127383835;40;104;15
1.8450176426686609;55;104;15
1.7915077986446954;70;104;15
1.838014681872352;85;104;15
1.837878350106092;100;104;15
1.7757062434754305;10;117;15
1.799210330271111;25;117;15
1.838738523846418;40;117;15
1.857229308920604;55;117;15
1.8735042438213143;70;117;15
1.8126940216371088;85;117;15
1.872702741432072;100;117;15
1.775790321185115;10;130;15
1.8165136075338155;25;130;15
1.8048053824383417;40;130;15
1.8600503476642432;55;130;15
1.8693081388989692;70;130;15
1.897660912637548;85;130;15
1.903337719022664;100;130;15
1.920700929457425;10;143;15
1.9717848839251626;25;143;15
2.022275517032774;40;143;15
1.9829259420569854;55;143;15
1.9598905827784838;70;143;15
2.075482177465113;85;143;15
1.98931946316809;100;143;15
