rmse;hl;T;RS
9.712934592329134;10;13;15
9.79722557197198;25;13;15
9.662350385256095;40;13;15
9.713748292474744;55;13;15
9.753881856811333;70;13;15
9.736724178746464;85;13;15
9.652780022109775;100;13;15
9.714217030659936;10;26;15
9.72262559369566;25;26;15
9.745772860279644;40;26;15
9.635647341146036;55;26;15
9.68778775927025;70;26;15
9.79012740324984;85;26;15
9.71062336792007;100;26;15
9.763207226470222;10;39;15
9.66568350149594;25;39;15
9.54924563876217;40;39;15
9.610708476513848;55;39;15
9.624156452278331;70;39;15
9.66761986742409;85;39;15
9.68738387069453;100;39;15
9.510862159935828;10;52;15
9.667542521093823;25;52;15
9.644093071367733;40;52;15
9.55950353665086;55;52;15
9.65723933121144;70;52;15
9.752637490696472;85;52;15
9.717386703563198;100;52;15
9.722550063186862;10;65;15
9.658217663188836;25;65;15
9.55588923824174;40;65;15
9.750027509454709;55;65;15
9.764265453987557;70;65;15
9.658240310341016;85;65;15
9.776224384794244;100;65;15
9.64914685515316;10;78;15
9.644811720771894;25;78;15
9.681735581476644;40;78;15
9.727410659033266;55;78;15
9.709898506623253;70;78;15
9.680185153189688;85;78;15
9.535155266247957;100;78;15
9.632366536281232;10;91;15
9.624069360511571;25;91;15
9.784216649449515;40;91;15
9.675422728408678;55;91;15
9.684947008174635;70;91;15
9.678564723537804;85;91;15
9.589646417173972;100;91;15
9.664848476066252;10;104;15
9.623992387995854;25;104;15
9.5837120143954;40;104;15
9.579766090738795;55;104;15
9.564147937791727;70;104;15
9.63316095908951;85;104;15
9.68277181373396;100;104;15
9.685049483182915;10;117;15
9.63760153775342;25;117;15
9.705727135715556;40;117;15
9.689843606301412;55;117;15
9.668670769611412;70;117;15
9.67813807044494;85;117;15
9.68790992447837;100;117;15
9.677377991361784;10;130;15
9.573850850334685;25;130;15
9.639350561358286;40;130;15
9.65801550550648;55;130;15
9.783801516717483;70;130;15
9.67016060851593;85;130;15
9.730042745504807;100;130;15
9.60691824799074;10;143;15
9.565543628950232;25;143;15
9.641575444329275;40;143;15
9.644509645136646;55;143;15
9.672220319753906;70;143;15
9.83942192006569;85;143;15
9.841897175219176;100;143;15
9.726565897161787;10;156;15
9.587525662108089;25;156;15
9.617958562482755;40;156;15
9.69595553390442;55;156;15
9.616419926094862;70;156;15
9.672725898584789;85;156;15
9.646791868095203;100;156;15
9.588898485164826;10;169;15
9.554359153248836;25;169;15
9.543946481297557;40;169;15
9.564342130349564;55;169;15
9.58744220519394;70;169;15
9.59592648705686;85;169;15
9.575162419175903;100;169;15
9.625555856737;10;182;15
9.57167665963632;25;182;15
9.642854759028802;40;182;15
9.664221468659074;55;182;15
9.63736447099862;70;182;15
9.594682196240615;85;182;15
9.654044929356926;100;182;15
9.603047871062564;10;195;15
9.535469692170633;25;195;15
9.561632662044088;40;195;15
9.622363027542882;55;195;15
9.744054834064617;70;195;15
