rmse;hl;T;RS
9.615664020975323;10;13;15
9.61762614614852;25;13;15
9.638232632936711;40;13;15
9.59606386015478;55;13;15
9.60935287458422;70;13;15
9.61698872282553;85;13;15
9.619551856340182;100;13;15
9.642473283165426;10;26;15
9.61847150402806;25;26;15
9.57736475654968;40;26;15
9.583920614997542;55;26;15
9.610489884602512;70;26;15
9.56741693691609;85;26;15
9.62652683860072;100;26;15
9.59693222971779;10;39;15
9.634703052509128;25;39;15
9.592966334171944;40;39;15
9.603454604993416;55;39;15
9.622059447758923;70;39;15
9.60398359369644;85;39;15
9.603077804023862;100;39;15
9.624899862563598;10;52;15
9.625481789048298;25;52;15
9.576878933539849;40;52;15
9.570918653313202;55;52;15
9.605809253129593;70;52;15
9.596027893134558;85;52;15
9.626697552755918;100;52;15
9.628781964801092;10;65;15
9.6214877058387;25;65;15
9.606937966951826;40;65;15
9.595727468318518;55;65;15
9.643129224164856;70;65;15
9.611343602513449;85;65;15
9.6249169911901;100;65;15
9.590499316201196;10;78;15
9.6248079504592;25;78;15
9.590236522696785;40;78;15
9.593471503721128;55;78;15
9.652464713753616;70;78;15
9.605935833870728;85;78;15
9.62484299854259;100;78;15
9.610772110080577;10;91;15
9.612026521677784;25;91;15
9.584599770926896;40;91;15
9.567737663561632;55;91;15
9.654196835473789;70;91;15
9.611015889604316;85;91;15
9.620381686607498;100;91;15
9.604400860598131;10;104;15
9.620921904507478;25;104;15
9.59116132503071;40;104;15
9.592136491942188;55;104;15
9.63292022372262;70;104;15
9.615911971121069;85;104;15
9.624505268122492;100;104;15
9.590990516574973;10;117;15
9.605746166120383;25;117;15
9.59537008487746;40;117;15
9.582790163068736;55;117;15
9.63302203859398;70;117;15
9.622105835461005;85;117;15
9.617888982680247;100;117;15
9.6052138139309;10;130;15
9.622910565133171;25;130;15
9.632845863922398;40;130;15
9.569961977463876;55;130;15
9.639809886307075;70;130;15
9.644831622460288;85;130;15
9.62016126377609;100;130;15
9.592648740901264;10;143;15
9.606778034311304;25;143;15
9.630216731284367;40;143;15
9.565973636531462;55;143;15
9.663591923515725;70;143;15
9.63260637206236;85;143;15
9.620713744493315;100;143;15
9.60028053620631;10;156;15
9.616755372178195;25;156;15
9.60342427927076;40;156;15
9.601182878333882;55;156;15
9.602527237526468;70;156;15
9.632911794100734;85;156;15
9.620789976941802;100;156;15
9.61908278866604;10;169;15
9.618508083152598;25;169;15
9.617103038985286;40;169;15
9.610516008377887;55;169;15
9.683499476303057;70;169;15
9.62383597550924;85;169;15
9.622297742722749;100;169;15
9.6142531117117;10;182;15
9.632026682233729;25;182;15
9.620468581585932;40;182;15
9.578556252688266;55;182;15
9.63109784841019;70;182;15
9.629804019404816;85;182;15
9.630819673116502;100;182;15
9.596008410798651;10;195;15
9.617649810408423;25;195;15
9.633085157730315;40;195;15
9.685574471025406;55;195;15
9.606736665711882;70;195;15
9.628925990245849;85;195;15
9.62569429629186;100;195;15
9.596125296389896;10;208;15
9.628623660541049;25;208;15
9.615046514489263;40;208;15
9.683953977884856;55;208;15
9.632606404053064;70;208;15
9.62740285384566;85;208;15
9.622354446888146;100;208;15
9.592934095296402;10;221;15
9.631600785927583;25;221;15
9.645343668848488;40;221;15
9.685101360386572;55;221;15
9.616611361037265;70;221;15
9.628419766883578;85;221;15
9.622189781619406;100;221;15
9.63446995285528;10;234;15
9.625906962148724;25;234;15
9.644764790360227;40;234;15
9.682672949741535;55;234;15
9.7442645837434;70;234;15
9.62653693603476;85;234;15
9.620742721091062;100;234;15
9.604891290409258;10;247;15
9.617955409579698;25;247;15
9.63237792134047;40;247;15
9.67344871780467;55;247;15
9.71142506991286;70;247;15
9.607032190020725;85;247;15
9.61539010152624;100;247;15
9.638930447386429;10;260;15
9.621756883126029;25;260;15
9.624950225526964;40;260;15
9.6740008677009;55;260;15
9.678859018534618;70;260;15
9.606908157587569;85;260;15
9.619639181711095;100;260;15
9.593858348687393;10;273;15
9.635970248556273;25;273;15
9.6281490205907;40;273;15
9.607488315728132;55;273;15
9.634991882251768;70;273;15
9.624497405062913;85;273;15
9.613063244782788;100;273;15
9.59646491360326;10;286;15
9.637694274635871;25;286;15
9.596482577529182;40;286;15
9.592199576665235;55;286;15
9.634206371482216;70;286;15
