rmse;hl;T;RS
9.624161880921308;10;13;15
9.613742370325546;25;13;15
9.607362487903895;40;13;15
9.628926043317858;55;13;15
9.715218783367217;70;13;15
9.685998911525802;85;13;15
9.621404475825663;100;13;15
9.666726376140526;10;26;15
9.596211601508248;25;26;15
9.54661347093684;40;26;15
9.568601754520367;55;26;15
9.567798270539098;70;26;15
9.647975721785606;85;26;15
9.597920461865725;100;26;15
9.613611789220396;10;39;15
9.602891342667546;25;39;15
9.588147801904617;40;39;15
9.612486084045514;55;39;15
9.59137838809078;70;39;15
9.60722194985286;85;39;15
9.602982933045215;100;39;15
9.659940342814362;10;52;15
9.649746761017353;25;52;15
9.629642377933315;40;52;15
9.631905376780235;55;52;15
9.620018759296473;70;52;15
9.636637893459676;85;52;15
9.62040842177859;100;52;15
9.60907861052639;10;65;15
9.652040988791686;25;65;15
9.627280784500147;40;65;15
9.609675446323656;55;65;15
9.652742091381713;70;65;15
9.627722495573948;85;65;15
9.60039540662588;100;65;15
9.665053622981162;10;78;15
9.653357719596762;25;78;15
9.634830360253966;40;78;15
9.642785613150318;55;78;15
9.632618109368003;70;78;15
9.656189344324456;85;78;15
9.694137050531245;100;78;15
9.656155940939705;10;91;15
9.643489025666732;25;91;15
9.617513316541698;40;91;15
9.635752882946903;55;91;15
9.636605768785818;70;91;15
9.698403509985203;85;91;15
9.59524885750995;100;91;15
9.60662395920423;10;104;15
9.645360635101223;25;104;15
9.625528301333052;40;104;15
9.630219510207914;55;104;15
9.639070274986947;70;104;15
9.619928767406002;85;104;15
9.660252186063454;100;104;15
9.601944632059878;10;117;15
9.646000044749208;25;117;15
9.616787868648972;40;117;15
9.633042615578049;55;117;15
9.673350574663148;70;117;15
9.638765929995929;85;117;15
9.668719359210671;100;117;15
9.65709026960003;10;130;15
9.65060543152631;25;130;15
9.634855106650798;40;130;15
9.664495075962774;55;130;15
9.639293078916252;70;130;15
9.668736752530648;85;130;15
9.651714661384402;100;130;15
9.666305646325291;10;143;15
9.644393153512148;25;143;15
9.639925966737554;40;143;15
9.653850480979266;55;143;15
9.635518221237309;70;143;15
9.617966366580571;85;143;15
9.707571938600962;100;143;15
9.60612470833242;10;156;15
9.644464960412956;25;156;15
9.63444516386418;40;156;15
9.64708572962182;55;156;15
9.654112421743884;70;156;15
9.63273167345254;85;156;15
9.662049243496469;100;156;15
9.624042772405524;10;169;15
9.64492023772144;25;169;15
9.649296410095143;40;169;15
9.800282863969358;55;169;15
9.721505553167892;70;169;15
9.628687396333628;85;169;15
9.645394327083949;100;169;15
9.64239580100841;10;182;15
9.631077010482691;25;182;15
9.64801811930334;40;182;15
9.67370552283703;55;182;15
9.703357606734595;70;182;15
9.609537667299248;85;182;15
9.68324610430766;100;182;15
9.650549053656883;10;195;15
9.643811333087374;25;195;15
9.673608664808912;40;195;15
9.772742107957576;55;195;15
9.71714471176903;70;195;15
9.680853703495773;85;195;15
9.695447304090075;100;195;15
9.642692987042183;10;208;15
9.633900744633149;25;208;15
9.64447766023464;40;208;15
9.774297361240505;55;208;15
9.724205156320426;70;208;15
9.698408367079947;85;208;15
9.62384248529733;100;208;15
9.63687943166134;10;221;15
9.6284147362745;25;221;15
9.667017220446336;40;221;15
9.830839741259656;55;221;15
9.702904931988208;70;221;15
9.693682824513152;85;221;15
9.690770096077586;100;221;15
