rmse;hl;T;RS
9.735754796565775;10;13;15
9.659026111767114;25;13;15
9.744606286057312;40;13;15
9.683348686477252;55;13;15
9.730438988043105;70;13;15
9.674461595284724;85;13;15
9.76401361602992;100;13;15
9.701904792288946;10;26;15
9.635792462006608;25;26;15
9.651507832837297;40;26;15
9.61113238992136;55;26;15
9.665282457499591;70;26;15
9.57606765528921;85;26;15
9.713527319329453;100;26;15
9.698832915085204;10;39;15
9.637005718254876;25;39;15
9.71107038486209;40;39;15
9.635699490172954;55;39;15
9.66124253048998;70;39;15
9.645128422951558;85;39;15
9.69826502629934;100;39;15
9.69172361082738;10;52;15
9.64903105630245;25;52;15
9.681290722891552;40;52;15
9.673131686428349;55;52;15
9.726659961460063;70;52;15
9.703207535976526;85;52;15
9.695118956092704;100;52;15
9.688904854160937;10;65;15
9.656147148940727;25;65;15
9.69806628356682;40;65;15
9.66978758755357;55;65;15
9.719268870027268;70;65;15
9.667646271931751;85;65;15
9.689229148666074;100;65;15
9.686777570787584;10;78;15
9.656650654541972;25;78;15
9.710207564258486;40;78;15
9.67367275169655;55;78;15
9.672108514278968;70;78;15
9.654215783738795;85;78;15
9.679706403631318;100;78;15
9.685687217961457;10;91;15
9.65376686288638;25;91;15
9.692885904815377;40;91;15
9.666373853474145;55;91;15
9.696273173610376;70;91;15
9.6187155671595;85;91;15
9.679464199111134;100;91;15
9.692270978748676;10;104;15
9.65169577194918;25;104;15
9.685497410177485;40;104;15
9.66227435705038;55;104;15
9.700944712669903;70;104;15
9.622276504566443;85;104;15
9.69299119778453;100;104;15
9.6833487269844;10;117;15
9.652667854723331;25;117;15
9.709717327056348;40;117;15
9.66423813192672;55;117;15
9.7213433999509;70;117;15
9.667062123691604;85;117;15
9.67862943540236;100;117;15
9.685404262339237;10;130;15
9.67114280010567;25;130;15
9.701920412863611;40;130;15
9.671239152047692;55;130;15
9.734155087488192;70;130;15
9.68091687820114;85;130;15
9.680332288746737;100;130;15
9.693257521554033;10;143;15
9.664256640064258;25;143;15
9.713182201417403;40;143;15
9.676166779249185;55;143;15
9.807424850760215;70;143;15
9.681920771683458;85;143;15
9.684544641936837;100;143;15
9.69598632324681;10;156;15
9.676894280349412;25;156;15
9.785282443330871;40;156;15
9.67551602333478;55;156;15
9.750763893437288;70;156;15
9.623722711377638;85;156;15
9.688170433428224;100;156;15
9.70436552998562;10;169;15
9.672037401544875;25;169;15
9.68102527079608;40;169;15
9.68513307542236;55;169;15
9.770145844114833;70;169;15
9.711034299387322;85;169;15
9.691941898273146;100;169;15
9.71664030987593;10;182;15
9.673958888657545;25;182;15
9.699232252154838;40;182;15
9.685352391004022;55;182;15
9.77883602749659;70;182;15
9.635167914751824;85;182;15
9.705840064378052;100;182;15
9.71690391659932;10;195;15
9.681936336638886;25;195;15
9.698034067315607;40;195;15
9.691141808923906;55;195;15
9.797810022215296;70;195;15
9.635498892353418;85;195;15
9.709717443944005;100;195;15
9.709226988330805;10;208;15
9.672916958615064;25;208;15
9.701368427150918;40;208;15
9.676068003332055;55;208;15
9.793999703674316;70;208;15
9.6309605364545;85;208;15
9.702782779991908;100;208;15
9.707281156536668;10;221;15
9.677927412909572;25;221;15
9.690768745441869;40;221;15
9.703066152205311;55;221;15
9.804246920426053;70;221;15
9.707996837239977;85;221;15
9.691979646945326;100;221;15
9.707009515496406;10;234;15
9.682787255304932;25;234;15
9.695099243389368;40;234;15
9.689472509874566;55;234;15
9.804874665038408;70;234;15
9.704733815145456;85;234;15
9.688570673840124;100;234;15
9.703364078378538;10;247;15
9.685783846513502;25;247;15
9.680369199007863;40;247;15
9.703664244041848;55;247;15
9.791463024563036;70;247;15
9.779337809870356;85;247;15
9.681529778767144;100;247;15
9.714318826716104;10;260;15
9.672652731381026;25;260;15
9.739251176864858;40;260;15
9.684210584460477;55;260;15
9.766211571979094;70;260;15
10.735802268099928;85;260;15
9.688943491934824;100;260;15
9.72792948024736;10;273;15
9.665271324451412;25;273;15
9.7633556978219;40;273;15
9.674226424986356;55;273;15
9.769672387459906;70;273;15
9.721230887414809;85;273;15
9.687692657073912;100;273;15
9.719209866420192;10;286;15
9.706183105341085;25;286;15
9.72926191455994;40;286;15
9.685891195237604;55;286;15
9.754590024512025;70;286;15
9.875988463364845;85;286;15
9.741771683210862;100;286;15
9.740029849743252;10;299;15
9.673712472195852;25;299;15
9.755172784962769;40;299;15
9.695724079248825;55;299;15
9.758965189752011;70;299;15
9.882825292088066;85;299;15
9.720520557508362;100;299;15
9.733605334575996;10;312;15
9.657895158735649;25;312;15
9.802190470531755;40;312;15
9.64902530417632;55;312;15
9.770340975378272;70;312;15
9.841524450502606;85;312;15
9.729508136990074;100;312;15
9.751487288846432;10;325;15
9.665093823444003;25;325;15
9.73030130325198;40;325;15
9.83359400159603;55;325;15
9.741741956112628;70;325;15
9.8277699686714;85;325;15
9.82093103030686;100;325;15
9.72505376924796;10;338;15
9.660755060053976;25;338;15
9.737118619167784;40;338;15
9.656944881313366;55;338;15
9.734414342406003;70;338;15
9.825534639690911;85;338;15
9.768270860100928;100;338;15
9.871383292329249;10;351;15
9.712013852140547;25;351;15
9.695262521568038;40;351;15
9.987405159328809;55;351;15
9.727228408175405;70;351;15
9.786812765290442;85;351;15
9.864906331885402;100;351;15
9.973020668452731;10;364;15
9.763503198492687;25;364;15
9.772849847703087;40;364;15
9.68747730288769;55;364;15
9.807515037931308;70;364;15
9.90900537044844;85;364;15
9.8979556606955;100;364;15
9.868316019292026;10;377;15
9.784627303285005;25;377;15
10.132517489011262;40;377;15
9.678230054961;55;377;15
10.129682232154952;70;377;15
9.968783843238135;85;377;15
9.947557094209085;100;377;15
9.780388844623058;10;390;15
9.793834800162728;25;390;15
9.789691156217923;40;390;15
9.671459896149347;55;390;15
9.905484077495483;70;390;15
9.986863305125766;85;390;15
9.75805856248189;100;390;15
9.810837793319788;10;403;15
9.798238731865156;25;403;15
9.697982153894753;40;403;15
9.983828998743274;55;403;15
9.872275940188278;70;403;15
10.017604535317822;85;403;15
9.979527188459244;100;403;15
9.764543766682015;10;416;15
9.7589260201505;25;416;15
9.835179832122725;40;416;15
10.045195122495066;55;416;15
9.949471449791226;70;416;15
9.929834023403483;85;416;15
9.9020160285175;100;416;15
9.749029887866296;10;429;15
9.725235005321142;25;429;15
9.825759894159756;40;429;15
9.870878931639645;55;429;15
10.496172192307196;70;429;15
10.09187560260054;85;429;15
9.836320767341736;100;429;15
9.72021135214058;10;442;15
9.709689962888362;25;442;15
9.688269383974108;40;442;15
9.840105248716734;55;442;15
9.859409784776032;70;442;15
10.409733909817737;85;442;15
9.79764637781025;100;442;15
9.703422810673292;10;455;15
9.63734657706717;25;455;15
9.680658009428845;40;455;15
10.090944064442716;55;455;15
9.812413858432423;70;455;15
9.832990666916752;85;455;15
9.815291316087242;100;455;15
9.707986890111318;10;468;15
9.68411842325738;25;468;15
9.740006157310509;40;468;15
9.853614694751236;55;468;15
10.333605002608008;70;468;15
9.831683774720284;85;468;15
9.803977003460483;100;468;15
9.672599669455812;10;481;15
9.62552724349518;25;481;15
9.689306408486148;40;481;15
10.094293158078049;55;481;15
10.446670426145811;70;481;15
9.815628060494335;85;481;15
9.912394946740417;100;481;15
11.338820711002585;10;494;15
9.666813421018981;25;494;15
9.750274405685742;40;494;15
10.339381142168433;55;494;15
10.296908546888577;70;494;15
9.78372674448538;85;494;15
11.597171057281049;100;494;15
