rmse;hl;T;RS
3.90748092807618;10;13;15
4.135996642331576;25;13;15
4.076950104713402;40;13;15
4.068245133697412;55;13;15
4.059715090715488;70;13;15
4.037907699523956;85;13;15
4.025093880513992;100;13;15
3.815341812024321;10;52;15
3.603410135813238;25;52;15
4.087884472813263;40;52;15
3.874217156622927;55;52;15
3.913991644684677;70;52;15
3.978930607000573;85;52;15
3.981126305836612;100;52;15
3.825937603315523;10;91;15
3.565634859316487;25;91;15
3.66717748470086;40;91;15
3.6064814968676906;55;91;15
3.762838516547143;70;91;15
3.5056171992451155;85;91;15
3.7647135714915176;100;91;15
3.7796343144624753;10;130;15
5.008320745308594;25;130;15
5.353238210084696;40;130;15
5.460549164193394;55;130;15
6.1307889463190595;70;130;15
5.676935072799749;85;130;15
4.924936254724739;100;130;15
