rmse;hl;T;RS
3.705925386480149;10;13;15
3.813701817307576;25;13;15
3.8350233883063054;40;13;15
3.896279479283718;55;13;15
3.984278915586634;70;13;15
4.096658456216977;85;13;15
4.0791193622662;100;13;15
3.482619219736895;10;52;15
3.673561562089426;25;52;15
3.729714939877681;40;52;15
3.738848178457896;55;52;15
3.845655702985544;70;52;15
4.025284360541567;85;52;15
3.6979491017941504;100;52;15
3.541764390493642;10;91;15
3.65074929790084;25;91;15
3.729061064811544;40;91;15
3.7732095800734777;55;91;15
3.7230514222413698;70;91;15
3.720373479376256;85;91;15
3.834129826585437;100;91;15
3.512922053957491;10;130;15
3.7015674226078947;25;130;15
3.7286890979085094;40;130;15
3.8071865471882704;55;130;15
3.893454495079595;70;130;15
3.8779300353417017;85;130;15
4.065472197952983;100;130;15
