rmse;hl;T;RS
3.764221640890911;10;13;15
3.9874193708626726;25;13;15
3.904599182470697;40;13;15
4.018279958579927;55;13;15
3.988549630924754;70;13;15
3.8940580628030848;85;13;15
3.923743999034149;100;13;15
3.524663630606344;10;52;15
3.750126605988814;25;52;15
3.938035459918911;40;52;15
4.051139544578908;55;52;15
4.210718386566085;70;52;15
3.657809914103217;85;52;15
4.206306490255879;100;52;15
3.72922041261646;10;91;15
3.711372247580021;25;91;15
3.6807865406427744;40;91;15
3.8690142002392114;55;91;15
3.7852433202523934;70;91;15
3.8670503460587313;85;91;15
3.7018504339599727;100;91;15
3.612579175510081;10;130;15
3.8131122050054183;25;130;15
3.992529242428407;40;130;15
4.178722251824152;55;130;15
4.387713844331096;70;130;15
3.9536752462016738;85;130;15
4.257696052618963;100;130;15
