rmse;hl;T;RS
4.136727614285264;10;13;15
4.016173057815512;25;13;15
3.991577519723992;40;13;15
4.013797347211918;55;13;15
4.064638242839581;70;13;15
4.1007496736474085;85;13;15
3.98123876376655;100;13;15
4.050433152358789;10;52;15
3.828396601998127;25;52;15
3.912767945125079;40;52;15
3.885518187382933;55;52;15
3.95601671406916;70;52;15
3.7535437075241465;85;52;15
3.800958386332227;100;52;15
4.070026006215817;10;91;15
3.868096448156492;25;91;15
3.759727039919568;40;91;15
4.031727559920824;55;91;15
3.987859793121221;70;91;15
3.874960698845945;85;91;15
3.966693026994858;100;91;15
4.218047871706223;10;130;15
4.301622108495673;25;130;15
4.242954838134729;40;130;15
4.342044794565447;55;130;15
4.673159530474175;70;130;15
4.915554750345912;85;130;15
4.894241619936653;100;130;15
