rmse;hl;T;RS;preds
5.912727378041886;10;12;15;10.445518376759873 11.916407211965623 16.31234750394721 19.461018405894077 30.424445255528607 37.90956829154909 40.96781246817537 37.68373943087924 30.139282821780988 21.952344994197205 16.602891379905802 12.18139126255086 10.130319232949583 11.663461876933642 16.162708038232708 19.174663846338053 30.425725136917467 38.56232535098502 41.881217102435954 37.92399935923427 29.7911928864143 21.84834096173287 16.6181547755195 12.342798076562115 10.401890352412732 11.868228048207243 16.218358577102865 19.32404882086922 30.87556294252701 38.672547710128605 41.481086757770655 37.497723251935305 29.66171830300365 21.842786708532678 16.601722205556904 12.17211752282502 10.184954507258112 11.61350600019241 16.184035344456188 19.18928831382171 30.730964697388476 38.722719600606354 41.56933511956706 38.09886382903053 30.171312258563027 22.177871266875197 16.604336646811685 12.111234051187743 10.127118179391575 11.684718978692755 16.07674402169997 18.899202454488822 30.880636565163453 39.452550361231495 42.47345386332913 37.790847141959425 29.35120800736163 21.89157830498623 16.61323843788496 12.277462021780883 10.304119835093493 11.563699982980888 15.887399881127818 18.857762919309767 31.12970580371081 39.5208633553191 42.48907300656515 37.97380267627409 29.319026010878176 21.785195421248503 16.447914349770556 12.064103904137323 10.175568710406454 11.42266596449488 15.855576332438398 18.941603250795374 31.760492916057117 40.10992876454303 42.14293259517052 37.15213502565466 29.186628491595286 22.063134389399146 16.66574530184587 12.27712585040343 10.017699121330663 11.221330361374337 15.798275313612667 19.1727703509289 31.56200194382933 39.680213988575886 41.97164180262777 37.22092460004845 29.180230434736828 21.98699292249158 16.734896024205405 12.391848045695829 10.301421013472885 11.577125236705411 15.97128544048951 19.4028907970047 31.28662628243178 39.14457012647843 41.60439954934716 37.146798136276836 29.113268876588304 21.89751817645825 16.724124364225403 12.361631774214679 10.447154680813988 11.784657733892281 16.092796542494877 19.65061805021395 31.551129702453267 39.27913588364161 41.192801575444506 36.54641090708772 28.82323634564662 21.803459213910273 16.71605017578016 12.383018484215702 10.304080682603749 11.722680692713887 16.044175225619565 19.789802113559567 31.583129437346535 39.224485758388695 41.353581949619866 36.62144057829514 28.89087024655005 21.708957591963166 16.643084785842323 12.335252446728411 10.29942558658181 11.691985140754841 16.05662301718635 20.03535134076609 31.68931638987481 39.03758257303919 41.1882004828567 36.795704259886705 29.0874795366199 21.554298338285626 16.428471763398186 12.050199369934903 10.100312224775685 11.651686428121767 16.112749461319773 20.265025583467406 31.80639988532451 38.944449600625795
6.003773213532295;25;12;15;11.423697430086749 12.665796666346516 14.383342811722828 20.575803533629827 31.365168201986386 38.60175865858617 41.623908289926334 39.250669323426244 30.801578237769988 20.8405627949205 14.504712154713609 11.878163330001167 11.115815751600968 12.459449544538781 14.177023366675085 20.2265687254596 31.171958090573508 38.93562543948908 42.192744012725456 39.49566805312611 30.482999829069062 20.238105209075453 14.434355130644214 12.256100963411072 11.526530769355603 12.55656797039091 14.18921801714439 20.55460718573411 31.7493682086265 39.17653745931122 42.14193623181084 39.28252054887566 30.522948194423222 20.34817163330299 14.419845757979546 11.979678985477266 11.199984153948911 12.387290155855323 14.115244788117115 20.367332051732035 31.47162719681409 39.013596947770694 42.2727757520191 40.05876186079145 30.862280122860007 20.263312662041116 13.944904456015037 11.66009206264398 11.317494276528231 12.46266679912703 13.955882004087652 20.073314404873077 31.391096600797674 39.507523157003334 42.90114756077398 39.97348638804386 30.44708619528728 19.80393244962094 13.96885362896549 12.032511895171732 11.514281440409242 12.29974923904601 13.732201130010292 20.125209679942472 31.64866192961941 39.641334216174556 43.21011470828576 39.95669267011553 30.262825127952542 19.400520383767894 13.760448976317432 11.922618956976336 11.47881873530244 12.075491878309322 13.54642526634823 20.243580819774692 32.09180465948278 40.098609644749544 43.01245943920112 39.64439891106139 30.142298238534178 19.830286125476 14.279512434051364 12.147321846044592 11.04683311493016 11.891548081150093 13.642061972976439 20.39957243942864 32.15644474500668 39.81800645092828 42.76915641733291 39.47872312558222 30.06632350722949 19.880116781754342 14.499752614331767 12.407195821675352 11.369318672090335 12.23990533351572 13.951999832216687 20.69526318018121 32.12945315358597 39.63783614372883 42.59780217075506 39.32590150751166 29.959902314805678 19.68298028315881 14.478488762143389 12.471451807774 11.635866122093612 12.391956052564087 14.117346871790595 21.005804527797856 32.43481557186962 39.83230251002814 42.31671564619834 39.02642951380565 29.710241738654602 19.791662869386784 14.611915046846443 12.484122363506568 11.3559514720575 12.258355606785967 14.165435579796808 21.046291577407455 32.53629207485598 39.8327655894758 42.345957155693455 38.959081831103106 29.576195764544916 19.79685664966416 14.740265683784276 12.542535178032434 11.248256473631164 12.190967421507825 14.200919886277264 21.24725253170373 32.7240147623184 39.828885442733615 42.235756397923524 38.875506116444726 29.49719751597192 19.73053165699544 14.668838041633268 12.292473626382952 11.064116914023217 12.1014783308123 14.225407743483157 21.38135284676901 32.78655613938344 39.763384677478285
5.786329243627824;40;12;15;10.153826927826032 11.616543693362178 15.104620778467758 21.494141044076656 29.585846853266734 33.87109765639951 36.091024248621395 34.69151512751886 29.28288758780183 22.46326861556128 15.518563851497465 10.862233176046262 9.826355503609879 11.428235068639456 15.010452290204938 21.34519602877291 29.392779175911375 34.1213698214421 36.46893758048594 34.796212260308096 29.15941413600879 22.10951642012614 15.429770730059282 11.219013614050194 10.005992526897302 11.532994980420868 15.086231259060908 21.543440779093217 29.751798056259965 34.13134830598333 36.36110892356014 34.62912360998352 29.046752509249885 22.122599595847603 15.38046086939882 10.931236064004867 9.844087531206206 11.447406287755328 15.063744904132427 21.35986471156826 29.491325317553294 34.12189702996779 36.30304578127026 35.01279708314088 29.441343114137926 22.142292960667213 15.091785512261097 10.632351357645016 9.766665507866856 11.64963159745315 15.00605438553804 21.15093723817354 29.51179059395949 34.26874249300903 36.69907186494174 34.90808172419263 29.056516330140447 21.83297293446555 15.249648350907622 10.974374007187285 9.755710911253743 11.374822972113956 14.895796249119346 21.20568811358325 29.583565208174775 34.32944640322783 36.893603035362005 35.088432942896404 29.005393979222028 21.616398068515934 14.918372384757065 10.902916663147506 9.861835759832774 11.287643878313308 14.77096798617259 21.211676588145984 29.74486671548948 34.623461349915075 36.83174345165284 34.76012851570881 29.03974151341406 21.89818157489438 15.348549565128941 10.866836968805778 9.454275892717138 11.261188946019258 14.980389928511055 21.362345831845033 29.827749836105145 34.508947067844076 36.664920093198425 34.643423719340944 28.958972627244552 21.860959707920816 15.485982904644382 11.161687618636178 9.852487765385005 11.553818704621095 15.129558214262778 21.48936292148134 29.77626498713513 34.2869855281008 36.532085146099085 34.60764914440204 28.81814652197994 21.723132143336233 15.310577050420981 11.263431438621474 10.164368398168055 11.786628859237998 15.28915456314485 21.70759991187701 29.955349150265658 34.33321516788712 36.39459105272025 34.27311069578715 28.6440914286527 21.724501467912873 15.380721435968495 11.19305011300672 9.887163370439376 11.699934446258661 15.269563467328622 21.706836269566278 30.07760954991957 34.37577662441021 36.480402509551574 34.29311289274569 28.621243588237018 21.73851198385477 15.461067745265943 11.283851487151583 9.882911950087554 11.59414306888538 15.203724505567061 21.884090560083482 30.29166566194925 34.39109267337218 36.51517532078738 34.34430612317141 28.616289110677126 21.636777276948983 15.231204153023715 11.11131591545215 9.912619239202035 11.575312071404523 15.140691697251441 21.989801101066302 30.36037828144941 34.35102820063464
5.898063749955737;55;12;15;12.489576710353619 12.567761532200043 14.321217936143505 19.77688955493781 29.427427104205755 37.961957022997844 42.09806114175256 37.73331188323816 29.908145423536237 22.464177729622698 15.01824566079271 11.442929403066016 12.22647737961949 12.3747222066476 14.070956571787745 19.61238294380754 29.34527302995083 38.174860161708864 42.62095479305211 37.93549669036038 29.79927382528881 22.482427177622277 15.132634384879362 11.760036218186919 12.47476626854368 12.517184615966327 14.179446770781635 19.833675516010533 29.67714708413437 38.420671643092376 42.55823115439688 37.77203369559466 29.57533710994226 22.34379124913307 14.937746791793847 11.472891858406758 12.228538960717373 12.437949427326087 14.016132285459765 19.706884903276105 29.546414220708506 38.307711309838446 42.48496874557132 38.182261332356276 30.343661518414713 22.550602462952853 14.651809408766475 11.517171974221009 12.455673354407296 12.31018000234807 14.184119417919664 19.74079973495218 29.558101238896995 38.44124560140976 43.21213578680805 38.14995917823188 29.7482405800367 22.439515711341738 14.85424938211496 11.604634586050834 12.427926389951706 12.340149208118078 13.917692125557323 19.601455348911493 29.640647513092283 38.6898504104236 43.26861662847794 38.364556674688714 29.614589506039085 22.146883252568195 14.612594815073544 11.565799366482661 12.185091847874565 12.239463855441715 13.798583501327778 19.53869930819578 29.867380931283797 39.3277389743579 43.35704860195038 38.08795513533643 29.741504326672008 22.39592987717751 14.762019617137378 11.379577974489033 12.124918521396086 12.067796388945908 13.737843138790943 19.658200132365693 30.022382938007325 39.05742343473826 43.06697995621212 37.970191196616696 29.610744461529084 22.44791493295615 15.004350577191262 11.73967017309094 12.38527852793401 12.390083483485657 14.057991697339174 19.867209623475997 29.9194564428146 38.75316133642499 42.806422837139635 37.8963239493289 29.435717981430443 22.33253997115371 15.035228390740496 11.958616296081019 12.509252861578599 12.565986169303047 14.345105005144712 20.153355594767696 30.09016332322583 38.96228558483282 42.69242428786457 37.46556555699721 29.23695024160274 22.214719328828146 14.968504447702143 11.781829304029765 12.414459283565732 12.358673736110251 14.30677201751394 20.070060022923865 30.227866004868993 38.99772263830841 42.757745491701414 37.462780329881994 29.189818744466468 22.12741366447876 15.00984542661391 11.798224746631394 12.330812014357136 12.26048874243407 14.23736680397107 20.126560778360094 30.36230080370441 39.10561879952688 42.69827420986661 37.46997223722215 29.11120324523286 21.83216811453629 14.724611438316071 11.673501115338263 12.10835296797695 12.13751617249258 14.261442884991729 20.224710332282626 30.42662834435328 39.10807730586561
5.9173572742860605;70;12;15;12.051513003470097 11.826937022472045 14.334922657639646 20.761256220490772 30.22948610789287 37.91001787013822 40.905803024936496 38.43370267174776 30.993756208548067 21.40248641567255 14.99848580424483 12.840091399912708 11.898194553805546 11.716660659894332 14.165428829367542 20.48739687426713 30.332604315276754 38.484008220724974 41.42597760332764 38.54330129122715 30.642929649156883 21.18352307908784 15.144023709137214 13.351270356263775 12.12500357680484 11.638455586760108 14.134671173459248 20.889877043359984 30.766253241420213 38.50424870783661 41.26962686083674 38.26337179024665 30.67071306593051 21.267350078475648 15.089631450282267 13.092919277475458 11.818646145247357 11.568769555359768 14.13481428255969 20.783220935997708 30.58720215539309 38.471698137915226 41.234237060366 38.80561622208055 31.114293223610332 21.210616264469003 14.942076517125157 12.981820712613128 12.139410342944663 11.677874043416876 13.82404072017629 20.76643784999547 31.075556560309444 38.91114838297001 41.79022536618579 38.42317335217842 30.467608850342234 21.085211852384383 15.191965257785425 13.490947538467285 12.09698119483519 11.295976608199446 13.70221302303834 20.902046042198076 31.096081915536107 38.90372291077725 41.924810024550915 38.53783074334986 30.423629803673254 20.85873461298352 15.096805806506334 13.483320903482387 11.974423101250641 11.060460881532668 13.75545365866048 21.212605278452276 31.438755306459633 39.11612651772257 41.58194762160794 38.04508450915295 30.63139451562688 21.44040627703223 15.551682132520135 13.473632687399606 11.429919975784287 10.947389841238769 13.90532803931344 21.15684352625996 31.30129091496957 39.02217269311041 41.49023358942628 38.10163420520136 30.508575855472657 21.354039428633033 15.53342897178446 13.581856919480408 11.706489113076096 11.270069810761807 14.143654644726643 21.295697662375193 31.079351651642874 38.703650988015326 41.313952879569996 38.0435791634266 30.385754495146728 21.18890401501662 15.474628682618714 13.696934187352207 11.89516631123675 11.394314161577043 14.330646935742466 21.640866518237686 31.36510542299421 38.7200018777838 41.005739079964314 37.574285270586145 30.22198773106403 21.23950776420667 15.54486014870376 13.557586426096885 11.629511267982457 11.339349466320327 14.448548583219225 21.596171082262835 31.3053573735595 38.78949754707883 41.13539052462174 37.67410521823059 30.168521631104397 21.22004998936845 15.524687165884792 13.527394456161094 11.52568966586904 11.297803274358866 14.563378785379882 21.655708349543712 31.293110744784844 38.74026801652664 41.159782525732055 37.84463996269554 30.204579724072474 21.01919822326556 15.277035517483327 13.224855067396547 11.422027373886303 11.317766993870585 14.676630737178115 21.774995185105883 31.32155300345485 38.63748733060606
5.725849860272633;85;12;15;11.467745331134244 11.703467620936566 13.621423210538104 19.923128491909484 30.107684737429057 38.39712074546863 41.56437355405643 37.79649860134105 29.7649573430714 20.872800313684667 13.624524357742976 10.372728497982955 11.112530992720059 11.64101399945198 13.463085141671243 19.621732625862624 29.93144655527714 38.75541867997159 42.0033539692343 38.03462404396212 29.62879173417214 20.489691345174695 13.428770009539686 10.68883219931491 11.505134608753606 11.674001997189812 13.429031926195213 19.90966543578107 30.417536866217628 38.8164803629415 41.94920742600464 37.7719891427615 29.459912194963255 20.529069974298793 13.449848224923246 10.484959784876146 11.218161709876805 11.563269305593707 13.37617876521295 19.686286305891908 30.21819466485938 38.79105284598175 41.89758689340638 38.20956546865201 30.076999986156835 20.714066332141346 13.000640234364234 10.068708065037415 11.396320389154942 11.744375222289447 13.299924566136642 19.698381050008074 30.099811036733016 38.973433243722944 42.42511673952592 38.15576184722907 29.519090508167906 20.307622142222677 13.0256802766841 10.530324019630541 11.58150086495573 11.507819929515682 13.075902120338416 19.565816795122306 30.27815400273012 39.09954206310149 42.6029216963105 38.267816272875486 29.415285782127654 20.03276356370691 12.711347887991584 10.733533541915367 11.633481870476807 11.344443340244565 12.958148982305513 19.523498354052798 30.590197320858483 39.52127243133263 42.53545925631044 37.86220457964606 29.44052091185331 20.441272541177366 13.38032487886822 10.732809895898036 11.209244392816219 11.09707250970057 12.921865424999947 19.734240680355725 30.75271593056987 39.39744255687434 42.350636553260756 37.80856026835381 29.365389309163962 20.28991981651512 13.4004398079955 10.898060404333437 11.475039844999248 11.298416213336234 13.22786373372047 19.98973565252153 30.69102578263529 39.09256076915443 42.20871282819747 37.70623861162333 29.20882390302239 20.11009985659458 13.242369056127577 11.059716984227538 11.710813438063992 11.466676063138484 13.428153695347687 20.285648819918425 30.950641216825154 39.17004354635718 41.95972729497301 37.26378577563096 28.984984393857278 20.14137392034174 13.453419877047967 11.01970043953779 11.489046985726512 11.366425438106862 13.340343436410654 20.33929988163995 31.058205256923728 39.262668886489756 42.0355575670914 37.28272748015178 28.941586559148114 20.076845891943663 13.445616380816295 11.125521518799841 11.424376523270924 11.204251775330972 13.337878179642656 20.475689604790844 31.260513596901525 39.300837163646435 41.96170922100555 37.327278963222525 28.892676998943138 19.93808069273401 13.210056101316361 11.020097364778639 11.356441553222222 11.145374531271594 13.365542113818274 20.608578724085042 31.330284683710616 39.25667585538727
5.629856536678098;100;12;15;11.246544564769268 12.762532342859254 14.764447746544413 19.567671813084644 29.27352676753846 37.943927976513805 40.15832664220963 36.50658877476083 29.07848863988031 19.98086153820825 13.31783615515145 10.362709510866132 10.888029266443935 12.604229376224577 14.731293013203707 19.439764679349594 29.297851939399038 38.40375911760896 40.62440463054769 36.66605011505758 29.09806083449459 19.819012571080062 13.02053847471207 10.478127000372947 11.146904178543306 12.73334618688412 14.702862230263456 19.616271191064843 29.70726277421945 38.38427197840343 40.35989446009693 36.37631089026751 28.818054041098996 19.73066565301637 12.968536542860269 10.271030580916669 10.976723156571905 12.578187570201615 14.65125789869543 19.538295632525667 29.607792498810994 38.40379962018456 40.28032039990753 36.81758375122416 29.514525867898133 19.9887075621443 12.684961135033122 10.051701033544271 10.81275387961122 12.675388351290792 14.897274593128634 19.491519207968793 29.765936155314993 38.60454793595895 40.71263949148556 36.6677728246063 29.157405208259185 19.88603994591393 12.541511137912758 10.157487010574139 11.004025942781785 12.578321903744012 14.514280213155454 19.388772274194547 29.84353166468648 38.73956732196881 40.81219887256033 36.90847693120705 29.110036096012745 19.78926140417535 12.237550783787686 10.064601103871887 11.118783240306369 12.548861680340671 14.212255207100986 19.45201029555986 30.079013639206927 39.1339854533891 40.659644571488705 36.62371007261442 29.176034367904986 19.828824320018413 12.433481993237748 10.15375537327581 10.843827455609171 12.225766559417764 14.23186857933379 19.597247468828435 30.243649183536185 38.97160252730596 40.520807142685904 36.45664774896399 28.950211245100014 19.677420292093743 12.563109136349812 10.348549810437452 11.103756784759915 12.486734779632569 14.447814136515067 19.7373344020884 30.028563631043415 38.54500239940222 40.28974804942064 36.340115088542404 28.74676748291965 19.59393368310168 12.466341732819522 10.413349881134952 11.326527700972196 12.694579821694461 14.590580315150769 20.00781566474653 30.237903218144837 38.58046375442317 40.01430353364457 35.964029772923126 28.534751013092738 19.479821051572014 12.562094546831108 10.513461447323692 11.181824149137109 12.548762449030459 14.525604058249423 19.993272877456995 30.407758869425606 38.64276211603463 40.206021125146705 35.99718788147847 28.43418986831487 19.36515218467082 12.596127511019342 10.550906078463038 11.20748928120702 12.430730518268865 14.391604662101672 20.03729208918011 30.466398498374815 38.6545348646748 40.29212150035062 36.10637337468677 28.265398084686446 19.149864119300066 12.530821833169806 10.477127936841557 11.188089897581952 12.395597909153176 14.334803175041637 20.152585370788426 30.52253034285165 38.60488275725055
6.420268414410514;10;48;15;13.611579059539276 12.575924151268675 14.549225835380469 20.826227920852364 29.933204367058046 37.55873363164279 42.057600418817096 37.23780337338553 28.4377844718991 21.729450882650813 15.734059830089617 12.615468165909794 13.770689377514184 12.58077365965348 14.495565323057972 20.830552583361722 30.04228792878443 38.18075868680163 43.15033290670472 37.69763586456654 28.249479559912473 21.172111815934873 15.764668976554056 13.303878292557828 14.435320442029273 12.863476236976512 14.573230361850905 21.102314064930177 30.520760380298064 39.40254318122784 43.788629196566696 37.37042365683421 27.89975973339947 21.140575160489263 15.711914371839077 13.395458666240007 14.395792628418393 12.767111159030485 14.4793818439353 21.089357290996727 30.958608073445067 39.79969793667263 44.16260297791152 38.74247540689667 28.93264494054217 21.227369817343202 15.80714942792595 13.730090945821694 14.848712680030863 12.942164640846192 14.304852195430646 21.09168922678672 30.905367437822928 40.080820913547385 45.16869505625393 39.119924309227706 28.81747282913918 21.17438063521123 15.581689140694031 14.182142892230535 15.197892134681107 12.656556678767007 14.071780124158217 21.0134868538242 31.13845300995389 41.34723924628139 46.730046394055385 38.89543743389597 27.54226611254357 20.20742619566811 15.823188447862327 14.936495262207902 15.317839162225509 12.265258595753533 13.856449531083086 21.036769759406084 31.87638968604183 42.31811703531399 46.00154141773811 37.26399368885235 27.23933148614549 21.084555035616784 17.490617381237946 14.81144896039585 14.888357951110972 12.030474615619207 13.943035937194164 21.654624061842835 32.06405701998427 41.519656010425734 44.694347792064846 36.94976795694224 28.14658310412998 22.467524254931394 17.972105587026235 14.561556169478022 14.820320374537427 12.234783107788564 13.941079662792834 21.669963399785775 31.439701716642748 40.30371333748646 43.874772774517915 36.62844617378755 27.87183354504686 22.367123095327134 17.928272349629403 15.136710294070264 15.07459554413484 12.401660469677108 14.330318864880132 21.778893389246356 31.302801661039332 39.96010973741005 43.38805332356982 36.3667131299369 27.911318830953366 22.09794331543152 17.814516815807917 15.648058011152987 15.479040763187072 12.917174551702898 14.815300755335116 22.02965833562537 31.596485836692544 40.15818488319505 43.379905555445575 36.13242058105315 27.96398230487325 22.76061439280918 18.309172746444222 15.253615578187338 14.922245106027056 12.667199405548022 15.05318453258846 22.937851300971026 32.7170044415255 41.00367074843717 43.99538674447381 36.50629175587312 28.139572445815617 22.888528276973496 18.05316676678297 14.588907558778617 14.506299855677009 12.580399685872134 15.323709335515355 23.34405601941148 33.067331469150986 41.09016669879608
5.636338524972312;25;48;15;11.081962348831215 12.287987966135594 14.011974696074743 19.60149888918026 28.37110170647927 37.11725285746474 40.08234786064739 37.70820568671149 28.065013279528042 19.011883995014063 14.530940272584315 11.86552652641493 10.974715578908153 12.204296144093842 13.949756664571545 19.508180955004974 28.296974230143263 37.242253256357785 40.13878144931242 37.59634567342793 27.878652491170065 18.67725306551823 14.33378116005074 11.732435063003477 11.062047232410215 12.215071179288474 13.910318631669906 19.581528419239273 28.38148589181939 37.29045672166152 40.225424559029335 37.59663729197223 27.728663015698118 18.456856275278852 14.290824803415582 11.654367698626283 10.963195296322537 12.123234289294182 13.964733841984357 19.5889846058852 28.241221422269724 37.2784949610019 40.14965234060263 37.70993919694703 27.708550449221082 18.390260590396558 14.153346911066985 11.481333945247007 10.889742525391684 12.17030908282462 13.913345524152849 19.429788894980078 28.195897015048 37.58367781786707 40.492166421395474 37.87150667117482 27.761898754190018 18.157153416891944 13.898913781424742 11.481275891555319 11.06259266709492 12.095959854887221 13.753286770866046 19.35477981258191 28.176543534341942 37.58950343832376 40.68839059947568 37.91092917808915 27.628090057669034 17.955422238616404 13.84805064699014 11.332080604086533 10.946774202089696 11.99668601697041 13.80122359421377 19.32538270569221 28.188119845490466 37.62315027795797 40.74595150982816 38.022403066818676 27.597065759804728 17.602777113580917 13.804154630601133 11.358331673416746 10.994673898076458 12.148106920968246 13.77291229387153 19.118502975015375 27.889872042131874 37.87097203717694 40.91667796648427 37.94282090611416 27.293821626224794 17.435549404413457 13.77656765131915 11.517771412339842 11.33680590457284 12.206102558965464 13.744868985571154 19.060060121079275 28.090709463572576 37.946031410273136 40.911573291873204 37.83106619952716 27.110110381353785 17.444732013344208 13.954507616689064 11.600958302272486 11.525700466555865 12.197686123756425 13.608955167683522 19.049722851222555 28.369518730816356 37.99370429183656 40.618925982155275 37.4626966245591 26.87412482481008 17.36934726955738 13.95520426098933 11.865622382510509 11.46607257476209 12.122270327994976 13.741075244323577 19.319336683719982 28.428607600833228 37.867440212584896 40.43595964715378 37.23242463134626 26.738327789348755 17.27825225173944 13.901061768017232 11.82114650424754 11.464371466587021 12.17877277103852 13.872109851937633 19.47771728029122 28.587449589244805 37.87345214488933 40.42145972509009 37.138995990131015 26.595675017924727 17.212915521915278 13.938119599559627 11.711214413562402 11.407747515816684 12.201655376164922 13.843558911356443 19.549484131512852 28.835994319438186 37.89407470629742
5.581913195367353;40;48;15;9.278501465055808 9.74569192413692 12.874623895866636 19.00039611448893 27.752224376487234 37.04128622667517 40.72786035939488 37.60946580774963 29.550847902650517 19.975569876706512 13.950341926788921 11.2006686474765 9.182345650417032 9.660331395980576 12.835887232565748 19.145860777223774 27.826606006485108 37.01619218092118 40.727567390764726 37.55228697169361 29.501542092247615 19.717142518067487 13.830678417273697 11.197662006281355 9.203219327793827 9.697879983730619 12.87451521395545 19.19923338373807 27.98870541453907 37.14575451991229 40.805807566131136 37.56390851071822 29.45559732057633 19.803388027500628 13.851309079196911 11.158791684480999 8.92725637905012 9.438061361619843 12.840454573007227 19.270218197729214 28.082053050603125 37.19039510864935 40.824592660692986 37.6356169707267 29.56787721056024 19.591751269319936 13.608790457209428 10.856118637216982 8.75765589399561 9.479141773961937 12.794348466076482 19.45084483394706 28.374694284934716 37.38791401906281 40.95603026893423 37.853890750961874 29.48806553526067 19.494636218682437 13.736021197932008 10.961565742697688 8.765290629495627 9.309942264405837 12.699367901172943 19.39074643723343 28.362022379116294 37.370919138342344 41.19423806679235 37.78342707011007 29.339126764103998 19.537084267993855 13.596229258430972 10.79904510785752 8.51296498387028 9.280179621771373 12.80324958210683 19.442615723150155 28.475699945479757 37.8652490232451 41.403753840097615 37.80697661764797 29.397735341078583 19.421142945175987 13.534420977984231 10.694551162989193 8.372303589079763 9.269950021261446 12.710637067789857 19.525711144766245 28.875952472914783 37.917752511991374 41.37272211676111 37.611266822277834 29.171118705313376 19.416465572737472 13.609927904540776 10.635895333009744 8.306563858628415 9.36492721095035 12.825746062679208 19.514132808488938 28.968176500027486 37.83088528802283 41.24656199412014 37.45326222461672 28.984987769071914 19.341328907226178 13.57396904288291 10.645769860940272 8.475612158568953 9.470698337035834 13.032371302172708 19.665894271643253 28.78625648156225 37.78719110946888 41.16284587053303 37.16863037460942 29.025035365736287 19.54428191319889 13.669555121291623 10.818806314491253 8.54354172827424 9.575791720022995 13.111995315538678 19.719863616104675 28.80548237915518 37.697205187179364 41.00455640475688 37.016562104444965 28.767028558840543 19.374447525770307 13.62884125725868 10.861124755560759 8.678334299860765 9.684919159539607 13.236311220904133 19.767328921968158 28.840942384090276 37.62940927597354 40.91493095539019 36.91596585743491 28.61937135668005 19.234426071674225 13.514562565169065 10.793681216762636 8.696058226941974 9.685899321869053 13.275263897941537 19.85376243085636 28.814057111930506 37.61365782432391
