rmse;hl;T;RS;preds
5.857623961943347;10;12;15;12.632220706219602 13.62022163412873 15.330170171365989 20.415593908248923 29.660225783092905 37.86058177645048 38.59430483459049 37.16291141093514 30.72841978555514 21.327095596499383 13.425069424215982 11.61223961966208 12.594982638215802 13.612307430857093 15.334112422057421 20.206974591950203 29.095939174576237 37.8280744092764 38.58952013032664 37.25199547587469 30.53620941271658 20.882870772824646 13.34246847154364 11.762361066026182 12.678941777256494 13.707169863248474 15.448070468756892 20.524502633857313 29.640692065925442 38.06457434853018 38.6048841073364 37.06053440068467 30.532801796023026 20.899975010499222 13.193340688367515 11.677170648687344 12.653900384850777 13.686182778660008 15.397926930082063 20.291406936082453 29.141113722268255 37.80034229576519 38.591753172327884 37.490779760392144 30.995954148317125 20.640900285693572 12.4200358131825 11.65597160061992 12.70435849352941 13.796410538147004 15.537430626253434 20.401611069067016 28.980752212228865 37.93520642190194 38.602035426186085 37.32925818908336 30.71717897074114 20.43265224300449 12.540898198935391 11.680262345291242 12.713865798107857 13.77476866191972 15.491477079024104 20.309672922633734 28.90080519082251 37.98625856835599 38.61542017733501 37.11723800652035 30.349705852779625 19.866612548007407 12.178302941161597 11.702255243840364 12.758201267442091 13.805925943240572 15.483506172146631 20.139718715085678 28.81543386197934 38.06555181068792 38.60892356420926 36.979010816523214 30.311626681289262 20.204610591621197 12.48191024783605 11.701204877046552 12.725471136102227 13.776269957388513 15.485073621822231 20.257731744645326 29.05657168366043 38.069442758116935 38.60497861334613 37.05267690101888 30.249390423627048 20.34458276758364 12.948514769656862 11.845485852009578 12.763709617723272 13.807664853819533 15.534661600168459 20.51408537141379 29.359597440853605 38.141596746456976 38.61465872891379 36.95187139070158 30.047031455429753 20.045556977252122 12.850686198645933 11.961293516327975 12.835817703144308 13.889968787604165 15.640486729688071 20.796488229677404 29.780013500506627 38.301698027448154 38.62286725090143 36.7030451676078 29.899639882660885 20.160518137740546 12.973616915925975 11.909485321796112 12.788179923813072 13.836797006360538 15.578941040939782 20.683353735348405 29.777907366575587 38.29466137998112 38.619672947772685 36.64810477389644 29.740692925074217 20.235231888858316 13.300935780440712 11.932120861211372 12.765144758985254 13.782159031880303 15.52878400140642 20.69862050617673 30.055756385256256 38.32927488108624 38.623993222503024 36.491690577370434 29.529267455329556 20.062630837995002 13.287591531867383 11.901101288647551 12.74905173561475 13.745205831991534 15.47636691815475 20.635084115837856 30.059774915798396 38.301822235346656
5.797469871758773;25;12;15;10.818760411572242 11.2239063251823 14.668853567620582 21.975903992336075 30.191144344704053 35.60258883855384 37.51561458966231 36.700677117021236 31.229672910713255 21.620000435093814 14.926347341892097 11.835765233866319 10.753740276880666 11.19018793099787 14.553033752529505 21.659519135625185 29.817522935766924 35.53136910962424 37.544731891258934 36.714253580361316 31.091509849794143 21.29374915096752 14.875837929951041 11.864459958590878 10.815350094706982 11.295344768020135 14.787794781204326 22.04380326949003 30.2316300442278 35.65632360559827 37.564507948837054 36.642129293910045 30.97261588921526 21.315065656504174 14.862751547775678 11.82224142387451 10.793392298390044 11.268592816838375 14.66969737127885 21.764156189593955 29.9094887589602 35.527857536319985 37.55590385169442 36.80694777487241 31.271103670334263 21.302835903802688 14.78022349973941 11.76004026844448 10.80729953276417 11.376629386985577 14.882616035977184 21.82467176283623 29.83658412288576 35.54724476917237 37.61201476984053 36.73193160452352 30.91086701254606 21.066717363802443 14.781992787250068 11.80181732508684 10.83860667361473 11.349570966315133 14.713769573871703 21.69628399853743 29.796618206415506 35.56235493004173 37.674924720343505 36.68756778338637 30.652637441484536 20.749174470950944 14.665595810456736 11.770919260249809 10.867268996278812 11.388416986570132 14.700223487463317 21.484268541274908 29.75231311401297 35.61633271253973 37.6496403124842 36.64408151805382 30.72969764181522 21.050468067994423 14.788781018920112 11.808471898257412 10.83697711998988 11.329357480920567 14.668336484738795 21.673819244982603 29.931329772850834 35.637151036396546 37.6169344826897 36.63665334568934 30.77552360593142 21.06807352504201 14.844992518462286 11.876005892807704 10.878821680924904 11.382098584777014 14.889242257344838 22.042458583980213 30.196969290117817 35.70013119136389 37.62692241783189 36.60047104482277 30.63757318353419 20.881190253458836 14.769655027680322 11.875973490747226 10.927206057732976 11.491768758806625 15.226722543033915 22.40715710675261 30.532832172954723 35.83102741517799 37.60889337134786 36.517286855061826 30.45010701238388 20.879676807217365 14.78460115311851 11.855557492474677 10.874652615810128 11.423465215319993 15.070788302028731 22.28803177521063 30.510104152658513 35.836873286922476 37.606012288137066 36.49615261111536 30.418372569360777 20.88124661954321 14.817242853834989 11.885699509233898 10.857692837321848 11.357142247780049 14.968212154114918 22.33222211031564 30.68064092225224 35.89017602649387 37.609036480448296 36.45727688897159 30.283665053183007 20.73718570857426 14.754815559024541 11.856999384165926 10.840773561409165 11.328482625287675 14.927104065012832 22.277538401677127 30.638457489768058 35.86839374133785
5.993543184667728;40;12;15;11.37998705050256 11.522013382090693 14.837822212495778 22.26667856421484 31.069718789080078 37.28897567748053 40.16810531404458 38.77569966965882 31.491447132182437 21.421286529939515 15.010356434109358 12.450819795764932 11.323094432647432 11.496591265474365 14.800285775518415 22.046653385106566 30.737692175195125 37.20127275036883 40.201694099987094 38.82372762380164 31.379587793941813 21.17437371602123 14.949672100135432 12.441763419861463 11.351459736423802 11.614374105396038 15.073481048262998 22.511254210760452 31.180832879929717 37.36410660512695 40.25242627609394 38.713706427450184 31.303397723943533 21.197286529318596 14.935982229583676 12.423063380708369 11.335315409790873 11.594610198590598 14.959161853597788 22.242941692264807 30.867290291461345 37.193679867530264 40.21455096756741 39.06391869777815 31.700656435999022 21.17345633268396 14.79280562484859 12.357185266457066 11.316709876647506 11.73788670967882 15.266000590761948 22.449900740485518 30.882889858452494 37.231543025284104 40.305791119614575 38.95411081499151 31.38201862352055 21.002677560201043 14.803724444186592 12.378434942743985 11.341243636772408 11.713720172905997 15.149422027421355 22.356172886493045 30.84114115361305 37.24998654812509 40.41262071300899 38.88741117349851 31.028131419500095 20.62899235970735 14.643366646883297 12.329748821747717 11.348974228368006 11.76984999225405 15.16041577652421 22.248554505438882 30.82921247005683 37.32737076906055 40.37986357995206 38.79715658412421 31.14420505073158 20.93826158892879 14.797700361109477 12.377346098503354 11.342906942543587 11.699706281749465 15.121785094962803 22.361754647692496 30.96629343716458 37.34829439961391 40.32867372474098 38.757293949221726 31.178796950463045 20.99639341683645 14.88480655027405 12.423690495587195 11.379707582730942 11.741675050582986 15.266988853606513 22.671995263685332 31.224754547949935 37.431305778385635 40.35510300540382 38.689210469729176 30.965881660979345 20.778659164660375 14.802805710763469 12.400342110841429 11.4030100645577 11.87225940456499 15.554195317335921 23.03935484786463 31.55876376291036 37.60933889967942 40.35196945613847 38.533486167074166 30.73078851118463 20.777713260759455 14.820391254044722 12.39770944342763 11.373683499653827 11.77066004376599 15.394748827983559 22.901682374392433 31.518920029209823 37.6171882988301 40.34780984162467 38.478552523792075 30.63194130039744 20.7861222704963 14.87855025243018 12.427417407585038 11.375014684305114 11.683308138976129 15.276732423209276 22.913565323790372 31.654305288485915 37.68514622033831 40.36501263556653 38.3859703864068 30.397833038232655 20.615153473429544 14.820312949065233 12.406857625169119 11.364612272805973 11.646569602738023 15.19014736718405 22.818697828577044 31.598410384076324 37.6534624055347
6.09482102223581;55;12;15;13.085277791546174 13.751354798010071 15.629270216419432 21.977942959495916 30.905578051216033 37.75152454139824 41.5750176309233 37.11955205367279 30.817920351980412 22.30143745269028 14.97519817336246 11.889259685628867 12.92243718635879 13.619489212553352 15.57942572176109 21.793277878969597 30.508673061654093 37.57287713104123 41.63702842424803 37.29666711658638 30.68929024727096 22.068153755460358 15.090822226004816 12.206365825706843 13.126706526038403 13.808345297089561 15.856528818007853 22.250084237090956 31.018474930434863 37.867586021857036 41.71391716367535 37.04405390267429 30.67303723872685 22.008477935618792 14.88634429806088 12.028842361822651 13.038365008318126 13.74141546595859 15.721299493647809 21.997824576911682 30.677803716831676 37.63775280654651 41.69830342078274 37.668657621812805 30.984552673286597 21.657078180402547 14.2639479692924 11.96021344764539 13.072835400322804 13.841319118925933 16.00200259382221 22.20339624315747 30.67965198436475 37.67438198583051 41.83369678057395 37.52585634094492 30.736652609088136 21.49519681121388 14.36094218724603 12.035098659666522 13.109660342055516 13.829247326269273 15.899159803952381 22.13016438002435 30.63756508301907 37.70463875988725 41.97768208673512 37.318344095045845 30.347983143230902 20.942107477242445 13.982695384175734 12.072454185139554 13.158639431681936 13.834671296184627 15.835371622601878 22.050481469163035 30.615775372390857 37.79880859823592 41.93561341154846 37.14867610569868 30.452095013802765 21.395026516290525 14.373024780589516 12.102912797031358 13.135100684830864 13.817313242369643 15.866427647483736 22.15884577265111 30.761991020381565 37.85328861267133 41.858960937145454 37.145473702054815 30.48765087483344 21.733145055066714 14.953789861987785 12.388640241708554 13.308114861965265 13.964234985261589 16.034316898719275 22.443247601781163 31.11096931223968 38.04990836590654 41.8905947987725 36.988920446685924 30.297968537755054 21.54864941031498 14.978719197267683 12.587251371577278 13.474747858314375 14.121731950641887 16.289046372206304 22.81268610722352 31.501595052498246 38.308102834735884 41.85678324866419 36.67544536251021 30.16451457629201 21.603624568737057 14.989192488274119 12.487446949920146 13.364908248510183 14.003764148958322 16.13842876929114 22.668541153410207 31.42927297846947 38.29602901695044 41.83782804328484 36.58836482497685 30.07591654225962 21.726992376312083 15.250925532124777 12.536868867706426 13.345319852865662 13.9310451496887 16.038259824453636 22.682252456574883 31.572267996657295 38.369190169336996 41.82493472338649 36.39175722251432 29.871626951292207 21.530301743569577 15.13053500137759 12.481113697182643 13.281442565848845 13.84446279383518 15.897842795202555 22.562636537585988 31.486627325686406 38.31112027661785
6.294536031132783;70;12;15;12.597212980045338 13.631513077162223 16.497761544600603 23.305916305008633 31.930779244725066 39.83547521178323 41.13992411291689 37.07773854471239 30.331221827363045 22.287667505171356 15.4254214284831 12.40579645768848 12.399039277993062 13.467352088010378 16.26973001886121 22.908375593770554 31.525295809651702 39.76615775382082 41.268525190780494 37.202437874460166 30.282121230009835 22.0766536428512 15.477947868688883 12.634321439807229 12.672162996187424 13.752737960966707 16.676863933890147 23.522347218054147 32.15010136662527 40.08372899847524 41.24829145409814 37.00998313608217 30.171555274016605 22.060075601137918 15.376525369136655 12.487129679744639 12.556579446120663 13.640196154327274 16.44363795283045 23.14538198398003 31.777221154821568 39.90573907992876 41.33966931490232 37.36313454331262 30.405002669156236 21.96907475180824 15.107554515026827 12.42380930314228 12.640674943832531 13.833576376557657 16.696917434111107 23.267548721427875 31.797138971414277 40.03374882018865 41.458603778056805 37.247872313678926 30.15706615263974 21.809293441164275 15.185415316268479 12.516949025984937 12.695478978872714 13.809155348601498 16.59158576097085 23.202345481342455 31.78568079277791 40.095123723076505 41.507490386802274 37.1597603105537 29.939372909321456 21.476402603572524 14.974184933929608 12.512771860355043 12.743262567476098 13.803995320470452 16.45742637964949 23.017890339166314 31.81732950534934 40.2591821057035 41.49158097510781 37.1072284700045 30.054758671810717 21.833344883118112 15.236275750531373 12.554625871891039 12.701542214439572 13.778138476209383 16.524780137738375 23.208319104960804 31.986429783595227 40.263523981807495 41.4312496885845 37.11082509871751 30.12517239948595 21.94004216809891 15.483029591840442 12.779143799197401 12.899136054617886 13.995164777116171 16.872780292395824 23.714209775024766 32.376860436448 40.37719581030608 41.38398453294876 37.02226486708901 30.02377015122152 21.787938626941536 15.46298081691997 12.915394463505413 13.103616682733529 14.234042892600419 17.209522081123186 24.13159147453247 32.78272594581783 40.57810748646871 41.25573852766455 36.78690980063877 29.85138173888009 21.773938405404266 15.453240622531839 12.82047262733649 12.951480908276409 14.052591353926253 17.003868903444012 23.983388036073798 32.73807590647979 40.578006230029715 41.24964018986551 36.77088158138922 29.83549257847342 21.806719840006554 15.56082086366065 12.863708451743268 12.912038150074283 13.937165088861393 16.92903769485701 24.075918701435917 32.93078986134161 40.63158978745858 41.179528881421405 36.651740555099195 29.690633766765213 21.628507326055022 15.437168525492059 12.778341848200583 12.811982612448451 13.790993993703843 16.73676184285457 23.90665320643374 32.81501459908369 40.55893761743869
6.353062976637932;85;12;15;11.702549562556369 12.629340298051735 15.889341979627691 22.990319771865483 32.96665894229023 41.16006469367538 42.79968185847446 37.7955994441628 29.033102128709338 20.884893201432785 15.291719726265987 12.251495820565703 11.442924002722602 12.44373859546474 15.746342911182307 22.764639589400222 32.75718704677519 41.299458357849716 43.12402648385452 37.99776129982551 28.943486129943608 20.690288451333522 15.291790605773281 12.416580268441157 11.669485960010755 12.677168439488275 16.000366289768092 23.215453422701284 33.40975779436337 41.59489899519797 43.11916077443948 37.780073456850644 28.87235618172324 20.680450038199567 15.206015601259994 12.263237517231248 11.557222271057089 12.58681394376083 15.840057095555515 22.9348962161794 33.083117347989884 41.452730904595256 43.24522909124243 38.38344572586126 29.31137912460548 20.63133458990197 14.939700366023471 12.070631569237692 11.523405320605374 12.706604361346258 16.009145223028725 23.01290586438637 33.16767390002063 41.691704201132154 43.56747838337829 38.2621405119485 29.018655535036846 20.5030615829007 14.991139987117403 12.171094157748273 11.595922482039938 12.656467573100695 15.860061992685756 22.93951452236184 33.227761496047435 41.80529232430784 43.75977921196902 38.26129400811853 28.79376093377743 20.2164704207989 14.777879075655276 12.132111778822098 11.632255992522074 12.652561774727298 15.745532184627441 22.79204447585275 33.391491807812095 42.10749554169493 43.732523678764 38.146524559821266 28.903169866194443 20.483343241492804 14.985173957731979 12.18551577483248 11.583281628196142 12.598077710034332 15.814381162798778 23.019656799934715 33.579487887659795 42.03550626382898 43.576001475369736 38.041541883874075 28.84291350943599 20.539866273345613 15.19806089541276 12.441633811619553 11.804235328849975 12.814504572822285 16.085784871616127 23.34864065782795 33.7839853918486 42.030018164835596 43.486629842143444 37.91000301919384 28.674708338110793 20.396283967811634 15.15923715157434 12.541862835277525 11.987085556468088 13.03452266397983 16.372068551664853 23.652789602070648 34.11959850880267 42.192636005857196 43.261070998644236 37.559771847663924 28.458294976181374 20.398343523780735 15.177572667547063 12.487957957415595 11.858940807622872 12.894034080178528 16.244502989650673 23.616957479722252 34.17260760470098 42.23088528816507 43.28532664108337 37.515111007639064 28.375202592258454 20.405159094689306 15.27317157177138 12.569852815186698 11.843410770053163 12.785566832644145 16.193563575365364 23.73914016505924 34.399658293068 42.284262282458386 43.222196626586324 37.38466706258579 28.189739273471417 20.253784768653407 15.18158174748823 12.515120334696737 11.781429678617208 12.687909722536578 16.08792813290813 23.65695546073152 34.29564430372049 42.194117050038194
5.962755789090283;100;12;15;12.45503611388457 12.968955744517697 14.672075547509316 21.617227021229816 31.191064505568427 39.12765355073745 41.93364498637445 36.83964685423765 30.339701716607188 22.21407365026884 15.114529058544615 11.304510500877715 12.366435379680473 12.93546821501417 14.569128801028791 21.281251743745628 30.741118018047697 39.003696768208954 42.11817067053643 36.96027162488038 30.241066469298953 22.075855067069014 15.217768098612364 11.598872419629247 12.424076620141218 12.95885170199212 14.697492263782232 21.731312988563882 31.308983704161275 39.366067911731115 42.1191211309771 36.80634293641016 30.127944800785556 21.97417368855443 15.03828498511221 11.397960743466617 12.399002150632096 12.961734135288767 14.614393129430047 21.433235296022797 30.93199113084863 39.093493678479014 42.225896720937385 37.30536166948119 30.456038614580052 21.847344598373184 14.73982825596783 11.290479058605092 12.366236917060048 12.991793796810942 14.672851846874924 21.405534065725487 30.812698894943047 39.17194446723853 42.41554733099822 37.22552569263626 30.172225591642736 21.694968339873455 14.784829317627706 11.363833273268659 12.400857168594436 12.969195384756645 14.573109529167041 21.339985878704564 30.82411522091796 39.26507473948021 42.533848603887535 37.21310355270069 29.837955135069713 21.25535810964506 14.464897447858919 11.329285926370346 12.44398971143344 12.997001077946852 14.536557979819607 21.206928504960906 30.834483205227844 39.487628291870124 42.50483120864405 37.06556887083137 29.944671996295384 21.599404537881323 14.748036777955472 11.37286939788433 12.39477368173978 12.940046356142474 14.549462100404783 21.42042601896881 31.060347843172806 39.512627831614395 42.398155525036906 36.94708398626602 29.99946455560581 21.837253719184677 15.135414211651163 11.705182229970168 12.451162042528727 12.978292263235712 14.718469897769726 21.840529196225347 31.417274090448885 39.669826428021125 42.361353534763694 36.85675244199808 29.852727099432833 21.711853019836152 15.14692031833532 11.903293828073197 12.513681818220121 13.050769597137606 14.932490907567221 22.232715720110612 31.794080351913784 39.95880555447583 42.21479496496627 36.63348604427766 29.6746217485459 21.68974789540048 15.121210633432254 11.8101379042003 12.47377935578497 13.004303692326975 14.850281479792315 22.15428104800097 31.799916773057298 39.98666187588553 42.19599366937419 36.55327474356554 29.5990068151211 21.719763510371692 15.230665468768274 11.861883994782914 12.468523471558344 12.950815315950766 14.822517639263559 22.28168147763923 32.044387619188555 40.1049037449973 42.10790866796602 36.44337370485502 29.381024653430224 21.487984483825194 15.044499430294628 11.760688309654029 12.476528805625072 12.945622210716316 14.801807997317932 22.21394404202693 31.972832393924413 40.02567395670048
5.9095681060256;10;48;15;12.479289056152002 13.335103078171342 15.387213323793754 19.767730572509496 27.518191381608766 37.12481603841454 38.770307426761015 37.391534949321176 30.633786867758808 21.33372688068899 13.327878768770706 11.73459250019694 12.442580221802668 13.350656067200555 15.435639553263275 19.618739148004547 26.93479599544694 37.12458787390534 38.7665784896344 37.468082117027635 30.428727727855055 21.005503458652587 13.2530880627593 11.877923014719292 12.49413730036583 13.429382273474127 15.534136416771553 19.820161156619697 27.29735075064514 37.320802601384585 38.77678243851311 37.359470410306955 30.457554085950303 20.964132777852047 13.061124755631882 11.787648174057187 12.479097343960843 13.42247118399144 15.498911326774916 19.631604791142905 26.808152542070516 37.01358516513859 38.76209350442996 37.774022372056464 31.113915874614353 20.626668018150284 12.138887859719462 11.714269657848261 12.499451238284145 13.53950067600701 15.663373385072031 19.69836248632759 26.51170946597623 37.144085813797695 38.77130108994899 37.67561731438621 30.795163979881288 20.44643020665817 12.250419802140678 11.744039050911992 12.509965706909103 13.512069631641076 15.606911444604084 19.603702566814192 26.383130327007738 37.21957721436692 38.784660189466706 37.47346220915276 30.34690442463417 19.89682510675246 11.846195997168376 11.776025284946726 12.549520522237048 13.55656036084843 15.611682648009399 19.43018615774239 26.25105176550767 37.50414831051083 38.77279698507437 37.44020824450184 30.34421640370039 20.291383647101483 12.232088336425516 11.785856610129951 12.520914903178802 13.517275562691133 15.60279773300929 19.52512216981277 26.517572213793883 37.443173033035535 38.76976469224802 37.456868303930705 30.181755172637764 20.523607864458086 12.804657046608822 11.946804394951107 12.549100645536694 13.529119865881523 15.622503586123042 19.704878675698208 26.806843633835808 37.49544970735847 38.77996054061161 37.3422905678246 29.845720828897495 20.23795399945989 12.697643841538369 12.065857665660669 12.601598733939557 13.61107142725846 15.731292154090493 19.93188076097451 27.278697964496907 37.80383766803921 38.78693913438696 37.148631552865524 29.644992089367978 20.322199356701468 12.82043279980382 12.021388537826967 12.565528490198801 13.560879285492915 15.67153060379725 19.84312949219778 27.297990016296644 37.81922729668018 38.78578211081074 37.066312768136505 29.447216662642404 20.46023753467916 13.221329993233763 12.062525653774896 12.550070007179313 13.493246734675337 15.599129549746063 19.83926824665754 27.606108297328202 37.88199143791101 38.79215181586628 36.88770721044095 29.197328597025063 20.308093659706916 13.223014900378594 12.048247145791132 12.545767283565068 13.463123619118061 15.55050620774197 19.807593882454903 27.645467687728893 37.85622774957381
5.698210820974077;25;48;15;10.732309014046487 11.448156935489724 14.246203790923392 20.973445332546166 30.10795880485726 36.14609695074637 38.383302616760815 36.981845996815 30.88006615389046 21.276709379892434 14.484360960562014 11.482862242432864 10.66835814735067 11.433474751835844 14.2517863959265 20.83588508496052 29.857924929967773 36.10796107565017 38.42438032893121 37.006984595402145 30.79061891585639 21.03852925879431 14.470459126531301 11.50119100797632 10.727716021973798 11.519259206950103 14.427086943453347 21.153770562097275 30.187460635453515 36.20596920807958 38.44286435434778 36.92563787248746 30.68636461122701 20.964380856127576 14.418314085579055 11.446528731950728 10.705044030240499 11.512188807336734 14.366227773361427 20.942317753114086 29.928500667945393 36.09319383658753 38.43321799092645 37.15593146707394 31.0550696825296 20.95198065508712 14.365801146231806 11.378703118856139 10.722234673409682 11.610472357280202 14.611177224927651 21.07723588268496 29.875035918071614 36.116120994547096 38.504486322946775 37.08935738356529 30.822521444568224 20.77832889990853 14.350393291431814 11.398992209058486 10.742962541514329 11.592819984749214 14.51370440153905 20.98751964004463 29.83919991422639 36.134488912580295 38.58207980718949 37.01769617656168 30.471308760623014 20.384281367054953 14.197276004559395 11.386892739641835 10.79907886000385 11.648072248292669 14.517581173066601 20.844165836541308 29.856668000038415 36.20798488625845 38.55138020497288 36.97761617783682 30.531806107706267 20.603588300489307 14.294943240310863 11.391582937895956 10.751848806600291 11.596423363891486 14.48490031986038 20.935329708737765 29.96818576655817 36.2076514150527 38.51123675221293 36.95337808651378 30.516993640767552 20.64878782476961 14.352047821644948 11.457153907615652 10.788866810610015 11.621699671235666 14.567545150322951 21.140519131926354 30.12234464466636 36.2437581111115 38.518721628183236 36.895279841991716 30.28726978241113 20.370613772919775 14.22522345676419 11.458551246473744 10.85288383151264 11.71620028061838 14.837953170823543 21.46224256562238 30.4361552251766 36.36956856151647 38.48404737321472 36.78628741106043 30.082119511712285 20.31858416430798 14.215273324025883 11.430511313388003 10.798700835964945 11.660058310497648 14.699900141901468 21.37453356312434 30.453638161933007 36.386639047044724 38.47756966129092 36.735294668383915 29.98123299624379 20.341823192099636 14.2717015123475 11.470950434949813 10.781908468122467 11.594885616104657 14.550280927474768 21.37047520504953 30.604920007087962 36.43527048956393 38.467264455973215 36.65729885855694 29.766316204482678 20.183211730847496 14.230116167896298 11.473273932703222 10.783963298791083 11.57619637763839 14.4858494302152 21.342652973307622 30.614089790203103 36.425988649322974
5.805349007295353;40;48;15;11.220251642777606 11.364286902115344 14.332225186104893 20.764086337960606 29.797772529820016 36.85722092178915 39.95595822341137 38.46699173863086 31.176663139772018 20.784985666968613 14.57797996388257 12.230112485779314 11.17240460013912 11.349873385546257 14.347776825048253 20.682252065292168 29.591191168116747 36.81430169251496 39.995353728608634 38.50578780570929 31.117526679228817 20.60820812551833 14.542629315901586 12.217302196160936 11.189830158246766 11.445579621595908 14.560478125924217 21.030196697668902 29.944028005343394 36.95525605593562 40.03818250213066 38.41379430575603 30.99627681883605 20.52417557555937 14.502816634175673 12.190118217506143 11.176071433316494 11.438394464685015 14.484439265541502 20.8319615667103 29.687903218127055 36.79452158467928 40.006200318353486 38.75485029382738 31.37655280094375 20.52303272788461 14.432852485089567 12.141465173613279 11.150001275490615 11.561475041494765 14.76230246012363 21.056506326972997 29.725940536955967 36.85476106536456 40.09944669797855 38.66900103459217 31.12305933105536 20.35234576123971 14.416860718158054 12.14363071132186 11.166261709506923 11.540138284670311 14.678325094923919 20.98141438305559 29.683555941679654 36.87666215807567 40.202136928146956 38.59876956850712 30.72865875075116 19.975295809278308 14.30464428220925 12.10764889820449 11.179041622193601 11.608512032621311 14.71150277972413 20.920254481339864 29.722546421120946 36.98437740778981 40.16534708864643 38.53339976157956 30.842345430194133 20.20505274473813 14.38057041042322 12.132562707497078 11.165227543743347 11.53996277350939 14.663663162557837 20.95859725709307 29.79958096982042 36.97280987219933 40.112418322856385 38.479143861395784 30.87558184372896 20.28786667345382 14.439891157685384 12.168287329259407 11.187765876977176 11.562775174171426 14.733671864477099 21.12206700228806 29.93738828311721 37.018861300653015 40.13656325825556 38.40508625200269 30.616055515205403 20.02675298148833 14.366630773988616 12.140146139734673 11.19503473921097 11.66827628308626 14.969835632353428 21.425869396368306 30.248645176236064 37.19611542240949 40.13109271037827 38.240999517572774 30.358687973961167 19.956003082435643 14.350671409117579 12.128153327100426 11.169510016069795 11.598669906751262 14.84589100059761 21.32662796051197 30.239453116704343 37.211812870624996 40.12727331749948 38.16428223904881 30.255392230287583 19.9921570314993 14.395987715824186 12.159502320612436 11.176427855981748 11.518881182911198 14.721409034672208 21.30088114824794 30.356920036536362 37.27188764083619 40.141138699212156 38.05237902301795 29.991062296298235 19.82695681376193 14.36282488196836 12.154472575766226 11.182771909406076 11.496954438568883 14.653308679106486 21.24527819990411 30.34076963451709 37.25027411641182
