rmse;hl;T;RS;preds
6.6353360944029935;10;12;15;10.559547978009565 12.047150876078309 13.788754201273335 16.714134403954425 25.53398066628141 37.10435548730883 44.085600831272515 38.91581968002219 30.291947154849648 20.753820116371912 14.543323935073072 10.869238771538674 10.523817955903823 12.065790161368009 13.87381163515563 16.446122110800395 24.697173827946774 36.90387853879094 44.99967645820216 39.684812380991985 30.183643267703506 20.103783479930243 14.370282756221604 10.837203934413223 10.594675861824767 12.053096654175937 13.727769473197064 16.307080819033754 24.915747327241363 37.264896896288164 45.1738861363596 39.38598977858138 30.226472041225534 20.247506869435885 14.36380976959829 10.795073155277315 10.683545263113658 12.184397228703078 13.760458426918404 16.00379078253481 24.285213693514 36.62098154910504 45.21118630831265 41.40492166436066 32.08671348573026 20.348289428293683 14.22501419345694 10.67168880915059 10.748230576513633 12.343854518742269 13.818306905557622 15.595248052918025 23.40983996517452 36.539563271640134 46.49885499237651 42.13903894756981 32.64271664249442 20.234272652859595 14.330613183596135 10.779706478095846 10.776533776340756 12.139389416613938 13.619333277637304 15.377939584067914 23.355931712097956 36.89022107029966 47.81809138386059 42.75991102940999 31.848751403497424 19.640867392660457 14.126341818787743 10.902676347865631 10.964530531231382 12.191508130892043 13.322931379161542 14.69417780301255 22.92689670435791 37.855421748319436 48.4269369009202 41.6819889833323 30.814240017944506 19.749190181008544 14.121432231582471 10.821472734051383 10.777351928367812 12.13333968190561 13.531435263119812 15.123598260263691 23.5508365187781 37.64811876572762 47.24879528178552 40.54564872238534 29.9179828241058 19.387645290028562 14.078531903510221 10.840760060550632 10.762565788103235 12.15797604855536 13.547435130566447 15.414736849040635 23.82554152502806 37.63673754198488 47.163251141953126 40.32646228411339 29.29121896760212 18.915882765205485 13.899220925956353 10.913178665717911 10.947638257035763 12.241638168708342 13.595450933936585 15.46639315891401 24.133188626096842 38.257660927087485 46.9906750676781 39.48723271671513 28.976646263627728 19.04589603287157 13.938758190168205 10.865619191366164 10.758375121614806 12.187521327367454 13.52743090847913 15.499040935016826 24.404732068799998 38.55090497475254 47.007356728480616 38.95056008919751 28.05859058360276 18.99666987753401 13.991720033061654 10.952412160612786 10.636909247485521 11.970044772828615 13.345730954007971 15.664214488558594 25.091731018209945 39.023869751027924 46.90795530745068 38.68111535495321 27.227890858625216 18.970164992063392 13.992928359900295 11.066614572851693 10.744625847285509 11.955512448704443 13.281491843982488 15.712854031592926 25.258243856918117 39.00982885815433
5.806343103601327;25;12;15;8.61758988706637 10.368394722394086 13.824216906380137 19.366879619520027 27.61869616030226 36.586875680280734 41.64523154589226 37.56481036806818 29.752548703994357 21.278707338194486 14.020526139869103 9.544094404360852 8.450028031650238 10.425997485408015 14.0468123114315 19.408156469353766 27.27941350999912 36.456298076728 41.83458378697952 37.70618595827505 29.509064770621816 20.812033793234427 13.677262761427714 9.414928990610592 8.492350522977304 10.470399108949056 14.040677521314421 19.439080185822007 27.488688292979585 36.65057813117956 41.94721874954283 37.55059666420537 29.607228162924343 20.945579560535492 13.726322856205327 9.373502956290071 8.520264898078695 10.604549039669442 14.092860364670555 19.266530438221118 27.071545178956256 36.18350782973938 41.77954348691503 38.30822164229097 30.332195239263225 20.960446030908336 13.245461427774401 8.941885909355724 8.380965739914089 10.890065195910607 14.57714223561064 19.52777711364315 26.837141247989617 36.033534892819134 41.99935366485118 38.17935594760012 30.154585369884426 20.805637255222553 13.262938964187397 9.02929046749386 8.477764195419002 10.798834494464415 14.335244653115643 19.295815487985 26.7249258246052 36.20069982299442 42.64984122996782 38.3896912230183 30.006611910112817 20.450978645897703 12.952881622349135 9.040112755693356 8.716005745423452 11.021547356985009 14.268987839782508 18.869596759334797 26.44172540312379 36.424425249904935 42.6884050822795 38.33537456897113 30.058356650609575 20.662322435448242 13.158110873070395 9.02505659825813 8.533700952490044 10.77940675903643 14.18173921656042 19.038288974131547 26.7997506202844 36.56102693653479 42.44919147046072 37.99543645198625 29.549696954460636 20.440522568485896 13.22450337003178 9.17836154706415 8.58054083108202 10.687009583413047 14.045363669310984 19.030648500766652 26.901293277477563 36.60425398538352 42.49034748761059 37.89812766402882 29.220114671012958 20.063241414322125 13.003447737896026 9.221539992822164 8.72262116610428 10.865436929775978 14.209966811579761 19.160613502863484 27.078117396889784 36.81787266959675 42.33986151806612 37.567062311271364 29.028548964169318 20.16315958071239 13.150231096988016 9.263924588098478 8.637252537432817 10.710696839707975 14.029590616287692 19.072032344904258 27.226333534593515 37.06594824495613 42.491959490119356 37.44116950562934 28.69046451506092 20.062072239973226 13.300046073863435 9.441436576252919 8.6124622609958 10.416384874133014 13.7023743582978 19.000523697602056 27.60101611101128 37.45523199987659 42.716605675581775 37.299834417998056 28.37562584417344 19.89383837932365 13.347742581929284 9.591379811284392 8.736902374259753 10.432323987716252 13.655575657324349 18.984262588542823 27.63065387070432 37.434135558334006
5.671245054330726;40;12;15;11.778568846694213 12.431153095140926 14.58657731059594 20.35530886216609 29.288490444092737 36.34460007374683 39.12548801302887 35.47515828512499 30.14952929836408 21.188852205472003 13.86107965051674 11.187244743837828 11.472264068485005 12.266011943659636 14.531462755809516 20.21439398875663 29.04464063745397 36.37485009737431 39.32615802382377 35.48213552881448 29.863284770805095 20.716828776557787 13.854895582266018 11.501860650559523 11.78827596397894 12.411259580093576 14.719825383966368 20.558937248586883 29.346488782261666 36.48218462287784 39.16318511022277 35.29494747534994 29.987255054192126 20.845426816728228 13.765092596609618 11.283326303754677 11.707226259951959 12.400167274723435 14.568326174989046 20.263765953366338 29.048503233080062 36.189126887060524 39.19012472333813 36.08974841749009 30.535665328117727 20.674813092240868 13.120100555958546 10.916406720992985 11.721038988316359 12.55670567914794 14.92019027535844 20.548716423635 29.049161737454977 36.301857705719414 39.364797480943224 35.89288969905886 30.344873220467985 20.577928906284274 13.30586021859037 11.152323423158172 11.850937498684923 12.507188580309009 14.77381801740876 20.429370184295287 28.98563243506683 36.36225784662123 39.745834911472144 36.00802232045064 30.047757801618793 20.044815105075774 13.106316179397064 11.359715511416306 12.077838327522237 12.54100823093243 14.622373486908492 20.194153501645 29.013184987159555 36.61747132588664 39.469975919339134 35.65942610288899 30.076172383528807 20.48144164556853 13.358061288105525 11.308801073719282 11.895351272998642 12.424440468278664 14.608458827062172 20.272194539348057 29.120337251072893 36.542823728975684 39.271672609044955 35.33296184271935 29.737356862930884 20.392028159680788 13.692754321550607 11.663943857583245 12.103331998688786 12.567194496141687 14.747408988033719 20.46337175898743 29.18196664514408 36.51096440301115 39.28178205191394 35.27734370590967 29.43464196300542 19.981197709585704 13.622869827529842 11.900890675254447 12.390580315079646 12.753418588307023 14.989737247915897 20.760324830012774 29.450759962964206 36.76881730011962 39.0123238168111 35.03682861132838 29.33840986851593 20.128805971134014 13.707242092841621 11.794410754096019 12.17786753847393 12.579091452680354 14.773048468472417 20.606593929120063 29.476236083014665 36.83721669970184 39.045631784896145 34.83320596277247 29.02324987719539 20.14911936288172 14.010588832946402 11.97853546275958 12.11613081257741 12.393916377222977 14.602304460700221 20.58706628733894 29.647370265598443 36.95302436402024 39.08347064110463 34.76897562830503 28.7525704894383 19.958317467109545 14.059255377697797 12.060346615207783 12.112150759482088 12.318574836183455 14.47715825253503 20.507986021050357 29.651644637409774 36.927838512428224
5.817983178671424;55;12;15;11.101249675330466 11.922721563501183 13.224097669232885 18.156484111830203 27.61606045519529 37.50663651873833 42.14800486772111 37.17592083821687 30.57396051334461 21.724230269417106 14.30506685908131 10.01534862186019 10.9218043642342 11.988675957603194 13.503603243255467 18.32463831741444 27.43976658200193 37.44960889229788 42.37905316029955 37.3639202932792 30.394098025719693 21.274642060929676 14.096573100766939 10.109924836050686 10.963441011947825 11.977263681885837 13.414219459256495 18.379989474746644 27.69987209735652 37.70763865065313 42.44636439068405 37.204722219723834 30.401030041533105 21.37721533991105 14.073278719455303 9.985068896343938 10.96412820564712 12.109006409529913 13.532941958932017 18.285034898995782 27.351614413822567 37.22507341387543 42.39498147319596 38.02156601358968 31.110525133993967 21.389135754191418 13.74823609968911 9.602372210301395 10.854416178956058 12.317678379176911 13.94131997807471 18.564937398259215 27.276263084660606 37.2322099676956 42.632893602252224 37.904170648307876 30.82054964417958 21.2159556852578 13.758881526641831 9.738572921432837 10.95726166899759 12.26252332181489 13.759711829441569 18.407877523173898 27.19446880828557 37.35460470089191 43.18730905805299 38.20094382039328 30.68350107913231 20.80137165896927 13.467950851086286 9.831276566544902 11.12548776665351 12.419601760580687 13.763974725523143 18.186893445588368 26.999394565830844 37.65880469525593 43.230884429051855 37.96822682170025 30.68882176747989 21.078237140105863 13.675837070766702 9.778962089818078 10.959227393999894 12.217732873548117 13.671811789795298 18.288356110194727 27.268349218910434 37.705012733668596 42.97179485330182 37.57820186964637 30.336620820690115 20.909306297634554 13.784651965408294 10.021880337218118 11.020066312804015 12.12379119970864 13.460898677631937 18.166788304583523 27.24340199499298 37.704060923142066 42.99825653602514 37.47731670426373 30.09224178039688 20.550015206225808 13.614190125579423 10.133316423543755 11.132211194202599 12.229843143651594 13.567077529645095 18.310805000240777 27.447817818987666 38.0441043468235 42.835499636160655 37.18370948350415 29.88292176954033 20.64258063629865 13.718995940279846 10.142580712668622 11.027686197359648 12.09645466135243 13.440979510953376 18.245898947803802 27.551095336502232 38.23579898686613 42.92931035167237 37.06692705719972 29.665555922041456 20.57998761844972 13.82259072796992 10.316099146869206 11.00222222808187 11.850023490562284 13.1376759735959 18.13712590582366 27.81308050888598 38.59672958878289 43.02397297135747 37.04429691812788 29.47135282248353 20.36122122563885 13.765368689166603 10.452860143629739 11.083243580305933 11.865684486459758 13.144354848311831 18.19116849244262 27.864490765612608 38.568191474017304
5.62662947671798;70;12;15;10.167932624820583 11.24686318503063 13.822515798205067 19.59459083739074 28.413088363950344 36.977937498269895 40.403353723712414 37.16873703139183 29.393163950379545 21.032121413813414 13.529456712301902 10.257383913112216 9.831249564827838 11.121584668451822 13.855606402467744 19.559245589753168 28.25627757970495 37.037950164531836 40.61598144490938 37.248883527983 29.11404585099684 20.469391791806984 13.23153124194077 10.382657029347612 10.052029104406605 11.23484742093688 13.912372787295595 19.7400507748251 28.525829645774593 37.17156411116849 40.540935572671714 37.07244620816773 29.215246936469136 20.64167861018796 13.225438979528068 10.206199458244544 9.983383989199107 11.277847655362269 13.876999862898034 19.543261585815312 28.205907226606776 36.84226197053536 40.50896148940966 37.8632225443794 29.958500925690025 20.585394206009713 12.500189060202935 9.700715164022403 9.874106690152784 11.45629255284129 14.21605367364905 19.815243806420767 28.25055692842335 36.95576503830229 40.67125936008405 37.67700655272918 29.6509452929378 20.401299874277846 12.59272124441164 9.919209008251652 10.033484325126633 11.39815785600119 14.014573611342211 19.630816678526084 28.129802549538717 36.99337708008744 41.02746601160035 37.914482604054854 29.512803833392336 19.934659575181925 12.252252543686438 10.04355461550588 10.32733051108223 11.575578038317609 13.96939028809215 19.357225155583574 28.020686923273317 37.19736560190958 40.887302798489685 37.63320301722112 29.477652323074704 20.223360921472324 12.519735603186005 9.979972322247994 10.06139194979876 11.328293613268222 13.890321835054785 19.469196550950016 28.225155738137744 37.2141741707823 40.75108993658556 37.29645785327913 29.026770226057685 20.01473417970141 12.741340045221097 10.282286246675051 10.228535278600388 11.392807465764838 13.919748306311794 19.54678497237078 28.229805096294807 37.13753114698026 40.74611352013055 37.22379893282998 28.766217494764213 19.59013960433264 12.522744944552857 10.396407653762763 10.501513187522603 11.629361408452748 14.183947281973378 19.802224928538067 28.473672116528206 37.362020722483706 40.554323023992346 36.90263375963426 28.64024537157831 19.753708580837845 12.727729829734681 10.39037141991297 10.321382032812897 11.443680050800412 13.981547811200489 19.664580300586596 28.529279115129597 37.49878981975936 40.65488551885606 36.77527341066977 28.366888088531336 19.69725001558453 12.997512085442299 10.6043019739583 10.294580128454568 11.208127871815597 13.749684741809626 19.605654790957963 28.730600204827216 37.706473526561794 40.77213237469401 36.72270106754498 28.1880965565095 19.55241145516412 13.066826843233 10.721662237007912 10.39347256711784 11.222653445510502 13.712632310610644 19.586595291446447 28.727998926909507 37.665663131390346
5.63709997298485;85;12;15;10.454680059359895 11.602215232201845 12.963683659260832 18.692320361161745 29.582520241724374 37.93809020528444 41.31019289046874 35.896435024509444 27.809439664861284 18.061877858229472 11.008084300856595 8.664459467547115 10.310471989032942 11.655530122545914 12.889393160058049 18.359853956810102 28.921848303973885 37.71103951691742 41.61552290669192 35.974218870857456 27.17315669052794 17.615033192956542 10.904854036346892 8.762774069465207 10.315977639142416 11.405623830769553 12.659845487905477 18.389017161325732 29.32665399594893 38.097729756913814 41.56453016401541 35.768926166101096 27.451927142803438 17.799787716670636 10.762272819473083 8.45470607913168 10.264637924401622 11.50780642865715 12.67268210419799 18.163313858640233 28.88942531716563 37.777921420000595 41.61464400080147 36.427161873929435 28.13375425083112 18.01809457400921 10.524920976045912 7.983937892539506 10.246589976715638 11.514929481618793 12.509121228207908 17.785697545663396 28.26624425099496 37.65461807902506 41.98726634620721 36.30111245832843 27.75006592672938 18.13607587655131 10.84175372373861 8.03788597314874 10.183418109557135 11.250015635497924 12.232550740830247 17.65932208432884 28.353607969036034 37.87504119593858 42.33548183955824 36.50212539093005 27.860569441251897 17.791467812600104 10.39019590875205 7.966762100314709 10.28112382275542 11.12591844404069 11.994882302270494 17.307418156426774 28.243286716103704 38.26538206808211 42.350253128878435 36.17303386369002 28.208148031601674 18.759450342520456 10.472179872189466 7.653488178931127 10.021549566184076 11.025941886437273 12.134819376000753 17.685003417428987 28.748402774409378 38.2082666860612 42.05503660578181 35.89514704260546 27.345379379830884 17.68085865385957 10.43364842193827 8.097751480052683 10.149898177993132 11.068242776390688 12.291287575960888 17.996570830294086 29.06275035156774 38.26021123926424 41.96605379728125 35.82007146847903 27.23790579548448 17.22654126338901 10.132758838086371 8.307816738300213 10.30381336560481 11.080663566240409 12.373795372709358 18.122656698213127 29.322771824077964 38.548474820216725 41.73694422798805 35.57246167273901 27.400551988308997 17.621416398870615 10.302514583014002 8.276697259383253 10.204210781782736 11.06176506446689 12.432742821233104 18.23449747277327 29.557493700263045 38.64386378609087 41.782639233776486 35.484681790733674 26.913870339764795 17.168496347258145 10.296822621056782 8.505771726444268 10.138222635534394 10.908381810681384 12.442505292037813 18.522581154785815 30.016484412914565 38.880836255393284 41.73259020111138 35.49932347181196 26.75593189631049 16.639724422153634 10.048124656119063 8.697057290473364 10.212485457977186 10.937073835234235 12.490387436908483 18.632053878759393 30.095505612947065 38.887854001658376
5.807988601622241;100;12;15;9.899755621192455 11.430092786773502 14.584390171513707 19.662955472262233 27.667865274512522 36.77149587045243 41.37996937762125 38.486627387280244 28.27928338016546 19.26266851763795 12.839783580338171 9.508890915737869 9.672590175527908 11.367909182459561 14.636438681327446 19.612854123770315 27.391140877347592 36.65724485512281 41.58617609050025 38.66015932233936 27.975987268280175 18.83478277048047 12.594414927114519 9.473876439134338 9.752102131768059 11.428767002465628 14.658918960869585 19.680667248570764 27.625146870508992 36.84787022716968 41.5950137524955 38.405250962476785 28.02261585843612 18.978313772752028 12.586296860879044 9.373500256118364 9.708009677887407 11.464779192514696 14.670090921305066 19.544779082314342 27.297607604478717 36.454322901124726 41.557471915174716 39.192392867571556 28.94904747109453 19.198731489322128 12.250531859266497 8.983741270977573 9.562338114495553 11.52049048524825 14.86390789630897 19.593862803594387 27.12743400797951 36.40502991653743 41.751075576613815 39.02287203758239 28.550647261450138 19.099419173958502 12.251641629837852 9.03904483778345 9.603530583963467 11.472138510500656 14.700172184200893 19.42967683785426 27.06685228053043 36.485531485707995 42.22678237725711 39.540646163326485 28.735254625806228 18.79448135767569 11.955029117968985 8.99524130227539 9.749721930408814 11.58973773874629 14.655541046064803 19.14823085293912 26.897411780649527 36.726091133122445 42.31166362493555 39.27375849168819 28.809424292325147 19.013386978090175 12.081033980736832 8.989396780616755 9.634496153093158 11.490438924241193 14.68124263045275 19.389154686012475 27.189947033241637 36.76908326703271 42.05355556160082 38.82094644694398 28.121199802481932 18.63995390612957 12.182819653383579 9.230156240737479 9.778771727712773 11.538803049761466 14.685708714455236 19.449337125570462 27.251125498637847 36.78305260535609 42.07928144753412 38.77548905626571 27.930481949554117 18.272066311811113 11.995109116693836 9.266713865471253 9.931839061408622 11.688982549817256 14.8371937475311 19.613119415640476 27.47690474365259 37.08831241711489 41.988598880944345 38.32244479675475 27.71167252275668 18.34740920293649 12.108938905237252 9.30552208332236 9.865881967134905 11.615103151756783 14.75670837939077 19.603995872965807 27.57198960268829 37.229253279677025 42.05590606107129 38.26397392853719 27.404873613125186 18.182438162272707 12.204704545064443 9.465253440789756 9.88245562106916 11.503449701608774 14.596712405096142 19.598901323998643 27.826866910576243 37.50344356569544 42.13653723848377 38.28056783375925 27.25195445135173 17.96936525026564 12.1745949303657 9.564110777220845 9.973609367621718 11.534559729924762 14.573659689152231 19.629077767947123 27.87048210910778 37.49163571482309
6.967804694885205;10;48;15;11.75954343685049 11.814612088717904 12.826215217513205 16.32418505670833 25.021530604099524 37.80056776010268 45.432095456133325 39.86317222306225 29.847159345374113 20.965157155493184 12.379266595629575 11.873031653673037 11.749300335482031 11.940689856121827 13.026511254526762 16.154761432900592 24.254789846332912 37.780412328399805 46.54946971101411 40.6270886012239 29.526824474978135 20.11590995106396 11.97914165130768 12.104811692783926 11.737870508648582 11.862567138224648 12.835588863592184 16.00470681578623 24.49210456239912 38.16744954046048 46.77202326340402 40.50571723310435 29.77202909277062 20.417885003941855 12.027026496350057 12.007239638085112 11.79132715800724 11.973584697935785 12.865720754707507 15.661066763391787 23.796831949359117 37.562114246619274 46.8865267447882 42.58583365966617 31.176344519510653 20.207823795951885 11.111082350599542 12.166666551192604 11.900580155508203 12.42497375219069 13.239669559464044 15.640622413316319 23.249524020532675 37.74737977782882 48.41657634208251 43.10625125351089 30.584110458789194 19.83253233081431 11.252012412474851 12.236203398106163 11.946955604566668 12.284124695466575 12.949596863468226 15.347478947047328 23.099184535303277 38.13618695244308 49.916130200124044 44.008513629224765 30.432949446318105 19.316348606205317 10.985138241695092 12.425791229174822 12.14100614442318 12.413017391874481 12.661750459044384 14.503528804463253 22.781977813829236 39.41678118663601 50.34249271291762 42.95054585205783 30.111375197108863 19.715924740627873 11.213183943335945 12.296164761105684 11.93950853100025 12.164939116343396 12.698692858246329 14.891702788812351 23.23963936695825 39.019148500799176 49.103651233821694 41.76182766034894 29.430829320555894 19.44549106849607 11.397629972432576 12.327957932863407 11.878776268978532 12.011219691180436 12.60622682824443 15.029932678981199 23.39245963494296 38.906579692442676 49.08347825100273 41.6835334815484 29.0463255445988 18.87782384500292 11.173504920109503 12.438948490857477 11.990147551183215 12.11863184662052 12.630804466159564 15.076495789973261 23.745762251788967 39.61066566593257 48.88351973545248 40.87169580602634 28.8279444325383 19.211002757163605 11.349332001119112 12.388757699177784 11.84511052814238 11.936352030275396 12.511785622639259 15.033304518399643 23.96581139492114 39.880204906186606 48.78707770261282 40.2575714532806 28.43558990734467 19.269731491779126 11.690252980605147 12.3480681366902 11.713559512689462 11.572884617040414 12.236029237031095 15.12050723870272 24.57483377322752 40.22347233488556 48.54678672228317 39.769273751970076 28.214422893126027 19.25892135435231 11.834893078405132 12.372763907117491 11.742467550978832 11.512846299147258 12.144632475024958 15.150350211445451 24.727532533485437 40.14043395439677
5.876272840012531;25;48;15;8.892444415324574 10.996433059943216 14.70610783665462 20.279348644284326 27.864871489823216 35.99156477389977 40.96391477031709 38.329363986752554 29.567108336666823 20.64261843870254 13.472873939150091 9.572737825822987 8.767060592049214 11.055356206921605 14.86735196532056 20.24695738449362 27.53935296479376 35.8817055878507 41.15555675701144 38.48953817237981 29.359270720077124 20.05523574273393 13.000221032706806 9.406542257290326 8.846893868722432 11.18688562100087 14.900579603297341 20.35525384616757 27.775192037022386 36.10055450465935 41.28142796127982 38.3889203239961 29.355591061084144 20.191562011849726 13.09581251145893 9.387831417450405 8.876755067624183 11.295964457426766 14.925725627356684 20.16573014417694 27.38870903520446 35.60763545947322 41.088060564865046 39.131482394217215 30.20446496677495 20.346686201342973 12.641545074164938 8.996355123104305 8.802542198357962 11.630238964257348 15.366940434621645 20.363679731977584 27.18895235748927 35.55062268397715 41.37935238838632 39.128197635336306 29.903835274449797 20.072808460199578 12.613529442624554 9.083094088916798 8.90836597779172 11.554777265576888 15.138871781521287 20.147293371765226 27.084435461161437 35.6984017313859 41.97087360377728 39.388260622986515 29.616613284733077 19.632157988821266 12.287646394414727 9.059703851509582 9.129420934884546 11.751388918296978 15.034005212957469 19.726143540450977 26.864160178648852 35.9943175989545 41.990147429418 39.22547942157667 29.572755745790886 19.779039229137616 12.467973986616078 9.065038040715695 8.932055934258354 11.502005109745818 14.97103990893451 19.916238328757522 27.18380313004505 36.06372956292664 41.73372832348566 38.822152073610916 29.179851735654996 19.521101951663315 12.473504613313837 9.161179004410085 8.98044706149569 11.458055764965609 14.923129412260922 20.003141330001185 27.28805743467443 36.10693231023001 41.79661937278669 38.737014309620356 28.859475687640494 19.13803871731162 12.211939655151905 9.158554437511405 9.172643933475717 11.684612321910349 15.105817629576647 20.141526480043154 27.46945159469983 36.40607893324539 41.722567163737 38.44197329768465 28.64105474804732 19.215044914208175 12.395984708750127 9.20220136306049 9.055742699616204 11.503771022041844 14.918238051214669 20.059283300121916 27.595259344933105 36.6252032675681 41.82862450802337 38.27395376316427 28.35446864876747 19.111072102479195 12.516769464566458 9.356251559257492 9.022267320885357 11.212213231607473 14.627727927402404 20.027093203123343 27.936737909876527 37.00072424730072 42.03554811649043 38.13925839775918 28.107425214042884 18.975487030496826 12.5396682707231 9.479004065204908 9.13198879817739 11.21210387465336 14.56285292694005 20.007826127911894 27.972546236961755 36.966075643963414
5.634206136484617;40;48;15;11.573424651381707 12.099789373409909 14.35229488735609 20.424991855873262 29.540293606492888 37.698343309553636 39.86991050155573 35.69175930898801 29.129676469962615 20.81672635413879 13.869500135983339 10.916271712407662 11.342717930524136 12.026471611064379 14.391487879675369 20.3553584778212 29.31725469823874 37.7255340386377 40.11948602229805 35.75350683557136 28.812330689645687 20.278138292316903 13.70547348037389 11.125869840949974 11.594885616104657 12.093209054961264 14.462395738772882 20.608146190329812 29.61519839475889 37.82570770877569 39.95537633640863 35.57767975456174 28.867968065178776 20.422205278672195 13.68278798778206 10.969747262968264 11.572124518705046 12.163418919672658 14.41591025771738 20.36791225112746 29.304858209934377 37.522676888760564 40.022366246360065 36.3787329442882 29.57580018938992 20.116880662792433 12.853859575443952 10.561979482631234 11.54220661619746 12.26873371673975 14.656644741249819 20.500471105669813 29.191689963459048 37.58046191336468 40.32372025974547 36.309547794739416 29.233715435898404 19.926958010432173 13.0162046991232 10.766440534502005 11.671250522220928 12.217003827187373 14.49241692284824 20.37024688708916 29.144535514863268 37.68167244943795 40.75160161912393 36.456214371405096 28.909140620880354 19.435212527373967 12.756147111816402 10.926856385496988 11.93871873077611 12.290367492451912 14.341848598066719 20.041666029823112 29.083553486958703 37.97297777381777 40.49604791822351 36.069556533469175 28.815446687794946 19.814869832639424 13.086009538078626 10.889758726421924 11.751660285553477 12.179679353688964 14.382561112013809 20.251081221732314 29.295064012112118 37.93450167708655 40.210822030440795 35.69149874241833 28.490798293097896 19.797827698914098 13.421923049135028 11.21937543705886 11.92279581822311 12.26368574573452 14.47510207178056 20.43261579068645 29.38220665359473 37.8874822370761 40.18327622877733 35.59532267649176 28.19866131583249 19.452110876955924 13.320092823655125 11.437415652441423 12.223828511175453 12.446071543819121 14.685554129625041 20.657160382188415 29.60330008813437 38.112086569877064 39.9033737295139 35.33243530923659 28.066914537930852 19.645170453796165 13.512793277658407 11.409305514891312 12.058517248876656 12.326745555767205 14.552972323623182 20.610748818333377 29.707819009590985 38.24209578728559 39.879107286387935 35.10598135881669 27.795691403096374 19.690928913619704 13.813789518292712 11.586727047293586 11.990756439903022 12.126252406219079 14.388070137337914 20.66732619114178 29.982950980492028 38.43059477411362 39.84929604066275 34.98436967541526 27.582475044467405 19.581364046286645 13.86491254425406 11.682340127419362 12.031221213096044 12.091858969108033 14.304297985187896 20.62111241486424 29.996013736164958 38.409415977334
