rmse;hl;T;RS
0.0275928377229103;10;13;15
0.0273245017318322;25;13;15
0.0274408431587629;40;13;15
0.0256069262683749;55;13;15
0.0267337114684812;70;13;15
0.0258521927155009;85;13;15
0.0272610234656883;100;13;15
0.0329229403304521;10;26;15
0.0301416845884397;25;26;15
0.0309196479117395;40;26;15
0.0325811741077486;55;26;15
0.0292985628151738;70;26;15
0.0286285165486796;85;26;15
0.0279420057088244;100;26;15
0.03206721738635;10;39;15
0.03037569364155;25;39;15
0.0301570879741468;40;39;15
0.033205374853476;55;39;15
0.0316077801542923;70;39;15
0.0314283860650658;85;39;15
0.0331384023508492;100;39;15
0.0316084593506506;10;52;15
0.0287887829679439;25;52;15
0.0317098356861056;40;52;15
0.0325312573986986;55;52;15
0.0304139404373651;70;52;15
0.0316582607223483;85;52;15
0.0298023391553491;100;52;15
0.0346060432405105;10;65;15
0.0300576249930027;25;65;15
0.0300271236011956;40;65;15
0.0282343476846496;55;65;15
0.0301191951469935;70;65;15
0.0303003097561962;85;65;15
0.0304214441329058;100;65;15
0.032399016930961;10;78;15
0.0301813869480253;25;78;15
0.0305550968619996;40;78;15
0.0301910150559726;55;78;15
0.03518798673467;70;78;15
0.0280202216207242;85;78;15
0.0286306389421634;100;78;15
0.0298221673245185;10;91;15
0.037314930817977;25;91;15
0.0293109535915256;40;91;15
0.0341367725893959;55;91;15
0.0333577816613514;70;91;15
0.0321231548611416;85;91;15
0.034021517039584;100;91;15
0.0782159130144625;10;104;15
0.03806947319105;25;104;15
0.0351159459865537;40;104;15
0.0366996879046023;55;104;15
0.0307511562584073;70;104;15
0.0334684965105178;85;104;15
0.0333688377208077;100;104;15
0.0360916048709239;10;117;15
0.0913571144994686;25;117;15
0.0341057489814641;40;117;15
0.0390454349180123;55;117;15
0.0372783747705105;70;117;15
0.0347981117936963;85;117;15
0.0354253872813777;100;117;15
0.0394393863951727;10;130;15
0.0441243191495703;25;130;15
0.0408375098089428;40;130;15
0.0389498027076137;55;130;15
0.0372274477270811;70;130;15
0.0433398618271445;85;130;15
0.0429677836791377;100;130;15
0.04559127614800215;10;143;15
0.05020992119985685;25;143;15
0.04296866923750102;40;143;15
0.04339997840528475;55;143;15
0.04371836239181697;70;143;15
0.043730649132381;85;143;15
0.04613294963547576;100;143;15
