rmse;hl;T;RS
0.0280292014804946;10;13;15
0.0280379856352908;25;13;15
0.0289892258137769;40;13;15
0.0276806989065232;55;13;15
0.0273353026035173;70;13;15
0.0270857725629403;85;13;15
0.0285418576243918;100;13;15
0.0314831002562953;10;26;15
0.031356819344361;25;26;15
0.0315221374834475;40;26;15
0.0278776663006924;55;26;15
0.030756981264096;70;26;15
0.0310003293800484;85;26;15
0.0306409350447236;100;26;15
0.0350696171587658;10;39;15
0.0294572250002824;25;39;15
0.0335018369951761;40;39;15
0.0325646013295789;55;39;15
0.0311562605129852;70;39;15
0.0317215851699751;85;39;15
0.032120519598484;100;39;15
0.0373720948650413;10;52;15
0.0338570362055673;25;52;15
0.0300470953998806;40;52;15
0.0304152537322699;55;52;15
0.030247807191853;70;52;15
0.0297348493344885;85;52;15
0.031028147294534;100;52;15
0.0388585064305148;10;65;15
0.0347547898381131;25;65;15
0.0309155538583686;40;65;15
0.0306766533294408;55;65;15
0.0291912144545051;70;65;15
0.0316629187870275;85;65;15
0.0308625400232403;100;65;15
0.0380220034703605;10;78;15
0.0373813279587497;25;78;15
0.03055176293188;40;78;15
0.0276627562081417;55;78;15
0.0302643526484516;70;78;15
0.0310934717033736;85;78;15
0.0306363353366397;100;78;15
0.0363393867676056;10;91;15
0.0350274354616765;25;91;15
0.0302468615391138;40;91;15
0.0290674026270852;55;91;15
0.031585103436964;70;91;15
0.0302628359454615;85;91;15
0.0311293441570944;100;91;15
0.0361685197450879;10;104;15
0.0429322269092337;25;104;15
0.0450208585922978;40;104;15
0.0271166197326437;55;104;15
0.0309023174008872;70;104;15
0.0309688581726514;85;104;15
0.0319001658238147;100;104;15
0.0692712466070261;10;117;15
0.0447450728527604;25;117;15
0.030394351487614;40;117;15
0.0691652563175629;55;117;15
0.031007528750364;70;117;15
0.0310767351470451;85;117;15
0.0302634556077267;100;117;15
0.0767618881891392;10;130;15
0.1181981744639964;25;130;15
0.0317732511846956;40;130;15
0.0298118080796722;55;130;15
0.0314083819813792;70;130;15
0.0334806720841351;85;130;15
0.0303110285599615;100;130;15
0.052393364931423096;10;143;15
0.11852467454574679;25;143;15
0.04564761678401159;40;143;15
0.048723392068959114;55;143;15
0.04753289888275988;70;143;15
0.04753262656461444;85;143;15
0.04807739277920449;100;143;15
