rmse;hl;T;RS
0.0263504085135897;10;13;15
0.0283201306486208;25;13;15
0.0276301379248637;40;13;15
0.0276542535364689;55;13;15
0.0278196865714629;70;13;15
0.0285255912586995;85;13;15
0.0286712546024662;100;13;15
0.026801252359499;10;26;15
0.0345896885254766;25;26;15
0.0361629795704385;40;26;15
0.0354866104064944;55;26;15
0.0364407122648319;70;26;15
0.0311856630371492;85;26;15
0.0362510302819392;100;26;15
0.0273215849166439;10;39;15
0.0340080511375724;25;39;15
0.0353693119475354;40;39;15
0.0344796175966007;55;39;15
0.0336710133831116;70;39;15
0.0358403708028012;85;39;15
0.0339830833717221;100;39;15
0.027500858103269;10;52;15
0.0305558892958507;25;52;15
0.0315559735254005;40;52;15
0.0326466168761105;55;52;15
0.0315176218686173;70;52;15
0.0341298177963508;85;52;15
0.0339089261766522;100;52;15
0.03219342950522;10;65;15
0.0289893483240354;25;65;15
0.0311879395676433;40;65;15
0.0322556633325252;55;65;15
0.0341895167432102;70;65;15
0.0329550092348247;85;65;15
0.0397056180321841;100;65;15
0.0293779531649114;10;78;15
0.0334014831006436;25;78;15
0.0266795059695291;40;78;15
0.0373620243478799;55;78;15
0.0347276527969091;70;78;15
0.0374160645956373;85;78;15
0.0385031204657099;100;78;15
0.0340519826405311;10;91;15
0.0323020068850673;25;91;15
0.0355034930843778;40;91;15
0.0317824383479182;55;91;15
0.0357458981018673;70;91;15
0.038152354212291;85;91;15
0.037898685866904;100;91;15
0.0347696495620097;10;104;15
0.0489243070114826;25;104;15
0.0416604660112748;40;104;15
0.0330499955241606;55;104;15
0.0335062649888757;70;104;15
0.0344233362771349;85;104;15
0.0404170890861959;100;104;15
0.0353365100346009;10;117;15
0.0584365400841756;25;117;15
0.0568897219102999;40;117;15
0.0329937777921994;55;117;15
0.0554170176381946;70;117;15
0.0335352810971741;85;117;15
0.0315737261002473;100;117;15
0.0324738681377516;10;130;15
0.0670203106702983;25;130;15
0.0709055815594153;40;130;15
0.0351734382570657;55;130;15
0.0700598680256071;70;130;15
0.041324544022061;85;130;15
0.0337846257117908;100;130;15
0.03182169904372123;10;143;15
0.11654725916044086;25;143;15
0.045892050529473184;40;143;15
0.058435773741425015;55;143;15
0.04673221790562634;70;143;15
0.04272621383925044;85;143;15
0.04403231399943869;100;143;15
