rmse;hl;T;RS
0.0224542412862451;10;13;15
0.0200685231532123;25;13;15
0.0200977438677393;40;13;15
0.0183933810145631;55;13;15
0.019273725176418;70;13;15
0.0187971719122721;85;13;15
0.0185757850982079;100;13;15
0.0255840131361369;10;26;15
0.0219595782809695;25;26;15
0.022118802964513;40;26;15
0.0228849121140625;55;26;15
0.0218709917840659;70;26;15
0.0249925659191125;85;26;15
0.023240976879924;100;26;15
0.0250759274854798;10;39;15
0.0261813545850022;25;39;15
0.02477404209034;40;39;15
0.0296944166685852;55;39;15
0.0314196385973886;70;39;15
0.0287444202484862;85;39;15
0.0303707951101507;100;39;15
0.027854899794806;10;52;15
0.0251390299271711;25;52;15
0.0323354118982178;40;52;15
0.0336464481908892;55;52;15
0.0301393829725872;70;52;15
0.0325205303291643;85;52;15
0.0306733988333852;100;52;15
0.02663657041372;10;65;15
0.0263107961209516;25;65;15
0.0262830035750059;40;65;15
0.0266215472815779;55;65;15
0.0351663506205418;70;65;15
0.0256431792870472;85;65;15
0.0274059295968653;100;65;15
0.0304390525994535;10;78;15
0.0295216872532038;25;78;15
0.0296824019531176;40;78;15
0.0268813442275576;55;78;15
0.0365989659046715;70;78;15
0.0283789854096706;85;78;15
0.0271409502888766;100;78;15
0.0286359070574866;10;91;15
0.0406303120459945;25;91;15
0.028342368777482;40;91;15
0.0360438128706874;55;91;15
0.0363732373401587;70;91;15
0.0349992547560512;85;91;15
0.0356109218749826;100;91;15
0.0767657233934615;10;104;15
0.0418642738701727;25;104;15
0.0388687802579997;40;104;15
0.0407537769055359;55;104;15
0.0329301027888143;70;104;15
0.037828457181177;85;104;15
0.0376022041228539;100;104;15
0.0313582905121673;10;117;15
0.0906640162751422;25;117;15
0.0388372370981413;40;117;15
0.0882188355332229;55;117;15
0.0415163453862915;70;117;15
0.0407543504549219;85;117;15
0.0404912210399341;100;117;15
0.0365302431336596;10;130;15
0.1034050864153325;25;130;15
0.0459938658269677;40;130;15
0.0439796794423821;55;130;15
0.0417940598195906;70;130;15
0.0465621549746178;85;130;15
0.0470440165393709;100;130;15
0.08819862274294304;10;143;15
0.08742369417922852;25;143;15
0.048544819783299005;40;143;15
0.047983562736957905;55;143;15
0.04692488428194036;70;143;15
0.048330570728570915;85;143;15
0.049777256198179805;100;143;15
