rmse;hl;T;RS
0.0190612070946198;10;13;15
0.0191533838569726;25;13;15
0.0191693101499244;40;13;15
0.0184772041674007;55;13;15
0.0192678760148519;70;13;15
0.0179749547092519;85;13;15
0.0183553312758649;100;13;15
0.0234637554357733;10;26;15
0.0212461954010624;25;26;15
0.0210960469000159;40;26;15
0.0218693973287136;55;26;15
0.0217247405759281;70;26;15
0.025769926558686;85;26;15
0.0215658818526766;100;26;15
0.0259655318222541;10;39;15
0.021997809840823;25;39;15
0.0232335116061587;40;39;15
0.0213290678044582;55;39;15
0.0314662328410333;70;39;15
0.022288285574327;85;39;15
0.0220823227158296;100;39;15
0.025332119540554;10;52;15
0.0212798413640007;25;52;15
0.0218535957188494;40;52;15
0.0203084898427307;55;52;15
0.0255333712689903;70;52;15
0.0207141546885439;85;52;15
0.0252409107512095;100;52;15
0.0253756576122854;10;65;15
0.0192767480611455;25;65;15
0.0258509875444103;40;65;15
0.027988170144087;55;65;15
0.0241692193876459;70;65;15
0.0213854298618257;85;65;15
0.0230632438560819;100;65;15
0.0254903889492421;10;78;15
0.0248889938505483;25;78;15
0.0252407486084968;40;78;15
0.0224328428701129;55;78;15
0.0216960729787662;70;78;15
0.0217943772426255;85;78;15
0.0225868359702149;100;78;15
0.0257383621465217;10;91;15
0.0255760702651093;25;91;15
0.025071581863623;40;91;15
0.0283436285636392;55;91;15
0.0303126556627654;70;91;15
0.0219756539416369;85;91;15
0.0253303067707062;100;91;15
0.0259714770669975;10;104;15
0.0254753291959814;25;104;15
0.0258806088306413;40;104;15
0.0273146095855526;55;104;15
0.0307685317366188;70;104;15
0.0232605836324477;85;104;15
0.0248390441173574;100;104;15
0.0256818888703292;10;117;15
0.0257008888982525;25;117;15
0.024991014230555;40;117;15
0.0264150344566003;55;117;15
0.0280097408827341;70;117;15
0.0250640902381434;85;117;15
0.0280859751836005;100;117;15
0.0256559714826305;10;130;15
0.0261539336952249;25;130;15
0.0253256896111942;40;130;15
0.0289559675558548;55;130;15
0.0325782633120766;70;130;15
0.0288906724253133;85;130;15
0.0279937799202284;100;130;15
0.035431275481956646;10;143;15
0.028485565004707666;25;143;15
0.03006697620703355;40;143;15
0.03078013378736433;55;143;15
0.03514642134706468;70;143;15
0.03188360141630664;85;143;15
0.029478119856244534;100;143;15
