rmse;hl;T;RS
0.0202677535035202;10;13;15
0.0201377995780655;25;13;15
0.0217159098701675;40;13;15
0.0215924199445828;55;13;15
0.0203727196504973;70;13;15
0.0212980443671556;85;13;15
0.0202691347785502;100;13;15
0.0281806372681261;10;26;15
0.0260815830994519;25;26;15
0.0219487713992331;40;26;15
0.0220401295660789;55;26;15
0.0219217109021149;70;26;15
0.0225671725946761;85;26;15
0.0222119169102101;100;26;15
0.0282449347930782;10;39;15
0.0238663775472535;25;39;15
0.022531562839556;40;39;15
0.0229188725487543;55;39;15
0.0233474825097671;70;39;15
0.0233117379977679;85;39;15
0.0243699537641758;100;39;15
0.0305352499304612;10;52;15
0.0311364130608181;25;52;15
0.0230321201738884;40;52;15
0.0229882630358184;55;52;15
0.0229380388236112;70;52;15
0.025385158784962;85;52;15
0.0221290199276517;100;52;15
0.0287877506502419;10;65;15
0.0253013619723884;25;65;15
0.0215835047371596;40;65;15
0.0234040874993409;55;65;15
0.023339007627567;70;65;15
0.0222265863246428;85;65;15
0.0237726243707153;100;65;15
0.0289952100830897;10;78;15
0.0258689674158674;25;78;15
0.0252861296891748;40;78;15
0.0221098865050039;55;78;15
0.0206455285516584;70;78;15
0.0229942471949989;85;78;15
0.023469457848971;100;78;15
0.0274108185793506;10;91;15
0.0280339644060272;25;91;15
0.0287401595488238;40;91;15
0.0243102579152508;55;91;15
0.0226116128612701;70;91;15
0.0308101981743628;85;91;15
0.0250308700806203;100;91;15
0.0282670376737433;10;104;15
0.0324795714437302;25;104;15
0.0219513794939955;40;104;15
0.0274173607752164;55;104;15
0.0251617206046221;70;104;15
0.0267161638665053;85;104;15
0.023030648008185;100;104;15
0.0278455132340643;10;117;15
0.0251191278286244;25;117;15
0.0249394267654838;40;117;15
0.0222626787817202;55;117;15
0.0274831142024205;70;117;15
0.026839407371142;85;117;15
0.0342648178031238;100;117;15
0.0286844303629352;10;130;15
0.1172833432082185;25;130;15
0.0253370744376438;40;130;15
0.0228530399708746;55;130;15
0.0291366925203478;70;130;15
0.0278701533240582;85;130;15
0.0231897260114789;100;130;15
0.05515820514320644;10;143;15
0.1185905832546511;25;143;15
0.034718099125712415;40;143;15
0.03702255669128023;55;143;15
0.027485219925090277;70;143;15
0.02963365855015226;85;143;15
0.0326875232661807;100;143;15
