rmse;hl;T;RS
0.0195099547988905;10;13;15
0.0192754158648334;25;13;15
0.0192589964412273;40;13;15
0.019304209021391;55;13;15
0.0195795533734722;70;13;15
0.019416245965294;85;13;15
0.0199622753348287;100;13;15
0.0191001726646464;10;26;15
0.0244127479807326;25;26;15
0.023363400569189;40;26;15
0.0235358919421845;55;26;15
0.0241934829682851;70;26;15
0.0252510893092534;85;26;15
0.0238015522429575;100;26;15
0.0194631618682852;10;39;15
0.021352598078481;25;39;15
0.0214986704267949;40;39;15
0.0222252281494901;55;39;15
0.0213101649500645;70;39;15
0.0220291219502051;85;39;15
0.0217317374711094;100;39;15
0.0193326469477822;10;52;15
0.0240433037990723;25;52;15
0.0203980549663614;40;52;15
0.0217164196809895;55;52;15
0.024795532162749;70;52;15
0.0257489137487646;85;52;15
0.0251995953511928;100;52;15
0.0192650659375797;10;65;15
0.0231203231491621;25;65;15
0.0230865327922713;40;65;15
0.0208045925243942;55;65;15
0.0235781297380927;70;65;15
0.0251095933501468;85;65;15
0.0243108344889816;100;65;15
0.0187328323922446;10;78;15
0.0229539719263172;25;78;15
0.0218425926806354;40;78;15
0.0211592850899595;55;78;15
0.0288365649506658;70;78;15
0.0246126091934002;85;78;15
0.0239247159490791;100;78;15
0.0197421617468922;10;91;15
0.0248833290981895;25;91;15
0.0212712952175897;40;91;15
0.0224189093487816;55;91;15
0.0250112575359504;70;91;15
0.0272560951118818;85;91;15
0.0226014210719072;100;91;15
0.0187693820483398;10;104;15
0.0250133986343574;25;104;15
0.0211049037560795;40;104;15
0.020892986823363;55;104;15
0.0262451831635919;70;104;15
0.0269799001325262;85;104;15
0.0282948478865299;100;104;15
0.0195505919892696;10;117;15
0.0239013425445232;25;117;15
0.0378863315830974;40;117;15
0.0215593333558774;55;117;15
0.0265226789984956;70;117;15
0.0272594011654984;85;117;15
0.0274956204139879;100;117;15
0.0191162126613594;10;130;15
0.0235557674742477;25;130;15
0.0201249423339688;40;130;15
0.0195696011747049;55;130;15
0.0256805449636432;70;130;15
0.0254502040571479;85;130;15
0.0272409098399721;100;130;15
0.0204631984976491;10;143;15
0.11648167250936495;25;143;15
0.03984855887849847;40;143;15
0.03643388656298765;55;143;15
0.02790992562590674;70;143;15
0.034107453674875866;85;143;15
0.02764654161479731;100;143;15
