rmse;hl;T;RS
0.0201735089002395;10;12;15
0.0207271356794319;25;12;15
0.0219596998861822;40;12;15
0.0218754260872442;55;12;15
0.0205960197429127;70;12;15
0.0205969003888191;85;12;15
0.0201471903765801;100;12;15
0.0278878732899027;10;24;15
0.0261201925991659;25;24;15
0.022578891201346;40;24;15
0.0217971198594615;55;24;15
0.0224025076746008;70;24;15
0.0231186608468992;85;24;15
0.0223440376963219;100;24;15
0.0271893100200491;10;36;15
0.0246419177806137;25;36;15
0.0233572202568422;40;36;15
0.0220056844558814;55;36;15
0.0214685905796684;70;36;15
0.0231333979709831;85;36;15
0.0273671301924981;100;36;15
0.0299625211387167;10;48;15
0.0260574856069941;25;48;15
0.0216832218199004;40;48;15
0.0236289753678728;55;48;15
0.0238594588505092;70;48;15
0.0229223204255673;85;48;15
0.0208329374846045;100;48;15
0.0290811139897496;10;60;15
0.0242824329566578;25;60;15
0.0266264455590281;40;60;15
0.0251035987502773;55;60;15
0.0413438213404288;70;60;15
0.0220988389789902;85;60;15
0.0248942488489937;100;60;15
0.027443718767906;10;72;15
0.0291619576897387;25;72;15
0.0230831959188249;40;72;15
0.0233474530906016;55;72;15
0.0223838071791277;70;72;15
0.0304955237590558;85;72;15
0.0244940022926292;100;72;15
0.0273911276393267;10;84;15
0.0241774896037252;25;84;15
0.0228855191816865;40;84;15
0.0228955292828211;55;84;15
0.0233050965467587;70;84;15
0.0261989059531501;85;84;15
0.0229780804480732;100;84;15
0.0275600218207801;10;96;15
0.0295275978055004;25;96;15
0.0289376334824062;40;96;15
0.0218124148995557;55;96;15
0.0248298230931168;70;96;15
0.032269348956098;85;96;15
0.0248838627080617;100;96;15
0.0297739577179621;10;108;15
0.027726448787806;25;108;15
0.0262723148245439;40;108;15
0.0220900875300622;55;108;15
0.0212812704054952;70;108;15
0.0389243645143992;85;108;15
0.0235355884865704;100;108;15
0.0286554195473472;10;120;15
0.0277317902026483;25;120;15
0.0249654809917215;40;120;15
0.0209033637419297;55;120;15
0.0270963370113246;70;120;15
0.0284573093294452;85;120;15
0.0274541754250186;100;120;15
0.0284542489019969;10;132;15
0.0324157668252537;25;132;15
0.0314363229868113;40;132;15
0.0236782268126086;55;132;15
0.0280799947393775;70;132;15
0.0274944392616126;85;132;15
0.0287507540367227;100;132;15
0.0552748225786031;10;144;15
0.11859062451823331;25;144;15
0.03313237743335178;40;144;15
0.03718183242756101;55;144;15
0.042168615949292144;70;144;15
0.03512900848234837;85;144;15
0.042240566282769315;100;144;15
