rmse;hl;T;RS
0.0189490380362048;10;12;15
0.0195297535317001;25;12;15
0.0194125193068364;40;12;15
0.020094962205203;55;12;15
0.0196913928800363;70;12;15
0.0190012349485154;85;12;15
0.0201244846287614;100;12;15
0.0209393015358815;10;24;15
0.0221683645088068;25;24;15
0.0229546072018827;40;24;15
0.0222828401950986;55;24;15
0.0221835641626768;70;24;15
0.0234212792314721;85;24;15
0.0230461453119014;100;24;15
0.019897536068117;10;36;15
0.0278025419464045;25;36;15
0.0207272228097168;40;36;15
0.021838833228022;55;36;15
0.0269167195484771;70;36;15
0.0218241833420701;85;36;15
0.0213257721074563;100;36;15
0.0187442688461927;10;48;15
0.0230293117212293;25;48;15
0.023565683743645;40;48;15
0.0204352019672406;55;48;15
0.0236870899263399;70;48;15
0.0244141015986319;85;48;15
0.0240855537229836;100;48;15
0.0212045330531048;10;60;15
0.023598904677063;25;60;15
0.0223891644356106;40;60;15
0.0228130251081077;55;60;15
0.0228730092129536;70;60;15
0.0249865515401595;85;60;15
0.0246284757439294;100;60;15
0.0185966963625241;10;72;15
0.0224042076225926;25;72;15
0.0213140037731923;40;72;15
0.0212183213241178;55;72;15
0.0224803360581089;70;72;15
0.0238124366749606;85;72;15
0.0233536604069537;100;72;15
0.0185492209575869;10;84;15
0.0235383564822953;25;84;15
0.0223946353868833;40;84;15
0.0219267239310838;55;84;15
0.0242399263712379;70;84;15
0.0250346348071901;85;84;15
0.0250154440640452;100;84;15
0.0198814716927474;10;96;15
0.0238481776933978;25;96;15
0.0233803070059272;40;96;15
0.0228022165791438;55;96;15
0.0238685190055362;70;96;15
0.026053795059588;85;96;15
0.024185726372181;100;96;15
0.0189825956362383;10;108;15
0.0261221706419792;25;108;15
0.0206620684625245;40;108;15
0.0235313134346717;55;108;15
0.0223017293966977;70;108;15
0.0265888982951465;85;108;15
0.0266057740621293;100;108;15
0.0182645872561102;10;120;15
0.0240284397333722;25;120;15
0.0206677278853336;40;120;15
0.0213399022270539;55;120;15
0.0257377641645984;70;120;15
0.0317542808127081;85;120;15
0.0279363017078874;100;120;15
0.0185926991304244;10;132;15
0.0238379309982465;25;132;15
0.0207719012278576;40;132;15
0.0206700514751455;55;132;15
0.0252694401272059;70;132;15
0.025831174408848;85;132;15
0.0258955880539833;100;132;15
0.01985592356815369;10;144;15
0.11648167250466976;25;144;15
0.05531555102026665;40;144;15
0.03745508145210018;55;144;15
0.0526239124676024;70;144;15
0.026545809050957336;85;144;15
0.026687142106414048;100;144;15
