rmse;hl;T;RS
0.0242320441585458;10;13;15
0.022402147535126;25;13;15
0.0212910094320299;40;13;15
0.0225394154845302;55;13;15
0.0221505146159287;70;13;15
0.0225712957892016;85;13;15
0.0205583670476661;100;13;15
0.026672929982162;10;26;15
0.0235548143998988;25;26;15
0.024559417106392;40;26;15
0.0266944156427766;55;26;15
0.023383783041012;70;26;15
0.0215471686417789;85;26;15
0.0236549965379846;100;26;15
0.0277226265653235;10;39;15
0.026587695522042;25;39;15
0.0250796189446655;40;39;15
0.0255995541926279;55;39;15
0.0244268691862072;70;39;15
0.028733630809188;85;39;15
0.0275708405981397;100;39;15
0.0261654254042691;10;52;15
0.0260994522381485;25;52;15
0.0317290206734444;40;52;15
0.0336598534781693;55;52;15
0.0298089075806715;70;52;15
0.0326471369471036;85;52;15
0.0255653204640565;100;52;15
0.0270476560253832;10;65;15
0.0266041978025907;25;65;15
0.0259801632107743;40;65;15
0.0265371828684062;55;65;15
0.0262664687097697;70;65;15
0.0268408523198183;85;65;15
0.0279370124459133;100;65;15
0.0292737307349433;10;78;15
0.025724426714686;25;78;15
0.0274308687040446;40;78;15
0.0267277304060047;55;78;15
0.0360053772683588;70;78;15
0.0269860915157885;85;78;15
0.0260749586499285;100;78;15
0.0261719801099915;10;91;15
0.0401353026879914;25;91;15
0.0270706248722417;40;91;15
0.0357888169316996;55;91;15
0.0358712539705594;70;91;15
0.0346047610373677;85;91;15
0.0352142628675059;100;91;15
0.0764313590663378;10;104;15
0.0416012566929465;25;104;15
0.0386760919231473;40;104;15
0.0404940505803909;55;104;15
0.0328018194512664;70;104;15
0.0380636276579681;85;104;15
0.0373723871051849;100;104;15
0.0337498529878527;10;117;15
0.0906538165449519;25;117;15
0.0387096777781952;40;117;15
0.0454576465146189;55;117;15
0.0414479820638656;70;117;15
0.040624362576312;85;117;15
0.0407031275825101;100;117;15
0.0369771641359036;10;130;15
0.0980611275079654;25;130;15
0.045810439647538;40;130;15
0.0443511216222762;55;130;15
0.0418073173441293;70;130;15
0.0472915509292797;85;130;15
0.0472036420249598;100;130;15
0.08556969218653979;10;143;15
0.08778941682504467;25;143;15
0.04859132272617667;40;143;15
0.047950600114666675;55;143;15
0.046631508250549944;70;143;15
0.04869535468208938;85;143;15
0.049805696839139504;100;143;15
