rmse;hl;T;RS
0.0192587879017434;10;13;15
0.0201788194892734;25;13;15
0.020610324291073;40;13;15
0.0206497361557465;55;13;15
0.0214085140691157;70;13;15
0.020672998308179;85;13;15
0.0210298367990889;100;13;15
0.0213755505677822;10;26;15
0.0213958882758292;25;26;15
0.0215503087746704;40;26;15
0.0216681322757605;55;26;15
0.0200339510811842;70;26;15
0.0212135989546531;85;26;15
0.0202296110787132;100;26;15
0.0256552446343782;10;39;15
0.0190904072331939;25;39;15
0.022609009688354;40;39;15
0.0215488198064709;55;39;15
0.0212716198603724;70;39;15
0.0217660274480724;85;39;15
0.0237100592834147;100;39;15
0.0247222984874328;10;52;15
0.0186488544164819;25;52;15
0.0232459555013553;40;52;15
0.0254308520699709;55;52;15
0.0268047425679638;70;52;15
0.0220396174764429;85;52;15
0.0242564035238207;100;52;15
0.0257391079280866;10;65;15
0.0268808570720298;25;65;15
0.0280900601456301;40;65;15
0.0263108889513594;55;65;15
0.0277443904840822;70;65;15
0.0257057896840858;85;65;15
0.0268813279898232;100;65;15
0.0272396191143672;10;78;15
0.0270299981323177;25;78;15
0.0256172552225019;40;78;15
0.0252214413982315;55;78;15
0.0270022479801756;70;78;15
0.0252772979895916;85;78;15
0.0255203676720462;100;78;15
0.0253021766202682;10;91;15
0.0260316169730767;25;91;15
0.0250086335681173;40;91;15
0.026939790379363;55;91;15
0.0279260837446647;70;91;15
0.0247937975718275;85;91;15
0.0252466249292495;100;91;15
0.0252331876492423;10;104;15
0.0263966582348744;25;104;15
0.0249066669349183;40;104;15
0.0263795457145544;55;104;15
0.0293271515712242;70;104;15
0.023761884713627;85;104;15
0.0246132626299731;100;104;15
0.040928939818571;10;117;15
0.0258795095093041;25;117;15
0.025129727470208;40;117;15
0.026475824046119;55;117;15
0.0306718314863169;70;117;15
0.0260666770928348;85;117;15
0.0245494847505347;100;117;15
0.040312439569841;10;130;15
0.0258540883437053;25;130;15
0.0261570636286031;40;130;15
0.0267696578095196;55;130;15
0.0285337559581573;70;130;15
0.0269995798787481;85;130;15
0.027926090812949;100;130;15
0.03896644813012995;10;143;15
0.0329601549556935;25;143;15
0.027534423367499773;40;143;15
0.0288592315218768;55;143;15
0.02931943599258858;70;143;15
0.028691345963911066;85;143;15
0.029970121788630916;100;143;15
