rmse;hl;T;RS
0.0213659554692195;10;13;15
0.0230258545643535;25;13;15
0.0236172193588159;40;13;15
0.0236190908180527;55;13;15
0.0232948855192466;70;13;15
0.0236255536807562;85;13;15
0.0231355800089281;100;13;15
0.025311601192263;10;26;15
0.0226960136403393;25;26;15
0.0220930350450968;40;26;15
0.0220286084058454;55;26;15
0.0217506030695021;70;26;15
0.0230251664495306;85;26;15
0.0216404982101393;100;26;15
0.0268576879708617;10;39;15
0.0213980120000594;25;39;15
0.0208944682082646;40;39;15
0.0209688228193742;55;39;15
0.021322663206106;70;39;15
0.0228802176636566;85;39;15
0.0234667255338368;100;39;15
0.026336158082233;10;52;15
0.023256947869291;25;52;15
0.0232999692071731;40;52;15
0.0229928805740717;55;52;15
0.029661188043449;70;52;15
0.0240975866649274;85;52;15
0.0268065047897146;100;52;15
0.0267476883543326;10;65;15
0.0269897744482435;25;65;15
0.0280123804754615;40;65;15
0.0211680572465543;55;65;15
0.0227215437830944;70;65;15
0.0229488055890148;85;65;15
0.0271747985482416;100;65;15
0.0255225985077552;10;78;15
0.0286862156090447;25;78;15
0.0253511912821101;40;78;15
0.0217387578622668;55;78;15
0.0239450109444485;70;78;15
0.0247725255866403;85;78;15
0.0264551038782527;100;78;15
0.0270276245549682;10;91;15
0.028266629757638;25;91;15
0.0231865541356737;40;91;15
0.02140544292723;55;91;15
0.0235479708259923;70;91;15
0.0260903199640898;85;91;15
0.0252806961633065;100;91;15
0.0282429342163668;10;104;15
0.0313529817530415;25;104;15
0.0270314335475032;40;104;15
0.024063851215617;55;104;15
0.0258974425849857;70;104;15
0.0238200066541371;85;104;15
0.0229259625613076;100;104;15
0.0275930489574711;10;117;15
0.0238803554089244;25;117;15
0.0228661651120666;40;117;15
0.0277780293097362;55;117;15
0.0239978729317442;70;117;15
0.0254965174243596;85;117;15
0.0239627421268226;100;117;15
0.0653136977115833;10;130;15
0.1169960335952771;25;130;15
0.0258194372785744;40;130;15
0.0232866838698014;55;130;15
0.0280434439443403;70;130;15
0.0259279115614186;85;130;15
0.0251671816807827;100;130;15
0.029049331055580385;10;143;15
0.11864404705009775;25;143;15
0.031590126336182495;40;143;15
0.036443206337408225;55;143;15
0.029409660707758564;70;143;15
0.03393821240030216;85;143;15
0.029369660698170014;100;143;15
