rmse;hl;T;RS
0.0195093409476379;10;13;15
0.0196598489033562;25;13;15
0.0207468813416684;40;13;15
0.0205692389932866;55;13;15
0.019507099839733;70;13;15
0.0200061728492319;85;13;15
0.0209371459122298;100;13;15
0.0198886996235106;10;26;15
0.0287593284821658;25;26;15
0.0278197630189499;40;26;15
0.0292230077564217;55;26;15
0.0291684932898251;70;26;15
0.029641356508335;85;26;15
0.0301603292563461;100;26;15
0.0206939422591471;10;39;15
0.0242155254715636;25;39;15
0.0236580155497453;40;39;15
0.0252340962152109;55;39;15
0.0246875609286441;70;39;15
0.0262103477899497;85;39;15
0.02671850149952;100;39;15
0.0207223772469566;10;52;15
0.023493707679519;25;52;15
0.0234902403127983;40;52;15
0.0234828993772811;55;52;15
0.0304431628353973;70;52;15
0.0255919964286949;85;52;15
0.0316171381873764;100;52;15
0.022230132020483;10;65;15
0.028656721560891;25;65;15
0.0271026193008174;40;65;15
0.0224246195094866;55;65;15
0.0331661136767203;70;65;15
0.0288892455971748;85;65;15
0.029968233292843;100;65;15
0.0213899423680201;10;78;15
0.0267007839653119;25;78;15
0.0251747063825947;40;78;15
0.0248904526874637;55;78;15
0.0278822831604579;70;78;15
0.0286770686385028;85;78;15
0.0285737855694407;100;78;15
0.0220928112647638;10;91;15
0.0303196912824429;25;91;15
0.0248124265297074;40;91;15
0.0263276500441046;55;91;15
0.0250194247617536;70;91;15
0.0273175057479527;85;91;15
0.0352192471313839;100;91;15
0.0220217821918928;10;104;15
0.0302127129122185;25;104;15
0.0240335773012738;40;104;15
0.0303780064750488;55;104;15
0.0310262044362082;70;104;15
0.0310415874122466;85;104;15
0.0323465281170717;100;104;15
0.0217438176147016;10;117;15
0.0289846375916434;25;117;15
0.0241480863104788;40;117;15
0.0276708300486967;55;117;15
0.0297985763600126;70;117;15
0.028575223266398;85;117;15
0.0298055539017865;100;117;15
0.0210068233851129;10;130;15
0.028400788199126;25;130;15
0.0236338438344443;40;130;15
0.0280392084585876;55;130;15
0.029714894215595;70;130;15
0.0321753968527829;85;130;15
0.035976057685426;100;130;15
0.02087587743229289;10;143;15
0.11650150299561726;25;143;15
0.029306492331316193;40;143;15
0.03615918895309609;55;143;15
0.0327404138556494;70;143;15
0.03198258916861164;85;143;15
0.033409722378091276;100;143;15
