rmse;hl;T;RS;preds
0.4207659480206184;10;13;15;3.6314060892502615 -2.349496439507079 -8.057433862584046 -12.223380978979728 -13.441987728332741 -11.25803534270735 -6.554021150315145 -0.6071041626099231 4.823309178595323 8.79834756840865 11.348352674645986 10.559490657744304 8.200723126687269 3.6622420876632793 -0.6201198362693312 -5.122111661787016 -8.152016873245229 -8.924453383452308 -8.027214407214897 -5.480427401818513 -1.781737988989336 1.6763346355047952 4.668310334290435 6.344183174487796 6.504365134238205 5.482283307054927 4.093684909658389 1.8997745654071243 -0.8424422578660085 -2.6596152828634656 -3.359907795336582 -3.746031818970535 -3.501261153608802 -2.823341115106828 -1.781447217597468 -0.4843920967314483 0.17147777788719407 0.8501688798122465 1.9204510652348248 2.7171319864027583 3.2538809756797944 3.4265468743683716 3.294687432811591 2.3163805463612186 0.4611632001455903 -1.6070882294022724 -3.6798640194995964 -5.259258065714985 -5.988815795695842 -5.430203951619919 -3.958701476517326 -1.4419811368929754 1.6129420489677515 4.5335493327068646 6.66009167625925 7.9902061774477335 7.59599401677728 4.67085573782401 0.9786976235373738 -3.3745086730853875 -7.224474594861649 -9.597143767701331 -9.672202787100595 -7.3129429446922485 -3.4173062988622918 1.5618120535699074 5.387917990319404 8.502079212608562 10.478267746379327 9.78041332894993 7.152113794651431 2.713946962730722 -3.0632232825973396 -7.782134124167379 -11.228942049554323 -11.476996970094842 -9.489885278216862 -5.339889434221902 0.47353713826619964 5.994157111452242 9.071141903589035 10.952235115198661 10.388387078359653 7.248694512467854 2.8660457854817922 -2.407974566441484 -6.590874501143211 -9.76366192839041 -10.472229502366229 -8.74612436575068 -5.167980848854209 -0.6546766315671799 3.2636448944019687 6.469585644977537 9.012766085107325 8.777549721525215 6.810075867909142 3.274558437053103 -0.8274125307760218 -4.2092510309833155 -6.844191768487353 -7.290068159295472 -6.523834002878425 -4.148900967059198 -0.8057558313554962 1.879724993315859 3.839583021098096 4.90321131091311 5.512417377174083 5.120088307422395 3.114065705762178 0.898529623858966 -0.7949620972871224 -1.786723026039604 -2.8420077923046256 -3.370831722680283 -3.329369106825567 -2.5161099855204756 -1.7489212066237776 -0.4778357018485387 -0.0733327916172719 1.1681087428352233 1.7029159869114046 2.581023667113217 2.547502648744338 2.9547641371704803 2.72102893844298 2.2590316585888828 0.7582164656255121 -0.6989686915280835 -2.8789461437644417 -4.73670341270368 -5.323014693419228 -4.855757759089211 -3.406721604809104 -1.3917244172163434 1.6627833809417147 4.08854640992908 6.080756985857319 7.0009365172110956 6.584391113630307 4.209556540081342 0.9981610374259843 -3.1112094084751707 -6.819168505583995 -8.496345586244086 -8.658018326305184 -6.744615643792796 -3.7870271236597484 0.7370964048088278
0.450880557072383;25;13;15;3.455252856950483 -2.7304046551448367 -8.295557170848351 -12.113726317840051 -13.541282312473266 -11.094512588896402 -6.178963362774882 -0.7040838737763981 4.670644582408487 8.959227225652244 11.342483400254574 10.624734988813291 8.293564585943187 3.9991192068181527 -0.6528494064482415 -5.289783677205731 -8.112941198207885 -9.126799502733052 -7.7830849004645986 -5.211926944705343 -1.8512552364312842 1.5459978975728903 4.73033425680901 6.277066137192611 6.5771249057795504 5.680827859619765 4.341038671141533 1.914293327161004 -0.21580428319978898 -2.4845230199875865 -3.6036776840294777 -4.1201738304737106 -3.5156835684927574 -2.672542686636057 -1.805890476190063 -0.912115948778383 0.04433952526583814 1.2023305356432343 1.942360266532019 2.7118400239944074 3.1181518899780603 3.441842372664418 3.2804311730087035 2.4545461886336994 0.7856046980290993 -1.7963605976688832 -3.8194646724375003 -5.373905456269795 -5.985870389189326 -5.397303322477341 -4.205234462669455 -1.2653682857925588 1.5862464659429083 4.242709478791468 6.618862908296406 8.090228459304416 7.609330269742405 4.819726844278048 1.0744201618986309 -3.416081289757662 -7.048412517085511 -9.445652641774535 -9.662852717608118 -7.552506263659137 -2.9740264658140956 1.3568445686525534 5.454180021259929 8.37488288263248 10.29813409988055 9.778826394078438 7.248536818988137 2.540499519771938 -3.1536622239970353 -8.0340021499711 -11.00407037824164 -11.707698684738132 -9.606860762997833 -5.024753245882818 0.32694590452608036 5.813903079443339 9.035566254564918 10.88126843390717 10.289628652050165 7.4843285714620915 2.7289728436382763 -2.5557722033787176 -6.756407269893183 -9.675775890580033 -10.42001757585023 -8.546298265199459 -4.940847622271439 -0.7310556126998674 3.2213184259729988 6.5791926134550565 8.972930404421394 8.92112386553374 6.866177823336985 3.2931408828556368 -0.8291324474051041 -4.262709505225564 -6.629383248890061 -7.191741274654866 -6.364994745415069 -3.6846344395701522 -1.0618680233184972 1.9631459979407915 3.9074535255317326 4.814858346555473 5.549373036454844 5.071351406733815 3.592244644344681 1.2792636074325487 -0.70018615249969 -1.7528039277890004 -3.0049270800919734 -3.4613800879701726 -3.3802821775342395 -2.413114412334645 -1.8326170209834847 -0.6362956776468086 -0.10071217780126518 1.205361904327108 1.7308250404935808 2.4434772602123074 2.339838797632948 2.9326308957466156 2.8286882001368756 2.3910151395290993 1.1160512405438738 -0.5999875231784951 -2.997033944504781 -4.713263238489381 -5.258431905728566 -5.016252028853108 -3.6043580737017193 -0.8892232786332963 1.327762044810338 3.871441334801571 6.024658876611908 6.876781748302333 6.526626068918817 4.255231110317471 1.1836432813694253 -3.0633798222223265 -6.700147620985623 -8.43369281289786 -8.699536327186923 -7.071861922137646 -3.4903037644779418 0.6739880992307979
0.442585513023302;40;13;15;3.4111944525723303 -2.66368377464016 -8.295420246753768 -12.31528627743167 -13.017524573597195 -11.220135830257748 -6.350214250946682 -0.9781044199934239 4.9114256027333845 9.083911998500152 11.104682402078081 10.541179752421478 8.10334547987091 3.8762067548349646 -0.9391358611368145 -5.045858402742578 -8.415975758142553 -8.98244381445432 -8.127594384037767 -5.247594902107831 -1.8077831825649082 1.7660372252778624 4.573873478561674 6.236390065645263 6.259061772609624 5.541546824441971 4.152486885153579 2.080992643042637 -0.5505865310157291 -2.5080680026731605 -3.907499942126244 -4.086559349871731 -3.5751082409237065 -2.8293073132955295 -1.681385704679978 -0.6041918332723235 0.13555731860803802 1.0580431171026734 1.916114879160855 2.764785417500211 3.26719453616857 3.9219459409359527 3.667896745074979 2.416576291045589 0.4011500618025268 -1.677600291930288 -3.855254553823086 -5.233047870913075 -6.111639400864848 -5.318619660754048 -3.8349347874159645 -1.5566544891792025 1.4698139659667915 4.258113054813857 6.6623447699279845 8.218786337861467 8.054664348827595 4.837897748560345 0.8849802923871014 -3.191479235833469 -7.355745570506315 -9.505726165181782 -9.493743768432763 -7.371444917957733 -3.1227402634066594 1.1542950824757114 5.216722487174625 8.393544559793115 10.24709448976986 9.925215943627274 7.38354243777439 3.0289135344245497 -3.094988518685957 -8.124659746842061 -11.170949310842852 -11.551082905338781 -9.70955998782727 -4.890039936961406 0.5519037784025251 5.683592110933729 8.948207912984227 10.79907397685984 10.629180406468333 7.374021597781926 2.8062788028143846 -2.347466424419407 -6.780745143087138 -9.807543023758443 -10.243923190141663 -8.42117502755429 -4.986941811010911 -1.1162133310750308 3.2293350240162617 6.703802770363782 8.904617589008064 8.932582412235506 6.862963953296707 3.323839572555828 -1.152326099475793 -4.372960324642221 -6.696311438627829 -7.197052083357135 -6.376636755018845 -4.042944794946245 -0.9556338683702621 1.7904735607420794 3.7495873522237013 4.663093757057753 5.549772270191298 5.037966543223032 3.4473520289984263 1.2089660657296848 -0.7151454463738885 -2.197501079063432 -3.336719546071587 -3.2383530457519316 -2.96600717544313 -2.6914339808878895 -2.0643777819594575 -0.7038118044466063 0.37499731935069675 1.2796249562720463 1.6700593965576735 2.2612224441022173 2.607344247350929 2.982708191012789 3.442008143127242 2.4364922082973384 0.8189465323739223 -1.0423783592347875 -2.807353303973001 -4.841011880262714 -5.239501765034169 -5.065439702122733 -3.4924168571061474 -1.2835672672066105 1.3230481636215345 3.8445276732328266 6.130131583593145 6.913541252279056 6.773041746506766 4.419077328070959 1.0033572298917754 -2.964198315845305 -6.79629525866019 -8.432218186553387 -8.617808027450366 -7.03944168118084 -3.42336557466585 0.6761766251119533
0.4422483651414753;55;13;15;3.4619667530039875 -2.243670652978574 -8.456450674348702 -12.246483458376487 -13.070421889822596 -11.218391201906538 -6.349280397852165 -0.8813358161651916 4.842262396384313 9.051515603874424 11.144069617892427 10.674803822478115 8.344675735047113 3.7995515697263706 -0.6391694009282458 -5.239582150247 -8.562150690711675 -8.817481819177274 -8.101600344688542 -5.259762300231835 -1.9221005706670427 1.6555515964237253 4.856812119906771 5.989010150121581 6.4499212680568485 5.8058914814372375 4.3448498533135185 2.002914755052403 -0.1893579808738275 -2.663983776869865 -3.764025029624468 -3.9280058637630804 -3.6153900787717625 -2.7539213683895345 -1.5975194082839674 -0.609229755331033 0.2946285970266127 0.793752979743382 1.8300473164043827 2.773020863323862 3.364018332714703 3.7790052631739974 3.502089743517597 2.2950869265622846 0.43761807322817525 -1.5995273078226544 -3.6266236238012493 -5.329334355773441 -6.108754764040761 -5.368833880114805 -3.9781466210393837 -1.1752368466783105 1.3729721885177881 4.400449497315726 6.76528707348713 8.048007376274086 7.650435190630935 4.819423380484154 0.9299751460329138 -3.2317483812794987 -7.127965416038462 -9.691402160565241 -9.85144873469404 -7.261021020331632 -3.0818168823289263 1.0843083123133626 5.521686676835487 8.467022798212781 10.229505128271299 9.782869501051081 7.282337070201589 2.8935625284558926 -3.005595161980432 -7.976776340036591 -11.006441934329283 -11.674901517902976 -9.57299435744655 -5.139683715464632 0.30396688758539264 5.774942789878958 8.802745293401532 11.033723413151455 10.397152528122449 7.213180402362651 2.7139381165111276 -2.3137023273208177 -6.70063223997207 -9.763039616072895 -10.348200888241239 -8.392310966874218 -5.039182583895151 -0.9122004686373288 3.2112545050211194 6.662084767995573 8.749845669466671 8.863007279747954 6.892437249274026 3.428262271733096 -0.9727472647928486 -4.380582304367948 -6.798008348315455 -7.3309730786975305 -6.460026605566077 -3.9378786294480834 -1.2564432194588293 1.9775499511490726 3.8909560952256497 4.713131436644876 5.552483444187698 5.0742929670578985 3.368916830660248 1.098089376276762 -0.4945504414620362 -1.843075752562021 -3.3013038982366463 -3.3386853299126424 -3.107857845103823 -2.547549449957093 -1.7163594261534685 -0.590880099720203 0.30124297310968645 1.0709712901117507 1.5316333677345384 2.442188404479305 2.431330631473436 3.001733717031503 3.0171049851214615 2.402076183276505 0.874231270189501 -0.8114487582823954 -2.8771245917645905 -4.836024150884744 -5.208306533181991 -5.185356747227788 -3.4545796528119452 -0.9947401205579414 1.0577198454692538 3.9683159009558078 5.888670558214249 6.7994211733356895 6.598006599440004 4.253369942638569 0.8979143308243879 -2.9605902121057355 -6.686772906196177 -8.404514134494843 -8.825009567433415 -6.952946422937916 -3.447509215646983 0.591355706236291
0.4320568764611693;70;13;15;3.4473970293328824 -2.393156379385264 -8.338629798669151 -12.116617877792516 -13.135450065438897 -11.221690457196809 -6.37372250259003 -0.9393121124467663 4.989228488679722 9.095522084789744 11.096766958632784 10.548388267535753 8.534440222355913 3.7399618960690835 -0.5703308123764449 -5.009863904451604 -8.477800833029388 -8.882019221915238 -7.972929388367987 -5.218488916552779 -1.797246758101243 1.6434597757845117 4.723637283958206 6.182869667865857 6.4198729678059285 5.82693471475984 4.441910190079226 2.107438993445879 -0.16102214527352732 -2.6526731158826147 -3.8397817465169193 -3.9844774373226497 -3.5810894392238932 -2.6953632408605412 -1.8277625618267872 -0.7619843521867797 0.14512390413280438 0.8764031132543572 1.9162444955088176 2.7613023146896856 3.35127631493534 3.795180383392269 3.548776628969859 2.4205626668273577 0.7386688203416383 -1.61198461194748 -3.5870998685105637 -5.172836269556514 -6.012930590308734 -5.458143005425066 -4.038905918774278 -1.402283630310919 1.5225704157606175 4.43482244509332 6.786476461742153 8.090213074574688 7.67356843948715 4.905299403355507 0.9912958902483364 -3.1827630172058035 -7.057554123490169 -9.598079928505308 -9.939246310308478 -7.363342550046234 -3.2417215323259803 1.1658248797070316 5.467571274633833 8.440507985762247 10.15150685625741 9.733368363913238 7.297269488876043 2.625032648047117 -2.902800744135801 -7.870264009943953 -10.97563170533856 -11.451103700725339 -9.70906075334758 -5.305236484363251 0.1716103029106207 5.6106019530647 9.00002291347323 11.035434964333747 10.359098399139077 7.226406654510218 2.7845071025391386 -2.5098087848419373 -6.738060210455495 -9.701405311834693 -10.360248670091606 -8.64798363633979 -5.039302584787033 -0.9436397407648244 3.375202261990815 6.707407412539163 8.815983084096395 8.840434035053855 7.032426751255817 3.3419554764293458 -0.757330086825674 -4.047104056628338 -6.94766946064105 -7.285792742903929 -6.62710784736322 -4.087649742591236 -1.2440045693187998 1.9239795529980497 3.702278539072166 4.783796192615447 5.544167613151216 5.0685236934097215 3.642003860323719 1.1088698410157452 -0.7892520548484004 -1.835302617866711 -3.2357626418839 -3.573868231707592 -3.362326659468141 -2.519699242966128 -2.1003242029700306 -0.502284633560221 0.22756624763788433 1.116902112252419 1.4950644420973271 2.4033885007223437 2.476796738621744 3.074771182944447 3.075870421883546 2.3102341545255727 1.0522690357264566 -0.698446860726606 -2.7187972611829485 -4.665081726543998 -5.356349556558394 -5.1175227815272555 -3.5801152012138378 -1.3230355413157127 1.2744660717758467 4.091931050469344 5.962104950154187 6.782811819120831 6.542672342025612 4.250030687051004 1.0069556220207039 -2.8565980930517427 -6.717301594632868 -8.419866556290884 -8.838390436114754 -7.020229230695925 -3.6883471594718755 0.6742017065876217
0.4384967911152365;85;13;15;3.4225364599464023 -2.4237944917121492 -8.259464594905356 -12.243240357349725 -13.362488675933838 -11.268015416882209 -6.483991399064117 -0.8456899743116888 4.957392482834353 9.078239648649266 11.187880712740194 10.630727341042531 8.254085061750471 3.9342579555194046 -0.7852074574800657 -5.175031670488767 -8.203791104200452 -8.964778298543603 -8.118459700761488 -5.147858006987612 -1.784559933039781 1.7459474605801815 4.834829648834245 6.244028968573692 6.443410450435759 5.7782408913145 4.328219345095284 1.9194677886960538 -0.47040011773892737 -2.3513106837603086 -3.524997868488617 -4.020278088019046 -3.524119015802878 -2.7527784752798308 -1.659924391327004 -0.6622701976201905 0.19388739155744694 0.9113278920563986 1.8433008764472172 2.7276684108664235 3.310676013181905 3.637898829813919 3.506668623703033 2.4182274571636975 0.4503783122968104 -1.6545981978950075 -3.736254438609848 -5.339070197363861 -6.09244810438331 -5.341370599076511 -3.867081180183605 -1.2434567767859053 1.5590516484383763 4.361016511930439 6.7351368494017585 8.090792309648965 7.599024039297303 4.767167992106672 0.8627479156110486 -3.3421284324258744 -7.1671133993055305 -9.68109977630257 -9.641429481461222 -7.342524703014154 -3.377655234933103 1.2971185478280476 5.483404084615646 8.494486848487561 10.203848783739614 9.800582709623956 7.281248600573299 2.954330095483016 -2.941589878581952 -7.935699111661573 -11.117044294820234 -11.656413688188273 -9.729695522095891 -5.1063792371666805 0.35241525247564376 5.711967321826678 8.933262417289503 10.75531288238369 10.481765464683095 7.430093552986798 2.6100325365618575 -2.464065367940274 -6.749861836630205 -9.757910347181422 -10.455600148002723 -8.553486010928602 -4.990320682277527 -0.8174154372439004 3.3981662788200175 6.623440634627113 8.761237292594117 8.887416691935146 6.842554570838917 3.489055415873393 -0.9603442879948768 -4.377156509675661 -6.691573711107946 -7.141009359138747 -6.505630790663698 -3.8606872865084525 -1.1147653395438994 1.8492613053622702 3.885728748682159 4.968038715806456 5.442567627260879 5.132996095664582 3.4508351318089523 1.037091422921955 -0.7511745122294715 -1.741156148911575 -3.032977288569408 -3.2766352533535295 -3.0582742073528117 -2.4518812389226894 -1.9250875159438254 -0.71368942593693 0.15458741196839 1.1275305566307725 1.5020256476812173 2.3071672086542017 2.3971159541029246 2.8893874974258287 3.021340785833953 2.516781843495162 0.7921166695049179 -0.9101168954592898 -2.84367165082476 -4.856041222734458 -5.397366015250984 -4.973532095961333 -3.5722836045455595 -1.2180872613090956 1.4318666647004703 3.929138686702256 6.022520014561407 6.9027042486583206 6.528626853020004 4.258919214651629 0.9740292234558301 -3.029808611172708 -6.710478466998292 -8.441920566356647 -8.739835088237681 -6.954991053518829 -3.548408427098188 0.6816619062647985
0.4351050236528126;100;13;15;3.4220337639025247 -2.747999208989681 -8.090724110006999 -12.127893346210513 -13.193510496961176 -11.32279505478989 -6.564779691814265 -0.892464456568842 4.944238154298268 9.14843555498136 11.148291956966407 10.590730889930938 8.053665879868218 4.102804977441427 -0.858811514142541 -5.025805176778002 -8.214682723611723 -9.059802081711505 -8.034042150268393 -5.1847055885420295 -1.8301856567590216 1.7882335440936141 4.842815092799808 6.269371464618916 6.319548376010081 5.751486077080202 4.302638770357512 1.9641863902886794 -0.5813341633873691 -2.466710002980598 -3.7334078789918377 -4.033493186237559 -3.5414864525751057 -2.6658830217548446 -1.7510612225290079 -0.6014561398629189 0.1539119742560297 0.7123704037301918 1.7770426916891242 2.650690338742653 3.353170175164915 3.722370611479306 3.360734846772404 2.271185210456132 0.4116187453781062 -1.4642754372061852 -3.8756289360207434 -5.359788812889193 -5.9271703375285885 -5.407313012256927 -3.957610314561334 -1.3081036995686235 1.516486812853176 4.474227353346853 6.775746381993032 7.970606801010148 7.5201865302767255 4.922109528293321 1.0236101688791388 -3.432369872357681 -7.389932747672437 -9.781700523997044 -9.707241509057189 -7.400117438752685 -3.3357337695142353 1.345123135381553 5.361448178203326 8.591039104553987 10.358781473706669 9.781860262780894 7.137482916679655 2.9826858831546827 -2.7572371622642633 -7.893894185570399 -11.138299068176604 -11.92250566586245 -9.625994751361132 -5.1818440288125345 0.4200355387034312 5.625096291560136 8.880482794246523 10.863606764178884 10.419993467113825 7.584862395582245 2.5782621081269568 -2.434576879542348 -6.693888343695595 -9.71576926474568 -10.262604098214458 -8.627778101550902 -5.180229401427531 -0.869263611056382 3.2388004789817035 6.883807954369327 8.694051408633397 8.849323331890965 6.792411121234911 3.690345758076521 -0.8202137272723877 -4.434594628880421 -6.699636078722151 -7.349377830871701 -6.168755594600041 -3.9515833466902057 -1.0616412908641237 1.896353578442877 3.8009388877296355 4.983341521849122 5.476022106673683 5.221307136633709 3.3702141479946017 1.0428441579856735 -0.6795719127501095 -1.9108516409078278 -3.045166225315033 -3.292950759230573 -3.0865392251190804 -2.4634659404082284 -1.736970348570701 -0.740805444778884 0.13442408903169492 0.9384107856521561 1.6753921284998048 2.246610027806115 2.583374261506606 2.9111968902889096 3.0683922893807796 2.2513110242837713 1.056227045912788 -0.7440325841485523 -2.960869060332064 -4.884937975965202 -5.33643902396205 -4.9619827793541695 -3.536161797616082 -1.2505614449745133 1.4596180248029296 4.065912395552553 6.055899878035028 6.939152211858042 6.390062746247556 4.456712223169232 1.0820715649199644 -3.107695536205188 -6.817861572793561 -8.681953888816741 -8.843984323844026 -6.901329885462408 -3.524925560258893 0.7317772306597696
0.4236865567573945;10;52;15;3.599965086340671 -2.9575644203863884 -8.562983773826472 -12.429923283293913 -13.345753166935207 -11.191661772476293 -6.476429804402573 -0.82360298323157 4.916459870918783 9.070051895487772 11.303517726034789 11.010109391491223 7.916641784541589 4.214165805107993 -1.0513340988734128 -5.059653889890098 -8.021538211181579 -8.972260661847045 -8.177513216587737 -5.636371637765215 -2.1064954026823637 1.5888349467197236 4.484165888751446 5.756401113610205 6.1206634363 5.326657150395361 3.5051601509531567 1.4600811051677567 -0.5532520315957474 -2.3356044131805125 -3.5161274179454236 -3.961536112969797 -3.681353645955556 -2.969350277213127 -2.5212038695335726 -1.5501908834474676 -0.2670173080608865 1.0230061259281746 1.9712472119975613 2.9511971875829346 3.6266902849702416 3.8239075199777566 3.720319827006501 2.451530204679554 0.9607794134408667 -1.2543527231524125 -3.847238340398066 -5.573231937723083 -6.66866200235982 -6.413222026931393 -4.61919638551059 -1.41412487216468 1.8426058712817337 5.14883313644707 7.464936888875839 8.361158934478198 7.5820777595013915 5.022095271416898 0.9372302961091783 -3.2824010654375173 -7.4522909034443625 -9.907113763797595 -10.34156776201881 -8.272341613688088 -4.10090676419826 1.1367163941333995 5.95095871346591 9.055431786826807 10.882620751650302 10.348573705531829 7.503066403034882 2.582490216474584 -2.8760018911126553 -7.994833397318898 -10.968464728994553 -11.491208614181517 -9.637333297171015 -5.654567157615078 -0.03484865943798774 5.346663452934265 9.45550706799678 11.282934496131068 10.701994793800214 8.02763799411359 3.0873124300008534 -2.1751345666750592 -6.7951229422548804 -9.78224975884835 -10.542032328853761 -8.986180765305365 -5.218372761843329 -0.6400299842474322 3.9158678188384766 7.0668062375435445 9.0541856237188 8.988560520589035 6.713881306808903 3.431521911344316 -0.7321335534037487 -3.9763262228942624 -6.444748030472733 -7.174182682615762 -6.419359764856567 -4.404404789116 -1.2781852079747873 1.5734500246821308 3.8709986392036337 4.895218559200926 4.863867556960248 4.547032509840897 2.807024577587972 0.9293709107728281 -0.6734810982506078 -1.9619020203293271 -2.5993917583413655 -3.278650652947959 -3.0823157321903722 -2.1961218380432745 -1.7378122779050917 -1.0645788126966538 0.13354634212340524 1.0880000705208308 1.5980484767358618 2.406132174960295 2.850293745331054 3.138203962087906 3.0598172256483727 1.9531395774162723 0.9697696725668205 -0.9180565698539105 -2.7886316263664246 -4.5260733857006406 -5.409935339439145 -5.1949802802911895 -3.89628101259 -1.1066125866425394 1.6551423626129478 4.2617423125568035 6.327369972604036 7.020402815736531 6.559725545693136 4.211129244077836 0.9673983087882981 -2.815619903874352 -6.535719475830156 -8.630231965942594 -8.754325195932442 -6.960005706173824 -3.6928625776471815 0.9856431559278529
0.4402124263724044;25;52;15;3.516030231742808 -2.8873956296404395 -8.567056111785599 -12.498249944963998 -13.316343717586262 -11.389569397230373 -6.722193169450036 -0.9202630285606557 4.915496402219538 8.86808424055835 10.814724862412614 11.00696782968067 8.20611701293007 3.8662959119438836 -0.8600073884152473 -4.776888326754446 -7.856546984918048 -9.099510838377176 -7.764637840283675 -5.356177247585435 -1.898376355880132 1.6470355715916516 4.245350267649361 6.256852525420616 5.9706296288967335 5.55961734336279 3.7461292495989844 1.610917803153728 -0.4644415638378101 -2.159128486174679 -3.3917130317224937 -3.7035538109537396 -3.682307883816964 -3.1820343579440387 -2.0723930338388694 -1.4189896198593832 0.021700871431752644 0.9343217167994501 2.053339168283075 2.849542778211183 3.507935556196173 3.7828022144709843 3.8427457369120264 2.708681731290274 1.030788491461322 -1.2111119210047676 -3.571053210785525 -5.35659340452459 -6.7075230604174525 -6.321995195060477 -4.364567185338853 -1.417267299366281 2.1054897481892816 5.082890338648411 7.408674932258821 8.444704170795688 7.745251279947502 4.871671845733258 0.8442531627679669 -3.530155599130087 -7.781394887903926 -10.253847879289498 -10.388721958636573 -8.232399009130544 -4.02778237456235 1.238694844375057 5.898472554142502 9.33258230822981 11.089123824903679 10.462807631475187 7.504659491798265 2.586351399018187 -3.141767135589225 -8.14830223025229 -11.125595896839805 -11.806705574432735 -10.001151385789901 -5.710892960860471 -0.20133371891951163 5.442076085146054 9.447612393936616 11.325622505708656 10.621434195050048 7.942091204458427 3.133210655745409 -2.097657067762478 -6.728907834740027 -9.994078256297236 -10.664614778384275 -9.092193860918314 -5.3995591084737775 -0.9349367914665498 3.669957145003864 7.133242885166489 8.740120981805305 8.915216129318008 6.4718902774908615 3.1981672923684736 -0.6705840574881758 -3.83333554476069 -6.370753249752435 -7.237461614461937 -6.343560739957362 -4.657255514531125 -1.3453498417775698 1.4107175652064232 3.2787907762014052 5.054573974346674 4.856684811268268 4.619754204176164 2.9701571361911805 0.9810966798294073 -0.8972778577280766 -2.0055384984946767 -2.7599827595934303 -2.8230513052605684 -2.7863260323074917 -2.380077628333969 -1.4066177971391116 -0.6171553911597765 -0.1361093399218914 0.9331534388856942 1.768975324037757 2.389017047755614 2.792822548957377 3.0191740389608195 2.9453109899888212 2.112351722266423 0.7640331434721647 -1.1896419537413212 -2.66796976803339 -4.266606841884029 -5.497759069094123 -4.933025641059241 -3.4352075857560975 -1.2303320638545465 1.644343820816534 4.173928198357906 6.291109318488759 7.144629892875016 6.632871473950665 3.9852875655557707 0.9488296130879591 -2.892529129332587 -7.004178342170211 -8.80812482655642 -8.876826106395393 -7.005072194967435 -3.6260682350580513 1.1296057643620216
0.4599942917179437;40;52;15;3.714104396196199 -2.8890041031335514 -8.613557226626389 -12.412152381984555 -13.268394130441536 -11.565991477682156 -6.825427782874023 -0.8040586072027635 4.925510322799799 9.217570684198678 11.340320307254752 10.91322790220861 8.354743502181426 4.073952839926895 -0.886389892190116 -4.931976787110003 -7.859020849458386 -8.987572314109306 -7.939038367249138 -5.223408183883459 -1.8716844267285995 2.129787813395064 4.587544734016637 5.868321945438887 6.487795011084155 5.695583353902342 3.754582389348293 1.594566335470944 -0.424684585659897 -2.3128300131452133 -3.401199256073069 -3.529020590694369 -3.4439557276979493 -3.112315378233526 -2.019395909179354 -1.1836927749098822 -0.18428751049628622 1.0166453094219383 2.119631968683057 2.7935890931160983 3.6776448944491813 3.926786746145016 3.975168259576869 2.6663550705521826 0.9594444996732394 -1.030457789868364 -3.6976764595792204 -5.692384746378877 -6.833560151008493 -6.431621394450159 -4.646877745092785 -1.4863809861165391 2.0391857938602462 5.4620027717086135 7.751469018467264 8.892395959711767 7.832620390839004 5.123084868155258 1.2063511424486488 -3.7058245970616617 -7.545596981538081 -9.917883074607523 -10.220695325197617 -8.365676922768289 -4.2214276599451575 1.260357697687474 5.7797374408988365 9.387125790536158 11.093424626099273 10.581897747357337 7.642462054449155 2.665097753515123 -3.1147261653819776 -8.059708494874402 -11.102691111220057 -11.6048348433006 -9.86646807709146 -5.817965679733468 -0.20880192346387536 5.385289124627051 9.242701640210136 11.318400144337625 10.637244312555511 7.788307753802088 3.0040791190786083 -2.2516568661806233 -6.815171552800538 -9.852071816248044 -10.515442131227559 -9.416403193614766 -5.523479644872424 -0.818360828885715 3.570332558410663 7.21018884166695 9.106452166025335 8.80801533257002 6.554665508085442 3.3240364970963525 -0.6176964047961342 -3.9259196944118995 -6.410368544185005 -7.369238747714671 -6.579341338502263 -4.481053051096215 -1.590619837773552 1.9694400831818306 3.6661394243217442 4.6562956296089855 5.262415134468184 4.640389742160963 2.8951275400875214 0.7939314906855127 -0.698232628365137 -2.013804713777784 -2.748589213374768 -3.2245544816584655 -2.946877802498749 -2.341563495931714 -1.4509497612427484 -0.6978003174597669 -0.2045492957032435 0.7886256820204062 1.5824743225226088 2.3632458946783306 2.858071880063526 2.818381585073529 2.8810382046021874 1.9665962158915227 0.7503524167929629 -0.9899276809443147 -3.022667404250995 -4.54252735414524 -5.410263034182361 -5.2609173088162 -3.6931641183498596 -1.3720639826326477 1.6673087991913444 4.28928020953428 6.569854082509875 7.154759198928241 6.35839712628393 4.042289912290973 0.8489344475606583 -3.004623808607201 -6.613625439465674 -8.719061087685326 -8.859059051268469 -7.066304188523237 -3.6768532278917347 1.1310486597014306
