rmse;hl;T;RS;preds
10.464973251855804;10;13;15;-1.5980819575328147 -1.4747326734728232 -4.381158747620241 -10.034293312756464 -11.045869206394308 -11.64557887107599 -1.3885631282831485 3.312548506854181 7.873412067951955 8.121385556879613 7.476549123762527 6.409342979292863 4.950810610036533 1.638000570793574 -2.0109436964318697 -7.655488726197501 -8.973261348093402 -9.330878722398548 -5.616952987298203 -1.3839408444378567 3.5922151213073374 4.206926330962075 8.356664815210767 7.753928605445802 7.155052649894904 6.900311363557511 7.356482482415309 5.328645082804429 3.358167636900628 -1.1318210792153707 -4.248700599776596 -6.023681257562737 -7.102242687413857 -6.764039322809419 -4.069260367518693 -4.528032129967255 -1.1945907473866744 2.263469968639273 5.435854648866828 4.154692157390873 1.644415190086555 -0.35902734450116575 -0.9140942513488277 -1.7434382397920938 -6.599282253281388 -7.436841199516246 -7.876865641201737 -7.797784363417395 -4.282753233489006 1.4158698901780868 3.638069123500395 1.1732258242363862 2.1600594160534548 0.014001470167714088 2.499776401158271 7.87013847216631 7.257114514421075 5.725077254079037 2.7713268781007803 0.5188866380468129 -1.7202641879932046 -7.9006423575308915 -10.353290746984154 -2.977678321776966 6.586301569847619 6.492331137761858 4.626508196924071 3.382530663699469 1.666469858632636 1.271884652327225 2.743317765689707 2.9111767133673054 -1.1376187676699216 -4.367771383222186 -6.122215516426189 -9.436429221209039 -9.988599371581838 -7.213497621737726 3.801946553344528 7.996289519966312 7.098571291995515 7.898879863736704 7.138468240633062 4.059512916657225 -1.5748310068533315 -3.2667652230822446 -5.057671952202247 -10.964320205256247 -7.688923385195274 -5.946984888953014 0.326927546395209 -2.405725151464226 -2.170712429524632 6.874630617026501 8.252523549279939 7.7972564272175395 7.162284624258088 5.32100947630781 -0.48593415867514894 -5.481784936820778 -3.4601140619243105 -8.481749452283559 -6.8621789964665645 -0.9196281870817036 6.986490303633049 8.769256190172168 7.128718436858214 6.09018826771663 7.333599324119481 6.1483314765378125 3.6658912080910193 -0.3252589930758384 -2.279795405420142 -3.633428828598616 -8.536800003861671 -4.7451020117407605 -9.238961942771002 -8.919455792871691 -10.103278219865182 1.5672457715756216 7.873725926731574 7.413295097031102 5.841248149421144 4.155064473238092 -0.03375969385581946 -0.7179405171381306 1.6116159037402051 0.8385665933346147 -2.9255800260920624 -1.2789909224052174 -4.065184378888479 -5.6931204586296325 -4.341577745514727 -9.160520213142913 -6.918848252083242 -2.691482783586145 -3.209629702759704 3.9366660850116113 6.738650430859908 6.8869295664992265 5.616031161809513 4.732113673214806 1.0160843535776705 -2.5299603384653584 -5.330463249996331 -7.301330757642873 -11.721085916727027 -9.302180477711381 -7.142803541319156 0.12000083574728199
10.373613995413384;25;13;15;-1.6359028103736941 -3.2916745450961646 -6.331706856935733 -11.792225384327317 -10.593212470767273 -11.158305808584679 -1.6501538083538039 2.693451277335705 7.506099171434732 8.775923079548544 8.576676340136043 7.328061212881776 6.232234766481748 3.2265035308918937 -1.1075383438947966 -6.9246737772366505 -9.263378207256409 -9.781231275277651 -5.2207170647505405 -2.0076949796958283 3.1427039326512016 5.152026795893207 7.665765604659193 7.576120995575892 7.474339585790711 7.414762786978366 6.262186358534974 3.1527467176815254 1.6919922839388932 -0.6698097339475795 -4.0108861140969925 -6.7312393405455975 -8.435509215893855 -7.3106991986433725 -3.565807919733917 -3.1743223298462913 -0.2569640011503679 1.7524662943512903 4.885372446321 3.8776968221518313 2.706364721935711 1.3599965031796832 0.5108419190666722 -0.6884883328603463 -5.784312788169412 -7.467108042184032 -7.830909339140378 -7.044507982148408 -3.684618430045189 0.5664780851969994 2.3905239693584655 1.5421828257798815 2.5093964163246953 1.7547588204815754 2.7848701280124373 6.178428515342568 5.7333899882753645 5.02953140257067 3.802084345003873 2.613433642593544 0.6552258741338263 -5.333926135334207 -8.930133950553437 -4.069201562492356 4.822354683571128 5.245883793431123 4.993039578120869 4.771635522335247 3.5118933706301574 2.6909939927440574 3.1169598576302917 1.815587574825038 -1.9535407698209286 -6.381016089374481 -6.571009910086743 -8.62607020934534 -8.70697966232715 -7.172995920817499 2.312947265147373 7.041486573648389 7.486019168713857 8.963603670585748 6.74555184442416 3.6687841370197876 -1.3998958833364665 -3.8368361106141124 -6.704833448009349 -12.284786027766614 -8.789280254334365 -5.4524415766375895 -0.15256063530185934 -1.1365081703751903 -0.3204099271245415 5.869906030894966 7.287117604367186 7.937608366939707 7.095742387474119 5.501377018596405 1.2493168316356422 -3.9547151353898644 -3.2575457084206323 -8.630471887352186 -8.07819317385384 -2.986309786175213 6.870510089678116 9.22663820543027 8.471966509631049 7.597022876830536 7.300667813453558 3.9674012801376755 0.30126097918268024 -1.1542387557124905 -4.07388056361157 -7.182888387673992 -10.51552302792581 -6.564227498410108 -9.801078841563069 -8.135425426704913 -8.946683563941708 1.139935307144885 6.208751031408069 7.5888138343374525 5.9786570541566 5.774108119529209 3.057530245363155 1.6402259408878654 1.5385870202049607 0.6963047951017691 -4.078799308299695 -1.3322880229243572 -4.030731940588728 -4.677775823925216 -3.9067006574067276 -8.15043010330659 -6.024237991539888 -2.199683995798704 -2.01257823259291 3.127557288885351 5.5190216581259826 6.3285984587517845 5.886749321456183 4.9320632892734615 1.2061582917888325 -1.2977301531276833 -4.967023134207661 -8.419480844691691 -11.866852790294455 -8.958346444845539 -6.41833953520265 -0.1576437904926112
10.277992072776762;40;13;15;-1.468839818304053 -2.411176099038633 -6.036098513005608 -10.478372865548028 -9.762822170405698 -10.083912924387473 -2.169958576923696 2.3149154937359677 7.4129527056351545 8.815554883629474 8.313478960603206 6.758984443457858 6.2348284508977985 3.380913003537111 -0.6039905989112759 -6.398061891919886 -8.36955015795095 -9.143758344925853 -5.237865515122983 -2.4907504343514884 2.906963976953955 5.3275166526244915 8.097141879927122 7.87865998160407 7.535859386183311 6.9132401183418875 6.587302299171546 3.555419180922519 2.2435804733262037 -0.9248945425468115 -4.475168847001873 -6.813039567890848 -8.074327352300003 -7.228541965635275 -4.042492249938562 -3.285908520886564 -0.24196702313571847 2.1322519457297306 4.914900920551591 3.1692156046431084 1.5589145955663004 0.27486948343912276 -0.06518597852586382 -0.8367059667931271 -5.917000588778632 -7.306885570899892 -7.619858447577341 -6.875739644315008 -3.7927340806554004 -0.05089244259031244 2.0254327893688084 1.3389556124101196 2.735437022263774 2.022643552143285 2.467358477586269 5.143398811082317 4.39431080911518 3.230873196695054 2.0352473134685005 1.1006508528718872 -0.41340455243081947 -5.229941450834453 -7.810802195638116 -4.154800455355451 3.3071690647999645 3.69812227782194 3.443914412226404 3.588521191368944 2.315088603206988 1.8844586994271755 3.3456981876474 2.5294795506741923 -3.175135161452931 -6.557104087172466 -6.58025586961227 -7.251832931569365 -7.406504765101315 -6.597040703105886 1.6431056473846763 6.227142042425765 7.123746106524789 9.068008689238251 7.908917081427256 3.1438428015932103 -1.9730609069360319 -4.087460001231742 -6.7773209077518155 -11.090300753275748 -8.61143645675594 -5.488271931530788 -0.4507441783401994 -0.8212151918376503 0.9051756381958423 6.289962512572483 7.196292023334855 7.561159465857444 5.94803042215608 4.737419000058313 -0.8584432969722323 -5.157456426803137 -4.4046887612057715 -7.8119755124949615 -7.052455359672232 -2.1097825931684424 6.819075525281597 9.42923230788039 8.347496798442041 7.070954503058965 7.263064608801871 5.337447394941914 1.085430963792168 -1.081007099224006 -3.2445793740927975 -5.728450448860867 -9.705839056009403 -7.135599403654829 -9.026343149144815 -7.358567185998772 -7.720970384754999 1.2695992593510221 5.813117077473201 7.059091893840831 4.6830761965486545 4.728495250322063 2.2270840976244988 0.7986310212774027 1.0533977086025037 0.5386128972179878 -4.223883486827641 -2.3115819578661814 -4.527211295309694 -4.312889591630898 -4.0235681661377445 -7.257063447284694 -5.858482628399079 -2.368563158489431 -1.7815920891430563 3.1833308987162874 5.331114545951827 5.731056924952369 5.055758444316758 4.886389181746771 1.1095234526739877 -1.7503307804085848 -5.428476266673675 -8.15981315857399 -10.690585243370894 -8.876786309027935 -6.656078165877867 -0.7491559388143292
10.31024554947918;55;13;15;-1.3347350427333016 -2.273394530497222 -5.7003259881289035 -10.318271483903917 -10.07653967877759 -10.452149303389294 -2.099608627694753 2.8753745431317 7.9516561570181565 9.280349811793336 8.32472707469406 6.644630588633675 6.096980422237865 3.2105116953569817 -0.46466491998526976 -6.388974601577847 -8.086985395187991 -8.85208611021418 -5.299319899273268 -2.1728859537673006 3.261392657404972 5.7945152034616605 8.415482368061774 7.789280517077387 7.113448615699919 6.514121705627528 6.68978171418058 4.422751912296649 2.7797474795051813 -0.6154827625603951 -4.280419126289803 -6.4197473762473685 -7.685197443053194 -7.215670276083555 -4.492415769696524 -3.6196764554867915 -0.36087039493458567 1.871734544379401 4.806258112456765 3.097178751463399 1.5043760652677989 0.37191539230537773 -0.06843526069485034 -0.8818350839499978 -5.734517109418129 -7.147928277578826 -7.786465265744455 -7.27720677849547 -4.305918238360767 -0.3888165268144939 1.7254018899076942 1.3490416313133562 2.612168812589205 1.9123096645928646 2.2679234924977414 5.290338305589118 4.97312729151061 3.6347555124601425 2.3335032754187117 1.1819019143424891 -0.42706415104473266 -5.287039391613535 -7.8483692125812885 -3.7899928617354055 3.2236913283898123 4.046846870718315 3.87793343409212 3.8173496426986038 2.2328645621216316 1.7796524843523882 2.8775562444046585 2.324718013259277 -2.397404588196344 -5.687168972413894 -6.3069238439428785 -7.77479125016108 -8.042075057086201 -6.665097952225176 1.6138598896268574 6.344129944879341 7.232630745940939 9.010504332655849 7.668186701542327 3.144181365443065 -1.7442783861594875 -4.097161090783589 -6.505662563601232 -11.207483512621327 -8.73949014292285 -5.993871632673685 -0.9029210353758369 -0.7024129455463516 1.288277945253473 6.740633099736035 7.14269176376722 7.49582464588642 6.226563039089528 4.880464488353683 -0.5675462273340592 -4.868621099663783 -4.412415532891148 -8.056353195847699 -6.606038220094109 -0.8665191582592199 7.731019002286059 10.206172666848161 8.423610684128171 6.796854880418578 6.876934103856962 5.8015620637774425 1.6922703029687327 -0.8991745636683498 -3.0509511243859495 -5.316783948219007 -9.33086480404912 -7.059496652648242 -9.698572285772649 -7.9929133591514 -8.028106601599497 1.1642932885420583 5.778974670406976 7.410912971526369 5.267640261340692 4.995780797040864 2.033445931093683 0.591199857452367 0.8960106660660542 0.43187024828408205 -3.382632698406805 -1.739633137037638 -3.9658567741075887 -4.251100819135586 -4.150848340035155 -7.692246391121391 -6.187351304000382 -2.719275117704865 -1.7622494109831697 3.017258197208503 5.38362743447034 5.941330824658545 5.137108413057987 4.642415478486204 1.2323900309778528 -1.4888599721223847 -5.089683459970929 -7.623378398147875 -11.015618369828367 -9.206201627803054 -6.966365497033037 -1.020984826240256
10.278828458103137;70;13;15;-1.772604314999433 -2.336256755692227 -6.244131210495017 -10.564859401145942 -9.308468092065826 -8.979627601122118 -1.704390658428437 2.0835345911004413 7.142691067849748 8.87187409275802 8.3861069956749 6.738107615232186 5.807392112394416 3.221221865242414 -0.6560697568657151 -6.292120983407918 -8.080438899534172 -8.404277135693185 -4.663318834373561 -1.8811938854076935 2.5441797633821155 4.46224209717214 7.722879551540119 7.699886438283804 7.522587544085516 6.820333048152485 6.048715761923746 3.715241151701846 2.358590926284688 -1.3682807875574525 -4.881019217376189 -7.05394531897858 -7.955176538345197 -6.9187355134528685 -3.535988899959001 -2.54744857054323 0.3054488800412689 2.5113310668952935 5.12218829042909 3.132798939280223 1.456416912723641 0.10144554471148559 -0.48710682310936415 -1.399777664356006 -6.548368235153504 -7.519256617906247 -7.605619976111717 -6.625558009250477 -3.4978856786040855 0.16500577513034292 2.2324444019482512 1.6037182843155897 2.856676458529733 2.059337714597906 2.551234800728187 5.440756691535638 4.905146245354443 3.407010256674776 2.047920318582124 0.9257095530874633 -0.6366737540295795 -5.2984931493172 -7.179388618710129 -3.3038642355258747 3.744170093030793 4.106750054824765 3.6050906384051498 3.7351910178555627 2.3679052597017836 1.942930555274245 3.11393470438195 2.5002134373303337 -3.368421367722567 -6.714110723821092 -6.924603489572035 -7.405810935382291 -7.160633642854872 -5.724061297368507 1.972780717356008 6.637708993462752 7.426731871569629 8.623531767570498 7.145340425663513 2.6768950527314566 -2.673845973128121 -4.7915137917871755 -7.377403584198188 -11.285628781406583 -8.33298595808412 -4.891263122555758 -0.04157106300881854 -0.263670514327775 1.1207352050769592 6.345386771832757 7.244864975088821 7.349107844970479 5.931707677863499 4.436439913042365 -1.4736489559904262 -5.261655453884094 -4.205182444576421 -7.166451512916095 -5.622616711639502 -0.8267477357355834 6.729376634635523 9.606934834212115 8.611932911074039 7.318988536806637 6.498628494960902 5.24242960706164 1.2149098889405863 -1.6268259587937268 -3.621885297541136 -6.212216435254866 -10.373054107255527 -7.518998432524343 -8.77159629546765 -6.620934333570242 -6.452710203199507 1.725564386637275 6.307053549753532 7.352100290097663 4.960619218837717 4.9120473109599585 1.9049661694548816 0.7576774959388447 1.0597500432817908 0.45102020079922234 -3.827528910351099 -2.1657514078501174 -4.6444852198440305 -4.358081428349882 -4.203048413650256 -7.106676377624389 -5.410829539391683 -2.0097399331856494 -1.3897628900039078 3.2565341095781273 5.627006128292828 5.949058292261394 5.050549850001779 4.463188544933296 0.913428523489627 -2.4824839786670108 -6.220529169451194 -8.614357222383564 -10.790526647361592 -8.462354232354581 -5.850834495387974 -0.37982540356803934
10.271706927094398;85;13;15;-2.2186117331662456 -2.345285414987297 -6.047181694655731 -10.152185212005438 -9.518484850266308 -10.394025580257313 -2.2741292453676927 2.0368277420461363 7.474131506466751 8.542121254009253 7.663112767258071 6.1781063055532925 5.732786627827628 3.3030464496991647 -0.6538852284280289 -6.8395463684604545 -7.80929414247751 -8.102111857347168 -5.069221398558234 -2.413943240884439 2.26717903478267 4.354075296627778 7.426382520998968 6.99246197145546 6.548956550577835 6.188607004279822 6.595922628890251 4.582343882351665 3.0393744544508063 -1.4063881844171966 -5.21830710254695 -6.73166663387306 -7.501518377476761 -6.773652726759865 -4.1119047983334776 -3.509669649147947 -0.5787518904591558 2.0657166681204755 5.684345900393235 3.447125723398355 1.7262611740055525 0.7712119598924249 0.3027150117495662 -0.6235295692929501 -6.198610552770779 -7.0743148233675734 -7.417606040605696 -6.961579672581957 -4.314783531029416 -0.4950903448468602 1.7013050515416779 0.8709330190137299 2.296941163304296 1.4103626602781774 2.135094072683084 5.955401580013552 5.441005134072941 3.4146987528992248 1.99250093074415 0.8919693863197291 -0.7560717491712713 -5.484320164169227 -7.136181190660951 -3.0487725547416122 4.4436336119446205 4.289586712302023 3.2270543495705373 3.337812050861063 1.9883433457904105 2.075242734428256 3.858624507929598 3.828819058545375 -2.9963316936813933 -6.115134556154306 -6.731917164162779 -7.722490964430091 -7.844412225838692 -6.614110862762791 1.5396399433392467 6.726305550834067 7.517501083286774 8.65328293539195 7.872414122297913 2.917847778248511 -3.0873834478919417 -5.038720031702573 -7.020926818628728 -11.116947433257113 -8.46115934205612 -6.091971639034959 -1.1221516539084737 -1.4704545208171573 0.5536471503122011 6.723090412116023 7.29135852543813 7.475536563841585 5.9689705788716525 4.683696606974442 -2.271992778730378 -5.7118900487517905 -4.342153965181078 -7.494731790295297 -6.125280336970402 -1.0873994491579007 6.760798004388426 9.001354409741381 7.575430645444226 6.22834945923871 6.589611353341779 6.351734931007216 1.9775011255647725 -1.6146442714149383 -3.7076609534419767 -5.760088596906122 -9.757719703505117 -7.08460535501773 -9.50428813384897 -7.975509159108204 -8.292651277357038 1.1162253119033045 6.872516419748272 7.987192486779672 4.76138257022855 4.6158724902080825 1.230776198361588 0.4904054761158946 1.715890089908078 1.369938380176648 -3.2270401660601427 -1.3209968489399577 -4.236348760576041 -4.505713360740764 -3.970403202948494 -7.237714157908829 -5.688814817233845 -2.6045139771805235 -2.196152040651788 2.9263337958952276 5.93046476925951 6.210847830749513 5.311192168538232 5.11279305660594 1.659396379473571 -2.36341162940711 -5.938007553571462 -7.865838132949328 -10.739513113035294 -8.876468274743488 -7.1293277954022285 -1.4637601427006584
10.402535369866234;100;13;15;-1.3672096835792253 -2.756880758067702 -6.823644654238094 -11.13682561991127 -10.478180096408437 -11.062131405866875 -2.3536369465826583 3.1828381891465094 7.708405164051678 9.204985429223946 8.022616077910815 6.348806510287404 5.8254737880960565 3.535132490712626 -0.3235216351083931 -6.5054809291411875 -8.499188448200329 -9.888143684579749 -5.965209575695035 -3.0222417450192416 3.3876390458985606 5.249261428878747 7.811757259569895 7.702118245614706 7.302338711302481 6.29292712100081 5.642120759854992 3.356561459376549 2.4978560168958373 -0.4601738165833439 -4.3648881971380185 -6.8830662634543085 -8.430678156807133 -8.113716977100871 -4.793487413736174 -3.726560332172557 0.758755820060838 3.5519890037058004 5.559632270130489 3.940693011460088 2.689650524065446 1.325537801622689 0.8089165075258902 -0.07618786831635486 -5.39344621687263 -7.003985403704038 -7.93893312864436 -7.897175296688187 -4.454852580299445 0.5498126885394191 3.247963537958631 2.5161328974482164 3.7999356998108076 3.204834052666254 3.2355003519626457 4.98341747520203 4.24878715870402 3.902899821338698 2.981670021595365 2.1727212864875356 0.6566100974793586 -4.6588044177363415 -8.0105416446204 -4.952311786820196 3.2805227327773347 4.253890669480811 4.597607092293982 4.511916686283393 3.0471026179711265 2.4153442139360415 3.10068756735439 2.1420828238900014 -2.7253854470834598 -6.290734019887343 -6.341316781298822 -7.711157948407721 -8.444599289905781 -8.52168606821698 1.084244250523998 6.832242283841206 7.697720047195217 8.238816758762496 7.011248959514403 3.4880376676679945 -1.7301484778194078 -4.272453654911722 -7.509158159478209 -11.91165595710564 -10.168119634348958 -7.07475812279688 0.14547158918128486 0.5240987119491486 2.449242353969792 7.066856940987138 7.1770833092882205 6.544128275160998 5.644393626316709 4.684853569770707 0.45124224196745305 -4.279374206206438 -3.997721443289797 -8.883319582249797 -8.712704279447198 -3.7143675101142257 6.281178642247991 9.828725124194385 8.700079209841334 7.118148842302012 6.29649856946423 4.675566551114366 1.1866391115602521 -0.9199996330320837 -3.691605441458428 -7.090755873630299 -10.209483577016297 -7.935965736546147 -10.235193552081107 -8.65167370903702 -8.908223684882682 2.2194490130659834 7.281905182506115 7.769008441134395 5.185160470584583 4.963047274895565 3.085008894681625 1.8253446857333362 1.267377368844088 0.9970755418247061 -4.325086937152793 -1.6928500850202106 -3.9711652325797187 -3.4711951558220195 -3.6882173672487313 -7.601698481160163 -6.7216871773326385 -2.428199632224952 -1.5494856925435554 4.232765050759101 6.145100331717925 5.696033486367303 4.974214662559732 4.6617219689375755 1.6637968396248421 -1.0860498912014143 -5.073051380362294 -8.231556682539487 -11.138977396732958 -10.191193474031959 -8.248957402995327 -0.2077423673233375
10.290731511008886;10;52;15;-1.0860166611421531 -0.5544449720064492 -4.62107559998106 -10.695389857593703 -10.897841992879652 -11.0816254460768 -0.7074051965173968 1.1992392193187429 5.97531804212864 7.463566087415377 7.318364994752229 6.5475556687078305 5.2999531013745065 2.910134228995091 -0.6082644455775872 -7.779947302706965 -9.453205703692998 -9.695762866940452 -7.016830648391843 -2.70554884149822 0.30256782520435704 1.1073400116073504 6.26117310269656 6.274547244662657 6.058789167322813 6.92068365161639 7.755790184681899 5.859007963292245 3.8619182853219147 -1.1226908159694704 -5.222075495654788 -6.857945034570335 -7.71674616570337 -7.0994144788099325 -4.415504362588126 -3.797588105018681 -0.8911496783361451 1.9408763808779277 5.859057373432717 4.978643481347965 3.0846884246860276 2.3434378452822267 1.0724929881012941 -0.4470739530906767 -6.5280070817741676 -7.9721590124007005 -8.92739690713827 -8.298842159182954 -4.845602933378496 1.0666712904939786 3.301470544585093 1.6102101504479003 2.038058298115007 -1.1749406476837798 0.825404097269518 7.304766767360328 7.22880807127033 3.862771132183162 1.18444470979344 -0.8027114421895823 -3.0617559390474973 -9.430804816204876 -10.242076175873628 -3.0504869474325003 6.533845398603027 6.06243159936832 2.2760648570167277 0.8689315603658739 0.6043919300099997 1.8705100775884056 3.2766833560874105 3.1327425699650364 -1.5827399349368578 -5.5022073309376 -8.204809790442233 -10.501766131350418 -9.256054371786995 -4.775135722055616 4.817944654554625 7.35673440453997 6.551643487935057 7.840649665231592 6.96979106798842 4.24285446226001 -1.0167895747533753 -3.316215030850223 -4.9926857868844134 -10.996460457757145 -7.691469051305794 -6.340041860491147 -1.3950718704141414 -3.308240860503749 -2.5852748167445134 5.195733544728141 7.46270593342068 7.734934929897841 7.1874872754862205 5.562670645810788 -2.031181846398129 -6.676419137650532 -5.6669365637667735 -9.54373134429514 -7.083373581093284 -1.5395116293635365 4.235757147927549 7.894649381427832 6.2845601052417095 5.187535288955865 7.193865359111951 6.2763691566028825 4.125906923019778 -0.4876353289340794 -2.2711286232102195 -3.430381683874588 -9.169596368805408 -5.024632574328251 -9.830793125758532 -8.901939550115593 -8.221651689168507 2.631253479346556 7.223022909330265 7.080821220969014 5.62038482151083 4.625843247780113 -0.647495575174336 -0.8931333910884796 2.0999103991002195 1.2298326212600017 -3.2285134233471773 -1.4727164265786992 -5.226554420500963 -7.988332134436923 -5.22018955930719 -9.019450086590219 -5.467440685899495 -1.1529374770305851 -1.2326572590949714 4.084027305506104 6.6356560369220094 7.245411966221371 6.245152386586583 4.855834577204545 3.1195598053035845 -1.484294405551015 -5.1708309167279705 -6.965655661212169 -11.627613065633344 -9.053011402567794 -6.428249399995928 -0.7137462225377731
10.073430973281097;25;52;15;-0.74862491028878 -1.7809565425122653 -5.5033207988919015 -9.51134891251418 -10.27026431305423 -10.501625556021189 -2.471868279578326 0.884181547876233 7.16560971793662 9.164930507320381 8.926218984020093 7.132876543750057 6.329898432588431 3.615613606490766 0.14357034264931592 -5.918438354274623 -7.97480071512228 -8.909380995637683 -7.305908502769992 -3.7252099043192315 -0.19087732934113838 2.935673008361927 7.671068495791552 7.88658648160375 7.763883008957253 7.763464762556919 7.755554964576553 5.029782628777859 2.0846795493203247 -2.2088960293474984 -5.876317253398359 -7.7374260492846245 -8.717627199640152 -7.87561855709292 -5.360695296790546 -3.553609182377078 -0.06283182020451457 3.2742967071191136 7.749757276122002 6.575404198162369 5.002339123291697 3.969777142385165 1.7343738319288422 -0.769438410024551 -6.241394167079852 -8.014672610730855 -8.786420033526753 -7.70573257580039 -4.6469776482679865 0.10911947016387563 3.016676410202381 3.506515320410884 4.966827846559153 3.5996791841472473 4.7637918365146685 8.137321371058075 7.230379452920837 3.0932777860772527 0.4404218996473234 -1.6255085870202943 -4.02948172485129 -8.376215655492384 -8.73719918260688 -3.4867795316774046 5.538569283981207 5.380260585743522 2.78312563689091 2.8834428363161857 3.3367720021999987 4.257890455147902 5.295549335615246 3.885106255470233 -2.6095809522900644 -6.183329596932941 -8.307438131790157 -9.605340918041556 -8.386885462164475 -4.496864770091428 4.600465573307914 7.992047207060424 8.17285352531476 9.500051653443819 7.202088319954463 3.1306990083101587 -1.0942939035474382 -3.608565785096546 -5.89207839229149 -9.818858141123368 -8.525755097672477 -6.750766784794151 -2.562954133744975 -2.233308118328076 -0.052254744535494516 6.94948628392427 8.802320621075136 9.567525027804574 7.312494930880649 5.23521746634639 -1.461466746673534 -5.559808420048533 -5.866181911344334 -8.36496197406176 -7.1526730428990914 -2.2752942112148804 4.955709173117986 8.74837101093684 7.930831522602842 6.808517761322409 8.160051427510187 6.756894603291129 2.705173311224609 -1.4240251688545884 -3.6331950003282127 -5.193290957201164 -9.274984718845054 -7.992524341284866 -10.31085439549333 -8.025296486849829 -6.574940451965426 3.118411193516976 7.907734021725812 9.08542819946582 6.939321017418974 6.480149102424334 2.3114660048094167 1.397571349194409 2.60968282140186 0.1621627347853084 -4.25557904806429 -3.5886743760104305 -7.406673177129403 -8.788405486072765 -6.283177747982467 -7.5890557484565475 -3.526250578822432 0.7421957679104967 2.115656401788346 6.298683054407074 8.04527932628567 8.189941082908454 6.947962224661821 4.843781286599237 1.5646578284787112 -2.6381427971528275 -5.916567032193925 -7.897309608760175 -10.621767356455322 -8.86408999067902 -6.172521998601507 -0.8093370984557768
10.094433431044877;40;52;15;-0.7591120386246166 -2.114016555064672 -6.123149437672859 -10.267509175784806 -11.230500982989142 -11.889446446922165 -3.647860069203828 0.7370781648049086 7.81328410250223 10.43966898461749 10.41385183826208 8.43856734242432 7.026791580321502 3.729194644962916 0.2924693667763186 -6.075819394522881 -8.704422861537086 -9.960282489669023 -8.770462645906676 -4.82697461450304 -0.34566659894639323 3.616807104954282 9.069846607280319 9.620616571700587 9.472955410775906 9.324924021756416 8.996271428529997 5.350569614783351 2.103078041450838 -2.3968468103429865 -6.60369158638042 -8.617337140996263 -9.222470090532862 -8.273669432406091 -5.759660607661188 -3.5458643168374433 -0.16594939153485724 2.878501996248343 7.0761836269393505 5.986698380539067 4.362468757250793 3.1369587859657444 1.2844994613422995 -0.9434616206847803 -6.510774773346418 -8.139833367969 -8.487992527919832 -7.710948477248818 -4.740349243369574 -0.4058253587442289 2.2064193502482476 2.9283547402322836 4.336736860785633 3.365946950355099 4.414190735563017 7.946193204867368 7.0099601203573 2.3343870906074384 -0.32388203336891414 -2.326452322395871 -4.420706345687126 -8.512200017163806 -9.376915054969121 -4.092144569690728 3.8207088363332353 3.988607973244809 2.2415767529465658 2.578603321106802 3.0983360622184004 3.9217824980499643 4.932213955406028 4.158802941894658 -2.7704807252532815 -6.362829678093388 -8.298900616250553 -9.811432701703122 -8.97717518795277 -4.832034630437867 3.765751537696296 8.073958085283635 8.67843200097478 10.49099707364088 8.534835694000769 3.1799257745285407 -1.1867773339761027 -4.222106113605588 -6.665661645377042 -10.620605174278019 -8.982528881060542 -7.362524172741369 -2.8405627462557215 -1.8173660747210683 1.0980698689496913 7.718825136351521 9.947484136612768 10.72843645980338 7.988122232521515 5.111417227764907 -1.894313321579245 -6.175696774106208 -6.706072877025981 -9.746669229976149 -8.34218529113906 -2.301481063726993 5.171831215295392 9.889351366553658 9.29021513786844 8.144563088265858 9.355125448181887 7.9798603003006 2.8716980111300923 -1.25252770366726 -3.879842766472781 -5.874908020518697 -10.014555701431537 -8.337794051894285 -10.604945639335721 -8.484451003907683 -6.794862899454356 2.687137218117347 8.04352352650523 9.765526074943203 7.415936799752681 6.64055807959082 2.1400229081745445 0.8271638985754172 1.6503277049238931 -0.4286286605102095 -4.713450989222284 -4.249646699579016 -7.244468036969136 -8.151846295360965 -5.8553040253482855 -7.223015684994585 -3.2931380595385993 0.31058601233089916 1.7270188541525806 5.460219415459347 7.5986394931166865 8.100743948759288 6.688231905971688 4.628511743324342 1.4481024387336343 -2.9657221116589234 -6.716474059554095 -8.550078109216713 -11.260949460116972 -9.331554458263316 -6.647704190944052 -1.0038268070025813
