rmse;hl;T;RS;preds
10.45234717876864;10;13;15;-1.31567073156199 -2.2953114073839584 -5.756605182002839 -9.988693320440483 -9.316695228413167 -10.598715090213933 -1.674753447092934 3.267647563638258 7.822305976601954 8.925467393150939 8.70584071058737 7.36458365770032 6.2460563833819815 3.4958291596782156 -0.4997497297923482 -6.397278984764518 -7.736928468292547 -8.173261067792058 -5.069188690437077 -0.4839607542003603 4.01744714121994 5.493010002837305 7.333223528684904 7.5006181254296855 7.244612357046689 6.325345044572812 5.446645893137683 3.8728299233153285 2.6075827164524275 -0.978241575144527 -4.402147270600079 -5.970150589742246 -6.820603494887909 -6.230448777089073 -3.8792508886633223 -2.876555249919765 0.7446024245060975 3.351866104196756 4.790173719898152 2.769365782666268 0.4966951782227522 -0.9965040154093738 -1.2689452667153243 -1.7492621991311914 -5.314283864702866 -6.016237028370764 -6.7806028545471175 -6.741902188042973 -3.922058164166424 0.7450939162203006 3.652266187876468 3.4706508655615846 4.299686910523739 3.0443095531995095 1.9825708843441996 3.3586050210314267 3.607690238119707 3.033703422976057 2.068295564290257 1.472827690576359 0.291248858015942 -4.353885741914581 -7.277002874676339 -3.287334455785541 3.766989226919249 5.640270315298438 5.917615349066877 5.867368019876631 3.6906905751444525 2.251173802836433 2.1932983482623856 0.722788630394818 -4.330425320076196 -6.51317638454035 -6.0550212049714816 -6.809061007706636 -6.9292264693347985 -4.066267574432773 5.2202674192662215 8.4684249856189 9.051712389809584 8.415209568412969 7.636867631657726 3.2378177571425346 -2.309558229859239 -3.832618850737197 -6.149535844519906 -10.884929940114588 -7.779182489405854 -4.797303825149541 0.7837443896768181 1.868538891350557 2.994370167490375 6.240728439220651 6.368327691278715 6.016147520177914 5.460477600841251 4.094387776862138 -1.490198395399328 -4.349604457630294 -1.9390611629514514 -5.916802252299272 -5.042209013945628 0.9174560588658911 7.532480010942008 9.265914395683293 9.106493621326251 7.647110145002352 6.1123490636771045 5.142953423900597 1.9277879130338553 -0.9412372074770123 -3.4304690215172537 -5.333139748591482 -8.758474771543685 -5.511607436183051 -8.850784744542594 -8.102182145011785 -8.33198383692525 2.0796228389934877 7.348964485971363 8.061789272378068 6.431780750406971 5.818179877077913 3.348430359640266 1.1609800254605414 0.39170750266728754 -0.6247996621731666 -3.8949831469813883 -2.5594759382227275 -4.224553307393901 -4.129143370018471 -3.658979786521202 -7.095092135394831 -5.744555370984888 -2.2824350203893067 -0.5094585614260653 4.19952281294218 5.9153278683382595 5.592752722389908 4.47584937149117 3.679093110482936 0.10874605607189664 -2.2775916087674655 -4.8794958540312106 -6.759295253406625 -10.021165525575256 -8.606802342313632 -6.4098305522793755 0.30340671022133375
10.329245047780756;25;13;15;-1.1073028628203987 -1.786864881844775 -6.043347189388107 -10.932738774484914 -10.121415221005805 -9.729475197009329 -1.3633227235321916 2.1943463999743713 7.225746730313474 9.383966355950697 8.102786466537957 5.689744132219181 5.466172293510029 3.3568318233142027 0.2331413584600121 -5.808747146509075 -7.391817426866614 -8.329382497417015 -5.042664491930684 -2.3254251482080286 2.0621433058840086 3.3916548376674944 7.136790383609425 6.64879913428759 6.470088919457225 6.179347822322338 6.701978363785005 4.5914617930624475 3.4054173015826543 -0.5649903834305188 -4.25843857295443 -6.4887663833121865 -8.248860670466794 -7.8600202628881055 -4.212504540252157 -2.5679398604897257 1.335889747989699 3.434607559922126 5.707149028179848 2.918462273375791 1.5400193923405483 0.8757630342242462 0.4675703796204377 -0.42610891732549994 -5.827953772803296 -7.163079792766977 -7.982684764156202 -7.259709325511102 -3.549802513808312 0.7962433284328986 2.877193845381407 1.753111757806049 2.8230184100236286 1.4463812608473998 1.7888909627650968 4.974700760913532 4.253136642900508 2.48237829039295 1.8659276350183533 1.1647288458894947 -0.29109014114569837 -4.895061788073603 -6.782135960736696 -3.131484086015711 3.455405053556054 3.442014209570642 3.018949972581569 3.1165496142808786 1.9845168435737084 1.9944573287357303 3.2818070484708737 3.3903520801609623 -2.9419170366928076 -5.501607450077221 -6.152251314493458 -7.574717064875037 -7.931599550330344 -6.84417491556299 1.6029606041685616 6.918461587130088 7.601061981834763 9.557590805899792 7.668931333236765 2.6158058512743083 -2.1238810112429394 -4.546023684356345 -7.4744938143084045 -12.482611703702442 -9.631075946135336 -5.653407928122017 0.9277428499596375 0.535039578476363 1.6235949051554373 6.563350211639589 6.6246507980286875 6.907475138008494 4.973172526146254 4.318698331967222 -1.8474403222286342 -4.611544314292243 -3.9279167453997257 -7.594381604865463 -6.398453693456306 -1.8803034590029886 5.781507810003011 10.423083879438177 8.078604726240425 6.088518761702649 6.88462747150371 6.81707893805604 2.43664398600498 -0.9234282444344913 -3.1690507550001477 -5.875757735751323 -10.716929199252185 -8.487192222827677 -10.358450279117395 -7.217103170157246 -6.336957554257734 3.511597605704796 7.737538357158492 7.912566472647478 3.969436838741632 4.208827577494043 1.1628610033961546 0.7856535522700248 1.6398261363005242 0.908682366334419 -3.0233089344616917 -1.0732752821369607 -3.5424647599894685 -3.6991721521253744 -3.8531174478171426 -7.589421105129052 -5.76623772368375 -1.8754240336520003 -1.026974239958188 3.936414858804422 5.794622374752262 5.518432911945146 4.645300056405315 4.704367443628568 1.9110557952887008 -1.6819379250886932 -5.387901494418947 -8.272169730255143 -11.915252458598033 -9.744312157500389 -6.765589131018311 0.4544659056745223
10.394355556624;40;13;15;-1.740213880167553 -2.724656473532128 -7.027448261253574 -11.088661171713039 -9.885311300470995 -8.718867324574255 -1.2185727593699032 2.670737053006069 7.416488662307532 10.414583247524561 10.490244786854255 8.339935655114868 7.674790262428803 4.668444183752932 0.03366975071454988 -6.745765921844397 -8.318220677092619 -8.506547775460785 -4.754894266481366 -1.3982438622489564 3.1920350864902995 4.974131500421896 8.464153444179214 8.897760134943102 9.021666848897716 8.781061038240175 9.012767456272964 6.2675449230650475 4.128097671219865 -1.2761821125008093 -5.7344196809721275 -7.77997374757088 -8.741594597356482 -7.709139787740551 -4.211800967688533 -2.6531660895468656 1.0008016579461538 3.648730231204091 6.379110932498649 3.404893971644133 1.0575911333060217 -0.5307606387216279 -1.2806967031173961 -2.4206826796572134 -7.987348107132309 -8.803248013903598 -8.748462606882104 -7.442883155003271 -3.7591198749499966 0.5733199108277593 3.1300657234111497 2.5189912044827807 3.829684083962373 2.7751893940466297 2.9654032986592345 6.181883745588258 5.909874659032071 3.7486723311122616 2.114876104323496 0.7677931783243013 -1.0807253396377574 -5.74269553154247 -7.003124553791869 -2.8074976194352823 4.100127356207825 4.794373233879545 4.352218588813981 4.3938706413144955 2.6437754703688774 2.4059797744610023 3.905727681983887 3.6642533663219896 -3.947288304134677 -7.211903970728132 -7.899519146731991 -8.163107631883776 -7.250885091973267 -5.118772810277042 2.5100761537149228 7.519329954401714 9.080615930150824 11.242191965752795 9.703092534910603 3.3655572365710937 -3.1637026292321457 -5.756359175176685 -8.107453023940455 -11.841492165800307 -8.651135764831597 -4.968034302293661 0.6998450142686587 0.970229307508406 2.4745659208585855 7.2130023936590275 8.413359123856416 9.220807112937091 7.176081188129349 5.615230160799888 -2.1307819028690878 -5.628084187253855 -4.480994372155282 -6.793320050420178 -4.661515364246329 0.1383446113666032 6.64659237998566 11.090841050394548 10.397146339360209 8.811108666904456 9.107167269438602 8.653536945269025 3.1487100483884483 -1.4164079171812787 -4.184389474406057 -6.643912136642186 -11.011474877203423 -8.2753674710364 -9.535988566507918 -6.816432165564109 -5.783791545983305 2.5933235414420284 7.546577907078402 9.077588689150069 5.974818373384148 5.752401061760112 2.085684454149081 0.7784802089538085 1.3805549491621723 0.5668990282775356 -4.181966985687981 -2.826605599427926 -5.681997609683638 -5.615805419387801 -5.348587724622465 -8.049269451905928 -5.842348129782522 -1.8785321750588106 -0.6445358816631516 4.375765652377561 6.924842454425704 7.127478311924111 5.976163581856437 5.459211726960705 1.2051449489607347 -3.4268937455077406 -7.347033745744628 -9.414986612079087 -11.790130672738286 -9.066553956561979 -5.994598170513867 0.2624659288714714
10.417839366732569;55;13;15;-2.3652886928069465 -3.191975668344262 -7.197993276391555 -11.357979841324646 -10.468175586839045 -9.155307791281839 -1.8725812107811755 2.284992260319704 7.15445555270441 10.087268903595714 10.003277928050377 7.7413610318291015 7.074438961838456 4.163900189414206 -0.33403986225623467 -6.731181579395468 -8.239991202293318 -8.14091204004973 -4.34628771496142 -0.9339914017540827 3.338582779460681 5.0396517823990585 8.234695535496638 8.334444170347748 8.203191351564634 7.861818778795268 8.32859428808284 5.9107515150460825 3.8875263084771587 -1.4177633034465884 -6.003920680961252 -8.169050767089857 -9.049363403182515 -7.892984481675186 -4.255343827958945 -2.2044973089899056 1.5352608826502223 4.272335962061279 7.102012603891777 4.447646620043669 2.2064306589071587 0.5324617696776303 -0.370461225062052 -1.7816298426658819 -7.591043984672446 -9.117682317271068 -9.259115016826378 -7.881539422939915 -4.051539872984728 0.5392124301196317 3.446893982880366 3.2746676311313903 4.505143321533885 3.5487853476260347 3.5826062408204558 6.591051206590183 6.458542952688595 4.4210068992370175 2.725492361596923 1.3427854202348115 -0.4729078449602444 -4.847308627100991 -6.212070988503335 -2.2600179528199744 4.587822492645563 5.460722215832462 4.946534893092017 4.838066760282523 3.0682292805690445 2.783927159838639 4.326858660237305 4.267314569546117 -3.085005149933302 -6.975287159016873 -7.943023035624001 -8.400109285956741 -7.616520131466852 -5.212535510997578 2.3739496508999594 7.440454668188917 8.980365538802808 11.348947793623818 9.93027548937905 3.443990963148262 -3.5878678076610337 -6.417243465185135 -8.907616844847585 -12.559125046017176 -9.696173458248602 -5.728066302416633 0.2184950358612836 1.267028192252794 2.955804508975689 7.450551734782013 8.393242237509554 9.15745426592472 7.184010471798915 5.595450446467938 -1.7495271697084416 -5.433394663403064 -4.261130033775217 -6.084924778719177 -3.9879354518064343 0.5243164036331829 6.546744924853605 10.688449737812018 9.639763349092263 7.8315359300256375 8.177847429089802 8.16835302702697 2.8658436054016194 -1.7671020435115075 -4.833009958774087 -7.532772727036518 -11.941982648675971 -9.886369095027579 -10.77630279016287 -7.966243713893477 -6.298123967516544 2.1110955326599083 7.378209025873607 9.121473244898954 6.242270592337357 5.922186135019283 2.4959010107391997 1.064766912333388 1.7090457415764841 1.2665442686410926 -3.2320476402258755 -2.13249107617894 -4.970628682627182 -5.202379987336881 -5.401834806073345 -7.879766225222691 -5.824124486916708 -1.7744916431819733 -0.1742262424865645 4.647680094157633 7.237699112885423 7.571349785391713 6.563073236485957 6.071358132774457 1.7559404883480771 -3.167193699227615 -7.666297716363878 -10.255270771132096 -12.646746623011005 -10.114898649803258 -6.626766817898365 -0.23623292414012018
10.367420220702728;70;13;15;-2.2952727839642937 -2.9957871382599928 -6.6945728408104666 -10.871960822116868 -10.052799150156947 -9.607509396882556 -2.4410800207450642 1.8832236198947405 6.8984463047340565 9.783966496101371 9.218193942831839 6.810965303069457 6.2990887742929225 3.513341922846956 -0.6925616248103575 -6.374890623790883 -7.773940839010982 -8.143137584123387 -4.6676606634778635 -1.8226468704737087 2.5981278077061014 4.203066076748008 7.424154889172894 7.395988325433908 7.304294239397222 6.711077484724059 6.833489367950023 4.390094245155736 2.9166734175154594 -1.545874576784263 -5.379179908708149 -7.37915660030874 -8.460997889202748 -7.499639400303878 -3.8057327751456573 -2.0143963169870416 1.7198615169382074 4.28411506118284 6.785092483316331 3.933691385779949 1.9777911491709945 0.491794614378569 -0.13641517598512723 -1.1901782826590208 -6.405256286739613 -7.872992164555712 -8.330620534598701 -7.383078791177765 -3.7428559356837523 0.7611271588447633 3.5074095743616818 2.8062915116595097 3.8964437949561668 2.783849217081838 2.6546994608974095 5.452158255428944 5.025092145020366 3.459695732726206 2.120355410534864 1.0102159425100847 -0.543253749168885 -4.622453168615771 -6.329178588761998 -2.9386634485344665 3.828922054331148 4.595604241811183 4.434831995724607 4.448427439446622 2.4591351687850205 2.018383667321244 3.443800281761088 3.328839238943076 -3.049352601954056 -6.2917493634781705 -6.874242029916473 -7.566216432961419 -7.5973810091673615 -6.2163411381080795 1.5542886581542832 7.093910036771822 8.658687430475137 10.862784719499452 9.114120876813214 3.062630972470061 -3.303632495007886 -5.605639804923769 -8.1638160758697 -12.221765133388121 -9.659867443763673 -5.688614740960807 0.6355886489041535 1.2325004208867598 2.5850301189555327 7.075593488923571 7.429102862394819 7.862901626380825 6.03023219388235 4.7689398860096315 -1.6813871064100498 -4.994739787301363 -4.010959533390229 -6.59870742544998 -5.364796686408466 -1.2644093636261746 5.555849262755752 10.320638564385245 9.080356352933979 7.250574977941971 7.144899909904093 6.726232479499566 1.7075738761243926 -1.8950217655651689 -4.479922311290531 -7.174529027007077 -11.33143337345917 -9.247894043516911 -10.288541193606608 -7.623738187480608 -6.665476531329639 2.254369107906541 7.691881299609851 8.839830572785651 5.40564069592687 5.202851736584747 2.1060576121048 0.7686633361326507 1.1411212375058994 0.7990506595126798 -3.3517019504712664 -1.8077415360910791 -4.210342672627134 -3.95188449107479 -4.330136166366813 -7.15809702367148 -5.571441724459828 -1.7141942218279533 -0.552311115059652 4.3608357869040635 6.701924778139704 6.652741506763287 5.60076273248616 5.344314360591329 1.3943370727459006 -2.636846824841642 -6.535488890509599 -9.342580574680781 -11.97578336026372 -9.949790837869621 -6.843553461260995 -0.1522260729774655
10.322114443970529;85;13;15;-1.9760168163959653 -2.469984604962511 -5.784689627480196 -9.928442873515785 -9.94804826052114 -9.342895129377869 -2.479543379391449 2.2252362627584628 6.252876374602074 8.19477422974759 7.467464617090374 5.481714218399657 5.064988745699178 2.943557405354585 -0.4689674297524359 -5.520053090616424 -6.96978871507504 -7.406987731826493 -4.26520845811658 -1.3110487956754338 2.902120739311481 4.275717425054997 6.378383698740996 6.111280830358448 5.799069287394751 5.26082583746037 5.5699067956788015 3.806202436641108 2.5832082070153075 -1.2322749394341 -4.723250899055075 -6.6534712590298595 -7.820506068859849 -7.253986100225995 -4.0918154007267376 -2.1429646341240836 1.5200121129954383 3.9676229298523285 5.840687935856637 3.390788420415554 1.7000426572484892 0.38414779466989724 -0.18297666527758538 -1.1366882390209248 -5.894608748217639 -7.639502805961096 -8.388697631260097 -7.628524707849159 -4.065123834068465 0.4473064807077348 3.276224398514997 2.780216179922195 3.647254190247171 2.691782119280461 2.348943074419406 4.5504579876865785 4.350117961926445 2.9932918433683815 1.8028446300055347 0.8533781528379678 -0.4322737892359184 -3.961581405121809 -5.5664234635732885 -2.54973013597334 3.2865051873205524 4.106521793894133 4.06181918715757 3.9773925672751123 2.1165677057171943 1.7501327090901904 3.034889962264859 3.092165014040423 -2.3839966942328816 -5.618981238768709 -6.4936795606605395 -7.120816724726541 -7.0762473861857575 -5.375221530130609 1.637549964230818 6.2713529834687565 7.401750522097416 8.759808414579926 7.469759752911177 2.72817164386196 -2.8061955578462214 -4.903287184627266 -7.327724123664635 -11.38566622200834 -9.676787981164221 -6.068275649132492 0.21741249273961966 1.589929375536515 3.071288185814751 6.346648470208475 6.1978167760968335 6.438648759932594 4.991485942365884 3.9750434978502733 -1.4195233657215391 -4.459888935040242 -3.4689449066781246 -5.508968517131358 -4.141372727744053 -0.2734662921505799 5.209023480680195 8.51503127459858 7.3246421703446005 5.6736054580977955 5.653365394358489 5.697763885160033 1.7752417594184133 -1.4287463599705086 -3.7862665716345902 -6.338232475065408 -10.581194671953007 -9.500068090302168 -10.830687348720815 -8.333628289910259 -6.593337030322893 1.8237144990564924 6.663052220020114 7.50383326414773 4.71394048436567 4.41097176929888 1.892517075787693 0.6841818257596332 1.1316539762244553 0.9032121070501797 -2.6520345277383073 -1.6956107896294057 -3.990353417060946 -3.7890519813140213 -4.3924298269876525 -6.941043147999817 -5.595274114186698 -1.8834925008158536 -0.37939971954972906 4.0691938246024 5.858048989016603 5.596107392560975 4.7130131743349795 4.554929257440568 1.3468860269455765 -2.1822171631830787 -5.824496802763927 -8.709082724925835 -11.63646096036521 -10.179126960994694 -6.9879841732832615 -0.2742363248327262
10.355976707218533;100;13;15;-2.105769411090027 -2.9854158801831505 -6.518307384057263 -10.843705876859008 -10.119262748266646 -9.785805540817414 -3.0392290904970456 2.5852482890828283 7.523719801811545 10.01275423625895 9.213836803543167 7.021778886774733 6.519189376654541 3.8122690971983695 -0.6516578140761653 -6.180688590128834 -7.901387685142802 -8.801847827951065 -4.979371841779595 -2.443122538523735 3.087944970493622 5.2244123037261065 8.078220579796191 8.208522775313323 8.109463098758933 7.010599668513551 6.360847970295699 3.84448068124009 2.7534915571840286 -1.2958359527601127 -4.886798811976482 -7.0360170930793915 -8.489181154961049 -8.025153823768186 -4.748478255353443 -3.305098793120206 0.6394154990795916 3.6341288387771122 6.001794918246974 3.590778051728818 1.7712889481806449 0.030736937015699843 -0.48679800973141346 -1.3098766096844803 -5.840015762376997 -7.403098249078625 -8.137953694878647 -7.719861788222998 -4.439313091120967 -0.12572427431468508 2.843982749871334 2.430816547078525 3.910902176342765 3.4408725569587477 3.2478897707066587 4.9962247923876415 4.119305449885716 3.3350026320288673 2.0881079867433647 1.09579004331326 -0.30444001298997964 -4.131584648508276 -6.3744981263369915 -3.8365483487396728 2.377202717120197 3.693347240091667 4.529145863082522 4.869162788617528 2.7054408914923767 1.8160896792806807 2.889465132134643 2.4239666314071595 -3.237504329119422 -6.430013550786024 -6.5543531254078715 -6.8415220781618675 -7.163509869764326 -6.9928535078309135 0.5143679154202393 6.62890563744906 8.523043372447251 10.077494046791895 8.637347121213487 3.478643825679787 -2.818455187981811 -4.898711875211296 -7.637213237480065 -11.945238150607356 -10.352690170206305 -6.776769741114436 -0.43560692946021323 0.847852742094117 3.0426595328747297 7.5290783663416185 7.5995142613782845 7.25817230897766 5.814541620537235 4.6863818045379855 -1.0658846385902878 -4.551261507205124 -3.666177660928286 -6.743518108411652 -6.0191696245954045 -2.092450246604173 5.969043650206154 10.632275975435004 9.756421386664378 8.1058846911208 7.1210814385266525 6.2545159561647825 1.479206122160825 -1.5382779416660446 -4.087146142452124 -6.989467173414896 -10.659657975022714 -9.103953953312008 -10.21217468987835 -8.31763541049914 -7.571870762416855 1.5722654242971048 7.382257177804963 8.411475971178707 5.337247666627611 5.1895858097854575 2.7102420261278284 1.0645101187864274 0.58909057509128 0.30211108586888386 -4.0295182605185405 -2.595914177027227 -4.466168546343764 -3.6359261284448716 -4.200395228290398 -6.971987814284785 -6.235348036087998 -2.5187416268876723 -1.2160703271322957 4.053636589528401 6.378205543868308 6.087070557444586 5.049735974518932 4.927455967653805 1.2146381331679899 -2.169209943703797 -5.685104533234873 -8.766701211973555 -11.299735028552632 -10.277831719638648 -7.751843371540408 -0.8087963705804694
10.072392627173194;10;52;15;-0.5659883290845611 -1.037565059997269 -4.654190136941971 -8.367742860277627 -8.89836601389976 -8.619202199819718 -2.4087177705707776 0.058372559218820785 4.201083059913144 6.98563432514318 7.776367072477381 6.264812751072181 5.3165688269225635 2.9947198660197722 -0.21903371528710486 -5.929111640534069 -7.133827597772547 -7.490050353464932 -5.291246212728379 -1.593438274225276 1.0082890340213564 2.296633915740656 5.698772269576147 6.199879475482176 6.239975456516555 6.78591018634527 7.25905751600133 5.202332234192318 2.6015825160136883 -1.8933230310173885 -5.259835281737548 -6.428650248459476 -7.272473147854749 -7.095388596237663 -4.993179540330399 -2.902057145660615 0.5524308605514952 3.417663361327551 6.6714122766045 6.269277757568928 4.713533024686144 3.369033344340927 1.400498117110226 -0.6747803244873262 -5.764443648442382 -6.862935458758018 -7.7518482429627085 -7.365586905533168 -4.380317035438537 0.2012729922162367 2.8785955971482515 3.4063004208539094 4.322313623231342 3.043954983247812 3.6455133526923684 6.802939286871361 6.559835828408827 2.5525888821482376 0.17166044245612794 -1.771078515943305 -3.945523109468374 -8.087577620956182 -8.138699718408027 -2.8793142147352815 3.9387649721054685 4.689500210727499 2.964715384238718 3.0892832197911977 3.4575571783364767 3.8891961624498745 4.203604368912165 3.5247159980001403 -2.7994702114022436 -5.441144052406263 -6.9655651919408825 -8.257208896454166 -6.617568876678368 -2.913647999106152 3.100672605128754 6.110017740147787 6.728073877128991 8.005206310527846 7.644878337671449 3.780772568358552 -0.5317404905214128 -2.7119634607912007 -4.624916368505927 -8.568838652411742 -6.953776349974721 -5.743809695414242 -1.7361278007340042 -0.9099303161481617 0.3693812088331358 4.796855571500164 7.206685550770783 8.377737196245914 6.626106657378936 4.658183576554048 -2.210184346566498 -5.072250727311404 -4.288060996043664 -6.342394757462079 -4.537459723952828 -0.7534311773155833 3.5947517404907297 7.019205383965355 6.602709911989186 5.328828457058153 6.814911851049982 6.983276556749948 3.487057467909474 -0.6042817968782308 -2.314900440328734 -3.656405587794352 -7.6752075477507 -5.931605808751703 -9.024733492033377 -7.462112050656578 -5.6085950184662305 1.097341939274567 5.076741051998089 7.062071812453529 5.425563073340465 5.050955917846363 1.1540823524526986 0.6205910619617165 1.6836750262790006 0.007094750232742586 -3.9415285431823195 -3.203549471811749 -6.308048446576723 -7.693124638970346 -5.911863326004475 -7.276274249083744 -3.2089080363418225 0.8260920986797186 2.1901547150645317 5.012276476825098 6.984808967022055 7.549871684470718 6.416217252075729 4.875741296475032 1.983210084541715 -2.1271481697919734 -5.2113660216868265 -6.554756757541306 -9.509310570240338 -7.858585976979472 -5.453141669613856 -0.8438278992061409
10.119510357570544;25;52;15;-2.4938677966647953 -4.158343371202543 -7.972433203884448 -10.36732670646559 -9.237661273016883 -8.769347090199961 -1.7515279324388262 -0.08862565332463257 5.771000152101767 9.812935452684926 10.84924007775285 8.395974409502422 7.005452662894795 3.105923998368226 -1.713517094128244 -8.217513067965864 -8.896499563241363 -8.770066668865429 -6.887467941461154 -3.8081625709971836 -1.0299337159951627 1.3334879628163983 7.188380137602075 8.347855891857304 9.27100294423445 10.348546942742328 11.241093112065396 6.901882745208018 2.319574487227878 -4.09433984135438 -8.02080155590181 -8.873424331723417 -8.729683969832816 -7.3733763097909755 -4.854571569791655 -3.1808110643499803 -0.3523270510861596 2.2511692793728684 6.935546361053894 5.650177048463095 3.885662293529912 2.4834303436303964 -0.004576220711694248 -2.7326845774826385 -8.008437886104241 -8.06988461516234 -7.602033217463925 -6.105995072001909 -3.2974920671986516 0.330596075345895 2.27169745294535 2.3886818758115687 3.6236653716353047 2.3077668554899877 3.5929472264872904 8.433350049140948 7.25082620414916 1.6641928166660904 -1.3704461347698322 -3.8184593659045816 -5.914255194353808 -9.120763839834595 -8.153037010154595 -3.110128814528425 4.032420849494138 3.6587086438683065 1.689473410651023 2.16376134904277 2.6846660151762705 3.4690220707196837 4.443152732971857 3.592026527672578 -4.697869397036785 -7.3378177106703735 -8.221448481266847 -8.573410830199087 -6.907281407790469 -3.7581650761791834 3.2447139513257506 6.959226344854518 7.799741548508044 11.686486557043033 9.911265807729244 2.978121538408502 -3.0280216875782706 -6.003896323849752 -7.798757951959937 -10.33840437635262 -7.360599960932842 -5.557064069499917 -1.9501424308285285 -2.0343877642096766 -0.3515530168785525 6.023703792082789 9.467868949977163 12.197100691526376 8.631340657517505 5.622540077919873 -3.509216606874041 -7.0378306540099596 -6.931557792864116 -9.037841793525388 -7.187544075557913 -2.9763445959429546 2.838116513545846 8.529594043605897 8.043362073651856 7.298131194270166 10.456842835977639 10.270793475493488 3.422075130137733 -2.6730848133937353 -5.574638769323615 -7.31514054394609 -10.225302477059557 -7.36194377757019 -8.602020693367383 -5.868635716348625 -4.951655536644629 2.441245914264232 6.739795215100424 9.144400941912956 6.178589968195942 5.556730642233328 0.2919844862780941 -0.8979168668180934 -0.3343302773160342 -2.7123864046344672 -6.533946737392892 -5.2188064233327065 -7.322515877308392 -7.042087581182746 -4.151977814091298 -5.074749071033867 -1.426245058598792 1.3385695521928394 1.6875836467573326 5.062797649540355 7.541733625559721 8.381848676667172 6.532384667830479 4.311282635391577 -0.2538968318846883 -5.414300775739217 -8.305708776873633 -8.689756400826528 -9.957090316227536 -6.7373439286050525 -4.493518798888753 -0.32234623049913413
10.135035987142516;40;52;15;-0.7081869728068736 -2.6962489483686567 -7.421656280289466 -11.365363525696605 -11.072091376718099 -10.414776447420653 -3.179266823480859 -0.006048608101889438 5.573759394800683 9.38293709401044 10.715891851463237 9.347971416575504 8.201407019167867 5.074412860097392 0.5431397098851669 -6.85114870454427 -9.240147090224859 -9.949530564735305 -8.222096380432756 -4.726348427720446 -1.1936515197692845 1.857887526491461 6.869903945560494 8.541845670690563 9.357022519209028 9.898997478625262 10.197608706444644 7.011186326941973 3.1837265277988003 -3.1199363794534025 -8.009291776841696 -9.848852184142352 -10.097485402832934 -8.591099660488101 -5.482193788335247 -2.90781708059234 0.5373296688954979 3.5245256645717022 7.334513759676951 6.810418311936906 5.3334709225101165 3.852111068355673 1.384587964888524 -1.5776044119563803 -7.90147885033156 -9.362376643073308 -9.418397999524078 -7.826992019693653 -4.4629847239119345 -0.1343190725611556 2.7517736849057837 3.8046668947403797 5.131340997013444 4.247175065881434 4.811012968580366 7.7277043473696 6.865862056886381 2.2402071873627754 -0.7645820369398041 -3.272408765816872 -5.548580139605615 -9.168531615074109 -8.665509940204153 -3.560178643307454 3.273851319937393 4.400269254505633 3.531688395146479 3.9264082614826132 4.232720164082193 4.576511745982279 5.015557727702928 4.249859915486242 -3.7455059894149882 -7.612893009605717 -9.404408666513227 -10.087891484571685 -8.208070859713391 -4.370398819635601 2.5578218335747165 6.770152527039497 8.393533131012617 10.957030038986428 9.991447331035928 4.629744561124994 -1.22943864078957 -4.972190669391825 -7.777311863242629 -11.518418047024934 -9.111682116832327 -6.837346573333239 -2.6109002378365433 -1.4134802793686225 0.8337712000183024 6.158776501866627 9.230135886641719 11.158016572077528 8.90497401545203 6.51947470281783 -1.7201792860616891 -6.082074996673638 -6.7807886645119915 -9.073975916394868 -7.415440345434581 -2.9143035533642467 2.880947798201712 7.959581265182894 8.58607679334023 8.241406963591189 9.898439352813167 9.642103719548711 4.269657375713713 -1.5832813587296368 -5.007143820312276 -7.443573505134938 -11.565527484336464 -9.14637917012329 -10.128800297212706 -6.916030482241389 -4.888931103108969 2.3532029592414463 6.970308134669699 9.553512033599695 8.102087069479161 7.505606461864954 3.1690130926589197 1.422608372064338 1.3230984369059307 -1.2276389112187471 -5.9107164540115456 -5.6932833033179495 -8.398927618090237 -8.685937901660747 -5.755491018131067 -5.824913309370583 -1.7906807713200381 1.686277757622179 2.9931345660198363 5.920427551568959 7.922377517159812 8.494743192553749 7.042974445202324 5.1463909082507655 1.1072015240305344 -4.500634207075472 -8.671497614128405 -10.10954286894307 -11.914926769221399 -8.642671320626494 -5.476542242549699 -0.5285310931225081
