rmse;hl;T;RS;preds
10.553480775629415;10;13;15;-1.5963759158515842 0.6910773240253778 -7.359447521600141 -11.580713099480715 -10.225263505681156 -8.351679693201891 -0.5632665958537666 -0.4601319745453737 3.9248118268031345 4.323505729859916 9.194310055212082 2.9378717596129356 7.405303180789107 0.8236259411403097 0.6091556590813615 -7.042139079075633 -7.828117318244968 -7.90169667250012 -3.499024199587358 -2.9194597798895 1.1822014198242592 2.037057742770447 7.620521922088587 3.906503977923276 4.32213338060624 4.808413368865809 9.046876459300563 6.173005926405122 4.385686651850383 -2.8628809935441097 -3.368003121322233 -6.579756896785249 -8.651106536297796 -6.464076623260506 -4.459028433086809 -2.0509137164039175 1.6588695699476925 1.4854478059621534 3.2382968963216197 1.9989320780770772 2.1138475383007105 2.7127450672932234 4.438678679547981 1.0054030642673026 -4.099544608123265 -5.390282228088737 -5.915137617707591 -4.2536875443769215 -3.020434099387181 0.27939446932293927 1.2784469801035183 2.974485021661502 1.553125954038878 2.508440921636411 2.181197387310284 5.463687868136995 5.351535200274971 3.141780798125339 4.442744229416123 4.079166321968108 2.1383767153958573 -1.8224687156010204 -6.007630617001489 -1.602002756566897 8.461129682765815 3.061048108181275 3.3793412739278685 2.66166681264208 6.560711988505368 2.8826517521305286 2.659453621103539 0.9831483194481832 -1.261374467533233 -3.7162499668744657 -4.493490962189896 -1.1187917643563705 -4.517735335059857 -9.7158922798018 0.7508397588232295 9.580029968848844 2.6440493138938885 5.9122324274253035 6.453603330476327 2.1428354586353615 -2.4570208803251936 -5.373929559344885 -7.44338560741765 -12.034745663948783 -10.530420533236885 -6.604448048671873 1.6684269525416877 -0.9894203584572893 2.539026320526748 1.8346369237707136 6.6345794525936945 2.80630612592641 4.1820514568629905 4.305729561928237 -0.9204744227269723 -1.8978644144566257 -3.4534680500720762 -6.45690241004745 -6.358190692228782 -3.8285334672211198 6.6216813181780605 8.024304373696523 2.856264127427906 4.39293637210909 10.333394731636705 9.528710230835113 -0.053419536403314066 -1.9507329168030436 -3.760324508093056 -2.491227659757527 -9.895155053104485 -7.702923156968194 -9.627819748286477 -4.366075432344291 -8.161670562305257 3.211330094303393 0.3524052590039262 4.403028915238621 0.35247833033842724 8.022069086778266 0.9537898230599912 2.5754191507162365 -2.811249136544437 1.022060892822381 -2.0870527106956986 2.8784096132040093 -1.9639410824522034 -0.5457785377552624 -4.398845490156841 -6.0415412835497255 -3.7558810750379235 -1.3561535557208042 0.7152877709186062 2.5927885548858605 2.3584701846033935 3.8308970681150893 5.976620799635172 3.0193842250837464 3.479907611807919 1.2578453872378001 -5.248879452984698 -8.071820657567883 -9.286966329950804 -8.899011825313256 -8.488735071861857 -0.4114320178528701
10.581444246409864;25;13;15;-0.7412652785644281 -1.7419463667126982 -5.450024307300549 -10.164958777193686 -8.902976467148036 -9.034849348398204 -1.9139079218637922 1.914907524513743 2.7094702536520034 7.192115822588755 6.677724943987915 4.595483848088625 9.94843823946611 1.2693209793521307 1.965714719309761 -7.13157908842233 -9.033724049846889 -8.624138342444628 -5.609921785125527 -3.9502699625410536 2.137059343622425 1.1311216863484892 6.548714371297774 2.906152537182258 2.1224217634869316 4.213592524420981 2.237842111836093 2.776069207709895 3.231093106616028 -0.7084272818087296 -2.664055110222458 -8.1534315953609 -9.19899540238631 -8.147559443736906 -2.1170763302072175 -2.673890511846293 2.3830675616107415 3.5492989347199564 2.2617447892275777 1.4575484745321996 0.38829528882030057 -0.31921099180577955 0.8599052497922698 -0.4137834794940175 -2.9663957597712756 -7.31215923349845 -5.46818079413037 -5.558150048714096 -4.275454799007298 3.3833006963816157 -0.031229772878090117 3.3106357776839332 1.7247981815012217 0.6422086943357344 -0.08758786639535049 2.8897139226306825 0.4006703542664649 1.2903785721410088 3.8164494734492984 0.6274750775891823 0.174269958994653 -4.278154262879007 -9.372926056022838 -2.6838998928379874 2.17774163512649 -0.2616077714475905 3.7192673822328515 2.8414927571585284 0.9812328935977337 -0.6117441199244618 2.163154509007676 -0.48535593824606776 -1.1217099202934784 -3.9522293181818875 -4.277038359213556 -4.229430644992474 -8.796888720049598 -7.553996122162967 -1.9391314506160666 8.597615800934143 5.901843771411675 8.200056243355807 6.8538136377033725 4.075898641480971 2.361890444996144 -5.4059605528027665 -7.475301774492745 -12.88410597866429 -11.997828633923934 -4.10798365134066 0.354441687504722 0.6987093639449556 2.798944362954802 2.060784005082922 6.036288763636276 1.6484570787606676 6.1807862837358005 2.058323936821388 2.1117328190843776 -1.8279255784739346 -5.356633574468497 -6.745747132072668 -8.023456481055348 -1.9117644960517628 1.7469697641825042 8.731259096231646 6.825502323130327 2.784098355536613 6.263365938649061 3.4898289592394764 1.3524874666731819 1.8800055235274429 -5.793265070521992 -6.263468669273869 -9.981681255998271 -7.4867148210243295 -9.069000106474085 -6.970833287199669 -6.30047408081759 2.252372868639721 1.7777968204147985 6.4963437979021705 -0.19645475991597916 7.528285020424179 0.5797915083637142 -0.727917624957087 -2.213698033879789 -0.08533909607608214 -4.982084180124525 -0.8697273378025496 -3.16060057710321 -3.0363653901020777 -2.359422804440195 -8.571407979716291 -5.255658037115241 2.1654409458600856 -3.337402586226892 3.331890489096596 6.023346786419942 0.21182914686627166 5.876960546302934 3.36208112880126 2.4129018915700295 0.9246956883212618 -4.882470553262873 -7.910008710778977 -9.974032427069698 -9.499164789424242 -6.521570541080837 -0.9318881651760288
10.458801452820698;40;13;15;-1.5875064476781053 -0.7339403557239642 -10.263946078331042 -11.505270774154525 -4.980681906419577 -10.78003290780978 -1.8338139101791402 -1.9190189137534015 4.747416202494258 10.064837395738849 6.317339209981387 1.9529585520583004 13.504903599726454 0.6821027723137119 -0.18291812122030066 -4.685322005026755 -9.020100073508544 -6.333451522036628 -5.0456715513247685 -4.454337253411845 3.347864230777251 3.24455876172962 9.081323678219277 3.56822649810813 7.607545844916152 7.923111710092179 5.621416171203501 1.6689762054060204 5.687070417293915 0.3759759837615352 -3.512533349542915 -8.532518719577386 -8.471431779852018 -4.703960762664282 -1.5425334770038885 -1.9582968438001045 -0.17344529259908503 3.6739029579809506 4.308902597639259 2.759977508017832 2.0812070951172164 2.1836217898014065 0.5596738391096971 -2.2300473970156527 -4.060198826123097 -5.591514420047254 -7.640807651220043 -5.025970127708355 -6.590575629796226 3.4828450794548593 2.0820943898933 1.236384162315488 0.30694836471800824 1.600943487377598 3.4181136199315714 4.383548793378125 3.088737968452326 2.5941257603072287 4.760170281993305 0.970270105670169 -2.068130366688561 -3.3211323837034046 -6.686918444542118 -1.1266538919899427 2.8633330831234063 -1.8537216733258346 4.215248808003003 5.820035193056768 -1.6713930356027271 -3.0222935908708637 3.993117866418464 3.3747440431115483 -8.63296605556982 -8.413873837624315 -7.9241184375123845 -6.18483417050619 -7.59731280925516 -4.795017388297131 2.1341491907362387 5.0471791737288685 3.238702616207468 13.097772393245958 8.763593509707079 -1.8863337578723676 0.520551098659125 -1.8778230351554153 -10.515528595265579 -12.081017216624705 -9.717749683533068 -3.926066996760643 1.814507684888734 -5.161898120064591 1.1326359157766546 7.371391818323399 5.249979267750535 1.7402661651595086 8.180543413374153 5.147490109896902 -6.448362110837961 -4.752372957482346 -6.63608932834575 -4.354030492748641 -4.466887429091759 1.0923694349617739 3.5314062006118108 10.069504218302313 6.935369598016148 6.710486650790807 10.529758284965041 -0.17035994248946415 0.3505379384486899 4.6113629449931635 -4.732462758624502 -12.124338079221726 -13.606916484868659 -7.949330831585116 -6.2424338677821805 -4.816291585398994 -10.570415606237905 0.6311447374057595 7.250982785580233 8.219100024961708 -0.5422460606702426 11.12517970618772 -1.2087444909001506 0.8933313838010174 1.6705044401732985 -0.07852380229892084 -3.621616325438425 0.34177372779276616 -4.014885551805347 -5.15569888722902 -0.6836787602255535 -7.96440162034658 -3.2162102983696226 -0.5041226577086555 -4.294745979274299 5.349727902601646 6.4655912048393205 1.439218704251991 7.3499867887369055 3.1538347846481187 2.5185673907426747 -0.4250779155915644 -6.775320145021431 -7.693201885809676 -9.050438595675889 -8.741854870490798 -5.456422920491687 1.0989933514342896
10.50133608259664;55;13;15;-1.8607380872522417 0.22276435906403053 -10.5711491032528 -9.771478687832918 -6.218508225114138 -11.570805322439853 -1.0123043866499566 1.1074567517631841 3.308535150796397 8.136464000733262 6.775673240340415 4.7667588806541445 7.974812114962789 0.2921795171494646 0.15568313419843205 -4.089047041025356 -9.938008955078175 -4.483358055847021 -7.887766492474343 -4.094193002767906 0.3116493742272566 2.2690341767821565 7.033752146870826 3.711001622465845 5.892054996258427 3.9697757505502222 4.741305699136296 3.2310085526432486 3.3095407515426256 -1.189732373539197 -2.5143545631477267 -5.7197577437251335 -9.245358120250991 -6.746201566181517 -2.3255872969788736 -2.356317272723902 3.037925902234008 4.5611685055307465 4.321386313200652 2.8894974922970653 1.982076087022007 -0.02459463473634734 1.4463889159395857 -0.706082257404193 -1.8029903335342032 -5.844201705967698 -6.103719421870307 -6.170517756283766 -3.4355126833915017 1.4735709304358549 1.3403745881343818 5.055818989136773 2.5833329502220628 1.4450003866046988 1.5193910066521796 4.035275155003242 2.1499371224520196 3.5852138435859344 2.885815740914422 0.12073850826700641 0.96013511157488 -2.422772867782678 -8.816696619039138 -1.8975152378653317 4.245782187062351 2.6761921760853045 5.562570433694901 2.738075245397996 1.5182620545341392 0.510863057559867 1.74609064643671 1.0376378745546322 -3.957197125051749 -3.9702504490635135 -3.3088386536117147 -5.302694403092271 -8.059091631097807 -8.726102082607326 -0.9975411934108684 10.723688910813227 7.263708332462951 10.154478525234794 5.653986500701747 -0.2750956959202683 1.004996300505247 -1.6388528045351203 -8.590664016150981 -11.043722996912393 -11.124235081018014 -4.336654477363038 2.2143042691790096 2.9907837568013185 2.1787381889455895 5.283037435396261 4.5891026328342726 1.573632554169745 4.301722469127696 2.355804646708418 -3.8688754550816515 -2.4559820495197044 -2.909086608039611 -8.872900305867425 -9.846643342088008 -3.93001180494749 1.0987379497222718 11.759239161342116 7.457230454755405 5.858339186602192 6.224454409151071 2.7208225813842057 -1.0605653933973507 0.47248764548393546 -3.402441989231291 -4.669637417055483 -9.180046265556523 -7.45279301979655 -7.350044980643541 -6.426055868125955 -3.6130401864791577 0.8978110915543486 7.543031511643953 8.106728839013655 1.5728788755481775 7.1720476504648945 0.30328888269445087 1.4428286021557084 0.1738549312126241 -2.3386392291556954 -3.159677094618612 0.6533742552165392 -3.1043878433477965 -1.385545456147625 -0.7649810586199899 -10.173533872276746 -3.755678215094999 -0.5151169359018026 -5.343765364504135 4.903283622242139 4.681121364371385 1.5339840480695013 5.382590169479162 2.6676379585263867 0.28711584764791304 1.295275395428783 -5.100575612275143 -6.167966522833473 -9.571348133231687 -9.90551378466684 -6.453362277870244 -1.287588112867996
10.35637189224227;70;13;15;-3.728333877848517 -4.142073864596527 -5.303504451029026 -9.07187146196124 -8.363567355448996 -8.18754199022344 -0.37899904506554855 0.5367656277848973 3.931598761943335 9.443974623595334 5.119351034898037 4.4065610443649055 9.784656846233037 0.22339451233441776 0.4284619924677139 -4.6427534292163575 -10.052431009814558 -7.094483207607322 -4.460585548429152 -4.190029189594592 1.1589227194356024 -0.3488402870800448 6.423392161206256 3.6918865093191187 5.792042260726905 5.709528022055959 4.525862872411013 3.022722193235499 4.589154826644631 -0.9738580779816223 -4.403271873233923 -5.060757302311868 -6.532845100035606 -7.052193694702971 -2.4596617131499334 -3.4341716504240405 0.9405097169422215 4.006382053424074 4.592731146530351 3.0660246140195286 0.17289326025678056 -0.12189738064440492 0.05517655823124125 -0.7208389264169863 -2.7149360722704485 -7.918013153535458 -5.332643211475611 -2.915553073184214 -4.423578745050487 2.9411801512721523 0.41774703814966513 1.9354343062512815 0.6127155379168192 1.221924302104263 0.9986647563604192 3.791905856066619 1.5714197105899397 1.5238694095602519 2.6215459525580975 -0.8356383424022571 0.4091394959144989 -2.8840784657447465 -8.890715793136241 -6.201884844473896 2.4310155794753565 0.8645691147064801 5.088665249912445 0.482363062362378 0.5435263790302347 1.5710004203133983 3.4312709836053163 0.4319287923413668 -2.1329284603097385 -3.34040442623994 -4.349698754447674 -3.5417984190105662 -6.900999360775797 -6.5918595975310295 -4.159697278643225 6.750966082351948 4.90009318859433 11.535788412272993 8.285391731455963 0.41589876833520945 0.6523250726386624 -6.640014998802132 -7.290395110496695 -6.680000328958553 -10.679944665232604 -4.443896055629123 0.21075308447606048 -0.63635123977641 2.3991714398585553 3.8983380823134213 6.163741177107867 1.994767185989888 6.826638060443714 1.1032338375568138 -0.1530068053907351 -1.0783968867680094 -6.254424525815059 -5.396430310990157 -9.356828788991002 -3.3643105832187823 -2.2635946206644304 10.038004905792612 8.050107601702507 5.802559661472749 5.445985467457288 4.043250369225923 0.6603201205092791 0.08053909649843548 -9.026923544315995 -5.174113211482008 -4.513481191556956 -8.14320160853076 -6.081286522178499 -6.12994924728628 -3.8163897073445248 3.341874469100583 6.851958321724519 8.066641208988933 0.016976256389060244 6.44213600238197 -0.8363228642251004 1.5486451154196559 0.22846679381467838 -0.17671932333314957 -3.524017379656587 -2.387247324741969 -3.021799141507407 -1.7723475214524724 -1.1926159075821008 -6.306698366682133 -7.012409484695796 -0.1290489765396387 -4.123772974891383 4.47686367120579 5.54143263641744 2.0898747472239783 6.743420249209144 2.619119288335193 2.0178159726439184 0.3097783131156113 -6.519754196480383 -7.238597973097555 -7.572058660134142 -8.867682316666581 -4.364125471589322 -0.7642560865941193
10.649113802581924;85;13;15;0.619556232681688 0.7255511617873756 -7.559715867860716 -11.2672008867629 -8.219511047026366 -10.0296118759261 -1.922318954402961 -1.7566027366199206 7.0693782499861575 11.443046970441792 10.63188208614617 1.9355529601801618 14.516592231994672 0.8386223537220137 0.5251919982967779 -5.784904318020135 -8.032000259852193 -8.926010639535168 -3.6369835750427217 -3.5924601670550538 3.4846196690070266 3.9554367190099757 9.469143870784837 2.2494392285388733 7.227543589224727 7.2641112686789135 4.7187099547561715 -0.9492049405868752 3.0142462663921186 -0.3260160642950791 -2.007934723264739 -7.5741464125484566 -9.459061153297679 -6.392347017644436 -2.874828678673127 -1.7589799907023533 -0.07492443014695897 1.1545664500437678 3.2115468725957457 0.5819102291055075 0.3598879376361967 1.5692870714987175 1.1705057438095863 -2.880975369739604 -6.578430478084688 -5.630084254066769 -6.471174285551703 -4.437492918974421 -6.3501277924047 1.1473918888719765 1.93647157124246 1.4056341620288073 -1.1049932867120633 1.2328512502820486 3.011573247384325 5.614005346050156 2.161643672177184 1.876811262333542 5.974071653937294 1.185101220938058 -2.855307845640552 -5.277823008580545 -8.491053868876687 -2.0143333364558766 6.797392824623999 0.3434775077422145 8.52759258495804 9.559750237813667 1.2310630903391881 -3.452592933851743 1.7711769054677433 -2.7276299549082155 -3.0316007911338767 -5.603957424436567 -8.87585517145115 -4.39027526649608 -9.160328835838268 -8.872725630582092 0.6360970601118809 10.125526270670555 4.5796367633877715 12.475072398977847 10.020849148286718 -1.2456619558734192 0.7362049623576217 -1.3490063962994507 -7.923605546335935 -13.230695148799558 -14.67544208886417 -5.104933099522553 3.3104336136584807 -4.0943509760339225 2.6180667131596427 8.167121949019997 8.309834440805282 1.2860656236117711 6.4210977213029246 4.18931961893469 -4.660162500681853 -3.214898493935962 -5.691692783936977 -5.495490683462015 -7.410341358121354 1.9897952036151985 3.582554047010098 10.928343624896279 6.714410929412247 8.24910798633012 10.653226570912647 2.759866161222402 -4.644030437776446 4.7527622405098455 -1.6614134050829368 -5.707642168506132 -12.639971170509085 -10.493855637452583 -7.2506470881980345 -3.454457644716461 -10.593160276956915 0.8993340199509069 6.366612950629092 9.819484036091158 0.9187442021055231 13.47221774792795 0.5271315202896759 0.5654547385552496 -2.004911309810076 -0.8526359526627653 -3.898364609975106 2.104315034756319 -6.17864955193752 -4.282823173194886 -2.5840061591940815 -9.15791956955215 -3.316010779072356 -0.35680449710770845 -2.9753563931335125 6.124476817451857 6.759895399427971 2.5343113056783872 5.221074335574354 2.311423901802395 2.1091112979694704 1.1079874758248398 -6.638359411137581 -7.129000018273181 -9.269018618362413 -10.46591872647917 -7.74564553053978 1.628709028673668
10.40694362035024;100;13;15;-1.554423053024041 -5.4704700146526655 -4.302881254515411 -8.594820035290411 -6.215944465149359 -7.9044309322454005 -4.033670452111876 1.9245666850379362 4.2940398882017545 9.573409010025582 8.370192754938053 4.952959603188334 3.9909594783807982 2.6613564334498188 -3.708158534434055 -4.568352892344908 -5.743041402525774 -6.99214506384499 -5.3311181083369545 -2.808023211105586 2.242947188427195 1.8326766982330402 6.736806249560597 4.838561905563451 7.102306976982195 3.7453910802344312 4.086284861783449 0.9839032159253256 0.40690412200655574 -0.6923037873871897 -4.802379499227475 -6.41168099683593 -8.961535834617141 -6.362778876117973 -3.4635832105194293 -3.0527072721251236 0.6853436599781991 2.6941515442913397 4.3514795244593145 2.030400422259302 0.801979776149963 -0.3204348496689874 -1.6818145737168808 -1.033976039617695 -3.8766833011524517 -4.622962232246128 -7.16092314452299 -7.818789240457812 -4.204895378619453 -0.012076645239486391 1.499804409418554 1.5123874671989943 1.531762331541935 2.8256479341894574 -0.983728275479029 3.4341204176921196 2.3980873744174227 2.0148734595953104 0.23193637735821704 -0.20077070958931245 -2.2692437307388293 -2.8746348656573315 -4.228979690470982 -3.4109276589192716 1.9858289959661048 1.783666710307011 4.725934621985906 4.870213623999399 0.3367966130267247 -0.9607704800343891 0.6841830436152082 2.193581586673261 -1.9670537473225782 -4.361246461009983 -4.77173616520764 -7.76097102509579 -6.257642448202989 -5.803599444972848 -0.42225014193605953 7.581371692897893 7.019348047047 11.464720624172262 9.641283928767358 5.405823722221858 -4.020313708082565 -3.4366498125398315 -8.78962194981284 -10.773123143235868 -7.552770611495764 -3.2217665034615846 0.06991669920408802 1.055136110446156 4.119441153792646 6.1057378476984425 5.3328512080018005 4.220538476703404 4.4805422909598125 4.68357482141694 -2.1108828386907863 -6.010477615377142 -2.4646345654214623 -7.612932676901589 -4.936649816166745 -0.5098200035627934 2.146313828136977 11.26510226483001 7.4999173365359475 8.749310499523283 5.1389936534881135 5.1790931141098495 -1.4020209543251867 -1.578341562538001 -2.8664745373872482 -8.527570746355462 -8.697323111493475 -6.996793096636725 -4.830156349182456 -5.205839741046137 -4.667780709241686 1.589463458789387 6.761779248023154 8.073576026591816 4.077688889176245 5.346708316693077 1.710865217805559 -0.9329086411582089 0.8040797071200274 -1.5733669704727937 -1.9245417148067345 -1.068568357329205 -2.66250164844684 -3.270293524662436 -3.6472528812099982 -5.06247865417747 -5.228399993635217 -1.3145491735670836 -2.389046097426269 3.275980827399994 4.386085412561517 3.6859743424405162 3.414997997411943 5.249185225915625 -0.18898282450967402 -2.232697450746889 -2.8768125654048293 -7.611898543539032 -9.408911948470905 -8.97870968597729 -5.4281693670687705 -2.028625567546169
10.374392540359947;10;52;15;-0.5283966940608366 -6.616448449549352 -8.322874277224123 -10.317632631665138 -11.08145633813124 -8.177744168143064 -1.4522454052285594 1.4775543620423668 3.3126577658971965 5.390448121607905 8.396387088562985 6.961559060218779 0.4484102928071196 5.779877275367431 2.9024857480252506 -9.616671150394037 -5.112262850290475 -2.8860193795725877 -7.981053533603151 -2.4556758458322716 -0.5894966822387924 0.5822064289792883 2.6935946363348213 4.735123168320039 3.5290449526312213 4.9813415533847305 6.649420588589584 1.318885787482264 2.24418226795963 2.225398411529308 -4.046841734135049 -11.223026829345898 -1.4265928433551434 -6.262131811811236 -1.2979914701382083 -7.421008381123557 1.7316296553595938 7.529358821082608 10.071807705132773 8.768180997678797 7.930311672251678 7.807942935908943 0.6838022027789638 -2.7423882767250034 -3.1987730422465335 -6.824964809681411 -8.725125710394899 -6.82036688294762 -3.8421553558070496 -1.7049653122804769 4.372005262320646 -1.0154479328581265 2.0788155747266193 10.685971575696225 7.940268859433015 6.271261818279998 3.5044821975180773 0.936795953355892 -1.1125868771913443 0.80064822505805 -1.1261285612886907 -4.624987004129278 -9.031385767142854 -6.824132492385572 -1.064906091635762 5.470925061881216 5.907995681859188 1.5822337461579843 5.975338223735312 7.548705326788588 8.523605673764173 1.2540311505665318 -1.0663346362252566 -3.957061769103554 -4.058593344516489 -1.351655580133848 -4.78713647089183 -12.009424010833037 -4.023641237472246 5.370752961248734 5.778680297316558 5.718813648877358 7.67038580075207 5.865658150649307 -1.0990916455852164 -4.522518723799787 -1.0717307802987877 -7.088178891233564 -12.492168042420229 -8.498407628797374 -2.7407848828708103 1.2720855984971027 3.371255060868493 -1.22986984865281 5.363571440902229 11.492324886594325 6.582634780690611 0.5777608211820577 -1.8650746969755083 -6.863916702392745 -11.568278446101058 -3.762414000301049 -1.9751138634767744 -7.741059434403003 -0.2956646676545129 3.6418740522754827 6.185750263059568 6.684183058122861 4.166504660551063 3.763281726590162 6.86158425218945 -1.2065324302275005 -3.4885395069626717 -1.2429042089134779 -5.295634320344532 -8.074838155724038 -6.858890090496549 -1.4222748494242377 -3.707980379561367 -2.001213204366854 1.7470825028128771 7.883674066985781 5.1433817611042665 2.3676975283365596 1.1042599678684493 7.267656272278419 -0.05566369626933412 -1.7988835505558791 -0.3784504881186875 -7.1789084356548365 -5.9558905448350075 -4.8850304856815585 -5.588476392325691 -6.085459243337242 -2.90242980946657 0.5058019977488334 9.944182008210795 7.968335211056114 -2.771761213400728 3.2207670831748296 6.8476895639547175 0.9178234163011265 -2.111835549709185 -2.140458287350699 -10.151664665736803 -9.69433554020653 -7.852946261790938 -6.276445442363775 -3.7305716004779264 1.0610194837393778
10.464812772394296;25;52;15;0.29975510076417206 -0.7208506700243169 -9.66924353985636 -7.526547745254504 -9.8690936397166 -10.771851006098082 1.9787125439031787 -0.9854010871009984 7.195351838830942 8.811296564621745 9.441951591505866 6.685643092977938 5.222373613493528 -1.5946251614728137 2.937030395389967 -11.264553616701551 -4.33522541083544 -3.5496048732464236 -6.755231791290898 -0.007338839093935706 -1.5471326215932553 1.7734415948991709 6.183417547695308 3.442239686831388 2.60021521216168 5.7032672005241665 6.315430308357232 1.279014674780844 2.486953425829552 -1.1761388435902285 -3.314221923212024 -10.522795365502336 -5.772551086984636 -7.247067984642428 -4.063741741970189 -3.779001541191512 3.2327149422832147 4.21641377385019 10.379797116797256 6.63488217669377 8.131776300645654 13.17770129851051 -0.3751722818797943 -3.0801410347666853 -2.0656936116623204 -7.9751243167464985 -9.298281948036387 -4.730130739177713 -4.01157228872383 -4.146855861501514 4.578731374757431 0.046022024863524635 3.6222164714597707 9.567664907216333 7.248796908802446 4.706717556929614 2.879221400934442 3.6720156297984103 -5.070359919541507 -2.735152300836358 -3.05848825856036 -9.259151900452363 -4.947880532320813 -4.548835190940955 -1.5794712105735131 0.854938399808932 5.539721027396437 -2.474294595842495 2.976891504277735 4.524383699825471 7.7362383833218455 5.706540100392339 -1.1058254300285355 -5.524402226854177 -3.9227801785430407 -6.358986821816107 -6.0204598555874504 -4.536061625752708 -3.5771896499792875 4.4327035321382136 4.475030624586022 5.0187787817194796 7.226730757618086 4.565295296136375 0.01887128315862819 0.18308227494578994 0.134273755127742 -7.982905369994648 -11.26770890651705 -2.167847337294721 -1.6329408116358857 -0.9132351412303373 5.504312746449666 4.247911694524951 7.32544525910664 8.92803184903319 4.115614303617208 1.3053267924378156 -1.1108485623373758 -4.888380284430325 -5.240447020983282 -0.7451834244131506 -3.8813417727062585 -4.396075738620517 -1.590922880524763 2.330525966496532 0.6672256225886757 5.753830476246446 9.46234475708889 6.206311144753207 4.953472494364783 0.5258435510294118 -7.188277572572808 -8.56774954156894 -10.20573049409283 -0.8749802098666484 -2.1866642498049362 -2.2925044242629125 -0.5798057704799648 4.688378739722277 2.6277591037430974 9.979025900088232 6.449940716824148 7.752751809001601 0.5824637009695106 8.898427519798211 -2.2986178852701284 0.33246496171544204 -3.6922373345224937 -8.29860415540772 -4.081598288369819 -4.3747973660138255 -3.5970100754833165 -1.079768366124846 7.389546217400805 0.18890623428488765 7.604072520816204 10.438409373994187 -1.8555656806457779 3.034497464810968 6.01813923598117 4.622311814571299 4.375613942368788 -1.5683394886797568 -13.427408748616024 -7.137774145753073 -9.980875383566346 -7.730740370136519 -2.629010968092617 0.981534486831918
10.40408515057606;40;52;15;-0.11785427411471733 -1.3646808064777032 -7.057352530918742 -7.549138618212329 -8.031627248087503 -11.636653729504797 1.588846701930325 1.6135575134855176 7.765416811064303 7.779503572521153 9.90526769504292 6.714787420764295 1.4064730035509418 2.2604571679260497 1.7880464669135068 -6.073479719983906 -4.34754593374978 -4.704025482989126 -8.511693389244599 -4.057835490390093 -2.164458567167553 4.7589301570592015 6.847547596790544 4.615406225502219 4.702617907105372 2.6696695156048826 3.9362311365919624 1.3554986145824108 3.5352734140005926 -1.4646107278301237 -5.5915241628918535 -11.615133177618045 -6.408460290778114 -6.995690763361967 -5.143218999213721 -6.503469727648731 1.1804814597936 6.383899540619614 8.749601393026342 4.056826675217473 3.6218525066222083 8.142079358810296 -1.1251693260439972 -3.0686062026775986 -4.191999331956233 -7.741763006966627 -11.875614391259859 -9.747467447315888 -4.476395053586547 -0.9754793047210213 0.5942804231293718 1.1822169039879988 3.9751099579687956 9.549711628288172 7.0610091464746425 4.4486616156757615 2.886111679819151 2.9055710981348715 -2.262854338454188 -4.32969425877245 -2.7756019819255946 -7.529902763384308 -5.283529879805073 -6.176386428320403 -0.9613386096601345 3.4639370017558857 5.008198748401206 0.9976759446231895 1.658986484082894 5.128289050942453 5.762059004428729 0.00509607525477232 -3.8275330858559276 -5.122470915720264 -4.831832118453678 -7.957327619249412 -6.449330827958203 -6.593032914387874 -3.9400451950919493 5.968260047133314 6.861025430459886 6.139251145370488 6.467806310150908 2.086060945501129 -0.37391049651439306 -4.412805594633889 -3.3829072378492873 -7.609318777472411 -10.11213168193682 -9.004304834659312 -0.6503289161696123 -0.7715148537799545 2.8063313529347496 2.1258155790157676 7.857245905090448 11.07617458968399 4.832556833702411 -0.16458434941463138 -0.3235225050052324 -1.3019518494784788 -7.341311216376993 -7.57354792352302 -2.8545298099074845 -4.940162111645093 -1.8274551382632422 12.194855661763516 7.364674126971607 4.983602241290697 7.332546400985195 1.343977352884017 5.780894706710674 -0.40315625427221197 -2.3025357266549573 -3.700740750105996 -7.275606864228634 -9.87165809559885 -9.069532483339735 -2.2843430521166224 -1.2738741891964687 2.880575308375125 3.377772675947247 7.1584132353644785 2.8813025421327776 4.039808709370925 1.1591566346956896 4.931986042434132 -2.9348287692874746 -3.9785993709683565 -4.395708294195598 -4.831189786627541 -8.245408919808462 -5.203461791046232 -2.3393027864647116 -6.942910294575686 4.530957336260675 -0.11275050236887413 9.16719919827727 7.989424294110575 0.9837043575078621 3.007252295804166 6.297667014898774 2.2140245103554914 -2.2950299087667614 -1.7708646953002056 -10.674050940166996 -10.325769298741193 -12.649341003344528 -5.913271167049195 -3.010730226165448 3.862058164733674
