rmse;hl;T;RS;preds
10.351180848895464;10;13;15;-2.0458340408005227 -0.9423932133867551 -5.449859374859818 -8.792649886731066 -8.828234930715585 -9.58903557168576 -1.393664029369422 -1.880445078208426 8.584078118362257 7.803638686348099 9.841283650883955 6.107971742781759 6.1765808544559 1.5648927006253215 -0.7876380437376006 -8.009932020915418 -7.186944890615004 -8.390607228801723 -4.342493224948404 -2.265089799351815 2.037160042638748 3.371632944055484 7.750291044822595 6.358006539259816 8.21466703066865 6.26957908983406 7.030488293929781 3.359757808322864 3.212362487872271 -2.1403982644687876 -4.852900323983996 -5.88574415146646 -6.925646669861721 -6.132565896978888 -3.595980117625588 -2.644399269200424 0.5278204785863997 0.9899723121937374 4.152296461495447 0.763676652501377 1.6923663395797912 1.143382099391234 1.2571190233769867 0.9389730441756022 -5.633055473711074 -5.819773958844013 -7.444617381342095 -6.306269681519727 -4.221914388342207 -0.827952020919907 0.34268276998983216 1.5766328283684825 2.4887732500173625 0.2271423758768477 1.619427577357098 4.726009433114086 3.0729535163239023 3.375717979612826 1.9927023988521313 -0.635174530321892 -2.666062832127557 -6.086509382801641 -5.18452761644208 -2.873442759028758 2.8739914071572166 2.438981050853437 4.917574635476856 2.0560729917600216 -0.004754723543118126 0.2510516644843113 3.429310584088275 4.687610794792545 -2.376677730185767 -4.19159152431797 -5.869628790580368 -7.755088434709724 -7.310458411198255 -5.0611129161397725 1.7830746585181851 5.225714365315167 8.57569370466637 11.297859796128073 6.734539646356123 1.243104637337166 -3.1292651531580304 -3.8913128782370237 -5.708072941420952 -11.045659039317936 -7.076141606730099 -6.189577543991512 -0.07846143069554319 -1.6982643229479992 2.132684806396965 3.8985760860886534 4.2093074125906 7.959301506359376 5.015424111548412 5.313093763028937 -5.03031578435875 -5.159513558848708 -4.50480901598663 -6.984425251334327 -3.395621650052462 -1.1239180664303514 5.5663436982250385 10.211251472554714 9.378587609813952 8.149435902400867 8.203265118816606 5.92961783769677 1.0915929650430167 -0.7666705722612738 -1.8887177971501468 -3.0475289502201526 -8.827934294367921 -4.567891151102609 -9.797817772291907 -4.717232952720814 -7.959766114069331 2.118771328390503 2.0939465603493623 7.236237686195403 3.340674359421088 5.612424569513784 -1.7937922183348378 0.3473248874830601 1.6295660510397443 0.7107973634341518 -2.420294357708151 0.8356070303079562 -4.47389218640052 -3.8700922667804614 -3.8190849957114046 -8.337169118004933 -3.9582176880236126 -3.6516984020175447 -1.316160048534095 2.084748619129365 3.2007831170650127 4.664814626180647 4.303597966713221 4.831525136051004 2.4394229584478 -0.8162146768466318 -4.5517824014324955 -6.098092233196258 -11.164063829743359 -7.788180702311549 -7.398513544776791 -0.13288774430177527
10.45644798172131;25;13;15;1.0092386134111337 -1.5590446409518615 -6.904541580705417 -11.50051626598966 -11.549613939517087 -11.988973780017357 -1.0431827667957694 1.3234387405494639 9.720139729290953 8.412205988606242 8.568833350232936 7.183744631324826 6.363363711954947 2.3754171668678548 0.46484290507050385 -7.081695028152175 -7.651028591123054 -8.778389841823827 -5.5052999881806715 -1.8651521177942056 3.654308705655139 5.504197224149408 8.682272073582176 5.926958041120934 7.679708311199456 6.362446492727591 4.711056602364031 2.1744814357521705 3.1705131427686046 -0.10267605309360026 -2.263120874845749 -5.123557242893179 -7.280582674149417 -7.4046515368748755 -3.5538123902787384 -0.8383667738387142 2.3837514745057975 2.9828854414592314 4.055558017667042 0.6885034732572639 2.4511044551439927 0.23708721052306625 -0.6562942337450959 -1.6448785799409351 -7.720804060479325 -6.959782117753232 -7.9735090922952905 -7.084328379864097 -2.8471257699494865 1.661478564548114 3.3463895816552736 2.998432237771159 3.2921810902176016 0.5845424499515383 1.8783598526868597 4.220479323718332 1.2306976466769992 3.611909933707772 4.376818575511847 2.1505380471886064 0.4573144698644863 -6.979782785882363 -8.859258931592294 -4.41005254511688 4.001453217932614 3.193978088070555 6.088732408366381 4.977001464074107 2.640548849012555 1.2851758061348535 -0.16360989097525017 -2.3196942678307355 -5.547373766668877 -4.789525903530013 -4.316129435419178 -8.71248297769128 -10.137464469732109 -8.36309413156842 1.91401448841852 6.9368512063128405 7.977504619659782 7.324037418061921 2.8114007637554406 2.324717143362438 0.12565673101702743 -2.146512769352211 -5.981858705281721 -12.212194876320904 -8.919505203012164 -5.535659387872159 0.8105684416237164 0.011946773833293053 1.9321368752922399 6.282680432151355 5.107408743129423 5.532296283893665 4.294689875120078 5.390138438333115 -0.6091261653865955 -1.8996506606264396 -2.2321121841534093 -8.422200490170074 -7.605841973785106 -2.302333040691401 8.20416076460235 9.690226412698657 7.9184490630335445 9.15827266487113 6.412475999749278 0.8121634844682526 -0.21361190925681445 0.6513790598259263 -2.072410781076009 -4.140480909504405 -10.001503769254715 -6.841162288829134 -10.857120382038449 -6.657483919170172 -7.432575921333801 2.5631715251570295 5.223507958971973 7.366821728288465 4.55347096237917 6.558936007118257 0.9000609927395079 2.3609118110519343 -0.25984240280191984 -2.246807003500929 -4.6802285850533 -0.6253526990887501 -4.505437081504603 -4.649608564268759 -5.106209760123906 -9.699126931997384 -6.043398687280994 -1.0931318953495044 0.5863803679936063 4.673758209564833 4.98506505981566 4.389768207820368 3.278384526346341 2.812897682236504 -0.005324158014122362 -1.3348033296351864 -4.471726839188141 -7.045135699707645 -12.624407672177842 -9.404497743949573 -6.316189985075077 1.1872035006295885
10.449109406110916;40;13;15;0.046985348623362844 -3.260159574443354 -6.78641585318604 -10.859097483574804 -9.480860768090476 -9.34292435791167 -2.1528891131842625 1.516238500506565 10.104557581338653 9.333443443441762 9.04098134240001 7.109598800247923 6.672310706060126 2.6536221806516234 0.27788693810043646 -6.23396037664995 -7.5935130998611085 -9.262941171084346 -3.788514733026071 -2.331958769388625 3.4497757771295916 4.820720321389456 8.16470433172422 6.279402660860881 7.306210796113563 5.855656424749799 5.047023288215267 2.755092515327072 3.997318424276064 -0.647127608811313 -3.380921089385803 -7.207264984863525 -8.34150190018211 -6.8546018470375465 -3.4631593967793237 -3.8124636889294066 -1.1426820892127374 0.7881059654393726 3.876032535518887 2.030872080325569 3.110480518012467 0.40099317298352827 0.12170009223316602 -0.18247047230679808 -4.755920396793002 -4.837905042268184 -6.579291327996857 -5.984837232059476 -3.8798859133560097 -0.2900925434503918 1.5798131712129548 0.49297797854390757 0.9052667163949168 -0.8154773522856431 0.7139572637029005 5.374082578390831 5.310473285790237 6.34452661783806 5.489822004900646 2.5280720575882087 0.577657564427233 -4.473460717568228 -7.226864804529109 -4.3959515173518655 3.4136082502214813 4.07013992440482 6.523620979112659 5.548682356676146 2.982172821968479 1.3513737377498292 1.498461810636782 1.189195738370948 -3.9826492626933905 -4.603204091355793 -7.436671395653215 -6.61809290253436 -6.667941471013473 -6.142238453914406 1.2080878969577624 6.357394131884951 8.367529478774859 10.080991032085873 6.481799818666586 4.268525117987684 -0.19420816433880905 -3.989642885322608 -7.823257726541916 -12.572283453567128 -9.995017122503441 -6.635760855299231 0.8284481272792723 0.30210330029217214 2.4841680161501207 6.525563980692914 6.546041352289981 8.680270614934319 6.580428722306152 7.50137528363861 -0.06460727965352106 -1.841266664360139 -3.9398987044642113 -7.291892724895229 -6.49616676970346 -3.013892127196927 5.692247347363944 10.198397876857253 7.932361149205064 7.725055685473306 6.90522314907092 4.691449127606262 1.4184201667418557 0.8339239539032831 -3.980859014998116 -6.9378294011167165 -10.886508280939811 -7.25137084236833 -9.546899160625124 -6.290275410273665 -7.841538086681652 2.4650774340942627 6.4958093332841065 9.25119156565755 5.969830036948879 6.845335275148842 1.6732788891525543 2.0303539697680835 -0.0483115021629583 -0.7446402608266931 -3.767027585177948 -2.251930695884392 -5.47297636142605 -3.3572160525562067 -3.968529445156647 -6.633830380233462 -5.428440426923896 -3.4712264721082344 -1.907254950836844 3.797544527378946 5.211567059038302 6.081582552264826 5.079498972937397 5.428293157580916 1.6694250721750978 0.05725883029546801 -3.7037258880997297 -7.552531911803061 -9.86181991030513 -9.194563104010722 -8.003707735050877 -0.5100767536149122
10.330432272301955;55;13;15;-0.608194201407814 -0.9457915523791552 -6.587161458681351 -11.681171570152692 -9.74041154007298 -10.32355767301696 -0.9204601564188079 1.048820659392855 7.600974992150833 7.928659564174484 8.058716100824196 6.225007663540864 6.949727071369388 3.4809382655831187 0.26185717506333095 -6.20546325211203 -9.44303626168287 -9.444035599171858 -4.4715716495920095 -1.4727009424149595 2.1710616972975236 3.3440836591136636 7.44249301046276 6.051836255865675 7.003247996345279 6.790619459874492 7.202200362667365 3.4540288767562854 3.6426103329602646 -0.08146692427531654 -3.011496779260237 -5.795627710337524 -7.9888102297398005 -6.789100702790848 -3.250268499421804 -2.1519477108247744 0.8390927069430218 2.096719095555572 4.997957974850258 1.8061246630277905 2.145204187728769 1.5746240625871764 0.8723810492924248 -0.3649795701292179 -6.277075943592898 -6.5609051884014615 -7.829090210870039 -6.163613559049628 -3.011673542297982 0.6850266260751171 1.7567882898076568 1.3204384663507265 2.518574697876125 0.31748338087484823 1.4673450787570017 5.633343152787743 3.5217809660643504 3.247619406769005 4.074870075458185 2.591924747324438 0.5245954665392295 -5.945630633553596 -8.746395731991932 -3.7812590974688574 4.630123488188192 2.685409429015134 4.584289667601807 4.5917589498227525 3.2768298467151484 2.4873460972628108 2.730838225633143 2.4123296734291393 -3.3391545584612374 -4.4196335889049045 -5.603263246758808 -7.105159973454126 -7.975361624604259 -6.209891374982791 2.95110637012601 5.812041189062358 6.941472098323189 10.622668138824327 7.023445609118828 3.003962693916678 -0.7342836605115931 -3.4165830322509136 -6.710143298316423 -12.445125413185956 -8.375240675114899 -5.271382640341121 0.047933318703987454 -0.9124289208396763 0.4271864192374098 5.2457832333565 5.955667420487642 7.65905696023453 5.048419298662972 6.245443976007116 0.17648528178045036 -2.8466932572409878 -3.500254581676861 -7.946350217054947 -6.692974318378573 -2.115684843223077 6.629382340916995 10.10778942207601 7.454602670383254 7.404536975653054 8.26641197425743 5.808395973346965 0.965103005434425 -0.15591160841135976 -3.0475773164844173 -5.3192408848519195 -10.355670784736471 -7.293067433587017 -10.660776314399314 -7.009390594704698 -7.817352170879292 2.2563756119560647 4.852401268359205 6.983211140507633 4.358536127619697 6.696859890782577 1.5022409904654266 1.6675567077436544 1.1722515397763729 -0.6848839588015585 -4.420483652096266 0.07270885058402364 -3.615480769051491 -3.99511940786409 -4.479987727532847 -7.932494500198614 -4.670910250110743 -2.3052193584041905 -0.8689340788747941 3.3734952192090524 4.476483700266385 5.240769495933524 4.92993795731569 5.531501546141282 2.317809640520311 -0.5912449139167288 -4.721111648747875 -8.077491689042631 -12.045625637697249 -8.575805482218307 -6.031227090705541 0.18036223801383208
10.433117129852794;70;13;15;-1.0017708928125852 -2.6710175905448286 -7.9983394276762025 -12.668095979199784 -9.941609632075394 -10.768080525237828 -1.3009182380540252 1.3613003915521065 8.512037437636454 8.533444554975365 7.991118157236055 6.101645852966387 6.770638973352032 3.842668860103201 -0.16265847392839983 -8.200508324551276 -10.241992665777058 -10.070449009067563 -4.086381329151013 -1.5002664074379912 3.35049862636538 4.470113619691577 7.413795461693066 5.943661452270391 7.010125748715502 6.923424870536384 6.818989231515138 3.2953593453096595 4.31647139605862 -0.5041276161206395 -4.654841167736501 -7.659435970095498 -8.478191922169568 -6.532792906225247 -2.576179697330921 -3.4396697464071373 -0.34090304385439935 1.6168744301337594 5.249992142223757 2.5604254348147344 2.785741416686678 1.422962855026352 0.6616830748770908 -0.16946215458275654 -7.012423403045225 -6.756965321712251 -7.619128430149802 -6.183573168047944 -2.855166748373218 1.3841266585946443 2.6631814770186653 0.9585405906684474 2.0991252302130694 0.9902032698045709 2.755610625884558 6.470480720993645 4.559035518480789 3.9414442543705053 3.958196379742964 1.9198043478015172 -0.5065502788180835 -6.727889193838094 -9.331085409887564 -4.792616125061934 4.02621570136006 3.2079493272271464 3.9678324010112314 4.648724318323526 3.0241046332925112 1.5761336815620937 3.0295404446619143 2.861612949113379 -6.131750977619833 -8.347293325379418 -8.365880585124057 -8.369247433850873 -7.2379549453539465 -6.875586542471291 1.6559884716159388 5.881242526504693 6.751574314221985 9.837023940041284 7.584766378323568 3.777624585676502 -1.5478127069422183 -4.456355762037751 -7.566721669045684 -13.134147734317061 -8.883149082469295 -5.957831458662849 0.4949268084329861 -0.9467169486368 1.0723236191866827 6.481083719588476 6.576847530998132 8.047127683089808 5.357753918799742 6.576500964097356 -1.5370138075791773 -5.618683734049669 -5.3740064582254785 -9.682445790207012 -8.257025870159179 -4.633780965257105 5.846373581598286 9.284692336815109 6.944694196215948 7.240826566002066 8.07690320802276 6.32802502275532 1.2221063715127278 -0.1952352406632573 -3.5720085444044307 -6.701786025401923 -11.521399357472575 -6.569591630279953 -10.147629736237405 -6.543761957410055 -8.34128964535332 2.88532738082884 6.1827578179323845 7.702901152770074 4.024344727238099 5.604605936722177 0.7750168016778288 1.0087848752197561 0.3122380769132513 -0.39950764595914584 -6.786673342650472 -2.4406515095620263 -6.264213996885779 -4.6200532972155175 -4.16584988500821 -7.633479640245799 -4.8352810854421255 -2.4294809902692376 -1.7988769393399004 3.5139219700593998 5.248403362636464 5.8291872037236505 4.99663538369579 5.48732714076554 1.8662115693467 -1.6519602361302892 -6.024473211645234 -8.529828998550276 -11.218234741637573 -7.587454442354768 -6.547201181553903 0.6515668705535306
10.37399926239468;85;13;15;-0.7847320663562429 -3.1825073631866108 -7.893940672280943 -11.619118696976969 -10.255620121702758 -10.92802810912075 -1.766348712848676 1.055645348055881 9.05543694011672 8.022162339719436 7.853312579541879 6.1043759372068385 6.703086960317005 3.303254876981861 -0.24260561440544687 -7.232469723844071 -9.692347999908105 -9.906549309864342 -4.531565302969747 -1.2623226550880673 3.2299462346230983 4.2217330190431275 7.531104878018446 5.180825600654995 6.283431327103036 6.167989753270996 6.546763018707862 3.5134424829215787 4.253714254401802 -0.493452024634569 -4.040904514227475 -7.394214166638246 -9.048651479609234 -7.000385422624289 -3.244027511537947 -2.6259209205400635 -0.11526785333727561 1.2263145844625143 4.918341536530381 1.9935898676075827 2.8425188874701637 1.6308242698281044 0.7318956673951089 -0.6881310227336048 -6.425652235992521 -7.299355743858931 -8.468657156893396 -6.517713070536655 -3.574506192209422 0.44836758087231005 2.1670528647033045 1.713182796964816 2.5444584783294264 0.6165310794333465 2.048204252910471 5.924993466099064 4.169961630590432 4.224467278788408 4.587984641416408 2.6745181466077597 0.5213283949798794 -5.378351418958402 -8.532708009129617 -4.7652724837329234 4.783188448278591 3.7257025310912395 4.558246000109443 4.615311928684839 3.3179777070076053 2.3650641766246374 2.788210879834076 2.3466500263510173 -5.0745789192121 -6.657708004595975 -7.658669764959445 -8.954696357707846 -8.716877696523415 -6.885849933340061 2.8388432253653955 7.035161379750488 7.031495286510952 9.823281657732796 7.019171284009254 4.049521977478523 -0.8544783071787136 -4.258086090755146 -8.186436873278797 -12.747976170241337 -8.899275578034928 -5.476971623629576 0.3292357741634433 -0.8641141544676136 0.3351417647744868 5.700925438232777 6.21634418693893 8.012317891168475 5.320837236733629 6.653118694032806 -0.6350258214572141 -2.7640654100428295 -4.84682913996317 -9.764721329185253 -8.336370204747723 -3.050889883648463 7.382157661606547 9.17726007716185 6.396453195886886 6.564665495660607 7.716424916992531 6.0275146361563845 1.569612412916615 -0.11130164568818193 -3.7980745513312164 -7.213265185302265 -10.851870380633919 -7.428642595785233 -10.134778228292358 -7.0234592623072905 -8.567187240252018 1.4793084220291264 5.388287645817825 7.890826010839751 4.593717609546115 6.627098339775735 1.7032898081702195 2.24888110272678 0.5863529227483264 -1.2674303413696875 -5.481859052031486 -2.0049440179312334 -5.23479408336279 -4.96066384035366 -5.154774708826951 -8.089856750675143 -5.2783898333610315 -2.6720842580491753 -1.5487426266634274 3.1792524743749246 5.030466367693546 5.926336586818939 5.251418077122734 5.839287749904103 2.498860921724594 -0.8184689275159878 -5.338533456953863 -8.819560319434107 -11.453966346325164 -8.458259453952639 -6.280032896929039 0.22047748726320096
10.537138403042306;100;13;15;-1.074972972808534 -2.204398140750226 -7.126588664234648 -11.415346406247703 -10.414823769808713 -10.788048485245803 -1.4301607252415227 3.512849909194649 8.973042399250865 8.442247354013283 8.075777213553973 5.892256812325144 6.4667158074731645 2.931169378445515 -1.401108954478867 -8.302700325644604 -9.368833365373312 -9.537237042451679 -5.175437542430155 -2.0256715718592817 2.859975629282453 3.1703670000996027 6.054315113898937 4.506758893943829 5.073572191791895 4.347426153146923 4.497430120239201 2.265632184223031 3.9492708902130342 -0.8509032051485682 -3.9049987912303257 -6.565848986118558 -7.956379779653313 -6.986188706206951 -4.102015463105606 -3.70235875822709 -0.10486819312863031 2.1030074058274866 5.023150187316318 2.303421198839592 2.3795966732219442 0.34771590611232445 0.3939055145059828 0.3962768532899082 -4.86956337192011 -5.709665548554338 -6.90203140638594 -5.943342456907507 -2.9366470276609746 1.0106082659846078 1.9090896544525202 0.47662435291353145 1.212538637146345 -1.0051473104046353 -1.08362279203009 4.238020967462137 3.74956414935191 3.6474974134034386 3.149006509231281 1.335530567584753 -0.4514191747926524 -6.00679899562312 -9.85673414542386 -5.99236845093538 3.7805053360495195 3.9926115864579925 4.92489847094627 4.990833867695146 1.7356624971065777 0.06299310327043416 1.5465093446998124 1.9901852653579395 -5.4808165676592715 -6.636634927643358 -6.363442781385725 -6.944680012705553 -8.337075169146292 -8.485665379895345 1.1526121398046016 7.04768580648396 7.6152948859606155 11.519224184617823 9.540272899623055 4.608763345278606 -0.5368590505135241 -2.804861136094739 -6.825158274738471 -12.397860090360822 -10.04119611815566 -5.614729183018222 1.4104502588898946 0.7355106976901782 1.6511635018070903 5.35687949849688 5.032677297500306 7.434353559716819 5.622703270566926 7.011974105519641 -1.8931492256288969 -4.738187375744552 -4.619468726539509 -9.603864181167165 -10.398599845797076 -5.238753853775274 5.513432396954127 9.331398837910676 6.84973764907316 6.251358578596868 7.3609293950577985 6.391995148564854 1.1169501969394913 0.06714790455428755 -2.7400381634239572 -5.952660791850064 -10.171475348396232 -6.929304412091599 -9.052675274429088 -6.60034770293016 -7.133326537193112 3.560812541326164 7.636754197109881 8.405791717271999 4.621313520958521 6.026137415480408 0.884829360052458 0.24975978068827037 0.024917283665956642 -1.3346247398140785 -5.402800739523702 -2.502323541901504 -4.983852158460714 -3.6620192060777077 -3.880867504949473 -7.312582351321084 -6.006715485526548 -2.928548288087114 -1.7280704682496937 3.6034792415000347 5.095494288059667 5.400032644983287 4.759375196282186 6.2476075834258165 2.580062312085672 0.15328421968470093 -2.895129635191184 -6.585733436029959 -10.208054162529962 -9.649976368742124 -6.833303988741655 0.839485117407229
10.606912491987057;10;52;15;-1.4974380248546988 0.3845404661031562 -3.377284572638803 -7.385251445523595 -8.242213266779618 -11.725541180379174 -2.6913034108578815 -1.833107032007527 7.776684410844357 8.716917628980251 9.063800476288467 4.778850794679117 3.3012426316131975 1.242898993724356 -0.7574802861334621 -7.865441459990609 -7.488236096616893 -7.676744133527635 -5.639556386770512 -2.576642656428795 0.2835969409535862 0.6144521129771091 4.656255885158165 3.3485622360011034 3.6553623247068963 3.847546893619246 5.619489175725088 3.7841843037622773 2.772135882161327 -1.7036395894973873 -4.560464667806158 -4.178539592141148 -4.042286258367016 -2.7512107704691604 -0.6540398090963722 -1.0216234175099843 0.2194354378394063 0.6374897649515965 4.911773815393683 2.790899904943713 2.2735778219531757 2.0340510313350983 1.6908770761909135 1.4179250214609276 -5.372984155459935 -4.6068465234013 -5.002916121673289 -3.939959597242962 -1.9109474889402944 1.1683540539775836 1.7942490053570668 0.10624828865608985 -0.7587357212519364 -4.748360993259506 -3.426594848953758 4.3517564996129465 5.284317923543707 2.4738524314709935 0.5675625855865518 -0.8551648297642874 -2.6067621385720043 -8.932156286725437 -10.078764526933774 -4.3956661911885755 5.51335410623859 5.3301280829360635 3.36165035588644 0.8723083259166595 -0.2647668888091838 0.8667743901837837 3.0407363649424104 5.143208825612614 -2.3788322906773396 -3.8326978373702056 -4.511551412408658 -6.496056118825501 -6.61725084239392 -5.1936855424074695 3.029919719683848 6.602529669364084 7.5518223411431595 9.317158974610113 8.166594443576646 3.6310991620652064 -1.2631333989422928 -2.138816096097473 -3.2632682377882682 -9.195662653615592 -4.983130144084097 -5.131049838349417 -0.41950100695482717 -3.255111389105542 -2.5536975614780086 2.005496493605785 4.745594986471504 8.357305755201963 6.140181587029801 4.3570851396917485 -5.56008748295458 -8.271095929596715 -5.414893349466146 -8.257135825119665 -5.8975608301314795 -2.907771324018593 4.2602823234972345 10.334755946210837 8.100556051041998 4.2338569452717865 5.281715888118 6.208947976052486 2.7573211910293525 -0.427852712529556 -0.4786271992044166 -0.4621784938495053 -6.51730387106345 -1.3086660612429137 -7.755877605122334 -4.648185760998403 -8.792487042042751 0.8398441238328072 5.166754497341252 9.62433833833784 4.158744484827056 3.5908751322160835 -2.845720538595285 -1.547246752058571 2.204688603496781 2.547531301924561 -0.6409248963883851 1.765839218461813 -2.8453593574276086 -3.3211967560695124 -1.1777116170756785 -6.35057317958642 -2.649256077233591 -2.1216737350029056 -2.574888596442035 0.6838260379523604 3.6483467806773286 5.827697244417301 5.415064114407614 5.466878649743538 3.5002792039493267 -0.19906671216565425 -3.360076273363817 -3.9912452353005943 -9.724550884981433 -6.3352894400786965 -6.496754124049353 -1.552778252080297
10.655716310251504;25;52;15;-1.599176287756651 -0.20927738728596212 -4.225612145826694 -9.279486608967787 -9.796519886207676 -12.889073437575416 -2.817314753225492 -0.06007442120330889 7.703704937449585 10.668252125038467 9.574609467663812 4.385683172263026 3.234956492458717 0.7947175293767704 -1.2898033921589513 -8.684273962986538 -8.898858027552066 -8.511143614442165 -5.4353428843643545 -1.687304840628424 0.01821699025095047 0.18776788728098276 5.230231913581008 4.2210381454478965 3.6840306449427898 3.5038590034224044 5.2450438210430965 2.795537324994009 2.309493600715993 -2.418183292058543 -5.805288436676028 -6.087189294171237 -4.9453849722682355 -2.5218241933274075 0.29819694154562215 0.46693135340228964 1.492883510165102 1.7538410793161163 6.0197864726360635 2.8071330498618465 1.2165134567741476 0.9331751817416835 0.7759077500206375 0.7672614973761225 -5.844446320958908 -6.207132062208539 -6.38025614749567 -4.439605028500235 -1.3429403446699766 2.2037151889336073 3.1318535353952743 1.1875413685619718 0.1454808100877814 -4.147025665364545 -4.1032385380616585 2.637721684284837 4.818689982166536 1.5441159105361688 0.13340872971074444 -1.6306338452180682 -3.450065013636744 -9.702015685421323 -10.805742882874586 -4.350960104864655 6.7943739346329 7.529025476613789 4.55562969837557 1.5921366517765487 -0.7368197142620395 -0.5620682259679501 2.2282260981951287 4.297866738377193 -3.178094202541486 -5.231793983143421 -7.450104690604385 -8.779599346389187 -7.957558663849929 -4.809323363757485 4.295249392767114 8.614669258571734 9.023434479275167 10.839755418534619 7.689256298907587 3.063237464546419 -1.0518946096619675 -2.8181014879269526 -4.316648589852871 -10.104185000330467 -5.856931080396508 -3.730023565469169 1.0219770347670727 -1.6831724826830246 -2.771631946730408 2.525294129021596 5.660734812422283 9.94394678810545 5.09515920379717 3.9332018078387923 -5.7880268997144775 -8.6690124928379 -7.314725081215642 -9.974293396121485 -8.278875591009921 -3.108764120366935 4.253141514322809 10.911235885695913 8.704573444871883 4.646506081383317 5.617214917428429 6.448729124506375 2.9615305179306817 0.07349997826452288 -0.8612654162982818 -1.291433926794531 -7.401764175285878 -3.180686495122593 -7.733611725623672 -5.378856655042666 -7.744313544499447 1.574637111039766 6.819001758029624 10.13317927510396 4.904833430451031 3.3682706187922307 -3.456895443618909 -3.2904932251883987 0.24085647352774292 1.0508496067808328 -2.1639234066320174 0.9554100929128669 -3.3659056260633187 -4.762735516590795 -2.7296475936372824 -6.42260272563268 -3.0674955183931836 -0.9335868997238093 -1.3517788445159762 2.1350945946211874 5.100415468458942 7.30004496731662 5.823902406445549 5.523813049916834 3.131653807080972 -0.7159307074806173 -4.104658209703392 -5.3597363225149035 -10.224436059807616 -6.693588813505853 -4.827108230657557 0.18848015881299968
10.58487127380933;40;52;15;-2.215701058341956 -1.282437105723779 -4.408177743448826 -10.426996758219108 -11.818950007065482 -13.327046314555108 -2.904291214723299 -1.0750987598914963 5.566248705490187 8.173987174875734 8.319275257222813 5.04048723132352 4.7689381462159535 3.174235605323327 0.5250018388477075 -8.32815072349257 -10.534198669189323 -9.722969760486325 -6.276493460669305 -2.367257269354277 -0.07581363869608902 0.4352247009809396 4.7488191721166775 3.9209689705258532 3.4250519171218095 4.514251141441332 8.116916374878038 6.462216005102845 5.080411320742453 -0.5598108436699728 -6.151343142193231 -7.602869710264594 -6.985805255680189 -4.678296022235116 -1.3862754735751637 -0.13968181259605772 1.6677265116066853 2.711515729079928 7.305083409809833 5.0998719569137485 3.475999687247058 2.397749680464407 1.8430077670759069 0.9490247021536865 -6.887399741548953 -9.129398087902729 -8.967186684485217 -6.423707146659852 -2.5597323838109522 2.213328766863421 4.150941858137292 2.545761583794694 1.4723207146984163 -2.19525535098984 -1.8170932750722646 5.547294697238098 6.997590187302487 3.0278695468129913 0.5746668590937278 -0.7338756353991205 -2.0026758489124488 -8.183462522005868 -10.164691544884654 -3.783923765466994 6.983124846741175 6.585151914184803 2.8441240211180356 0.5031048825985911 0.2111144396231047 2.138315822617107 5.548013579986094 7.6860251540877 -0.8702758077597268 -6.611098236028936 -9.296418976965345 -10.5669144454391 -9.209907388338461 -5.556673311839704 3.6350168294706675 7.629595294081197 7.556395910765451 11.005173609660517 9.752847850448543 4.6130498489439296 -2.127274304833672 -5.482688237698704 -6.647497503455035 -11.67330074355073 -7.858651393221787 -4.880203950058399 1.0140556671587444 -0.8283481719405232 -1.8318322851792201 3.7291713317276227 7.249249951076353 10.210469957234292 6.884168861890032 5.65020349332701 -4.119987183846759 -9.315388991319278 -7.354170379414226 -9.129769011915005 -7.359231787183996 -2.6509615969767175 3.6219158351121092 8.21880426003635 5.269506016081618 2.4024570402205825 6.308714008840383 9.738907927578165 5.429816868884631 -0.24719793030462503 -3.255383492836874 -4.0780442378431845 -9.69578026487724 -6.130373756943857 -9.364886817392787 -6.373308803378303 -7.381700874584318 2.182988504902398 7.324837027236604 9.90105878617566 4.944048379966569 4.044154713980057 -1.6361150652024827 -1.8361114817110933 2.1931433326456227 3.3098479991062653 -1.171863996542552 -0.3523727206702227 -4.2469023490304 -5.991862518933644 -4.099227269756289 -6.86511368044362 -3.526620806917237 -0.701970255044833 -0.10227085514585542 3.250372456286014 6.32010826560024 8.29521878207014 7.442259182192357 7.376436524073854 4.624251336564198 -0.6486055635412797 -6.4000918831840705 -8.557981643939833 -12.98539815846705 -9.052703807045418 -6.124274736224174 -0.023940559302879444
