rmse;hl;T;RS;preds
1.346085792510746;10;13;15;-0.12302974266584345 -3.048373109347374 -2.487303683365177 1.6937134883426006 4.128539272133166 4.62388577253971 4.074559483191958 1.8592117399493406 0.5005433367885294 -0.3732269023480076 0.319888411476299 -0.4299764600549007 0.3814153485417202 -0.9116754018726104 -0.15215874210456062 0.6623500859933545 2.404937359854861 4.899616597625101 3.57440280471597 1.7881796166477457 0.38998884171574755 0.5082720010663074 1.9813918803839023 -0.3673422295229985 -3.03475670204562 -1.0125119683856727 1.958982872537936 2.7922952278131565 2.925569120359183 3.6868703332768287 2.401521351648062 0.854930412922611 0.5784264967607367 -0.21890235907095335 -1.536077715858967 -3.4113757628462023 -3.3699044137941536 -1.6422694581995751 -1.6369965037980247 1.1424997005762303 3.342639625091541 2.5733891428678994 1.0553385490914107 0.33689978488949224 0.5105792930314939 -0.08671527951781059 -3.3444373380112054 -4.096387174172636 -4.199635119884158 -5.8507863271722895 -4.2009698327229055 -2.7644459013805904 -1.523229756893794 -0.8536365103653609 -0.8938496769041334 0.028618429544589336 -1.7997814483469117 -1.8592002819654962 -1.1501763952203794 -0.38968871014609946 -1.0202879586572842 -1.308681257760498 -0.7952597472059331 -0.1479298425590602 2.5243657034201292 3.529780083631502 2.9622243007096563 1.4849165951181078 1.08373908766302 0.7029008246526989 0.5392261963494831 -0.23578002906327677 -1.5003072021084127 -0.4927285562739768 0.19648590127616813 3.398531923340513 1.9860500461630273 2.309279245521485 2.42396660281842 1.6912773977866014 1.6447596899933508 1.1604760899427975 0.16065963720534654 -1.0287395424674493 0.8857703368978912 -1.6750078134971134 -3.2079860141829903 -3.2632738576499625 -0.20119206609534712 1.6509691299627522 2.579077248076116 2.631058262606874 0.4458779199999496 -0.8770301534849297 -1.293680565139114 0.621498992015551 -1.5449113522332754 -1.480669310920362 1.866325615604693 1.6871799551749218 2.1158556622369136 2.8987026329104744 3.1986769471660934 2.0527651701853475 1.1695888897744022 0.6425816739077532 2.2148197069116837 3.2619062721172916 2.3803477619132747 1.064536865196683 0.3340966932325785 1.40322444147132 1.2187341637031335 1.0238826383672788 2.998836648040394 2.6089812855467587 2.481601276422642 1.999632007330029 1.9463032503356392 2.7141129855318176 1.4663661534276045 -1.1703314277271235 -0.2060617386301407 -0.10151521107991053 0.5338888426525263 1.3522837002100794 0.7364053817997691 1.9822796920656904 0.0906558433504583 -0.5000149621346969 -0.7039469378886499 -0.5042812656895641 0.10551373427842395 0.04768091115611206 -2.3012106868532904 -1.2602220609765493 0.06275915438250225 2.770492322173026 3.454223535413103 0.9897603721646188 -0.03820750245142596 -0.026603629293296342 -0.34884884860354126 0.16412416953240477 -1.2269057594441901 -3.696400754150959 -1.7209179214264951 2.003811970899311 3.8191788354549727 1.1841399105714665
1.4766047830739024;25;13;15;0.35545655418518374 -2.7742330966243225 -2.422790715714147 1.3023923679323557 3.4000044207182696 4.507880476173994 4.587367178601819 1.9424187746962103 0.7964940429734814 0.5605648279994747 0.5662487397651996 -0.721365299872231 -0.42223641357607405 -0.47565854954880316 0.03233412848409503 0.9474477885955993 2.6103142011958664 4.570911511201661 3.6132544503372097 1.5224088165430605 0.19773477958891605 0.8595593743700979 1.704341618571697 -0.6671584659732657 -3.4961357192071847 -1.4838716033258932 1.215738398340312 3.1976624336147386 2.983789378254193 3.5610718510352495 2.5211610147617454 0.9968290185473835 0.5864674976212355 -0.031995076526321914 -1.1371234817534306 -3.6130144497375745 -3.8366881792641467 -1.4932857319536783 -1.3101534556066479 1.1356131694102427 3.288455256063066 2.687986341151266 1.5622396309860833 0.29802050747754916 0.30069128104727333 0.02594189935180195 -2.8760873217706084 -3.283415561000216 -3.3636585807345574 -4.865049675852637 -3.8364200984762924 -3.5002611680240756 -2.128889554546953 -0.38241855387503426 -0.8333396496429194 -0.13856389171811467 -1.530484562170024 -1.6419231996624137 -0.4372958143923403 -0.04084514969753923 0.16136366752579612 -0.4866574624653467 -0.6180168238652638 -0.33862134189819365 1.140241007614205 2.8027234206948863 2.69802364528646 1.4162498729133686 0.9864382671164708 0.9332898281492187 0.36503366544837806 -0.08896814097387094 -1.4977662754901242 -0.8163451248825941 0.3891106150453689 3.0645958169404386 2.2344667338137345 2.714169597005454 2.8968862732484086 1.7760641622263693 1.541647881397002 0.9608196283406127 0.21189670882908335 -0.8322705464562724 0.13118040107531842 -0.9950637281243392 -3.157431668694188 -3.630416037951189 -0.6248102381430679 1.6326661013792518 3.343063761846403 2.488612412736951 -0.10010865745740681 -1.6523867372737158 -1.5051552709260847 0.5535439569079534 -1.3129546751910206 -1.943591814450433 0.43210496999232684 1.0231308140348603 1.9078348554049689 2.645711348798867 2.1717750680962777 1.594548907257251 0.5138369987842355 0.6772656367555793 1.3446994101666543 2.0667736643600643 2.285535824368378 0.7434565804664528 0.4341512201624127 2.07050597794337 1.988670348657049 0.7095807538930747 1.967221339610047 2.2860814211896927 2.148117612514248 2.386307392522821 1.9730942558194995 2.265896285756491 1.5016789828833637 -2.4615197031425082 -1.18704529137212 0.36072434166652134 1.074780097311374 1.1521873764436892 0.6041683179097849 1.5609890865287739 0.7284958004316402 -1.4530135576884173 -1.2981068934547757 -0.9240742880766765 -0.11343483735314805 0.20916584173079683 -3.069286106584471 -1.5769627317912112 -0.2689802995395521 2.2081341614536854 3.1175781656318637 0.8532365616876207 -0.2491000311196331 -0.06628661552812828 0.022853054542247963 -0.01727322910990218 -1.9418778945978046 -3.384461350340447 -1.734896013143148 1.3057830657184015 2.915294287660002 1.57520545563843
1.4136515680059378;40;13;15;0.16721954787512644 -2.6174552584446187 -2.422883570512175 1.4393289329631676 3.4960081945255936 4.394542508764527 4.21159908709542 1.4430733775765383 1.2481152938716567 -0.1583850681682807 -0.5118758146905134 -0.40264532420154514 -0.11480827401240357 -1.069960183564823 -0.1574994280906402 0.8611061555862765 2.528965909833388 5.020553382360911 3.58391652760293 1.4733686033253235 -0.47520872795867997 0.7695859206314636 2.148803390127424 -0.7262767945075879 -3.26074191697987 -1.4706013047954973 1.4731360170328442 2.506385420142677 2.78550903973536 3.869415078377629 2.601039804062533 0.5303381201056858 0.1659362795898025 -0.11478296359165084 -1.6024672490249772 -2.9948950358471236 -3.1821439248286523 -1.4572093964328459 -1.487782587512501 1.5902007566908964 3.184238325604384 2.7490359746016635 1.1563074336916626 0.7746653776151884 0.5330816798557996 0.172537338414031 -2.6476453485995077 -3.1604326758601236 -3.8089806070642704 -5.074749057807638 -3.8308583956060365 -3.1809718576522568 -1.4863888669472651 -0.6976903216912184 -1.0467027524433288 0.22381419157926155 -1.4420228444496028 -1.938370529251011 -0.7684028447686337 -0.2823981548276204 -0.7051754667728785 -0.9906296868698089 -0.9801191227962799 -0.43331691141394924 2.169140837382552 3.549581219545118 3.1295088090520045 1.4417030204766126 1.2029597809420536 0.7358844963359941 0.7604348556371232 -0.38572066518844556 -1.6330015009957821 -0.5869894305457396 0.23160388542187235 3.1665042573075084 1.9355347895488784 2.701049813107345 2.962829354554869 2.1276257567159482 2.0151441501695824 1.1063776864854 0.28158376673077967 -0.951963900610428 0.7317618181864634 -1.617198662732081 -2.705806898299636 -3.6774442973677894 -0.2684302097441393 2.0612654278815756 3.0791320858058806 2.431050974610528 -0.50765593853466 -1.5206805931563256 -1.489531552563095 0.49158449620268674 -1.1982783256806262 -1.01988478911488 1.3808438891279748 0.12500081130258145 2.442225600255759 3.0124470647100177 3.498784253455017 2.11549921962513 0.4595263397421529 0.8498235487968876 1.9886934125907527 2.9917015056409775 2.126746032387537 1.2679087917293057 0.06050922271996838 1.6279213709658367 1.1329904706633682 0.7697466942212745 2.459921328506997 1.9083488516417935 2.353028981738689 1.8740195342161121 2.2781108851396326 3.0991413961860426 1.65428344718913 -1.9565612334820583 -0.5172539795688614 0.23766827721080616 0.6263537254114684 1.422471593678638 0.6970067914649853 2.216813838582232 0.31427032178111153 -1.075942578576466 -1.6123726094874897 -0.4260858440175377 0.022559878621983106 0.3357388003825387 -2.4495862141721054 -1.310580288145969 0.12274657387320356 2.5750988692780363 3.4528277181266214 0.6651456893601047 -1.0159381606670936 -0.08900830629023557 -0.20019331539478646 -0.4697785943465971 -1.2977712682896465 -3.400497074428234 -1.6679902372532638 1.4501823109603829 3.6555806625943266 1.1646253515224088
1.3902551515792534;55;13;15;-0.22190317902963505 -3.161771282609756 -2.6188106389642174 1.4098271664401099 3.7620872126534097 4.963492311783215 3.844032470507725 1.783106899125168 0.8159359656079528 -0.3246830691644855 0.24359765512809153 -0.8758032720245372 -0.3414952727800543 -1.2133422194709904 0.14284009007625445 0.9483472820100424 2.315556080102358 4.59948832412372 3.39100679078938 1.6350105352636495 0.12968136706929512 0.8211125457150986 1.8525937388686171 -0.8907962517070529 -3.1576191754798826 -1.1721793879736793 1.7629307496401627 3.0281709763953955 2.7380626341960284 3.8054387215997174 2.5286451114827826 0.49131649029773405 0.5289447739549581 0.04538021824663217 -1.9362326224093234 -3.4303226346179625 -3.4638935380158817 -1.3442172382631306 -1.0054000396857627 1.154988596028062 3.019195811336996 2.340730513505716 1.5143091823705812 0.6529110962422264 0.32047354646967713 0.12214773530882617 -3.538068646464913 -3.769337598938549 -3.916047580759192 -5.091120257294752 -3.960418395762559 -3.631847799030456 -1.7548106715356429 -0.6249553612064371 -1.502577801451798 0.16348500652549677 -1.2215203309243834 -2.0670768643288913 -0.7823026089701759 -0.10216474536869502 -1.0529229755505656 -0.9580558493071636 -0.7810315465978185 -0.07452097340101214 2.302456514587691 3.4379266197644123 2.893635157191011 1.4609449308808162 1.0523722875918338 0.8636009543371577 0.834080092674183 -0.30373094561128444 -1.7254141903722844 -0.5902289397533838 0.4922862238739111 3.396732337448414 2.134904973818111 2.630969601251338 2.8549629310020896 1.8379147431926581 1.6776747689387481 1.2913853302209848 0.20668132065816502 -1.0749707482790434 0.6513226801327388 -1.5868758800754938 -2.775220352799482 -3.411089410630349 -0.31131879259253736 1.9823141382004426 3.0651523466653923 2.06963089635486 0.038983402536613934 -1.4961851979049967 -1.6109719996953034 1.0646464188817755 -1.3347766010881665 -1.6328855822640507 1.0445589307523062 0.7000690528444588 2.3394855103831276 2.776879833682516 3.1723753763273215 1.6598116025194536 0.662039546600273 1.0066429469869995 1.98941678142055 2.6854684784666807 1.84481520257835 1.1196033548064213 0.6970842203852762 1.7056032456984485 1.1542802786614939 0.8767741297441326 2.4533530496729594 2.3231021798659492 2.394544511702702 2.244652156328363 2.2609224136640718 2.532792426106951 1.136995732423135 -2.600389744693543 -0.5481833137286941 0.16499809043593938 0.7555447026287324 1.2940484657347422 1.1199295447259447 2.093563921014908 0.6193629572464044 -1.0012356517600212 -1.0347766019972862 -0.6868293805209378 0.08365223276776391 -0.02845158953985198 -2.613775812189867 -1.5920652651588194 -0.1869776439411335 2.733085617021741 3.315948363632659 0.6816450134919159 -0.6614626478261808 0.11665971721377918 -0.3603570026926555 0.23085333409878186 -1.3407717261930876 -3.4831692954916247 -1.5233855133291954 1.456004756094133 3.8185453261071385 1.245944738084856
1.428755348837991;70;13;15;0.25750236160114154 -2.9633995869509278 -2.5030403251438327 1.5522462082312476 3.665635639094307 4.389687101422495 4.473097368364403 1.7159565556785432 0.8136567547308795 -0.4086599188608915 -0.13633732352089104 -0.6911545420364904 0.038744619684024414 -0.9284782264047494 -0.08969236159667392 0.72014381088065 2.5015168334099567 4.705248141887696 3.6184102878806024 1.6974616771010533 -0.19605399452036726 0.6842493659278895 2.042047180474289 -0.6347021196832862 -3.31635385364512 -1.3511019722394788 1.3856808752762046 2.962130547316809 2.6694075937239443 3.7399578175621495 2.4172512539655706 0.3100019963879001 0.07221167921810086 -0.2911795416573127 -1.9311254587519935 -3.3705714706819205 -3.5255772798773273 -1.556366638993835 -1.3443738932933516 1.0579920247108572 3.212119626136054 2.682918565900196 1.1418822910522473 0.8008688518528182 0.570393059073303 0.3060077424146739 -3.0065474144047872 -3.5913586141162557 -3.8006718998304256 -4.919703111376956 -4.0337383414749155 -3.2949936557194572 -1.878538641547006 -0.6474644874918899 -0.8352321652159481 -0.10480212116428986 -1.4316931974664246 -2.0212802788783883 -0.7363303482324367 -0.03510557185481121 -0.8272675449151172 -0.8683081675169596 -0.9321460658097475 -0.4632550954877373 1.756665297260338 3.0543850840050575 2.881389406520789 1.6862171108256951 0.9332787454797767 0.9126065716543391 0.8329786400740297 -0.2726557021176153 -1.5422765224563362 -0.7312100800673206 0.36230740364854214 3.3949045955853 1.9481465678422936 2.423927813475373 2.6628325754287596 1.5987537319498757 1.8574599293484846 0.9858580743946007 0.27678403482611347 -1.1302050504713463 0.601571603529778 -1.4457054357862231 -2.930095566214437 -3.9014849531123743 -0.3609044715865111 1.9324530586149797 2.966778678787114 2.476982049752368 -0.2011084593356713 -1.5796185287806084 -1.2278910686639073 0.9168460671304209 -0.7513985103481943 -1.4721045041629242 0.8008293885636564 0.5549411969695662 2.249524487206165 3.0944654082763288 3.098994326167231 2.1225314729176996 0.6611823620252538 1.0843512553838883 1.774468257826718 3.277207245174233 2.4908201104429626 1.3335674677753555 0.4173071725929235 1.485947283376216 1.0691828250628412 0.5750953308814909 2.3066285405693994 2.333817324026746 2.129919419993037 2.2667626809284114 1.958124414953589 2.6988895911609703 1.2401623553034808 -2.595159623311728 -0.6823440444787874 0.03655657873969212 0.9160338871792846 1.4014622970300383 0.9310981553841571 2.085064861445106 0.29547885075096963 -1.5245229846050354 -1.5867631064256311 -0.9514503536710133 0.2060670936575016 0.39846790755081285 -2.5191107948979785 -1.3282002349007522 -0.09754843913158442 2.354445466706022 3.35984861448215 1.0542249654611924 -0.5796112182476146 -0.017478099368413623 -0.3143273067693621 -0.25709580270754423 -1.2763805181401167 -3.0737982507054067 -1.8667338014016128 1.2298171326767626 3.6046839524792476 1.4801183983129251
1.411938472318116;85;13;15;0.27113533674488255 -3.093522706527748 -2.393883219898467 1.6869551567042127 3.611304799110233 4.543948574575647 4.224208469135983 1.8190709102935478 0.8521644631849083 -0.49141379972851523 -0.018965081907454998 -0.6538490785682162 -0.2567183928833024 -1.1885289463022197 0.15343274453070113 0.5759437915984695 2.619543968119826 4.8619421112175685 3.4844759281421527 1.5961780596652284 -0.33672152524225557 1.1546480285914247 2.0511384140302225 -0.7812908660861816 -3.1580654775736288 -1.202940160721931 1.9667134837711566 2.480088342278003 2.7396097149438137 4.070412767631003 2.561378224977206 0.3571993039549418 0.3806932901627019 -0.045688992311449995 -1.822994099493228 -3.5185343932127253 -3.4962375599534083 -1.3543794470782522 -1.0681425508934297 1.2784801607189626 3.369769400822399 2.3827420678101614 1.5733333830975478 0.7503410897940962 0.3603304201624689 0.053575763375562205 -3.399607465556807 -3.4438662557393274 -3.8430053008460994 -5.1261678515129185 -3.6607157566740725 -3.147843961500412 -2.122514922896544 -0.7336806916409737 -0.8915622289078803 0.4344103150020708 -0.9895871671132425 -1.9984905663605084 -0.5339634251226612 -0.26963498202782404 -0.916446116652893 -1.0907866161676292 -0.909232796504169 -0.29186816482075084 2.422540532839678 3.1977298282262105 2.5948137400889686 1.3774723613647477 1.0670794392388077 0.9407807392143047 0.8046808408434641 -0.11274616738789642 -1.5016100148310636 -0.6499980007029166 0.4071933006908074 3.3917409427570124 1.6857510396459172 2.7418684827887403 2.8250810588703312 1.8427956107212462 1.8104782470967018 0.7429046185984991 0.4777374121224451 -1.1627879488650896 1.025160889498193 -1.5859070450941366 -2.6522455550127666 -3.397330426283881 -0.16845316789677223 1.6834094513117817 3.3593585807738484 2.2104134472136603 -0.11214553163387977 -1.9835756895443981 -1.6284674910675687 0.9991237301850951 -1.7108696843876625 -1.834822602635538 1.2606782485132055 0.680802131551109 2.8202469182723635 2.8616532689657928 3.4318658972376586 1.898562554992881 0.4245529170380556 1.272041878602164 2.0983110476811757 3.5384248653278862 1.9658521806365474 1.3989778321195827 0.4092691296070392 1.8651939851951804 0.8921321635721203 0.7987778965904561 2.7176552463107733 2.299716698982659 2.504992897703867 1.8990170942058073 2.3315823689445394 2.744919212201362 1.0888202669534823 -2.6121056239517935 -0.3676276457025814 0.27106483449299296 0.8575530367865837 1.1614954708827587 1.105909368818573 2.202665313381457 0.2032316525870814 -1.7225195169266707 -1.0648425363012641 -0.4361081341309538 -0.09073650537616962 0.13410398868132603 -2.8037827882044266 -1.6228316541246937 0.027261836858020406 2.6925856489697053 3.2871570860803168 0.4670363085057051 -0.9086487098714138 0.32081804525865026 -0.46122277353735563 0.1341794893668998 -1.2492981432859935 -3.3913308082048617 -1.7165911873700082 1.7316696842260855 3.7176930341847325 1.2122630079925167
1.4083524948545416;100;13;15;0.14242705471155961 -2.9681142144378856 -2.3971701299828463 1.1505435469869914 3.4292455947436364 4.748436106576832 4.18216082127295 1.7461974164407412 1.1294130898035457 -0.2918407202373015 0.02511730755971957 -0.7342217206052887 0.1947822216603383 -0.940416058583447 -0.2400097335999698 0.8981633073527281 2.4264925528563817 4.7167240963291075 3.768898860917762 1.7017127794268887 -0.2622992283349263 1.2469162688506723 1.9191516087975036 -0.8822241813081566 -2.9808200456557548 -1.3774480235218223 1.9482801589388108 2.4436877637930894 2.7656542876641734 3.713225520273171 2.5484435516119395 0.7299730154321996 0.09770897961222172 -0.025685817649040734 -1.7266443666803488 -3.609051047519822 -3.494854023462795 -1.6078258694659984 -1.3152913212536481 1.2974283803829525 3.5386054828866307 2.7123349659153893 1.1267703973219347 0.5990670700016841 0.3228279023385414 -0.10418927013694396 -3.1805165696103144 -3.4238410701840185 -4.147182942136311 -5.067965265982695 -3.4096037338619047 -3.126008406915169 -2.1387162879627484 -0.5992202795185361 -1.15028175546298 -0.2529216425631392 -1.4947276771075675 -1.7266551498181844 -0.44094103916104443 -0.30843787888009916 -0.9839580696315146 -1.3724650157154035 -0.8363941980835244 -0.12930022156044027 2.4387356077421445 3.4742445275259204 3.161116282769046 1.2319928553837758 0.8610698373789833 0.7516524391675334 0.5901445476231347 -0.1851785260671695 -1.5327710366885559 -0.8875035756392476 0.2743431330436842 3.3629430755093264 2.1583437713273663 2.6182227342033726 2.75843917032581 1.86364390913133 1.5900628223860842 0.9502266181923832 0.5541020591738413 -1.235013480970046 0.6523412373607819 -1.4516536841947205 -3.276863906170341 -3.1406884509517505 -0.4738934097914561 1.4697950414934844 3.2791077732177367 2.6082839759667307 -0.3669492066137657 -1.8511362920541954 -1.4987349607056784 0.9644094397621068 -1.3072494966812314 -1.3489730513459877 1.0721633891966305 0.8340350131673986 2.6079628780845185 2.949730837400825 3.602143025860959 2.0119069623318886 0.7120338428677451 1.1693032863875652 1.698723004696198 3.6707249806210474 2.1582115281230783 1.4366915571675727 0.5053204540569017 1.9684224613522772 1.6117041307244857 0.6217324769028498 2.6076019424986363 2.647658004709778 2.743138496800475 1.819266354666816 2.5917066987343174 2.953206302631522 1.6377045225328806 -2.2344789388268067 -0.6665211375974478 0.27668513323377864 0.7736235318047366 1.19053124110894 1.0248614327745535 2.0339951718272498 0.58773751163297 -1.3372248226742305 -0.8785921359301403 -1.0469333168974637 0.1811513994000193 0.2392399757125038 -2.5945024509669765 -1.5619722232444495 0.007561572893088592 2.679338564138816 3.1159076778621837 0.6319486762900505 -0.7955747795731127 -0.02447544786845876 -0.34205431108221257 -0.13852051579734245 -1.353687529067142 -3.1566486930746893 -1.7235783611557938 1.4797775313446813 3.9365077619899944 1.4397430354092107
1.6321488682296164;10;26;15;-0.17087420698954273 -1.7809275811389822 -1.2056736861632256 1.0104886332833813 3.6010904717955734 4.050583475746373 5.116986384960408 2.929219212516493 1.2169777852452777 0.7310562714872556 0.1664368156250582 -0.7187482922258809 -1.971397932548861 -2.186095897953821 -2.1442851795915616 0.42359411636551736 2.601808701696524 3.7309955323628317 3.1722091362856912 1.589009369725879 0.3936250805362555 0.20440686484534562 0.25254135064707833 -1.3126922855036907 -3.1170619968909974 -2.403279077098253 0.41112236909816013 2.875494025440846 3.2946696383039757 3.8787472851110247 2.7840515189379307 0.038801699175795915 -0.10801877236620987 0.32198992522779174 0.008081325752976421 -2.6506769079893107 -5.043682837703616 -4.357410997376857 -1.789311470806069 1.5261847119751182 3.4137292584615917 2.5149595123799173 1.641248880033082 0.2503934656587479 0.3269885086777505 0.5875083325125152 -0.9950884394818789 -2.4832510207286753 -3.2420655222488164 -4.303484824593221 -2.854137346111666 -1.6463225701334867 -1.2087650021085334 -1.6713017089293796 -1.987883553109673 -1.0457495679884132 -0.6693600232813431 -1.0399328139551873 -1.8432587605679664 -1.5710165801039595 -0.7536959177703648 -0.3833874637392932 0.47039458199534284 0.6241434068038996 0.8539180709754035 1.5847083953875547 2.254462864803209 1.0950526959736857 -0.2310495825633486 -0.05982825543332854 0.7020312843989099 0.9674326122669266 -0.7908117777316985 -0.7697997852986401 -0.3300161732567745 2.3851766607081277 3.4255107351416747 3.636251288961013 3.172446964381285 2.038621587256081 1.4949540490191051 0.874031393705937 0.7569367008872308 -1.0781561920317069 -1.784322172835913 -2.1372605643549583 -1.385976886486475 -1.0474724737892378 -0.208018896868006 0.636876046100554 0.6946616087515713 2.168706816084674 0.6352950433983282 -0.6007678095637309 -1.378283716704072 -0.2737764557856653 -1.0525616655501753 -1.0983041855456974 0.5889255663088646 0.6457206902614029 1.7851419168600087 2.6501363292222995 2.577899789330803 1.5455338546944635 0.23621373300871693 0.1713411776640343 0.7081425528842674 1.9675863188726175 1.2069934982044415 0.23800294761893967 -0.1615108489690663 1.465836731313043 2.6479200948655017 1.7363092790456047 0.9279517256232456 0.2461338454028517 0.8147012963257901 0.6393261397591591 1.8282854011055731 2.012972096724749 1.0544714799733759 -1.2740569017023737 -0.9800994285931498 -0.10578108405809339 0.804235512227439 1.2984671559944372 0.05994492389397027 0.6790182710683532 0.5481081321953463 -0.2327503979081909 -0.6953824306628188 -0.4490998308258156 -1.238068628473864 -2.431252333833131 -3.2191375758945173 -1.4801729870483231 0.1539331120794281 1.2716424532048411 1.6777571401305469 0.999842381392089 0.6300012715501232 -0.4950530713065394 -0.13220141917885891 -0.3704753301274189 -0.41399839580137276 -2.048434616200983 -1.468622898534293 -0.5694102949723476 2.917785192499998 3.3301686266532
1.5488406005957842;25;26;15;-1.1353072718571684 -2.1697989823051302 -1.9183667602055698 1.5135943501915707 4.205449104149918 4.947740244126822 5.051505780454447 2.52668647430761 0.5767357157247135 -0.008231165539254692 -0.07161474926782121 0.2686861416810972 -1.2416051981522955 -2.0412046720480963 -1.558692951216037 -0.2955125471568116 2.233165718280723 3.4452870099319477 3.5567400249414516 1.5413254356225603 -0.03309260713450221 0.6110447398840517 1.5923838928051717 -0.7604375505216882 -2.636013937254302 -2.874379392550111 0.6181810055269931 3.2628947264188772 3.673503435803323 4.6067390857232615 2.5920748230787565 -0.2499256712723384 -0.15613577301041076 0.4936667650484592 1.0571376108031985 -2.524491131380474 -4.461911584266934 -4.339769184814797 -1.8799952637496158 1.222102546384492 3.8038170574819032 2.813673098103605 1.2078031321369223 0.46835177643873216 1.2730638804436822 -0.03418028128075477 -1.662056066830274 -3.3705175549927433 -3.917089651218349 -4.285521315085735 -2.432851832612061 -1.7884515155636893 -1.5696453244092141 -1.837860751720685 -1.607523342543392 -0.35479222962343243 -0.5811592724731209 -1.2327618270007745 -1.5563861085482602 -2.0895598564816735 -1.5329275419529735 -0.5439742207106762 0.26386828811423524 0.6145920178174169 0.8455299878658251 1.744328638747531 2.400731936099023 1.417030602045818 0.09455263722720622 -0.2957792800524365 -0.02417169473833792 0.09767967231659422 -1.304920788206177 -1.1869150700061761 -0.4607683840902327 1.5243292634383991 3.0231247674199966 3.2162336927518966 3.116587614609032 1.8996847501567875 1.5788771140714115 1.2701359589897425 0.6978686187799059 -1.1306727690749605 -1.8879336001519726 -2.0234211810361415 -1.4647996771084018 -1.1308002197735436 -0.3176842510874958 0.6277186909424763 1.436686165598655 2.074900855440345 0.7619236026045344 -1.0506837521429655 -1.66636902243286 0.11919865943517444 -0.1331202136611985 -0.5020916147628467 0.8506483090754987 1.0400738193588606 2.1628075410938457 2.864253802373783 3.252499781545473 1.454391778392909 -0.635521563275881 -0.22822329592765334 1.2186156240698447 2.8238973099612803 1.7759734041495874 -0.01134893386956531 -0.48100294223851364 0.7041762302333511 2.4728139176815445 1.9754352450904218 2.6604372211712497 1.476452430980468 0.7780212548519738 0.5761078225945017 1.3961658293973744 2.482225500290674 1.33724017456896 -1.1150423112508234 -0.9643343313118726 0.12865925290342425 2.3795839563165946 1.7164411978179268 1.1907817992978116 0.5369538746993603 0.16195440001607148 -0.517211970261044 -0.8427200060820671 -0.586430878982442 -0.6244724413737911 -2.141844596061464 -2.651842085938756 -1.2771348884911906 -0.07584419171435851 1.4835014580430042 2.5494748389332607 0.9989968036668234 0.6422295745042641 -0.5626226841194202 -0.3560307928164801 -0.5197729654969708 -0.4881457975767988 -1.65500943602059 -1.9107044421786408 -0.25490778048393736 2.8226153146852844 3.0078899908481005
1.4972309970021398;40;26;15;-0.6873728806210068 -2.286239647860954 -2.1241130737832443 1.9126004032650388 4.518335926431919 5.173188099358938 4.902894671527088 2.643307308124768 0.8013606827507588 0.19720511410492425 0.004269655014662404 -0.37149950357308476 -0.9379617714823505 -1.7382417811882125 -1.8561212468160564 0.2449901775669013 1.9730094883748484 4.050113211124103 2.3559224570578765 0.7205873423070358 -0.3152173462174737 1.1312167193723333 1.82867449266247 -0.968153434178174 -2.8236929536228237 -2.4078439387819404 0.8957173322537131 2.3715280537586705 3.652667717720714 4.633494446945943 3.1121824032716314 -0.13819386722004662 -0.701887358562073 -0.15604415378026 -0.3291046798573444 -3.1895195911081218 -4.325822094619421 -3.7860709321379704 -1.6734840962146385 1.1612899922006714 3.2698618315870243 2.540026713468133 1.314111392272475 0.5454992119023728 1.228011256620926 0.2131104296195135 -1.5107701406565017 -3.2126200676677885 -3.318588359429917 -4.534128954135612 -2.523224112684805 -1.8349212982998935 -0.629204291928125 -1.6468954243309968 -1.8167629434823525 -0.9390618013073728 -1.0538165532157795 -1.2719474503633077 -2.0711746064721774 -1.9407907446318633 -0.9060500485359644 -0.5909560527282625 0.44745255765553643 0.7133386025458384 1.1039542511397773 1.931786900322032 2.304450945789845 0.8888328978089712 -0.486144701796399 -0.5004916666865071 0.5628691246485958 0.2630813624216754 -1.012039457276354 -0.28668789673069944 0.3431018863345333 2.8018886261074565 3.0164323327350475 3.500054566998358 3.157952929472365 1.78775533012708 1.7978092582664371 0.7186147020292575 0.6736233324200389 -1.61109136304051 -1.1147946734951155 -2.4510792294649097 -2.229940435924495 -1.6205351452973427 0.32302922501958786 1.1867868713784706 1.4225045421553575 2.106870163338089 0.642154841368432 -0.494918881146809 -1.5500448746719808 0.14952114256015483 -0.20409714826428813 -0.8832330786418888 1.2178647732151477 0.822054273086064 2.088653699388879 2.633681260885355 2.9756912417397463 1.77293615365926 -0.2901418331271763 0.4988431953898018 1.7449754772518566 3.1563717021214344 1.9939004700388643 0.6814950230399404 -0.2522450193846882 0.9114244701691245 1.7545835525948772 1.3081902514743695 2.5380219484255533 1.6275692715623475 1.6225894088377977 0.4735598822474665 1.715835095612091 1.7312052604701436 0.7924998638831567 -2.3048926791266973 -1.72673737124418 0.2246512326537408 1.444299659973718 1.4677880299638553 1.0570017732196322 0.8135767797919331 -0.3346252907353281 -1.2786587555394686 -1.470538552923927 -0.4212701994962739 -0.7281802429842552 -2.478680917241874 -2.908434039492594 -1.2804132619247834 0.3706216522171082 1.1942158542839043 2.6503963226567775 1.0196766904311294 0.7991299211110435 -0.11536484117880784 -0.38094987552526133 0.04897347428160147 -0.21844716463263783 -1.9876264052254575 -1.1881331901670773 -0.11084479691174941 3.4405906538729893 2.73794731452751
