rmse;hl;T;RS;preds
1.4505570630649138;10;13;15;0.21857214509536108 -2.0942939535230565 -2.5717967570647313 1.263157022323137 3.655961966329454 4.662359109741888 3.873565388317863 1.985178259422189 0.7188046799507062 -0.505897762887165 0.20604603284141665 0.32446959763254263 1.0317278204400013 -0.6874935918584428 -1.6218093527515687 0.02212576372047793 2.9639546948006443 4.2730734563638935 4.356354924714989 2.049149224631183 -0.05572721844237037 0.5139467771180328 1.193733383748668 -0.43774788246951246 -1.2225574591120323 -1.525966277651154 0.9793455833222813 1.8291290318753963 3.4286728903119297 4.352165376134298 3.484271348054885 0.043291565633495316 -0.12366697743803434 -0.4512248578084218 -1.0136489154812012 -2.673235232341138 -2.417729829690028 -1.5729600909330017 -1.5888402083511908 1.1137422700954274 3.078952366841956 2.623800012717169 1.1618903284230815 0.8070025103257646 0.5748320425993412 -0.4307136822215001 -2.2325203016516344 -2.8340887970910473 -3.122232511483111 -3.1262794830190885 -3.1099720837641684 -3.1068276009586993 -2.0572285646374247 -0.8194257325729682 -1.3501491621990713 0.05321033013540065 -1.6144125694938383 -2.0158752310383536 -1.2169529232220406 -0.7606523895664798 -1.1044183744642186 -1.726258120673714 -1.1811409243439808 -0.7976162372374939 2.4516319410617737 3.9296610685276767 3.104244216635078 1.4435885719397892 1.0086489101560054 0.2798937532444983 0.09335700065752099 -0.16228753442482752 -0.8479836750038147 -0.653271956045313 -0.49942368674338466 3.0306840465742755 1.7863472320447302 3.3993607272958126 3.6765790263392875 2.1585148038747013 1.3760698046171187 0.7714925141899996 0.08960102407729822 -1.046647488861922 0.06070813042743711 -1.8474433668771495 -2.841673835963489 -2.0538404128700347 -0.4632020035104779 1.194170100831005 3.0754855880278487 2.379480468146535 -0.39262853798139924 -1.379506404721973 -1.2614824150939727 0.1357871503821078 -0.16194487026694446 -0.15582334282406293 1.051740425667835 0.6116944239386395 2.5240395135006057 2.1987958143223554 3.341155745512736 2.302598792100798 0.8279527992478757 0.5331147032154208 1.0432669760503925 2.998126458601285 2.3573106362883913 1.1952445207036682 0.049745722925440786 0.027727828474715454 -0.46879410883879796 0.2675530510550028 3.8089210760573646 3.715039783213991 3.0700583748489296 1.6248348475262335 1.9101181848416322 2.784598463651475 1.5858690803629016 -2.1329736680021414 -0.6883074192334151 -0.5019208068642166 1.1044013769454415 1.6202356894735974 2.3418380316209015 2.2217342442828834 0.46008335620596696 -1.8659216214504764 -0.08752182453059888 0.5173406948688489 1.8420298581691237 -0.07412115486845594 -2.5309487332858946 -1.4847201763672244 0.6119736622788374 2.5161801036765725 3.8906228147155617 1.2340257763973708 -0.3546271128253266 0.036748222805702224 -1.199992994362271 -0.41419870756324717 -0.2652471809650535 -2.2905940885910456 -2.0825918527187066 1.4512724562423893 3.6020552631002425 0.42838744578209376
1.3800566372542884;25;13;15;0.07621044488615064 -2.752925616261411 -2.405565701382588 1.0446351615461709 3.157782196456637 3.669614616955599 3.471741341890056 1.7180185312579725 0.8833974475108722 -0.6768533305992815 0.34099516822137693 0.4989276258613956 1.7024482792867504 -0.8241357922029262 -0.7040694463157252 -0.21734526273507457 2.3424757344112277 3.7771069255318093 3.5671238871454136 1.8065918245018304 0.06420701528562053 0.7932769986363278 1.794587196774874 -0.6050530584927118 -0.9862920947925848 -0.8300380625098196 1.3763886560122818 1.4409231899389827 2.5778458736416257 3.507168143122104 2.9237710321251162 0.17445986330988997 -0.007599266173805314 -0.29523276591557673 -0.7467672275307566 -2.3652343696250355 -2.0930131563734866 -1.7622502878131088 -1.288464971040216 1.1569046997151058 3.088090177562707 2.564317229100588 1.6480805969150725 1.329694823634385 0.7551767280500966 -0.7936489411088564 -3.5982391546501127 -3.850991113008093 -3.984631632240526 -4.424134058986751 -3.751727536726782 -3.274263971825564 -1.5883739874056095 -0.4862955159602925 -0.8476722370159135 0.15293600880270344 -1.6515652718427767 -1.995769321715082 -1.4838239778004532 -0.9166724876645365 -1.25687150042578 -1.9699595817742506 -1.6753178287098833 -1.4211880249618134 1.8736881024934744 2.891581568496565 2.8066883205706716 1.6904166937152054 1.2470353326642725 0.105560536091946 -0.08092808551000524 -0.30966547172805725 -0.9350114600408217 -0.2370622302672524 0.37940672702970607 2.5754331465509366 1.226658796534491 2.6728881509919526 2.8072328690313637 2.1601583337997923 1.9752982093804292 1.0892240355590999 0.16946577283402936 -0.999923927972076 0.7243860770240924 -1.315198765987227 -2.5537290105581687 -2.282520214136729 -0.39442557785484283 1.4422649417704838 3.1271781536215078 2.543911638404972 -0.3722701235138135 -1.9174912293196502 -1.4088611012262189 0.40561720281863867 -0.20442163459779922 -0.0814165092359214 1.7689433973440665 0.5046231819183248 2.5380153587302092 2.4998897777232254 3.4182297208498724 2.3932957644350323 0.9046716049825558 0.5500856398617309 1.4305164135671202 3.066673368163408 2.451659198437969 1.4636595858308987 0.5575598520397522 0.887179483340864 0.6212598909106295 0.7322538737331088 3.3914614797681093 2.84641130363534 2.6326670468656066 1.8743530626599958 2.2973590857075736 2.8035156817941878 1.8175298201778936 -2.287469075340002 -0.08163812518331104 -0.0491913639047408 0.8992185572025726 1.0557119152389642 1.631964298825126 1.5752144415866263 0.2473428298497534 -1.7263511252375452 -0.6759611757091987 0.09384385184250282 1.489084128125718 -0.0640930613301631 -2.2785364437697315 -1.7521782380115558 0.26589757730710073 2.374689460099909 3.0517998267090007 1.1484773779650703 -0.4515136811600291 0.02717953586894187 -1.4892949225939274 -0.26579581054388446 -0.07013292896881132 -2.3040214914490726 -1.6544767190583565 1.0697606215318591 3.2016345222490807 0.6955093580809845
1.3796581957201446;40;13;15;0.12712428446497873 -2.5847359234040956 -2.2436802502481443 1.1856970256280706 3.4375195563111225 4.184127845333105 3.6957706154335925 1.5547609258339636 0.8491492282676618 -0.5979843372270456 0.21418885572741408 0.26895828486636525 1.2443907681101207 -1.026827033159684 -0.6436363986773923 0.02926013857015294 2.6139289486236055 4.521421701042506 3.869305150278028 1.7073198613355358 0.11784885769174755 0.8414554594220458 1.5084552864181442 -0.7974765057430425 -1.0951007698966415 -1.0295151795625876 1.5203761950610724 1.7446990095790191 2.8325408935312386 3.8807182030820657 3.1071655483936738 0.015087707003031314 0.013553206582720991 -0.3598999923439754 -0.9687883663011396 -2.547075814513677 -2.126404340807481 -1.623717968148449 -1.1756997080624558 1.331752755537126 3.3262127127256114 2.503387707824413 1.3923021712046002 1.237021766408897 0.7742465575463423 -0.6566252123805412 -3.2957337983192208 -3.4405052115823294 -3.9285188787291396 -4.606378074354584 -3.268847242252874 -2.991403395909673 -1.4364532039917735 -0.39153899176260576 -0.8201619063789447 0.31241734438014634 -1.7096225845438284 -1.8290739920428003 -1.3102815053684442 -0.8973339034343217 -1.2097870788329534 -1.8395549024872817 -1.5719159237525993 -1.4693956900791691 1.922110382006917 3.023858919387629 2.732816937170673 1.6918677745830941 1.3239047279141414 0.2734460920442697 -0.0064913549233858205 -0.30790821339610736 -1.023958718495446 -0.49257220077536235 0.4564048085460351 2.9642230751201053 1.420672157552342 2.8599201790903455 3.0584158808342816 2.160538139876887 1.8309922682338855 1.0057083334916894 0.14036989035856037 -1.0100290760161514 0.7952142941845343 -1.2856385908008938 -2.418833603660132 -2.0015995546706025 -0.25082578247071996 1.5749565448733944 3.31595435426479 2.5182016424891187 -0.5957842026940993 -1.761565259028949 -1.3143578310018627 0.11943210688102246 -0.4286171856244169 -0.24641089251828288 1.4698544985173827 0.4596144394759268 2.50898655261388 2.4320275974136556 3.196596999690272 2.3456118303317135 0.9460825235329847 0.71158072642995 1.3934962539540765 3.172947182164209 2.5883166000114843 1.4333146378354278 0.6651889716772499 1.1854710290309354 0.8535704645460125 0.9587538337332 3.8026324099780333 3.2119737542436684 2.8370320704397165 2.0593428842649915 2.4740081501968243 3.0231352510262255 1.740159009018675 -2.396910885377385 0.0983862673764248 0.15237234648136924 1.0389679486675107 1.3651413939524648 1.889730116744999 1.782588260148442 0.20105705312359265 -2.0275581618198846 -0.7636069693334018 -0.039776917024623736 1.550992818223676 0.040202702103215915 -2.364836292119942 -1.5505179848445125 0.26915208181579736 2.26027437703332 2.9752928647030465 0.9766223917214124 -0.34956637656701056 0.15730870224006904 -1.4681834856674971 -0.46657547822914763 -0.36980819835675016 -2.5135323182577562 -1.7010170414879011 1.4379175400331456 3.455772413350527 0.586743740645368
1.380621436099648;55;13;15;0.14942360758077486 -2.633533516020534 -2.285950300329035 1.2149170077922746 3.375360757321703 4.070051232981908 3.672521870728688 1.6242495627670521 0.8437405860483482 -0.47559018145961013 0.479063176454447 0.5740620217218255 1.672177315598095 -0.9048634540766516 -0.9952271226157074 -0.3394795748338357 2.3631772623341063 4.414908261756473 3.7220023954080403 1.5409899602232342 -0.13111724580825782 0.9952445712316823 2.2237138486705135 -0.5124782476341693 -1.1204525260110714 -0.8826406051241504 1.4341686024456766 1.3777993001132873 2.4586307965802146 3.6957709149651987 2.9911863112777266 -0.02800438885128604 -0.1276837150024766 -0.15908391284779205 -0.6813536432217591 -2.352872101159869 -2.157309113375577 -1.918156489017778 -1.457718749929769 1.0761913404755927 3.157768418002736 2.480743717433115 1.4491266118131285 1.2956040831333138 0.8355626992436601 -0.7118374989997635 -3.4522109067659574 -3.584453212459056 -3.8910846166700526 -4.499155943287474 -3.544578067338265 -3.3012550644225938 -1.4867186512460668 -0.5718384479407734 -0.9923114070747342 0.01184537096585039 -1.694041699200574 -1.8916786438285567 -1.3620366730678701 -0.8419001880749639 -1.1676948756434467 -1.8579708544864482 -1.6052386652144992 -1.39852546361091 1.9708011916056236 3.1966628966437107 2.9941319050964523 1.6282113175609685 1.2034424012430929 0.2029961084199876 0.009067514846787753 -0.19962027399002244 -0.8781205234156412 -0.33367337928974034 0.3101826888295461 2.5796769103524113 1.0364168379745997 2.522645493403763 2.8602448713518362 2.1028804023389607 1.9400975545113197 1.0599070051543764 0.12375839164009958 -0.9863429402827952 0.8011512352748849 -1.3836314042414544 -2.867731887606143 -2.519677358931751 -0.4995433496201978 1.3725333847044907 3.2067166750172644 2.4766458255240256 -0.5672607812809066 -1.8866531025340092 -1.2055799327703782 0.5612940376955992 -0.18643766333744144 -0.22728913172975312 1.6446764202067323 0.4158897141478691 2.49368288377248 2.650121652173579 3.8542866355260545 2.553561648172908 0.6974739110053862 0.4928023168319815 1.6686883714451037 3.7269758182030497 2.6498047477338584 1.222279344915253 0.44109574813571684 1.0656968013430137 0.7296454027375452 0.7019261488050139 3.611715157411195 2.8808322777326225 2.4994719311321005 1.7162333228829874 2.405865907835138 3.1816027469984283 1.867113833027306 -2.3193425331236526 0.03653718406816858 0.11552891051618469 0.9725578975864523 0.9853600282158242 1.5462003125190176 1.4864284809021242 0.029116213633209913 -2.0141897666883466 -0.8088279299190341 -0.027108190284514916 1.4552804886695165 -0.20607076201978777 -2.47204778981502 -1.795472087123604 0.2930502110436831 2.436581076896294 3.2640383380926514 0.956975963882575 -0.6442404790448842 0.04991815952718144 -1.2364291422254612 -0.20732108182839218 -0.09782003941581562 -2.3015108175230448 -1.7971499134176443 0.9618014180639529 3.2689665316150727 0.407218648553011
1.384377136891351;70;13;15;0.27981258017912564 -2.5134848424981193 -2.408446596374301 0.9623122692189089 3.400221581133012 3.949694341436362 3.57518997377796 1.513624902415438 0.8771082572512293 -0.18497690385451648 0.5840041496890411 0.7496174963155945 1.6086149115004236 -0.8172915698763625 -1.0819164369373229 -0.27320685899437647 2.4730286818434344 4.11664547110063 3.788920751625399 1.5016117380376952 -0.10682225592243043 1.0498682033611497 2.2344340848686213 -0.351219117089003 -1.1904863853509662 -0.7685929724558858 1.2639211274514235 1.3731438301186216 2.3136877517065577 3.4791649332265715 2.985632695760847 0.05422873759764056 -0.1485690617281444 0.06720029079196249 -0.5127380164199421 -2.2755827625976295 -2.288262684331533 -1.9260918301040695 -1.526753446713144 0.6903769588858035 2.9125985032011315 2.39394589778703 1.3911139293214514 1.3539016201828113 1.0157037780848692 -0.5621166254701689 -3.3831886405442537 -3.64771578541858 -3.6556773355204437 -4.5551452897769655 -3.867885294680227 -3.1865401502178567 -1.6770425317003472 -0.5566375184404165 -0.8547584808805625 -0.034498365126176066 -1.3722456088136121 -1.8501445429049377 -1.243323461213219 -0.6913001143972695 -1.1030442732192112 -1.8671405653232955 -1.606865271603821 -1.2785765341134732 1.7452995704501342 3.0691969219485173 2.9205630486190604 1.6059523750498792 1.2483703450346264 0.34385228789182054 0.1007184391856796 -0.09679517330330965 -0.7997095138698067 -0.3485034886611993 0.22189035623262396 2.2725608640020316 1.3306254683359084 2.2221712608968267 2.763556967355172 2.0919630743437487 1.8671872182709086 1.100430186905919 0.19797305698191955 -0.8977807297083795 0.6122979426843691 -1.0963597761218355 -2.8272858352432846 -2.662717479509052 -0.6723760819105077 1.3076919806468883 2.8970078830806645 2.3272532386352 -0.4588269325409854 -1.8312099519290452 -1.003737115089148 0.705779173625756 -0.005263181732940056 -0.2836676633797688 1.5516107519279705 0.49477076366726824 2.1847561688605586 2.5631664286682567 3.7016893599788454 2.6130480261687676 0.6880038448500796 0.5208598168311993 1.7057958445214543 3.5593824927743576 2.7163388049000248 1.3218145963636971 0.6277346410005247 1.3424145830719583 1.2665920507869508 1.2929216278309343 3.472433858964379 3.166506653560361 2.44498323799138 1.6992799837185615 2.4062804595785914 3.3374202868475615 2.0344766688847646 -2.2211153362009735 -0.2575611999412076 0.46850154224200274 0.8875476076853032 0.9083624334383559 1.4395170388120753 1.3982137269912964 0.145683974193834 -1.8379920963301533 -0.9544865558007176 0.04458052501934352 1.251811214364768 -0.1747138277708921 -2.434154196037302 -1.9698409672580603 0.18128390469446293 2.226544721883934 3.0226050800826476 0.959108029857935 -0.6345826814551778 0.15989892052835905 -0.9760153151379612 -0.2675710220515014 0.03702158283812185 -2.141977288563162 -1.9539984410564921 0.6840703209100796 3.024514294542741 0.596928676421136
1.385469935149069;85;13;15;0.09119649790026507 -2.529832978051529 -2.7625729302448887 0.4569819685103891 3.5092358098020577 4.390482956901074 3.60805068773677 1.369016584112091 0.9119880388868317 -0.4827786404849912 0.033226203811094854 -0.14825852233506287 0.8114809571409646 -1.2595401772742585 -0.7909860302438039 0.6813040716407703 3.0168304102401406 4.931775209498179 3.85738469093251 1.6247506791447954 0.333695395762715 0.8991185136459878 1.2926730165975053 -0.8724569797991611 -1.345747994538359 -1.4615975344686736 1.3449337936487726 2.1820728149633593 3.2429486172076953 4.209370871474361 2.915816371250203 0.162297588354266 0.14899509017616694 -0.4685192511483456 -1.1239400473889316 -2.770080989494449 -2.6871646501717277 -1.5148644381863128 -1.0637833925405347 1.5339792732063353 3.4144235727255543 2.0911792001294307 1.2779320178789924 1.3346607581392307 0.9631095474726198 -0.2210134952753062 -2.7803725959635965 -3.686293060088228 -4.7004073358115885 -5.740813297830706 -3.346545441458042 -3.1354649192652793 -1.6795842071476523 -0.5093809036152797 -0.9665778979277675 0.2946028518469146 -1.7220847467997762 -1.688542598436085 -1.1107633524855798 -0.7117644132877674 -0.9450104241303785 -1.528133239058676 -1.3548137679077368 -1.31519936505044 2.06660038532568 2.8516165638938116 2.579799418779487 1.7790166452720453 1.519016022035769 0.5675374745023429 0.19190456535412123 -0.38099001276053784 -1.2501721765138807 -0.9093507370742445 0.06480164168678094 3.540732456824679 1.8020182764015535 3.2552276158862434 3.2130751319609203 1.7861188391947427 1.7674643102709662 0.9826568303496921 0.09695757649612513 -1.0342887398931324 0.2305537837715153 -1.843522647913329 -2.631649761746997 -1.6667811779234605 -0.0813909133241062 1.6136981126292302 3.41329643529014 2.2724018127189582 -0.5007026492618645 -1.3685350112717805 -1.0737545750735846 0.13286368446081534 -0.4385632075025175 -0.24256915629496228 1.3951174687744805 0.5183925001052182 2.642462029931109 2.181907024219139 2.8956441156760824 2.1583639897108076 1.042765485258141 0.7144959177906117 1.1121865778139544 2.4318459314942884 1.7286740686290676 0.8013087140170239 0.2308130470977021 0.6913737251894708 0.30804047622101455 0.45384059334533794 4.096464229578313 3.3040120291119943 3.085940439222561 2.2900548577162643 2.1595979101639537 2.3607240984765343 1.3289030118324936 -2.250264554023132 -0.3731030460287028 -0.6200421442643426 0.6870553031350654 1.6526370717137766 2.1129966330524783 2.0869008404274 0.38807783006601504 -1.9889741476890894 -0.9304468978887411 -0.11028897857436148 1.6335898568538247 0.3033671840957595 -2.2095733350403197 -1.3296892065168682 0.4698370787926681 2.2275385677544377 2.6140352823439272 0.9388711503397033 -0.07665543094904304 0.3384732244186529 -1.1377953311469025 -0.4318229226434236 -0.6224196015083613 -2.6182888549056225 -1.7620172522232196 2.1886389970761515 3.9549005002896536 0.5802522542269575
1.3748731256099709;100;13;15;0.23032243304691308 -2.6428645246275044 -2.175732853196514 1.2523452792192307 3.180092209106641 3.9037036595048202 3.7406428463463093 1.784528775661419 1.2253982177683627 -0.08843676254350423 0.8319335742988075 0.8307720656115426 1.7733173076285835 -0.8480759307386294 -0.8334131846523253 -0.2397334905758372 2.318249767839983 4.327897325372334 3.7055323504907682 1.433490762420074 -0.012484364586335771 1.2199545303510837 2.2940329369827372 -0.5152175390588898 -1.0270788643578836 -0.647479239423512 1.423491798330517 1.2910098673521855 2.317790885418762 3.645815932221085 2.923858495354226 -0.06484673901439686 0.12680539562836485 0.1029826734824258 -0.5653250957150853 -2.313883719360243 -2.1460507686463184 -1.8977898374310125 -1.5636265363073762 0.8870364569987407 3.068413047734199 2.346523754307828 1.4477149193515002 1.4136632677250824 0.9262217059467656 -0.7412841517072175 -3.5976143317188676 -3.6481644837651785 -3.6387675782047695 -4.667386671974886 -3.658793063291685 -3.1508485630456264 -1.5279258134211462 -0.43141308852277366 -0.8158891628945368 0.06619676630642259 -1.6263210475750949 -2.0651787325382402 -1.462893008666964 -0.9200595910713039 -1.3423885978051968 -2.0658297644850574 -1.700785653321848 -1.385754484268618 1.842297938956978 2.971811109308612 2.7840197685876373 1.5062104467929216 1.249136097586749 0.2039092492432537 0.0745704344574362 -0.08903940141513962 -0.788076604866568 -0.16233686353627977 0.3589427651122654 2.4092474699071844 0.9666581732982145 2.4575709039904687 2.831286455163044 2.055920286362849 1.9829534884146047 1.1043206531774787 0.17406773899547678 -0.9228876936173638 0.8142585137284207 -1.297369147107865 -2.87757928870279 -2.5828542658518043 -0.6084205051378 1.252862869835334 2.984946169318655 2.302009463664928 -0.5503871924067223 -1.7676601281588484 -0.9635832558084707 0.7315034721758216 -0.1189232205023405 -0.26518970833804845 1.771032181002281 0.4528278769836223 2.472473200479104 2.6559520348949026 3.9129783561697606 2.5197514190213623 0.6584350581300583 0.6563248579619759 1.8021607036804639 3.6651992215435762 2.52760873212415 1.208637627192746 0.6090588453326838 1.174813919118906 0.8117388538541965 0.718329398174027 3.526397473198833 2.6693315126958828 2.343105799145587 1.7786393852136069 2.512823852025279 3.2310065915865063 1.8557738659352645 -2.4396465573406436 0.13755442430215142 0.2708572590896599 0.7591070320253263 0.8191559303782702 1.391909635034228 1.376576911626993 0.09867331225911825 -1.761096342298909 -0.6445978951343895 0.1109486791169369 1.2929589195159488 -0.30122075842411716 -2.5471641763376063 -1.8377509733868878 0.2760967782756302 2.313093331233377 3.0527032140343286 0.7831111954419276 -0.6704515913384808 0.23461670536554113 -1.147090695492694 -0.11691712628825654 0.09023760362409981 -2.2832089870659704 -1.7320193115939266 0.9575988398583773 3.09867832032233 0.3618860750024912
1.3252524495826177;10;26;15;0.23758345360397878 -1.5855216976823214 -2.7967231277698583 1.4879008285140773 3.9805673636541647 4.45590515274376 3.35836084099246 1.4976904200106618 0.8604357289679357 0.27134455957205156 0.4124065734197545 0.06619528736911529 1.5630507625765966 -1.4359733543580946 -0.7748357353165148 -0.15883284919933432 2.7300112246122024 4.835266724933834 3.5430361544105873 1.6095597839532576 0.5810035543790643 0.923373609665969 1.475624375854185 -0.5914074094178691 -1.395404344270751 -1.2543087828831156 1.5897793157204931 1.7433154730884055 3.401123770331914 3.948469856228822 2.6888244305863678 0.6614574818058618 0.5376506226576259 -0.7493152680247005 -1.4604453861441131 -2.948786937525818 -2.5698797547828676 -1.8430056563604391 -1.4383170394134757 1.512934182530754 3.168488354669237 2.378455620754754 1.687656060663519 1.6155026407928372 1.0717733990449139 -0.7350160784258357 -2.7189791002288897 -3.1351854562763766 -3.4423880672610467 -3.455186753276944 -3.4234759411556452 -3.4338963462156054 -1.8952818592894434 -0.28881264290242453 -0.541436102201199 0.5033392771283369 -1.4411792136797796 -1.7386027167740945 -1.3740570262041698 -1.030008283469856 -1.2646571505917026 -1.6366977210205 -1.142350458053377 -0.5904726461567558 3.2769038196568068 4.422422311638164 3.4656614493404834 1.9855504274433167 1.4986450272407084 0.5139695789615808 0.36508087911785914 -0.30104704881304867 -1.3637288768790243 -0.6068522325288521 0.13014708255529037 3.42032734069048 1.4401740613910234 2.900057114835253 2.741430268048371 2.1402276504663473 1.956932728456965 1.084968065844658 0.5499223576947152 -1.2292033915150657 0.19016924771235047 -2.233054366506097 -3.0026475128876218 -2.5471108597116423 -0.2357571336161018 1.43046923733909 2.9035766112121117 2.254940767481445 -0.6855524772822529 -1.9442473393713482 -1.5261413538751774 -0.4026795831290433 -0.7265456241244586 -0.10379608810154517 2.225275456701216 0.810769644458331 3.1409527136115156 3.174498456354485 3.7665858778520516 2.404127875688183 1.052356412416687 0.6629516952250923 1.1287281359022878 2.3760464880433436 1.6258210553407701 0.7687938841808671 0.326419660715478 0.7459080220172872 0.54534888447734 0.8167975682741684 4.195664305159037 2.942920087731292 2.4758261572827256 1.4825610785642682 1.8029492206346833 2.0466759921559725 1.1001552168911142 -0.4504505686055129 0.011529720814732244 -0.2714621248277251 1.2322167552596655 1.3851986293896734 1.7562255848619357 0.9506720216913099 -0.6279346148894478 -2.117535659235207 -1.3171967915686598 -0.8371854108222029 0.49830811961616683 -0.366819584311035 -2.282331958522018 -1.1757672524397307 0.8234137721652527 2.91061290818137 4.144412949621814 1.6797905104415516 0.17048949698228538 -0.0350762739195464 -1.6571208343150985 -0.7031826081116586 -0.5591471065643707 -2.5096917239986856 -1.2407656110591607 1.7847701981362911 4.02762377904178 0.28696168823969737
1.305361597726533;25;26;15;0.2859874991308731 -2.64867394013637 -2.7734597060162334 1.5056790777229176 3.3133460330350295 3.943919072530642 3.884453062684027 1.4266830080666066 0.7542812783123418 -0.17381010347250664 0.31107750206263696 0.23443829685239506 1.01725340485131 -1.3115425334319823 -0.9053806702782465 0.3834280886133243 2.7793515684996937 4.152405950542365 4.013015023527555 1.5107097110547762 0.15789954705469686 0.7049481231834076 1.2463251432251634 -0.5370683323146159 -1.3233111302529843 -1.3907828711134276 1.2488740074310254 1.801627237889214 2.9395976831515376 4.014146354405461 2.955275466969508 -0.015106576594349464 -0.019370596220716844 -0.2547641737993263 -0.8682642112536997 -2.964976620859367 -3.108323461801766 -2.334427693658081 -1.317314207958424 1.4211135173745804 3.1766988155361364 2.679455381465367 1.2859003074420032 1.0511789536713738 0.890458680486375 -0.12412702054423073 -3.226248456233804 -4.400959897651875 -4.605097277205014 -4.828773702516045 -3.5650774114267287 -3.322326813411157 -2.119548062333754 -0.8036597366968714 -1.460748062832523 -0.6432717938293301 -2.0230509599704565 -1.847123167589757 -1.5201646499640584 -1.265928812027273 -1.5925749181873492 -1.8455530229082684 -0.45104757253880023 0.36417247463812147 3.157295757127614 3.8548407689981556 3.095833668655009 1.5011813111190957 1.2687383445136216 0.6370287323369884 0.31887487140266535 -0.14204267987757171 -1.1193444837155742 -0.8619788400220402 -0.1501569910987715 2.7392415905993746 1.4839506056870126 3.15818027396173 1.981420934949737 1.3171714071648994 1.3861098045367717 0.9848319539934923 0.24821963374500097 -1.0512549589166396 -0.07905268068000026 -1.9951737031154748 -2.806649605210632 -1.8604079934030702 -0.14331823522402723 1.3572186331936482 3.1803009826364006 2.21945825337058 -0.6699750365524738 -1.4387631917414188 -1.2024288602695652 -0.060709215329616886 -0.686603084392196 -0.4808255072030888 2.3137168062723923 1.278336385547823 3.6199244201516683 3.632325927257291 4.0156302339842656 2.2975587235233332 0.9351192923190704 0.7638724301195927 1.1522508022613742 2.0161335030659875 1.6716898279084493 0.8411905237160602 -0.01992192158400665 0.44961682327859953 0.8261851134718731 1.4732040107075293 3.852314818960194 2.8402190867333146 1.6129561728398276 2.149369055566377 2.304299981860148 1.905779169989277 1.2382157742754716 -2.3796210224530103 -0.45428476037649373 -0.30525333372225527 0.7265187420626654 1.609153768860591 2.057906480445823 2.0810992127403045 0.8131038942681063 -1.39508878772326 -0.6124832769660226 -0.17010332495865824 0.47942227740923904 -0.9638847343704544 -1.9885170624575075 -0.532439370867129 1.253186214204595 2.9940959613036675 3.812410619273569 1.5648109600624358 -0.4081203501131584 0.0913741575843948 -1.1279118364916674 0.9846573270668788 1.319340914591077 -1.0126168793308636 -0.8790656205171802 1.8585834724046204 3.4080168911932454 1.1156299182798497
1.3989279865916249;40;26;15;0.3304246603850889 -2.648235126332787 -2.0832241639401152 1.2765194268225442 3.3281207290592785 4.060733703297232 3.5352384480975014 1.457656972435814 0.8648658014286793 -0.48674024551310446 0.5719480774086614 0.8169745165707326 2.0085143175904006 -1.0189530960527335 -1.047102702020963 -0.7970487746089017 2.0742883133049688 4.5599552440975994 3.698551766400327 1.5370729854044956 -0.019928398954998105 0.9878333355739363 2.177294537010012 -0.7227563995359098 -0.9753409946087355 -0.7737439426106724 1.410353593238606 1.1909606945498183 2.253519939305817 3.6530723849211513 2.8458976069301216 -0.1981695862573674 0.02962391970629717 -0.15352217253608513 -0.7265802949079156 -2.5225807187939546 -2.164224399575793 -2.230725658031043 -1.9570776259717353 0.8929482374341418 3.315490080274651 2.464028356130086 1.500485798728707 1.5529752681615687 1.113822619448882 -0.4671477333634445 -3.382841183880666 -3.232781540104073 -3.8721335514558004 -4.740929469202508 -3.6715722797531565 -3.826093147277573 -1.9092296983138353 -0.679007037733214 -1.0764150896857847 0.28321153380507674 -1.6464576588880369 -1.699639795161025 -0.9575988389584834 -0.4280131801398267 -0.8995925215134453 -1.68651791454167 -1.2611158632904682 -1.0673075316572946 2.44922310788197 3.613376958764285 3.1182155688905833 1.8866218772639214 1.5409949024947422 0.41428317637618567 0.2207449286484852 -0.04706461461539699 -0.8182124049177717 -0.31956832361336507 0.004692181787139517 2.131074713399466 0.31015483239013775 1.9995502352014434 2.5185808495029995 1.774759402548276 1.8308583776057616 1.0545230742926024 0.15402883114844343 -1.0031950377642103 0.7613690947179251 -1.8643210743109238 -3.224473431933441 -2.9423323309364626 -0.8634593498702715 1.2068388650125648 3.2685118426363435 2.4448523426793214 -0.7097141943238949 -1.7007548015663743 -0.9480523922435088 1.0974970985317665 0.2530425231869979 0.28017806490128205 2.457600108322106 0.6207244032810356 2.625965925764068 2.7437243806228695 3.9161012726995588 2.7142085361143042 0.9830962432164879 0.7583224838648934 1.5926939080179416 3.40584978001992 2.359921353771004 1.0009850944710437 0.16176232537337698 0.5136791456275883 0.04467586967385066 0.15339052929490424 3.357679107055972 2.5860856886059658 2.0764125914585585 1.379752995016952 1.9941040017655087 2.9188925608493803 1.6963071325236405 -2.6898158044212233 0.19411304933059995 0.16480275838702374 0.7346873433875507 0.8099545440740309 1.306157480226578 1.2700696127388935 -0.2783465967139177 -2.3061263000482373 -0.7125711267870843 0.17294724741758255 1.788143672854961 -0.026910050126787943 -2.703392973082521 -1.7065356118068153 0.41459573760761137 2.774683967474963 3.7257465404898045 1.1142506501146294 -0.3493315437874823 0.37215585310581195 -1.3057137981344948 0.0871582689430535 0.33109868138270815 -2.4628211679729293 -1.511506988408593 1.0988780890037244 3.2492774205223034 -0.0391737633330396
