rmse;hl;T;RS;preds
1.3796615616524976;10;13;15;-0.09516843586891006 -2.5616555154620673 -2.5602198604719155 0.5707483035586608 2.795878224890602 4.005081629396706 3.6312065776436473 1.658883653602389 0.5244243927148423 -0.7256711415991617 0.18753907939603803 0.11700432832710478 1.3256375182579818 -0.8691158544939979 -0.48604600613204374 -0.11319394841895003 2.336696122297213 4.251751898015475 3.885528980214723 1.7631714232860185 -0.25917696703051757 0.6065525146149507 1.5316688361592803 -0.7701272482274912 -1.0045249580972528 -0.887583400812391 1.238743773614902 1.3689715046053066 2.5648614780296732 3.625447782976287 2.9934831196366845 0.1949702339056191 -0.20061434450923088 -0.44401236137161576 -0.9919864152816371 -2.5595168597913633 -2.380746811996195 -1.8586611250737222 -1.3569921115163073 0.9120954209677766 3.032636992648924 2.511600564944165 1.4040210457789162 1.057401348382758 0.6707119600873606 -0.7823372048707314 -3.2480867066035066 -4.002169806866724 -4.058232239068212 -4.350370207433501 -3.740525653705356 -3.5013715316895238 -2.1750536652786816 -0.9090029808790503 -0.9134913122372662 0.075305934317298 -1.273159355243373 -1.6595160388068049 -1.1959216110003603 -0.6546898637877772 -1.0497251761191322 -1.8277900498113617 -1.5688123270114231 -1.2736347119029539 1.8748273709589536 3.372246227676888 3.1693012834493897 1.7384386492365058 1.025464165249816 -0.007573862149425543 -0.1618864054414927 -0.44546613802396323 -1.0827370037734423 -0.39355701107877517 0.22376068774604313 2.384965790457123 1.3597827735114436 2.6480252304593974 3.0475542657178862 2.273640525677809 1.8623589185392684 0.9274434953698469 0.001185190854854079 -1.0745960342392604 0.46739462319002995 -1.6418778206240228 -2.688172873559345 -2.444622825685915 -0.532533610998837 1.2652225922818447 3.087707076637941 2.3843361750201733 -0.33200116921332273 -1.9286444384550132 -1.373866224570803 0.17031586225411854 -0.5189148823271321 -0.08209567843302805 2.0111545389362573 0.9625140037559143 2.616887721833019 2.765013889089388 3.6566631698203667 2.478883027093281 0.5731680696421035 0.18964268986877653 1.08157085324617 2.770793051905993 2.3316915482151237 0.9382971728986688 0.11337685080608817 0.5837728364058897 0.28678468378095695 0.47810886875600694 2.8306355729820303 2.768710708177319 2.541119105237189 1.7544824606776694 2.2062194056588713 2.8644616773087224 1.7727586811823843 -2.089701085634158 -0.1814876040077424 -0.6031934165135011 0.557639153032584 0.7624316082092282 1.5194361151139428 1.6042558280304302 0.24438710811858153 -1.7941327315449553 -0.9627326609287955 -0.26530298744749725 1.3957759890114612 0.007716552418385522 -2.2266798846214915 -1.7048657231003483 0.45067634145383717 2.507883976770202 3.3838707497951437 1.2240324285254367 -0.6909799151098769 -0.0944750201997673 -1.5562321493024982 -0.3775200888645619 -0.3152648594185613 -2.2441276007025137 -1.3651559952183896 1.3488537637835767 3.4522616033902587 1.015659072992593
1.6144425825427386;25;13;15;-0.0527511098412283 -1.7040837958414727 -2.4670012813080144 -0.8924306459181447 1.9772787123628794 3.735634677884941 3.9030207274419064 2.3523186425337768 0.8849279791373958 -0.463728018453015 -0.5405982374148017 -0.46109360053203474 0.3786187342557979 -0.32293835371855956 -0.46998478441624986 -0.116710580524821 1.74100593463617 3.6143794910513782 3.9208608299274976 2.4581958766875167 0.5903078297901504 0.07306422105321861 0.39146197559816776 -0.5661790228838832 -1.2049702361852637 -1.3152670591935183 0.37610776079816344 1.6645248821141818 2.7011741187240594 3.3192420131781857 2.862241249509433 0.8346138579970394 -0.2522375123737992 -0.836121025258359 -1.1770026705509098 -1.9614783443350379 -1.8887826224907134 -1.2896331443057265 -0.5446539328088198 0.9467342294259167 2.415891530237677 2.3837940228123338 1.4745038281141145 0.8994109313768737 0.522298354813064 -0.270133103089502 -1.9975985612362288 -3.0879951502606375 -3.5154270523264675 -3.64333214035685 -2.8886167288722246 -2.2753679984357396 -1.3243990290479417 -0.6433856158398158 -0.7306686018055959 -0.48079630287145103 -1.0751828166564745 -1.552619348830202 -1.6233384616029614 -1.288981812827303 -1.1086929900211675 -1.298801207718738 -1.3122623078825009 -1.2285445717464785 0.38648555748709307 1.7835073728831137 2.289658427635007 1.7181943563110122 1.251646322215367 0.4804331216984138 -0.08340644746397755 -0.5984718249166914 -1.1712169180389609 -0.9538734894850295 -0.02538957152980883 2.033806616680932 2.152762299371078 2.526894049710943 2.4130274090159305 1.7887379435623385 1.2949061744900727 0.5808377636348437 -0.1767121903253822 -1.0871105396434513 -0.5786104831501607 -1.063594612745512 -1.7320211087835657 -1.741078794799567 -0.49223683770038873 1.2400927890878617 2.6470978806055463 2.538787850743479 0.6227523071402208 -1.0899784050102796 -1.6268714369021142 -0.8527892103333576 -0.3803406656790075 0.07556194023726363 1.3312131493479422 1.1511208192756976 1.8012382960981204 1.8162312008977344 2.469052100234994 1.9407023088249262 0.9055396475783121 0.20513826486634287 0.18904368281787046 1.2236595865581945 1.2600105925622254 0.568636118993685 -0.2412916914345151 -0.35157526016918045 -0.29731615800487377 0.024760406290163083 1.9680082091404307 2.505688110562649 2.5163909739275776 1.769674254464027 1.4807694302597423 1.68579192571021 1.0942583381531386 -1.2941015568121075 -1.2697422986759517 -1.06610528667154 0.09358969927435265 1.1164197831262987 1.952112665844505 2.090336917251837 1.1656495998509762 -0.6244793306007416 -1.0435509311134994 -0.5090281677071267 0.8407774696306399 0.7461425552652089 -0.6573129369491597 -1.5149122134775561 -0.859030250887249 0.9240445604646211 2.2942888867405267 1.5763754260935798 0.2841605435382262 -0.18121759498517093 -1.125170073931193 -1.0013944783943898 -0.5617025230241257 -1.195596843855968 -1.032124923567479 0.7108436540291538 2.6693440930233576 1.853293294935694
1.3682094852940518;40;13;15;0.03866101292434862 -2.3919424048538835 -2.7427673013571745 0.3243437194748937 3.425427764886663 4.3270202968283815 3.8531792671766723 1.7897015367405813 0.983840729024546 -0.29491415788984404 0.1738823102103024 -0.048121305961097954 0.6909139441734301 -1.234447815531093 -0.5850605967654179 0.5835738725362447 3.0574121504207623 4.688674159502955 3.840746309252362 1.7263476066410623 0.3017009272100219 0.8139189946524064 1.2979392315379086 -0.8866687061689159 -1.4221162734104844 -1.3550240390955286 1.2139539387943432 1.9807571729096418 3.0197229869645086 3.9516679551918616 2.9509655066829876 0.24945098945876623 0.053122024473647236 -0.38498321837314126 -1.1277002922945476 -2.7288034373918326 -2.477040083101241 -1.376603344391376 -0.7245585314466646 1.3243832296555909 2.905157539031436 2.0414153185502903 1.3122298844859868 1.2956186104162308 0.8523129559788512 -0.41198329691836716 -2.839020285461141 -3.738622429877393 -4.38868149803654 -5.0242162785945075 -3.513024209778794 -3.049324421729749 -1.9105564735650093 -0.9362030716545441 -1.1303986227720737 -0.1305841169900654 -1.2964859781659783 -1.610014247383388 -1.1488138259422236 -0.780230898613534 -1.1965948082860616 -1.8623741188684062 -1.5442697555320641 -1.2736263250179707 1.7582677913553333 2.7571790408570913 2.5507151993159476 1.6006509651457075 1.3329359053829635 0.38330119953650327 0.061012885116367335 -0.39605480514572183 -1.2650534309071564 -0.96512412127542 0.195521746476163 3.0970482693195334 1.872741882148411 3.0056938251089407 3.0118447066492635 1.9313193314842214 1.6601327004016657 0.819441983062517 -0.059873578309543304 -1.1642094509868324 0.10644703732295535 -1.5377507496473026 -2.577508824801471 -1.7521929150602764 0.2986043507408741 1.7561384211644322 2.863105697725911 2.0913842295141083 -0.2246003862636365 -1.3455303848262068 -1.0388700758151792 0.17929267473635357 -0.5383687862258651 -0.4719559644774463 1.6672482234808539 0.7489811414174977 2.4037296484172868 2.2752863020899494 3.147503170314964 2.0778370140134648 0.7633651733439153 0.5097126732108688 0.9949738695422709 2.314858920288134 1.6360418225849707 0.8133015102455218 0.35332984233729076 0.8186924801000494 0.6008190303683434 0.6468628791600459 3.4774480180578777 3.0593444288145593 2.8298355240609587 2.135933265823367 2.3113759667672733 2.4910925344391117 1.2580628882906915 -2.166221676328209 -0.5028826777357218 -0.45731935252381295 0.6204269683957402 1.368257720786919 2.1762887098752466 2.131156635293855 0.6289016910225106 -1.5317406479620543 -0.7812253435472507 -0.05980094189495706 1.3792111423407192 0.1458794747292783 -2.0660846658822236 -1.5964498088153687 0.26607087506221017 2.0778904804052325 2.7203728965769214 0.9522273395582749 -0.20221002426017723 0.2250657469557429 -1.193768877344149 -0.5779216353380177 -0.5777517260342072 -2.530992165368843 -1.5655276634140929 1.8222167409912462 3.6111478445484058 0.7446432498086671
1.3936500538638912;55;13;15;0.0968253145711118 -2.3273822609748236 -2.9471631766867583 0.40869882142818487 3.396558309585014 4.295786938087909 3.8916831566027175 1.5816109390443125 0.7987134972950497 -0.45787150159902074 0.13791648313155805 -0.0032791966955639205 0.7635681060073469 -1.3973743636469722 -0.6022327812098729 0.5882119696977312 3.016330491988824 4.836717056972706 3.91487229451792 1.5657125501981246 0.10062786831615173 0.684255431442922 1.2928160429396287 -0.8762122824332692 -1.4691864672520003 -1.4783473419064548 1.2378599307269007 1.8545516272147733 3.01302965368474 4.097552727436484 3.0260565827848214 0.038732357608881635 -0.060953034057341385 -0.5346486411140748 -1.233411361289559 -2.8243633053582626 -2.312739508623256 -1.3058451427439632 -0.7261674654712004 1.4877652904621175 3.2145991487750014 2.019789735621232 1.2348399033039494 1.328016548042935 0.9167710344629824 -0.22071765165167057 -2.4238266457753697 -3.335775183481642 -4.604293334373057 -5.337664123575561 -3.61005837231262 -3.119144640151278 -2.0364508059206816 -1.0273295723125584 -1.1098319589550403 0.049009586560915086 -1.0425881616471746 -1.21938489521845 -0.8749253448857651 -0.5697601104473369 -0.8492053146610928 -1.4532942188037463 -1.420617117719746 -1.4157665028834185 1.717234357512048 2.7496817647453664 2.526247061440814 1.627719037365618 1.3876832440659324 0.4535928058238268 0.15182336120875553 -0.28699029260822817 -1.193756970962789 -1.0542312547250356 0.20224885194456907 3.0769128561330175 1.8677546808995007 3.1221987401943676 3.153565690031357 1.9564873249580383 1.721919331369958 0.8406344432885166 -0.05041457610295323 -1.24570698397227 0.1684147913095781 -1.3724316179412743 -2.1590393577007623 -1.4711785022013022 0.3306904198029925 1.9055182779599797 3.1701917909156365 2.044164419635125 -0.4915053066343136 -1.3866765923193551 -1.001508150639072 0.24795795544523644 -0.2854817765547853 -0.257254779107716 1.455914597080564 0.34435332938666224 2.3263088154797757 2.274637217098575 3.235093101294547 2.1330679464751943 0.813875337920753 0.5252008160804478 0.9511294064544983 2.408545367821452 1.7100363134752574 0.7896159735753786 0.3285321448120603 0.802287658190102 0.6254271243866333 0.7574420855903673 3.6537595104265566 3.1034336841077774 2.854095487469546 2.222217238998431 2.5261443220997704 2.815874954943289 1.412465291064721 -2.349238483240918 -0.5187349012730517 -0.368640362064297 0.784902544214847 1.4326679490969054 2.1118880665766695 2.0261101520508573 0.4921637528882865 -1.6484058124569805 -0.7775534604655643 -0.03814425448063226 1.3563796451637264 -0.09683018105982415 -2.2446649604046485 -1.6965207725421119 0.2245093295551419 2.156684066695522 2.775572977283177 0.8408650826255533 -0.21805721192237207 0.23111383299284563 -1.2015028583079432 -0.46690166814867096 -0.47874705738529977 -2.6256432544410275 -1.7628418627360274 1.5442054320194536 3.5650957586375234 0.5083148340860428
1.330369493238892;70;13;15;0.17254819643476813 -2.6384392446724654 -2.664328060957424 0.6182625530068738 3.6444012444433915 4.500459281090331 3.9080480659260934 1.4868283555968567 0.6054327531453475 -0.8648980001764887 -0.07739767495023336 -0.16366478075170374 1.0118406440724064 -1.158508765451141 -0.5162037468734265 0.24499671110006901 2.9487570601479596 4.850214250695056 3.9020622263009748 1.7155806435123342 0.3151774532515214 1.072631032917343 1.53549565196445 -1.249148976545936 -1.5996106160933943 -1.0493922467384618 1.3965492298537472 1.7209536414704694 2.934335212356216 3.902457608021609 2.9983768670243536 0.2659074431293912 0.21524700728969692 -0.21725398047798114 -1.0663827278220988 -2.7420232648465266 -2.4900297205163078 -1.6717854524739435 -0.8410507913217149 1.5026343389424268 3.320290673332686 2.2904198369788347 1.3195420500648694 1.340925012392629 0.8322608874618553 -0.6138295592130726 -3.2473202052223678 -3.55139211185547 -3.9635470033928812 -5.245926578440202 -4.030923642968248 -3.195796575454798 -1.8616609341132317 -1.0522259655021442 -1.4213641495464597 -0.2885545589819385 -1.682287330130883 -1.7399052299651387 -0.9214801197153252 -0.38765489053768504 -0.7129101216827873 -1.2463895416206756 -0.8550050702756474 -0.6778464276407687 2.2904806418949626 3.047162777908137 2.799492373255127 1.708999934116625 1.5398769007733273 0.4548780210645932 0.12793215864927102 -0.3245322737213175 -1.204149294934636 -0.628128599046134 0.21877034141526427 2.8954176697815375 1.7910982526218828 2.795063798452416 2.9266144856660112 2.104906434125605 2.002528627731085 1.1975316691683147 0.2928667292139513 -0.8783674872252344 0.5676258363262726 -1.4769808787174141 -2.5511656190693897 -1.9186318456773588 0.1612526536241218 1.9436155532301456 3.26142402623076 2.3083237396966187 -0.5246442480141496 -1.8375998596913876 -1.2322062707535424 0.40711381249072154 -0.45453558065552113 -0.12969976864247804 1.9835425173188679 0.7448219952948706 2.7783583216924033 2.634668816592121 3.80706997072894 2.482646641729471 1.0125840815198415 0.8766557398766472 1.3731597052937683 2.6482085438026006 1.7304739540527734 1.0283577903348067 0.48906457423830685 1.0326077694171174 1.0401391172490866 1.2903955280271695 3.8761931791020485 3.4038593924944545 2.7094756371993474 1.8267035746914293 2.113659646263557 2.6571480645998213 1.372079145023171 -2.3983011613291456 -0.2541377783271471 -0.23037735875536863 0.705378400336204 1.482281465809562 2.19414678425723 1.957324515798321 0.5312667804103159 -1.4868429568627815 -0.6652814511608756 0.060159557010782405 1.3699211695638454 -0.024503294947504382 -1.984468293731891 -1.386628966793915 0.4584852802021683 2.285642906917716 2.88684507520233 0.9026326184539286 -0.19949153156138597 0.5633412987848571 -1.1399208823098201 -0.4400025317548494 -0.36830702082766753 -2.405230825046475 -1.4780442159206353 1.5185161037844517 3.516757647505519 0.7186943025536958
1.371739943953224;85;13;15;0.3620687892824813 -2.346597662831848 -2.759550356803282 -0.055434557342054255 3.3697088954378778 4.491542824226814 4.044163015760162 1.8371172402902423 0.9202491205952367 -0.6743129281613044 -0.2681773301853169 -0.4308550611397875 0.6256499759018999 -1.061123402108646 -0.3158374140844647 0.6037567614823973 2.7758488458928015 4.647612569688654 3.9064359868196887 1.8765586636447615 0.5561960846351705 1.111370279303228 1.3022683618472477 -1.2662261720296666 -1.8134005514331248 -1.2280573087055375 1.4213167495696186 2.0946384906533746 3.03918505309952 3.973619728040443 3.102183139650468 0.4523670476069587 0.28254472028673994 -0.31046595122581305 -1.2696884578696759 -2.7934537402844617 -2.6656504930003027 -1.496809122241422 -0.6012528261176227 1.562141534384941 3.269111504912639 2.0827717972312305 1.0517264225652294 1.2651781118382732 0.9143176459567055 -0.36104839652345416 -2.7202946430448183 -3.096388624939134 -3.622060603786724 -5.017290808319669 -4.21142019094352 -3.286997659482841 -1.606868716217296 -0.4022944978073838 -0.46977642274244963 0.4769852508169694 -0.9827976093048725 -1.4130603845841225 -0.7736740019805449 -0.47953351505972436 -0.9904746043805223 -1.5390742300508047 -1.097408660925041 -0.7897029117242832 1.8804985526314006 2.7597208660701997 2.5040721375453594 1.7408966055997825 1.8069887038804973 0.8374272086114771 0.36468853015474106 -0.23681232730377005 -1.1974366418662454 -0.8666036829099372 0.20572630157215938 3.065184396547292 2.067477114338026 2.9215071722428783 2.9801150240367527 2.1003129671734935 1.944920462674042 1.2211349844124624 0.3472202961586709 -0.8190133524336627 0.2849789574909236 -1.5592324076394175 -2.568239220173842 -1.83708526439135 0.24502297627781758 1.9553956820179992 3.1452545865446595 2.150944292285177 -0.5867256180832785 -1.6922717669375222 -1.1715672951357123 0.14401167051378935 -0.5524246812773169 -0.19076110254625642 2.085345073263025 1.3323118312807352 2.7723976427222343 2.5365946803203845 3.544723116418627 2.484754595410504 1.3007621671637555 1.113226177137357 1.3168697788371126 2.306502138231439 1.603178113310095 1.1607003642331952 0.7966536184368662 0.9740562295652727 0.7575796454806714 0.9417366194536793 3.6656593020912234 3.3626270696644256 3.066946241456967 2.314749890783353 2.4049163926424026 2.638092762386493 1.4107667970898294 -2.1824191474835284 -0.6535890851337385 -0.5325209557884606 0.47656066476469733 1.378743273971302 2.3031652063687673 2.231102844106474 0.7943607788716953 -1.3299087631844628 -0.8615321635137857 -0.20887538877618503 1.1187021390852407 0.14236432156071463 -1.7936320644646218 -1.284278118243984 0.38828181109006954 1.9887322019338 2.5237998882153727 0.8519172747266103 0.04937415396752648 0.8155301751639912 -0.9687478546513549 -0.6241692405050698 -0.5098326347193946 -2.1855570405936535 -1.2761645558518004 1.888640870057812 3.611324568196265 0.7435799874883477
1.418499402884467;100;13;15;0.20457142002168915 -2.3765918593160595 -3.267384329886527 -0.0025485080621321914 3.2372593138730528 4.0607798311646395 3.770919501135489 1.8408213979025334 0.7532765744211012 -0.5511782553795975 -0.09136254983474738 -0.017451066640923284 0.721341862423913 -1.2228279361527388 -0.8353477095331713 0.5537618661517121 2.8546783759758756 4.655004410674877 3.9611334534901683 1.6379652647963747 0.07219941714295808 0.5551286288723594 1.2459880204020013 -0.8965095924531205 -1.7785522954991109 -1.5117557494078255 1.0343440043744332 1.8618109254651014 2.8049663133646665 3.9341408632351063 3.153690894242891 0.2547242433919232 -0.2504071683298533 -0.5067889442995266 -1.254208514677826 -2.795402792448225 -2.505412914999245 -1.3329490089908556 -0.4961617126652499 1.4479536460419133 3.1381757560872727 2.205082533446244 1.1408357276189924 1.2562589591902975 1.0302540500529171 -0.09831456609821505 -2.3546808227659675 -3.3938630484065606 -4.351196315604342 -5.100520757234439 -3.612246450698403 -3.172578083442154 -2.196297944472613 -1.104388346420663 -1.0230502391328067 -0.1264108741612054 -1.0028901145887512 -1.4003741726864818 -0.9031739460499562 -0.4057820191852441 -0.6677220346909729 -1.3032017763162376 -1.2759655170992539 -1.1659184285679527 1.4743311481429435 2.7357975761873643 2.48229034888349 1.6110498039299965 1.4255284634891938 0.6039614164525665 0.19462373199902722 -0.2478794211022525 -1.2272572597844662 -1.1903817739373816 0.047365326527532836 2.688857379063087 1.9620716424645883 2.823101154951094 3.1652902557061973 2.123134430041667 1.653366281409901 0.8285976907967587 -0.15088176398297407 -1.3505490368938038 -0.16775067267580618 -1.2065193387713928 -2.284971131507252 -1.6759727545675855 0.33835610756049533 2.0740468908300964 3.0631122368932404 2.177215610431688 -0.3762444586352048 -1.5279425871911125 -1.016115857792674 0.3930115649231576 -0.02641599146252372 -0.15456237092270092 1.4824978773952882 0.6652530714410497 2.0617279046820753 2.415568036102613 3.290274011977984 2.2113313618219057 0.8218512655397308 0.3953909691226189 0.7704026684395997 2.1898402685841845 1.5330204725337973 0.563245860526723 0.278921305163137 0.8547813210654551 0.9266233778311372 0.9316456991609143 3.4022398250978862 3.0387546261809204 2.5608968776854946 2.1349946835342704 2.5453101514759124 2.9241092033089013 1.483890549599901 -2.2331749279777298 -1.028634481756455 -0.2901819890831782 0.6089781215647211 1.2974730105923271 2.0755662649042765 2.0955042867620817 0.8516682141957713 -1.1224280867220136 -0.5735309512835342 0.22602342438475662 1.2695294074864967 0.06240222503185765 -2.0261202603426836 -1.8115690654249288 0.224730645970925 2.140242926578281 2.709810813067067 0.9461912535061592 -0.21191170323024186 0.27099236656493536 -0.9491861942571687 -0.6025949523636319 -0.37156472658040907 -2.285413539690113 -1.9965838979190706 1.33662748266778 3.567051100965024 0.9791708815127661
1.3640245895510807;10;26;15;0.7108770518032832 -1.9906922609842095 -3.4573937021539387 0.36962769402225215 3.0837248039289764 4.786298399301666 3.9405721063591512 1.6620221457757272 0.6793603361630232 -0.13677241190011746 0.36589837575501155 0.16465851519774877 1.0764168877753182 -1.4430428993356788 -0.6161138995689078 0.04939101198075713 2.5986660160806943 4.719842519884807 3.5646572443655473 1.4153729941352193 0.04955575436435476 0.6771140737626695 1.4498950601497098 -0.137152966806228 -1.4344068040558842 -1.9026954163171401 1.0169159076136396 1.4081873806601004 3.073338245940555 4.390033659491263 2.8070938863659283 -0.11689017780403053 -0.3868458931098682 -0.19688429613369932 -0.6900352673057478 -3.093484965545324 -3.8559351817056613 -3.162901415361236 -1.4954586839933313 1.0094697765237315 3.290024202618129 1.9109519310684395 0.7016996280275672 0.6633451299902842 0.8058262497068776 0.3511467436644664 -2.353992499134136 -4.766740107738159 -4.526611309874642 -3.468807054489583 -2.727274927603653 -2.933349078524687 -1.8635521766769327 -0.9028635564226779 -1.237080473703885 -0.5128974795589745 -0.9795432732827045 -1.424589655651498 -1.6871102382936052 -1.3902742664455208 -0.9177054972925953 -0.8767978667240571 -0.24083355784231042 0.3664817135587505 3.187268986399367 3.8905656041787124 3.0018741980623282 1.5963049113005985 1.1411849065893178 0.7563796469819658 0.592515752144867 -0.0018072141377563633 -1.3291835971650268 -0.965612582442787 0.06888456637590609 2.255825284315561 1.4980002854576286 3.537961489932567 3.0397874111602743 1.3595566271485051 1.0538638052266054 0.9438813406394155 0.5842044988923663 -0.5608807206201293 -0.12039971475497158 -2.6576494047263757 -3.431656149330284 -2.0358848409501222 -0.1140909051751002 1.76856898283589 2.7722382919075543 1.5917987578117934 -0.49504442233140056 -1.325926340709695 -1.1113917697961033 -0.40977840732116694 -0.619198176521462 0.4798030569640545 2.171594001240124 1.3210665161763606 3.367587313068747 3.9870612088839774 4.755140822057649 3.01939380172892 1.0288637741011564 0.5365252824118507 1.2695398910927256 2.569764510897145 2.3876290757366836 1.344306274933069 0.23132331791017036 0.4022531259041242 0.44525388333917193 1.2095766587792525 4.093132839050362 2.9773904845436543 1.4950714654088693 0.8295066194568078 1.4077340395736002 2.0795859790640585 1.6459507774267617 -1.2558345220039344 -0.7703150545447924 -1.3138225680209736 0.32361462210312175 0.3489599382880111 1.1072588335889426 1.0482808356122848 -0.7499979005560078 -2.718863181497158 -1.8487337490381288 -0.9420664028525871 0.4326585792841165 -1.4543195154929367 -2.917197136173562 -1.469973935845597 0.8006629987562228 3.0823493547917393 3.8979101191711014 1.2576366548145834 -0.6493864320452611 -0.12314222614446237 -1.930800766490503 -0.11330590771725749 0.1644072830627624 -1.448325139217032 -0.3459508428688048 1.6210665901501424 3.9101693487636178 1.1149767896117868
1.6280280407725802;25;26;15;-0.6125097855132015 -1.9474515787323223 -2.611436170811174 -1.2625736087366022 1.704968687989991 3.9781279782504937 4.44831651949204 3.1888606973565268 1.698282843000386 0.18664615695621345 -0.4247433059155694 -0.856009175103675 -0.5182253605688744 -0.8942560664113082 -0.7056064178717896 -0.13303838537043655 1.7546109597368755 3.679383241239726 4.014169418339164 2.7082832018737073 1.0177130361015474 0.21402394485728776 -0.018079577555073664 -0.9476513194223501 -1.5420855710571661 -1.604710590992167 -0.03034715659112225 1.6295226669344056 3.0262087448409445 3.678442711995187 3.157958920104496 1.392201378818999 0.20555034547404186 -0.7115775804481874 -1.4821380641530364 -2.441773830810299 -2.6251292582042027 -2.065754132754406 -1.0117587212781234 0.9722481819052887 2.7670947351600295 2.978175257352792 2.1554624270382434 1.23844236993582 0.38771438590292817 -0.652582509169957 -2.268176094796883 -3.316535968861897 -3.697127417828428 -3.79292092044796 -3.2146266299000077 -2.615666156158748 -1.5463905890721787 -0.5106801968415535 -0.23260246673601037 -0.053426291523822875 -0.906709392484863 -1.688672145855914 -1.9280390850781934 -1.4932192359370262 -0.9141509557177714 -0.6973897417240543 -0.5786739089678458 -0.6244421137986288 0.677557455423252 2.024352650349477 2.643092543962878 2.027577407625499 1.2260207942125585 0.21739247730444958 -0.49639725683234365 -1.0733848033053095 -1.5715235373480305 -1.2698134374325052 -0.19953522573449015 2.0192893680725055 2.5689803371512205 2.901573044295958 2.4565186494566893 1.613635510523463 0.9704132512836176 0.246679928963027 -0.4888603302242028 -1.3429204161726105 -1.1649561083990376 -1.4196316587342257 -1.6453339660660977 -1.5496196895564958 -0.508029828862525 1.0591099515493705 2.563201473866222 2.653367975725272 1.0850218317680322 -0.5531284682283362 -1.4736418501334967 -1.3843929633510852 -1.0699888637161492 -0.10041272883985959 1.8714210975293677 2.3160422198997743 2.8483339970177273 2.509051850504106 2.5263441096813333 1.812557895040917 0.7692157744486804 0.018695340555114574 -0.21323632559799388 0.4499746512240637 0.9022778981488823 1.0168500855431022 0.783551956200953 0.6966307295329729 0.397932607128473 0.20020625231593792 1.407692853977701 2.095751400337478 2.385532654022502 1.8211191074190762 1.3700218121836432 1.1825517191106836 0.6340292228290854 -1.070929692492295 -1.3616853224933974 -1.4918373468702486 -0.4916021676675788 0.8863459617627617 2.2088117019476816 2.65910879849624 1.8080635730505703 0.060870064702223434 -0.9125990824642817 -1.3210286994111406 -0.5507350234848183 0.11726969460977482 -0.19889273043845937 -0.4179556576211912 0.11971432181656044 1.5046916717819547 2.6817420057497023 2.105910913368141 0.8121850810650413 0.03352792106232749 -1.009821201081212 -1.174730573549492 -0.9086656334071833 -1.163841401525295 -0.8825440810639426 0.494800379854865 2.4379740486325137 2.126424634973718
1.3357710215684684;40;26;15;-0.27160256770974206 -2.5320135681471485 -2.4339846611479996 0.8462297685816069 3.2934816959524333 4.08605880109868 3.829196070972529 2.253168888262951 1.3581813277770713 -0.007311191651214362 0.1560869689791639 0.023991471214721127 0.6893003674089929 -1.1315964496666318 -1.2231783132494904 -0.27185046755560566 2.4777912343874386 4.240427506566974 3.849184414140233 2.186362257334832 0.661388065356046 0.7237791511063384 1.1292221384043757 -0.8903158030101609 -1.5522223196857317 -1.1271933350504768 1.2144099756653022 2.002708945758223 2.7475053680922383 3.4545670981658056 2.9585706141730674 0.8436178529725681 0.2501611601771499 -0.2795823143567032 -1.1006266038570143 -2.683744298756634 -2.840630567377906 -2.2681657609564576 -1.0939066871471652 1.2936646159809597 2.802729111795411 2.386591048954215 1.682768154142177 1.4043508300777179 0.838056749165525 -0.6106391731889012 -3.177454457996644 -3.8507493910016146 -3.9180996717956056 -4.1807945818327195 -2.8084189384104707 -2.244970033345911 -1.2850840080313828 -0.5597976143308765 -0.8150708425454665 -0.4831703529434454 -1.5636398654638672 -2.196435729011622 -1.968136632416841 -1.4353456858765874 -1.3614934724994077 -1.309022723791955 -0.19877317988599866 0.5506013584052931 2.5787929925815085 3.23105301898552 3.014386831393978 2.0643031276693127 1.5015278691878637 0.4025766574806395 -0.1743246613310935 -0.6179859346683392 -1.3000478582651624 -0.8804597154969244 -0.0803788194265104 2.4075621553229807 1.8987139682199876 2.352302168295417 2.4164211021180417 1.8601498729410275 1.5809534671679548 0.7973713710490404 -0.19399235591399533 -1.3795845824712802 -0.3442557560659376 -1.6263680740373219 -2.4277055800800773 -1.5741123890233657 0.14061706009613306 1.2900321961884351 2.2928679087990953 2.024739794950931 0.15083382110509602 -1.3590109545443947 -1.4704570803269479 -0.36690903193703833 -0.7412521018253176 -0.6108193414502356 1.5358850430529534 1.4084735831101505 3.0747298697845453 3.2725642057412387 3.842537807791085 2.900920065393698 1.395703951660088 0.7315473535561798 0.9842563291286218 2.1135008945120903 1.569408021393826 0.7782348208874377 0.6300819204351844 1.3626587262316485 0.9612269913255087 0.5515018252974575 2.4184345535772116 2.2403959619652163 1.9401898102461343 1.3705061547914201 1.599621774545632 2.0277246274101137 1.2259019550476633 -2.030284348736819 -0.6546913614458099 -0.4667393220179256 0.19823686944438065 0.8837228137184775 1.8411589700231055 1.9927671922055157 0.824063531102742 -1.0574722615907126 -1.0426268012244184 -0.7063308350622093 0.23120260667273426 -0.7316440264822971 -2.6194615211452312 -2.1096278750567174 0.19368271601562737 2.450594064045109 3.221464113665318 1.745150703241683 0.2776761709954709 0.21867948973485526 -1.1863649053278615 -0.8147519162674017 -0.3946012531420792 -1.5956642871772146 -0.7673037135384311 1.4419249733970596 2.8540817090156456 1.0847382502195395
