rmse;hl;T;RS;preds
1.3929209101594795;10;13;15;0.322954042586346 -2.6371539545487974 -2.120810588055325 1.394557045138642 3.078079232208889 4.053251104234228 3.980712936014944 1.6621873374567346 0.757196993853315 -0.2552030624858107 0.877790814899635 0.9800425184878009 1.8977785310127595 -0.6728543590032522 -0.8257221115911682 -0.3987577783631492 2.2624079406667126 4.732048432851359 4.0841471903857345 1.4271832258495303 -0.3929684314719218 0.9933596937146204 2.250539300289126 -0.49080743543252353 -0.9650821868505043 -0.6808218997372468 1.3060238891300606 1.2322972543789232 2.3152093722677867 3.857739635886261 3.1378501652309625 -0.1392160375480937 -0.25976552791664553 0.04750477721110316 -0.5167612500761012 -2.3108130710957866 -2.217092027661913 -2.0042173111459687 -1.7605207923169401 0.7247145883135664 2.923637141496992 2.2934945289199793 1.445393549400806 1.232600979427956 0.7436461839733933 -0.8059284639677158 -3.6171446910601706 -3.5161522183459035 -3.5028554112683286 -4.762050341374545 -3.672882730531774 -3.579240763442027 -1.7758028948826696 -0.6136153941143956 -1.0903594840967015 -0.06034936554580851 -1.8382450507718773 -2.101555198728827 -1.2412928615695746 -0.6872732114789302 -0.9656435090811624 -1.688358835795472 -1.3434218320819604 -1.0901450194664182 2.0240287069170027 2.998575756011097 2.7589834192548954 1.4007759203536494 1.2274592198700707 0.25185602233131216 0.14558460458336397 -0.014716324352477161 -0.7357164582048307 -0.03395703663025457 0.34942904222530535 2.391216116490817 0.948722295581432 2.5084455985324667 2.9533674506358407 2.080426914049423 1.9534578622894812 1.0425751329221842 0.15337961511199089 -0.9403852068279732 0.7988702272081724 -1.4270187072147436 -2.994502349910948 -2.6262018808872267 -0.8514303103173821 1.2003108731796068 2.9565173250102275 2.1679188981936672 -0.6461241584355198 -1.9691852925713416 -1.1382078610520112 0.6859342312146834 -0.07559432619232695 -0.04743116641890173 2.061328778816359 0.5383927496542823 2.537016121290788 2.5318030732105457 4.170043270130328 2.6983845808723417 0.6512658440103976 0.4461741567588188 1.8937324580716017 3.8242040772179138 2.601665825120204 1.0990008969624063 0.2764415765962099 0.9777025775775015 0.9476080380050989 0.8427935419913668 3.7592176998627456 2.859014994575378 2.4371103492450525 1.5155797954455288 2.3891960753363035 3.3033905010284212 2.068531914890461 -2.5392478555083304 -0.21090113975194824 0.19027951278500843 0.6583767243496845 0.8679925369864608 1.4187256514072344 1.4026779460551857 0.09938724584330909 -1.8628479778699545 -0.6968779919742788 0.13350269770192008 1.3717519067430248 -0.24191104791394058 -2.774407723550936 -1.990287893315379 0.03737941078358607 2.158535172023946 3.0132366300248603 0.6378683943130249 -0.7485795435161339 0.2919261625279612 -1.246586783183583 -0.08933683630043499 0.12873295639935878 -2.3430822101316777 -1.5763783456268494 0.9440400175079806 2.9006762466659737 0.27808420792648153
1.374338898852116;25;13;15;-0.20767076625830355 -2.6318154027254144 -2.5941094654991947 0.426826137282998 2.6259641285744286 3.9109349515499368 4.191801545561083 2.2542436076672203 1.6708824404630178 -0.24361066513235669 0.12333262618212673 -0.3893950942887875 0.9685769727697171 -0.5567329192570999 -0.05106336156272137 -0.04735860488721713 2.0783155157549142 4.208494741525228 3.560504238640854 1.8404272143083253 0.6868288572405202 1.278115630753802 1.4793385677752953 -0.8066366315684806 -1.3779398544197627 -1.0946728141137958 1.0248832236989294 1.5389964276158996 2.7982238569014255 3.68917373133113 2.919067786839207 0.5853140014044456 0.7990064392062469 -0.3842248792282807 -1.4033658943726148 -2.5633969922224975 -2.2554108065551155 -1.7903229890413586 -1.2560820099938392 1.1697951172855057 3.0542601793251296 2.3522737127927953 1.4256103853835826 1.5749520518992963 0.9133478374976268 -0.6328085557496346 -3.520759313986113 -3.916347112365733 -4.060212742050662 -4.656436695034561 -3.3278459827932845 -2.800687129050824 -1.501546064833067 -0.5950400164176477 -0.919120634367699 -0.26255394252483877 -1.7674085216093538 -1.9813058390300293 -1.518365962666779 -0.9805479771739452 -1.233636009994465 -1.725477092009658 -1.4374091591140494 -1.144981843216841 1.7745449379179925 2.943434083968117 3.0414324387433984 1.9860358184117164 1.7568725731320647 0.3375863862145862 -0.004623981284581238 -0.6228080940020452 -1.361008231296811 -0.6580120437188267 0.17905748626304255 2.52231840488942 1.467758975398021 2.8716729007362005 2.912443345828943 2.2531455247976404 2.1341883444494614 1.1378060403017305 0.16013188123534644 -1.0394242092872803 0.22204865868668094 -1.6444442074288672 -2.6749015266683265 -2.607418253841031 -0.5257691389625149 1.197954383148046 2.9995818826774685 2.489146477591414 -0.1531823726491896 -1.5429437291099064 -1.1989568396523433 0.27031278551186977 -0.21438087330803843 0.029575638955467814 1.9601467025951516 1.048430900947162 3.0727862091897 2.89928582094841 3.9600212926350813 2.2252297781312183 0.9791330656474403 0.604031132433989 1.0709195842004684 2.47621330188418 2.1866953364813058 1.6771952188366757 0.9907634286320234 1.170694610699949 0.516895965316037 0.4437210677841484 2.5727565321148846 2.100874139638348 2.647321930247239 2.139931263941675 2.463960961518614 2.5223534500873854 1.3256226914434581 -2.134350914329018 -0.12022221419700783 -0.7320436765283247 0.3347799248270989 1.0119782039627103 1.5842108733890898 1.7444045700097892 0.6814909044803504 -1.0628913125333534 -0.5511089138126832 -0.26057823204809333 0.9411401771421541 0.10812660464445864 -1.8935532623880944 -1.4954014734564818 0.10126014209610927 2.0919358169675535 3.0059448325952225 1.1312133496417596 0.03083007732366216 0.3525797403116101 -1.2565675507280423 -0.3813092385702091 -0.3192055533963929 -2.065827967295418 -1.3126566412425122 1.1590730838977588 3.355684226556408 0.8781792325104172
1.3269702144694877;40;13;15;-0.15034524671348262 -2.998129078602948 -2.1549547949481638 1.6001275336632768 3.2942544874973096 4.2558273250540735 4.205886120763861 1.7227978575719431 1.2277579277646937 -0.5247867127345107 0.3072960652958582 0.0975338565863849 1.2912433522394844 -0.6304367521646893 -0.1707190870588052 0.06044023684683687 2.4406600983141713 4.492060414842917 3.5348149104058524 1.4727401860148002 0.03233780710663786 1.2617403875900006 1.86540186013012 -1.0401952036425173 -1.6249231335673673 -0.7736183639846299 1.6309433453442304 1.640084900210063 2.6177398892536283 3.8483256570242794 2.7339958935740194 -0.11868962329068922 0.2686315520458051 -0.29288005747054846 -1.2389585368768978 -2.6976192018348333 -2.2247026764867135 -1.6483659747533106 -1.4769957055319378 1.3097858563424143 3.2888428499619304 2.2705074250733888 1.4071788577408764 1.5005015241380506 0.7194692657027194 -1.017730932215144 -3.969163820078741 -3.8300679316963744 -3.7537329008325746 -4.730790923384304 -3.241426621332064 -3.0198891512233432 -1.352853932606138 -0.28824869977020917 -0.8077209359841596 0.10125845723082248 -1.9531602018555867 -2.0287907343808014 -1.193893108077962 -0.7974525432145192 -1.1380271686103653 -1.5459069952934181 -1.1190434544510002 -0.7270388029146285 2.4372039528720966 3.15675660023584 3.0262584670876302 1.5911796259810729 1.542263418848444 0.23614622607289268 -0.06173046834211894 -0.4463799715140695 -1.108240547529487 -0.13683607172687015 0.6854492146607918 3.0487263328942817 1.207587169848606 2.8697355303050927 2.8618413748147007 1.948451341251949 1.8647175801749767 0.8804489332589828 -0.0007053964834574412 -1.154234823840307 0.7603646154753894 -1.5290740678348218 -2.883638513571511 -2.636133150833705 -0.41951707844463937 1.4045724834665585 3.198466975509908 2.4070057753638308 -0.5189284735737789 -1.8142494240060625 -1.2422605733074075 0.4015243655054096 -0.7172894984191239 -0.21789269418747934 2.4297179091956167 1.1226030140801277 3.2458103421765894 2.7450270435797166 3.931843755344542 2.0599981096543 0.5551065758578277 0.8409962774692182 1.807686462757935 3.3473833071443333 2.426722443364402 1.237969709060698 0.5724652187273547 1.2435462387454779 0.6170306543920717 0.47609036270097693 3.2853934439810026 2.5116344120157037 2.6012518724399643 2.0406167672872515 2.601116184622201 2.95158793336138 1.4327152750907388 -2.7939955929606946 0.02420252867298019 -0.058217786309309225 0.666206106130162 0.9983206110650568 1.4682066253839967 1.6176055024365594 0.20250598110805923 -1.654832263075321 -0.7180506082313449 -0.38850073035310645 0.8252025749195164 0.046514263629722385 -2.457403689571223 -1.492563711016111 0.2278752598214719 2.278802054321726 2.9116355090861017 0.5791548453034923 -0.448117704129418 0.610132853349388 -1.3137448395690763 -0.3066004022397725 -0.49106319798305886 -2.664380778520175 -1.1236090649637036 1.6363820904900013 3.476296618562334 0.368940119219437
1.3814624867003458;55;13;15;0.24630270634603926 -2.15461392797992 -2.563248424545653 0.6694967603596231 3.530767639338268 4.387172533585582 3.799269269099789 1.6908917508431798 0.845286917967117 -0.151015907340891 0.2649379529226445 0.0013956960517135797 0.8789501519827525 -1.0395092013806364 -0.6692129532625315 0.20686472760499525 2.4829276023764066 4.708098484655542 3.775351670317478 1.548689569935178 0.06757767253511622 0.7921281451594392 1.4867091420174534 -0.7827618658059051 -1.3007054799073237 -1.1713181597219717 1.2377527732946605 1.9650164874542977 2.6432072645681832 3.934834877967462 2.954434082686734 0.09716410353883526 -0.1683446719326654 -0.3280941912619524 -1.1650103985027234 -2.7020328000572174 -2.460158631522385 -1.468968857539848 -0.9435256459567539 1.2416109650356155 3.342965215947851 2.4224812255815826 1.2358573372884682 1.1930574157956062 1.053301509518226 -0.049230499581207954 -2.430611785492543 -3.4023233186333153 -4.29012451681506 -4.946661854560479 -3.444758260863607 -2.496665543727621 -1.3150362700906784 -0.46486238208843716 -1.0785059700652453 -0.38403763453274165 -1.445412643640829 -1.5914176778254774 -1.3130407905279013 -1.1111119323926921 -1.4307255606114935 -1.9766421319161835 -1.7619345814998142 -1.3513081997505825 1.5738027491249977 3.0579962370535174 2.6075255619389686 1.5763623964686952 1.335563097103936 0.659847948718113 0.3140183782585596 -0.23524527154197378 -1.1797236905476312 -0.929811666234169 0.35504061710805057 2.9400227185012193 1.8296584539899579 2.6551052590432107 3.119454731146844 1.9385498747003216 1.6060032954229913 0.8439428447656652 -0.0373307453579919 -1.1490854262264547 0.22436853097934217 -1.0134096646104764 -2.5924090245688607 -1.9896433012981023 -0.0002769446013884385 1.826239001169684 3.2328825580382734 2.44145131105285 -0.443513379156569 -1.2511920816341533 -0.9230816403325991 -0.07976347854268513 -0.6857315223000628 -0.6600481846971918 1.5009344970753058 1.1006753535258729 2.491682012640785 2.6625438269600537 3.211449873463828 2.2207763422051645 0.8751848150398253 0.5602591185535487 1.216281299377168 2.858143357600343 2.205038053002673 1.1477525863601423 0.5380989465897162 1.0201874667031838 0.8308602027867673 0.7105357355376295 3.4749765827723067 3.3475609293870123 2.6245090040298518 2.0261125483037095 2.270784342043636 2.7245642423472516 1.4491643527955527 -2.161161988430516 -0.4785249921405003 0.21428086809279845 0.6864548920297536 1.2987683350248145 1.8913008604897006 1.9664656213667437 0.6029349216369501 -1.4827221507857917 -0.8131325735195386 0.09579744378217774 1.151941011697309 0.09652612929799072 -2.1561885656355066 -1.6798570804412112 0.31707221531159907 2.1712023636645714 2.8904256760269225 0.909281021992716 -0.4188938280543289 0.2689197014512977 -1.0653060614623866 -0.6223127436077278 -0.674457152629854 -2.633839936854026 -1.9044863157926497 1.4372837311537046 3.616566371310735 0.7937390261394175
1.3899809924026794;70;13;15;0.304902882642496 -3.0262745660115877 -2.9910376678180866 0.4039081503546165 2.9409776252628728 4.269302652969147 4.265283537872578 1.6311696414729722 1.1431170352173117 -0.25039265976766145 0.7781723685474738 -0.21871958862878702 0.5026396461783584 -1.0348693819124124 0.25215607811816476 0.9145670809020526 2.954254962786022 4.663208581378039 3.4551757463902972 1.318147580670617 -0.4564973254711116 1.4466759939742122 2.4175293690622444 -0.7017440326883431 -2.0838825344112926 -1.9102764115128934 1.8372890216665936 2.2715319729335626 3.054217046773788 3.2780387449139914 2.3987264222274267 0.24150720532531542 -0.08755407098011557 -0.2900757302457578 -1.1790779752868301 -3.517335967254954 -3.4898221920045103 -1.8211070503720188 -0.9294299132016323 1.5594956219385596 3.070536726824576 2.207197975417441 1.2498907674694293 0.7948463944888001 0.9516827162146814 -0.3959544246160797 -3.5237594225572293 -4.406489550640232 -4.516309519330873 -4.750129882029026 -3.3095050634615566 -3.3015195508311694 -2.1232640514445036 -0.9179827886773507 -1.198155967019354 -0.06582026353746911 -1.51538038137858 -1.7304073822533255 -1.1857184412380442 -0.8307048198659802 -1.0459209749502563 -1.6442821608297284 -1.1612711208095652 -0.6451944872117178 2.4244811981184577 3.1914492495002555 3.2432604296101046 1.5673881300051158 1.398894861864571 0.8738981770239278 0.5326400205019546 -0.3739193445394291 -1.8000634573544703 -1.1270433445985013 0.44037728413597704 3.1918545157639056 1.9360083490188198 2.900906586471404 2.4072078094324425 1.7561843992660362 1.886616635460807 0.611694124407033 0.19352793305794722 -1.3645292253317023 0.3153620396040524 -2.2351319177290665 -3.195619851806939 -2.6034012354657077 -0.0768224525809592 1.737152909815428 3.107609154702961 2.2251539966347633 -0.7721470647332999 -2.295395280712294 -1.207545309406698 0.12542594961625309 -0.9363540355842408 -0.4389050853899334 2.4069678846156033 1.6438871544234965 3.8381748304102064 2.485180080057596 3.7404990711751696 2.2717283159016506 0.935347086105845 1.0342906128655673 1.699629537103395 3.4521355005839047 2.0357291602975165 1.3396183057590934 0.5743228388682212 1.84621506354152 1.0737227507402838 0.20785486677186785 2.3074224490925364 2.0630492883643314 3.352109017300733 2.300787224944437 2.429601391400672 3.102819045251155 1.6365868203430722 -2.605195429788889 -0.8571325683940076 -0.7030736534897792 0.6493372348787807 1.182652062198875 1.3481492654449918 2.2732620674929445 0.7399273493123817 -1.3464264336271747 -1.2085904500648217 -0.7920223347195346 0.9916259298930586 0.3848293723516254 -2.4434264964493897 -1.7701182342879285 0.14231431850314769 2.4492099284912823 3.187900998089169 0.7172174619676446 -0.7180710512634914 0.31450013740623023 -0.7859717962674034 -0.23801197010869277 -1.2084681662864512 -3.23448437728726 -1.211137591963946 2.0356845300881417 3.756813659188646 0.8609316035425646
1.4182442541398097;85;13;15;-0.26388002510917263 -3.6325001788695026 -2.566578017883965 0.9892773774490712 3.653805039230751 4.416944777149346 4.03960294658218 1.369500327656655 1.1415323632529055 0.2957867692424939 0.03351329549560185 -0.7934961799895204 0.21036642057199 -0.5746987875759874 0.014397787429358645 0.7685448985329298 2.518435277142221 4.796433051208986 2.9680987145771414 1.473468946413515 -0.4894482358849414 1.8886158591686657 2.547985567785538 -1.4978222879005474 -2.6205338442966486 -1.7621704626399655 2.3956187818095622 2.6741839247218495 2.7104928465351614 3.4619268892701283 2.369136593412046 0.40561270984454056 -0.11113238469547973 -0.44103479255389183 -1.64740477782792 -3.3585497696533917 -3.381960560957435 -1.807064709125763 -0.6784607669657846 1.757890681062698 2.7547911748897453 2.04284767869277 1.3278258961753715 1.3023923679323557 1.0319924566143803 -0.28103509881060407 -3.8858368229234515 -4.608216299823927 -3.776640479037629 -3.3341517221741888 -2.9726524178085905 -4.373010004382308 -2.6247344755467816 -1.1701902734575411 -1.5205345714981369 -0.3818792097760061 -1.9724894257230972 -2.229329541212955 -1.4304326187002963 -0.7881459464334823 -0.7271157825375096 -1.7560131411701023 -1.4530932330957573 -1.0709696799617683 2.3840821722178265 3.4231764853318998 3.133279911978357 1.7485223807707135 1.1543663939983744 1.1210300987312785 0.5394605049486999 -0.8172094982161703 -2.1312849088044623 -0.7497021130945485 0.8452076169742853 3.4186457702513584 1.8169861703120214 2.9166907040096963 2.8911457500090476 1.8846927439519932 2.100134596101798 0.5248791565764734 -0.07932977081695759 -1.3816712694082491 0.48393700499028136 -1.8009885607212726 -3.288145464599107 -2.9994476167349426 -0.3500305382327969 2.046380653991923 3.0586830630273165 2.161632029303975 -0.8918333798947017 -2.116706405982498 -0.9478860773189768 0.7637276065878301 -0.4587732040590621 -0.5822753646805441 1.3001722396646729 1.1403012134671198 3.5504528565201525 2.67026964568757 3.4115414796074153 1.953845755719952 0.3763768525051899 0.9889279738300408 1.9024801288748328 3.683754905037194 1.5831879729527518 0.3751484733867646 0.3066364592568037 2.1235744419716758 1.2327356188850962 -0.09447790319148026 2.2385002264274174 1.9876865370953647 2.8266691754482123 2.3257226321257747 2.4278844762319785 3.0873581223163202 1.317990925640396 -3.3188998723007197 -1.242001777999356 0.22281697597818442 0.8753849770358965 1.0895004283490357 0.5009474049257534 1.553857238977029 0.637181568339226 -0.8387603480093963 -1.5098704974762553 -1.0768699284303176 0.7586054663501731 0.5464756100567953 -2.4397799986713578 -1.8055028015634542 0.6159648460530966 2.6618773691354995 2.8188349262791284 0.5903411901228289 -1.0554161268776108 0.3866160409431926 -0.09732457669714573 -0.6247676297720374 -1.3092937998958747 -3.3682776576390285 -1.4835439157483372 1.787703211627542 4.018644121009283 1.1426535849390909
1.416951510952604;100;13;15;-0.21607322688499594 -3.4495133251174477 -2.7650482594413446 0.9686822581294163 3.0196840478556584 4.856883321914695 4.28313652021725 1.3798323708926854 0.8999954673070387 -0.08712453329597286 -0.26931792782230024 -1.3176577707111266 -0.4752913237991837 -0.9860810747757767 -0.2883241817350575 0.46204030851585276 2.321278182147917 4.336336328855024 3.4613182410456367 1.1936029377340194 -0.4034885805568601 1.4339882844185388 2.3723327454196435 -1.117678339154189 -2.8225181906619694 -2.0465131209450216 1.2440458574651885 2.8587864519595874 2.94181960860886 3.1778583023850575 2.1770928024730063 0.44184191880906165 0.30712503274852315 -0.5915648881600081 -1.8725842527405745 -3.068799667255448 -3.090875745720744 -1.8250617661731816 -0.8519246123510766 1.2885393306614341 2.662804119926138 1.8307249362750477 0.9745318108735584 0.9677281001967795 0.6196386760902255 -0.22713893534979815 -3.2698473782871145 -4.5813378311109565 -4.881192931787172 -4.5236761996621455 -3.2437830364807234 -3.6187708481520824 -2.57348641485723 -1.4749027284312315 -1.56477928369515 -0.41351322948167774 -1.4550193710916202 -1.7641448252244813 -1.0606804697454733 -0.5525798012080544 -0.43188174316265815 -1.0470450421867037 -1.1523940523523084 -0.48579410005094265 2.453124806588775 3.5389154980994006 3.092707457277539 1.4748436467217354 1.0798260067551662 0.8654458443847463 0.6449219892325608 -0.8315088375808383 -2.2831713958493496 -1.1118124619374903 0.3394313137036256 3.273334900564869 1.9905943899316663 2.6215232729758497 2.6654996048534016 1.844843957612578 2.1202754008572318 0.9567972932792732 -0.15081783270570293 -1.1767832636491184 0.4540786835310873 -1.1024272381097364 -2.637300425504396 -2.634592659781264 -0.43681233293793204 1.3729778896085978 2.9278668273129598 2.1625679158086126 -0.9722404680665264 -2.1645419030787263 -1.0798290760542393 0.8164522083318265 -0.4462713164237967 -0.746855439588883 1.2343588555438445 1.0875137849686514 3.517858426159558 3.1485383515471703 3.393876603111651 2.128731477641495 0.18825467912479024 0.677772219585142 1.4847208512132333 3.1893812832886956 2.4488723563707104 0.8167051627735505 0.08141651013581534 1.3685867562567045 1.3714865217396295 0.4147476375735785 1.948529369235453 1.7573464321336127 2.538096531795582 2.347669312937045 2.3096674384835625 3.012624986484303 1.6834503373760745 -2.4630554016892447 -1.0285347377314769 -0.44260774534419184 1.3788497574574272 1.557811954778192 0.8655177319703161 1.326838190702802 0.637325717924874 -0.9802795968544843 -1.3453741790933957 -1.29598875569912 0.3639693922088866 0.555294606823834 -2.4201334210667174 -1.6265386572872471 0.3925752596967796 2.682223952104627 3.052857173280091 0.3640507150400625 -1.1330529969863397 0.5315524586800545 0.011969732744741196 -0.21421219957210494 -1.4428122599986422 -3.4031922598238915 -1.328049570502662 1.617761857935174 3.9231450579589806 1.1319250367389015
1.4093900978824907;10;26;15;0.5991834380308254 -2.6112552537208233 -2.109137242285203 1.124942580575919 2.8173648251542245 3.73692685723556 3.515278260900812 1.2852726389604963 0.8245695897519933 -0.3712426552204757 0.7623281200391682 0.9735500211502182 1.9472416828589327 -0.7979278249911983 -1.0904030659454533 -0.6746642787357772 1.7086989048520511 4.2460628942124385 3.568567030425729 1.3908096052092056 -0.12757638908370783 1.1972228520819708 2.260679044233757 -0.5744988127871703 -0.9314766875520296 -0.6370778546205673 1.1787738018402818 1.0074318383557272 1.889276925424302 3.3728503829272816 2.581683772116237 -0.19176331658101772 -0.007371060531071774 -0.0018420066059286581 -0.6308071604376283 -2.2130585350482295 -2.249049054763788 -2.1554798738544303 -2.0192849490814146 0.5372963142085384 2.698413036374963 2.054417086995422 1.4658973864633675 1.625905073956405 1.136855252099667 -0.39536693081130003 -3.333363654517379 -3.38740544650114 -3.5488706547916067 -4.955772108373428 -3.866275611826675 -3.711524104965222 -2.0677919960395084 -0.7285634936748246 -1.0978634996695738 0.15367001100453254 -1.4477208342008352 -1.6621117797090905 -0.8303614068790808 -0.417552038781377 -0.7215736241045804 -1.5267213968312443 -1.223878543262682 -1.0304032907759821 2.2114004038572133 3.3159058301445303 3.0822022847729276 1.847925988078083 1.519661512647865 0.4665397599849615 0.2988191336234895 0.17774755966473646 -0.6653266804334633 -0.06854020709247957 0.17136124628167257 2.0792045255631284 0.42920164757157425 2.004907208218629 2.5195549262874715 1.682039094211856 2.031514900359286 1.0732619962465217 0.2243136418124435 -0.8559977180197248 0.8169495056815864 -1.5107395884326347 -3.226804686427151 -2.9454088200672466 -1.1634049090916627 0.8596594179266827 2.7180089931380986 2.1024796290494088 -0.7210152971899876 -1.7659524984699573 -0.8586991935791195 0.9860201209937395 0.23901704931433557 0.19869440397337226 2.207648470953679 0.46334405727477396 2.5477645134599105 2.5867533445569464 4.018179847019144 2.7464045894381997 0.7964579494148932 0.8353371519439347 1.8014473691594861 3.752121796103786 2.4046096722773047 0.9821166250972951 0.2446539346178335 0.6816978059375687 0.28345196408150225 0.19987186271868554 3.2219637323850288 2.287569494210989 2.068436364307974 1.5249704108422004 2.0717443913706144 3.032338060105596 1.6500326443949012 -2.553697559739482 0.00397369906667434 0.055387999797856455 0.450465096788324 0.6826155707800108 0.8721567751463991 1.0532565797772449 -0.33665214623389045 -2.1541182031710946 -0.950851889521144 -0.06728516966107215 1.3966858162663298 -0.09410253392630798 -2.618420349280894 -1.8538461544985732 0.11074084162344816 2.313089587088295 3.2780534219627118 0.9481290732346772 -0.39792972323686615 0.5076663481578813 -1.1400690006892547 0.0739149282572463 0.29963565678292065 -2.2697287168793894 -1.5782767769491073 0.7857200408519994 2.779104454924297 0.00670812310278851
1.3349853450938427;25;26;15;0.15949213788595076 -2.603105897301658 -2.432596631683288 1.0367437767231393 3.2342346437102 4.36268432709281 4.308164482665009 1.8488140992914777 0.9862824357981678 -0.25530656937659607 0.31678990677243407 0.07232885223843467 1.2431337837232708 -0.8900316972813567 -0.4725141416262358 0.08849648255745232 2.526051766833349 4.793907101171024 4.246286943854131 1.7560012356886363 0.43122723006080876 0.6695784576053072 1.1196464873577634 -0.7407655876133932 -1.4086372013503294 -0.9342657012234359 1.2613641758921847 1.6093936936774305 2.804541877078198 4.122191598327346 2.7554097076572526 0.18180814116808616 0.1787388782373098 -0.45602904524573534 -1.2318343273811199 -2.932869228891008 -2.4513685769968285 -1.8244676452316073 -1.2807792895479768 1.3749287389620002 3.3186103010199903 2.43886590399099 1.4279104885902123 0.9840056960568485 0.658175813524597 -0.3337199564545575 -3.066366572015514 -3.8425299441865186 -3.7609495158289707 -4.7485899900397985 -3.308030169830948 -2.8358533377851813 -1.558866829313634 -0.9901743239449647 -1.5920847347132445 -0.6173091430033595 -1.8342837452753706 -1.5750046936792517 -1.321126945778086 -1.4027605409957953 -1.5666654342215396 -1.6592777614138015 -0.7807759712545373 -0.26515382070743976 2.938937515490721 3.7807576167523327 3.410307109856859 1.6950068658196453 1.2523882620047695 0.377936438697548 0.1523359908326253 -0.32238150574127417 -1.2912326430846564 -0.4592154624761201 0.3716281532979881 2.7023201266506858 1.344610748811118 3.0157335254969873 2.418725997830376 1.1974835194625633 1.3670655849928852 0.795738549378883 0.0438761577258366 -1.1939266556178947 0.17632978296735016 -1.6039005077622766 -2.720258399720427 -2.1602545574284995 -0.2864193666454353 1.3847481338534355 2.993514869986978 1.9332761714697548 -0.5093381829198967 -1.0727027698372154 -0.9999869793752528 -0.14488529098582348 -0.7963884571822817 -0.3199831561676992 2.059070610034645 1.0583052598883975 3.2247272109869773 3.268168579415247 4.316819448436016 2.1836380173733403 1.10395163023822 0.7407946430791216 1.1556710039106644 2.4408901385879953 2.2029413317568847 1.3817863653279567 0.7969335307231789 1.1904598028207798 0.5163977693714574 0.5666084772246556 2.992908917546945 2.4449631693737417 2.595487686203686 1.921817589861523 1.6398587538471245 1.9718014774056678 1.4867774352237448 -2.3562449768153257 -0.06883232529175883 -0.07460780012545827 0.6535648988564041 1.182962077411645 1.7375306191712763 1.675263090208682 0.4340137725964611 -1.671568142293398 -1.2216155819752637 -1.3203330372549489 0.3267004341551595 -0.5985926110370291 -2.585854673954527 -1.6775300193899931 0.41932601562101085 2.625901826000268 3.7380132583724843 1.5951629470506603 0.27023941898899256 0.3975907292410571 -1.3881814391106178 -0.7487945323267288 -0.3797093653767712 -2.3128280202129887 -1.1077341144657276 1.4220252915848917 3.5104938425495305 0.7389045237589452
1.3378865448883703;40;26;15;-0.03870191680947295 -2.8358290757250515 -2.0569925337314703 1.3413379167122461 3.0442046037619366 4.008182680119226 3.9909380464674395 1.6082175828243468 1.0933462644112208 -0.5701074173451213 0.29344939307157547 0.23249366277982825 1.4566184963559359 -1.0052870413871953 -0.6321025971944679 -0.1974174998347934 2.3386180668505845 4.415523499676309 3.655792131908545 1.4294240217980647 -0.013651002752362739 0.9509231789433947 1.7485634166008097 -1.0186067626326702 -1.1348683082877824 -0.5158965397694677 1.5810990395287337 1.201857130215474 2.3532966132291335 3.6886261875543727 2.7671091126771437 -0.15760169941354857 0.022127336261412275 -0.28997471321145174 -1.0436222945187579 -2.7359092256938085 -2.350471654865048 -2.0144520066098734 -1.5872845909526192 1.1007381053974432 3.3386906003909025 2.4596471073212087 1.747920472007369 1.6634303936238803 0.8556206086269834 -0.93910059065042 -3.941758475269865 -3.903003578357538 -3.735308412182622 -4.7905858189349 -3.623051454341162 -3.130374080080506 -1.381883188019877 -0.22589778869664406 -0.6607437719704821 0.29079546815471924 -1.7147236078032242 -2.1965339753785673 -1.7630525832212292 -1.311967868313271 -1.462422444513088 -1.6968427690191437 -0.8429284800802197 -0.3776087502200981 3.0621276765025396 3.902510625115967 3.6104109967963147 1.981931935870496 1.474558342866505 -0.0862541693302659 -0.5618321827683073 -0.8870488866605182 -1.4988035534435762 -0.5555062250039614 0.16632769251665017 2.420137390760398 0.9816669532729752 2.7138107581408177 2.6161999972644003 1.6752118703039636 1.6550554899049899 0.7406467493483919 -0.18891136383078697 -1.3018324675769346 0.6712279032796277 -1.5522190248380598 -2.858665964470962 -2.548159220334536 -0.6229253231845553 1.0652665241902173 2.9378912515890727 2.2942113080544324 -0.41280809463842905 -1.710014821182594 -1.1735254081305735 0.3472717032706435 -0.5102012458026942 -0.03696133864386232 2.4013909056334133 1.0325495854025468 3.3023484305692645 3.027726471491288 4.520488959619737 2.5569068171547595 0.8669882823926299 0.5811721157906453 1.3851704734186585 3.113636329689782 1.838654136963405 1.0003713542092407 0.5055405723462587 1.0617287563853597 0.4261997418108188 0.20523074524986246 3.2119710584592096 2.211892833818367 2.3447725427701855 1.7194664670439925 2.363108819362012 2.8832980219176694 1.462570488909515 -2.664194769392513 0.1542384096693952 -0.1743318500896505 0.474489665795621 0.6364312416648404 1.3877762486297633 1.4378797990507215 0.023166898143364156 -1.9732933685550536 -0.9607132937203967 -0.4117699555316082 1.0334691474346283 -0.3377669654319858 -2.326315029860717 -1.4575361854155822 0.42315316839923794 2.4462808089109163 3.3119897539206113 1.149396266051037 -0.0946749013849573 0.5115739626139154 -1.4383772452663905 -0.46225836662552083 -0.17477762800308536 -2.1750231130548143 -1.2680893335052543 1.2965140601539857 3.324559897320717 0.3067280784869545
