rmse;hl;T;RS
0.0101548560482938;10;13;15
0.009828308742093;25;13;15
0.0099669639823241;40;13;15
0.0104252656194952;55;13;15
0.0122046732483351;70;13;15
0.0098566331487073;85;13;15
0.0100959887346637;100;13;15
0.0104000563941496;10;26;15
0.0111339017251126;25;26;15
0.0108742901282114;40;26;15
0.0108347565073133;55;26;15
0.0121809081360633;70;26;15
0.0107381880861207;85;26;15
0.0111497951742617;100;26;15
0.0109853752291448;10;39;15
0.0101900391710145;25;39;15
0.0095571881233753;40;39;15
0.0101983450581752;55;39;15
0.0105424515389658;70;39;15
0.0106435695315656;85;39;15
0.0122906356836311;100;39;15
0.0101649874012315;10;52;15
0.0097538691286691;25;52;15
0.0096919302199501;40;52;15
0.0155088295123252;55;52;15
0.0155387677398848;70;52;15
0.0097955984234603;85;52;15
0.0127454543277204;100;52;15
0.0097615378214686;10;65;15
0.0101388832363846;25;65;15
0.0164348853039325;40;65;15
0.0133037588856972;55;65;15
0.0133071163356873;70;65;15
0.015174925579342;85;65;15
0.0133764610791642;100;65;15
0.010021225164815;10;78;15
0.0111308142869037;25;78;15
0.0129299913892838;40;78;15
0.0141209861230318;55;78;15
0.015691765450638;70;78;15
0.0119821774108042;85;78;15
0.0131224081208042;100;78;15
0.0107319590991065;10;91;15
0.0107535764130443;25;91;15
0.0131130584524161;40;91;15
0.0269708845851392;55;91;15
0.0284111558817955;70;91;15
0.0112723541740826;85;91;15
0.0126215199470348;100;91;15
0.0134268208685213;10;104;15
0.0111899226012663;25;104;15
0.0245661161514312;40;104;15
0.0271456380699425;55;104;15
0.0309285708589321;70;104;15
0.0122525474459118;85;104;15
0.0282921595145601;100;104;15
0.0362159063036413;10;117;15
0.0321288734195477;25;117;15
0.024449567289311;40;117;15
0.0271858105601615;55;117;15
0.0285356327740009;70;117;15
0.0245638934872085;85;117;15
0.0280694843380292;100;117;15
0.0238553047950447;10;130;15
0.0318421224332459;25;130;15
0.0253682615813919;40;130;15
0.0270980132539638;55;130;15
0.0295533068099312;70;130;15
0.025679821291318;85;130;15
0.0289454241926624;100;130;15
0.03525777360420047;10;143;15
0.030038171579101536;25;143;15
0.032432629565627834;40;143;15
0.03285679347043432;55;143;15
0.040934524061401974;70;143;15
0.026710363901286265;85;143;15
0.03571157871939376;100;143;15
