rmse;hl;T;RS
0.0097063603633359;10;13;15
0.0125597991945142;25;13;15
0.0110879393197668;40;13;15
0.0127822407028667;55;13;15
0.0107759886302425;70;13;15
0.0115114629165535;85;13;15
0.0144494622125104;100;13;15
0.0101477482197714;10;26;15
0.0093769324410959;25;26;15
0.0155067082639232;40;26;15
0.0122341031025164;55;26;15
0.0124443007087777;70;26;15
0.0134052796226853;85;26;15
0.0138642118057749;100;26;15
0.0115754898703308;10;39;15
0.011473026533398;25;39;15
0.0123843491507413;40;39;15
0.0112234337186583;55;39;15
0.0109019265361169;70;39;15
0.0120246897975903;85;39;15
0.0113281429093977;100;39;15
0.0091051476699734;10;52;15
0.011318181473189;25;52;15
0.0107252340024839;40;52;15
0.0121461223024547;55;52;15
0.0126288517728907;70;52;15
0.0153657022654243;85;52;15
0.0114926800289916;100;52;15
0.0129981784197127;10;65;15
0.0117204966586112;25;65;15
0.0118802292674182;40;65;15
0.0119229647119081;55;65;15
0.0121370002377149;70;65;15
0.0134014550430262;85;65;15
0.0104659248272988;100;65;15
0.0136207722351601;10;78;15
0.0100179806801374;25;78;15
0.0114512419798547;40;78;15
0.0122603641383474;55;78;15
0.0094864259534865;70;78;15
0.0106720039444039;85;78;15
0.0121003451897247;100;78;15
0.0136538078889153;10;91;15
0.0143962229205006;25;91;15
0.0094051469014107;40;91;15
0.0138717580438377;55;91;15
0.011731643605177;70;91;15
0.0143726574957446;85;91;15
0.0107824244300941;100;91;15
0.0120721460108402;10;104;15
0.0120635957720227;25;104;15
0.0124839754483549;40;104;15
0.0168446907223465;55;104;15
0.0248130481930449;70;104;15
0.0115305643293151;85;104;15
0.0140899384468601;100;104;15
0.012068499951514;10;117;15
0.0113310807979608;25;117;15
0.0128657093479472;40;117;15
0.0154373952771735;55;117;15
0.0150636175360733;70;117;15
0.0171936977306641;85;117;15
0.0152107421995468;100;117;15
0.0122391293051264;10;130;15
0.0091716585738015;25;130;15
0.0131156693802604;40;130;15
0.0141575273444225;55;130;15
0.0157331196742016;70;130;15
0.0171441086196359;85;130;15
0.0157183894549575;100;130;15
0.01136859501506077;10;143;15
0.013126401129188432;25;143;15
0.013059818839710568;40;143;15
0.02439103287444584;55;143;15
0.023942466669200326;70;143;15
0.012037702071024736;85;143;15
0.028160043783845783;100;143;15
