rmse;hl;T;RS
222.35137054591203;10;192;15
219.4589725371785;10;192;16
222.2608973490142;10;192;17
223.446379313358;10;192;18
226.9295816307564;10;192;19
224.36902143775023;10;192;20
228.0200160226546;10;192;21
218.0822282593068;25;192;15
222.35148258393497;25;192;16
226.20220975165657;25;192;17
225.17074019301933;25;192;18
227.60904856910585;25;192;19
223.7071216683729;25;192;20
219.00739350737547;25;192;21
221.73261530898327;40;192;15
219.62304275886896;40;192;16
221.1189496367434;40;192;17
220.8232769162228;40;192;18
218.80603536611355;40;192;19
225.8889292994056;40;192;20
222.7179437745241;40;192;21
216.72011077573904;55;192;15
219.8747638820982;55;192;16
221.9188841612064;55;192;17
217.19408944972577;55;192;18
226.3280618209717;55;192;19
222.6633141742414;55;192;20
221.52422082928337;55;192;21
222.050152545126;70;192;15
215.79337712363923;70;192;16
225.8820684210762;70;192;17
226.6772433512637;70;192;18
225.1217109569669;70;192;19
220.4351176742149;70;192;20
222.5628747760231;70;192;21
219.9691993589157;85;192;15
218.4572419406118;85;192;16
224.65853820079263;85;192;17
217.47334594311016;85;192;18
227.08169659790093;85;192;19
221.0414441706;85;192;20
219.1189412882956;85;192;21
218.88116912887585;100;192;15
222.4807100292341;100;192;16
221.7677503482488;100;192;17
219.4972135949312;100;192;18
225.3659480236365;100;192;19
218.66881174410867;100;192;20
219.95511391365184;100;192;21
248.2270633752021;10;12;15
239.25441214971823;10;12;16
242.5979671291325;10;12;17
241.4380058505714;10;12;18
239.4794198386925;10;12;19
243.13959906111333;10;12;20
244.29322390765765;10;12;21
241.97217176024336;25;12;15
242.6224734439536;25;12;16
243.52582505950065;25;12;17
242.46993612144405;25;12;18
239.89325660000023;25;12;19
244.3640241028472;25;12;20
240.6482601342024;25;12;21
239.34090374615943;40;12;15
241.1799814527132;40;12;16
241.0002268626995;40;12;17
243.6423104159207;40;12;18
243.6919016130904;40;12;19
242.504944703072;40;12;20
241.50752404789608;40;12;21
238.9233636945209;55;12;15
241.02811778359532;55;12;16
241.0570391295296;55;12;17
245.00250558353696;55;12;18
239.43682232996548;55;12;19
240.41620057405305;55;12;20
240.6583605381373;55;12;21
239.26906686806424;70;12;15
242.0543343688745;70;12;16
242.6011792205629;70;12;17
240.0228183481789;70;12;18
242.2058943356299;70;12;19
242.06907283487263;70;12;20
245.4328935944452;70;12;21
236.500816769426;85;12;15
241.0141345074773;85;12;16
237.9884169814769;85;12;17
242.1690805889041;85;12;18
240.88738245463404;85;12;19
241.1721548060081;85;12;20
238.4493803993385;85;12;21
236.6145238479786;100;12;15
241.44196358635108;100;12;16
239.47038536698392;100;12;17
239.97561762299097;100;12;18
239.3426763873719;100;12;19
240.34610964746827;100;12;20
239.90282013544893;100;12;21
224.139437604687;10;156;15
227.3904328223646;10;156;16
219.19583921198728;10;156;17
223.75963603680432;10;156;18
220.73672616205403;10;156;19
221.14349230434075;10;156;20
222.5478900638929;10;156;21
228.26999007541917;25;156;15
224.5991818376416;25;156;16
220.2667854123573;25;156;17
227.1662059641756;25;156;18
220.42329556209077;25;156;19
222.3426525401293;25;156;20
222.08393049905945;25;156;21
222.6634828668391;40;156;15
224.8866893295405;40;156;16
218.44404663533925;40;156;17
217.3763104921016;40;156;18
222.08155237522573;40;156;19
222.581107257181;40;156;20
222.06706287154452;40;156;21
221.4917828278204;55;156;15
223.07470668091503;55;156;16
220.47558866259797;55;156;17
217.28946253868185;55;156;18
216.33315827095683;55;156;19
218.3063858974541;55;156;20
219.9690367273867;55;156;21
221.4693602798801;70;156;15
224.71539657913613;70;156;16
224.04342571725067;70;156;17
225.56185000492627;70;156;18
218.17472765358065;70;156;19
229.4706533507836;70;156;20
220.774612406023;70;156;21
217.80324253028684;85;156;15
222.3059001771354;85;156;16
221.99869527876191;85;156;17
219.26362055998248;85;156;18
221.7693429416861;85;156;19
227.0588018590396;85;156;20
221.67116998243844;85;156;21
219.64706209812576;100;156;15
222.93401670048783;100;156;16
221.91657920837733;100;156;17
222.07094440983852;100;156;18
219.07937718982973;100;156;19
223.2507100130548;100;156;20
221.0833815275451;100;156;21
222.21452310121848;10;228;15
216.21933413511547;10;228;16
223.30167679775528;10;228;17
220.99222074368885;10;228;18
218.3809920678376;10;228;19
224.2903655303114;10;228;20
226.20936983769346;10;228;21
216.78897813759423;25;228;15
220.7332221720831;25;228;16
225.5665421368863;25;228;17
222.08259168067022;25;228;18
213.9484505907795;25;228;19
226.6574541252057;25;228;20
217.70254837138992;25;228;21
215.02364637348708;40;228;15
218.20584122199307;40;228;16
223.8645485488752;40;228;17
225.040189636859;40;228;18
222.8374716458208;40;228;19
220.32985792169418;40;228;20
222.17243822181032;40;228;21
223.99820855641332;55;228;15
221.30712960217647;55;228;16
227.15177203442371;55;228;17
222.1430648278321;55;228;18
221.2672769873116;55;228;19
225.7605347900884;55;228;20
216.1127103742635;55;228;21
219.85730049649445;70;228;15
223.54888434008512;70;228;16
222.29349913930054;70;228;17
223.43019479609262;70;228;18
223.35643084761398;70;228;19
221.01720374265867;70;228;20
223.12703519526676;70;228;21
220.2725571682996;85;228;15
220.4969140358473;85;228;16
226.77198144962927;85;228;17
221.31216516927395;85;228;18
216.06677659932393;85;228;19
226.20773604656225;85;228;20
223.74462853690594;85;228;21
221.27032059898775;100;228;15
224.76601074846957;100;228;16
226.25655253899026;100;228;17
227.85666284565272;100;228;18
225.02797998000867;100;228;19
222.7421368417907;100;228;20
225.89368834782076;100;228;21
