rmse;hl;T;RS
236.4960936341278;10;192;15
233.1302585572332;10;192;16
229.5355995564873;10;192;17
234.1413007390708;10;192;18
236.14438210910143;10;192;19
235.49446421523496;10;192;20
236.6081464816681;10;192;21
234.02891232483125;25;192;15
227.3949945144902;25;192;16
232.913208076585;25;192;17
227.9944917658551;25;192;18
227.3719163890852;25;192;19
225.7699915388602;25;192;20
236.9105302892124;25;192;21
226.98141064976173;40;192;15
228.7098574573127;40;192;16
224.1129113337613;40;192;17
228.985597162616;40;192;18
226.45956051708364;40;192;19
225.45966354007663;40;192;20
229.3079204521539;40;192;21
224.9553212489945;55;192;15
223.7266841703191;55;192;16
226.3640324785316;55;192;17
224.24437991417744;55;192;18
222.7413631282927;55;192;19
225.0548273413068;55;192;20
222.67415328435635;55;192;21
222.70338657250804;70;192;15
227.57876162803075;70;192;16
226.90767435713863;70;192;17
225.34251263612305;70;192;18
223.95986400772549;70;192;19
224.4842512658652;70;192;20
223.20116848449305;70;192;21
225.1586773162556;85;192;15
222.46203868508712;85;192;16
224.1641987298065;85;192;17
225.93027908462324;85;192;18
224.71973914790743;85;192;19
223.4248003102108;85;192;20
223.372632538435;85;192;21
221.0193070924744;100;192;15
226.3694760156266;100;192;16
225.79461110159;100;192;17
223.02469940667967;100;192;18
223.26152318423144;100;192;19
224.0390876407659;100;192;20
223.6703745762067;100;192;21
243.6862977077484;10;12;15
244.6179152561092;10;12;16
244.27454857991032;10;12;17
242.9639357752141;10;12;18
248.8941355888216;10;12;19
250.7074064297313;10;12;20
250.10095467154136;10;12;21
248.15447344051515;25;12;15
246.7937532564305;25;12;16
246.4101501446124;25;12;17
242.69970125007816;25;12;18
243.71068718756865;25;12;19
246.01591504662795;25;12;20
234.3857293183724;25;12;21
245.6970105961647;40;12;15
242.7375129815904;40;12;16
246.21088250084867;40;12;17
244.3236670555151;40;12;18
241.5068248534156;40;12;19
245.4256172143596;40;12;20
246.6946465140055;40;12;21
241.61407538823613;55;12;15
247.02697128759127;55;12;16
245.81250730668003;55;12;17
242.1978238499016;55;12;18
243.65878869103693;55;12;19
243.7787784758774;55;12;20
242.9569497934071;55;12;21
245.1211886143833;70;12;15
248.51742510185463;70;12;16
241.8877451769781;70;12;17
242.9855797372244;70;12;18
242.48450783734933;70;12;19
244.80433000325732;70;12;20
244.10909703004955;70;12;21
243.11836900207743;85;12;15
245.93543834717545;85;12;16
240.72954146903524;85;12;17
244.90127671010728;85;12;18
242.0462165511694;85;12;19
241.5039814478307;85;12;20
242.75798854928644;85;12;21
240.86512955153665;100;12;15
240.28611374924617;100;12;16
244.83246839306864;100;12;17
241.3313613631628;100;12;18
241.40710631072204;100;12;19
241.4398236159289;100;12;20
242.85961406481744;100;12;21
236.84569770437943;10;156;15
233.5325906953554;10;156;16
229.6582717883946;10;156;17
234.6544306268524;10;156;18
235.37905951729704;10;156;19
236.60648890768263;10;156;20
237.47602579115411;10;156;21
237.0640726760163;25;156;15
227.4283528442569;25;156;16
233.6138339825523;25;156;17
228.221400508103;25;156;18
227.9543388261476;25;156;19
226.18432390010892;25;156;20
237.00265042542543;25;156;21
228.8565751286309;40;156;15
227.96437730766465;40;156;16
224.45854112199424;40;156;17
229.3120927757151;40;156;18
225.50516009866405;40;156;19
227.8676951914009;40;156;20
228.2005710177;40;156;21
225.88717016484904;55;156;15
225.6504757059201;55;156;16
228.4227387805873;55;156;17
225.09377183760347;55;156;18
223.34827702365175;55;156;19
225.9415107691572;55;156;20
223.13072189858988;55;156;21
224.5773603723732;70;156;15
228.2277378572541;70;156;16
228.83841482863653;70;156;17
224.62604709822352;70;156;18
225.80835578186384;70;156;19
227.1477387199253;70;156;20
222.24310246181923;70;156;21
223.76473936738395;85;156;15
223.62050427860987;85;156;16
224.7619853849448;85;156;17
226.7138833728281;85;156;18
225.85176583021695;85;156;19
223.231554205304;85;156;20
225.47351447906397;85;156;21
222.1670171212992;100;156;15
223.63850212104288;100;156;16
226.61964806801487;100;156;17
224.15933714223303;100;156;18
226.5321550049112;100;156;19
223.77790259196004;100;156;20
224.67050080793345;100;156;21
237.1310852802961;10;228;15
233.6334425000847;10;228;16
230.87876817510536;10;228;17
234.46385530163693;10;228;18
234.14737104152806;10;228;19
236.1103353674468;10;228;20
237.49149054627583;10;228;21
235.07643471070654;25;228;15
229.81006448675714;25;228;16
232.97111050993084;25;228;17
227.97160027888188;25;228;18
228.90611104838553;25;228;19
226.6505587446387;25;228;20
238.6738655302981;25;228;21
226.62425945235827;40;228;15
226.7953691442202;40;228;16
224.79102324331174;40;228;17
230.20935111055857;40;228;18
225.13565133756327;40;228;19
227.08892032451104;40;228;20
229.6585507463105;40;228;21
224.57351498464152;55;228;15
225.8536771773706;55;228;16
226.97119892435214;55;228;17
225.81843960615745;55;228;18
224.4943661433615;55;228;19
225.2370311067962;55;228;20
223.788474556498;55;228;21
222.92932841808258;70;228;15
226.8420335678945;70;228;16
227.89229940114143;70;228;17
225.63805796334947;70;228;18
224.08779449538747;70;228;19
224.1855603074622;70;228;20
225.0533491675407;70;228;21
223.3075399571699;85;228;15
223.070177032311;85;228;16
226.245547196256;85;228;17
226.84934251779674;85;228;18
225.27976561748642;85;228;19
225.763966411734;85;228;20
223.91735065227581;85;228;21
222.421767703985;100;228;15
224.81984812866312;100;228;16
225.54617945255424;100;228;17
225.21771615180037;100;228;18
225.14015004338188;100;228;19
223.96395121690858;100;228;20
224.7525613691681;100;228;21
