rmse;hl;T;RS
223.49096809089545;10;192;15
212.9055608894868;10;192;16
239.11851481741647;10;192;17
217.86968989943097;10;192;18
217.69119742544527;10;192;19
234.77454805549755;10;192;20
223.27568418324552;10;192;21
223.39448247285827;25;192;15
218.7154689001182;25;192;16
223.0462801844249;25;192;17
213.5406917078592;25;192;18
218.89577125033904;25;192;19
214.96460070737407;25;192;20
229.79862492340425;25;192;21
218.7560797935157;40;192;15
215.3426483735089;40;192;16
217.71635708351565;40;192;17
216.81090118375744;40;192;18
215.76231637041;40;192;19
216.5971527430219;40;192;20
216.0444053700618;40;192;21
217.0039522078246;55;192;15
216.2653471640148;55;192;16
224.5574145406445;55;192;17
212.0647062296941;55;192;18
219.76560166495327;55;192;19
216.38188937425767;55;192;20
215.01841044913309;55;192;21
219.64776733282963;70;192;15
217.76769866290127;70;192;16
222.4361187190092;70;192;17
218.30882725478384;70;192;18
217.17631088111645;70;192;19
220.31499802880705;70;192;20
213.675406820564;70;192;21
217.686973522064;85;192;15
213.88131497315263;85;192;16
217.26911010471056;85;192;17
216.02877461723227;85;192;18
217.29137362171824;85;192;19
215.3270718909432;85;192;20
215.3302238721506;85;192;21
213.74573966792184;100;192;15
219.95933830213184;100;192;16
220.3506831589229;100;192;17
217.8517080778101;100;192;18
213.25489715202983;100;192;19
217.1075930914951;100;192;20
218.9313776503749;100;192;21
240.97955203788183;10;12;15
240.5245556674244;10;12;16
234.768645257946;10;12;17
235.9246576795219;10;12;18
231.35909021190352;10;12;19
242.63522845379063;10;12;20
240.2302008230809;10;12;21
237.9093960402029;25;12;15
235.7626474727859;25;12;16
231.18655916842715;25;12;17
234.9807219712901;25;12;18
238.53433268890868;25;12;19
233.4555608115676;25;12;20
240.8337647075344;25;12;21
235.1131070197361;40;12;15
238.2680927569185;40;12;16
234.31152187645824;40;12;17
234.795559373274;40;12;18
232.95418515835823;40;12;19
236.33647747546985;40;12;20
233.1423810750308;40;12;21
234.4421711340071;55;12;15
238.76719501006195;55;12;16
234.85662262397787;55;12;17
235.98620861700624;55;12;18
236.1022827186141;55;12;19
235.338694006868;55;12;20
239.25678293243385;55;12;21
235.22216186960188;70;12;15
235.4949275281424;70;12;16
235.5354334237693;70;12;17
234.91760889630763;70;12;18
234.3926765578761;70;12;19
235.1609674341008;70;12;20
232.71158288851225;70;12;21
235.65917698613544;85;12;15
236.0646817896444;85;12;16
234.99120654167933;85;12;17
233.58009036018672;85;12;18
235.6423308395936;85;12;19
234.50711389862053;85;12;20
234.48321768766692;85;12;21
235.9213862492957;100;12;15
238.1342307124403;100;12;16
235.5318486772485;100;12;17
233.8899892047732;100;12;18
236.7161994338493;100;12;19
239.76865360724625;100;12;20
235.1700909316326;100;12;21
226.10344733891023;10;156;15
216.015495911131;10;156;16
243.1062249300521;10;156;17
217.9457464688433;10;156;18
218.2438084174992;10;156;19
228.6509312260256;10;156;20
224.1842756070513;10;156;21
224.4428235473117;25;156;15
221.65223075099345;25;156;16
222.2782381378709;25;156;17
213.20932918397207;25;156;18
227.97975318562013;25;156;19
214.9802037639264;25;156;20
231.85545579845555;25;156;21
215.19708088141095;40;156;15
217.68760771232115;40;156;16
217.2128051372987;40;156;17
222.4296649334165;40;156;18
218.78953172204368;40;156;19
216.80635728870527;40;156;20
215.35541567153584;40;156;21
215.44688470859865;55;156;15
216.94479569687195;55;156;16
220.1969247890209;55;156;17
216.06505669320447;55;156;18
220.85769682415625;55;156;19
216.9542182439482;55;156;20
215.52917143848455;55;156;21
219.3107179628213;70;156;15
217.45035961455545;70;156;16
221.36496680834156;70;156;17
219.00966239407427;70;156;18
217.34064313033872;70;156;19
223.9516162559575;70;156;20
213.8992568747452;70;156;21
216.5676541321919;85;156;15
215.21691885439407;85;156;16
218.12560283537516;85;156;17
215.90062418301287;85;156;18
216.3440504792352;85;156;19
215.6895695533088;85;156;20
217.1182468244172;85;156;21
214.5677244520205;100;156;15
218.1277022527672;100;156;16
225.24276315503508;100;156;17
215.9911767507184;100;156;18
216.86079380845564;100;156;19
217.16469059221168;100;156;20
218.4213632811475;100;156;21
228.08112602736773;10;228;15
214.4214599837537;10;228;16
247.0215808355038;10;228;17
218.142394524857;10;228;18
219.26142503544628;10;228;19
235.58660169382676;10;228;20
228.46880287324885;10;228;21
225.79088700125422;25;228;15
226.77727900079063;25;228;16
223.41961550964467;25;228;17
218.27211250744327;25;228;18
229.79693559627492;25;228;19
216.3167791389459;25;228;20
230.8949938210259;25;228;21
219.8854038787323;40;228;15
220.52576702566216;40;228;16
216.40827788576763;40;228;17
222.3138209709952;40;228;18
217.4166278451855;40;228;19
217.4524096198744;40;228;20
219.0831852382947;40;228;21
215.03030128467165;55;228;15
217.28236537599668;55;228;16
224.96320008801823;55;228;17
213.09724793421836;55;228;18
220.13245118445877;55;228;19
217.64480152943915;55;228;20
218.32937867907185;55;228;21
222.59482503002025;70;228;15
220.80114855712196;70;228;16
231.48097717322372;70;228;17
218.89034639727282;70;228;18
220.15870620221503;70;228;19
225.40971677630938;70;228;20
215.04154317314433;70;228;21
215.75164103586266;85;228;15
215.79104925228475;85;228;16
218.44896888739666;85;228;17
217.3272480620298;85;228;18
219.5024534872806;85;228;19
215.6980491996089;85;228;20
216.6294493238285;85;228;21
215.21670860370065;100;228;15
217.97572555126416;100;228;16
220.3167991888108;100;228;17
217.18945040685207;100;228;18
216.56564829207954;100;228;19
219.97489302991534;100;228;20
219.38565985298646;100;228;21
